position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,D'Presentes,ChIJ--uKmR2qpgARkx9mshJpeNs,0xa6aa1d998aebfb:0xdb786912b2661f93,15814505620534861715,/g/1tfs29bd,4,3,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Queiroz Júnior, 132 - Centro, Itabirito - MG, 35450-000, Brasil",-20.2543135,-43.8030689,+55 31 3561-3086,,Aberto ⋅ Fecha às 18:30,Aberto ⋅ Fecha às 18:30,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=o-jqq3xU20CuyVJdcJVp6Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=57.84194&pitch=0&thumbfov=100,https://serpapi.com/images/url/GH9vTXicHc1BEoIgFADQ27ATsKy0mT8t2rlrkdsGkYAG5SsoeprO1W1qusB7n7eJEcOZsRAnpeJiVUK7KhcyFFR7r50SaAOVvmdLzqKZ-3YQ1l1QDN524LPXOO7X-45f562pO1k3eLwR2T6ks2qIEJSYpKE6_cTJd1RjIAlKTgxUO7KJBIcTLYu8KgjaKA1w8k-efoGc8y9CCDlW,https://serpapi.com/search.json?data_id=0xa6aa1d998aebfb%3A0xdb786912b2661f93&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6aa1d998aebfb%3A0xdb786912b2661f93&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ--uKmR2qpgARkx9mshJpeNs,"Acuruí, MG",lojas_presentes,2025-07-28T16:04:46.413287,COMPLETA
2,Lírios Papelaria e presentes,ChIJzfk4BiyppgAR2ei6TuKRMaA,0xa6a92c0638f9cd:0xa03191e24ebae8d9,11543167721096800473,/g/11shjx33nz,5,20,Papelaria,Papelaria,stationery_store,"R. Estr. Estreita, 139 - Meu sitio, Itabirito - MG, 35454-245, Brasil",-20.2750406,-43.7968045,+55 31 98264-7493,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipOnrKSOoEQw44e9-cIaHW-hHyj0b0xg213PcocN=w80-h106-k-no,https://serpapi.com/images/url/WMOJAHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn1fkHeyf7xpYbmKSaqmb7JnoEa6b4VGZZZBkUJFuZGgckJyf7GdbbmGgm2FoYKabrZuXDwCaZCC3,https://serpapi.com/search.json?data_id=0xa6a92c0638f9cd%3A0xa03191e24ebae8d9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a92c0638f9cd%3A0xa03191e24ebae8d9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJzfk4BiyppgAR2ei6TuKRMaA,"Acuruí, MG",lojas_presentes,2025-07-28T16:04:46.413287,COMPLETA
3,Feliz Cesta,ChIJpwx2JjerpgARAhWjOCFDLXA,0xa6ab3726760ca7:0x702d432138a31502,8083190716163101954,/g/11gzs7j0bb,4.6,11,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. Raul Soares, 164 - Centro, Itabirito - MG, 35450-000, Brasil",-20.2563069,-43.7977025,+55 31 98861-9484,,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas,,,,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipOzbVoLQGLksAKclQDL6IQxuzXsIZ0o3s1RsjYb=w80-h149-k-no,https://serpapi.com/images/url/PDtgonicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX5UUlu8T6O6TXezonZwT6OJj5hlYUVoVUewZZZBvXGwYVJwVmWRbbmGgm2FoYqmbrZuXDwC5vyG8,https://serpapi.com/search.json?data_id=0xa6ab3726760ca7%3A0x702d432138a31502&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6ab3726760ca7%3A0x702d432138a31502&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJpwx2JjerpgARAhWjOCFDLXA,"Acuruí, MG",lojas_presentes,2025-07-28T16:04:46.413287,COMPLETA
4,Mini Shop presentes,ChIJd6XfTvGppgARR51HT8wcRUg,0xa6a9f14edfa577:0x48451ccc4f479d47,5207600207952846151,/g/1tdwlrlv,4.3,7,Loja,"Loja, Loja de CDs, Loja de acessórios para dispositivos móveis, Loja de Conveniência, Loja de produtos de papelaria, Loja de eletrônicos, Impressões, Loja de Brinquedos, Loja de variedades",store,"Av. Queiroz Júnior, 795 - Praia, Itabirito - MG, 35450-228, Brasil",-20.2483544,-43.804371599999996,+55 31 3979-1308,,Aberto ⋅ Fecha às 19:30,Aberto ⋅ Fecha às 19:30,segunda-feira: 09:30–19:30; terça-feira: 09:30–19:30; quarta-feira: 09:30–19:30; quinta-feira: 09:30–19:30; sexta-feira: 09:30–19:30; sábado: 09:30–16:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Compras na loja,,,https://lh3.googleusercontent.com/p/AF1QipNfFpBEDf0g5zdEwFY2xw7gnQQrCcRJ-AxIv_kC=w163-h92-k-no,https://serpapi.com/images/url/im7esXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl-ZW4OTqkmaQblqV4lruFmlUUW6enhcYWOScHOSl61jhWRaf7WxbbmhmrJthaaSbrZuXDwCouSFR,https://serpapi.com/search.json?data_id=0xa6a9f14edfa577%3A0x48451ccc4f479d47&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a9f14edfa577%3A0x48451ccc4f479d47&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJd6XfTvGppgARR51HT8wcRUg,"Acuruí, MG",lojas_presentes,2025-07-28T16:04:46.413287,COMPLETA
5,Acurui,ChIJAz67w78DpAARjmrnzukGwxs,0xa403bfc3bb3e03:0x1bc306e9cee76a8e,2000450260751051406,/g/11pkg18s93,4.8,14,Artesanato,Artesanato,handicraft,"R. Principal, 140 - Acuruí, Itabirito - MG, 35450-000, Brasil",-20.209241799999997,-43.722069,+55 31 98654-3987,,Fechado ⋅ Abre sáb. às 08:00,Fechado ⋅ Abre sáb. às 08:00,segunda-feira: Fechado; terça-feira: Fechado; quarta-feira: Fechado; quinta-feira: Fechado; sexta-feira: Fechado; sábado: 08:00–17:00; domingo: 08:00–17:00,,,,,,,"""Trilha curta, fácil acesso às 3 cachoeiras.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nprtRy8LzF6FNOAj4Q1TE1wDdVT50UySBqVyFtnJojwkb2HiyKVe5XTjXzQZ-jlGMW0mxhc-XiOtb5iDRveO8RNXhd4sTu3rAjbeQpJj8rI76Y4ZX9QeXU3ENtXzIw9OqYSAHkI6A=w122-h92-k-no,https://serpapi.com/images/url/FY1JmXicBcHtFkIwAADQJ1ryGZ3Tj5WUPjiElp-0Y0abbCVesGfobbr39yVSdmKpKC3RZxXnVYtfAvclZxIzOSv5Q6k6AUoBhAI3DjFY18t4tE-TZ3lBCKkRqclWHdx7lpjzdLysn9noSXbgdGgKbV-PxwybKKFoinJA2935On98SAlQHcrCrN34jUM7DhC5GyJ56T2kBY66A7V7f2HdjBw5EUapvg0kmvzBCZ-3C9w3vgVXg6ppgDgaaADjf2gjRQw,https://serpapi.com/search.json?data_id=0xa403bfc3bb3e03%3A0x1bc306e9cee76a8e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa403bfc3bb3e03%3A0x1bc306e9cee76a8e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJAz67w78DpAARjmrnzukGwxs,"Acuruí, MG",lojas_presentes,2025-07-28T16:04:46.413287,COMPLETA
6,Agradart Personalizados - Brindes e Presentes personalizados,ChIJ5aWqbkappgARhUIHS1yTWe0,0xa6a9466eaaa5e5:0xed59935c4b074285,17102863084521210501,/g/11y5t9f9jg,5,7,Loja de presentes,"Loja de presentes, Fornecedor de Brindes",novelty_store,"R. Rosalino G. Magalhães, 19 - Centro, Itabirito - MG, 35450-045, Brasil",-20.254239,-43.801383099999995,+55 31 99872-4624,https://www.instagram.com/personalizadosagradart?igsh=MTZ0M3FrOTV6dDJsaw==&utm_source=qr,Aberto ⋅ Fecha às 19:00,Aberto ⋅ Fecha às 19:00,segunda-feira: 08:30–19:00; terça-feira: 08:30–19:00; quarta-feira: 08:30–19:00; quinta-feira: 08:30–19:00; sexta-feira: 08:30–19:00; sábado: 08:30–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipNcIEQ2vRlKvu20DfjCWXeiaun8VsVIgGdnn3ep=w80-h106-k-no,https://serpapi.com/images/url/zhYvSHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl-zpGmhUFpTjXVZqZOCSluUcHpGamViaZxFWHOaZ7p6Sl2ecWmBbbmGgm2FoYKabrZuXDwCx-yGy,https://serpapi.com/search.json?data_id=0xa6a9466eaaa5e5%3A0xed59935c4b074285&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a9466eaaa5e5%3A0xed59935c4b074285&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5aWqbkappgARhUIHS1yTWe0,"Acuruí, MG",lojas_presentes,2025-07-28T16:04:46.413287,COMPLETA
7,Mimos Papelaria & Presentes,ChIJI79jbdsDpAARko161liol5c,0xa403db6d63bf23:0x9797a858d67a8d92,10923384520719371666,/g/11qnm6hjpg,5,2,Armarinho,Armarinho,notions_store,"R. João Pinheiro, 1601 - São José, Itabirito - MG, 35450-000, Brasil",-20.259309899999998,-43.784565199999996,+55 31 3979-3360,http://www.mimospapelaria.com.br/,Aberto ⋅ Fecha às 18:30,Aberto ⋅ Fecha às 18:30,segunda-feira: 08:00–18:30; terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–13:00; domingo: Fechado,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noaxZq519LbZL87UkejJJ-EuWepCWOAsU6vh7N5Jnsjv0R90nT6_2x-cu9L2Pc2rb6Kbyy83kaPEP4w4Sj0a6Pme03c1_5IU4mqZgSmIkO1yADCVa44oGOdW2ZUHZYc_QC0yfM=w122-h92-k-no,https://serpapi.com/images/url/eSfU3nicBcFtDoIgAADQE5GIaNHWD2etMkv7MBd_nBLJNMFELe_XJbpN7_2-ousaPTeMp7AmhVLFk_eat0zJjstuwlRtFI0GTANtuB4RWKrsQ1-2SYKcBrNpXPHS98GqT3jjJaGrY2cQ04PtS10O8ESgvDgp-gDWkwBFDLW5s8vHcWZVWbSK8BufS5g5Uc2hxczU3sa4ftHiXG-r0BzdpXfNMFbr8J4gGm_ojaVHD46P_eJtIgQEQaACUv0B9BpCKg,https://serpapi.com/search.json?data_id=0xa403db6d63bf23%3A0x9797a858d67a8d92&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa403db6d63bf23%3A0x9797a858d67a8d92&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJI79jbdsDpAARko161liol5c,"Acuruí, MG",lojas_presentes,2025-07-28T16:04:46.413287,COMPLETA
8,Mania Papelaria e Presentes,ChIJFwrCKfappgARwYq6P_9Rmck,0xa6a9f629c20a17:0xc99951ff3fba8ac1,14526732229787945665,/g/1tfk12dy,4.9,14,Papelaria,Papelaria,stationery_store,"Av. Queiroz Júnior, 74 - Centro, Itabirito - MG, 35450-069, Brasil",-20.254949,-43.8030082,+55 31 3561-3273,,Aberto ⋅ Fecha às 18:30,Aberto ⋅ Fecha às 18:30,segunda-feira: 08:30–18:30; terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento excelente,  com funcionárias atenciosas.""",https://lh3.googleusercontent.com/p/AF1QipMaCoylCRoHi8sFssTgLM1DEOZg4eKZC8ediWtn=w97-h92-k-no,https://serpapi.com/images/url/tfu1OnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm-icX5njHJTvkWlR7FZcHJLu42vo4uoflW6S6h3lbJGakhlekmdbbmmum2FppJutm5cPAJOpIWQ,https://serpapi.com/search.json?data_id=0xa6a9f629c20a17%3A0xc99951ff3fba8ac1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a9f629c20a17%3A0xc99951ff3fba8ac1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJFwrCKfappgARwYq6P_9Rmck,"Acuruí, MG",lojas_presentes,2025-07-28T16:04:46.413287,COMPLETA
9,Papelaria Cacto de Amor,ChIJ09kyc4OppgAR5L62OpDwyfI,0xa6a9837332d9d3:0xf2c9f0903ab6bee4,17494778729748414180,/g/11h_0vlthc,5,4,Loja de produtos de papelaria,Loja de produtos de papelaria,copying_supply_store,"R. João Pessoa, 89 - Centro, Itabirito - MG, 35450-048, Brasil",-20.254284,-43.801221399999996,+55 31 98715-4905,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npbERfZuChBtBHVKGT2ZZz5LF_lCrNPZPwHavZnglFelrJ9Id68TO04FZeFFU_Ou8F-KA91425GeyVPATmKSoW_rnE0KxKpkmlx4DXejTaEqcOV4jQfC-JMb8LipWHl4NDDyRkjQw=w122-h92-k-no,https://serpapi.com/images/url/JQRgHXicBcFRkoIgAADQE5FF1Ggz-2EqWVRa61rDj1NGsorACmbtBTvD3mbf-3tza7VZOI7g01GlVCVYb1hXKmmZtKNStU6lDSgNMI4feBxJfY2Od9oHfGmXcU5WGaT0d7bFhQi6fUrTIb48qKwEZqLbeOvb3M2SMcKUYfxVJL2LAfG9CYKzFXvlqZ-15FOdik5GY_IkumnFE4VnVmeX6KdMclQf7gHY7K7u9lufYoH2Yfg6NvVh-BgmEALuQdAAqf4BDuxEYw,https://serpapi.com/search.json?data_id=0xa6a9837332d9d3%3A0xf2c9f0903ab6bee4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a9837332d9d3%3A0xf2c9f0903ab6bee4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ09kyc4OppgAR5L62OpDwyfI,"Acuruí, MG",lojas_presentes,2025-07-28T16:04:46.413287,COMPLETA
10,Ornamentum,ChIJMY4N5P8BpAAR3q4O246uOYE,0xa401ffe40d8e31:0x8139ae8edb0eaede,9311665633148972766,/g/1tfrcdr4,4.8,4,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"R. João Pinheiro, 868 - Santa Efigênia, Itabirito - MG, 35450-000, Brasil",-20.257503,-43.7918129,+55 31 3561-6647,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 09:00–12:00; domingo: Fechado,,,,Cartão de débito,Retirada na loja,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sC5bGoUE_sVFrwW9OozByQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=220.9436&pitch=0&thumbfov=100,https://serpapi.com/images/url/NLHY13icHc1LDsIgFADA27ATaP3EmhATjbo0LtRlQykFEtpHeFisl_Fc3kbjBWY-b5tSwA1jmKLWaXQ6B_fUHmdBUgNgvJbBIVXQs7FgyT76ZpDOb4McwLUC98vmBNdDjbdjzPfqDK_ddCGqqZV3ekgCtYzKUpN_YoSWmoAkizUnVlQlmWQWZclptZivSHBJWcHJP-lgFAXnX1gIOZk,https://serpapi.com/search.json?data_id=0xa401ffe40d8e31%3A0x8139ae8edb0eaede&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa401ffe40d8e31%3A0x8139ae8edb0eaede&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJMY4N5P8BpAAR3q4O246uOYE,"Acuruí, MG",lojas_presentes,2025-07-28T16:04:46.413287,COMPLETA
