position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Casa do Papai Noel Alfredo Vasconcelos,ChIJ-3xT-jAnogAR45NOeTU8dug,0xa22730fa537cfb:0xe8763c35794e93e3,16750642064417264611,/g/11f3fgsbr4,4.4,14,Loja,Loja,store,"Av. Estr. Real, 168 - Centro, Alfredo Vasconcelos - MG, 36272-000, Brasil",-21.1466559,-43.768423,+55 32 98420-1010,http://www.meniasgeraisaresanato.com.br/,Aberto ⋅ Fecha às 21:00,Aberto ⋅ Fecha às 21:00,segunda-feira: 14:00–21:00; terça-feira: 14:00–21:00; quarta-feira: 14:00–21:00; quinta-feira: 14:00–21:00; sexta-feira: 14:00–21:00; sábado: 14:00–21:00; domingo: 14:00–20:00,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de débito, Pagamentos por dispositivo móvel via NFC",Compras na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrV6zRwsawVZYxmTI7NZXTIrMbRM3262d4L8YVsLUDgIUlRW4swxM_0xXiwbr11qSFzKxlW08r9S_OgOLs7EK246WxB6jELyTQjEzN5RRi2KKEfQdDWfQg7wPp24VidTWzeeCWe=w122-h92-k-no,https://serpapi.com/images/url/55NnR3icBcFLroIwFADQFVWkVhATB34wIYBKRapOjEItKFLs5aWV_bmItxvP-f-WXdfC1LLqcjQQUoqa_wFXuWw63nSDXL4s0QLKAYE1X3olaVTm9FTDVWfnk3mlgbs5H9NAxTcaj7CDCxJNThlEh5UIDjVlBLSJL0NzrPRN2fZ7v-5DU7PhRHn7y1ZsI3D9EBOHmYXz8KNPmjz8fjOmtMJh6N-TYsXuiXD1rsUkq4qU9ZwvGZ9pG2NUehg9USN_wHhEIg,https://serpapi.com/search.json?data_id=0xa22730fa537cfb%3A0xe8763c35794e93e3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa22730fa537cfb%3A0xe8763c35794e93e3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ-3xT-jAnogAR45NOeTU8dug,"Alfredo Vasconcelos, MG",lojas_presentes,2025-07-28T16:29:27.441508,COMPLETA
2,Galeria Festejar,ChIJi0ov2RInogARlirU9mgYmTA,0xa22712d92f4a8b:0x30991868f6d42a96,3501857024354036374,/g/11g86y9r8_,4.4,38,Shopping center,"Shopping center, Centro comercial",shopping_center,"R. Catarina Bianchetti, 210 - Loteamento Bianchetti, Alfredo Vasconcelos - MG, 36272-000, Brasil",-21.1446787,-43.7704421,,http://www.facebook.com/galeriafestejar,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–17:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Compras na loja,,,https://lh3.googleusercontent.com/p/AF1QipMwYIvtU1ZaLobmOs-ExuRsW1SgD2o3ZTUn4vKq=w138-h92-k-no,https://serpapi.com/images/url/NSnCTnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngWx7pWVYSahiV6JOflOtfrOtaURpUHG4YnO5ilG8cFRKaZ1LmXWhbbmhsoZthaaSbrZuXDwC7nSGw,https://serpapi.com/search.json?data_id=0xa22712d92f4a8b%3A0x30991868f6d42a96&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa22712d92f4a8b%3A0x30991868f6d42a96&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJi0ov2RInogARlirU9mgYmTA,"Alfredo Vasconcelos, MG",lojas_presentes,2025-07-28T16:29:27.441508,COMPLETA
3,Grá Personalizados,ChIJPSNlAfQnogAR6f1crL2tCGI,0xa227f40165233d:0x6208adbdac5cfde9,7064087045682822633,/g/11fln30j21,4.5,2,Artesanato,Artesanato,handicraft,"Olympio Irineu, Duílio Bianchetti - Centro, Alfredo Vasconcelos - MG, 36272-000, Brasil",-21.14733,-43.773453499999995,+55 32 98817-5437,http://elo7.com.br/algodaodocearts,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipP3WDAY20RMZWSRblZ5rW7YLTIljIlVJq5NhtSy=w92-h92-k-no,https://serpapi.com/images/url/J5u5sHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYBzu4hhpZBDkGxUeHJSUE2VaFG4e6RPimZPlmRPmVWjql1ESXGlbbmmkmwHE2bp5-QBxWCDB,https://serpapi.com/search.json?data_id=0xa227f40165233d%3A0x6208adbdac5cfde9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa227f40165233d%3A0x6208adbdac5cfde9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJPSNlAfQnogAR6f1crL2tCGI,"Alfredo Vasconcelos, MG",lojas_presentes,2025-07-28T16:29:27.441508,COMPLETA
4,Armazém Araújo,ChIJWa2h_QgnogARaey5Ksj5DUw,0xa22708fda1ad59:0x4c0df9c82ab9ec69,5480310959685364841,/g/1tgm428l,4.3,217,Mercado,"Mercado, Supermercado",market,"R. Olegario Leal, 34 - Alfredo Vasconcelos, MG, 36272-000, Brasil",-21.1454693,-43.764164799999996,+55 32 3367-1110,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: 08:00–12:30,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótimo lugar, ambiente tranquilo ótimos tira gostos""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noUf-fDpuXTnO6MvTlWATQnL4vqS9jrW3sc4AdtBcA4m9o8ixRD1xrjbfCQIg6LZqmAO2-lk5K9KKYOrqUNIPEaGDxDqpRijkWg-0VxP8palFtioRm6d62gIFJK-eGqMarIDMXr=w80-h142-k-no,https://serpapi.com/images/url/v9WNXXicBcFbcoIwFADQFV1RjAx0xo_UqEMRUYrF9o9GCI-Qt8oGXUR303P-Xq1zyr55Hm-XMyYl4_Xd1oZK4WrhZlSOHlMWqAXr4U3UIiEvDTRE3a-FyIL0UfASF2dxQA_9GfWmXFqK8M29U4zGSIbdlJPFZPrfZnOOWXD40SPOfODDKomS5Dsz-nKMT9tqTyaiVd71Q8lg_jWdQlXxnetkPga3wGfx7iOBeq_TysQkvZr1M5xDu0A-DCDkP9hxRGs,https://serpapi.com/search.json?data_id=0xa22708fda1ad59%3A0x4c0df9c82ab9ec69&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa22708fda1ad59%3A0x4c0df9c82ab9ec69&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJWa2h_QgnogARaey5Ksj5DUw,"Alfredo Vasconcelos, MG",lojas_presentes,2025-07-28T16:29:27.441508,COMPLETA
5,Anjinhos Da Mamãe,ChIJ6d3-hWEnogARLM8YFHCrx7I,0xa2276185fedde9:0xb2c7ab701418cf2c,12882453756978450220,/g/11l1wb0yf2,5,2,Loja de Roupa,Loja de Roupa,clothing_store,"R. Barbacena - PIO XII, Alfredo Vasconcelos - MG, 36272-000, Brasil",-21.1497054,-43.7646036,+55 32 99977-4697,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=v0s7rhDEi4w0_i0L06kL4A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=305.35516&pitch=0&thumbfov=100,https://serpapi.com/images/url/41o4iXicHc3bDcIgFADQbfgTbu3DR0KMif51h4ZShBspEEDQbVzLbTQucM7nbXIO6chYylGpXFDVgE9l0yYIqr3XVomAiUq_stKwbB7r7ATaUxDO48ILpF00lyt2FSaEEYb72J2JnCdpUbnMkxJRGqrrT4x-oTokUvkeiOGHLXmJylvoadv3zUACZmk4kP9y84U3AF9BSzjR,https://serpapi.com/search.json?data_id=0xa2276185fedde9%3A0xb2c7ab701418cf2c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2276185fedde9%3A0xb2c7ab701418cf2c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6d3-hWEnogARLM8YFHCrx7I,"Alfredo Vasconcelos, MG",lojas_presentes,2025-07-28T16:29:27.441508,COMPLETA
6,Casa do Profissional Material de Construção,ChIJfQR0yBEnogARtGIi6gDpk58,0xa22711c874047d:0x9f93e900ea2262b4,11498790463744402100,/g/11rdd7nvtt,5,28,Loja de materiais de construção,Loja de materiais de construção,building_materials_store,"R. Godofredo de Oliveira, 98 - Alfredo Vasconcelos, MG, 36272-000, Brasil",-21.1481593,-43.765761,+55 32 99142-3501,,Aberto ⋅ Fecha às 19:00,Aberto ⋅ Fecha às 19:00,segunda-feira: 07:00–19:00; terça-feira: 07:00–19:00; quarta-feira: 07:00–19:00; quinta-feira: 07:00–19:00; sexta-feira: 07:00–19:00; sábado: 07:30–16:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipPqCLO8vK2faCerzBVZRUSoXqVdmT2VsoHGeIDF=w163-h92-k-no,https://serpapi.com/images/url/yBOyynicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUOjs429R5m2UluicWlTlFBYVFBqcH1EYlpIbYhRWnO_hnurp4mZbbmhmrJthaaSbrZuXDwCvpyFx,https://serpapi.com/search.json?data_id=0xa22711c874047d%3A0x9f93e900ea2262b4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa22711c874047d%3A0x9f93e900ea2262b4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJfQR0yBEnogARtGIi6gDpk58,"Alfredo Vasconcelos, MG",lojas_presentes,2025-07-28T16:29:27.441508,COMPLETA
7,Ponto da Moda,ChIJ91roWK8nogAR1t8JwPgHa_Y,0xa227af58e85af7:0xf66b07f8c009dfd6,17756294720793468886,/g/11s1t_8fv0,5,5,Loja de Roupa,Loja de Roupa,clothing_store,"R. Duilio Bianchetti, 10 - Centro, Alfredo Vasconcelos - MG, 36272-000, Brasil",-21.1459127,-43.7769075,+55 32 99970-0054,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nomIoiPgzDrHMiWDsiuKuHiDkKZ_NJZNEJ6k7Va-X3RqokEpsMsjl8uTgjwi5YA5Qkrc9-_PV9TR1BjQzjvuQakicEbtR_AHISdHwTiL31SyHTS_zUBcj3xe2EHfahbScGPArI=w92-h92-k-no,https://serpapi.com/images/url/VyaOhnicDcNXDoIwAADQE1WiuDDxA4VYXGG5-CFQsQsp0laU63kKb6Mved8PUaqWM8MoidnDQuCy0LJokKhUUakeEncD1xIgCaRhLy0yrMTdE9THndPAHT05kuqNhtThmyTdr5O9ux7zyTEDZzN8CO7WcidZOdUxZi0dXexRwBtkgdQ_WnHYX7CgY08dZJwiN1dhakMvusI2pluzH71hHKXdYYGY-SoGLrxlJI_Qyrcbb95aA0D-OajED7nIRRA,https://serpapi.com/search.json?data_id=0xa227af58e85af7%3A0xf66b07f8c009dfd6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa227af58e85af7%3A0xf66b07f8c009dfd6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ91roWK8nogAR1t8JwPgHa_Y,"Alfredo Vasconcelos, MG",lojas_presentes,2025-07-28T16:29:27.441508,COMPLETA
8,MUNDO DA BORRACHA,ChIJ7wfokWsnogAR8rmlLcHPWhE,0xa2276b91e807ef:0x115acfc12da5b9f2,1250540275150207474,/g/11bw208s3q,4.4,5,Loja,Loja,store,"Bianchetti, 520 Loja E, Av. Agostinho Bianchetti - Centro, Alfredo Vasconcelos - MG, 36272-000, Brasil",-21.1469029,-43.765417199999995,+55 32 99922-3338,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=RIySXXh7IfzcwZFG0v2ZYg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=265.2523&pitch=0&thumbfov=100,https://serpapi.com/images/url/dJJwb3icHc3NDcIgGADQbbgJFFP_EuJN06teai-G0q9AQoEUBOsyzuU2Ghd47_PWKYV4ICSmGSBlAyWYJ9i4CgIr75UFEUzE0k8kVyTpx9Q7YewxCOfNwC_Ncm1bvW3Glyzd6Uwz624Kyf4urQGXeAQxS41V-YmzH7AKERW-o0jzPUOLKJxtasxqtkbBJKk5Rf9k9JlXlH4BSNc5Yg,https://serpapi.com/search.json?data_id=0xa2276b91e807ef%3A0x115acfc12da5b9f2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2276b91e807ef%3A0x115acfc12da5b9f2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7wfokWsnogAR8rmlLcHPWhE,"Alfredo Vasconcelos, MG",lojas_presentes,2025-07-28T16:29:27.441508,COMPLETA
9,Floricultura da Emília,ChIJFx1JBwgnogARStDKtxJnhAo,0xa2270807491d17:0xa846712b7cad04a,757843967395680330,/g/11t_t2m750,5,2,Floricultura,Floricultura,florist,"R. Lino José de Souza - Alfredo Vasconcelos, MG, 36272-000, Brasil",-21.1360864,-43.7795221,,,,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=61E9QYDRoHmpzruj7hWtZQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=232.97247&pitch=0&thumbfov=100,https://serpapi.com/images/url/slpXLXicHc3BDcIgFADQbbgJFI21JsSLJl7rxejFUETA0PIDv0WdxrXcRuMC733eDhHymrGMyRicvCngHybkGShqY7TBKPCZ6tizqWLoxr4blA8bUEP0V7msdk172h7ivodXGu-1O-K5Jbq76ODNgDIblbSjtvzEFK_UQiZFrjhxshHkqYoUc0GbWixqAh61k5z8l1ucZMX5F3wLOaU,https://serpapi.com/search.json?data_id=0xa2270807491d17%3A0xa846712b7cad04a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2270807491d17%3A0xa846712b7cad04a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJFx1JBwgnogARStDKtxJnhAo,"Alfredo Vasconcelos, MG",lojas_presentes,2025-07-28T16:29:27.441508,COMPLETA
10,DC NO PONTO,ChIJVeKVZPsnogARs8W8IyYQvtg,0xa227fb6495e255:0xd8be102623bcc5b3,15617938313761834419,/g/11sctps3n6,4.9,36,Hamburgueria,"Hamburgueria, Sorveteria",hamburger_restaurant,"R. Assumpta Braz Ribeiro Mendes, 161 - Botafogo, Alfredo Vasconcelos - MG, 36272-000, Brasil",-21.1495362,-43.7770976,+55 32 99906-7543,https://instagram.com/dc.noponto?igshid=YmMyMTA2M2Y=,Fechado ⋅ Abre às 18:00,Fechado ⋅ Abre às 18:00,segunda-feira: 18:00–22:30; terça-feira: 18:00–22:30; quarta-feira: Fechado; quinta-feira: 18:00–22:30; sexta-feira: 18:00–23:30; sábado: 18:00–23:30; domingo: 18:00–23:30,,,"Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Para viagem, Refeição no local",,,https://lh3.googleusercontent.com/p/AF1QipNQi1xJziYMofJpmaO_L14jTpcr_p9wbywl_kQj=w80-h142-k-no,https://serpapi.com/images/url/HDsyknicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngF5hpWOFVlRnpm5_mVZCb6B_vY2iSFVKQXBRfYFmeVFmeE58dmGVbbmGgm2FoYqSbrZuXDwDMKiJ7,https://serpapi.com/search.json?data_id=0xa227fb6495e255%3A0xd8be102623bcc5b3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa227fb6495e255%3A0xd8be102623bcc5b3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJVeKVZPsnogARs8W8IyYQvtg,"Alfredo Vasconcelos, MG",lojas_presentes,2025-07-28T16:29:27.441508,COMPLETA
