position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Maria Flor Casa e Decoração,ChIJ5VBNClC1owARdx_duiufMGE,0xa3b5500a4d50e5:0x61309f2bbadd1f77,7003272430728585079,/g/11rbyw4cct,5,1,"Loja de artigos para cama, mesa e banho","Loja de artigos para cama, mesa e banho",linens_store,"R. Cel. José Gonçalves Moreira Couto, 107 - Centro, Alto Rio Doce - MG, 36260-000, Brasil",-21.0243342,-43.4137858,+55 32 98412-7704,http://casamariaflor.com/,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/p/AF1QipP-FuVsRTV6CgRf8cb9h0wjhhGCrETGX5bSlh1r=w92-h92-k-no,https://serpapi.com/images/url/IrLRgHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQoOtWGlYcFBJm5pwelGaRnGSZYVCelZHh7lzkGuIeYZoUnJNhWGRbbmmkmwHE2bp5-QCCFSD1,https://serpapi.com/search.json?data_id=0xa3b5500a4d50e5%3A0x61309f2bbadd1f77&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3b5500a4d50e5%3A0x61309f2bbadd1f77&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5VBNClC1owARdx_duiufMGE,"Alto Rio Doce, MG",lojas_presentes,2025-07-28T16:14:59.898824,COMPLETA
2,Papelaria São Caetano,ChIJZ3gBDoa0owARcLestqUk56E,0xa3b4860e017867:0xa1e724a5b6acb770,11666333653879535472,/g/11cn7sfpjt,4.3,6,Papelaria,Papelaria,stationery_store,"Praça Levindo Gomes Barbosa - Centro, Alto Rio Doce - MG, 36260-000, Brasil",-21.023284999999998,-43.415416,+55 32 3345-1946,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=O-zwV-GhtaulBfwOTkYwwA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=319.39978&pitch=0&thumbfov=100,https://serpapi.com/images/url/0n6QqXicHc0xDsIgFADQ27AVqB0sJsTo4tjFmDgZSikQKZDy26-exmt5G40XeO_zdgC57BgrMBsDqzeY_cOEUmVFbUo2GJV9oTpNbK0ZuGXqo_Jhn1VMfpBd9cJLdXKglnAcsTvfr4gHovubDt5EkMWoWTtq8SfOaaA2F4Ky5cRJsSFPhbKpBW2E2LYke9BOcvJfxrTKmvMvp006Iw,https://serpapi.com/search.json?data_id=0xa3b4860e017867%3A0xa1e724a5b6acb770&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3b4860e017867%3A0xa1e724a5b6acb770&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJZ3gBDoa0owARcLestqUk56E,"Alto Rio Doce, MG",lojas_presentes,2025-07-28T16:14:59.898824,COMPLETA
3,Mila Piercer,ChIJt9vPs-W1owARms0kj8qLmLc,0xa3b5e5b3cfdbb7:0xb7988bca8f24cd9a,13229477607502040474,/g/11xgyb5rlr,5,5,Loja de body piercing,Loja de body piercing,body_piercing_shop,"Av. Juquinha do Açude, 323 - Centro, Alto Rio Doce - MG, 36260-000, Brasil",-21.0233843,-43.4181977,+55 11 97864-8764,,Aberto ⋅ Fecha às 19:00,Aberto ⋅ Fecha às 19:00,segunda-feira: 10:30–19:00; terça-feira: 10:30–19:00; quarta-feira: 10:30–19:00; quinta-feira: 10:30–19:00; sexta-feira: 10:30–19:00; sábado: 10:30–19:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,"""O ambiente é  limpo, organizado.""",https://lh3.googleusercontent.com/p/AF1QipPPNZkmNnhgt67iYMtCnyN_brVvUtbhCIjVe1vP=w92-h92-k-no,https://serpapi.com/images/url/1tqUfHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEOAXlZ3rl5eRXmJmnhnpW-KcV-kXn1QUVhZakpTh7JkVlmpYFmBbbmmkmwHE2bp5-QCoZSIN,https://serpapi.com/search.json?data_id=0xa3b5e5b3cfdbb7%3A0xb7988bca8f24cd9a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3b5e5b3cfdbb7%3A0xb7988bca8f24cd9a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJt9vPs-W1owARms0kj8qLmLc,"Alto Rio Doce, MG",lojas_presentes,2025-07-28T16:14:59.898824,COMPLETA
4,Sart Papelaria e Grafica,ChIJxyw-6b-1owAR0rgC_dxQCZM,0xa3b5bfe93e2cc7:0x930950dcfd02b8d2,10595088508433643730,/g/11vqsk21cr,5,1,Papelaria,Papelaria,stationery_store,"R. Cel. José Gonçalves Moreira Couto - Alto Rio Doce, MG, 36260-000, Brasil",-21.0242363,-43.413748999999996,+55 32 99806-9153,https://sart-papelaria.lojaintegrada.com.br/,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipPLWtzCs4MuqZKyrk7j3IdGbIeBmjCn4rXhXbFg=w80-h106-k-no,https://serpapi.com/images/url/ujri0nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4BNeUuVcbOJbWhjlXVmUbZ5l7JninuSZ6pSb5ZxnUhSREZHklm5bbmGgm2FoYKabrZuXDwC_-CHe,https://serpapi.com/search.json?data_id=0xa3b5bfe93e2cc7%3A0x930950dcfd02b8d2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3b5bfe93e2cc7%3A0x930950dcfd02b8d2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJxyw-6b-1owAR0rgC_dxQCZM,"Alto Rio Doce, MG",lojas_presentes,2025-07-28T16:14:59.898824,COMPLETA
5,Supermercado Sapolandia,ChIJD-wNi4C0owARODUO4tdc9TQ,0xa3b4808b0dec0f:0x34f55cd7e20e3538,3816058341546669368,/g/11g6wxys9g,4.5,38,Supermercado,Supermercado,supermarket,"R. 15 de de Novembro, 382 - Alto Rio Doce, MG, 36260-000, Brasil",-21.022212,-43.409324,,,Aberto ⋅ Fecha às 20:00,Aberto ⋅ Fecha às 20:00,segunda-feira: 08:00–20:00; terça-feira: 08:00–20:00; quarta-feira: 08:00–20:00; quinta-feira: 08:00–20:00; sexta-feira: 08:00–20:00; sábado: 08:00–20:30; domingo: 08:00–12:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega sem contato, Entrega",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=g_KuY0mlhegg7D62IxTj4g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=187.3063&pitch=0&thumbfov=100,https://serpapi.com/images/url/9ru5fnicHc0xDoIwFADQ23SzLWAATRoXF-Pq4kRK-f5-U2hDC8XTeC5vo_EC733eNqUQj0LENAOklSAH2sDFXdAcvUcHOlDkxo9iLUSyy9hPmtwp6MnToLC7Lnc5OguIzbkuL9vtuUdm-s44gimpCHo2lmP-ibMfOIbIsmols-pQspfOqmgbXsm6YoGSsUqyf_Lwqyqk_AJE8jlT,https://serpapi.com/search.json?data_id=0xa3b4808b0dec0f%3A0x34f55cd7e20e3538&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3b4808b0dec0f%3A0x34f55cd7e20e3538&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJD-wNi4C0owARODUO4tdc9TQ,"Alto Rio Doce, MG",lojas_presentes,2025-07-28T16:14:59.898824,COMPLETA
6,Loja do pereira confecções LTDA.,ChIJYzrwGVK1owAR3_Cl7cyzGV8,0xa3b55219f03a63:0x5f19b3cceda5f0df,6852706000762695903,/g/11fr6v88yk,5,5,Loja de roupas de designer,Loja de roupas de designer,designer_clothing_store,"R. Cel. José Gonçalves Moreira Couto, 90 - centro, Alto Rio Doce - MG, 36260-000, Brasil",-21.023905799999998,-43.4142023,+55 32 99943-5144,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–15:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento excepcional, muitas variedade  e opções.""",https://lh3.googleusercontent.com/p/AF1QipNzKrpoSqntha4lZo-hCcM-FJGYeDuEWc4k0ifT=w163-h92-k-no,https://serpapi.com/images/url/ifrWBXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngV-VdVJAfXJhXkpFokhOVr5vhnOyr6-blHpnqUuoanmySbZCZFmJbbmhmrJthaaSbrZuXDwDBryGs,https://serpapi.com/search.json?data_id=0xa3b55219f03a63%3A0x5f19b3cceda5f0df&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3b55219f03a63%3A0x5f19b3cceda5f0df&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJYzrwGVK1owAR3_Cl7cyzGV8,"Alto Rio Doce, MG",lojas_presentes,2025-07-28T16:14:59.898824,COMPLETA
7,Loja da Dete Confecções,ChIJUXvcq4i0owARivMizSbWuso,0xa3b488abdc7b51:0xcabad626cd22f38a,14608223803468346250,/g/11dxr3h26w,5,1,Loja de Roupa,Loja de Roupa,clothing_store,"Av. Juquinha do Açude, 515-585 - Alto Rio Doce, MG, 36260-000, Brasil",-21.0232228,-43.416564199999996,+55 32 3345-1741,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JrbzwjDuqRNr8mBWx_mM_Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=213.17592&pitch=0&thumbfov=100,https://serpapi.com/images/url/PXPUZXicHc09DsIgGIDh27DJT42xmhAT42SiiS6ODaUIn4GCQEv1NF7L29g4vsvzfj8m55C2hKQclcojqBJgUjYtgsDae22VCJCw9I6MjGQzuLYXYHdB9B46foztuzwOw_N6jrXb36bGnZoLkm0jLag-86RElAbrMovRd1iHhAqvKTJ8U6GXKLxiS8zWq7kCZGk4Rf_L3Y-cUfoDuHk6Og,https://serpapi.com/search.json?data_id=0xa3b488abdc7b51%3A0xcabad626cd22f38a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3b488abdc7b51%3A0xcabad626cd22f38a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJUXvcq4i0owARivMizSbWuso,"Alto Rio Doce, MG",lojas_presentes,2025-07-28T16:14:59.898824,COMPLETA
8,Bolos e Doces Mãe e Filha,ChIJ8UHlXK61owARqxRgURJOVgQ,0xa3b5ae5ce541f1:0x4564e12516014ab,312523064730457259,/g/11rnbyx7h9,4.6,10,Confeitaria,Confeitaria,confectionery,"Rua José Abrantes Fortuna Croatás, Alto Rio Doce - MG, 36260-000, Brasil",-21.0240697,-43.408651899999995,+55 32 98402-8474,https://www.instagram.com/mae.filhas/?utm_medium=copy_link,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas,,,,Cartão de débito,"Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipPXA7YKuZbP-qGf5uT7_qZHGSzGMQN8oVytBwVg=w81-h92-k-no,https://serpapi.com/images/url/LI8FHnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEOFoHuldGpUUoFvonmZaGmIeXxjl4R5c5e4b6GeRH1ZZ4lQelm5bbmGom2FppJutm5cPAIQJISg,https://serpapi.com/search.json?data_id=0xa3b5ae5ce541f1%3A0x4564e12516014ab&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3b5ae5ce541f1%3A0x4564e12516014ab&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ8UHlXK61owARqxRgURJOVgQ,"Alto Rio Doce, MG",lojas_presentes,2025-07-28T16:14:59.899824,COMPLETA
9,Skinão dos Móveis,ChIJB-Tv6IO0owARzOJhwXkDzFs,0xa3b483e8efe407:0x5bcc0379c161e2cc,6614665774170759884,/g/1tj53v0k,5,1,Loja de móveis,Loja de móveis,furniture_store,"Pc Levindo Gomes Barbosa, 251 - Alto Rio Doce, MG, 36260-000, Brasil",-21.0286103,-43.4070945,+55 32 3345-1639,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LMNY1Fcc_X1-DQ3c_V690A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=98.02141&pitch=0&thumbfov=100,https://serpapi.com/images/url/o3rHr3icHc1LCsIwFADA22TXfKpIKwQRxJUKbkRXJX19JoG0CU1M9DSey9soXmDm8zYphbhmLKYZMWWLJdgnulgFRbX32qEKNlLwI8uCJfMY-0lZtwlq8naQh-PpJvYA3VVUu_MCusuq5VsCfQfO4pRkRDWDobr8xNkPVIdIimw4MbKtyUsV2TaU12IpSLAJjOTkn9x9loLzL9_qOCI,https://serpapi.com/search.json?data_id=0xa3b483e8efe407%3A0x5bcc0379c161e2cc&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3b483e8efe407%3A0x5bcc0379c161e2cc&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJB-Tv6IO0owARzOJhwXkDzFs,"Alto Rio Doce, MG",lojas_presentes,2025-07-28T16:14:59.899824,COMPLETA
10,Loja da Bia,ChIJ7RH-60O1owARXPPR8Nul-1g,0xa3b543ebfe11ed:0x58fba5dbf0d1f35c,6411900858548745052,/g/11mp8j1mwb,1,1,Loja de Roupa,Loja de Roupa,clothing_store,"Rua da Liberdade, 6900 - Alto Rio Doce, MG, 36264-000, Brasil",-21.0235026,-43.4116113,+55 32 99829-5815,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 09:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TczkYVd1pUKlT_arl72rQQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=346.58545&pitch=0&thumbfov=100,https://serpapi.com/images/url/GkF5pXicHc3BDcIgFADQbbgJtLZaTYgDeGpSTTw1lCL8SMsPYFGncS230bjAe5-3TQnjnrGYgtZpAZ0RHtrFFUpqvDdOS4RIlZ_YUrBk79MwS3AHlLOHUXTqdbucxwJPR9f1MrhtGdqWqKFXDvScRNQyKEtN_onBj9RgJFk0nFixK8lTZrGuNrRu6qomCElZwcl_ufpFFJx_AZYgOds,https://serpapi.com/search.json?data_id=0xa3b543ebfe11ed%3A0x58fba5dbf0d1f35c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3b543ebfe11ed%3A0x58fba5dbf0d1f35c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7RH-60O1owARXPPR8Nul-1g,"Alto Rio Doce, MG",lojas_presentes,2025-07-28T16:14:59.899824,COMPLETA
