position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Loja T Magia,ChIJdW4jL5H6pAARatagf5ue0Lk,0xa4fa912f236e75:0xb9d09e9b7fa0d66a,13389376082870851178,/g/1td7_9q5,5,2,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Padre José Marciano, 477 - Alvinópolis, MG, 35950-000, Brasil",-20.110255199999997,-43.053892999999995,+55 31 3855-2318,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZnAUOC5YpXnQ9lZwd9AZ4Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=4.134816&pitch=0&thumbfov=100,https://serpapi.com/images/url/gKFdhnicHc3bDcIgFADQbfiTh1bTmhDTOIDph4n2x1B6BRIKNwWLTuNcbqNxgXM-b5szpj1jKc8AeXFQ0D3BpxUqamI0HhS6RHWc2CJYto9pCMr5A6oQ3Sj70J5Px-0VL6FrfF_Gpu2rjujhpr2DkGUCNWtLTfmJcxypwUSKrDmxslmTlyqyomJT1WJH0GVtJSf_5B4XKTj_AitNOQo,https://serpapi.com/search.json?data_id=0xa4fa912f236e75%3A0xb9d09e9b7fa0d66a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4fa912f236e75%3A0xb9d09e9b7fa0d66a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJdW4jL5H6pAARatagf5ue0Lk,"Alvinópolis, MG",lojas_presentes,2025-07-28T16:36:44.053400,COMPLETA
2,Florart Variedades,ChIJkV7e1ATxpAARSVKsZ4esA_Q,0xa4f104d4de5e91:0xf403ac8767ac5249,17583087067744457289,/g/11nxsyjfcg,4,1,Loja de presentes,"Loja de presentes, Loja de artigos de aromaterapia, Floricultura, Loja de artigos religiosos",novelty_store,"Av. Padre José Marciano, 455 - Centro, Alvinópolis - MG, 35950-000, Brasil",-20.1106056,-43.0593874,+55 31 97235-8640,,Aberto ⋅ Fecha às 18:30,Aberto ⋅ Fecha às 18:30,segunda-feira: 08:00–18:30; terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPqDXIVclPut5g4OU3ug0nVB8YMtcr_cnpD6YDQ=w80-h106-k-no,https://serpapi.com/images/url/15SekHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUOgS4RmWnBNQWmKabuIfalyabpAX5mQR6VuSXBSfnFfgYhbpEmhbbmGgm2FoYKabrZuXDwCvkiFi,https://serpapi.com/search.json?data_id=0xa4f104d4de5e91%3A0xf403ac8767ac5249&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4f104d4de5e91%3A0xf403ac8767ac5249&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkV7e1ATxpAARSVKsZ4esA_Q,"Alvinópolis, MG",lojas_presentes,2025-07-28T16:36:44.053400,COMPLETA
3,Aquarela Presentes,ChIJ-cqTiS3xpAARKmfQuNEsqQ0,0xa4f12d8993caf9:0xda92cd1b8d0672a,984367272817616682,/g/11nmrt1yy9,,0,Loja de presentes,"Loja de presentes, Decorador de interiores",novelty_store,"Av. Antônio Carlos, 521 - centro, Alvinópolis - MG, 35950-000, Brasil",-20.1100118,-43.060064499999996,+55 31 97118-9601,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",Entrega,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=e7Fayd6r8MeMFoa5ob6I3g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=99.3268&pitch=0&thumbfov=100,https://serpapi.com/images/url/ZhLvoHicHc3BDYMgFADQbbgVUFOrTYg3kx6cofniL5CgnwCVukz36jZtusB7n7fNOaSrEClHxLw7LMG90KdTAG6IjEcILnFNq9grke1znTdwfgiwkVsUXkY4ljZ2E04jwZnm9tYYpue79g63rBJC1Jab8hMjLdyExIrqJLOqr9kBRfU9b-q2Y8FlbZVk_-NBu6qk_AL0pzjf,https://serpapi.com/search.json?data_id=0xa4f12d8993caf9%3A0xda92cd1b8d0672a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4f12d8993caf9%3A0xda92cd1b8d0672a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ-cqTiS3xpAARKmfQuNEsqQ0,"Alvinópolis, MG",lojas_presentes,2025-07-28T16:36:44.053400,COMPLETA
4,O Boticário,ChIJcYdhsOr7pAARypcS18Er9qY,0xa4fbeab0618771:0xa6f62bc1d71297ca,12030851566103861194,/g/11ckvf2nwg,4.5,24,Loja de produtos de beleza,"Loja de produtos de beleza, Loja de Presentes, Perfumaria",beauty_supply_store,"R. Monsenhor Bicalho, 136 - Centro, Alvinópolis - MG, 35950-000, Brasil",-20.1077175,-43.0577262,+55 31 3855-2022,https://www.boticario.com.br/?utm_source=google&utm_medium=maps&utm_campaign=mirum14740,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipMfQLYV1MqOBIO1VvGud3Dqos-CVep4wIX4_udz=w168-h92-k-no,https://serpapi.com/images/url/wM-o7nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngmxboExlm6Fvo7-TpbxhW5l6aYuxSmF-s6xyWWmBS7hlhEl-aUmVbbmhmoZthaaSbrZuXDwCiZiFM,https://serpapi.com/search.json?data_id=0xa4fbeab0618771%3A0xa6f62bc1d71297ca&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4fbeab0618771%3A0xa6f62bc1d71297ca&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJcYdhsOr7pAARypcS18Er9qY,"Alvinópolis, MG",lojas_presentes,2025-07-28T16:36:44.053400,COMPLETA
5,Loja Rabisco,ChIJydALNYbwpAARXKr9Rra0HRk,0xa4f086350bd0c9:0x191db4b646fdaa5c,1809801320240884316,/g/11hbkckky7,4.4,35,Bazar,Bazar,bazar,"travessa Manoel Pedro, Tv. Manoel P Cota Barcelos, 478 - centro, Alvinópolis - MG, 35950-000, Brasil",-20.1102217,-43.0592622,+55 31 3855-1103,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,,,,"""Uma grande variedade de produtos.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wC-U86Kl-zr0XJC0UpmqhA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=106.70778&pitch=0&thumbfov=100,https://serpapi.com/images/url/hYEio3icHc1BDsIgEEDR27ArUBdtNSHGdKfrJu4MxREmoWUELOppvJa3sXH9k_e_H5czpZ0QKUeAvCAUwif4VJHmNgTrQRMmbsIkllpk95jGWaPfk54DXlXpq6FrTr56R3k-9nKg6e4OzIwX4xHmrBLoaBy3ZRVjuHJLiRXVSebUdsNeuqhaNryVbdsxwmyckux_uYVlTfIHT0A5Fw,https://serpapi.com/search.json?data_id=0xa4f086350bd0c9%3A0x191db4b646fdaa5c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4f086350bd0c9%3A0x191db4b646fdaa5c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJydALNYbwpAARXKr9Rra0HRk,"Alvinópolis, MG",lojas_presentes,2025-07-28T16:36:44.053400,COMPLETA
6,LOJA AZEVEDO,ChIJL6P5FX7wpAARVtzMpcM0u5U,0xa4f07e15f9a32f:0x95bb34c3a5ccdc56,10789275347201088598,/g/11fxc1xpvw,4.6,62,Loja,"Loja, Loja de eletrodomésticos, Loja de móveis",store,"R. Monsenhor Bicalho, 100 - CENTRO, Alvinópolis - MG, 35950-000, Brasil",-20.1075539,-43.0575932,+55 31 3855-1020,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqgCo2o1jYzNuim4v6XJ2iTQUhznYwU0szju-bzaxBhP_2t3OqPIz9yyhjnkwFGuKq52CT5e9ReuXcBaLh8RecyXVJa-LR_C_VYkEfJjCPgsXjHn8-NVgecSKLfyW7zitmIpM8M=w122-h92-k-no,https://serpapi.com/images/url/zHcSk3icBcHhcoIgAADgJyITa9Pd9WNxa9PMmZXDX57jCMQEHZCT9-sh9jb7vr8HN2bQL55348GCKcVu1Gr6Q5Q0VJoFUb3HBg2IBtp7RRFfyZEhBZUvKpfZtl_dn3AC2_Pxwp2spstSO2HBt2t-tzyvoQk-xzx20TxzIbtp92734xqi85pGBbWYbJuUhwUlMy6TBqRFjeqy6t6uiUA501h8yBBkJaPktE-v89eza00fD4fwsJl8CAGPIOiAVP9yQkYn,https://serpapi.com/search.json?data_id=0xa4f07e15f9a32f%3A0x95bb34c3a5ccdc56&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4f07e15f9a32f%3A0x95bb34c3a5ccdc56&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJL6P5FX7wpAARVtzMpcM0u5U,"Alvinópolis, MG",lojas_presentes,2025-07-28T16:36:44.053400,COMPLETA
7,Mil Dicas,ChIJdW4jL5H6pAARnJ3nO7W8dRw,0xa4fa912f236e75:0x1c75bcb53be79d9c,2050752691917266332,/g/1tn070cr,4.9,10,Loja de moda feminina,"Loja de moda feminina, Loja de Roupa, Loja de acessórios de moda, Loja de moda masculina, Loja de calçado, Loja de roupas esportivas",womens_clothing_store,"R. Monsenhor Bicalho, 236 - Centro, Alvinópolis - MG, 35950-000, Brasil",-20.1082401,-43.057968599999995,+55 31 98649-7086,https://www.facebook.com/mildicas,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipNVpm7qNJWWMgUUYbg3O5CyHS6wJtyPXmr6OTKG=w80-h120-k-no,https://serpapi.com/images/url/fPxCnnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngF1aQa17o5xUe7pseGhqZlG7sb-pc6RFsVu5VUhkQkVtk5h_i7W5bbmGgm2FoZKCbrZuXDwCsiiFF,https://serpapi.com/search.json?data_id=0xa4fa912f236e75%3A0x1c75bcb53be79d9c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4fa912f236e75%3A0x1c75bcb53be79d9c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJdW4jL5H6pAARnJ3nO7W8dRw,"Alvinópolis, MG",lojas_presentes,2025-07-28T16:36:44.053400,COMPLETA
8,Real Tentação,ChIJlX2pSWTxpAAR6sAu2l8O548,0xa4f16449a97d95:0x8fe70e5fda2ec0ea,10369272471889035498,/g/11pzfg8l7j,,0,Papelaria,"Papelaria, Atacadista de acessórios eletrônicos, Loja de presentes",stationery_store,"Av. Padre José Marciano, 376 - Centro, Alvinópolis - MG, 35950-000, Brasil",-20.1096616,-43.0590349,+55 31 99547-4518,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipOylOg3eB-DAjOeFUmKmWnz3qYj-NfOkPaeiJ3D=w80-h106-k-no,https://serpapi.com/images/url/z98neHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX5njn26c6qTr4pjln-oWmuudG55XZVwYmaXrl-afHZCYmull7GJbbmGgm2FoYKabrZuXDwCsSCFL,https://serpapi.com/search.json?data_id=0xa4f16449a97d95%3A0x8fe70e5fda2ec0ea&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4f16449a97d95%3A0x8fe70e5fda2ec0ea&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJlX2pSWTxpAAR6sAu2l8O548,"Alvinópolis, MG",lojas_presentes,2025-07-28T16:36:44.053400,COMPLETA
9,Aquarela Presentes,ChIJtxKvp1LxpAARYUCVwo4o1bc,0xa4f152a7af12b7:0xb7d5288ec2954061,13246538472595210337,/g/11nmrt2jkx,,0,Loja de presentes,"Loja de presentes, Service establishment",novelty_store,,-20.1067347,-43.0544887,+55 31 97118-9601,https://www.instagram.com/aquarelaalvinopolis/,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,,,,,https://lh3.googleusercontent.com/p/AF1QipPTdkZ9Pz69d_usqc_5N06h_gb7HPncskXkrLyW=w92-h92-k-no,https://serpapi.com/images/url/-WJKF3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEJKSHWUZUGVmmRJfWlyYHG_qZ2CWEZ-eZO4RkJdcnB2RXeRTGW5bbmmkmwHE2bp5-QCXQSGx,https://serpapi.com/search.json?data_id=0xa4f152a7af12b7%3A0xb7d5288ec2954061&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4f152a7af12b7%3A0xb7d5288ec2954061&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJtxKvp1LxpAARYUCVwo4o1bc,"Alvinópolis, MG",lojas_presentes,2025-07-28T16:36:44.053400,COMPLETA
1,Fabril Mascarenhas - fábrica de tecidos,ChIJdW4jL5H6pAARRUeM2bBfQSw,0xa4fa912f236e75:0x2c415fb0d98c4745,3188935224323753797,/g/1tg7b8cb,4.6,17,Fábrica de tecelagem,"Fábrica de tecelagem, Fábrica de tecidos de algodão, Atacadista de tecidos",weaving_mill,"Praça Coronel Aristídes Mascarenhas, 169 - Fábrica, Alvinópolis - MG, 35950-000, Brasil",-20.1004474,-43.0575127,+55 31 3855-3050,http://www.fabril.com.br/,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: Fechado; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,,https://lh3.googleusercontent.com/p/AF1QipPLX4PnZHewiw5WH11mv164a3CzoGmizm0XnNBV=w163-h92-k-no,https://serpapi.com/images/url/AzOUuXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4BNhEpAX5ZFanlluGu5haJhbZmhmkmjsXJXvnptZlWsQkefnFGZbbmhmrJthaaSbrZuXDwCg6iEU,https://serpapi.com/search.json?data_id=0xa4fa912f236e75%3A0x2c415fb0d98c4745&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4fa912f236e75%3A0x2c415fb0d98c4745&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJdW4jL5H6pAARRUeM2bBfQSw,"Alvinópolis, MG",lojas_artesanato,2025-07-28T16:36:47.133566,COMPLETA
