position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Papelaria Alvorada,ChIJObOQk7obrwARUtMfBF2sh-k,0xaf1bba9390b339:0xe987ac5d041fd352,16827608048194278226,/g/11r_tq_xkt,5,2,Papelaria,Papelaria,stationery_store,"Av. José M Horta - Alvorada de Minas, MG, 39140-000, Brasil",-18.7326908,-43.363996799999995,+55 31 98322-0065,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–11:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,,,https://serpapi.com/search.json?data_id=0xaf1bba9390b339%3A0xe987ac5d041fd352&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf1bba9390b339%3A0xe987ac5d041fd352&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJObOQk7obrwARUtMfBF2sh-k,"Alvorada de Minas, MG",lojas_presentes,2025-07-28T16:34:56.895376,COMPLETA
2,Mundo Personalizados,ChIJsyDItH4brwARCA6bO3T76fo,0xaf1b7eb4c820b3:0xfae9fb743b9b0e08,18080258655690362376,/g/11hcfnkltm,,0,Loja de Presentes,Loja de Presentes,gift_shop,"R. do Serro, 73 - centro, Alvorada de Minas - MG, 39140-000, Brasil",-18.731032799999998,-43.3642341,+55 31 98405-3892,,,Aberto agora,,,,,"Cartão de crédito, Cartão de débito",Entrega,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wNRqVbLHBpnb001T0kIOHA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=310.2534&pitch=0&thumbfov=100,https://serpapi.com/images/url/TRHqFHicHc1RCsIgGADg2_iW_m4FFUjU04IoiOg1nDOVnP5Nm3WaztVtii7wfZ-3zRnTkrGUB63z6HRB99Q-TVBSE6PxWqJLVMWejZxl--jbIJ1foQzRdaLsj_dzu2s2GFoAfoLb9tCsiWovyjsdskhaDspSU37iEDtqMJEi5kCsWFTkJYuoOdBqVk8JuqysAPJPrnEUHOALGH44wA,https://serpapi.com/search.json?data_id=0xaf1b7eb4c820b3%3A0xfae9fb743b9b0e08&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf1b7eb4c820b3%3A0xfae9fb743b9b0e08&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJsyDItH4brwARCA6bO3T76fo,"Alvorada de Minas, MG",lojas_presentes,2025-07-28T16:34:56.895376,COMPLETA
3,Loja ideal,ChIJq1zqun4brwAR1eNO9QTEvrM,0xaf1b7ebaea5cab:0xb3bec404f54ee3d5,12952005103938626517,/g/11fzp6tn4x,4.9,10,Loja,Loja,store,"R. do Serro, 127 - Centro, Alvorada de Minas - MG, 39140-000, Brasil",-18.7305577,-43.3640664,+55 31 98429-3286,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 08:30–12:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nonwfCJ0x5AG_mj1LE4-cbQyudE5c05rYVNLigeoQUjYyFoDMFpJMGsul4XO8PfuCPKK2eYKnZWKz5cpoH4dt25Fn2kKX4LeueVrrv7362mwiQt-9d7NOLSapa2IRznl-nhml-9lQ=w80-h142-k-no,https://serpapi.com/images/url/HukeJnicBcFbcoIwFADQFV3BmFTpTD8cFKvBB-3Uij-OhkjUkJshSalu0DV0Nz3n76m8t-41irQa9GrEWsvgZCvQeGl8T2AT1daBcOCicZooatB053QR_7Lx7NBc-_mUgjgV91BNmYhZW25X-aWWWHxdy3uGk2VmF8uZC5ru1qPNOaQbzoksudl_8wcTFt9p5QnLDLnxHc1lkNu2_RkOXkjTXQoPSTVcrfPPoz2S-cfDaDCq0ZDo4q0bxaD6lMANDP4DQotE7Q,https://serpapi.com/search.json?data_id=0xaf1b7ebaea5cab%3A0xb3bec404f54ee3d5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf1b7ebaea5cab%3A0xb3bec404f54ee3d5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJq1zqun4brwAR1eNO9QTEvrM,"Alvorada de Minas, MG",lojas_presentes,2025-07-28T16:34:56.895376,COMPLETA
4,Sorveteria Doce Sensação,ChIJcTzTkX4brwARmhQVGl2W4q4,0xaf1b7e91d33c71:0xaee2965d1a15149a,12601800033949783194,/g/11clytvd_j,4.8,11,Loja,Loja,store,"R. do Serro, 265 - Alvorada de Minas, MG, 39140-000, Brasil",-18.7294674,-43.364106899999996,+55 31 98311-2485,,Fecha em breve ⋅ 17:00 ⋅ Abre ter. às 12:00,Fecha em breve ⋅ 17:00 ⋅ Abre ter. às 12:00,segunda-feira: 12:00–17:00; terça-feira: 12:00–17:00; quarta-feira: 12:00–17:00; quinta-feira: 12:00–17:00; sexta-feira: 12:00–17:00; sábado: 12:00–18:00; domingo: 12:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npMHYb-XMdfceVUbmaMCOpIc36zWNYQIdrjZfVG4ubs0S-Yf3nXR361IE60yyg51DDk56Auag0_ap-DP26-r27VJbOFYQ-frs1q8W8loGEpCHGr2UrXYhWqjOL6M19UVsbT0_7qRA=w163-h92-k-no,https://serpapi.com/images/url/l418MnicBcHdboIwGADQJ_qEUq2yZBcEHGJkTB0_3Y2hFdootqWFLO4F9wx7m53z9yunybgXzxskXgitxdDNrrNcq6lT04LrhyeMA-7AeVEcyqUy-Y4yaPJrz7uqZI82jwuTcUx-6nd6zK729tVX6XJmzj8D7bFqTpigbEv851OsUJLcVySaW-FfWgPJR0DAButqz4o3eoTeOjRu6s2g062Jd6kNSttQWY-34kByFJaVY5_-ZT2eotdvRDDIMIA7KP0PwHBC8g,https://serpapi.com/search.json?data_id=0xaf1b7e91d33c71%3A0xaee2965d1a15149a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf1b7e91d33c71%3A0xaee2965d1a15149a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJcTzTkX4brwARmhQVGl2W4q4,"Alvorada de Minas, MG",lojas_presentes,2025-07-28T16:34:56.895376,COMPLETA
5,Vieira Modas,ChIJ1ypkNBUbrwARZyJsAEnpnZE,0xaf1b1534642ad7:0x919de949006c2267,10492799206592094823,/g/11p5qwr24s,4.9,11,Loja de Roupa,Loja de Roupa,clothing_store,"Av Jose Madureira Horta, 56 - Centro, Alvorada de Minas - MG, 39140-000, Brasil",-18.733205899999998,-43.363824,+55 31 97112-3109,,Aberto ⋅ Fecha às 17:30,Aberto ⋅ Fecha às 17:30,segunda-feira: 07:30–17:30; terça-feira: 07:30–17:30; quarta-feira: 07:30–17:30; quinta-feira: 07:30–17:30; sexta-feira: 07:30–17:30; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npAoS8uBjg_ILPxCu-V4_KIYxS7i-lJn2yGYVhjXldBUav7GATBJIph6yh5dPW8QSbhLBVifhtrZhHz5TgnDZSn4Ec6E-vfZS3jNRJnvSMJKVRra8wKdSxOsI9dPHqgv7J9xguN=w80-h98-k-no,https://serpapi.com/images/url/WHZ0SHicBcHdEoFAGADQJ9oyRJsZF0VDm59Yom4M_ewn2U27JZ7PS3gb5_y-oFQlx7pewkBjQrAya2RWJ4KrjCstEQ-dVRIlEkndnlpg8MoWFDdOwc7eMuimDQqNs-9FHTVvqCS8_55HIRSnMnUOl9ac23uHeBWM3jBMgyPe0issnfCWg6pjWHyGe8ZnMeWGm4xc1OYxHRTrHeEtXRE_3NUX_PJT2m2kZ6XB4slak1gda9aTF-4hsDC6Iy7-lTlEwQ,https://serpapi.com/search.json?data_id=0xaf1b1534642ad7%3A0x919de949006c2267&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf1b1534642ad7%3A0x919de949006c2267&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ1ypkNBUbrwARZyJsAEnpnZE,"Alvorada de Minas, MG",lojas_presentes,2025-07-28T16:34:56.895376,COMPLETA
1,Loja Pequenas Lembranças,ChIJ0V8OLti5pgARbr7FRW72vWY,0xa6b9d82e0e5fd1:0x66bdf66e45c5be6e,7403344315944386158,/g/11fl8_mmn6,4.8,6,Loja de materiais para artesanato,Loja de materiais para artesanato,craft_store,"Av. Minas Gerais, 1051 - Morada da Serra, Ibirité - MG, 32405-080",-20.0249021,-44.060207,(31) 99889-9683,,,,,,,Assento com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipN-rWdP06pBxoPg6GmWHwL9US1h7tvgG2xwmjyz=w80-h106-k-no,https://serpapi.com/images/url/xUngnnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngp1sUnhJgYFbgVJEfkG7mnhvuUe5jGRpsmGFeUpbublRRnptVWWVbbmGgm2FoYKabrZuXDwCqeSGk,https://serpapi.com/search.json?data_id=0xa6b9d82e0e5fd1%3A0x66bdf66e45c5be6e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6b9d82e0e5fd1%3A0x66bdf66e45c5be6e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ0V8OLti5pgARbr7FRW72vWY,"Alvorada de Minas, MG",lojas_artesanato,2025-07-28T16:34:59.983883,COMPLETA
2,Arte Magia,ChIJ_1qJEpqVpgAR6MGSURE9r8A,0xa6959a12895aff:0xc0af3d115192c1e8,13884383320798839272,/g/1ts1nwn4,4.2,228,Loja de materiais para artesanato,Loja de materiais para artesanato,craft_store,"Av. João César de Oliveira, 2660 - loja 101 - Eldorado, Contagem - MG, 32310-000",-19.938632,-44.0474505,(31) 3351-2735,,Aberto ⋅ Fecha às 17:50,Aberto ⋅ Fecha às 17:50,segunda-feira: 09:00–17:50; terça-feira: 09:00–17:50; quarta-feira: 09:00–17:50; quinta-feira: 09:00–17:50; sexta-feira: 09:00–17:50; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqXISZreEpBAZHkvSYyfouzmUZ8iYU-3eHcvfSu0g3ZJTL2XXZeqGqmAIarQ_K24X5mkuqnATk4-FFavP5Y_hphY580Nq5bjF_eu8nBZ8Ro9fE77pb3Tj1nGF3T0gE1B3iVXBlYow=w204-h92-k-no,https://serpapi.com/images/url/AS5miHicBcHbDoIgAADQLyJNdGlbD9q061qlNeDFlUMolYuIrX6wb-hvOuf35cOgzNxxWg4nTErWUmtoX0kxUDFMKtk5TBlQGWCceBlxX2i0yUlPU5XEZN2MOX7X0n66Cwkf-AIgXVdjnVuXQbIt9h5ChOqV7uLNrT-VO89HQddYLeKi8UGW3cZjgEuuOA5C96CD-zMrqQ1FQsKzjOp0NlN3WDynYpXBwmXpNIGPK0paLF-Ll-f6gEceaICQf3-URLc,https://serpapi.com/search.json?data_id=0xa6959a12895aff%3A0xc0af3d115192c1e8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6959a12895aff%3A0xc0af3d115192c1e8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_1qJEpqVpgAR6MGSURE9r8A,"Alvorada de Minas, MG",lojas_artesanato,2025-07-28T16:34:59.983883,COMPLETA
3,Loja Alvorada,ChIJs3dDBhSUpgARMZtWi4iTrR0,0xa69414064377b3:0x1dad93888b569b31,2138527612733397809,/g/11bx2gbkgx,4.5,262,Loja de aviamentos,Loja de aviamentos,haberdashery,"R. Macaúbas, 38 - Jardim Laguna, Contagem - MG, 32140-280",-19.8952399,-44.034685499999995,(31) 3357-9897,,Aberto ⋅ Fecha às 18:30,Aberto ⋅ Fecha às 18:30,segunda-feira: 08:00–18:30; terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,"""Melhor lugar pra comprar materiais de artesanato.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrp8gNxzgmAagiOxsulJi9SXQkyfcI3m_B4e2_g7KYEFD8AEOKIEctPbzdHJHFR8673MALfX6zcpzo332jIexSJ7P8UcQttrXjWrTqLfeK8ntChk0RiPbd29xz3XnWIcKLkh8-P=w122-h92-k-no,https://serpapi.com/images/url/-knaf3icBcHbDsEwAADQL6rRinUSD8MWu2CMmCeh69rd2lkrpv_nI_yNc35frnWn5pbVcDRiUrKGvhTtiRSaCj0isrVYpwBRQFnuyuFT0XeY7QbDWvfOyv2gXk1YOml2qD8FCVB7W04pvDE7unr-GrvePgo8opOHyTfhxj_imY22blxkM0M6IxGCVUCHNLQTfCYHrfusuvSnZ1zQCAu94vX4WCaPHDqDQZm4BCSKa45BsnhPIATcgaAGQv4B98ZEmQ,https://serpapi.com/search.json?data_id=0xa69414064377b3%3A0x1dad93888b569b31&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69414064377b3%3A0x1dad93888b569b31&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJs3dDBhSUpgARMZtWi4iTrR0,"Alvorada de Minas, MG",lojas_artesanato,2025-07-28T16:34:59.983883,COMPLETA
3,Merlin Store,ChIJWQNuBAAbrwARUoE-1GOEj5E,0xaf1b00046e0359:0x918f8463d43e8152,10488747621466669394,/g/11y6gkxcrb,5,1,Loja de Roupa,Loja de Roupa,clothing_store,"Alvorada de Minas, MG, 39140-000, Brasil",-18.7317958,-43.3641588,+55 31 98387-9462,,Fecha em breve ⋅ 17:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 17:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:00; terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqUxTI1ETCAAAvvvLWAsgZ5JZ2pNWsobQ9knRNblcnvX9cHq5xwdnOTkDCuvgDx2GuxCZDpopOljp7opIHDjjx_PvzEHjYz9aXUHZfA7rECp235EJSAiSluy6nclKDw4r76_Wgi=w85-h92-k-no,https://serpapi.com/images/url/-2dxIXicBcFtDoIgAADQE5HLMqOtHwxcWq1Pm-aflmSYEpAoUufrEt2m937fsm2VnjkOL0cDJiXjRaeLhkrRFqIdUPl0mNKAaqAdhGE5Fq-TjaNhEGOEkDFmnSDNMm-ZuWqTaJnvYS0Om5xTYVJIw5dn-5vYxjXBnWHEuovO4owoqba8Ur5UUUiqyl525hOE1fkDr-kpzO7IbwKs3JEXLI_oceTdeyIoX5F-3PiTS8Ie837qgRK6oAZC_gEQrkXf,https://serpapi.com/search.json?data_id=0xaf1b00046e0359%3A0x918f8463d43e8152&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf1b00046e0359%3A0x918f8463d43e8152&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJWQNuBAAbrwARUoE-1GOEj5E,"Alvorada de Minas, MG",lojas_decoracao,2025-07-28T16:35:03.057741,COMPLETA
6,Cutelaria Assis,ChIJoeeDHbYbrwARO_12SoOyxQ0,0xaf1bb61d83e7a1:0xdc5b2834a76fd3b,992395569864834363,/g/11p65sc8br,5,2,Loja de facas,Loja de facas,knife_store,"Av Jose Madureira Horta, 56 - Centro, Alvorada de Minas - MG, 39140-000, Brasil",-18.7325113,-43.3640563,+55 31 97153-8603,https://www.instagram.com/cutelariaassis/,Fecha em breve ⋅ 17:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 17:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:00; terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipO0GI5lRsH2hnHjQOZt5nNV885tHpQHJXRfzdGt=w92-h92-k-no,https://serpapi.com/images/url/uXySYHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb-DuaZoTVOxhlJHnkRXoH1VimucXZmFhWuJREOjhFRGUVpXiXmJbbmmkmwHE2bp5-QB43SDV,https://serpapi.com/search.json?data_id=0xaf1bb61d83e7a1%3A0xdc5b2834a76fd3b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf1bb61d83e7a1%3A0xdc5b2834a76fd3b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJoeeDHbYbrwARO_12SoOyxQ0,"Alvorada de Minas, MG",lojas_decoracao,2025-07-28T16:35:03.057741,COMPLETA
