position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,"Casa Das Latas - Ouro Preto, MG",ChIJSVoBjcULpAARwJymhTg6RkA,0xa40bc58d015a49:0x40463a3885a69cc0,4631453281232002240,/g/11q1tqxvv2,4.7,49,Loja de Presentes,Loja de Presentes,gift_shop,"Praça Tiradentes, 4 - Ouro Preto, MG, 35400-000, Brasil",-20.385536899999998,-43.503326699999995,+55 31 99923-1019,http://instagram.com/casadaslatasouropreto,Aberto ⋅ Fecha às 19:00,Aberto ⋅ Fecha às 19:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Os doces são gostosos, mas considere comer plástico em alguns.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrQS4dkg_Ys-PYpByCcwYmBgoztl1IuNV_xB7tQ-0dturiA5X9sniWusX38UvbMVbdn2wAbxP9YGNqRmIaienTCj3BptH4KOGtBr8MuiDmCvu_2PjcbyGwJoDCvRQolbBq2_A1c=w134-h92-k-no,https://serpapi.com/images/url/Uo2XtnicBcFJDoIwFADQE1VkMIqJC1oSRKOCMytiCylji_QX1Pt5CG_je79vAdCppWE0hT3hUvIm1yrvmRSQC5gw2Rq8U4gppAyPuIUj-vjkZDVPE4WipMNvwsakxVx-oDFDvb-mLzyHGE0z0H3pze6uEuVNq7u9uAx0d6WZsEaPviI3CfbPYxs-ylycSWXjDtbO9hAA7hc7XfotGXRqRRWj72DcSJ8Mx1g2FD-t1DPZajRtBxWuhWok5B9utEYw,https://serpapi.com/search.json?data_id=0xa40bc58d015a49%3A0x40463a3885a69cc0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa40bc58d015a49%3A0x40463a3885a69cc0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJSVoBjcULpAARwJymhTg6RkA,"Amarantina, MG",lojas_presentes,2025-07-28T16:38:53.422878,COMPLETA
2,Loja De Presentes e Acessórios Da Janaína,ChIJfbPdjPEHpAARZoWog0NPF_A,0xa407f18cddb37d:0xf0174f4383a88566,17300383644957312358,/g/11s90rxy1c,4.2,5,Loja de Presentes,Loja de Presentes,gift_shop,"R. Sete, 33 - Cachoeira do Campo, Ouro Preto - MG, 35410-000, Brasil",-20.360944999999997,-43.6730392,+55 31 98800-4520,,Aberto ⋅ Fecha às 19:00,Aberto ⋅ Fecha às 19:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: 08:00–12:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrDJCotR20J-9fXD8pVsar_tRfJmzzaAROvG23DY9i_HD5RJUzB_p7buyK4GJliFY4fTIkmJky1T7y7m0LI7SI-5Xi-9wRiVuntnZB7YvN_1J8GSCd2n1OAWsne72qqlvIjp97Q=w80-h106-k-no,https://serpapi.com/images/url/5k7QrnicBcFJDoIwAADAF1UWwVITDwgRqUZjRQUvRJFNoC20YOB_PsLfOPP7FlJysVSUupjPcsbyOu1F2iWMypTKWcIaJecCJAIIxXZQYdDOxQ6TRFcxQFnoWvwqHl0sSYabaXrY5Dh4-tyNUBlvXZPgy7SOOXz2487wcF1uIiML_KrB1agFcISNuvfh2QdmWAL0IeW1p5Le1zAaDrGGLe_svHSqHe2boCnU27Ye_DdH8LT6WCooNHUBKkDZH3c1Q2Y,https://serpapi.com/search.json?data_id=0xa407f18cddb37d%3A0xf0174f4383a88566&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa407f18cddb37d%3A0xf0174f4383a88566&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJfbPdjPEHpAARZoWog0NPF_A,"Amarantina, MG",lojas_presentes,2025-07-28T16:38:53.422878,COMPLETA
3,Com Afeto Presentes,ChIJ8bP5ZXkLpAARMj6iayMPq5M,0xa40b7965f9b3f1:0x93ab0f236ba23e32,10640615189396995634,/g/11jr9mzfhh,5,10,Artesanato,Artesanato,handicraft,"R. Heli Coelho Neto, 330 - Novo Horizonte, Ouro Preto - MG, 35402-309, Brasil",-20.4039695,-43.5037601,+55 31 98468-8666,,Aberto ⋅ Fecha às 19:00,Aberto ⋅ Fecha às 19:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 09:00–17:00; sábado: 10:00–16:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótimos produtos, tudo muito bem feito que transmite  o amor colocado.""",https://lh3.googleusercontent.com/p/AF1QipMv_7cPQzpfsT0PZn8gM-HOA2bylg0N7pLsD0uN=w80-h94-k-no,https://serpapi.com/images/url/T0q_5nicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngWxZvnhwQWFWQVhxiEBCVZ5Huq-vh72iUVJmTbuBnXuBT7GJQ6mdbbmGgm2Fpoputm5cPAIpFIPM,https://serpapi.com/search.json?data_id=0xa40b7965f9b3f1%3A0x93ab0f236ba23e32&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa40b7965f9b3f1%3A0x93ab0f236ba23e32&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ8bP5ZXkLpAARMj6iayMPq5M,"Amarantina, MG",lojas_presentes,2025-07-28T16:38:53.422878,COMPLETA
4,Aline Presentes Lojinha da Ângela,ChIJx0hnOrBypAARoOS5k27Nc3M,0xa472b03a6748c7:0x7373cd6e93b9e4a0,8319218811491968160,/g/1ptwy_jrv,3.3,3,Loja de Presentes,Loja de Presentes,gift_shop,"R. Turmalina, 10 - Antonio Pereira, Ouro Preto - MG, 35411-000, Brasil",-20.289621,-43.475066,+55 31 3553-8155,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:00–18:00; sábado: 08:30–17:30; domingo: Fechado,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CwwtdZnV1wcmwIL3VkuWxg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=151.1858&pitch=0&thumbfov=100,https://serpapi.com/images/url/o9V1VXicHc1LCsIwEADQ22RnPkqhCsGFK8F1BTeSpjEZTJPQTDv1NJ7L2yhe4L3POyCWehCi4uQcLuCowOpi3RTDfc4-OlOgcptHsSiBYR77ZCAei0kZBn0iwuGWOkV2pPNl1z3n6-qZ7e82gkuoqzOTDdzTT5zywH2pjHQrWdD7LXsZ0qpRXLVNywqgDVqyf_LIi1ZSfgGGFjoe,https://serpapi.com/search.json?data_id=0xa472b03a6748c7%3A0x7373cd6e93b9e4a0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa472b03a6748c7%3A0x7373cd6e93b9e4a0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJx0hnOrBypAARoOS5k27Nc3M,"Amarantina, MG",lojas_presentes,2025-07-28T16:38:53.422878,COMPLETA
5,Colé Presentes,ChIJV5RD0OEKpAAR63nyGmtgl8Y,0xa40ae1d0439457:0xc697606b1af279eb,14310012354122906091,/g/1tfqmlxc,4.7,12,Loja de moda feminina,"Loja de moda feminina, Loja de Roupa, Loja de fantasias, Loja de acessórios de moda, Loja de lingerie, Loja de roupas com tamanhos especiais",womens_clothing_store,"R. São José, 3 - Centro, Ouro Preto - MG, 35400-066, Brasil",-20.3845728,-43.5061828,+55 31 98372-7979,,Aberto ⋅ Fecha às 19:00,Aberto ⋅ Fecha às 19:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipOS0U8T1t2WkjndxG2jM7KIeuFvAZst0DYtpP_c=w92-h92-k-no,https://serpapi.com/images/url/qxzU43icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH2wQahFiWGIUnp2Vl1LhbpTla-7tmVrqVuYYVVxi4BJZUhAQn2xbbmmkmwHE2bp5-QCBjyEi,https://serpapi.com/search.json?data_id=0xa40ae1d0439457%3A0xc697606b1af279eb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa40ae1d0439457%3A0xc697606b1af279eb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJV5RD0OEKpAAR63nyGmtgl8Y,"Amarantina, MG",lojas_presentes,2025-07-28T16:38:53.422878,COMPLETA
6,Loja do Marçal,ChIJ1aUNNO0KpAAR9jIktG0ACNY,0xa40aed340da5d5:0xd608006db42432f6,15422577395103970038,/g/1tfxz7_w,4.5,79,Papelaria,"Papelaria, Loja de aviamentos, Loja de utensílios de cozinha, Loja de presentes, Loja de Brinquedos",stationery_store,"R. João Pedro da Silva, 181 - e 176A - Bauxita, Ouro Preto - MG, 35400-000, Brasil",-20.401181299999998,-43.5111084,+55 31 3551-2800,http://www.instagram.com/lojadomarcal,Aberto ⋅ Fecha às 18:30,Aberto ⋅ Fecha às 18:30,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótimo atendimento e com produtos variados do setor de papelaria.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4norZZR7N5AuEExYixD-BRi0yPOmPnZgX7GfSLoDEv7CHoWSoSeoESx6eK8QWC5CxTmSgjBaHr9bGxfHc_JrMNlhn13FNyIcXQ2_iXrTzo7pI2g4UYEkL0D3XZ-cpQW-SRihEmxljQ=w141-h92-k-no,https://serpapi.com/images/url/6WhxX3icBcFbjoIwFADQFVXkoYiJHwId8YVCnYD8mJmmtij0kha1ukHX4G485_MWfd_pqWU1wh1wAN6wm2aKguyZ7AcUWot3GlGNtDWPAuFJUFWV--lofsPYHGsTozCvh8_9rt3Lipf-4kw2EOO7HyVQECAMMDFjtp5kRTSKzKEl_BL-JSr4X5hzQk8rtU0bIW33J30uaZk5p7pUhxf43dLh3u8RXzfD2C0rRLusQCSvBW5Nc8lmD9uzkQgcdEUSvkjRRQM,https://serpapi.com/search.json?data_id=0xa40aed340da5d5%3A0xd608006db42432f6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa40aed340da5d5%3A0xd608006db42432f6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ1aUNNO0KpAAR9jIktG0ACNY,"Amarantina, MG",lojas_presentes,2025-07-28T16:38:53.422878,COMPLETA
7,Nice Time Presentes,ChIJXVo71SAHpAARI8HopuPwXpo,0xa40720d53b5a5d:0x9a5ef0e3a6e8c123,11123592990200217891,/g/11g_zf6my_,,0,Loja de presentes,"Loja de presentes, Loja de acessórios de moda, Loja de malas e bolsas, Loja de lingerie, Loja de calçado, Centro de bem-estar",novelty_store,"R. das Flôres, 96 - Amarantina, Ouro Preto - MG, 35412-000, Brasil",-20.315909899999998,-43.706119,,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 10:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 10:00–17:00; sábado: 08:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNHRRzD-M9QiRMbDRbIsN-Oki0YwCaW0hDzSeD_=w122-h92-k-no,https://serpapi.com/images/url/mtGJcXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng5xEUVOWi62sZmBnkm-QSlORZ7Kfrn51pEFnunBhukOFSFZzqEm9bbmhkpJthaaSbrZuXDwCXOCDb,https://serpapi.com/search.json?data_id=0xa40720d53b5a5d%3A0x9a5ef0e3a6e8c123&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa40720d53b5a5d%3A0x9a5ef0e3a6e8c123&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJXVo71SAHpAARI8HopuPwXpo,"Amarantina, MG",lojas_presentes,2025-07-28T16:38:53.422878,COMPLETA
8,ARMAZEM DAS COISAS PAPELARIA E PRESENTES,ChIJAxHi7gkLpAARKvWdG5kYXMk,0xa40b09eee21103:0xc95c18991b9df52a,14509499145353295146,/g/11k314vc1s,4.3,3,Loja de presentes,"Loja de presentes, Copiadora, Loja de produtos de papelaria",novelty_store,"R. Padre Tobias, 50A - Ouro Preto, MG, 35400-000, Brasil",-20.3891056,-43.500482399999996,+55 31 98573-6484,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPIDEDOaYxTjM3DNxgnfDPaKFMjwwyGADIodUrP=w80-h106-k-no,https://serpapi.com/images/url/HsDZI3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4Oni6uKfGFkRkuVr7OJXkZ6X5hKQ6O3mm1VeXunu6OKZnxJaFGBbbmGgm2FoYKabrZuXDwCr5CGD,https://serpapi.com/search.json?data_id=0xa40b09eee21103%3A0xc95c18991b9df52a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa40b09eee21103%3A0xc95c18991b9df52a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJAxHi7gkLpAARKvWdG5kYXMk,"Amarantina, MG",lojas_presentes,2025-07-28T16:38:53.422878,COMPLETA
9,Mineirinhos Artesanato,ChIJt-EOj60LpAAR-erNdxXdJfs,0xa40bad8f0ee1b7:0xfb25dd1577cdeaf9,18097113761932241657,/g/11mwkz4l34,5,5,Loja de Presentes,Loja de Presentes,gift_shop,"Rua Conde de Bobadela, 31 - Sala07 - Ouro Preto, MG, 35400-000, Brasil",-20.3855051,-43.5040838,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótimo lugar pra comprar lembrancinhas para toda família.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrYifbVKkYwtjrAW4LkwMEVsBP7EiccOHk5dKPYKeqXLlhsUz_Oyn5yWClizkYaX505sCShOo21uA9SS_nGGDSEzy3XwgrQ2eeKXREseSvMR3wvkxTci9CscYv63C_WhJOLv6CQ=w80-h106-k-no,https://serpapi.com/images/url/ScbPv3icBcFRboIwGADgE1VQBMVkD6wSjWBQq0CfyOw6isXW8Vc6uN8O4W38vte_MOYBK8dphTepta5b_gTeMa0MV2bC9N2pH4AYIHAiHIq56mjzc80TSa25dVExT6Xdxzl8HhZxw1i2lf53cqAJ_y3TVsBlrLJB-UOB22aU9Kv0XR8wEZmeTZ9RSEilNps1icfBK23dHWecJ-UpBk76_cmzvfw7sybEwGgfeLgqxC5L-wAfP-zSRWLqBkgipd9gZ0XM,https://serpapi.com/search.json?data_id=0xa40bad8f0ee1b7%3A0xfb25dd1577cdeaf9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa40bad8f0ee1b7%3A0xfb25dd1577cdeaf9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJt-EOj60LpAAR-erNdxXdJfs,"Amarantina, MG",lojas_presentes,2025-07-28T16:38:53.422878,COMPLETA
10,Criativa,ChIJ-aEJtgkHpAARP9909ywQ8Vw,0xa40709b609a1f9:0x5cf1102cf774df3f,6697151906192875327,/g/11fnvrtk_n,5,3,Loja de presentes,Loja de presentes,novelty_store,"R. Afonso Maximiniano, 57 - Cachoeira do Campo, Ouro Preto - MG, 35400-000, Brasil",-20.347675799999998,-43.6700769,+55 31 98620-5253,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq65TPYhqFKYxK30-VnPq_Va2NTQ9mTC3rZhy1zqmU4nARaAHEI3n57_xrFtn29JDegOeA8i7V5HeZSj0MeeykJmoZ7fWzx0FXRUWJiM45V5FUvn4DZ-zN-5lmgdWzyc-8nSKk=w122-h92-k-no,https://serpapi.com/images/url/MnwEI3icBcFbcoIwFADQFV3BQESc6QeDMhbGR5WH8uM4mCYKuRGSWmB9bqK76Tl_b2HMUy8sqxHOhCvFG_ajWVcpNAzNpFLS4k8NlQZtBaEvXGxnNN2fRRsl5z5xbMhx317yK9mmX75MQ6crxTAdW5m5GByuwXr16SD1Ln0XGSR-vGR8x4L53cvpmpXHh71hbKhjqUrvuxh7OzodsiK-b1ya0yh7obssYdwCbSS_FeNQwRyPSf3xOyUEhE-gBlT_HJJDGw,https://serpapi.com/search.json?data_id=0xa40709b609a1f9%3A0x5cf1102cf774df3f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa40709b609a1f9%3A0x5cf1102cf774df3f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ-aEJtgkHpAARP9909ywQ8Vw,"Amarantina, MG",lojas_presentes,2025-07-28T16:38:53.422878,COMPLETA
