position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Luluxa Presentes,ChIJyen31BUMnwARSozHSqQaXo0,0x9f0c15d4f7e9c9:0x8d5e1aa44ac78c4a,10186608700090190922,/g/11g8vd5y_j,5,2,Loja de presentes,Loja de presentes,novelty_store,"R. São João Del Rei, 227-497, Andrelândia - MG, 37300-000, Brasil",-21.7377242,-44.305751199999996,+55 35 3325-1797,,Aberto ⋅ Fecha às 18:30,Aberto ⋅ Fecha às 18:30,segunda-feira: 08:30–18:30; terça-feira: Fechado; quarta-feira: Fechado; quinta-feira: Fechado; sexta-feira: Fechado; sábado: 08:30–18:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=keTgA93PQq_D1oY6vkVInw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=47.50029&pitch=0&thumbfov=100,https://serpapi.com/images/url/Lz7Uw3icHc1NCgIhGADQ27hLnf4nkAjatCuIoNXgOF_6MY7aaFqn6VzdpugC733eJqUQN4zFNAKkjFACPsHGSZBUe68tyICRKj-wXLFkHkPrJNptkM5jJ3o46109O57uzb7y12XuLwdXiGobZRFcEhHkqAzV5SeOvqM6RFLEmhMj6il5ySLmK7rgfFqTgEkZwck_ufksKs6_QCY5Uw,https://serpapi.com/search.json?data_id=0x9f0c15d4f7e9c9%3A0x8d5e1aa44ac78c4a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f0c15d4f7e9c9%3A0x8d5e1aa44ac78c4a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJyen31BUMnwARSozHSqQaXo0,"Andrelândia, MG",lojas_presentes,2025-07-28T16:27:40.283748,COMPLETA
2,Papelaria 4F,ChIJfybFcmUMnwAR7zRQ1oBj7uQ,0x9f0c6572c5267f:0xe4ee6380d65034ef,16496231890107249903,/g/1tdc1wht,4.8,20,Papelaria,Papelaria,stationery_store,"Av. José Bernadino, 62 - Centro, Andrelândia - MG, 37300-000, Brasil",-21.738604499999997,-44.307627499999995,+55 35 99882-3133,http://www.facebook.com/papelaria4f,Aberto ⋅ Fecha às 18:30,Aberto ⋅ Fecha às 18:30,segunda-feira: 08:00–18:30; terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:30–13:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Compras na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np0tt33DzLidgdbZWpsuQwr2Zx2ZURII4y1KaWB9iNY1K9RESdhgUnLenxxZyqQ-TuZ1ofXIf373bKewOHnEbiqxUMt0RkZRYNMYSFPueA7_HspIH15jPgCYbjsS254IRWhzynK=w163-h92-k-no,https://serpapi.com/images/url/TWQXaHicBcHbDoIgAADQLyJDrGZbD10nM7tgzuSlpRJYBhQ4tf_rI_qbzvl9hbXaTB2nFmjAleI1awx7F0paJu2gUE-HawMKA4wzX_rCk3poLUKrz7YqeZnTVJvm2L5d2rk0IRh7PQyv6cKvdhkMfbKOS8ETuWWy62j_OoJTQ6G6nfENTVAesnYfyHVevbokskPyoCTbRVm8OTRsPrkERuMAju4Hvszyu4ndkYdJKj69DGctHCMgfBc8gFR_DCpFEQ,https://serpapi.com/search.json?data_id=0x9f0c6572c5267f%3A0xe4ee6380d65034ef&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f0c6572c5267f%3A0xe4ee6380d65034ef&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJfybFcmUMnwAR7zRQ1oBj7uQ,"Andrelândia, MG",lojas_presentes,2025-07-28T16:27:40.283748,COMPLETA
3,Loja da Dircea,ChIJP0ng1BkNnwARceisZRE0hxs,0x9f0d19d4e0493f:0x1b87341165ace871,1983611410204911729,/g/11f7gck4yt,5,6,Loja,Loja,store,"Av. Nossa Sra. do Porto da Eterna Salvação, Andrelândia - MG, 37300-000, Brasil",-21.739412599999998,-44.3072028,+55 35 3325-1486,,Aberto ⋅ Fecha às 18:15,Aberto ⋅ Fecha às 18:15,segunda-feira: 09:00–18:15; terça-feira: 09:00–18:15; quarta-feira: 09:00–18:15; quinta-feira: 09:00–18:15; sexta-feira: 09:00–18:15; sábado: 09:00–18:15; domingo: Fechado,,,Estacionamento com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Recomendo a todos, local ótimo variedade incrível""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrvvq9XNkDukE33e5fVwy3JDxMYgbZR3SM9aELFhHylgQeMF7WhrwMLr6psAbjWIIycp3Bh-d8VH5oER-K0JtUqIfdBnzPUovDu50h6EuXy3l5Jy4OtBKrPmQzdJhKL4jtijDY=w80-h160-k-no,https://serpapi.com/images/url/cFo893icBcFJDoIwFADQE1UwBRQTFyIYmRwjDjuF2i9gi20B6_m8hLfxvd8XlGrkxDBqwAPKOa1JK4nIOVOEqUHOnwZtJMolksZs7oLFRNe93NOq8tsqwJjY96zXOPLf6ZneLju8T91rkCxgqWu6JelidATRp4lwGjm7lccw1HmDPUDFOFvaPNih2IzU4RXeC499Ngfe-a1tghO0J41rO9LWWnmx2Dy3nyKCOLFK9Sj987QfmwiGjokqxPgfqIZEiw,https://serpapi.com/search.json?data_id=0x9f0d19d4e0493f%3A0x1b87341165ace871&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f0d19d4e0493f%3A0x1b87341165ace871&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJP0ng1BkNnwARceisZRE0hxs,"Andrelândia, MG",lojas_presentes,2025-07-28T16:27:40.283748,COMPLETA
4,Aquarela Papelaria Andrelândia,ChIJc72QNuQNnwARP8HKLCc6svY,0x9f0de43690bd73:0xf6b23a272ccac13f,17776334619114389823,/g/11jzddvx94,5,2,Papelaria,Papelaria,stationery_store,"R. Cônego Miguel, 54A - Centro, Andrelândia - MG, 37300-000, Brasil",-21.738974499999998,-44.3088707,+55 35 99903-9612,https://instagram.com/aquarela.papelaria.andrelandia?igshid=NzZhOTFlYzFmZQ==,Aberto ⋅ Fecha às 18:30,Aberto ⋅ Fecha às 18:30,segunda-feira: 08:30–18:30; terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipOGyTy9OgyPnazzQ3ODEPmzWeRwXAvXZRcRIQmO=w80-h142-k-no,https://serpapi.com/images/url/XNS7T3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng714ZUmnpn14ZkJdYVRVo7O_iGpBbFZ4aVB7hWBYRFZQc5BmY629bbmGgm2FoYqSbrZuXDwDFziID,https://serpapi.com/search.json?data_id=0x9f0de43690bd73%3A0xf6b23a272ccac13f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f0de43690bd73%3A0xf6b23a272ccac13f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJc72QNuQNnwARP8HKLCc6svY,"Andrelândia, MG",lojas_presentes,2025-07-28T16:27:40.283748,COMPLETA
5,Flores Fascinação,ChIJoXcmuxoMnwAR0EkJ9tDwJOs,0x9f0c1abb2677a1:0xeb24f0d0f60949d0,16943932478346316240,/g/11bw6bv5hf,4.3,4,Loja,Loja,store,"R. Joaquim Tibúrcio, 31, Andrelândia - MG, 37300-000, Brasil",-21.738080699999998,-44.3135592,+55 24 99856-5608,http://www.facebook.com/flores.fascinacao,Aberto ⋅ Fecha às 18:30,Aberto ⋅ Fecha às 18:30,segunda-feira: 09:30–18:30; terça-feira: 09:30–18:30; quarta-feira: 09:30–18:30; quinta-feira: 09:30–18:30; sexta-feira: 09:30–18:30; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npeD9axXCjgjPdpzNK1eNpLIfRoL1aVXY5f2jqhTry6tj2JaT2NnK15nXqmwiLz-13q4xNSvCdWTmQ3BRMhhiFVYjT2rr5-zL3T8Xc6G7ZOrshQeCD1TAugvUQ8QjrUIi01lm_BGA=w80-h106-k-no,https://serpapi.com/images/url/MAs1R3icBcH_EoEwAADgJ5paKXHnj8pxSMQQ_7guszW1rW1-9YKewdv4vt-XGiP1yLJq6vaIEKTGD41VKbjB3PRK0VhEalBqoK0wHtI-l3gyLN55zAjbXGWXLiFOZTK_bUUCi0N-8m4OaylSH98wZ1EgJ-VL6PG8bV5V0gHotv13unvG1yNqMjfariitpocTQ45SHugSFwV56c8G57XSNMPxBKLwQZ77LMiY2s8rG9bNJZqF41dgAwptH9wBF393VkTs,https://serpapi.com/search.json?data_id=0x9f0c1abb2677a1%3A0xeb24f0d0f60949d0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f0c1abb2677a1%3A0xeb24f0d0f60949d0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJoXcmuxoMnwAR0EkJ9tDwJOs,"Andrelândia, MG",lojas_presentes,2025-07-28T16:27:40.283748,COMPLETA
6,Lojas Edmil,ChIJfybFcmUMnwARdz-pSug4NNM,0x9f0c6572c5267f:0xd33438e84aa93f77,15218851611127922551,/g/1tfx63m4,4.2,68,Loja de departamento,"Loja de departamento, Loja de eletrodomésticos, Loja de eletrônicos, Loja de móveis, Loja de colchões, Loja de sofás",department_store,"R. Joaquim Teodoro, 117 - Areão, Andrelândia - MG, 37300-000, Brasil",-21.7431114,-44.3111876,+55 35 99995-0049,https://www.lojasedmil.com.br/nossas-lojas/s,Aberto ⋅ Fecha às 18:30,Aberto ⋅ Fecha às 18:30,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–13:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipMAltQIOXRz2fVEgDRxqxX2y-WmMpH2mdXKce7n=w121-h92-k-no,https://serpapi.com/images/url/QdPP53icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng65hTEujpHxFUZZQW5pruElRRWBFhVKkbnutb4GGUmxLhnZxqnmdbbmhkqJthaaSbrZuXDwCzAyGO,https://serpapi.com/search.json?data_id=0x9f0c6572c5267f%3A0xd33438e84aa93f77&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f0c6572c5267f%3A0xd33438e84aa93f77&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJfybFcmUMnwARdz-pSug4NNM,"Andrelândia, MG",lojas_presentes,2025-07-28T16:27:40.283748,COMPLETA
7,Papelaria Papel Grafit e artigos em geral,ChIJfxJ3SRcMnwARX1qurnBmJzA,0x9f0c174977127f:0x30276670aeae5a5f,3469854672065288799,/g/11g8yhnwn_,2.5,4,Papelaria,Papelaria,stationery_store,"Rua Ribeiro Salgado nº260 lj02, centro, Andrelândia - MG, 37300-000, Brasil",-21.737715899999998,-44.309211499999996,+55 35 99222-3613,,Aberto ⋅ Fecha às 19:00,Aberto ⋅ Fecha às 19:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–15:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr9PX7k88MYjZHZklazE90xio8LEmMOeFVqy0SDHMXAzmcz59tdtvskPdooNuMxoxBT9vsxp_7awu8bi3YpRC62c5w-motUGGsGWTFWzZEfRVPSlrEx2TEDXOfVl8e7Yax52sqZiw=w122-h92-k-no,https://serpapi.com/images/url/PLUuHHicBcFBcoIwFADQE0VsLCVxxoXViIuijFIENh0aI1ACH_lBIhfsGXqbvvf3WxrT4dJxdLmYFQCFVgOqXkJrVGtmEhqn6JBIJOisN7x8bXseJl7NWJD-ZPus1vkk-NxWwD5EExzVLr4_5-ftPkjWUyMnl5ureWAdXgEOQ2DBvkf8gbb78vJxYN_VIu1Omzcq3ZE0YD59H_1LtLtMmbid4vCse2FpJLbJ8RZrprw0ty7Fe1aNq_GFUlJySmrSwj_Hk0am,https://serpapi.com/search.json?data_id=0x9f0c174977127f%3A0x30276670aeae5a5f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f0c174977127f%3A0x30276670aeae5a5f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJfxJ3SRcMnwARX1qurnBmJzA,"Andrelândia, MG",lojas_presentes,2025-07-28T16:27:40.283748,COMPLETA
8,Loja Zema - Andrelândia,ChIJOYBoaC0NnwARU-yisSSBab8,0x9f0d2d68688039:0xbf698124b1a2ec53,13792697328397904979,/g/11qptdpxmr,4.5,28,Loja de eletrodomésticos,"Loja de eletrodomésticos, Loja de departamento, Loja de móveis",appliance_store,"R. Joaquim Teodoro, 29 - Areão, Andrelândia - MG, 37300-000, Brasil",-21.742283099999998,-44.3107755,+55 35 3325-1550,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipN8HCuHCMVBmnAXL0V9qpXIh3Pq7gDDEd698apn=w92-h92-k-no,https://serpapi.com/images/url/WFNzY3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngZ-HhXOrh7BvmlJvnGOFjEGZZWBDhmWEcUGie7uLimmJmaZFYkGdbbmmkmwHE2bp5-QBt3CBU,https://serpapi.com/search.json?data_id=0x9f0d2d68688039%3A0xbf698124b1a2ec53&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f0d2d68688039%3A0xbf698124b1a2ec53&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJOYBoaC0NnwARU-yisSSBab8,"Andrelândia, MG",lojas_presentes,2025-07-28T16:27:40.283748,COMPLETA
9,Toda Linda Presentes,ChIJVTZl7LINnwARwwnSuMyfM2A,0x9f0db2ec653655:0x60339fccb8d209c3,6932059953076242883,/g/11nnmdfzh5,,0,Loja,Loja,store,"R. Dr. Ernesto Braga, 25, Andrelândia - MG, 37300-000, Brasil",-21.7396219,-44.309809099999995,+55 35 99103-0834,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipN5LfjPO3dh6zLWIfADGZBJw1GbyNkiVWZq_agg=w80-h139-k-no,https://serpapi.com/images/url/Hlqj9HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngZ-qTlhXgb5ySYVblE-6Z5ujiHuXkVW7onlTpl50ZFh5VGJ-Ynm5bbmGgm2FobKmbrZuXDwCjPiFf,https://serpapi.com/search.json?data_id=0x9f0db2ec653655%3A0x60339fccb8d209c3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f0db2ec653655%3A0x60339fccb8d209c3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJVTZl7LINnwARwwnSuMyfM2A,"Andrelândia, MG",lojas_presentes,2025-07-28T16:27:40.283748,COMPLETA
10,Pequenitos Loja Infantil,ChIJc62Wg3MNnwARfCRezz-EjbU,0x9f0d738396ad73:0xb58d843fcf5e247c,13082257902178018428,/g/11vqhq6qdc,5,6,Loja infantil,Loja infantil,childrens_store,"R. São João Del Rei, 170 - Rosário, Andrelândia - MG, 37300-000, Brasil",-21.736369999999997,-44.3061691,+55 35 99994-7583,https://www.instagram.com/pequenitoslojainfantil/,Aberto ⋅ Fecha às 18:30,Aberto ⋅ Fecha às 18:30,"segunda-feira: 09:00–11:30, 13:00–18:30; terça-feira: 09:00–11:30, 13:00–18:30; quarta-feira: 09:00–11:30, 13:00–18:30; quinta-feira: 09:00–11:30, 13:00–18:30; sexta-feira: 09:00–11:30, 13:00–18:30; sábado: 10:00–14:00; domingo: Fechado",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipN8cYj2jN09qkH0vXz_N2r7Bt6ZwYSg7nheKsgd=w80-h106-k-no,https://serpapi.com/images/url/9ZkA0XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngZ5EcmWWU5WdgWZjtYVAWURXvZ1Rk7lRiFlUeGZxunpeR6l2cnmJbbmGgm2FoYKabrZuXDwClpyFk,https://serpapi.com/search.json?data_id=0x9f0d738396ad73%3A0xb58d843fcf5e247c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f0d738396ad73%3A0xb58d843fcf5e247c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJc62Wg3MNnwARfCRezz-EjbU,"Andrelândia, MG",lojas_presentes,2025-07-28T16:27:40.283748,COMPLETA
