position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Estilo Presentes,ChIJ94V-1iQDogARbIowv12fBwQ,0xa20324d67e85f7:0x4079f5dbf308a6c,290375925977090668,/g/11m5ylk_pl,5,1,Loja de variedades,Loja de variedades,variety_store,"Praça Lino Fernandes, 74 - Curral Novo de Minas, Antônio Carlos - MG, 36220-000, Brasil",-21.412388399999998,-43.7632453,+55 32 99948-5470,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Loja linda com atendimento otimo e precos justos""",https://lh3.googleusercontent.com/p/AF1QipMl1IfUEZ2jIWUA-XsuZBmM2Ag85q96r7F8OmBg=w80-h92-k-no,https://serpapi.com/images/url/Z_kSI3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm2PomRbqGmWU5Rke6qgbUVwa5ZTra-SYbmFaaGlWZO5m4Z_rlG5bbmGgm2FppJutm5cPAGvYIB4,https://serpapi.com/search.json?data_id=0xa20324d67e85f7%3A0x4079f5dbf308a6c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa20324d67e85f7%3A0x4079f5dbf308a6c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ94V-1iQDogARbIowv12fBwQ,"Antônio Carlos, MG",lojas_presentes,2025-07-28T16:30:29.160839,COMPLETA
2,ABCW,ChIJUYanT8ofogAROxqr_sJY7E4,0xa21fca4fa78651:0x4eec58c2feab1a3b,5687018023981619771,/g/11gycfgq0y,4.3,19,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"Praça Major Neca Andrade, 42 - Centro, Antônio Carlos - MG, 36220-000, Brasil",-21.3195445,-43.7506561,+55 32 99172-3164,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento adequado, encontramos tudo que precisamos!""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gII2ZE6dvkKQ2vb72_FhhQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=279.8104&pitch=0&thumbfov=100,https://serpapi.com/images/url/_K1pbnicHc3BDcIgFADQbbgJlBjbmhBPmjSeevXSUIrwU1pI-YJO41xuo3GB9z5vhxjTkbGEmzGYwZQIT-PTLipqQ7DeqAiJ6rCwXDF0j2VcFfhTVGuASdquE7fzYcrztRd5rMVwca4nehy0B7OiTEZt2lFbfuIWJmpjIkU2nDjZCvJSRYq6pU3F9yQCaic5-Sf3kGXF-RcfXjjw,https://serpapi.com/search.json?data_id=0xa21fca4fa78651%3A0x4eec58c2feab1a3b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa21fca4fa78651%3A0x4eec58c2feab1a3b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJUYanT8ofogAROxqr_sJY7E4,"Antônio Carlos, MG",lojas_presentes,2025-07-28T16:30:29.160839,COMPLETA
1,Gallearte Materiais Artísticos,ChIJhTrKnoeRpgAR01LvqF59PRM,0xa691879eca3a85:0x133d7d5ea8ef52d3,1386402105814635219,/g/11q2tcfp8k,5,173,Loja de materiais artísticos,"Loja de materiais artísticos, Loja de produtos de papelaria, Papelaria",art_supply_store,"Prédio Escola de Belas Artes, Av. Reitor Mendes Pimentel, 680 - Pampulha, Belo Horizonte - MG, 31270-901",-19.8630718,-43.9596454,(31) 3409-6362,https://www.instagram.com/gallearteoficial/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–16:00; terça-feira: 09:00–16:00; quarta-feira: 09:00–16:00; quinta-feira: 09:00–16:00; sexta-feira: 09:00–16:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""... grande variedade de produtos para os mais variados tipos de arte.""",https://lh3.googleusercontent.com/p/AF1QipOvm5yz7W1UftTMGTJcarvDwqhWgrTzVyG3gO3N=w236-h92-k-no,https://serpapi.com/images/url/-kxYp3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX5ZrWlllHm4YmlYS4use4pWcWFTmUl6YEZ5eFFIVVulunO5v7GdbbmRsppthaaSbrZuXDwDFkSIJ,https://serpapi.com/search.json?data_id=0xa691879eca3a85%3A0x133d7d5ea8ef52d3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa691879eca3a85%3A0x133d7d5ea8ef52d3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJhTrKnoeRpgAR01LvqF59PRM,"Antônio Carlos, MG",lojas_artesanato,2025-07-28T16:30:32.219463,COMPLETA
2,Artesanato Santo Antônio,ChIJa_rD_5HHoQAR-I70jnpl8a0,0xa1c791ffc3fa6b:0xadf1657a8ef48ef8,12533910815007608568,/g/11b6hrnz8p,4.6,64,Loja de materiais para artesanato,Loja de materiais para artesanato,craft_store,"Av. Domingos Pinto Camarano, 437 - São Francisco (Colônia do Marçal), São João del Rei - MG, 36302-004",-21.1149131,-44.2358377,(32) 98814-3554,,Temporarily closed,Temporarily closed,,,,,,Retirada na loja,,"""Itens maravilhosos a artesã que pinta as peças está de parabéns.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4np6VR2Egb5guxAORoDGaGelQaCzKosNHn1P2GjLRbLlC2ZXiHjbsc4ScS8JHXeTgHAXCuMuoTcmHCLSV9QnW7k7kRi_1gNe9o-eqmbxWq36uaR2r-IIIrf6peAs_X8-Kp8RBEyE=w189-h92-k-no,https://serpapi.com/images/url/DqYZvXicBcHbboIwGADgJyqE6oAu8YJ1hDKZh2KU7MZA0xUF-ldK4-H9fAjfxu97PdtpMvbT9_t25ikA1Utn5ShAT1JPnoDBV8YiYZH1E0rauTbhnuNUNR_K3ZI1h--szmS_reljCXbFdLDB2bngTdFT_Fed2LmxYl6KMv5hldwpllTU_TrYiYHRotyTrT5EXdTx0zFQK0kAycvQ3A6XWehqjkeU5_n4HxqZ2GMVo6WJ-Vd6TxfXICaoJRh1SMMbsmNECA,https://serpapi.com/search.json?data_id=0xa1c791ffc3fa6b%3A0xadf1657a8ef48ef8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c791ffc3fa6b%3A0xadf1657a8ef48ef8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJa_rD_5HHoQAR-I70jnpl8a0,"Antônio Carlos, MG",lojas_artesanato,2025-07-28T16:30:32.219463,COMPLETA
3,Lisi Artes,ChIJF_8VWqNrpQARfKoDhPPvOwQ,0xa56ba35a15ff17:0x43beff38403aa7c,305101228948564604,/g/11h7rj4r38,5,1,Artesanato,Artesanato,handicraft,"Sitio paraíso _, Antônio Dias - MG",-19.653602,-42.872404499999995,(31) 99936-7730,https://instagram.com/lisi_artes?igshid=NTc4MTIwNjQ2YQ==,Aberto ⋅ Fecha às 17:30,Aberto ⋅ Fecha às 17:30,segunda-feira: 08:00–17:30; terça-feira: 08:00–17:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–17:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrnav4qgKuDbvts4SGXau7imqBiK9gFXoeNV0953RoMZ14Se65pfyDBAIsaYY5AhYIL3yQ7KKSJKlqGMqhAq6x0jB4iaCdYnjpCbOpDWeaRY01llMMH2oQTAKcAobK0FGUw0Scabw=w80-h142-k-no,https://serpapi.com/images/url/YhXEiHicBcHddoIgAADgJyIxsebO2QXqyRWzTrmf2B0yBhbxE5jrCfcMe5t939-vitGFxyTRKptJa6UWYxBXbk0UJs64vSTSBcADCAmuCoXM1bAb8pKMdX-LAXXNkY3L4eLLgRRydbRi-w6LPDvY9jNFnVjk7vtel3gdGKU5VnT9kt33S0K6DdG-ab3CfvEDTyUaWPVFzclV_c7VH4IdKEy1btvnud2_YsKx7QlcNW8T7Djrp6fpAQKVojk4A2P_AU-MRKM,https://serpapi.com/search.json?data_id=0xa56ba35a15ff17%3A0x43beff38403aa7c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa56ba35a15ff17%3A0x43beff38403aa7c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJF_8VWqNrpQARfKoDhPPvOwQ,"Antônio Carlos, MG",lojas_artesanato,2025-07-28T16:30:32.219463,COMPLETA
4,Shanti Criações,ChIJZTsgEVF9pgAR1HIyu8IoRMY,0xa67d5111203b65:0xc64428c2bb3272d4,14286588734755467988,/g/11v0v6pq09,,0,Artesanato,Artesanato,handicraft,"Bela Vista, Lagoa Santa - MG, 33400-000",-19.6449562,-43.9043224,(31) 99118-9921,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: Fechado; domingo: Fechado,,,,Cartão de débito,,,,https://lh3.googleusercontent.com/p/AF1QipOjbRGM--ijQ9wejDARMDrPDJjyIO0uSoAog5b5=w80-h108-k-no,https://serpapi.com/images/url/pBbLFnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn5UU5O6rq5uZFWhZnprl4hjk61IU4OKVVenpb1AanO-Yn26aZGpbbmGgm2FoYKGbrZuXDwCeoSDz,https://serpapi.com/search.json?data_id=0xa67d5111203b65%3A0xc64428c2bb3272d4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa67d5111203b65%3A0xc64428c2bb3272d4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJZTsgEVF9pgAR1HIyu8IoRMY,"Antônio Carlos, MG",lojas_artesanato,2025-07-28T16:30:32.219463,COMPLETA
5,Marmoraria Artesanato,ChIJpYemV1KXpgARNb3cWA8cESI,0xa6975257a687a5:0x22111c0f58dcbd35,2454774124134579509,/g/1tq8ksjs,4.4,16,Marmoraria,Marmoraria,marble_supplier,"R. Bonfim, 1100 - Bonfim, Belo Horizonte - MG, 31210-150",-19.9090624,-43.9512967,(31) 3422-4463,http://marmorariaartesanato.com.br/,Aberto ⋅ Fecha às 17:30,Aberto ⋅ Fecha às 17:30,segunda-feira: 07:00–17:30; terça-feira: 07:00–17:30; quarta-feira: 07:00–17:30; quinta-feira: 07:00–17:30; sexta-feira: 07:00–17:30; sábado: 07:00–11:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito",,,"""... que era marmoraria tem um dos maiores estoques de pedra de BH.""",https://lh3.googleusercontent.com/p/AF1QipOK9iJadYjHsesGpP2pviEk661iK7kpVkFlCEo9=w122-h92-k-no,https://serpapi.com/images/url/yr3wenicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng722Z6ZWYEpnlUZxa7F4QYFRQlumabWZmmOltnl0Qlu2W4-yab2lbbmhkpJthaaSbrZuXDwCvjyFW,https://serpapi.com/search.json?data_id=0xa6975257a687a5%3A0x22111c0f58dcbd35&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6975257a687a5%3A0x22111c0f58dcbd35&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJpYemV1KXpgARNb3cWA8cESI,"Antônio Carlos, MG",lojas_artesanato,2025-07-28T16:30:32.219463,COMPLETA
6,Arte Aviamentos Antônio Carlos Sc,ChIJGVJF6P2zIJURaxKEtPyaTmo,0x9520b3fde8455219:0x6a4e9afcb484126b,7660230426354782827,/g/11vjf3y9s_,,0,Armarinho,Armarinho,yarn_store,"R. João Henrique Pauli, 264 - Centro, Antônio Carlos - SC, 88180-071",-27.517599099999998,-48.7709115,(48) 99131-5115,http://www.arteaviamentosac.com.br/,Aberto ⋅ Fecha às 17:30,Aberto ⋅ Fecha às 17:30,"segunda-feira: 09:00–12:00, 13:30–17:30; terça-feira: 09:00–12:00, 13:30–17:30; quarta-feira: 09:00–12:00, 13:30–17:30; quinta-feira: 09:00–12:00, 13:30–17:30; sexta-feira: 09:00–12:00, 13:30–17:30; sábado: Fechado; domingo: Fechado",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipO3U0EPtyIcVPBOgLpxzjG6g5eZ3rItgowenm3V=w122-h92-k-no,https://serpapi.com/images/url/z7G-7HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngbxxq4BpQUumZHBbg5J_uU1BRleVulm6aGmVc5FmSnl-empdrHGZbbmhkpJthaaSbrZuXDwCvbiGy,https://serpapi.com/search.json?data_id=0x9520b3fde8455219%3A0x6a4e9afcb484126b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9520b3fde8455219%3A0x6a4e9afcb484126b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJGVJF6P2zIJURaxKEtPyaTmo,"Antônio Carlos, MG",lojas_artesanato,2025-07-28T16:30:32.220462,COMPLETA
7,Escola de Belas Artes,ChIJpRGwHmSQpgARnul4iTGuiyk,0xa690641eb011a5:0x298bae318978e99e,2993677905100859806,/g/120xv5yf,4.6,151,Escola de artes,Escola de artes,art_school,"Universidade Federal de Minas Gerais, Av. Pres. Antônio Carlos, 6627 - Pampulha, Belo Horizonte - MG, 31270-901",-19.8632518,-43.9596308,(31) 3409-5267,http://www.eba.ufmg.br/,Aberto ⋅ Fecha às 23:00,Aberto ⋅ Fecha às 23:00,segunda-feira: 07:00–23:00; terça-feira: 07:00–23:00; quarta-feira: 07:00–23:00; quinta-feira: 07:00–23:00; sexta-feira: 07:00–23:00; sábado: Fechado; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Lugar onde trabalho há mais de 20 anos.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4no_9mDgc0UOaUsdC2ujvLyKkDb5RP9KjuLte2Smg50f1RaL31u1eBTxbqWiJOxbH0J5VUnbYbNIBJLpyYZJsW_tDqfec6su1t57UYLnHE2Yjsj6F4qrB14No7YI10axxY1C10GS8g=w89-h92-k-no,https://serpapi.com/images/url/bVdJ3HicBcFRboIwGADgE1VaBLVLfBjgptio0THTvRhaaxlKC_6t4gW9g7fx-17PyrkWPoLgUg0H2lp9UR7UVVrjlHEDaZtAt4AkIAg-U1pFxh5ok2mJi3VZwDENfX1jj-U5E_F2Q5e1Z06Fu0bH-ES2JRsST1Ty04tu_5-vezHHefxbGMHFapHkrH3wvxz2B5d1JyVH4ImLxwVnZj4LeQ316CvqrgmJVnbMFwSXfc9JSvD3bqKn9wlFFQ3RGRn7Bv4nRAI,https://serpapi.com/search.json?data_id=0xa690641eb011a5%3A0x298bae318978e99e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa690641eb011a5%3A0x298bae318978e99e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJpRGwHmSQpgARnul4iTGuiyk,"Antônio Carlos, MG",lojas_artesanato,2025-07-28T16:30:32.220462,COMPLETA
8,Palácio dos Enfeites e Aviamentos,ChIJa90qpcvDtpQRXZ3M_cqZMRI,0x94b6c3cba52add6b:0x123199cafdcc9d5d,1310998063662013789,/g/1tlgz13h,4.5,62,Armarinho,Armarinho,notions_store,"R. Pres. Antônio Carlos, 236 - Centro, Passos - MG, 37900-092",-20.7192892,-46.6099271,(35) 3521-6011,https://www.clickdisk.com.br/telefone/passos-mg/palacio-dos-enfeites-e-aviamentos,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,"""Tem muitas opções, de aviamentos e uma loja bem tradicional de Passos""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr_NzyPk83ZMHv341eyLjP73SYC1Esz8mhuf0cT996ZUTVIO_2Rmfm9WuXoeQNGtavNQgPv0nNTbERRZOpYrF6YYu7fmVYZ6NgqyyRCFrVz77HnGhkBe1OCC71JZ9FFEYeusl1O1w=w80-h106-k-no,https://serpapi.com/images/url/Z-YvwnicDc5RboMgAADQE1FlNiJL9rESbdd0aJ11g59mMwiZAk7QRi-4M-w23TvB-_tV3g_uMQh6FW2ktbIXkxNjY40Xxm8aqwM5ONA44IJngtXWjFe6LkWXRPz1MEdbKJbTd4GiN0Zg6tZEq6kNmwrjmF-q-iW_PpS61fh9-rDiTPf-c6ZnWcyhodVXWpY8H9iYxYxNqNU14zGVP8tSkmysV4QOZq-6nYA5IQgeOc6ylP3_epjD29MtCYGCYQw6YOwdNQJEmg,https://serpapi.com/search.json?data_id=0x94b6c3cba52add6b%3A0x123199cafdcc9d5d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b6c3cba52add6b%3A0x123199cafdcc9d5d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJa90qpcvDtpQRXZ3M_cqZMRI,"Antônio Carlos, MG",lojas_artesanato,2025-07-28T16:30:32.220462,COMPLETA
