position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Iris Home e Garden Center Areal,ChIJBy01FgBXmAAR62Qw2wU6wdA,0x98570016352d07:0xd0c13a05db3064eb,15042368027220796651,/g/11xmhgphzv,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"Lot. Projetado, Areal - RJ, 25845-000, Brasil",-22.229479599999998,-43.115298599999996,,,,,,,,,,,,"""Tudo muito bonito e elegante.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrqFnRn__YpkHIoz7JZDFRr5CQfCm8QqMtyr5tC2HuV1ilJM9d-OQrrw9TO9jT9rnTzeXOskj0DMAx30BNwlzPedOEOdTBmI_nSjCISJNU1wHa90QiZNdmFMwWfEeSIvxLY5KjlLu4uDhZa=w122-h92-k-no,https://serpapi.com/images/url/q7tGM3icBcFLcoIwAADQE0U-ytR0pgsNMoBCitCPbBgHIhFCgklolDt6AG_T915PqvWo3i2L0eWiFaJlZFJE1oJrwvWiFoPVjgrUCihrgyBdcXkL-JFX1Wnsw0jMb3HpB0fpoeyChnV2S_RDehq54fTtXFmcwAbgTEoDCwy7AkpezOQXq76z_WRzX9rb1LD5kzR4h5tiO0QVzzsU5XH65ZjwDO3sWqbNECTm57IjefR3P5y8fccO02ryaXn-MI7rAgpd0AMu_gFJvEfa,https://serpapi.com/search.json?data_id=0x98570016352d07%3A0xd0c13a05db3064eb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98570016352d07%3A0xd0c13a05db3064eb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBy01FgBXmAAR62Qw2wU6wdA,"Areal, RJ",lojas_presentes,2025-07-28T16:36:17.698007,COMPLETA
2,Papelaria Zimbrao,ChIJL5gs2k1XmAARWvpASC15RbY,0x98574dda2c982f:0xb645792d4840fa5a,13134037123688626778,/g/11hbqbtpfs,4.7,3,Loja de presentes,Loja de presentes,novelty_store,"Pr. Pres. Castelo Branco - Lot. Projetado, Areal - RJ, 25845-000, Brasil",-22.2360744,-43.1016043,+55 24 98802-3371,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Uma loja que tem tudo que você precisa e com ótimos valores.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npXR5FNWzW9iaFWyHTkonrp3gnpKHT3Z2cCN5jM2mD6-2mYoPjBHzp2sjFGA2AGhR_YCzBQ8ayGUDrRvK5spykivvwMUQzw7qimgpk2TOq9Q33tBxkYK85ljBcXnaQ2qjAIRDy5=w80-h177-k-no,https://serpapi.com/images/url/83So_nicBcHbboMgAADQL6J2MKY22YOXqIvpRWNj3UtjiAFBAYVp9f_2EfubnfP3y6zV5uQ4A0MHqhQduh_TzURJ20l7IGp0qDaAGGCcIPLZu9SPEieXeq_9vk3qLauEkrNGVOo8q9A3JNEF8zMc4w8Ax0bdeJjtGhqepAEMUlY-m2gPC6_d0ns8l0uOjd5Evyzr-V7sqzv1I9UCVtfJLxCy4Us0uYcHHpKHbAs48eCrjDf8uXpHwN5cFwgg1T_gRUT0,https://serpapi.com/search.json?data_id=0x98574dda2c982f%3A0xb645792d4840fa5a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98574dda2c982f%3A0xb645792d4840fa5a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJL5gs2k1XmAARWvpASC15RbY,"Areal, RJ",lojas_presentes,2025-07-28T16:36:17.698007,COMPLETA
3,Papelaria Lápis de Cor,ChIJwUYIO0xXmAARlwK5jhSo_TQ,0x98574c3b0846c1:0x34fda8148eb90297,3818392865327350423,/g/11h0yk0x_,4.8,57,Loja de produtos de papelaria,Loja de produtos de papelaria,copying_supply_store,"Est. União Indústria, 292 - Lot. Projetado, Areal - RJ, 25845-000, Brasil",-22.2351767,-43.102376,+55 24 2257-1607,https://www.lapisdecorlojas.com.br/,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqVsNWejOqd80gUx5_aX3umsZY1Bctz7nAgMXn4-jKTjBS4CQoaANqxXx1l0k4fpqzqpny0ZMJx2T3jVIhUP0bjiPfgCJNkjsjI6CCe3em_3hqhjD51iUNNXojPB-Wys0ebl1cU=w80-h106-k-no,https://serpapi.com/images/url/DrsO13icBcFBcsIgFADQE2GgRGs74yKhG3WkcTSaunEUEfxJIPhxjN6vh_A2vvf6tzF2-J0kjeUD471p9A31VXkXtYsD5dvEdEgUEkwy8WVTFzYotxp-w2lMTdkP94eK31rc_bFcxeeny8yicimB-RryVSqW_pDJ0Fc9a2idnrvwDJ170N1i1n-sOWymtizoES7F2YiZrAFhOhJCc93uuQ0WfobsUkpZeShysn0g1ceGqXJyH1NiGR2Rmjj_BiH2RT0,https://serpapi.com/search.json?data_id=0x98574c3b0846c1%3A0x34fda8148eb90297&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98574c3b0846c1%3A0x34fda8148eb90297&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJwUYIO0xXmAARlwK5jhSo_TQ,"Areal, RJ",lojas_presentes,2025-07-28T16:36:17.698007,COMPLETA
4,SUperbaratito,ChIJ3-WLDk5XmAAR_pb-26DPRMM,0x98574e0e8be5df:0xc344cfa0dbfe96fe,14070599425604884222,/g/11bysjwqdw,4.4,19,Loja de variedades,"Loja de variedades, Loja de acessórios de moda",variety_store,"Est. União Indústria, 280 - 4 - Lot. Projetado, Areal - RJ, 25845-000, Brasil",-22.2350285,-43.1024692,+55 24 99959-1227,http://www.facebook.com.br/superbaratito,Aberto ⋅ Fecha às 20:00,Aberto ⋅ Fecha às 20:00,segunda-feira: 08:00–20:00; terça-feira: 08:00–20:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–20:00; sexta-feira: 08:00–20:00; sábado: 08:00–20:00; domingo: 09:00–13:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jvA-2dLR-vaxeAycfFvOgw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=255.5686&pitch=0&thumbfov=100,https://serpapi.com/images/url/ixTCt3icHc1RCsIgGADg2_g2dYONFUj00lMQdIFw7p8abv7MP91O07m6TdEFvu_zdkSYjkIkWgEoeyjoNwipQs1tjDaARp-4ibPItSD3modF-3BCvUQ_qmc-V814vVdZb3DezXTJN1uYGR4meFhIJdCrcdyWn7jGkVtMrKheMqcODdt1UU3b8rbrO4aejFOS_ZMpZlVL-QVZSTmr,https://serpapi.com/search.json?data_id=0x98574e0e8be5df%3A0xc344cfa0dbfe96fe&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98574e0e8be5df%3A0xc344cfa0dbfe96fe&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ3-WLDk5XmAAR_pb-26DPRMM,"Areal, RJ",lojas_presentes,2025-07-28T16:36:17.698007,COMPLETA
5,Cestão Bom Preço,ChIJOyJhDE5XmAAR2ysTvy_-cQQ,0x98574e0c61223b:0x471fe2fbf132bdb,320316529542638555,/g/11c5zv3rnq,4.6,351,Mercado,Mercado,market,"Av. Amaral Peixoto, 292 - Centro, Areal - RJ, 25845-000, Brasil",-22.2352335,-43.1023529,+55 24 98160-1656,,Aberto ⋅ Fecha às 22:00,Aberto ⋅ Fecha às 22:00,segunda-feira: 06:30–22:00; terça-feira: 06:30–22:00; quarta-feira: 06:30–22:00; quinta-feira: 06:30–22:00; sexta-feira: 06:30–22:00; sábado: 06:30–22:00; domingo: 06:30–22:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Compras na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrjgg1ObB5mimTLGM1iBILrVOlo830wVHvZuvkJj4Q9l5dhraZcJhYTtIAIzwUzaNaP8JsI9n9xFjQiDFqoHlK181A8WN-k6ymKUNDqDRoZAnMjuq-goyK0KsLoUBwmuk5gbU9C=w122-h92-k-no,https://serpapi.com/images/url/R94xUXicBcFLDoIwFADAE1UsgqEmLkCi8hE_EY3sAEkLtH1Ci6j38xDexpnfl2n9UAvD4Gw2oQCUV4Oq-hKkrqSelCAM-lCoVEgZ7oowS_YNpXhfeLaoxTne7HDtBXF_2XNwZtPxsn1mw7MNG-tIuH1nfZ6VIbuddeAGnzH95El-cEIVEEle6-ZY--sOtjzCDnada4La-VtEaeJ3_gkyV-6aoUMU3tE0UjGk3iiG1qZFSlbLEZsmYsRELZLwB-rnROU,https://serpapi.com/search.json?data_id=0x98574e0c61223b%3A0x471fe2fbf132bdb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98574e0c61223b%3A0x471fe2fbf132bdb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJOyJhDE5XmAAR2ysTvy_-cQQ,"Areal, RJ",lojas_presentes,2025-07-28T16:36:17.698007,COMPLETA
6,Lápis de Cor Presentes,ChIJOW_-M69XmAARWGBLcAoJ0I0,0x9857af33fe6f39:0x8dd0090a704b6058,10218677494941966424,/g/11rhtf8799,,0,Loja de presentes,Loja de presentes,novelty_store,"Pr. Pres. Castelo Branco, 52 - Lot. Projetado, Areal - RJ, 25845-000, Brasil",-22.237099399999998,-43.101383299999995,+55 24 98823-8063,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 13:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–19:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipM6ThlYaL1Ih8q77PIbgy4tmdi0-PUaQIxNcTHS=w80-h140-k-no,https://serpapi.com/images/url/EuaxyHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngaxaSkROZ6GPomWFRaG4e4JmUXmlSkpuSaaAbEJoY6FnhlxziEWxbbmGgm2FoYqCbrZuXDwCdZyDw,https://serpapi.com/search.json?data_id=0x9857af33fe6f39%3A0x8dd0090a704b6058&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9857af33fe6f39%3A0x8dd0090a704b6058&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJOW_-M69XmAARWGBLcAoJ0I0,"Areal, RJ",lojas_presentes,2025-07-28T16:36:17.698007,COMPLETA
7,A & J Presentes,ChIJpQ2cKFJXmAARIKyP-0UPp84,0x985752289c0da5:0xcea70f45fb8fac20,14890887486171491360,/g/11cjkvy714,5,2,Loja de Presentes,Loja de Presentes,gift_shop,"Est. União Indústria, 2155-2297 - Lot. Projetado, Areal - RJ, 25845-000, Brasil",-22.2325913,-43.101838199999996,,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=hCQrAeh6RwNSi1J_Y7c-3g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=76.95692&pitch=0&thumbfov=100,https://serpapi.com/images/url/58pf-nicHc0xDsIgFIDh27AVqMbWmhBj3BxM1MmpofQJL6GFAIKexnN5GxvHf_n-78ek5OOOsZgCQMoIxeMLbKy8pNo5bUF6jFS5ieWaJfOchlmi3Xs5OxyFOV7CAUxzLecb1qf-3qpqrYkaemUR5iQiyKAM1WURgxup9pEUseXEiG5F3rKItqHdplnCY1JGcPKfPFwWNec_JJI4_A,https://serpapi.com/search.json?data_id=0x985752289c0da5%3A0xcea70f45fb8fac20&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x985752289c0da5%3A0xcea70f45fb8fac20&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJpQ2cKFJXmAARIKyP-0UPp84,"Areal, RJ",lojas_presentes,2025-07-28T16:36:17.698007,COMPLETA
8,Artigos Para Presentes,ChIJ84CEiVNXmAARZzl7dfyWd-s,0x985753898480f3:0xeb7796fc757b3967,16967196132188567911,/g/11cjhzxbcz,,0,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Pres. Vargas, 223 - Vila de Casas da Cerj, Areal - RJ, 25845-000, Brasil",-22.230194599999997,-43.1004686,,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=45_aL4ljRaatU2aXXmzWrA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=208.10957&pitch=0&thumbfov=100,https://serpapi.com/images/url/VqY33XicHc3BDcIgFADQbbgJtGlja0KMd08mxt6aX4qAoUDgW9RpXMttNC7w3udtEGPeMZYxKYWrVSXah3J5E4HqELRTEG2mMixsrRia-zJ5sG4fwQc7i6Yd4di42wkAzzUMw_K6pAOR0yidVR5FVpCkobr8xBRmqmMmRXScGNHX5AlF1LyjFe_bLYkWpRGc_JdrWEXF-Rd66TmY,https://serpapi.com/search.json?data_id=0x985753898480f3%3A0xeb7796fc757b3967&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x985753898480f3%3A0xeb7796fc757b3967&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ84CEiVNXmAARZzl7dfyWd-s,"Areal, RJ",lojas_presentes,2025-07-28T16:36:17.698007,COMPLETA
1,APROART (Associação de Produtores de Artesanato em Taboa),ChIJDxlnn-xXmAARUS-o3Up5IHU,0x9857ec9f67190f:0x7520794adda82f51,8439879064145637201,/g/11f9x8kry0,4.9,8,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"Estr. Vila Dantas - Alberto Torres, Areal - RJ, 25845-000, Brasil",-22.2565386,-43.161297399999995,+55 24 99272-9456,https://www.facebook.com/aproartareal/,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEzaPgrS2Jayoi1sQ-hLUAeQ9KcQEJeJyVn1sEHwoFUxUUfGfwOIpqeLmutXF-lxDUm0nVyqIU6R4YF5Zyo2V9ze7jlesjgpy1GmHZq4Bc2XUUdFWmnANHPDsbxS0g-AtGP2Hvaw=w122-h92-k-no,https://serpapi.com/images/url/__kRFHicBcFbcoIwFADQFUUkYh060w-qPESnBZ1Q9Q_TmKgkF7xRiBvsGtxNz3n9KWtbfPe8Rk1GEkA24o7ixsFYYeyIg_Zki4QjQS-ahyowED_rQt62NK8dnH0siVqzSJThipdxLnJXGR_jrIeEDYyd0lP_vWw7sdZ3u0tIMyyYHpvKdUv2tgn2yfTggFbhU8wujcCLbJ2f6uzQBZ-c7hj7TX60ib6yYoHHYTuWJLJpQbNH3X_0PqVEhZRciYF_x3lGNA,https://serpapi.com/search.json?data_id=0x9857ec9f67190f%3A0x7520794adda82f51&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9857ec9f67190f%3A0x7520794adda82f51&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJDxlnn-xXmAARUS-o3Up5IHU,"Areal, RJ",lojas_artesanato,2025-07-28T16:36:20.769962,COMPLETA
3,"Casa Branca Artesanato, Iluminação e Decoração Me.",ChIJa6iUNiBamAARXMJvTj4FXJg,0x985a203694a86b:0x985c053e4e6fc25c,10978655756784484956,/g/1tdn0qz9,3.5,2,Loja de Iluminação,Loja de Iluminação,lighting_store,"Estrada Serra do Guinle, 1219 - Km 2, 5 - Fazenda Velha, Areal - RJ, 25845-000, Brasil",-22.2067576,-43.095003999999996,+55 24 2257-2386,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: Fechado; domingo: Fechado,,,,,Entrega,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_jrLFmK_9aUq-nNwOXHnaQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=342.02957&pitch=0&thumbfov=100,https://serpapi.com/images/url/NSasoXicHc1BCgIhFADQ27gbdaaiJvi0i6AoWgTthj9majhqamPdpmt1m6ILvPd565xDWjKWcpQyj0aWYJ7SpiogVd4rKzGYRIUf2FizrB9D79DYVUDnzQW6W9yth23X4uleuX05nDcOj0T0nbBGugxJYhSaqvITo79QFRIpsOBEQ9uQFxaYTBvKm3Y2J8FkoYGT_3L1I9ScfwGLVjm7,https://serpapi.com/search.json?data_id=0x985a203694a86b%3A0x985c053e4e6fc25c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x985a203694a86b%3A0x985c053e4e6fc25c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJa6iUNiBamAARXMJvTj4FXJg,"Areal, RJ",lojas_artesanato,2025-07-28T16:36:20.769962,COMPLETA
