position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Jully Presentes,ChIJUV0bnUIgogARV-kcDW8WLxY,0xa220429d1b5d51:0x162f166f0d1ce957,1598521058956994903,/g/1vhq4ykw,4.7,38,Loja de Presentes,Loja de Presentes,gift_shop,"Condomínio do Edifício Bq Shopping II, R. Tiradentes, 166 - Loja 57 - Centro, Barbacena - MG, 36200-001, Brasil",-21.219653599999997,-43.771249,+55 32 3331-4893,https://api.whatsapp.com/message/VAGK5DBMA4OBA1?autoload=1&app_absent=0,Aberto ⋅ Fecha às 19:00,Aberto ⋅ Fecha às 19:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–14:00; domingo: Fechado,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas","Aceita somente dinheiro, Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipMwXZj31Ope6v2za4Xb6n2EOVori-wYgxNm0r0c=w80-h142-k-no,https://serpapi.com/images/url/ak62kHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngWx4RlWVs6F-QalZmVJVoEpFklmfk6h-WX5SpWx6ZXuGXa1BkkGxbbmGgm2FoYqSbrZuXDwCrXyFb,https://serpapi.com/search.json?data_id=0xa220429d1b5d51%3A0x162f166f0d1ce957&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa220429d1b5d51%3A0x162f166f0d1ce957&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJUV0bnUIgogARV-kcDW8WLxY,"Barbacena, MG",lojas_presentes,2025-07-28T17:05:10.331522,COMPLETA
2,Ângela Kilson Presentes,ChIJrQljgkIgogAR01rP0f-6Xz0,0xa22042826309ad:0x3d5fbaffd1cf5ad3,4422458967000570579,/g/1vnrm7gl,4.3,25,Loja de Presentes,Loja de Presentes,gift_shop,"R. Tiradentes, 140 - Centro, Barbacena - MG, 36200-062, Brasil",-21.2196858,-43.7714457,+55 32 3331-4531,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=S9xkThJQ19n4FqnIeFNffw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=103.59665&pitch=0&thumbfov=100,https://serpapi.com/images/url/qmjmqnicHc3BCsIgHIDxt_GWumojA-k2qEMQdQ_n_lPJqU3T9Ta9Vm_T6PzB7_t-dEoh7gmJaQJI2UAJZgYbV0Fg5b2yIIKJWPqR5Iok_Ro7J4w9BOG86fmVzY-bPl0q5rbt0x2hPQ9DQbK7S2vAJR5BTFJjVRZx8j1WIaLCdxRpztboLQqv6AbXrGlqFEySmlP0vww-L4n-AHY4OYc,https://serpapi.com/search.json?data_id=0xa22042826309ad%3A0x3d5fbaffd1cf5ad3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa22042826309ad%3A0x3d5fbaffd1cf5ad3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJrQljgkIgogAR01rP0f-6Xz0,"Barbacena, MG",lojas_presentes,2025-07-28T17:05:10.331522,COMPLETA
3,Delícias de Cestas Café da manhã,ChIJvw-6XgAhogARPm1gpogjjwA,0xa221005eba0fbf:0x8f2388a6606d3e,40289991483485502,/g/11xgtykb2y,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"R. 7 de Setembro, 761 - Centro, Barbacena - MG, 36200-078, Brasil",-21.2207647,-43.769853399999995,+55 32 99957-5142,,,,,,,,,,,"""Ótimo atendimento,  cestas maravilhosas e muito capricho.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npiCZ66oOiayxBiX1ee1lUY5Zcr9l_UNqyFVkRA8tmflYQnRvHbfX1rh-N3Br74QCJfPIBxdIFMIZXgdgbD9uqxWGg8qdf3rDimo0liwGv_KxvtxFWLoYgm9a6NxlmR9qTT_dCClofTmrc=w80-h97-k-no,https://serpapi.com/images/url/MzGh1XicBcHbboIwAADQL6pIcEiX7EFqUNzGJsEJvBAtvcVeoFSs37gv2N_snL9f7twwvQaB5NGCGcMkuU_EYqMd0W6BjQrYMAE8gSnYIMhXehCojWPzJS5Pn4o6JCSUp-alxRbK7lSMz-znVm4Sp6hsjrqc91dah5aDIkrtenVEB_qdp77Ps8-8rVnPrlt4H_15x5Kxp5HdCmWWUjx2c_fuZ-ez84dpmIKXuPBSlXCsqq5HSBpaKYvfHskScLgGN6DNP-6vSLg,https://serpapi.com/search.json?data_id=0xa221005eba0fbf%3A0x8f2388a6606d3e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa221005eba0fbf%3A0x8f2388a6606d3e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJvw-6XgAhogARPm1gpogjjwA,"Barbacena, MG",lojas_presentes,2025-07-28T17:05:10.331522,COMPLETA
4,Charmosa Presentes,ChIJx3dQ_xMhogAR_TiD8ze93WA,0xa22113ff5077c7:0x60ddbd37f38338fd,6979943045500451069,/g/11fj48pbtc,5,2,Atacadista,Atacadista,wholesaler,"R. 15 de Novembro, 18 - Centro, Barbacena - MG, 36200-074, Brasil",-21.223876,-43.7729201,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npy1YRT_OK_VDo_zXRmiien52Xb1EFGTpBCyB49pcedY7ppSxlZlU_2nme3htF5gMNiPwV7wiiEzQ1UkCNmPzQd4IUxeAfxrHnqjw_b4rM-ZD9lb2xwJq4kbUfupqASQ6Za9fAV=w80-h142-k-no,https://serpapi.com/images/url/2agmdHicBcFZEoIgAADQE5FptNhMH2Z706KlU_4waSgkAgoN5v06RLfpvd-XaC3V1LIYGfQKIQqG3wo3meAac93LRGUVUoFMAWV5vksglx_7Hl7RaY_ihUDdLawoxXzo3FJ7uVpf5dz_zKErM_y8j6W8tCxhEXJ4hQdEr4bF4UjPJh4bSpddYEelf6zOXfCE26jFXt42G16_DEphcwDJwmWp05pdDcs0yt-y9i7BKHm4uRfPzKQPiA0dUAIu_jpPReo,https://serpapi.com/search.json?data_id=0xa22113ff5077c7%3A0x60ddbd37f38338fd&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa22113ff5077c7%3A0x60ddbd37f38338fd&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJx3dQ_xMhogAR_TiD8ze93WA,"Barbacena, MG",lojas_presentes,2025-07-28T17:05:10.331522,COMPLETA
5,Bijoux Presentes,ChIJr0Qq8GkgogARchl4GgtuMHU,0xa22069f02a44af:0x75306e0b1a781972,8444370295287454066,/g/11bzwmqrrn,3.4,5,Loja,Loja,store,"R. Tiradentes, 249 - Centro, Barbacena - MG, 36200-062, Brasil",-21.2217402,-43.7724433,+55 32 3332-1727,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqtcIhWQWFz4geupQdddtu2Ttnuq2-8uz9veDiSjxOmmjYQ18hY3nl4_zrU15MT3Du1Qzqx-OSp094pyUcFGvGBs4anohkMvxh7K3zYwRzZKX0KaGdmOYYcBm-wkISFyS3V5WDzAA=w122-h92-k-no,https://serpapi.com/images/url/GDI_g3icBcFdboIwAADgE1WkrZmY-IAjEEIMYajYvSymNHRAf7AtYC-4M-w2ft__H7dWm0MQjBxtOqW6kTnDnlRJy6TdUCWCThtADTBB_BlxLCdLc95UTepxx5yu2ra1Dl6sdBMEe-ejmSW_db-WQvSkCvecIDniH_-8hrvzBSUurPy0grLW2wjr15Wm2ZydDH5IxYfzvPKPAnmyfPnv4r4tHlkrSkLoSYBlyOv0VaPbrkl8HB-XEELAIwgGINUbBCRGdA,https://serpapi.com/search.json?data_id=0xa22069f02a44af%3A0x75306e0b1a781972&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa22069f02a44af%3A0x75306e0b1a781972&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJr0Qq8GkgogARchl4GgtuMHU,"Barbacena, MG",lojas_presentes,2025-07-28T17:05:10.331522,COMPLETA
6,L'amore Cestas,ChIJs00Uw3chogARgrVPDlpjMQo,0xa22177c3144db3:0xa31635a0e4fb582,734477452676412802,/g/11y6qspg7m,5,4,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. Francisco Sales, 341 - Boa Morte, Barbacena - MG, 36201-026, Brasil",-21.224375,-43.7799036,+55 32 99125-6232,https://www.instagram.com/lamore_cestas_box_presentes?igsh=MTgza2IzZXptZ2ViYQ==,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 07:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipPOO_i590vfLNpDpPVBJ1OBzUsA1uMjUatAAWS6=w183-h92-k-no,https://serpapi.com/images/url/xVZmf3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4O8fn2lqaVCW5uNX4FIQEObkZejvVBVa7GhY6psVmlji6BgebGZbbmhhrJthaaSbrZuXDwCZTCDM,https://serpapi.com/search.json?data_id=0xa22177c3144db3%3A0xa31635a0e4fb582&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa22177c3144db3%3A0xa31635a0e4fb582&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJs00Uw3chogARgrVPDlpjMQo,"Barbacena, MG",lojas_presentes,2025-07-28T17:05:10.331522,COMPLETA
7,Pérola Negra,ChIJ45CTS2ggogARyzk4PLKJafk,0xa220684b9390e3:0xf96989b23c3839cb,17972047186606176715,/g/11g68xl4h_,4.5,93,Loja de presentes,"Loja de presentes, Loja de body piercing, Serviço de colocação de piercing, Loja de acessórios de moda, Decorador de interiores, Loja de roupas para jovens",novelty_store,"Bq Shopping, R. Tiradentes, 140 - Loja 58 e 59 - Centro, Barbacena - MG, 36200-400, Brasil",-21.2195572,-43.7715505,+55 32 98839-7858,http://www.instagram.com/lojaperolanegra13/,Aberto ⋅ Fecha às 18:30,Aberto ⋅ Fecha às 18:30,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–14:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipP5SxcEg4By30Nhbyt1Ie09PBLkFblz7qrMDpFt=w122-h92-k-no,https://serpapi.com/images/url/2vbnunicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYBpckeyabuJUaWzgl5FUWWLomWpgGeDkk-2WlFNlXljk61LgVmJbbmhkpJthaaSbrZuXDwCe6CEh,https://serpapi.com/search.json?data_id=0xa220684b9390e3%3A0xf96989b23c3839cb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa220684b9390e3%3A0xf96989b23c3839cb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ45CTS2ggogARyzk4PLKJafk,"Barbacena, MG",lojas_presentes,2025-07-28T17:05:10.331522,COMPLETA
8,Cubo Nerd,ChIJg36ty-QXogARsupYQGmi3Es,0xa217e4cbad7e83:0x4bdca2694058eab2,5466422620655774386,/g/11l33jyy_9,4.8,399,Loja de artigos colecionáveis,"Loja de artigos colecionáveis, Loja de Brinquedos",collectibles_store,"RUA RUA EUGENIO KLEIN DUTRA, 130 - CENTRO, Barbacena - MG, 36208-000, Brasil",-21.2129157,-43.7682001,+55 32 99856-4485,https://www.cubonerd.com.br/,Fecha em breve ⋅ 17:30 ⋅ Abre ter. às 09:30,Fecha em breve ⋅ 17:30 ⋅ Abre ter. às 09:30,segunda-feira: 09:30–17:30; terça-feira: 09:30–17:30; quarta-feira: 09:30–17:30; quinta-feira: 09:30–17:30; sexta-feira: 09:30–17:30; sábado: 10:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noYnHE3DqFoIzr7Umc0IRtkxxPTMNk7vSa5j00bghyk_PUfhMQpARm2FeYZuyXQqXHvK2jNqRsnzJUnIfUJVdSrAVEo6cv6A8-xk2oDlOa4bKuANDTSYrSd6c8rvnSnbWiGZB_d=w80-h106-k-no,https://serpapi.com/images/url/5CyAMnicBcFBcoIwFADQE0VStEg700VatKIjVSJW3DgSkNTA_5AERO_XQ_Q2fe_vV1rbmFfHqeR4VCKWVdGZQgsEW4AdCaydsjFEGGIc9vEiJ4ApLGbjoJ1j-NDTpBY0jK0ahs1uHalpz8_PV0qzUt7VaZNc5HrbsLh250V67O6HbXtY9Cv3GrWxgccygfCSLPc512w_Q0_0HvPJoFwMqq_zJFt1LAp2PNU894Sve-CQff98Ht9P-dvNp0Q-UY8oAvgPPSFFwA,https://serpapi.com/search.json?data_id=0xa217e4cbad7e83%3A0x4bdca2694058eab2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa217e4cbad7e83%3A0x4bdca2694058eab2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJg36ty-QXogARsupYQGmi3Es,"Barbacena, MG",lojas_presentes,2025-07-28T17:05:10.331522,COMPLETA
9,Claudia Flores e Presentes,ChIJJUX1a4chogARmv8Qc1eaQLk,0xa221876bf54525:0xb9409a577310ff9a,13348838995909476250,/g/11w_wh1lrb,5,46,Floricultura,"Floricultura, Loja de flores secas, Entrega de flores, Mercado de flores, Loja de cestas de presente, Planejador de eventos, Floricultura atacadista",florist,"Tv. Nações Unidas, 698 - Caicaras, Barbacena - MG, 36205-408, Brasil",-21.218505999999998,-43.745241199999995,+55 32 98404-9752,https://claudiafloresepresentes.my.canva.site/,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: 09:00–14:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipOza1KUUrGCTmhHi6C5dJ-l8TaPt648THl5lwti=w163-h92-k-no,https://serpapi.com/images/url/6OcM7HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX5Vo6B0aWuTuHJKb4ZFp5mya4qWbYxGSGFBiZmIR4pFjmlNekmlbbmhmrJthaaSbrZuXDwCbPiDn,https://serpapi.com/search.json?data_id=0xa221876bf54525%3A0xb9409a577310ff9a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa221876bf54525%3A0xb9409a577310ff9a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJUX1a4chogARmv8Qc1eaQLk,"Barbacena, MG",lojas_presentes,2025-07-28T17:05:10.331522,COMPLETA
10,Especial Presentes,ChIJL3z6FmogogARG1QUUXIHjYQ,0xa2206a16fa7c2f:0x848d07725114541b,9551298572290642971,/g/1tj9vkn9,4.2,5,Loja de Presentes,"Loja de Presentes, Joalheria especializada em itens personalizados",gift_shop,"R. 15 de Novembro, 123 - Loja 03 - Centro, Barbacena - MG, 36200-074, Brasil",-21.2226972,-43.773072899999995,+55 32 3333-0791,,Aberto ⋅ Fecha às 18:15,Aberto ⋅ Fecha às 18:15,segunda-feira: 09:00–18:15; terça-feira: 09:00–18:15; quarta-feira: 09:00–18:15; quinta-feira: 09:00–18:15; sexta-feira: 09:00–18:15; sábado: 09:00–13:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ip2E-ESuB6b8Ol1T15gVPA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=291.20255&pitch=0&thumbfov=100,https://serpapi.com/images/url/h5HBCnicHc1LCsIwFADA22TX_KDSCkEsdK2guJU0jcmDtHk0aaO38VreRvECM5-3zxnTnrGUF2vzBrYgPG1IFWrqYnTBaoRETZzYJlj26zTMGsIB9RxhVICyr_rL2u2G5hTEVdTudj4SM9xNADtnlaxejKeu_MQljtRhIkU1nHjVSvLSRclWUMllXROEbLzi5L884qYE518pSziS,https://serpapi.com/search.json?data_id=0xa2206a16fa7c2f%3A0x848d07725114541b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2206a16fa7c2f%3A0x848d07725114541b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJL3z6FmogogARG1QUUXIHjYQ,"Barbacena, MG",lojas_presentes,2025-07-28T17:05:10.331522,COMPLETA
