position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,LOJA OPCAO,ChIJhaTv_BSNpAARzMVv7kUIcBw,0xa48d14fcefa485:0x1c700845ee6fc5cc,2049146926899643852,/g/11y4367rw_,5,2,Loja de Presentes,Loja de Presentes,gift_shop,"R. Matias Barbosa, 73 - Barra Longa, MG, 35447-000, Brasil",-20.2824752,-43.0408231,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FsOMsPx_Q7_qKYHItWK5GA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=331.54153&pitch=0&thumbfov=100,https://serpapi.com/images/url/1zkdMnicHc1JCsIwFADQ22RnBmtxgCBuHCiirsRVSdOYBNIm9n_behuv5W0UL_De5-0QE6wYA-yMwd6bIfnRBJgkRW2MNhiVPFAdG9YLhu7ZVK3yYZ1UG30tt3A6wnksL_PyUdz2B7wW-W5DdFXq4E2LEozqtKN2-IldrKlNQAa54MTJ5ZS81CCzTNB8JvKMJI_aSU7-yz32UnD-BWwBOVA,https://serpapi.com/search.json?data_id=0xa48d14fcefa485%3A0x1c700845ee6fc5cc&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa48d14fcefa485%3A0x1c700845ee6fc5cc&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJhaTv_BSNpAARzMVv7kUIcBw,"Barra Longa, MG",lojas_presentes,2025-07-28T17:08:35.862278,COMPLETA
2,Papelaria Doce Céu,ChIJQ1SlEBaNpAARMM46ltwThuk,0xa48d1610a55443:0xe98613dc963ace30,16827158895850606128,/g/11fnypk42q,4.6,9,Papelaria,Papelaria,stationery_store,"Av. Manoel Carneiro - Centro - 329, Barra Longa - MG, 35447-000, Brasil",-20.2832245,-43.043848499999996,+55 31 98382-3724,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:30,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNfKpqTLhzcEyier_1hZzK8IaPh3-4wAn_zKI6z=w92-h92-k-no,https://serpapi.com/images/url/ug-qoXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl-ZdUBjik1GV7FqZmVoUb5gRVeVt4ZkYkGGsa1LumBdf5e1pVmVbbmmkmwHE2bp5-QChHCGX,https://serpapi.com/search.json?data_id=0xa48d1610a55443%3A0xe98613dc963ace30&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa48d1610a55443%3A0xe98613dc963ace30&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJQ1SlEBaNpAARMM46ltwThuk,"Barra Longa, MG",lojas_presentes,2025-07-28T17:08:35.862278,COMPLETA
3,SandroDecorr,ChIJSQdWeFaNpAARC7HDvEaIcao,0xa48d5678560749:0xaa718846bcc3b10b,12281747496212082955,/g/11rzg2bq3z,5,3,Loja de artigos para festas,Loja de artigos para festas,party_store,"R. do Cruzeiro - Barra Longa, MG, 35447-000, Brasil",-20.28349,-43.0402767,+55 31 98421-1783,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: Fechado; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/p/AF1QipMCMhlBUG_JrMWTOJbkDoXO40Jwo3HJnH3r73Mh=w137-h92-k-no,https://serpapi.com/images/url/vbsEVXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng6-ybkeMU6h7vVeQbHuLvlZTtkh_hb2LgVZ5v7OGV52FcZG7sm2FbbmhsrpthaaSbrZuXDwCaaCCy,https://serpapi.com/search.json?data_id=0xa48d5678560749%3A0xaa718846bcc3b10b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa48d5678560749%3A0xaa718846bcc3b10b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJSQdWeFaNpAARC7HDvEaIcao,"Barra Longa, MG",lojas_presentes,2025-07-28T17:08:35.862278,COMPLETA
4,PRISCILA PRESENTES,ChIJTZjT_RSNpAAR1z9ipvFVyuE,0xa48d14fdd3984d:0xe1ca55f1a6623fd7,16269911100196274135,/g/11vxlv0mss,,0,,,,"R. Venâncio Lino Mol, 19 - Barra Longa, MG, 35447-000, Brasil",-20.2824171,-43.041020599999996,,,,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E_57x3EoYIMmggy-mLyczA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=214.3238&pitch=0&thumbfov=100,https://serpapi.com/images/url/mFu9FHicHc1RDoIgGADg2_AmoNaytn-uBx_a6gA9OUSCfwNhQqJdpnN1m1oX-L7P26QU4omxmGal0oIqB1yVjUUQVHuvrRIBI5XesaVkyTzdMAm0bRCTxxG6fn9Y687fLzen9Va46yZfZyKHXlpUU4KoxCwN1fknzn6kOkSSoeHEwLEim8hQlTtaV3VDAiZpgJN_8vALlJx_AUI2OV0,https://serpapi.com/search.json?data_id=0xa48d14fdd3984d%3A0xe1ca55f1a6623fd7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa48d14fdd3984d%3A0xe1ca55f1a6623fd7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJTZjT_RSNpAAR1z9ipvFVyuE,"Barra Longa, MG",lojas_presentes,2025-07-28T17:08:35.862278,COMPLETA
5,Carla Presentes,ChIJiQET4xSNpAAR_vQji65TEu0,0xa48d14e3130189:0xed1253ae8b23f4fe,17082808345693517054,/g/11cjh_v6cr,,0,Loja de Presentes,Loja de Presentes,gift_shop,"R. Matias Barbosa, 103 - Barra Longa, MG, 35447-000, Brasil",-20.282428799999998,-43.040617,,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=s0EY8jGDy5yZ1meyoqY7-A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=340.32028&pitch=0&thumbfov=100,https://serpapi.com/images/url/ZDiyp3icHc3RDcIgFADAbfgrvLYaqwkxJhpnqD-G0idgoGDBItu4lttoXODu89YphbhjLKYZMS0GczAvtLEKgirvlUURTKTSO7bULOmnGyZh7D6IyZuRRzj13f18LOtyqR0W_-g31YHI4SqtwSnxiGKWmqr8E2c_UhUiybwDovm2IUVk3q6Atg00HQkmSc2B_JebX3gN8AVl_DlH,https://serpapi.com/search.json?data_id=0xa48d14e3130189%3A0xed1253ae8b23f4fe&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa48d14e3130189%3A0xed1253ae8b23f4fe&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJiQET4xSNpAAR_vQji65TEu0,"Barra Longa, MG",lojas_presentes,2025-07-28T17:08:35.862278,COMPLETA
1,Bordados Finos Pice Lanna,ChIJEV-G-xSNpAARxdlr8d0GiZM,0xa48d14fb865f11:0x938906ddf16bd9c5,10631035945692682693,/g/11gtynld18,5,8,Artesanato,"Artesanato, Loja de moda infantil, Serviço de bordados, Loja de bordados, Loja de artigos para cama, mesa e banho",handicraft,"Praça Manoel Lino Mol, 47 - Centro, Barra Longa - MG, 35447-000, Brasil",-20.2822255,-43.041458899999995,+55 31 99612-5150,https://www.picelanna.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:00; terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""Produtos únicos, com riqueza de detalhes e excelente qualidade.""",https://lh3.googleusercontent.com/p/AF1QipOaMCzPYeJREiEa4-nYuXpy7DJv4cCWW7a0kOvf=w138-h92-k-no,https://serpapi.com/images/url/UW9Jy3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn-jrXBUQmeoV5JrpmmiimxdZGlFQae7iVWaS7Bwebp5okO1flmZbbmhsoZthaaSbrZuXDwCmySE1,https://serpapi.com/search.json?data_id=0xa48d14fb865f11%3A0x938906ddf16bd9c5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa48d14fb865f11%3A0x938906ddf16bd9c5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJEV-G-xSNpAARxdlr8d0GiZM,"Barra Longa, MG",lojas_artesanato,2025-07-28T17:08:38.984865,COMPLETA
2,CASA DAS ARTES - BARRA LONGA (MG),ChIJu-hMSnCNpAARhEs3CfhpgIE,0xa48d704a4ce8bb:0x818069f809374b84,9331574941939092356,/g/11ryf51j9n,,0,Serviço de bordados,Serviço de bordados,embroidery_service,"Av. Manoel Carneiro, 15 - Barra Longa, MG, 35447-000, Brasil",-20.2826129,-43.0413917,,,,,,,,,,,,,https://lh3.googleusercontent.com/p/AF1QipNjDtLgBavczRcWBDDbwhj01G-1Ttog8aZvoTGw=w135-h92-k-no,https://serpapi.com/images/url/oYIvUXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl-VS4pPulFiWXBWUHO7k4pJUnpFlYOiuaxhSkp9ukRhVlh_iXm5bbmhsqpthaaSbrZuXDwC2diGj,https://serpapi.com/search.json?data_id=0xa48d704a4ce8bb%3A0x818069f809374b84&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa48d704a4ce8bb%3A0x818069f809374b84&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJu-hMSnCNpAARhEs3CfhpgIE,"Barra Longa, MG",lojas_artesanato,2025-07-28T17:08:38.984865,COMPLETA
3,Carneiro Móveis,ChIJ7ypD3D6NpAARTaNCF2PDeR4,0xa48d3edc432aef:0x1e79c3631742a34d,2196001123679249229,/g/1tf8vb9b,,0,Loja de móveis,Loja de móveis,furniture_store,"R. Matias Barbosa, 184 - Barra Longa, MG, 35447-000, Brasil",-20.2831027,-43.0428263,+55 31 3877-5175,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–16:00; terça-feira: 08:00–16:00; quarta-feira: 08:00–16:00; quinta-feira: 08:00–16:00; sexta-feira: 08:00–16:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JVZS41gcLq0z6riO0Dh1og&cb_client=search.gws-prod.gps&w=80&h=92&yaw=189.55862&pitch=0&thumbfov=100,https://serpapi.com/images/url/WmRkn3icHc09CsIwGADQ22QzP8WWVvhw6SSCg-DgImkakw_SJiaxUU_jtbyN4gXe-7xtziFtGEs5ap0X1CXgQ7u0CpIa743TMmCiyk9sESzb-zTMEt02yNnjCLvT-bgWRu1v_NVEPPDeCm-IGi7KoZ4zJC2jstSUnxj9SE1IpEDLiYWuIk9ZQLQdreu2qUjArCxw8l-ufgHB-Rda7Dk6,https://serpapi.com/search.json?data_id=0xa48d3edc432aef%3A0x1e79c3631742a34d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa48d3edc432aef%3A0x1e79c3631742a34d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7ypD3D6NpAARTaNCF2PDeR4,"Barra Longa, MG",lojas_decoracao,2025-07-28T17:08:42.041729,COMPLETA
2,Rugendas Galerias de Artes,ChIJo5ARACyYpgARgJoRZpTISBo,0xa6982c001190a3:0x1a48c89466119a80,1893984183002438272,/g/1q5grp_hn,,0,Galeria de Arte,Galeria de Arte,art_gallery,"Av. Nossa Sra. do Carmo, 1650 - Sion, Belo Horizonte - MG, 30330-000, Brasil",-19.9525528,-43.9389846,+55 31 3286-4282,http://www.vitorbraga.com.br/,,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PJuSSQyD4Hz3aKIhbESJCw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=305.75793&pitch=0&thumbfov=100,https://serpapi.com/images/url/3YFtp3icHc1RDoIgGADg2_AWYObMNtZDtZW91DxAQ_oDNpR_gpKdpmt1m1oX-L7P28SIYcNYiANAnCwktE9wYYGSau-1A4k2UOU7NmUsmrFre2ndFmXv7V1c6rFprvN-dXzl8nwy7aGpd4mo9qachT6KAHJQhur0Ewd_pxoDSWLNiRHVkswyiZwXtCzKKidoozKCk__y8JPIOP8CZxc5Vg,https://serpapi.com/search.json?data_id=0xa6982c001190a3%3A0x1a48c89466119a80&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6982c001190a3%3A0x1a48c89466119a80&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJo5ARACyYpgARgJoRZpTISBo,"Barra Longa, MG",galerias_arte,2025-07-28T17:08:45.127512,COMPLETA
3,FAOP - Galeria de Arte Nello Nuno,ChIJoV85hRcLpAARqtgtoXEwe_4,0xa40b1785395fa1:0xfe7b3071a12dd8aa,18337303572362680490,/g/11f5tw0khc,4.7,21,Galeria de Arte,Galeria de Arte,art_gallery,"R. Getulio Vargas, 185 - Rosário, Ouro Preto - MG, 35404-104, Brasil",-20.3842836,-43.5087269,+55 31 3552-2480,http://www.faop.mg.gov.br/,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,"segunda-feira: 09:00–12:00, 13:00–18:00; terça-feira: 09:00–12:00, 13:00–18:00; quarta-feira: 09:00–12:00, 13:00–18:00; quinta-feira: 09:00–12:00, 13:00–18:00; sexta-feira: 09:00–12:00, 13:00–18:00; sábado: 09:00–13:00; domingo: Fechado",,,,,,,"""Galeria pequena, mas com boa estrutura""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrjD6XGhVoMcTg_uFDT0B-pHbyr00XAnpC24_xSdo45cwVagq3aTjKKd3uqWusuXc2YUDe5OMj1ag9JFBLtTbVhwcCzLrAlIFphpI63aON-fzNcLALPTDNQE62qwgCd3cKRUfA=w80-h106-k-no,https://serpapi.com/images/url/hOTH1HicBcFRboIwGADgE1UqRTJNfKggzoGoW2XsyeAPtmHYFtoG9XxeYrfZ9_29hLXaLDyvE2TCleJd40wzgJK2kXYC6uZxbRAYZDwazUUghzYOy40o1A4YP7skZniF9PvlMWBcUqkjPzjfv2oVzGAsKt6TirVpWhPXfzvjSvB_TnEz2-_aacXnH8kqs-xSiBGiZzbQbptoobchqfY5uj5zyGh2YHF-XId-P_KoJpB-nq50Ob5hJKY4RL9Iqn978UO5,https://serpapi.com/search.json?data_id=0xa40b1785395fa1%3A0xfe7b3071a12dd8aa&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa40b1785395fa1%3A0xfe7b3071a12dd8aa&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJoV85hRcLpAARqtgtoXEwe_4,"Barra Longa, MG",galerias_arte,2025-07-28T17:08:45.127512,COMPLETA
