position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Velhi Presentes,ChIJWQBnKC_toQARTor5bulekDk,0xa1ed2f28670059:0x39905ee96ef98a4e,4147919613490465358,/g/11f3r2rc_m,5,10,Relojoaria,"Relojoaria, Loja de Presentes",watch_store,"Praça Santana, 218 - Centro, Barroso - MG, 36212-000, Brasil",-21.188167999999997,-43.976155,+55 32 3351-3254,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noosvgp9w8RagkQUP1fyQF4-B9fV0cnOwkMu6OsxaCZwaU3KwPsZUp8uwFEPJvll8HkrfI8M3CgBbY_KjWXjX0eieopEFAIEwnxOzZ_fS1T95Bm8fmFpCEvbOen25D43eY4lMsqBQ=w80-h99-k-no,https://serpapi.com/images/url/2mqg_XicBcFLDoIwFADAE1VQ0LQmLgQhfkIAFT9sDJK2KKWtPqDqAb2Dt3Hm963aVsPUskTlDLhSXNAO6LNUsqWyHZSqsbgGVAICa-6TypVKQc81MXhb8DrNkiF7p6GLPMIOdiljU0fdJIZX4eemyJyNSSDPNO5MGCTrXgi8rJ9shSPH5971fNncj6f7yaY3qnQQzleBka_4k1_YbrgnY6_BrAm1H_TXmMrReOE69OyKCB5eOjPYRhUhqEZS_QF16kWV,https://serpapi.com/search.json?data_id=0xa1ed2f28670059%3A0x39905ee96ef98a4e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1ed2f28670059%3A0x39905ee96ef98a4e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJWQBnKC_toQARTor5bulekDk,"Barroso, MG",lojas_presentes,2025-07-28T17:12:02.105603,COMPLETA
2,Velhi Biju,ChIJuSkJei3toQARIjGFzX7hRTs,0xa1ed2d7a0929b9:0x3b45e17ecd853122,4271067756360970530,/g/11rhdyrm6l,5,2,Loja de presentes,Loja de presentes,novelty_store,"Praça Santana, 272 - Centro, Barroso - MG, 36212-000, Brasil",-21.1875449,-43.9763081,+55 32 98405-3254,,Aberto ⋅ Fecha às 18:30,Aberto ⋅ Fecha às 18:30,segunda-feira: 08:30–18:30; terça-feira: 08:30–18:30; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPKqlWupdWDcwO8tPtJ6NTUiXvVCxtObSymOZB4=w92-h92-k-no,https://serpapi.com/images/url/iPNI1HicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4F2YE15akBLuklzub1ESUOJl5hcSmhlRFuZcUeKfFFyZ6x_lZGJbbmmkmwHE2bp5-QClsCHU,https://serpapi.com/search.json?data_id=0xa1ed2d7a0929b9%3A0x3b45e17ecd853122&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1ed2d7a0929b9%3A0x3b45e17ecd853122&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJuSkJei3toQARIjGFzX7hRTs,"Barroso, MG",lojas_presentes,2025-07-28T17:12:02.105603,COMPLETA
3,Carmem Decor,ChIJ1-CPV5HtoQAR07BNGOg0rPs,0xa1ed91578fe0d7:0xfbac34e8184db0d3,18134927970958946515,/g/11jtbnqh85,5,2,Loja de presentes,"Loja de presentes, Loja de Presentes",novelty_store,"R. Gov Magalhães Pinto, 100 - Centro, Barroso - MG, 36212-000, Brasil",-21.187023399999998,-43.9779808,+55 32 99907-5317,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMqnb-Hfpaeed9XLaF8U--dz7sCgkZ7ebRywGB6=w80-h140-k-no,https://serpapi.com/images/url/cWkIInicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW5iXpOuRVpCYmppiGeGT6GYRqqubUmVe7JyeHWWemhRUWe7uZGZbbmGgm2FoYqCbrZuXDwCsyCE9,https://serpapi.com/search.json?data_id=0xa1ed91578fe0d7%3A0xfbac34e8184db0d3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1ed91578fe0d7%3A0xfbac34e8184db0d3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ1-CPV5HtoQAR07BNGOg0rPs,"Barroso, MG",lojas_presentes,2025-07-28T17:12:02.105603,COMPLETA
4,Loja 1001 Utilidades,ChIJJ7asbBjtoQARPXCuwkx9E-Y,0xa1ed186cacb627:0xe6137d4cc2ae703d,16578732421918126141,/g/11ckv4qk90,4.5,12,Loja de calçado,Loja de calçado,shoe_store,"R. Rio Grande do Sul, 291, Barroso - MG, 36212-000, Brasil",-21.2004231,-43.973326799999995,+55 32 99944-3043,http://facebook.com/1001utilidadesbarroso,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npx6mGUIiztAy9MwEjqCo_nRKEaI5_MvInUzxy1co424Pwj8PsGZtkMo3KsgoRW2NRKVNLnH7BUoOE2rSp9E0_HmPqbJD75odb3NsWTElf2Fo7IpMFz_iAuJfF_6U8P48OkUO2x=w163-h92-k-no,https://serpapi.com/images/url/ez-OaHicBcHdEoFAGADQJ1qxpR8zLsJG0s_EMuNmh6So9lt2Kb2fh_A2zvl9S6WEnGhaXeqDAqCo85fMnxlwlXM1yKDRCiFRJpHU3LlTGlx0ZrOk_q1X7scJW3J_zIHxNCAnf8zCt89p331GGRjYSNq7ncjlUVUh6IEsID3gKA320YavrBmFmODnVjhkyFZN8jivF9YYLmc9kocdqa_YA8sXodezm_taXz1mUjsx7LiiMe6m7cjUUelgVCEOf_vgRDQ,https://serpapi.com/search.json?data_id=0xa1ed186cacb627%3A0xe6137d4cc2ae703d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1ed186cacb627%3A0xe6137d4cc2ae703d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJ7asbBjtoQARPXCuwkx9E-Y,"Barroso, MG",lojas_presentes,2025-07-28T17:12:02.105603,COMPLETA
5,"GABI moda, presentes e acessórios",ChIJg-9XqyLtoQARetuxENElAgs,0xa1ed22ab57ef83:0xb0225d110b1db7a,793238064229112698,/g/11cn5tc2gw,4.7,13,Loja de Roupa,Loja de Roupa,clothing_store,"R. Guanabara, 197 - Jardim Bandeirante, Barroso - MG, 36212-000, Brasil",-21.1996666,-43.9732759,+55 32 99823-6142,,Aberto ⋅ Fecha às 18:30,Aberto ⋅ Fecha às 18:30,segunda-feira: 08:30–18:30; terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipMWcgAad64dqxRUCBjmz6qWwgB5g5pt6uzsgNUJ=w80-h142-k-no,https://serpapi.com/images/url/BBkM6nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG56c7piYYmaSUlgRFOrslJVbZVYYXp7uZJpuWlBiVlpVnO4X6mVbbmGgm2FoYqSbrZuXDwC63yHd,https://serpapi.com/search.json?data_id=0xa1ed22ab57ef83%3A0xb0225d110b1db7a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1ed22ab57ef83%3A0xb0225d110b1db7a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJg-9XqyLtoQARetuxENElAgs,"Barroso, MG",lojas_presentes,2025-07-28T17:12:02.105603,COMPLETA
6,Aquarela Barroso,ChIJc3pyh_DtoQARd-Yf6BWCV1U,0xa1edf087727a73:0x55578215e81fe677,6149526846798030455,/g/11lz4kv9dm,5,1,Papelaria,Papelaria,stationery_store,"Av. Francisco de Paula Souza, 384, Barroso - MG, 36297-010, Brasil",-21.1922227,-43.9678665,+55 32 99929-8737,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/p/AF1QipM7N0RMbvJ8M-H_k3zPOIbJuRILxrqO6MfdK-0Y=w134-h92-k-no,https://serpapi.com/images/url/nauX_XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga-5nEOSbVOZl4avrEZ9tXBXg75nkVRrk6VNRVOhv5puW4q1rEGlbbmhsopthaaSbrZuXDwCPYyCW,https://serpapi.com/search.json?data_id=0xa1edf087727a73%3A0x55578215e81fe677&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1edf087727a73%3A0x55578215e81fe677&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJc3pyh_DtoQARd-Yf6BWCV1U,"Barroso, MG",lojas_presentes,2025-07-28T17:12:02.105603,COMPLETA
7,Loja Zema - Barroso,ChIJCUxMpSjtoQARTunlNjou1ZQ,0xa1ed28a54c4c09:0x94d52e3a36e5e94e,10724528915216722254,/g/11g7nx1hhv,4.2,32,Loja de departamento,"Loja de departamento, Loja de eletrônicos, Loja de móveis",department_store,"Praça Salvador da Silva, 52 - B - Centro, Barroso - MG, 36212-000, Brasil",-21.1881983,-43.9763103,+55 32 3351-4413,http://www.zema.com.br/,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrt_KTfxiwLVneFd0kvzGQSPMyk0pH2SdIWYNp6LHn57wER6le5yTucWa0MsJKBQ7hp2X8ekly3VTiKt6yu3lTnYMw5mlk8lJA4buOHOhlA1cQNQhj6EI5QoJKUmsKf3iFyRr4b=w122-h92-k-no,https://serpapi.com/images/url/ecMoqXicBcFbsoIgAADQFZGGjx4z98OayiTrUvb6aopIDARG8Hppfy2i3XTO582s1WbseYIFvVKpUtDW0IYoaam0PaJqr9QGEAOMl0xHLJSNvaDi8V91q4Ok87vP_14LvPvNHfd1Cnf35fG81vEqldGgm21jQSNXtOR49XOToQkeMA1PQ8qFCw5FhWzs2kAU8px3US34UGRJeGs36YaJpE_wGrNnPFtGWGVoXxv0CKq52zbh7afrQwjYCAIOpPoCGoJE_Q,https://serpapi.com/search.json?data_id=0xa1ed28a54c4c09%3A0x94d52e3a36e5e94e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1ed28a54c4c09%3A0x94d52e3a36e5e94e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJCUxMpSjtoQARTunlNjou1ZQ,"Barroso, MG",lojas_presentes,2025-07-28T17:12:02.105603,COMPLETA
8,Artigos Religiosos São Sebastião de Barroso,ChIJNznI3yXtoQARPCIS_prmzb0,0xa1ed25dfc83937:0xbdcde69afe12223c,13676841196756017724,/g/11f532z6l3,4.9,7,Loja de artigos religiosos,Loja de artigos religiosos,religious_goods_store,"Av:, R. Belo Horizonte, 05 - Centro, Barroso - MG, 36295-098, Brasil",-21.1896557,-43.9764404,+55 32 98421-5885,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,"segunda-feira: 08:00–11:40, 13:00–18:00; terça-feira: 08:00–11:40, 13:00–18:00; quarta-feira: 08:00–11:40, 13:00–18:00; quinta-feira: 08:00–11:40, 13:00–18:00; sexta-feira: 08:00–11:40, 13:00–18:00; sábado: 08:00–12:00; domingo: Fechado",,,Estacionamento com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noYbepeMaH59OmkpBxxibfkV_5vRp_I2zD9QVNzuSuQ97hQHub1Ex2pWmvsKW3dhraa0UjNml_HItzXHgtins4vABDbKcVv8iJs_VwFx-S9EKDTkBYjRbt_LgEzB-_EPTJ8w2cYgg=w163-h92-k-no,https://serpapi.com/images/url/j3iXM3icBcFZEoIgAADQE5GlbTTTR6aNZZtlll-MEIGpwAQu4wU7Q7fpvd-XG6P0wrJK7gyYlKyktaYfIoWhwgyIrCymNCAaaGu1hnwsZIqpoocsmMBTVSi363L8KhI0aS4Kbe3eg1Fy7OtrHcEZj4Iaj_zOVveq0eHdefJPlg1v72NVomBr-kfATC70uFm5Hg5J0szznUZJu-nAFfqhFxdu-r5gg_bM712A_HO8m7c2SRlbtqOpAzi0QQGE_AMHgUbC,https://serpapi.com/search.json?data_id=0xa1ed25dfc83937%3A0xbdcde69afe12223c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1ed25dfc83937%3A0xbdcde69afe12223c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJNznI3yXtoQARPCIS_prmzb0,"Barroso, MG",lojas_presentes,2025-07-28T17:12:02.105603,COMPLETA
9,O Boticário,ChIJK-BuhQqAoQARB5eJQjb5w_Q,0xa1800a856ee02b:0xf4c3f93642899707,17637214577152857863,/g/1tgcnj6y,4.8,16,Loja de produtos de beleza,"Loja de produtos de beleza, Loja de Presentes, Perfumaria",beauty_supply_store,"R. Cel. Artur Napoleão, 71 - Centro, Barroso - MG, 36212-000, Brasil",-21.1893501,-43.9729678,+55 32 3351-4022,https://www.boticario.com.br/?utm_source=google&utm_medium=maps&utm_campaign=mirum11781,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipNgDDnHqeV_3NsNKo6bdfSqxrU4GhV_BgROS5Rg=w168-h92-k-no,https://serpapi.com/images/url/ThFbI3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl-7ikudRmBoWb-xX7Oedb5aUkhZcWFEUauKeERbvlB7kH2walG5bbmhmoZthaaSbrZuXDwCzGiGD,https://serpapi.com/search.json?data_id=0xa1800a856ee02b%3A0xf4c3f93642899707&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1800a856ee02b%3A0xf4c3f93642899707&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJK-BuhQqAoQARB5eJQjb5w_Q,"Barroso, MG",lojas_presentes,2025-07-28T17:12:02.105603,COMPLETA
10,Bia Flores,ChIJ796FtyjtoQARFGCLvHCuZVE,0xa1ed28b785deef:0x5165ae70bc8b6014,5865285888942759956,/g/11g6yqx641,4.4,12,Floricultura,Floricultura,florist,"R. João Santiago, 80 - Centro, Barroso - MG, 36212-000, Brasil",-21.1877738,-43.9775929,+55 32 99951-4530,,Aberto ⋅ Fecha à 00:00,Aberto ⋅ Fecha à 00:00,segunda-feira: 09:00–00:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrs3zqz1wNSAnmwQ4_yfMUlWU7hyA_0zGaelWOiyyAfa4xevS8Uak-ckYL7C6Av-5stBV7L2v0HuCgOdgiBTzYzgdr0csurGSmq7cKV0IwaklOMqsoR-7MDKwMf30utYCmKbdlZ=w122-h92-k-no,https://serpapi.com/images/url/9gEiJXicBcFRboIwGADgE1UqsFWX7KGyxBlkZGNo8MVgKa2htMJf6Oj9dojdZt_39yutfcBLECgZrYQxQvEJ-MiMtlzbFTN9IB6AGCAIaLKVsR4h8oNfu4-C6t59xtelzUp1Lolc6BX7fc3VOb8vC23r-IfPxaasO8S66kiSZzqjJ7C7EzmGM36fEpE34r779pUXzYgZTOO-6AfC0hM-uLpTeTaA-UIke0td1kZ4slXSp7dGXV7dOgyR3IaoQ9r8A2k_Rhk,https://serpapi.com/search.json?data_id=0xa1ed28b785deef%3A0x5165ae70bc8b6014&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1ed28b785deef%3A0x5165ae70bc8b6014&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ796FtyjtoQARFGCLvHCuZVE,"Barroso, MG",lojas_presentes,2025-07-28T17:12:02.105603,COMPLETA
