position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Lúcia Confecção Artigos e Presentes,ChIJI-1Bp5BJpAAR_g_mHWqYXxo,0xa44990a741ed23:0x1a5f986a1de60ffe,1900405149309210622,/g/11h3bh0byk,4.8,13,Papelaria,Papelaria,stationery_store,"R. Conceição Caldeira - Progresso, Barão de Cocais - MG, 35970-000, Brasil",-19.933006499999998,-43.473700799999996,+55 31 3837-6571,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótimo atendimento.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=thZUhuQs_NG8IsnQZH5Ebw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=161.72913&pitch=0&thumbfov=100,https://serpapi.com/images/url/BuPk83icHc09DsIgGADQ27DJj0ZtTYiTUReTDi5dGkoRSCiQfl-L3sZreRuNF3jv83aIGQ6MAU7G4OJNyf5pAqyyojYlG4zKHqhOI1sEQzePfVQ-HLOKyQ8SXXt3cwPd7VxdITbtZXvqC9F9p4M3ESUYNWlHbfmJUxqozUCKrDhxsl6TlypS7ATdr2uxIdmjdpKT__JIixScfwGU2DnO,https://serpapi.com/search.json?data_id=0xa44990a741ed23%3A0x1a5f986a1de60ffe&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa44990a741ed23%3A0x1a5f986a1de60ffe&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJI-1Bp5BJpAAR_g_mHWqYXxo,"Barão de Cocais, MG",lojas_presentes,2025-07-28T17:01:33.267434,COMPLETA
2,Loja do Felipe,ChIJ6yEQJ3JJpAARwUb3iCo0neg,0xa44972271021eb:0xe89d342a88f746c1,16761610745434031809,/g/11j3s00x57,4.5,12,Loja de presentes,Loja de presentes,novelty_store,"Av. Getúlio Vargas, 961 - Centro, Barão de Cocais - MG, 35970-000, Brasil",-19.940310099999998,-43.480134299999996,+55 31 3837-2222,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N6FOM1k52y9Te0JW01ajaA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=341.97318&pitch=0&thumbfov=100,https://serpapi.com/images/url/TSCzhXicHc1LDsIgFADA27CTT-unNSHGjQsTdWPi0rzSJ6C0kILF3sZreRuNF5j5vE1KIa4Zi2lATKPFHOwLXZwFoNp77RCCjVT5jo2CJfPsmh6s2wTovW3lcbk7HcRjUUz1Gfn-wgXcYUtUc1XOYp9kRBiUoTr_xMG3VIdIsqw4MbIuyARZlnNB61UpKhJsUkZy8l9ufpSC8y8dOjh_,https://serpapi.com/search.json?data_id=0xa44972271021eb%3A0xe89d342a88f746c1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa44972271021eb%3A0xe89d342a88f746c1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6yEQJ3JJpAARwUb3iCo0neg,"Barão de Cocais, MG",lojas_presentes,2025-07-28T17:01:33.267434,COMPLETA
3,Colorset Papelaria e Brinquedos,ChIJu-sZdC1IpAARb2Qm9ZjpoHY,0xa4482d7419ebbb:0x76a0e998f526646f,8548088935906436207,/g/1tt1txzf,4.3,52,Papelaria,Papelaria,stationery_store,"Av. Getúlio Vargas, 884 - Barão de Cocais, MG, 35970-000, Brasil",-19.9407829,-43.480736799999995,+55 31 3837-3142,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DSwTDooqGIUHx1akg0Ee6g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=171.7058&pitch=0&thumbfov=100,https://serpapi.com/images/url/nEWTL3icHc1LDsIgEADQ27CTj4m2mhA3NepaXRukI0ykHSxY6mk8l7fReIH3Pm-fc0xrIVIeAPKIUCJOENIsGu6IXAATMXFLnRiVyP7ZXXuDYRNNT9jq5lhODdFjdzjvJ2XuTm5h6Zi9XmxA6LNOYAbruSs_caCWu5hY0bVkXq_m7GWKVpXilVzULGK2Xkv2T240aiXlF0BEOUk,https://serpapi.com/search.json?data_id=0xa4482d7419ebbb%3A0x76a0e998f526646f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4482d7419ebbb%3A0x76a0e998f526646f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJu-sZdC1IpAARb2Qm9ZjpoHY,"Barão de Cocais, MG",lojas_presentes,2025-07-28T17:01:33.267434,COMPLETA
4,Facillyta Presentes,ChIJTxg8PylhoQAR4kHeKjyHifA,0xa161293f3c184f:0xf089873c2ade41e2,17332533333399060962,/g/11nn7bdh8p,5,1,Loja de presentes,Loja de presentes,novelty_store,"R. Raimundo Teodoro - Cidade Nova, Barão de Cocais - MG, 35970-000, Brasil",-19.938321,-43.4673302,+55 31 99858-0558,https://shopee.com.br/facillytapresentes,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipNrXBcfwo5klGNSrQ9-8DEO0iCnS8aSEFto7ot8=w163-h92-k-no,https://serpapi.com/images/url/r1b3bnicBcFLDkAwFADAE1V9gpJY-O-IdGMlkaZUVF9TT5zVbcx8i0K0d06pVpG3A-xaPrd0AgxKg56Ai1padsF02MHNldheiE_dD9xNGWFNO_pHbThbedshpICseIMkIioLyUkM_KQBIPs,https://serpapi.com/search.json?data_id=0xa161293f3c184f%3A0xf089873c2ade41e2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa161293f3c184f%3A0xf089873c2ade41e2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJTxg8PylhoQAR4kHeKjyHifA,"Barão de Cocais, MG",lojas_presentes,2025-07-28T17:01:33.267434,COMPLETA
5,Cocais Aviamentos,ChIJu-sZdC1IpAARKSRiji4ruvM,0xa4482d7419ebbb:0xf3ba2b2e8e622429,17562397175841956905,/g/1tj7xm7w,4.8,12,Loja de aviamentos,"Loja de aviamentos, Loja de materiais para artesanato, Loja de artigos para bordado, Loja de tecidos, Artesanato, Loja de costura",haberdashery,"R. Dr. Antônio Soeiro, 19 - Centro, Barão de Cocais - MG, 35970-000, Brasil",-19.940286399999998,-43.4787752,+55 31 99652-7928,https://linktr.ee/cocaisaviamentos,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipOd7wm368FxlS_KI4b_499vAxW4CP8lVf754seI=w80-h106-k-no,https://serpapi.com/images/url/ZtGl23icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn2JenmtsZuFWkRMc7-1pkhRvYmlZ5lgRbuIcYJETlmZualKc6mlbbmGgm2FoYKabrZuXDwCOZSBe,https://serpapi.com/search.json?data_id=0xa4482d7419ebbb%3A0xf3ba2b2e8e622429&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4482d7419ebbb%3A0xf3ba2b2e8e622429&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJu-sZdC1IpAARKSRiji4ruvM,"Barão de Cocais, MG",lojas_presentes,2025-07-28T17:01:33.267434,COMPLETA
6,Armarinho Centro,ChIJu-sZdC1IpAARLxqhcdV7k3k,0xa4482d7419ebbb:0x79937bd571a11a2f,8760481856830380591,/g/1tfn3zm0,4.5,16,Armarinho,Armarinho,notions_store,"Av. Getúlio Vargas, 916 - Barão de Cocais, MG, 35970-000, Brasil",-19.9406537,-43.4804995,+55 31 3837-2655,,Aberto ⋅ Fecha às 18:30,Aberto ⋅ Fecha às 18:30,segunda-feira: 08:30–18:30; terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sOIyARp5uIQjfNJ36auWrg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=130.03471&pitch=0&thumbfov=100,https://serpapi.com/images/url/Blb0X3icHc1LDsIgFADA27CTj_WfvBiXdaHRjUtDkQKGlhegxd7Ga3kbjReY-bxtzph2jKUctc6j0wXdS_s0Q0lNCMZriS5RFTo2Cpbt0DW9dH6Psg_uAelcT4crLof68mxPx2olh1s0RDV35Z3uMyQto7LUlJ8Yw4MaTKTAhhML2zmZZAFRccqrxVoQdFlZ4OS_tGEEwfkXg105nQ,https://serpapi.com/search.json?data_id=0xa4482d7419ebbb%3A0x79937bd571a11a2f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4482d7419ebbb%3A0x79937bd571a11a2f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJu-sZdC1IpAARLxqhcdV7k3k,"Barão de Cocais, MG",lojas_presentes,2025-07-28T17:01:33.267434,COMPLETA
7,Loja do Ronaldo,ChIJu-sZdC1IpAARYJ6koSuTan8,0xa4482d7419ebbb:0x7f6a932ba1a49e60,9181312605952974432,/g/1tj1nrh5,3.8,8,Armarinho,Armarinho,notions_store,"Av. Getúlio Vargas, 1055 - Barão de Cocais, MG, 35970-000, Brasil",-19.9397922,-43.479732899999995,+55 31 3837-2867,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótimo atendimento!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nowsfosEHZdqgH4-iso_856QJIshZvdpVFkhkVH7Ygj4oDDM_lXIVA8Z7phkyE4urFUnkn6xyUhChiJ4O6jcbd0o-zQ24NrU6BXwri2aQtrxu3xj9OxkIkKUkg3eN9Zh09nmJid=w80-h109-k-no,https://serpapi.com/images/url/zBkErnicBcFbcoIwFADQFUVQIpLO9IP6GMBRhw8Yy4-jgLkQzMXcULD76yK6G8_5_wNre_pwnA68mUSUXT1QbUrUttZ2VuLDkT2xkhg54VoA1zjSHWkbFdVTRpw1hJdg6adJTFD8VH2-U6DyaPUtW46bzeHSneM8DIpVD-q15YPZZVppf3plsIYm4Se_LW-Vi-w3XfCjyfyv82iaxTW1Zhq8qRWnScVqnynp1UdRgCv0I2mqzzFwGcxdwRTT-AZJvUXV,https://serpapi.com/search.json?data_id=0xa4482d7419ebbb%3A0x7f6a932ba1a49e60&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4482d7419ebbb%3A0x7f6a932ba1a49e60&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJu-sZdC1IpAARYJ6koSuTan8,"Barão de Cocais, MG",lojas_presentes,2025-07-28T17:01:33.267434,COMPLETA
8,Papelaria Mar & Mel,ChIJhxlfMcFJpAARbuLKPZiwcWg,0xa449c1315f1987:0x6871b0983dcae26e,7525990620231033454,/g/11j8z22q_4,5,8,Loja de presentes,Loja de presentes,novelty_store,"Av. Wilson Alvarenga de Oliveira, 680 - Barão de Cocais, MG, 35970-000, Brasil",-19.9457566,-43.4770908,+55 31 3837-2605,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 07:30–18:00; terça-feira: 07:30–18:00; quarta-feira: 07:30–18:00; quinta-feira: 07:30–18:00; sexta-feira: 07:30–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPI7mt7xzIACtLNSZh2inQwwlI1oCl1sny8R6G2=w80-h142-k-no,https://serpapi.com/images/url/R1ZD33icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4GmeW2JeUeXp6Fzi4xcclWGUmRdYXp7jaZjvnGNYnFdpEWTmbmRbbmGgm2FoYqSbrZuXDwCwEiFQ,https://serpapi.com/search.json?data_id=0xa449c1315f1987%3A0x6871b0983dcae26e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa449c1315f1987%3A0x6871b0983dcae26e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJhxlfMcFJpAARbuLKPZiwcWg,"Barão de Cocais, MG",lojas_presentes,2025-07-28T17:01:33.267434,COMPLETA
9,Nacional PRESENTES,ChIJnU8dMSpIpAARs5c34_P9AgA,0xa4482a311d4f9d:0x2fdf3e33797b3,842173884372915,/g/11tdqz30dx,,0,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Getúlio Vargas, 757 - Barão de Cocais, MG, 35970-000, Brasil",-19.9412831,-43.481785599999995,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DrkU3hZllr46DX6W_7AUIA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=11.969798&pitch=0&thumbfov=100,https://serpapi.com/images/url/g_aIvnicHc3NDcIgGADQbbjJj5q2mHwxTXpxgEbjpaEUgUgLASy6jWu5jcYF3vu8Tc4hHQhJOSqVV6tKsE_l0iYIrL3XTolgE5Z-Jisj2TzmcRHWHYNYvJ2gi_d-Z67OxX3VXarzULf9qUVyHKSzasmQlIjSYF1-YvQT1iGhAg1FBvgWvUQBxjCveM0bFGyWBij6Lze_AqP0C1OlORg,https://serpapi.com/search.json?data_id=0xa4482a311d4f9d%3A0x2fdf3e33797b3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4482a311d4f9d%3A0x2fdf3e33797b3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJnU8dMSpIpAARs5c34_P9AgA,"Barão de Cocais, MG",lojas_presentes,2025-07-28T17:01:33.267434,COMPLETA
10,Rei das Embalagens,ChIJu-sZdC1IpAARtik0vhawO0w,0xa4482d7419ebbb:0x4c3bb016be3429b6,5493177782235310518,/g/1tfg49_g,4.3,130,Loja de materiais para empacotamento,Loja de materiais para empacotamento,packaging_supply_store,"R. Pres. Dr. Tancredo de Almeida, 97 - Barão de Cocais, MG, 35970-000, Brasil",-19.9403464,-43.4820286,+55 31 3837-3595,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=o83xiv9-18yhrRJXfRSEsg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=253.52252&pitch=0&thumbfov=100,https://serpapi.com/images/url/cVEk83icHc0xDsIgFADQ27AVKE2T1oQ4uTjWxc1Q-gs_wUIAob2N1_I2Gi_w3udtcw7pxFjKESAXhBpwB5eaoKjx3jhQARPV_slKy7J9PedNoTsHtXlcpB-6HcvYtMNh43S9r9PtkgzR80M7hC3LBCpqS039idEv1IREqhw4sXIU5FBVir6jvRC9IAGztpKT_7L6IlvOv3ICOXM,https://serpapi.com/search.json?data_id=0xa4482d7419ebbb%3A0x4c3bb016be3429b6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4482d7419ebbb%3A0x4c3bb016be3429b6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJu-sZdC1IpAARtik0vhawO0w,"Barão de Cocais, MG",lojas_presentes,2025-07-28T17:01:33.267434,COMPLETA
