position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,V&L presentes e utensílios,ChIJbeoKcZ0FpQARJBClPcXn28g,0xa5059d710aea6d:0xc8dbe7c53da51024,14473416661814022180,/g/11fnnfrmw2,5,6,Loja de variedades,Loja de variedades,variety_store,"Av. José Modesto de Ávila - Centro, Bela Vista de Minas - MG, 35938-000, Brasil",-19.8300093,-43.096480899999996,,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Loja de variedades, presentes e artigo para festas.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrexHm_5wjWqCgQJGzAgyczioGeqx2xJUAV0nF9gavte1rw2R48Dvuc7P-hePqi7wMbZbwqE9uV971qMRXFdUhrRHBM-36xkKZ0hDMmeZ6JjNgIKk-DwjYaCxadJU-4IPjABLft=w92-h92-k-no,https://serpapi.com/images/url/6qtf9XicDcPbDoIgAADQLyLLLKOtBy_dLJu52cWXZkSQJoRgUN_XT_Q3dbbz_VClHnJsWXfa7xDOyR23EjeIM4WZ6iBeW-QhAZJAWl4AqcMabBb1aaDLvQjINpq_PfJC7xufY2FsE2XerstmkBRPhXuNtlNnFD5b5CaA4kTcXB2f87MWU9juoNsTcXqYXTLapAs_Bv2hqVZ5l4ZxjfNhVG7IclWBUJfHIjDFJcqAs0xKz19f1URDG9D_CjD-A_p1RMA,https://serpapi.com/search.json?data_id=0xa5059d710aea6d%3A0xc8dbe7c53da51024&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5059d710aea6d%3A0xc8dbe7c53da51024&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJbeoKcZ0FpQARJBClPcXn28g,"Bela Vista de Minas, MG",lojas_presentes,2025-07-28T17:14:46.838754,COMPLETA
2,TTONY Personalizações e Presentes,ChIJu3gTV4UFpQARrlAHKKzcLPo,0xa50585571378bb:0xfa2cdcac280750ae,18027026040421306542,/g/11lgq526s2,4,3,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"Av. José Modesto de Ávila, 792, Bela Vista de Minas - MG, 35938-000, Brasil",-19.8293113,-43.094083999999995,+55 31 98979-5888,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lx7qMKYhL77d-PDmGwShGQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=1.7685618&pitch=0&thumbfov=100,https://serpapi.com/images/url/NjnbDnicHc1LCsIwFADA22TXfASbKjzcCF2ooLhyJTGNeYG0iU1s6m28lrdRvMDM5405x7RmLOXRmDw5U6KbjU9VVNSGYL1R0SWqQ88mwTI--9ugnN9ENQTXgZ_l47C74F7Krjpu-7acsT0Rfbtq78yQIRk1aqS2_MQxdNTGRAo0nCCsFuSlCggq62ZZi4ZElzUCJ__lHiYQnH8BZuo5VA,https://serpapi.com/search.json?data_id=0xa50585571378bb%3A0xfa2cdcac280750ae&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa50585571378bb%3A0xfa2cdcac280750ae&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJu3gTV4UFpQARrlAHKKzcLPo,"Bela Vista de Minas, MG",lojas_presentes,2025-07-28T17:14:46.838754,COMPLETA
3,Loja Presente de Deus,ChIJkUk7UQAFpQARQCjVh_zDtxc,0xa50500513b4991:0x17b7c3fc87d52840,1709050072988461120,/g/11lcf4k368,5,1,Loja de artigos religiosos,Loja de artigos religiosos,religious_goods_store,"R. Pio XII, Bela Vista de Minas - MG, 35938-000, Brasil",-19.8314873,-43.0881076,+55 31 99499-2131,https://usepresentededeus.com.br/loja/Adriano_Carvalho,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Link da Loja 👇
https://usepresentededeus.com.br/loja/Adriano_Carvalho""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=OCg4yFZhQUDfSBc_Xag29Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=259.7177&pitch=0&thumbfov=100,https://serpapi.com/images/url/uucNgnicHc1RCsIgGADg2_iWulEsAwkqeo0RQfQy_jmngpsy_2Y7TefqNkUX-L7P2yLGtGMs4aQ1zk7n6F7ap1UEakIwXkN0iaowsLlgaJ9DO4Lz-whjcJ28HM16OT9sfTv114Nq7mBKURPVNso7PaJMGiZlqck_cQodNTGRLLecWClKskCW5UbQqqgqEh0qKzn5J32YZcH5Fym4OQ4,https://serpapi.com/search.json?data_id=0xa50500513b4991%3A0x17b7c3fc87d52840&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa50500513b4991%3A0x17b7c3fc87d52840&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkUk7UQAFpQARQCjVh_zDtxc,"Bela Vista de Minas, MG",lojas_presentes,2025-07-28T17:14:46.838754,COMPLETA
4,Souarte - Bela Vista,ChIJQ6wHkCwEpQAR8YTBjFDQ01Y,0xa5042c9007ac43:0x56d3d0508cc184f1,6256573351725204721,/g/1tgf4ftr,4.6,202,Loja de departamento,"Loja de departamento, Loja de roupas de cama, Loja de Roupa",department_store,"Av. José Modesto de Ávila, 472, Bela Vista de Minas - MG, 35938-000, Brasil",-19.829433899999998,-43.096713699999995,+55 31 3853-1410,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq95vHdRXwEatQmV2Gbdj1u4B4-g65wB64DsRRorj8DxTAjRIn1nNjo9IXFAAY8cW4hbtgB-Jj2-OvIj4HNLjpckpOv152IQECWbcs9Q998bTn6n6PT6Yubt-rLFyytX45b3uFB=w80-h102-k-no,https://serpapi.com/images/url/dSh0sXicBcFhDoIgGADQE32ahkza-qGVaXOVzqX9DHIwSjBBrQN2iG7Te7-vsLY3K9d9iqXDtebPdjTtwLSyrbIO053LewPMgHGjDRFIvUgwpfeymXc3W3QXf0_v0htRjIDjYI4x2pqy1IMMt-8qkmWmPHWUmmRNEkXXkNVIUMtjOEgfTlMmUXrMZc8e_WnyAj8rdpuaMkMKQkJaKazwucLXkVoY8uTzsQ0K6HJM4vUcLkB4Cx8eoPQfOddCpA,https://serpapi.com/search.json?data_id=0xa5042c9007ac43%3A0x56d3d0508cc184f1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5042c9007ac43%3A0x56d3d0508cc184f1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJQ6wHkCwEpQAR8YTBjFDQ01Y,"Bela Vista de Minas, MG",lojas_presentes,2025-07-28T17:14:46.838754,COMPLETA
5,MM Presentes,ChIJD7xcogsFpQAR18XAk9QYGcU,0xa5050ba25cbc0f:0xc51918d493c0c5d7,14202410201180587479,/g/11w3kpc90_,,0,Papelaria,Papelaria,stationery_store,"Av. José Modesto de Ávila, 1421, Bela Vista de Minas - MG, 35938-000, Brasil",-19.830665399999997,-43.0866544,+55 31 98473-0581,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–12:00; terça-feira: 07:00–12:00; quarta-feira: 07:00–12:00; quinta-feira: 07:00–12:00; sexta-feira: 07:00–12:00; sábado: 08:30–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/p/AF1QipMv9QNQtZxjYH29QyCiwheiEeX11kN6HJfjUUiW=w204-h92-k-no,https://serpapi.com/images/url/VTVfdHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW2YZ6BdYElWRFelhZBlY6ZxZnpGa6ZoaYWiY7Wfm4ZWWFRqaGW5bbmRgopthaaSbrZuXDwCvkSFi,https://serpapi.com/search.json?data_id=0xa5050ba25cbc0f%3A0xc51918d493c0c5d7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5050ba25cbc0f%3A0xc51918d493c0c5d7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJD7xcogsFpQAR18XAk9QYGcU,"Bela Vista de Minas, MG",lojas_presentes,2025-07-28T17:14:46.838754,COMPLETA
6,EVA MODAS E DIVERSIDADES,ChIJhV0L868FpQARnQjP_8MbzD8,0xa505aff30b5d85:0x3fcc1bc3ffcf089d,4597079848262764701,/g/11ryzkf0fw,5,18,Loja de Roupa,"Loja de Roupa, Loja de roupas para bebês, Loja de roupas para ocasiões formais, Loja de Brinquedos, Loja de roupas para jovens",clothing_store,"R. Guiomar Quaresma, 838 - Córrego fundo, Bela Vista de Minas - MG, 35938-000, Brasil",-19.8389819,-43.0782181,+55 31 99264-0520,http://instagram.com/evaaparecidabasto,Fecha em breve ⋅ 17:30 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 17:30 ⋅ Abre ter. às 08:00,"segunda-feira: 08:00–12:00, 14:00–17:30; terça-feira: 08:00–12:00, 14:00–17:30; quarta-feira: 08:00–12:00, 14:00–17:30; quinta-feira: 08:00–12:00, 14:00–17:30; sexta-feira: 08:00–12:00, 14:00–17:30; sábado: 08:00–12:00; domingo: Fechado",,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPBnkckhaJFXEv6FQAvQUDjHO6UtXZsqJdybhPA=w163-h92-k-no,https://serpapi.com/images/url/yhq7knicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4JSXnZydkejlFuFaZuYW6FgWGOqS5eFvFloSEVVc6JVSmZQR4GhbbmhmrJthaaSbrZuXDwC0jSGn,https://serpapi.com/search.json?data_id=0xa505aff30b5d85%3A0x3fcc1bc3ffcf089d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa505aff30b5d85%3A0x3fcc1bc3ffcf089d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJhV0L868FpQARnQjP_8MbzD8,"Bela Vista de Minas, MG",lojas_presentes,2025-07-28T17:14:46.838754,COMPLETA
7,Bella Fllor Presentes,ChIJGyyO484HpQARd1pL7ZmfkUw,0xa507cee38e2c1b:0x4c919f99ed4b5a77,5517366501965519479,/g/11rfq4tjqg,,0,Loja,Loja,store,"R. Artur Costa e Silva, 41, Bela Vista de Minas - MG, 35938-000, Brasil",-19.8288729,-43.0973938,+55 31 3853-1511,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npKKAdvq4TpwdCptNGh1RGX7nHeuiBaMeXNnZZcEV4TjVS3GLVyoVf4Kb7dEKZGexTPPd4cQGMqD_OmlZDq0dzwdJfqgGmfdd2P0L0TGdfDdPUqr_M4kLXqiWF3weWMnzDUMASx=w80-h106-k-no,https://serpapi.com/images/url/kvNRTXicBcFbcoIwFADQFUWiZGrrjB9UbDqFWFoRGX4czQ3ECnmYIOj-uojupuf8_UrvjVsEQSvDSaN104reiSvXygvlJ1x3QWMc4g65IFq9SKJMkkRwsyQ3A6yM31A5_ablXL2L_vx6ZKLcqKri64LkP8U2pGlx10VNktMc1klFxZhnGRD-RZmND59dW8UWw2OAj9o2tKsBZhlOcU6hjiHb2euBkUta2vP-LRzEnqlHvGPRdlwOzxjJKX5CF6T0PwfoRUI,https://serpapi.com/search.json?data_id=0xa507cee38e2c1b%3A0x4c919f99ed4b5a77&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa507cee38e2c1b%3A0x4c919f99ed4b5a77&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJGyyO484HpQARd1pL7ZmfkUw,"Bela Vista de Minas, MG",lojas_presentes,2025-07-28T17:14:46.838754,COMPLETA
2,Ateliê Costurices e Fofurices,ChIJBVCTJxoFpQARGcDlgWsSSnE,0xa5051a27935005:0x714a126b81e5c019,8163357527512563737,/g/11m9qwjbrv,,0,Feira de artesanato,Feira de artesanato,handicraft_fair,"R. Moacir Marquês, 300 - bandeirantes, Bela Vista de Minas - MG, 35938-000, Brasil",-19.8331551,-43.089398599999996,+55 31 99413-2093,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:00; terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: Fechado; domingo: Fechado,,,,,,,,https://lh3.googleusercontent.com/p/AF1QipMpcYUtqxYXp3BLFHzACw-iNM5j1DHC_WhyNhK8=w138-h92-k-no,https://serpapi.com/images/url/ZkoWOnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW5AcGVpSWBEZUWDs5OPmUeXoXK6b6edrmmXo4uEcH55R6ZfhbWFbbmhsoZthaaSbrZuXDwCujiEu,https://serpapi.com/search.json?data_id=0xa5051a27935005%3A0x714a126b81e5c019&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5051a27935005%3A0x714a126b81e5c019&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBVCTJxoFpQARGcDlgWsSSnE,"Bela Vista de Minas, MG",lojas_artesanato,2025-07-28T17:14:49.915927,COMPLETA
3,Beth Pinturas e aviamentos,ChIJFchSoR8FpQARVXu2SWGzxZ0,0xa5051fa152c815:0x9dc5b36149b67b55,11368690064796580693,/g/11sybqtv_7,,0,Artesanato,Artesanato,handicraft,"Av. José Modesto de Ávila - Centro, Bela Vista de Minas - MG, 35938-000, Brasil",-19.828865,-43.0967489,+55 31 99713-3013,,Permanently closed,Permanently closed,,,,,,,,,https://lh3.googleusercontent.com/p/AF1QipP582zD7RsrJgcFzKpN8rpvMTJDqie4e6Oksxo9=w80-h106-k-no,https://serpapi.com/images/url/ub6iwHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYGphVOViHlRc5JWe7FblXeBnUVRQ5hvi5VKYmWqSauafXVyRb2lbbmGgm2FoYKabrZuXDwCrUiGI,https://serpapi.com/search.json?data_id=0xa5051fa152c815%3A0x9dc5b36149b67b55&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5051fa152c815%3A0x9dc5b36149b67b55&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJFchSoR8FpQARVXu2SWGzxZ0,"Bela Vista de Minas, MG",lojas_artesanato,2025-07-28T17:14:49.915927,COMPLETA
2,Belvisat Móveis,ChIJtyIg53MHpQARWop6kVJsDz4,0xa50773e72022b7:0x3e0f6c52917a8a5a,4471912056886037082,/g/1tj815zt,4,7,Loja de móveis,Loja de móveis,furniture_store,"Av. José Modesto de Ávila, 549 - Centro, Bela Vista de Minas - MG, 35938-000, Brasil",-19.829952,-43.0965521,+55 31 3853-2214,,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Fechado,,,,Pagamentos por dispositivo móvel via NFC,Entrega,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=a8uCvv569tecTn8Ick9zow&cb_client=search.gws-prod.gps&w=80&h=92&yaw=206.07077&pitch=0&thumbfov=100,https://serpapi.com/images/url/wfu0w3icHc1LDsIgEADQ27ATaBP7MSEuXLl3bygdgUgZUqagnsZreRuNF3jv83ZEKR-EyLQCUPFQk39AyLukuUW0AXTymRtcRGkEuW2ZovbhmHREPys9bKdS9t1IYC5xOJv7-MLKzHQ1wUMklUGvxnFbf-KKM7cps6oGyZwaW_bUVbWy47KXfc-SJ-OUZP_lhkU1Un4Bjmo5zA,https://serpapi.com/search.json?data_id=0xa50773e72022b7%3A0x3e0f6c52917a8a5a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa50773e72022b7%3A0x3e0f6c52917a8a5a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJtyIg53MHpQARWop6kVJsDz4,"Bela Vista de Minas, MG",lojas_decoracao,2025-07-28T17:14:52.987427,COMPLETA
