position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Dinda,ChIJSciwUjmVmAARM639DAGrCMY,0x98953952b0c849:0xc608ab010cfdad33,14269843440324685107,/g/11f6g7gffr,4.6,16,Mercado,Mercado,market,"R. Joana Claudina, 300 - Belmiro Braga, MG, 36126-000, Brasil",-21.950743499999998,-43.416919299999996,+55 32 99965-8236,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 07:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:00; terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 07:00–18:00; domingo: 07:00–12:00,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrQZx-7_b_qiM7STVjutA2TBO59IAejdAawvWokxTz1WE2zW0e7dd6FATHTqCeas8lPlfcQRNilUYPaq--bo49GYfsPliROLazxzMwTVhftNH4ETfASNSQHxCIZYvxwSNmEZRBpXQ=w163-h92-k-no,https://serpapi.com/images/url/vbytGnicBcH_EkIwAADgJ1pKSrrrj3FKdyU_FvFPJ8awjLay84I9Q2_T9_2-RIiebxWFkuWsYqyi-M3xK2edwJ2Y5eypVD0HOQdcgZZBtO7lpxLo98d9qM96iKLmLaCKzMvKOELcFDAbPzFrJZoWsa1O8RzrRbHeQ-SgwcIZ31CPlrkfuDW9Jl42APBgmnFISu7ROricsklO5xFFpBSuo9mohKEb-o60jmnykWPoPu00MPubvxsX6yUghgpa0LE_hOJGAQ,https://serpapi.com/search.json?data_id=0x98953952b0c849%3A0xc608ab010cfdad33&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98953952b0c849%3A0xc608ab010cfdad33&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJSciwUjmVmAARM639DAGrCMY,"Belmiro Braga, MG",lojas_presentes,2025-07-28T17:17:17.334243,COMPLETA
2,Pedacinho de amor,ChIJz7l1tZ6TmAARj-zcHf9V-Gw,0x98939eb575b9cf:0x6cf855ff1ddcec8f,7852120504526498959,/g/11frcwclrw,5,1,Loja de bolos,Loja de bolos,cake_shop,"Av. Tomás de Souza, 868 - Belmiro Braga, MG, 36126-000, Brasil",-21.951159099999998,-43.402681799999996,,,,,,,,,,,,,,,https://serpapi.com/search.json?data_id=0x98939eb575b9cf%3A0x6cf855ff1ddcec8f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98939eb575b9cf%3A0x6cf855ff1ddcec8f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJz7l1tZ6TmAARj-zcHf9V-Gw,"Belmiro Braga, MG",lojas_presentes,2025-07-28T17:17:17.335244,COMPLETA
3,Minimercado São Nicolau,ChIJQfBGJpyUmAAR2N4AAXsTi58,0x98949c2646f041:0x9f8b137b0100ded8,11496303892812062424,/g/11c605q9lb,4.2,18,Supermercado,Supermercado,supermarket,"Av. Tomás de Souza, 635 - São Nicolau, Belmiro Braga - MG, 36126-000, Brasil",-21.9475212,-43.4097995,+55 32 99928-7163,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 06:15,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 06:15,"segunda-feira: 06:15–12:00, 15:00–18:00; terça-feira: 06:15–12:00, 15:00–18:00; quarta-feira: 06:15–12:00, 15:00–18:00; quinta-feira: 06:15–12:00, 15:00–18:00; sexta-feira: 06:15–12:00, 15:00–18:00; sábado: 06:30–12:30, 15:00–18:00; domingo: 07:15–12:00",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Compras na loja,,,https://lh3.googleusercontent.com/p/AF1QipMVd9ki_qD89PCgubwVRDR8yOaFou2s76JFlbIG=w125-h92-k-no,https://serpapi.com/images/url/uBo5xXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG5ZimZ0ZX-hiYRngnF6aVB4W5BJkUemf6JZfalRsbubllpPk6W5bbmhkqpthaaSbrZuXDwCo7iEk,https://serpapi.com/search.json?data_id=0x98949c2646f041%3A0x9f8b137b0100ded8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98949c2646f041%3A0x9f8b137b0100ded8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJQfBGJpyUmAAR2N4AAXsTi58,"Belmiro Braga, MG",lojas_presentes,2025-07-28T17:17:17.335244,COMPLETA
4,Mimum Presentes,ChIJCTj18hqXpgARmsF0iHS_2HM,0xa6971af2f53809:0x73d8bf748874c19a,8347632416557679002,/g/11rcn0cwn9,5,1,Loja,Loja,store,"R. Belmiro Braga, 1248 - Alto Caiçaras, Belo Horizonte - MG, 30720-552, Brasil",-19.9063913,-43.978186,+55 31 98652-0049,,Aberto ⋅ Fecha às 19:00,Aberto ⋅ Fecha às 19:00,segunda-feira: 10:00–19:00; terça-feira: 10:00–19:00; quarta-feira: 10:00–19:00; quinta-feira: 10:00–19:00; sexta-feira: 10:00–19:00; sábado: 09:00–13:00; domingo: 09:00–13:00,,,,"Cartão de crédito, Cartão de débito",Compras na loja,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0YPev8sC8ed809C8LAQf3w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=0.30218422&pitch=0&thumbfov=100,https://serpapi.com/images/url/c7ZLzHicHc0xDsIgFADQ27AJv9SBmhBjujro6GQo_QUSCqQg6HE8lrfReIH3Pm9bSsoHxnLZEEt12JJ7os-7pKiJ0XhUyWWq48pqx4p9rFNQzh-TCtHNEm4XrCKPAmcBwyjOp-vSN6Knu_YOQ5EZ1aYtNe0nbnGmJmXSpABi5cDJSzUJtAfeiT3nJLmirQTyb5ZYZQfwBWhMONw,https://serpapi.com/search.json?data_id=0xa6971af2f53809%3A0x73d8bf748874c19a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6971af2f53809%3A0x73d8bf748874c19a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJCTj18hqXpgARmsF0iHS_2HM,"Belmiro Braga, MG",lojas_presentes,2025-07-28T17:17:17.335244,COMPLETA
5,Padaria Lianza,ChIJYetrFZiUmAARmX6SbAjPLn0,0x989498156beb61:0x7d2ecf086c927e99,9020374738757910169,/g/1ptyn_snq,4.4,42,Padaria,Padaria,bakery,"R. Joana Claudina, 59 - Belmiro Braga, MG, 36126-000, Brasil",-21.9495655,-43.4152352,+55 32 3284-1174,,Aberto ⋅ Fecha às 19:00,Aberto ⋅ Fecha às 19:00,segunda-feira: 07:00–19:00; terça-feira: 07:00–19:00; quarta-feira: 07:00–19:00; quinta-feira: 07:00–19:00; sexta-feira: 07:00–19:00; sábado: 07:00–19:00; domingo: 07:00–11:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Você encontra de tudo um pouco, em um só lugar...""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nosLJ0Jp53RyaAX_sCoofjSZPVkETNVnII7Ded-5hjZsBjpHxlqIt0QXqKMW231zAhGzmQuhDZmHgiyQpSGnW1cXpe8LduF2wi0lIEj7o-tOEBEPC-qTAkcvYwUtxHYryhIz_ga=w122-h92-k-no,https://serpapi.com/images/url/92fb93icBcFJkoIwFADQE0UgaDlUuUCkJc44IhvLiulEhvxgggz38xB9m37v7yuMUXpiWblwexyA56zS7E1BGiZNj0JhcaUR1Uhbnj8WfQl6vbSXauAe2ocX37UP8Jsek_0lC07biyRkOGdPNBBpomepCpu8JMaO4nK1uWLX6Tyx6IqoEvOkCPmrjdRxIa8OjRUbrZ_VD65fdk6CdAjI7IJZsPdRefIy-rnVZ9OEt3crSHfnj2ntYIzEGKMMSfgHCS9Ftw,https://serpapi.com/search.json?data_id=0x989498156beb61%3A0x7d2ecf086c927e99&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x989498156beb61%3A0x7d2ecf086c927e99&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJYetrFZiUmAARmX6SbAjPLn0,"Belmiro Braga, MG",lojas_presentes,2025-07-28T17:17:17.335244,COMPLETA
6,Queijaria La Porta,ChIJjYpiUCmVmAARvFG0J2fhMkM,0x98952950628a8d:0x4332e16727b451bc,4842180382540714428,/g/11kqd2rqy9,5,16,Fabricante de queijo,Fabricante de queijo,cheese_manufacturer,"Fazenda Santa Helena, Rua Marcio da Rocha Lima, 200 - Centro, Belmiro Braga - MG, 36126-000, Brasil",-21.957787,-43.4197424,+55 32 99142-0000,https://queijarialaporta.com.br/,Fechado ⋅ Abre qua. às 07:00,Fechado ⋅ Abre qua. às 07:00,segunda-feira: Fechado; terça-feira: Fechado; quarta-feira: 07:00–16:00; quinta-feira: 07:00–16:00; sexta-feira: 07:00–16:00; sábado: 09:00–16:00; domingo: 09:00–14:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""atendimento ótimo e um ambiente espetacular.""",https://lh3.googleusercontent.com/p/AF1QipO6H0Ik0JZAC7DhtdUhQai3TrBk0PeiAKZHAM6W=w163-h92-k-no,https://serpapi.com/images/url/esQZmnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb-Zh4Jlt4BXl6GzuklGSEpoRmJhpHFLklG0QkJrp6B3l4ehrFm5bbmhmrJthaaSbrZuXDwCG0CBV,https://serpapi.com/search.json?data_id=0x98952950628a8d%3A0x4332e16727b451bc&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98952950628a8d%3A0x4332e16727b451bc&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJjYpiUCmVmAARvFG0J2fhMkM,"Belmiro Braga, MG",lojas_presentes,2025-07-28T17:17:17.335244,COMPLETA
7,Armazém Fortaleza Agropecuária,ChIJzx4gT2-VmAARjiPYD4tAYXI,0x98956f4f201ecf:0x7261408b0fd8238e,8241939759075173262,/g/11jzqyqf82,5,1,Armazém,Armazém,general_store,"R. Ver. Vicente Boti, 39 - Belmiro Braga, MG, 36126-000, Brasil",-21.9499489,-43.4194791,+55 32 99928-3133,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 07:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:00; terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 07:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npO6v5OBnFbhEhinxZMPD2xpUe1cJ5SvffFry2DWwfWeTa9_dxiuy3HOZ3UmnxUVV1KWnVW3RGI1dSQRAyxZOAt4Cya0MkHmAxJNuxaO4FglM6cLQ-ucoGoHwUPmyGv2dABqzhQ=w122-h92-k-no,https://serpapi.com/images/url/yWoJFXicBcFRboIwAADQExWkIAkmflQdMBUrOiDhx7BSqBFatAVa7-chdpu99_dhSg1yZdsdc61WiLajo6QvIriiXFlE9HY7SEAkkDbaBszjA_anJd7w8Jd9sTvXZXLeQT1k1CH75XVqmvBl4K6Ym4L-VMGt1vfRuDEu3aznOstz51DwvHAv0bdTX9MLMrrESHlbUy2SR9wjvT-NusJe2HaJT44pGImIRDxn595EE6zR5vlm6Xp2IAQsgOABuPgHFAtFcQ,https://serpapi.com/search.json?data_id=0x98956f4f201ecf%3A0x7261408b0fd8238e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98956f4f201ecf%3A0x7261408b0fd8238e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJzx4gT2-VmAARjiPYD4tAYXI,"Belmiro Braga, MG",lojas_presentes,2025-07-28T17:17:17.335244,COMPLETA
8,Prefeitura Municipal de Belmiro Braga,ChIJOy13O4mTmAAR8JuQpXMrG38,0x9893893b772d3b:0x7f1b2b73a5909bf0,9158962042886986736,/g/1v9lc_kr,4.6,63,Prefeitura,Prefeitura,city_hall,"R. Nícola Falci, 6 - Belmiro Braga, MG, 36126-000, Brasil",-21.951000699999998,-43.4171477,+55 32 3284-1750,https://www.belmirobraga.mg.gov.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:00; terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: Fechado; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,,,,"""Organizada e eficiente com Tratamento diferenciado""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqFVfh1imNKMQm7WAyHVpVZk7ttezVDRESuD8lbwUHT_yvT8Q3u8vBqS2YCtuJt367qmDW7RTYa-JVZxcL0Oc8U0UgK9cG7p2t22C4xOxA-f8wAY8Qu5k8JDgkxz1tkoY7RzLs=w80-h106-k-no,https://serpapi.com/images/url/B2h4aXicBcHbboIwGADgJ6ocR6uJFwx0Bk8BoQZvFm2gXQoU1r-CPN9ewrfZ973_BECvV5bVCG_BleJNZXT1y1QHVQcLplqL9xoxjbQVRkvhd8OW1sL5aU_7Y9ria_ja0Z7eJAaoZhpnm4uJSfMYi13-_XrmJPUMeX4OF7eMwCTgBXho4yvO8vKOEnqb2ME-M1LYBd8v2RfuXXDdyJ_OU4hqMoYlSc2HJEnM5TQ7IFWJs_mg1yOxkXDsAEnUqX96CkOn,https://serpapi.com/search.json?data_id=0x9893893b772d3b%3A0x7f1b2b73a5909bf0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9893893b772d3b%3A0x7f1b2b73a5909bf0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJOy13O4mTmAAR8JuQpXMrG38,"Belmiro Braga, MG",lojas_presentes,2025-07-28T17:17:17.335244,COMPLETA
9,Portal Beer - BelmiroBBraga,ChIJ5YTOno2VmAARi9Nl2zOQGTM,0x98958d9ece84e5:0x33199033db65d38b,3682132722750706571,/g/11l2ky0pdj,5,5,Bar,Bar,bar,"R. Joana Claudina, 145 - loja 1 - Belmiro Braga, MG, 36126-000, Brasil",-21.9500457,-43.415740199999995,+55 32 98413-4519,https://instagram.com/portalbeerbelmiro?igshid=MzRlODBiNWFlZA==,Fechado ⋅ Abre qua. às 17:00,Fechado ⋅ Abre qua. às 17:00,segunda-feira: Fechado; terça-feira: Fechado; quarta-feira: 17:00–00:00; quinta-feira: 17:00–00:00; sexta-feira: 17:00–00:00; sábado: 17:00–00:00; domingo: 10:00–00:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Refeição no local,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqwGmWASDqUUu9vVyUj1NuZtveIWhA34Zf5vrmSPRz3xyRYZoCayX95TWCPM5c1PHfqKY-aUTB1oWfAhQlQh68VUmLby98vRwiABqWTXL7f-z747AuoywifayP3KCTO0FPxWwrs=w122-h92-k-no,https://serpapi.com/images/url/H6Br6HicBcFZEoIgAADQE5G5ZTTTB9m0TBuZRPlnjkilkoIS3a9DdJve-325Ui85saySu4NCiKLMO5m3mahVXqtBJiqreEmQSSAtFELu1Y1eVhSd5g0hHezPhjzsfZeoPl9TjlwvYX7fViccfdy3ia6JCFNzgX5MQ7zzMxuvWLO5gpTEM1tQhvixPPLR-Eyq7c3AcR_pO5o1NL5sAwY-gRegThh9Z6nB7iaMD8MFflPdyqm2HQdw6IAnqMUfDTRFBw,https://serpapi.com/search.json?data_id=0x98958d9ece84e5%3A0x33199033db65d38b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98958d9ece84e5%3A0x33199033db65d38b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5YTOno2VmAARi9Nl2zOQGTM,"Belmiro Braga, MG",lojas_presentes,2025-07-28T17:17:17.335244,COMPLETA
10,Paróquia de Sant'Ana,ChIJOy13O4mTmAAR7r1hM3VOEOI,0x9893893b772d3b:0xe2104e753361bdee,16289606117479267822,/g/1tj4j86g,4.7,74,Igreja católica,Igreja católica,catholic_church,"R. Nícola Falci, 28 - Belmiro Braga, MG, 36126-000, Brasil",-21.9488284,-43.415227699999996,+55 32 3284-1117,https://arquidiocesejuizdefora.org.br/paroquia-santa-ana-belmiro-braga-mg/,,,,,,Entrada com acessibilidade para pessoas em cadeira de rodas,,,,"""Local acolhedor, festas animadas""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr3-ChU2B564Y3lE4gp9X4g5U5VOPwHa6EzZWwxwXTgFE4uFzmIeemRglyAzaMYflPZArt2BcuVMFMyyQ0owANqhsuKnCDKIWfSurr_hjS3XiPrxSKrg1MaTCU2yVroUe5AvP6-=w80-h106-k-no,https://serpapi.com/images/url/H6yMiHicBcFdboIwAADgE1UQCplLfCgI0RAmG4LIiyGktG6lxf6swv08hLfx-15PqvWkPh2HUX9FhCAMG4VlL7jGXK96MTpkUqBXQDko3lDIpQ9iWnlREMKLzxJIpk0DSVAF9bGw-y5MlvZsH7Y5kTSBJl3GA8bjD2EzWrr8MrCiRVJ7UW_qPM3n-dsVFn3dqTIZj3fZ4TyURsor_S395lbIR5lJss67U1x5cy1FhQP0X4Rgaz9cQNduCP4AF2-0MEUG,https://serpapi.com/search.json?data_id=0x9893893b772d3b%3A0xe2104e753361bdee&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9893893b772d3b%3A0xe2104e753361bdee&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJOy13O4mTmAAR7r1hM3VOEOI,"Belmiro Braga, MG",lojas_presentes,2025-07-28T17:17:17.335244,COMPLETA
