position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Bicho Comeu Papelaria e Utilidades,ChIJjyyy6alIoQARqvXtBiEMwiY,0xa148a9e9b22c8f:0x26c20c2106edf5aa,2792808054912841130,/g/11f2b0t2sb,4.4,37,Papelaria,Papelaria,stationery_store,"Belo Vale, MG, 35473-000, Brasil",-20.409343099999997,-44.0257996,+55 37341354,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,"""Otimo atendimento😊😍""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xDUDwBQlFVUiQB0VYxmJ3A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=157.74068&pitch=0&thumbfov=100,https://serpapi.com/images/url/hyWXJHicHc1LDsIgFADA27ATqL9WE2JsGhfuumgTV4ZShJfQQsqz1Nt4LW-j8QIzn7dFDPHIWMRJa5xBpwCLdnEVJDXeG6dlgEiVH9icMbTPoRsluFOQo4deLFVTpbJ2l7aBuuTtbRmumzNR3V050COKqOWkLDXpJ06-pyZEkkTBiRWHNXnJJLJdTvMt3xckACorOPkvDz-LjPMvZN85SA,https://serpapi.com/search.json?data_id=0xa148a9e9b22c8f%3A0x26c20c2106edf5aa&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa148a9e9b22c8f%3A0x26c20c2106edf5aa&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJjyyy6alIoQARqvXtBiEMwiY,"Belo Vale, MG",lojas_presentes,2025-07-28T17:19:51.649320,COMPLETA
2,Preta Presentes Moda (Loja da Preta),ChIJxUe6VnlJoQARG0sY3_ob4EE,0xa1497956ba47c5:0x41e01bfadf184b1b,4746824771547187995,/g/11bwkdpn8l,5,1,Loja de Presentes,"Loja de Presentes, Loja de roupas de cama, Loja de celulares, Loja de Roupa, Loja de acessórios de moda, Loja de materiais escolares, Loja de calçado, Loja de artigos esportivos",gift_shop,"R. Padre Jacinto Pinheiro, 163 - Centro, Belo Vale - MG, 35473-000, Brasil",-20.408868,-44.025118,+55 31 3734-1413,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zSAK2PsX_uaJb5OLpPzDaQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=194.39949&pitch=0&thumbfov=100,https://serpapi.com/images/url/-9tcGXicHc1RCsIgGADg2_iWulqQgUTQUwUteult_HOmgps_083aabpWtym6wPd93jYljFvGYhq0TpPTGd1T-7hAoCYE4zWgi1SFjk0FS3bsmh6c3yH0wbVyvu1Pyyre6xGOzfpyxmo-wJWoplbe6T7JqGFQlpr8E4fQUoORZLnhxEqxJC_IshAlXQlRCoIuKSs5-S-PMMmC8y99Kjmf,https://serpapi.com/search.json?data_id=0xa1497956ba47c5%3A0x41e01bfadf184b1b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1497956ba47c5%3A0x41e01bfadf184b1b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJxUe6VnlJoQARG0sY3_ob4EE,"Belo Vale, MG",lojas_presentes,2025-07-28T17:19:51.649320,COMPLETA
3,Loja Doce Lar - Belo Vale,ChIJDXeHV6zlowARFeDX71_qhI8,0xa3e5ac5787770d:0x8f84ea5fefd7e015,10341648342116196373,/g/11ry097xhn,5,1,Loja de presentes,"Loja de presentes, Decorador de interiores, Loja de artigos religiosos, Loja de materiais escolares, Loja de Brinquedos",novelty_store,"Praça Serafim Rodrigues, 57 - Centro, Belo Vale - MG, 35473-000, Brasil",-20.4094449,-44.026108,+55 31 99637-9313,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npEZxLrGMP-BkC6PSxSYsdSKL5Zs1VExg37EyrlokCMxE9iD4IAl-yjiJ1wqDghWbZ6DHDAcpg0TVApBZhvUmA0x-2a05o78wdWsbXjyqQZROLW_DAQhZbMBist_4KtlHTSs37E=w92-h92-k-no,https://serpapi.com/images/url/YXDhWHicDc1JDoIwFADQE1VQccDERaHECeKAinZjBEmLVFr5Vcr9vIS30cVbv--Ha61gYlmC9ztMSibyF-R1JiudV7qTyYfFFKAMEFjYd7lTqYCasJ5FG-SV_nATm_gMt3gVDih0j4Fh_VHQ1kKWfmQCtyDOAgvU3otlt3kSxpOUDsmc4Ewxe3_EyqP8fXhg26De1R7I0bi5JZCe7u1zS3frMLkQvOU0jbwC9MVZaTHfx_Avpo3bQ_yvRJX8AV6vQ-I,https://serpapi.com/search.json?data_id=0xa3e5ac5787770d%3A0x8f84ea5fefd7e015&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3e5ac5787770d%3A0x8f84ea5fefd7e015&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJDXeHV6zlowARFeDX71_qhI8,"Belo Vale, MG",lojas_presentes,2025-07-28T17:19:51.649320,COMPLETA
4,Meninas Presentes,ChIJTycS66lIoQARrERdRv5FBx0,0xa148a9eb12274f:0x1d0745fe465d44ac,2091717510341412012,/g/11gbl2mnbd,3,1,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"R. Padre Jacinto Pinheiro, 30 - Belo Vale, MG, 35473-000, Brasil",-20.4085684,-44.0239285,,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uGNe7AtBzpky4wSm0oImJQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=10.251111&pitch=0&thumbfov=100,https://serpapi.com/images/url/ZVufenicHY1LCsIwFABvk51JKoofCKIb0YUgHkDS9JkEk-bRvDbW03gtb2NxtgMz348jwrwVIlMHQIOHgv4FIc9Qc5uSDaDRZ25SFEMlyPWxbrUPO9Rt8o3qjxdY7enwxue4KLco0ymer8zUdxM8tKQy6M44bstU7FLDLWZW1FoypzZzNuqiKsnny2qCoSfjlGT_yyMNk5I_j6U5ug,https://serpapi.com/search.json?data_id=0xa148a9eb12274f%3A0x1d0745fe465d44ac&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa148a9eb12274f%3A0x1d0745fe465d44ac&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJTycS66lIoQARrERdRv5FBx0,"Belo Vale, MG",lojas_presentes,2025-07-28T17:19:51.649320,COMPLETA
1,LILY CRAFTS,ChIJGWawo5lJoQARmUe5iaUKkbE,0xa14999a3b06619:0xb1910aa589b94799,12795019722432792473,/g/11qnvf12wr,5,4,Artesanato,Artesanato,handicraft,"R. Santa Cruz, 15 - Centro, Belo Vale - MG, 35473-000, Brasil",-20.40952,-44.0255879,+55 31 98301-5605,,Aberto ⋅ Fecha às 18:30,Aberto ⋅ Fecha às 18:30,segunda-feira: 08:00–18:30; terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=J4w-3gvi5m-1d90tB8Duww&cb_client=search.gws-prod.gps&w=80&h=92&yaw=70.79606&pitch=0&thumbfov=100,https://serpapi.com/images/url/ttk_r3icHc3bDcIgFADQbfgrUB99mBAT45dLGEoRbgLlptyCTuNcbqNxgXM-b0-E-SREptVaKmArwtOG3KDmLiUXrEbI3KQoSivIb3FaNIQz6iXBrG6H2uxdgWNs2nmUdBmuW63MTHcTwC6kstWr8dzVn7immTvMrKpBMq_GHXvpqnrJ-7GTHUMg45Vk_-SRimql_AITxjjX,https://serpapi.com/search.json?data_id=0xa14999a3b06619%3A0xb1910aa589b94799&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa14999a3b06619%3A0xb1910aa589b94799&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJGWawo5lJoQARmUe5iaUKkbE,"Belo Vale, MG",lojas_artesanato,2025-07-28T17:19:54.712888,COMPLETA
2,Arte do Quilombo,ChIJR2lq5PJFoQARqhkkxqwMv-U,0xa145f2e46a6947:0xe5bf0cacc62419aa,16554964691435395498,/g/11jdh8167s,5,2,Artesanato,"Artesanato, Floricultura",handicraft,"Rua ortogamim Francisco dias, 51 - Chacrinha, Belo Vale - MG, 35473-000, Brasil",-20.4515116,-44.018085199999994,+55 31 99882-0218,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:00; terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–17:00; domingo: 09:00–17:00,,,,Cartão de débito,,,"""Arte e cultura para todas as idade e gostos.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqriCC1UbIw7BnkyXTur0j1wLF_XBaD6ZuuwqI0-9pfHHStrkKkOKT9ACqxe-SLH19bxqLa0kw9PevXlfasxtZ7m7ZIyepmu6IfoGU6v075lxGUjHcOKHMYnHhWs8dpCS8i_L-J=w80-h106-k-no,https://serpapi.com/images/url/j3Him3icBcFRboIwAADQExVK3IAu8UNrpAiLJkjG-DGIhWqhLbS1eEAPsdvsvb83M0bpL98f2MrrpewHajWdWykMFcZr5ej3SoNWA-1vMGIfYprvGAflNXXRVvBXdbYzfAQu31-qbbMLa2vdlEKAVEdIYWae8WN2Rhs8LRQUOQnQdZnyBnKHTvRZDV2jF1NHY1SnL6pGG6adTMrwCaPPYUnKB2mPGfn-FYT96PimcBHfLzk4rF0MAQtgCDgQ8h8I60UD,https://serpapi.com/search.json?data_id=0xa145f2e46a6947%3A0xe5bf0cacc62419aa&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa145f2e46a6947%3A0xe5bf0cacc62419aa&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJR2lq5PJFoQARqhkkxqwMv-U,"Belo Vale, MG",lojas_artesanato,2025-07-28T17:19:54.712888,COMPLETA
3,Flor De Lis Artesanatos,ChIJOb1pV9FJoQAR1E-GWPWR4Zs,0xa149d15769bd39:0x9be191f558864fd4,11232419428576939988,/g/11h3phn4kv,,0,Artesanato,Artesanato,handicraft,"R. Tereziano - Centro, Belo Vale - MG, 35473-000, Brasil",-20.4102365,-44.0250214,,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fP_3H2aDX9BFUdM2hPv_Mg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=194.40733&pitch=0&thumbfov=100,https://serpapi.com/images/url/66XtY3icHc3dCsIgGADQt_EudT9QCz6CEdHNYDdBd-Obcyq4KdO03qbX6m2KXuCcz1vH6MORsRA3KWMyMnvzlDbsPFLlnLISvQlUuIWlgkX9WMYVjT15XJ2ZYO6H6lri-d60l9vUlbpPQ6eIGAdhjVwjBImb0FTln7i5iSofSIYDJxqakrwwQ9HUtOb7qiLeRKGBk_8yuwQF519JKTkA,https://serpapi.com/search.json?data_id=0xa149d15769bd39%3A0x9be191f558864fd4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa149d15769bd39%3A0x9be191f558864fd4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJOb1pV9FJoQAR1E-GWPWR4Zs,"Belo Vale, MG",lojas_artesanato,2025-07-28T17:19:54.712888,COMPLETA
2,Mobiliadora Teco,ChIJq8AQH9JJoQARwGkHQot8B_U,0xa149d21f10c0ab:0xf5077c8b420769c0,17656217801679399360,/g/11gxhqxzgc,4.7,6,Loja de móveis,Loja de móveis,furniture_store,"Av. Tocantins, 83 - Belo Vale, MG, 35473-000, Brasil",-20.409997,-44.023823199999995,+55 31 3734-1311,https://guiadaestrada.com.br/listings/mobiliadora-teco-belo-vale/,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqVCA9OAjbYF1awZ9tiKYC_zv06uw9IZiCmLJsLi44DAeVOfj3laYayp7tq0LKm5sTswfs1x_BJB-8oDye64DwJU87-7QhQYEff_tntBMypKq0Q8xA0f-5uW1r3ActyarfB_d9A=w122-h92-k-no,https://serpapi.com/images/url/xcxIRnicBcHdboIwGADQJ6r8KnTJLgq4ZMBiSKYGbwhiS3HQAt_HKns_H2Jv4zn_T4k4wptl9dLbtFq3PV-Az41WyBVuGj1Y7QikAQIWi6n01XSKGT2w-7X8cGpzodhlZVz9_dq7xdDPSxcPeQp55_sJ46eDuHt9XdbrGOBk59mwhW8wApxHFaURCXWy8p2fmPQYBiQoZFHuhahQYfS1jtlkF-GD2YJsl7Mze6zBtZ5FVN0oezeO6xJJXfJDlH4BqNdEAQ,https://serpapi.com/search.json?data_id=0xa149d21f10c0ab%3A0xf5077c8b420769c0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa149d21f10c0ab%3A0xf5077c8b420769c0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJq8AQH9JJoQARwGkHQot8B_U,"Belo Vale, MG",lojas_decoracao,2025-07-28T17:19:57.819812,COMPLETA
3,Lírio dos Vales Decorações,ChIJU4nV7g6QpgARUwlk5USK5CU,0xa6900eeed58953:0x25e48a44e5640953,2730459302604310867,/g/11c2pml3m4,4.9,16,Loja de artigos para festas,"Loja de artigos para festas, Assessoria e cerimonial de casamentos",party_store,"R. Santo Antônio, 313 - São Tomaz, Belo Horizonte - MG, 31741-150, Brasil",-19.844425899999997,-43.949880799999995,+55 31 99901-4496,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–16:00; terça-feira: 08:00–16:00; quarta-feira: 08:00–16:00; quinta-feira: 08:00–16:00; sexta-feira: 08:00–16:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,"""Preço justo, pontuais e honrados.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrLkQPTDksA5omhFJfl4KxkfOOyv2__ku9HTa6pjw9VeQWQ4F-Ov-fubq4HuKxVRjq6POa3d51_f2BionTr7T6kV4b9SHWVYwbj5j0bpjCTPbsUTT0m4LkUlt0hdlJu-exbJ-lxZg=w138-h92-k-no,https://serpapi.com/images/url/bjIQOnicBcHdboMgGADQJ_qqVXRjyS76k8bYJupGbbYbUyzKAMEKVPeEe4a9Tc_5_-POjfYtCBSPV70xvWLesqk12jHtVq0Zgn600FqwwWaHOdLTSVYl2Uu7SczAD3mn0HGRXVH8PqKmkR5n5JqOYsY1qy4VOkDxgM7TO8r8cak_xD0ti2t8S9ZNF21_jCbTC0lljSj-zC7110xFIkI6ih0pqT0TEg7oJM_Khfymcg9soTmo5bt_n9fxK3AcgQRtnozmRc8,https://serpapi.com/search.json?data_id=0xa6900eeed58953%3A0x25e48a44e5640953&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6900eeed58953%3A0x25e48a44e5640953&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJU4nV7g6QpgARUwlk5USK5CU,"Belo Vale, MG",lojas_decoracao,2025-07-28T17:19:57.819812,COMPLETA
5,ABC da Construção Belo Vale,ChIJnWG5oFpJoQAR5QnBp6qtP14,0xa1495aa0b9619d:0x5e3fadaaa7c109e5,6791337711568488933,/g/11n0mcnv0t,4.1,15,Loja de materiais de construção,"Loja de materiais de construção, Fornecedor de reformas de banheiros, Loja de acessórios para banheiros, Fornecedor de materiais de acabamento, Loja de pisos, Fornecedor de revestimento, Fornecedor de pisos de madeira e laminados",building_materials_store,"R. Barão de Paraopeba, 294 - Santo Antônio, Belo Vale - MG, 35473-000, Brasil",-20.4194235,-44.0178697,+55 31 3734-1250,https://www.abcdaconstrucao.com.br/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:00; terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: 08:00–12:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMqnkUDkeDYCupFd6q6SmgRnLRjcj7pjomm-e08=w163-h92-k-no,https://serpapi.com/images/url/HdnIjXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW5iXHeqSneoS6Vxa4JZiVmgWnJselOcTlJWcZV6QlZ-bq5tqYGFbbmhmrJthaaSbrZuXDwDBtSHY,https://serpapi.com/search.json?data_id=0xa1495aa0b9619d%3A0x5e3fadaaa7c109e5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1495aa0b9619d%3A0x5e3fadaaa7c109e5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJnWG5oFpJoQAR5QnBp6qtP14,"Belo Vale, MG",lojas_decoracao,2025-07-28T17:19:57.819812,COMPLETA
