position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Bichinho Bacana,ChIJdb5xt-q_oQARuThU7Xw4erw,0xa1bfeab771be75:0xbc7a387ced5438b9,13581229735497971897,/g/11j9dk22z2,4.6,1347,Artesanato,Artesanato,handicraft,"Praça Nossa Sra. da Penha, 21 - Bichinho, Prados - MG, 36320-000, Brasil",-21.1019763,-44.1168593,+55 32 98434-0707,,Fechado ⋅ Abre ter. às 09:30,Fechado ⋅ Abre ter. às 09:30,segunda-feira: 09:30–17:00; terça-feira: 09:30–17:00; quarta-feira: 09:30–17:00; quinta-feira: 09:30–17:00; sexta-feira: 09:30–17:00; sábado: 09:30–17:00; domingo: 09:30–17:00,,,,"Cartão de crédito, Cartão de débito",,,"""Muito gostoso esse centrinho de bichinhos com varios bares e artesanato""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nonDe30kB4Dsg3bl1OGMOgR_sS49e3VNxu58RKzhdjy8cnRPIvGBA_nAHrQDVJ8b6R5T0ECDboXq1JK9BLmkQ2pL7kTweYQFQpRCV9zYJzaOa280ZrBAQErmd_qahAGP5z-i3X2Ww=w123-h92-k-no,https://serpapi.com/images/url/9sStWnicBcFLcoIwAADQE0UgAUuc6SKA0qIVEx38bBjATNICCRIslgv2DN7G957_chg6s7CsRqKZ0Fo0_G54X2k1cDXMKt1aojOgMsBYJMTSVVpFHNl14EZGoLJx0vgrFSw3exdzlG0fd89n60lef_78SrHd528ckFyRj55GWeKXc-Yd7GUYlfp0c5I1DjZtTWG3easPIz_TFe1YmOHpnExFWkDfvvQBocu-vea3QpJ4503gG53gcXwfHYiAxBDUQOkX0CdDng,https://serpapi.com/search.json?data_id=0xa1bfeab771be75%3A0xbc7a387ced5438b9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1bfeab771be75%3A0xbc7a387ced5438b9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJdb5xt-q_oQARuThU7Xw4erw,"Bichinho, MG",lojas_presentes,2025-07-28T17:28:40.808334,COMPLETA
2,Bichinho MG,ChIJy5PeFQC_oQAR-UbThklpqmo,0xa1bf0015de93cb:0x6aaa694986d346f9,7686071478576695033,/g/11vpjbv5bm,4.5,721,Atração turística,Atração turística,tourist_attraction,"R. Moisés Pinto de Souza, Prados - MG, 36320-000, Brasil",-21.094605299999998,-44.1217368,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Lugar tranquilo e aprazível com boas lojas de artesanato e restaurantes.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4np6jaDoDJVUgD_DMITlGkO9-3n9x6PmyO50OqDMCMjGtQKiZYMmcmw2k_W4P5-T_GI7-NQ_3-rxuHZNMzUjcFieRjQzx5z5-sHB1KDg0w5giu0ii9i0s7ftrodDS5O1ZtDMBgoLPQ=w138-h92-k-no,https://serpapi.com/images/url/zdCxcXicBcFbUoMwFADQFV2eDTXO-GHJFCqmgPYx5YfppBjCI0ESBmSDrsHdeM7fb23MoJ9tu6t9iyvFu2rS1ciUNJU0FlO9zQcNTIO2X0Ncb-QQNHeiyNvlzElJ6OHURW2KwZd4CbL-J0VO-k1oSJvI5IkobrRn_ey15XWTITiV0WELx7z0YVymuDjS9dywvag-mnxd0IpAxzs3IdyZEReTIwQWjt5-mVE9yCdK3cIQuuPqPctfZtd_ghp70IJU_-XIRA4,https://serpapi.com/search.json?data_id=0xa1bf0015de93cb%3A0x6aaa694986d346f9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1bf0015de93cb%3A0x6aaa694986d346f9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJy5PeFQC_oQAR-UbThklpqmo,"Bichinho, MG",lojas_presentes,2025-07-28T17:28:40.808334,COMPLETA
3,"Cida Guimarães Móveis, Artesanato e Decoração",ChIJW7aJhqu4oQARJUxi346ARLw,0xa1b8ab8689b65b:0xbc44808edf624c25,13566109328668249125,/g/1s04dwrct,4.4,541,Loja de artigos domésticos,"Loja de artigos domésticos, Loja de materiais para artesanato",home_goods_store,"Rua Silvério Jaques, 606 - 3 - Bichinho, Prados - MG, 36320-000, Brasil",-21.094878599999998,-44.120443699999996,+55 32 98439-8587,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: 09:00–17:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np_8xgrkZRRe8il13A6vmORqSwkrXh1IrKXptAcrwjO3wIxlIYi8l74Tm3IaDmY1SUgAHCEpoQk4Dx0KPmgw6hWZG7f-gY3dzigg0kpbAoMf2Ygb1Xt0IxWKFKLpOVnJC0mJhND=w122-h92-k-no,https://serpapi.com/images/url/sb7gb3icBcFbUoMwFADQFaUQwrTUGT8yUDVFRam20B_HIr3BPE2iYbo_F-FuPOfvl4dg_VWSSE4WYAzI8duPbjA6jDosBqMSsB4NHvmElmuea_tWzODEsW3HYpKY0OWPatqvXRSu45i5urOBDi5-NiSyWbJ-KuQqf1GEvVeqx7tXoHflxppnkVdzWj8piEt-ON6uzgh68nGZAFJhT9Q8nLMeTrgLKZsP9U19b5u93pap2vLH6jriLEN8nSGBtPkHG2pE2A,https://serpapi.com/search.json?data_id=0xa1b8ab8689b65b%3A0xbc44808edf624c25&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1b8ab8689b65b%3A0xbc44808edf624c25&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJW7aJhqu4oQARJUxi346ARLw,"Bichinho, MG",lojas_presentes,2025-07-28T17:28:40.808334,COMPLETA
4,Galeria Bichinho,ChIJqWo3mrm_oQAR6c_-aaZgoaU,0xa1bfb99a376aa9:0xa5a160a669fecfe9,11934926755367669737,/g/11qmc5hth7,4.6,317,Centro cultural,Centro cultural,cultural_center,"R. Moisés Pinto de Souza, 05 - Vitoriano Veloso, Prados - MG, 36320-000, Brasil",-21.1009931,-44.1177469,+55 32 99904-0377,,Aberto ⋅ Fecha às 22:30,Aberto ⋅ Fecha às 22:30,segunda-feira: 10:00–22:30; terça-feira: 10:00–22:30; quarta-feira: 10:00–22:30; quinta-feira: 10:00–22:30; sexta-feira: 10:00–00:00; sábado: 10:00–00:00; domingo: Atendimento 24 horas,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Galeria de lojas de artesanato localizada em Bichinho (Prados-MG).""",https://lh3.googleusercontent.com/p/AF1QipMmdpUe8nj-0GIUddb-iq-rfOKkxWMdf4tBnLnP=w138-h92-k-no,https://serpapi.com/images/url/--o_wXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm5tSEJpqkZela-DuGZqSkqSbWahblObvnV0R7puSZlLilOeTF2BbbmhsoZthaaSbrZuXDwCzCyGb,https://serpapi.com/search.json?data_id=0xa1bfb99a376aa9%3A0xa5a160a669fecfe9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1bfb99a376aa9%3A0xa5a160a669fecfe9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJqWo3mrm_oQAR6c_-aaZgoaU,"Bichinho, MG",lojas_presentes,2025-07-28T17:28:40.808334,COMPLETA
5,Cemoeyro Design loja,ChIJ0zg0AAC_oQARfjSyTPSdRII,0xa1bf00003438d3:0x82449df44cb2347e,9386801195931284606,/g/11vz51xf2f,5,10,Loja de Presentes,Loja de Presentes,gift_shop,"R. Dep. José Bonifácio, 46 - Bichinho, Tiradentes - MG, 36320-000, Brasil",-21.101124799999997,-44.1178094,+55 32 99881-5847,https://cemoeyro.com.br/,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq34Un1fmTSACvfxPiYvEBPJ_U9WnEyrmn-SXTbrp312N_LjIGkj_o_ZY4Im85CLg9ASxxtbSQcufdMrx6cf6O7ECHB9jSDfYdo4JWBDjc5oi2C8oCv3OM6Pwi4iVP2Vv2br9e2=w87-h92-k-no,https://serpapi.com/images/url/C01xOXicBcFJDoIwFADQE1ViqUhNXEAlDnHA1Ak3JFTKoPRjWxHv5yW8je_9vqW1rZk4zqN0BwVA8chfJtcClM2VHQhonKI1SBhknIDRkqinS45qKJsDD1gn-7hKuiiMV-mRnlX00Y1C_HLIdOsO8TZd18v5vU4hvSZk2fgjti5owPveZnwvXvK20b0npLcbR2wR0prPZHIDsjqHs1qMoMLMB9a5u40XvytSnWJ86nCmaY6nb3-MSorRHSn4A3XQQ5c,https://serpapi.com/search.json?data_id=0xa1bf00003438d3%3A0x82449df44cb2347e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1bf00003438d3%3A0x82449df44cb2347e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ0zg0AAC_oQARfjSyTPSdRII,"Bichinho, MG",lojas_presentes,2025-07-28T17:28:40.808334,COMPLETA
6,Giovana Artesanato - Bichinho MG,ChIJ_VUTi1u_oQARiYGZqcehegQ,0xa1bf5b8b1355fd:0x47aa1c7a9998189,322748202226385289,/g/11w9v8087w,5,2,Artesanato,Artesanato,handicraft,"R. Dep. José Bonifácio, filho,11 - Bichinho, Prados - MG, 36220-000, Brasil",-21.1014142,-44.117755599999995,+55 32 99932-6099,https://www.instagram.com/giovana.artesanatosbichinho?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Serviços no local,,,https://lh3.googleusercontent.com/p/AF1QipPVqpNSLcAUDpxujmeWzelxKXqauIS4nv99lcu3=w80-h106-k-no,https://serpapi.com/images/url/GVe4OHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEFZY4Bfsk-wY6lJQUZqVmxpelZpT4R1RmFjqGWySV2ZpmZNcamxbbmGgm2FoYKabrZuXDwDShCJh,https://serpapi.com/search.json?data_id=0xa1bf5b8b1355fd%3A0x47aa1c7a9998189&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1bf5b8b1355fd%3A0x47aa1c7a9998189&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_VUTi1u_oQARiYGZqcehegQ,"Bichinho, MG",lojas_presentes,2025-07-28T17:28:40.808334,COMPLETA
7,Refinaria de idéia,ChIJEUoSbr-_oQARAnzh3QABuag,0xa1bfbf6e124a11:0xa8b90100dde17c02,12157749772297534466,/g/11n745rcxr,4.9,36,Loja,"Loja, Galeria de Arte, Ourives",store,"Rua Silvério Jaques n°196 CO Vitóriano veloso Bichinho MG Vitóriano, Veloso, Prados - MG, 36320-000, Brasil",-21.0949112,-44.1205712,+55 32 98428-9935,http://www.refinariadeideia.com/,Aberto ⋅ Fecha às 20:00,Aberto ⋅ Fecha às 20:00,segunda-feira: 08:00–20:00; terça-feira: 08:00–20:00; quarta-feira: 08:00–20:00; quinta-feira: 08:00–20:00; sexta-feira: 08:00–20:00; sábado: 08:00–20:00; domingo: 08:00–20:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no7nu6KQ_YOgefphfR3goj1M_7W1wjZ533P3xHYvVy8380cjand38l6M9UwOnB5o8Guh7YrTqMq-ltlUAaDZdr8SaIr2v3-zPvqKDQd6MwlLI9JZU0plom4wZY6PozJYTjj_a5y=w80-h92-k-no-pi0-ya269.8-ro-0-fo100,https://serpapi.com/images/url/vk0I7HicBcHtToMwFADQJ7pQ6IBi4o_pEt0mGdOhKX9Iw1etXS9QPmRvavYynvN3l-PY2QfX1ZI6LWKr68nWQ4lmrM3olHh1285CacG62-dYbgxGZgqP54Kf2rrpZPNOW1ReUkRf3qLygNKU_r7y-XNllJFSCVNRpsMkzpaTeQqQvUwy4sOlT3rQo862YpdXA_sQ-8GfKdzSuT_uzlWYLPptHx_yjHQar5sl52GKtwO_KFWIYH1cGAEZ-_ADBqH7JrAKP4wdBgMCgQY9Qv4B8TdKrg,https://serpapi.com/search.json?data_id=0xa1bfbf6e124a11%3A0xa8b90100dde17c02&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1bfbf6e124a11%3A0xa8b90100dde17c02&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJEUoSbr-_oQARAnzh3QABuag,"Bichinho, MG",lojas_presentes,2025-07-28T17:28:40.808334,COMPLETA
8,Cachaça Mazuma Mineira - Alambique e Loja,ChIJBwNaC02-oQARzPdLHjKKHdE,0xa1be4d0b5a0307:0xd11d8a321e4bf7cc,15068351876112840652,/g/12323ph67,4.6,2731,Loja de bebidas,"Loja de bebidas, Atração turística",liquor_store,"Rua São Bento, 300, Bichinho, Prados - MG, 36320-000, Brasil",-21.092239,-44.123317,+55 32 99928-8004,https://mazuma.com.br/,Fechado ⋅ Abre ter. às 09:30,Fechado ⋅ Abre ter. às 09:30,segunda-feira: 09:30–17:00; terça-feira: 09:30–17:00; quarta-feira: Fechado; quinta-feira: 09:30–17:00; sexta-feira: 09:30–17:00; sábado: 09:30–17:00; domingo: 10:00–14:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npYL_4wFmy1bHwMHBH9BMu--2pHeAi7scWtpYwQy05IvvE2DBetXlK1rju07NC470PTp-cMnSzx8hx8dOU-ZG0rStf7gxdMZxQLZstNm4KLuY2TQ0PdjJfeqAJk-12U_Ik_K03F=w122-h92-k-no,https://serpapi.com/images/url/ItJxpnicBcHdEoFAGADQJ_q0rUwy46L8RYUGQ900Y1st1e5qN8X7eQhv45zfl2kt1cQwKjYcFEIUFW0VbYjgmnI9IKI2CqmAKFCGO3OYxWUSZla3rN_m1e8i3_MdL2oBsPSpe7cVOWuZdPEbjdav1wLPPaovVWA2jxbZ25llo_1RAon44dOPWT_OdydIV6g56Jtd9HmU9nGYKr2trSBsE3yM0T5_bG706W5KMPEpW5dZgIbLaWdiDMzBUAIXf3_JQ1I,https://serpapi.com/search.json?data_id=0xa1be4d0b5a0307%3A0xd11d8a321e4bf7cc&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1be4d0b5a0307%3A0xd11d8a321e4bf7cc&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBwNaC02-oQARzPdLHjKKHdE,"Bichinho, MG",lojas_presentes,2025-07-28T17:28:40.808334,COMPLETA
9,Bichinho do Mato,ChIJVT72Foi_oQARCZqgopHWQ-g,0xa1bf8816f63e55:0xe843d691a2a09a09,16736456561225931273,/g/11rkd6pz2v,4.6,596,Atração turística,Atração turística,tourist_attraction,"Estrada Parque Vitoriano Veloso Bichinho, Prados - MG, 36320-000, Brasil",-21.1020178,-44.1170379,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ir nas lojas comprar lembrancinhas também vale a pena.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noPeeOYg99p-wmPq0L2WJBYANSdP9GBhouqWGJ2IyweEA2QCZJdYRoSCfJJhAQz2sbXwrUkRUKXtqoOAGlyOHjBQLMA1d71YrgrUSR5mWsqsm3ZevNxa05A4NNdBmMwktqRXBKXFw=w80-h106-k-no,https://serpapi.com/images/url/iIQRzHicBcFbcoIwFADQFUUePulMPxKmRaPyHAbwr4WYjBAuIdHUbtA1dDc95-8ljJn0m-MMYrngAHxgd83mFkbDRrNoQTp80qjVSDs4DMRqhJSxpOFBMCErU-We_IqSBsdFlwYREXBXVUT9w9OyD-xn4YV2TQ5FeKVU4OzX19-1ncs-L4-1UZDgaHgm-xvJTmfsdVuvmflcFvlaVlppubywR_zz5a7xKo47Is-2NyqvybH-tO925yLhuRvUoxH-AUViRVY,https://serpapi.com/search.json?data_id=0xa1bf8816f63e55%3A0xe843d691a2a09a09&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1bf8816f63e55%3A0xe843d691a2a09a09&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJVT72Foi_oQARCZqgopHWQ-g,"Bichinho, MG",lojas_presentes,2025-07-28T17:28:40.808334,COMPLETA
10,Artesanato Bicho Da Terra,ChIJCWZsh02-oQARJqNCuPFoz80,0xa1be4d876c6609:0xcdcf68f1b842a326,14830187485342114598,/g/11bw43sjtd,4.6,48,Ateliê de arte,Ateliê de arte,art_studio,"Bichinho mg, Rua Silverio Jaques, 234, Prados - MG, 36320-000, Brasil",-21.0947677,-44.121065099999996,+55 32 98460-0887,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–17:00; terça-feira: 08:30–17:00; quarta-feira: 08:30–17:00; quinta-feira: 08:30–17:00; sexta-feira: 08:30–17:00; sábado: 09:00–18:30; domingo: 09:00–17:00,,,,,,,"""Comprei muitos tapetes artesanais a um bom preço.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq8s7NZik14wqLvHudRzFUWweHW5f3bC9nJQyI2G9fSPTwS9f60vjKruC6VfbnEDJb1N58NP1GlTczeYKUYhGpMPW1lJ6qtCOe6fj1F6lO4BKNIVE-7yvbs0Qnd-Pr7BjrpSSvp=w163-h92-k-no,https://serpapi.com/images/url/MBvoEnicBcHRFoEwAADQL5pMWeYcD4QoEqHDY9mazLbaqqP_8xH-xr2_LzNG6allcWYPCikLThpN6lwKQ4QZ5PJtFUqDXANtzT3MHFFNtBvdny_odNWu3TSPU7--pB3ZpGNqZx4WwfGzHfmYJvG5SzBFw7YM68ZDV5qJ1TLIYDSeRDH0-TnvyS283Jiv9nEKeYAq4x0IoiVcI35wFmG0va6A-2kzPTyKB4hrd1HWKklaNesgsgHDI_ACQv4BimVDnA,https://serpapi.com/search.json?data_id=0xa1be4d876c6609%3A0xcdcf68f1b842a326&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1be4d876c6609%3A0xcdcf68f1b842a326&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJCWZsh02-oQARJqNCuPFoz80,"Bichinho, MG",lojas_presentes,2025-07-28T17:28:40.808334,COMPLETA
