position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Empório,ChIJW5pYGvq3pQARWGhZaEOEJuU,0xa5b7fa1a589a5b:0xe526844368596858,16512030508848867416,/g/11q1g8zc7j,5,1,Floricultura,Floricultura,florist,"R. Pref. Geraldo Pessoa, 98c - Centro, Bom Jesus do Amparo - MG, 35908-000, Brasil",-19.7093728,-43.475926,+55 31 99894-6985,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrlGdi3DRvz7kAFGD3r4lUDhxyH9w_kl1CabspK2ab5roiFZx3BD2Lrntrxe8EGWwkwwLEkVWMlmrpQhj79Mo6xJb1cUbPYbBbXsgNoL0ToZn9Un9ZmYN39na5xQs4dX_owTSCy=w122-h92-k-no,https://serpapi.com/images/url/2vtY-3icBcHdboIwGADQJ6qMFudq4oWAsjg084ep3BiKhGpLP9JWW32_PYRv4zmvf25tb8ZBIDkZtACtbG6m0TUo2yg7qKEL2t6g2iATTBPKI6Vldr6QdHN_jsR0nqVER7JIuX98U3cSMkwqZvofXLGhhsu89CROca6V1b75mmV7J5zLZ-Jvv5Sd7tf8OqJL-PQLFtYF-z2ymB1Mu4L8YwelooWiZXdcEaqqoV-b6Hw4gdttk8fEhRgjTjESSMEbOL9F6w,https://serpapi.com/search.json?data_id=0xa5b7fa1a589a5b%3A0xe526844368596858&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5b7fa1a589a5b%3A0xe526844368596858&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJW5pYGvq3pQARWGhZaEOEJuU,"Bom Jesus do Amparo, MG",lojas_presentes,2025-07-28T17:32:09.187140,COMPLETA
2,Lorencia Modas,ChIJ_____z-2pQARqJ9dp64Qo1M,0xa5b63fffffffff:0x53a310aea75d9fa8,6026679068670140328,/g/11gbzcl4bv,4.2,15,Loja de Roupa,Loja de Roupa,clothing_store,"R. Ten. Antônio Manoel da Fonseca, 22 - centro, Bom Jesus do Amparo - MG, 35908-000, Brasil",-19.7052622,-43.4754838,+55 31 3833-1105,https://www.facebook.com/lojas.lorencia,Aberto ⋅ Fecha às 18:30,Aberto ⋅ Fecha às 18:30,segunda-feira: 08:30–18:30; terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cdwGuEZDaQyd0YMc3S9xUA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=282.52872&pitch=0&thumbfov=100,https://serpapi.com/images/url/IgfZmnicHc1RCsIgGADg2_iWOiPaAomg6KmHiB7qJUz_VHDzZ7q53aZrdZuiC3zf5-1yxrRhLOUeII8eCvoJQlqgojZGG0ChT1THlo0Vy25on53yYYuqi95IbcpxONz36jwbfjvp5aWZrjuinw8dPHRZJlC9dtSWn9hHQy0mUmTNiZONILMqUtSCrkS9FgR91k5y8l9ecZQV51948jl-,https://serpapi.com/search.json?data_id=0xa5b63fffffffff%3A0x53a310aea75d9fa8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5b63fffffffff%3A0x53a310aea75d9fa8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_____z-2pQARqJ9dp64Qo1M,"Bom Jesus do Amparo, MG",lojas_presentes,2025-07-28T17:32:09.187140,COMPLETA
3,Rede SuperConstru Materiais de Construção - Loja Bom Jesus do Amparo,ChIJA6HOWWG3pQARXMxR3V_V10I,0xa5b76159cea103:0x42d7d55fdd51cc5c,4816552934207769692,/g/11j0s2bymy,4.6,10,Loja de materiais de construção,Loja de materiais de construção,building_materials_store,"R. Ver. Antonio Jose Dias, 50, Bom Jesus do Amparo - MG, 35908-000, Brasil",-19.7053714,-43.4747078,+55 31 3833-1310,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 07:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:00; terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 07:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipOuuPJlaXXsnoszsDSH6_lsCqWGLMI-v8vA40Nb=w122-h92-k-no,https://serpapi.com/images/url/8IZ_EXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX1oa4JWTGBFRnJdfXFXsEuxhFp9T7FwY7u7j66lbZlHmaGLgl2RbbmhkpJthaaSbrZuXDwDFniGk,https://serpapi.com/search.json?data_id=0xa5b76159cea103%3A0x42d7d55fdd51cc5c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5b76159cea103%3A0x42d7d55fdd51cc5c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJA6HOWWG3pQARXMxR3V_V10I,"Bom Jesus do Amparo, MG",lojas_presentes,2025-07-28T17:32:09.187140,COMPLETA
4,Rede Minas Móveis Bom Jesus do Amparo,ChIJfYSrqJC3pQARnYZIJ5m-4M8,0xa5b790a8ab847d:0xcfe0be992748869d,14979181925632607901,/g/11n5r_gkf_,5,1,Loja de móveis,Loja de móveis,furniture_store,"R. Ten. Antônio Manoel da Fonseca, 293, Bom Jesus do Amparo - MG, 35908-000, Brasil",-19.7050225,-43.4749261,+55 31 3833-1292,,Aberto ⋅ Fecha às 19:00,Aberto ⋅ Fecha às 19:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noV92jl7At829bDQctegeyLV6xMM3tFmMWKsoWDJ3seUmN7h3Vl2HbiUuQpjkn7IsguSN37VGFdgq0XC-cg0T2XPb3PPN1D2G-00zi55datSQErxvSIh6GTvgYYq_OYye8TZXBrbw=w80-h92-k-no-pi-0-ya180-ro0-fo100,https://serpapi.com/images/url/XbBQgXicDchBcoIwFADQE30JSRXoTBdWFG0LhQERuulIjAkKCZKg0ps6vUz7lu_xK4zp9LNlNYJMuFK8YYNmPVXSMGkmVLUW7zRQDdqaLzzxJFXu4VPjzI2LvcpPqGGcjR_57B6GxKzacPeu1c5_I5pt28gRJG_wuqq3Q9KdztLZaD6kEXHyYHXgF1QsgHKU4SKuSBxHto8DQOinnk4Pe5Mmy_5-TTdiFmRXXpaX789yZG72Vbz21e3l5iIQHoYzSAVdDQjGvf1_vUJwVDZCf7YBSjE,https://serpapi.com/search.json?data_id=0xa5b790a8ab847d%3A0xcfe0be992748869d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5b790a8ab847d%3A0xcfe0be992748869d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJfYSrqJC3pQARnYZIJ5m-4M8,"Bom Jesus do Amparo, MG",lojas_presentes,2025-07-28T17:32:09.187140,COMPLETA
5,Sacolão Bom Jesus,ChIJk9-TMUa3pQARNaoAPE8M-7w,0xa5b7463193df93:0xbcfb0c4f3c00aa35,13617491432733452853,/g/11mpdfw8_v,5,3,Sacolão,Sacolão,fresh_food_market,"Pr. Cardeal Motta, 282 - Centro, Bom Jesus do Amparo - MG, 35908-000, Brasil",-19.7051361,-43.4752138,+55 31 3833-1454,,Aberto ⋅ Fecha às 19:00,Aberto ⋅ Fecha às 19:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: 08:00–12:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PxZqIvV0ZAF2in96AWD0RQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=135.06464&pitch=0&thumbfov=100,https://serpapi.com/images/url/5qzhanicHc1RCsIgGADg2_iWurVGCyQGEfRWPRTsJZwz_cGpTdN1m67VbYou8H2ft47Rhw0hIU5SxgQye5ilCQvPsXJOGck9BCzcSFJBon6OveVgtp5bBwM7zt3jkC60a_cl2KZurzt6PiHR34QBaSMLkk9CY5V_4uQGrHxAma0p0qwp0YtnVixXmNZVXSEPUWhG0X-5u8QKSr9IJzjl,https://serpapi.com/search.json?data_id=0xa5b7463193df93%3A0xbcfb0c4f3c00aa35&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5b7463193df93%3A0xbcfb0c4f3c00aa35&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJk9-TMUa3pQARNaoAPE8M-7w,"Bom Jesus do Amparo, MG",lojas_presentes,2025-07-28T17:32:09.187140,COMPLETA
6,Loja do Paixão,ChIJX16NVwC3pQAR6i-xv9nhDMo,0xa5b700578d5e5f:0xca0ce1d9bfb12fea,14559260020722184170,/g/11w9c_mrzr,1,1,Loja de tecidos,Loja de tecidos,fabric_store,"R. Cel. João da Mota Ribeiro, 31, Bom Jesus do Amparo - MG, 35908-000, Brasil",-19.7069564,-43.476305499999995,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sJpFKl8ymGyQsmf3iZkvSA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=268.73935&pitch=0&thumbfov=100,https://serpapi.com/images/url/8hGuWnicHc3BDcIgFADQbbgJtI3amhDjRRM9GW9eDKUIP0Ih_Qh2G9dyG40LvPd525QibhjDNGmdMugS4aUdLqKkJgTjtIyAVAXPcsWSffp-lOC2UY4BBoHHuD-5dvaH-Yz-3sD1kS87ovqbcqDHJFDLSVlqyk-cwkBNRFJEy4kVXU1mWUS9aum66ZoliZCUFZz8l3vIouL8C6m0Oh0,https://serpapi.com/search.json?data_id=0xa5b700578d5e5f%3A0xca0ce1d9bfb12fea&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5b700578d5e5f%3A0xca0ce1d9bfb12fea&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJX16NVwC3pQAR6i-xv9nhDMo,"Bom Jesus do Amparo, MG",lojas_presentes,2025-07-28T17:32:09.187140,COMPLETA
7,Supermercado Tio Antonio,ChIJqbmHV9K3pQAR9n25IHgMZvo,0xa5b7d25787b9a9:0xfa660c7820b97df6,18043122667191107062,/g/11g69xlsp8,4.6,545,Supermercado,Supermercado,supermarket,"R. Pref. Geraldo Pessoa, 100, Bom Jesus do Amparo - MG, 35908-000, Brasil",-19.70983,-43.4759179,+55 31 3833-1181,,Aberto ⋅ Fecha às 19:00,Aberto ⋅ Fecha às 19:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: 08:30–12:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega sem contato, Entrega",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noivenTXhJquTrXEtK5wEMEl3lc7U3Bw2HN8XP4KISP6yHciNn3U-wOqs6qArmpoWnMHz55IIttY8F7_XciIQym-AA5GHgH9BGHOHuUqeuNR8cbMYdDezVYfngLaqrKyfJbVrSHig=w204-h92-k-no,https://serpapi.com/images/url/00rR13icBcHbEoFAAADQL1qZLpQZDyE2KZGoJ8Nau43abS9p8oO-wd845_elWrdqZhg1tUaEc1LjTmGJONOY6RHijUFaBZACyvCXHrUZr96YnQq6Fd1JFoGOnD6Ig9qq0TS3Fr0JE7dI7SjM0skAUZUwKwf9XqiJ8GXT8guL4cdxwlDr0l1PrwWqwsPQAN93NpBAb7GBe9jlAnfJ0UX3uHys8OdcPhnZ3YSMhuf2fpYZrMi8N8c2oJ4JXoDxP2y_Rbg,https://serpapi.com/search.json?data_id=0xa5b7d25787b9a9%3A0xfa660c7820b97df6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5b7d25787b9a9%3A0xfa660c7820b97df6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJqbmHV9K3pQAR9n25IHgMZvo,"Bom Jesus do Amparo, MG",lojas_presentes,2025-07-28T17:32:09.187140,COMPLETA
8,Centro Histórico de Bom Jesus do Amparo,ChIJnfgUPwC3pQAR6eeMU8OEf_k,0xa5b7003f14f89d:0xf97f84c3538ce7e9,17978234211941541865,/g/11y4lck4kx,3.5,2,Atração turística,Atração turística,tourist_attraction,"R. do Amor Divino Teixeira, Bom Jesus do Amparo - MG, 35908-000, Brasil",-19.7045416,-43.475168499999995,,,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas,,,,,,,"""Cidade muito pequena,bom para quem quer trabquilidade""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqlnZTCtI710jSyHQVH7EYa3Rx7Rx0qngM_zEr7YFy5DGUrJBIgTkKPua6Xpc38IKnrfcpYtm6L7aaO-wdYUClPK15Txv6sxRAEkAjpSR40JHp77Ob5PlwKzGWGUldxuxDqYJRt=w92-h92-k-no,https://serpapi.com/images/url/3prWHXicDcNdboIwAADgE1VwCJ1L9oDI-JuRVVDri2GVlUhtCy2jej4v4W30S77HvdFaqg_LYo0zoUJQVg-q7onguuZ6QsTFolIBooCy_GDezHjH-KEIdAKn9nlzjX-2MQxx5SADkbE7TlfHW9hD_HV1l1HZp4uEFm2WD5W3l8R5TzLe_xGJ9cX7hlW1BuMJlwHLs6lbmH9PGeSHrX-WGzSz01hCuP51czZmt2gXlexkBrPscIr05zh_A81rC7h4Am-xRGQ,https://serpapi.com/search.json?data_id=0xa5b7003f14f89d%3A0xf97f84c3538ce7e9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5b7003f14f89d%3A0xf97f84c3538ce7e9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJnfgUPwC3pQAR6eeMU8OEf_k,"Bom Jesus do Amparo, MG",lojas_presentes,2025-07-28T17:32:09.187140,COMPLETA
9,Depósito Bom Jesus,ChIJe4FXwsS3pQARWkDD9ngrPZQ,0xa5b7c4c257817b:0x943d2b78f6c3405a,10681741689728745562,/g/11f760fpg6,4.3,55,Depósito,"Depósito, Loja de materiais de construção",storage_facility,"Rua Vereador Nhonho Bicalho, R. Pref. Geraldo Pessoa, n°25 - Bairro, Bom Jesus do Amparo - MG, 35908-000, Brasil",-19.7104823,-43.4769455,+55 31 3833-1548,https://wa.me/%3C5531988081548%3E,Fecha em breve ⋅ 17:30 ⋅ Abre ter. às 07:00,Fecha em breve ⋅ 17:30 ⋅ Abre ter. às 07:00,segunda-feira: 07:00–17:30; terça-feira: 07:00–17:30; quarta-feira: 07:00–17:30; quinta-feira: 07:00–17:30; sexta-feira: 07:00–17:30; sábado: 07:00–12:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Atendimento maravilhoso, realizado por vendedoras muito especiais!""",https://lh3.googleusercontent.com/p/AF1QipNidXh-TXnh3tKCR2oKIVWhIgBn1jIjgxXB14qP=w122-h92-k-no,https://serpapi.com/images/url/9dNDf3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl5kSkaEbEpGXYVzi7RxklO_tGRae4ZnulGeY5ZmVXhHhZGhSGGBbbmhkpJthaaSbrZuXDwCneSEf,https://serpapi.com/search.json?data_id=0xa5b7c4c257817b%3A0x943d2b78f6c3405a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5b7c4c257817b%3A0x943d2b78f6c3405a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJe4FXwsS3pQARWkDD9ngrPZQ,"Bom Jesus do Amparo, MG",lojas_presentes,2025-07-28T17:32:09.188139,COMPLETA
10,VOLPE ROUPAS E PRESENTES,ChIJkZ1FNdC3pQARsNeRvLpoKrw,0xa5b7d035459d91:0xbc2a68babc91d7b0,13558764779389179824,/g/11wx4v2jsk,,0,Loja de Roupa,Loja de Roupa,clothing_store,"R. Alferes P Farias, Bom Jesus do Amparo - MG, 35908-000, Brasil",-19.7053716,-43.475266399999995,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0u1Au-S9RG8DYlaMszkLfQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=231.7829&pitch=0&thumbfov=100,https://serpapi.com/images/url/wtxF-XicHc09DsIgGADQ27CVnzrYmhBj0sRFB3VyMl8pBSItpHwt6mU8l7fReIH3Pm-LGNOGsYST1rg4naN7aJ-KCNSEYLyG6BJVYWCLYGjnoR3B-W2EMbhO8lns5uJSn_dVc_VwTK_7oT8R1d6Ud3pEmTRMylKTf-IUOmpiIllWnFhZl-QJWZYrQddVWZPoUFnJyT_pwyIF518fzTj_,https://serpapi.com/search.json?data_id=0xa5b7d035459d91%3A0xbc2a68babc91d7b0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5b7d035459d91%3A0xbc2a68babc91d7b0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkZ1FNdC3pQARsNeRvLpoKrw,"Bom Jesus do Amparo, MG",lojas_presentes,2025-07-28T17:32:09.188139,COMPLETA
