position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,GDGpersonalizadosepresentes,ChIJs3Xoj5nJpgARpOniaTdfSjE,0xa6c9998fe875b3:0x314a5f3769e2e9a4,3551755947739376036,/g/11x2hk0rmz,5,13,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. do Cruzeiro - Brumadinho, MG, 32486-054, Brasil",-20.1242746,-44.162607699999995,+55 31 97139-2442,,,,,,,,"Cartão de crédito, Cartão de débito",,,"""Atendimento maravilhoso e produtos perfeitos""",https://lh3.googleusercontent.com/p/AF1QipMH14DSHKmCXOtBVGc1yW9pozihwlsFUTRZyk9d=w103-h92-k-no,https://serpapi.com/images/url/lXMMvXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng62Fo4hLs4Z3rHOFf4hTmnmxYGW5ZkF-VmVGeU-wWGhIUVZltmWJbbmhgrJthaaSbrZuXDwCjJiF9,https://serpapi.com/search.json?data_id=0xa6c9998fe875b3%3A0x314a5f3769e2e9a4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6c9998fe875b3%3A0x314a5f3769e2e9a4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJs3Xoj5nJpgARpOniaTdfSjE,"Brumadinho, MG",lojas_presentes,2025-07-28T17:36:02.610580,COMPLETA
2,"Angel - Informática, Papelaria e Presentes",ChIJib271T7KpgARGYl2U55N9Ek,0xa6ca3ed5bbbd89:0x49f44d9e53768919,5328969601486588185,/g/1tfb7t2k,4.5,14,Serviço de informática,"Serviço de informática, Papelaria",computer_service,"Praça da Bandeira, 118, Centro, Brumadinho - MG, 35460-000, Brasil",-20.1420531,-44.201363199999996,+55 31 3571-3053,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,,,,"""Atendimento dos donos muito bom, o preço também é atraente.""",https://lh3.googleusercontent.com/p/AF1QipOWTb6chO4fOjtS6eKRAHRooCivL43bDR8gogaf=w163-h92-k-no,https://serpapi.com/images/url/Hi_awnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngHx6SZJac4W-S5p9VEmyW6h3k6BGUn--cWeZjYpzkEmSRnp-emGZbbmhmrJthaaSbrZuXDwCl9yE8,https://serpapi.com/search.json?data_id=0xa6ca3ed5bbbd89%3A0x49f44d9e53768919&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6ca3ed5bbbd89%3A0x49f44d9e53768919&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJib271T7KpgARGYl2U55N9Ek,"Brumadinho, MG",lojas_presentes,2025-07-28T17:36:02.610580,COMPLETA
3,Loja Do Tuka,ChIJW_7heJLNpgARZ4SHnB3EYDk,0xa6cd9278e1fe5b:0x3960c41d9c878467,4134520089385337959,/g/11ll48j46v,4.9,125,Loja de celulares,"Loja de celulares, Oficina de reparos de celulares",cell_phone_store,"Av. Vigilato Rodrigues Braga, 273 - Centro, Brumadinho - MG, 35460-000, Brasil",-20.1441801,-44.2014109,+55 31 97185-6862,https://www.instagram.com/invites/contact/?igsh=pr6ohajdhw96&utm_content=vpmbpfl,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipOdMrpkT6O9Rkctj1MVqXYTyuO1bgDPl5UovqUs=w163-h92-k-no,https://serpapi.com/images/url/AbFJhnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn-JbVJAdYuZvGZSdXJJl6BtWGBEZUlnqb5iU7hKQYxqaX1YYWmxbbmhmrJthaaSbrZuXDwC-xyIC,https://serpapi.com/search.json?data_id=0xa6cd9278e1fe5b%3A0x3960c41d9c878467&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6cd9278e1fe5b%3A0x3960c41d9c878467&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJW_7heJLNpgARZ4SHnB3EYDk,"Brumadinho, MG",lojas_presentes,2025-07-28T17:36:02.610580,COMPLETA
4,Ponto MIx Papelaria,ChIJl0SOSizNpgARdwUeXhrviHI,0xa6cd2c4a8e4497:0x7288ef1a5e1e0577,8253109213683647863,/g/11vyyl49md,5,1,Papelaria,Papelaria,stationery_store,"Av. Vigilato Rodrigues Braga, N° 270 - Ipiranga, Brumadinho - MG, 35460-000, Brasil",-20.1440756,-44.2017722,+55 31 99633-4502,https://www.instagram.com/ponto_mix_papelaria_/,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noHDtrS5mmCRV-01-ac9ZGrR7gM5Aw7B4TsAE4M4yVn9QxCJLNAM_pVeJYeflRRdwd0iDmdryNv9HP3tB0cklNwMjt5aa47vzEZxGUdUsW40d2NHzyNVKz4oHAG8k-UJLhIA1Qj84zD6AD7=w122-h92-k-no,https://serpapi.com/images/url/qqRhTXicBcFdboIwAADgE5U_y7BL9lCBgCiNorDMl4W0HZ1AS2gV4Y4ewNv4fa-nMGbQn7bdiZXVKNV0_Kb5SJU0XBqLqt5uBg2oBtrGIRJQqjQy48nv-7CogOOCmqJLMhZBk_t4CjbwrHEMczhXEh0fYbYnOP8dKp798L-uKNjEnP-oZ-NM7ig9rMzGoW1Hpvxq_LqGwX2JL4-kZKX-hg7zSLrMpNotUKU4WbegzPZii93jdQ2X6ANHwdfkeh4QyAMtkOoNezRFYg,https://serpapi.com/search.json?data_id=0xa6cd2c4a8e4497%3A0x7288ef1a5e1e0577&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6cd2c4a8e4497%3A0x7288ef1a5e1e0577&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJl0SOSizNpgARdwUeXhrviHI,"Brumadinho, MG",lojas_presentes,2025-07-28T17:36:02.610580,COMPLETA
5,Ponto E Virgula Papelaria,ChIJBaOU6DDMpgARozir5Y1lI08,0xa6cc30e894a305:0x4f23658de5ab38a3,5702513213299177635,/g/11c6q5f0zd,4,14,Papelaria,Papelaria,stationery_store,"R. Quintino Bocaiúva, 239 - Centro, Brumadinho - MG, 35460-000, Brasil",-20.1417391,-44.202204099999996,+55 35712138,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–16:00; terça-feira: 09:00–16:00; quarta-feira: 09:00–16:00; quinta-feira: 09:00–16:00; sexta-feira: 09:00–16:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqB54JQMq_G_O9HovT41UqOK51vQSoPaiQ14woLIu2fgV_-eAZq5r8qpJ6AR9sdLmJTJH8hetC50WBOq_9srm0lg84oMebXusUdvVmRIZPONpDTOhBswVreZlacAsmAc2YZUsmH=w80-h106-k-no,https://serpapi.com/images/url/IEwKdXicBcHRToMwFADQL-qAWQiY-FAwkeFmxwSmvBDsamukXMot8IV-hH-zc_7_tHMTPnreoB92CkANckE5CxidHN1OgPHUhEQgQY9liaajTUNalCfbvXQ8yWGtaFBb_hoGa_kO5_6nDOgGx8Oy_1ZNRyRrbTjHdioidknwdjRFVeSxli4L_WvKbZfgbPxBxRRO8utjwfq2NuZyaM_8bXquuE5xa2bZDr1gaJjYf7Y1mvxpi32iAz8iv2SEO343RIc,https://serpapi.com/search.json?data_id=0xa6cc30e894a305%3A0x4f23658de5ab38a3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6cc30e894a305%3A0x4f23658de5ab38a3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBaOU6DDMpgARozir5Y1lI08,"Brumadinho, MG",lojas_presentes,2025-07-28T17:36:02.610580,COMPLETA
6,"""N Coisas"" Papelaria Criativa",ChIJM4MbV7bNpgAR65v3FsgkCec,0xa6cdb6571b8333:0xe70924c816f79beb,16647877939349134315,/g/11r_vbsg7d,4.5,2,Loja de artigos para festas,Loja de artigos para festas,party_store,"R. Conceição Aparecida Oliveira Figueiredo, 36 - 2° andar - Ipiranga, Brumadinho - MG, 35460-000, Brasil",-20.1438073,-44.203975799999995,,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–17:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqRq-dgvk2kKeYwgb488ubsr0E-eA_UrW4HGGd18Mn-oOu7VkLOkp3ForE4P_GOMCO0v7q63Imy48BYjm6jhB4dnUzDAtL1rAsta797po-I2q6idg7KntkOyhpJB9qdtJNwyR9a=w92-h92-k-no,https://serpapi.com/images/url/4ZyOnnicDcPbCoIwAADQL1qWDueCHrSL3RdBRU9Rbmy13N3Evq-f6G_qwPl-RAjGD6PoKZIe15o_WeOZq7QKTIVepeuIGw8qD3yUj7GAyu4toPwlY7li55bfYJY1N-_6U8Dyy8Gd4Lws6SDbKKBJg45yTaRJZtpN4e5Sks2Y9F_Ipsmi7mBWnB91-hAFpOrwnuRhPXC5D1eEkdFgEdv0TjlaqSBJJ8yywJaG5bbt9vg6anEMxL8ESv8ASV1D0g,https://serpapi.com/search.json?data_id=0xa6cdb6571b8333%3A0xe70924c816f79beb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6cdb6571b8333%3A0xe70924c816f79beb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJM4MbV7bNpgAR65v3FsgkCec,"Brumadinho, MG",lojas_presentes,2025-07-28T17:36:02.610580,COMPLETA
7,ByThaina Brumadinho,ChIJt1Qb-_7NpgAR7i3QN7irGiQ,0xa6cdfefb1b54b7:0x241aabb837d02dee,2601580542458605038,/g/11fww4dwgj,5,203,Loja de Roupa,"Loja de Roupa, Loja de moda feminina",clothing_store,"R. Pres. Vargas, 349 - Centro, Brumadinho - MG, 35460-000, Brasil",-20.1445536,-44.201068199999995,+55 31 99811-1760,https://bythaina.com.br/,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNw7psPhx82AOblSyPBV4RSwxh1geqfc4ng9_kc=w122-h92-k-no,https://serpapi.com/images/url/EzIDI3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngV25eUByQUWFh5OiflBNcGeAUZhIUXF6RYZieWpiWbJKXbhmfnWxbbmhkpJthaaSbrZuXDwC6wSHY,https://serpapi.com/search.json?data_id=0xa6cdfefb1b54b7%3A0x241aabb837d02dee&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6cdfefb1b54b7%3A0x241aabb837d02dee&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJt1Qb-_7NpgAR7i3QN7irGiQ,"Brumadinho, MG",lojas_presentes,2025-07-28T17:36:02.610580,COMPLETA
8,Amorim Magazine e Serviços Ltda,ChIJdYnHvDDMpgARSk2LO5gySfM,0xa6cc30bcc78975:0xf34932983b8b4d4a,17530598653931769162,/g/1tkc3bm8,4.6,7,Papelaria,"Papelaria, Loja de tecidos",stationery_store,"R. Pres. Vargas, 123 - Centro, Brumadinho - MG, 35460-000, Brasil",-20.1423739,-44.2010583,+55 31 3571-1612,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=siT3GQ3YbWT0_iukSeDcnQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=87.90069&pitch=0&thumbfov=100,https://serpapi.com/images/url/ZS189HicHc1BCsIwEEDR22RnMrWgVghuBNfFgrgqaTomg2kSmrTV03gub2Nx91fvfz8255iOQqQ8IuaZcIn0Qpc2UXETgnGoIiWuwyDmQmQ7DZ1X5E5R-UC9TNSUl7q8d7cGWpqeVzxrXzPdtdoR-iwTqlFbbpZVHEPPTUxskQdgVlZb9lZr73kFsKtYpKytBPafPMIsC4AfRMA5aA,https://serpapi.com/search.json?data_id=0xa6cc30bcc78975%3A0xf34932983b8b4d4a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6cc30bcc78975%3A0xf34932983b8b4d4a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJdYnHvDDMpgARSk2LO5gySfM,"Brumadinho, MG",lojas_presentes,2025-07-28T17:36:02.610580,COMPLETA
9,Mano a Mano Store,ChIJi-44wqXNpgARGfLyOpcQBxw,0xa6cda5c238ee8b:0x1c0710973af2f219,2019601199614063129,/g/11scf1k6gn,5,17,Loja de Roupa,"Loja de Roupa, Loja de moda masculina",clothing_store,"R. Pres. Vargas, 285 - Centro, Brumadinho - MG, 35460-000, Brasil",-20.1439466,-44.2010777,+55 31 99331-8816,https://www.instagram.com/manoamano_brum,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMoy2HYlii4ZHyhQNTeryPPVWJmfANwNtXKZJeg=w80-h94-k-no,https://serpapi.com/images/url/odiGYHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm19p5BGZk5lpEuVRmRHoF5JaVBkQEBbulZvm6FfuVxLhHeWVmm5bbmGgm2Fpoputm5cPAKCCIdA,https://serpapi.com/search.json?data_id=0xa6cda5c238ee8b%3A0x1c0710973af2f219&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6cda5c238ee8b%3A0x1c0710973af2f219&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJi-44wqXNpgARGfLyOpcQBxw,"Brumadinho, MG",lojas_presentes,2025-07-28T17:36:02.610580,COMPLETA
10,Magazine Luiza,ChIJ3aJfczfMpgARYVdV1Kn66ZY,0xa6cc37735fa2dd:0x96e9faa9d4555761,10874498382581552993,/g/11hbq9_p1k,4.2,228,Loja de departamento,Loja de departamento,department_store,"Av. Vigilato Rodrigues, R. Aristóteles de S Braga, 140 - Centro, Brumadinho - MG, 35460-000, Brasil",-20.144864,-44.201692,+55 31 92008-0851,https://lojas.magazineluiza.com.br/buscar-filiais?utm_source=google&utm_medium=maps&utm_campaign=gbp,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado,,,"Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipODZ3ZnD6oaj0wley3D2eyPKFkZYzVDeaQ3ahlJ=w122-h92-k-no,https://serpapi.com/images/url/O9KN9XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng7xJlHJXnYpafmGVQnpNaaexilFoZ4O2WHRVZFeaSmhhonJiR42VbbmhkpJthaaSbrZuXDwCqoiFn,https://serpapi.com/search.json?data_id=0xa6cc37735fa2dd%3A0x96e9faa9d4555761&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6cc37735fa2dd%3A0x96e9faa9d4555761&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ3aJfczfMpgARYVdV1Kn66ZY,"Brumadinho, MG",lojas_presentes,2025-07-28T17:36:02.610580,COMPLETA
