position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Casa das Tecelãs de Brumal,ChIJfXHoaNNHpAARkej6EQ4acYM,0xa447d368e8717d:0x83711a0e11fae891,9471380139070384273,/g/11hz31jtvy,4.7,111,Loja,Loja,store,"R. Cleves De Faria, 1264 - Brumal, Santa Bárbara - MG, 35960-000, Brasil",-19.9885973,-43.455544599999996,+55 31 3570-4440,http://tecelasdebrumal.com.br/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:00; terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: 08:00–17:00; domingo: 08:00–17:00,,,,"Cartão de crédito, Cartão de débito",,,"""As peças são vendidas no local e elas também fazem por encomenda.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrXIeFL1rt12gkpPiDwufkfHHt0nwgey2PXD-BiSFdfMqtNfVk0UORax-KxXtqoiXkEhvumPwWiV47C5dJZJMlV-M8Zq8Tdad2T9C2DtqmQnc5C-ybPLH1IhAn2ee6coZCPXyFt=w163-h92-k-no,https://serpapi.com/images/url/zdeWYXicBcFbUoMwFADQFd1S0ofFGT9qKENr0agVM_y1ISRMIAFykbJAF-FuPOfvVyN2_jEIGr1aKOdUI0cvB-EsSosL4dpAdR6EBx_saaTXduBHmZzDAUOiTMfqeBorU6UpLu2k5EwYj-G5_kzKKuvxtcrN8uvt43qHlzvH3tXcHPTP2LLpu87XD3RTnopT1uSQ7Yp-dymvJblElMTYt-9WbCjMN3ZOw6PeWyLlVriCMj4n-DSF2xXoiIAB6_4BJVlFBQ,https://serpapi.com/search.json?data_id=0xa447d368e8717d%3A0x83711a0e11fae891&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa447d368e8717d%3A0x83711a0e11fae891&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJfXHoaNNHpAARkej6EQ4acYM,"Brumal, MG",lojas_presentes,2025-07-28T17:39:05.523797,COMPLETA
2,Casa Naturalis,ChIJa5a0BTxHpAARM1oLxtCrwvw,0xa4473c05b4966b:0xfcc2abd0c60b5a33,18213308756203887155,/g/11mpsftd_8,4.7,212,Bistrô,"Bistrô, Área de camping",bistro,"R. Cleves De Faria, 185 - Brumal, Santa Bárbara - MG, 35960-000, Brasil",-19.993031,-43.457351599999996,+55 31 99934-9733,https://instagram.com/casanaturalis.brumal?utm_medium=copy_link,,,,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC","Mesas externas, Para viagem, Refeição no local",,,https://lh3.googleusercontent.com/p/AF1QipOrJpiAXQm4D3f_9FwKIPI7kpRPkF8AMC1WzV68=w80-h120-k-no,https://serpapi.com/images/url/q7ur_nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX-RVkOkYEZhr4mKcFm_pVu7tGeBpnl0QFJDtZuHo62wYXhVmZmFbbmGgm2FoZKCbrZuXDwCXNyB0,https://serpapi.com/search.json?data_id=0xa4473c05b4966b%3A0xfcc2abd0c60b5a33&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4473c05b4966b%3A0xfcc2abd0c60b5a33&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJa5a0BTxHpAARM1oLxtCrwvw,"Brumal, MG",lojas_presentes,2025-07-28T17:39:05.523797,COMPLETA
3,Brumal Junino,ChIJV13-ZtpHpAAR9sgN0-R-9OY,0xa447da66fe5d57:0xe6f47ee4d30dc8f6,16642066044299364598,/g/11c0vp3bj5,4.4,76,Bar,Bar,bar,"R. da Praia, 231-363 - Brumal, Santa Bárbara - MG, 35960-000, Brasil",-19.990061999999998,-43.4558399,,,Aberto ⋅ Fecha às 19:30,Aberto ⋅ Fecha às 19:30,segunda-feira: 15:00–19:30; terça-feira: 11:00–23:00; quarta-feira: 11:00–23:00; quinta-feira: 11:00–23:00; sexta-feira: 11:00–23:00; sábado: 11:00–23:00; domingo: 09:00–22:00,$$,,,"Cartão de crédito, Cartão de débito","Mesas externas, Refeição no local",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqsdoBT3nKu4wQc14EvLLbXQq-tTIpB8t3Qx8PNWrZbNSD4Q0XqnSoMMMYrFJAtWd2PbWM0b7FGHc3w0rC5yl37yWIHDFq0S20oWtM9BLM22k6iL6ygSqiSBQiXT0-XcWYe1QY=w122-h92-k-no,https://serpapi.com/images/url/kILc-HicBcFtDoIgAADQE5EIVNrWj6zsS1oMN7SfklOXgQhm3q9LdJve-31r5zq78ry2xrNK66otB1v2UitXKjeT-uVVnQXSAutttmFNlLEPHaVYXQYyMumT_TtJiowZ4NJTFwUOs09wu4r-Xlz5jjCYGcU1pTTv4_PGiQe6FYLCYhkfjhKPsN_OpxYvJ3E67mIDOYJaOBpGCUXouWiSxVRx0_CINVkKQSZFXvosX48-QqAOEXgCpf8UQUIw,https://serpapi.com/search.json?data_id=0xa447da66fe5d57%3A0xe6f47ee4d30dc8f6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa447da66fe5d57%3A0xe6f47ee4d30dc8f6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJV13-ZtpHpAAR9sgN0-R-9OY,"Brumal, MG",lojas_presentes,2025-07-28T17:39:05.523797,COMPLETA
4,Padaria Brumal,ChIJI41pyVlJpAARquokBgPtxRQ,0xa44959c9698d23:0x14c5ed030624eaaa,1496863048414325418,/g/11t59rphbs,4.9,68,Padaria,"Padaria, Confeitaria",bakery,"Estr. do Caraça - Brumal, Santa Bárbara - MG, 35960-000, Brasil",-19.985020799999997,-43.4528204,+55 31 97134-0373,https://bit.ly/padariabrumal,Fecha em breve ⋅ 18:30 ⋅ Abre ter. às 06:00,Fecha em breve ⋅ 18:30 ⋅ Abre ter. às 06:00,segunda-feira: 06:00–18:30; terça-feira: 06:00–18:30; quarta-feira: 06:00–18:30; quinta-feira: 06:00–18:30; sexta-feira: 06:00–18:30; sábado: 07:00–14:30; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Refeição no local,,,https://lh3.googleusercontent.com/p/AF1QipP5l6WM5n0njL5hP8nWoTqbfrmXlK6g55S5o5Bh=w80-h142-k-no,https://serpapi.com/images/url/Y50SUXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYJpjFu5rmmeQl-VjmhFgkReeH1KYlFaUG5HjbZZuahpsmm_qlGFbbmGgm2FoYqSbrZuXDwCeECDp,https://serpapi.com/search.json?data_id=0xa44959c9698d23%3A0x14c5ed030624eaaa&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa44959c9698d23%3A0x14c5ed030624eaaa&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJI41pyVlJpAARquokBgPtxRQ,"Brumal, MG",lojas_presentes,2025-07-28T17:39:05.523797,COMPLETA
5,Distak Presentes,ChIJc-Z1MSpJpAAR_nhSpX2OUw4,0xa4492a3175e673:0xe538e7da55278fe,1032325409893677310,/g/1ptxvmcjq,4.5,11,Loja de Brinquedos,"Loja de Brinquedos, Loja de Presentes",toy_store,"Rua João Mota, 303 - Centro, Santa Bárbara - MG, 35960-000, Brasil",-19.9583461,-43.4130269,+55 31 3832-2051,https://www.distakpresentes.com/,Fecha em breve ⋅ 18:30 ⋅ Abre ter. às 08:30,Fecha em breve ⋅ 18:30 ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:30; terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMsspBmrWfZPeVyvUbTVdrgjlMTBFZRekwVi6aj=w248-h92-k-no,https://serpapi.com/images/url/eoky-XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW1xc4JRbFJ4WFZAaVlkWmhQSllKUnpXjG-LkFhWUml0elmmWmGVbbmRioZthaaSbrZuXDwDb9iKl,https://serpapi.com/search.json?data_id=0xa4492a3175e673%3A0xe538e7da55278fe&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4492a3175e673%3A0xe538e7da55278fe&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJc-Z1MSpJpAAR_nhSpX2OUw4,"Brumal, MG",lojas_presentes,2025-07-28T17:39:05.523797,COMPLETA
6,Senhora da Serra,ChIJ973_QdpHpAAROA3RJIJOBM4,0xa447da41ffbdf7:0xce044e8224d10d38,14845076592590392632,/g/11f1461fm8,5,3,Loja de roupas de designer,Loja de roupas de designer,designer_clothing_store,"R. da Praia - Brumal, Santa Bárbara - MG, 35960-000, Brasil",-19.989983499999997,-43.4561904,+55 31 97175-1806,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,Cartão de crédito,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrk7Q-Y27RZUMf-CDGub4nRFiKnkXuUZLZ_BR5Zy7pTkwmkUuVMvsZ1VzZZaT1O4xnwMMqReyc62K8pPuseDs4XvuaUdBPR7kIadgGp-Q2p11N80PsSgk5Hz5U5vKz1jiyAj0EP=w80-h106-k-no,https://serpapi.com/images/url/paQoy3icDc3tFoEwAADQJ5paSnGOHypfJ5Exh_1xkizGNtZKvZ-H8DbcF7jfT1GWUg0M4150O1QIes-1yl-Z4GXOy04mHgaVCmQKKGMU9Aubv5i7BgfLRQTHFxCEU32yOZpcI872GpMFOfrIIY0rt6x-MKx3caUI3LWEpFu4st-8juMnypusZ0WeTP5bqOx9pVN89hPksnl6plMJ1paEcOmZidpQ5sxaBztV1MLbtRndzHEyrD0TFNDsAQa4-AHQLERr,https://serpapi.com/search.json?data_id=0xa447da41ffbdf7%3A0xce044e8224d10d38&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa447da41ffbdf7%3A0xce044e8224d10d38&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ973_QdpHpAAROA3RJIJOBM4,"Brumal, MG",lojas_presentes,2025-07-28T17:39:05.523797,COMPLETA
7,Projeto Brumal Costura e Arte,ChIJsbCsX9pHpAARQUmGZ-hnynw,0xa447da5facb0b1:0x7cca67e867864941,8992113853865544001,/g/11hbnbt9y3,5,3,Escritório da empresa,Escritório da empresa,corporate_office,"Praça Santo Amaro, 128 - Brumal, Santa Bárbara - MG, 35966-000, Brasil",-19.9899022,-43.4561808,+55 31 97175-1806,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:00; terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: Fechado; domingo: Fechado,,,,,,,"""Brumal famosa Cavalhada""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noLcZ0ZGrrU_oYHCzAc7C0IdA7hJHBxH9ArG30eTMBs2ARu7nyaYGoPOByLo1LNkTp_lJGzmReyj8NpE-AaUafRNLICc0aNQkw9CpLMttGqnr1PM93FbDlATzBpQ1dKXRcDXbMWpw=w80-h142-k-no,https://serpapi.com/images/url/ZWNyMHicBcFRboIwGADgE1WKmCBLfCh1Fl1BJZipLwZrpRnYv2trEC7oGXabfd_fW3lv3EcQdCqaNABNJ59OWgHaS-0nAh5BYxwSDrmA0ETNNHBxxmdm7eECp4yORMQUr28kVpssfWUJsSzCsspTNyXlM9ZDfWKw26YDh5AXbWUu3YaNj1IOP_PCfCJSH-p7WfA1Fbgu9m2fUMNz79mvtuEuT6LVddmRakzNPrx9HUuxPF7zb9Mv-jlGKpxNUYs0_AMMn0SV,https://serpapi.com/search.json?data_id=0xa447da5facb0b1%3A0x7cca67e867864941&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa447da5facb0b1%3A0x7cca67e867864941&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJsbCsX9pHpAARQUmGZ-hnynw,"Brumal, MG",lojas_presentes,2025-07-28T17:39:05.523797,COMPLETA
8,Brumal,ChIJWarKWpVHpAARmdwUDnZsQd8,0xa447955acaaa59:0xdf416c760e14dc99,16087258598242311321,/g/11v0xmyf4m,4.7,3,Atração turística,Atração turística,tourist_attraction,"R. Cleves De Faria, 1423 - Brumal, Santa Bárbara - MG, 35960-000, Brasil",-19.990036399999997,-43.4556098,,,,,,,,,,,,"""Distrito maravilhoso""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrkXy9gZrimc_gfT_CQIx2Ov9vT1hCTwfgzmkgo3XgQiHTNo3ePytrNs_iuXsZAkKsc_xJ6tiMpO9nWxGA7oVAVGXB6Nxvan2uOTC1hvlSqI1cvMfy6VNsVa90-l7T_i_fhXjg=w80-h106-k-no,https://serpapi.com/images/url/RNd3snicBcHRboIwFADQL6qALLia-IA8OLcIMzbY8NKYBm47oGXcUsHv8yf8G895PZVzA26DoFPxCqyFrp6wHqU1rjZuJW0fwIBEIsEgzaj6MGPLFwrVqHspoGEiOx_ndeGpZ5HK2L2BR9-CjTmc9RfLbVz_Lm7MUeiJY5W2PyjF_J04fRoKaq7zId3YMi0PfJ_ks7-Z9VSwLFK-u_wfI-lPzZKUOZY3GpJuw4QWjeJ_sLt_hkRFYUJaYuwbeylGhA,https://serpapi.com/search.json?data_id=0xa447955acaaa59%3A0xdf416c760e14dc99&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa447955acaaa59%3A0xdf416c760e14dc99&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJWarKWpVHpAARmdwUDnZsQd8,"Brumal, MG",lojas_presentes,2025-07-28T17:39:05.523797,COMPLETA
9,Brumarte Baby,ChIJ9UlzglJHpAAR61J0mfsj-1A,0xa44752827349f5:0x50fb23fb997452eb,5835297305706910443,/g/11vsv613ww,,0,Loja,"Loja, Loja para Bebê",store,"Rodovia do Caraça, 1340Lj 2, Brumal, Santa Bárbara - MG, 35960-000, Brasil",-19.9872609,-43.454144899999996,+55 31 99686-0564,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: Fechado; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 13:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/p/AF1QipMzS6K_gmMNz4dxZ5Rq-V1g22-A2nixKK2EXPc1=w105-h92-k-no,https://serpapi.com/images/url/3Ja8N3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngWxVs5h2fnuvrV2WSUhFlGlSoG2aYbmSk62iUl1nh7W3kGhGQbGhbbmhgqpthaaSbrZuXDwCXRSB0,https://serpapi.com/search.json?data_id=0xa44752827349f5%3A0x50fb23fb997452eb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa44752827349f5%3A0x50fb23fb997452eb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ9UlzglJHpAAR61J0mfsj-1A,"Brumal, MG",lojas_presentes,2025-07-28T17:39:05.523797,COMPLETA
10,Villa Brumal,ChIJJ-_xb9pHpAARAjWX3pH9BVw,0xa447da6ff1ef27:0x5c05fd91de973502,6630984829319460098,/g/11f3nc715z,4.6,242,Restaurante,Restaurante,restaurant,"Brumal, Santa Bárbara - MG, 35960-000, Brasil",-19.9896287,-43.4555036,+55 31 99932-6604,,Fechado ⋅ Abre qua. às 18:00,Fechado ⋅ Abre qua. às 18:00,segunda-feira: Fechado; terça-feira: Fechado; quarta-feira: 18:00–23:00; quinta-feira: 18:00–23:00; sexta-feira: 18:00–23:00; sábado: 12:00–23:00; domingo: 12:00–16:00,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Mesas externas, Para viagem, Refeição no local",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nobNkglG0STeNO_peb8CaCrj1tE3PcVGa49T309J-bsxKuzuVWSzlZu7pofapPEOZ7HReyyN0MQBVvhmFJjx7Fat646_VzudlOmFQJtYflp5j2zzPPxlp8-QTEWhIU70SGlZ3uJeg=w163-h92-k-no,https://serpapi.com/images/url/0EAh33icBcFtDoIgAADQE5EWptnWj3Jq2fIjzZZ_mhrBDIUFlHHBztBteu_3JVJysTQMSuAEM4YpUgI9WzZINMhJy3oDcwFaAYSx9lxiDayJH5iGZl6gOLly1Cy82nt2U-nDtC3D2nILaLoRaMS4V1qV51zTSjmc3Wue-knlbI_o84nNQ7YpX6QPom50glraln0ttbrRpA-ySF7ulM-7mdZpOlK-AFnhn8nu5Jh5SCuoIoRX76kNAXFn4AEG9geF-EXI,https://serpapi.com/search.json?data_id=0xa447da6ff1ef27%3A0x5c05fd91de973502&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa447da6ff1ef27%3A0x5c05fd91de973502&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJ-_xb9pHpAARAjWX3pH9BVw,"Brumal, MG",lojas_presentes,2025-07-28T17:39:05.523797,COMPLETA
