position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,MW PRESENTES E UTILIDADES,ChIJeZ4emnWWpgARjMl7xXpXbGc,0xa696759a1e9e79:0x676c577ac57bc98c,7452427668202178956,/g/11b6hn70zt,4.5,83,Papelaria,Papelaria,stationery_store,"R. Joaquim Gonçalves Pimenta, 314 - Camargos, Belo Horizonte - MG, 30520-450, Brasil",-19.9392501,-44.0189962,+55 31 3388-6698,,Aberto ⋅ Fecha às 19:00,Aberto ⋅ Fecha às 19:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Excelente atendimento, muitas variedades de mercadorias preços bom.""",https://lh3.googleusercontent.com/p/AF1QipNeGzmLgBdK6Q72pBY2pBadEOfknTZB9TBC2pBX=w184-h92-k-no,https://serpapi.com/images/url/g--uVnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl-peleuT7pTibRZoblTgFAnEiSmu_mnZeSFRTpYhTs5AgQjbckMLE90MSyPdbN28fACbwCC5,https://serpapi.com/search.json?data_id=0xa696759a1e9e79%3A0x676c577ac57bc98c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa696759a1e9e79%3A0x676c577ac57bc98c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJeZ4emnWWpgARjMl7xXpXbGc,"Camargos, MG",lojas_presentes,2025-07-28T17:59:32.022638,COMPLETA
2,Caroline Presentes,ChIJ7doepd-VpgARcFMnRgl7vj4,0xa695dfa51edaed:0x3ebe7b0946275370,4521186355688461168,/g/1tdzscg5,5,3,Loja de Presentes,Loja de Presentes,gift_shop,"R. Padre Tiago de Almeida, 135 - Camargos, Belo Horizonte - MG, 30520-440, Brasil",-19.939658899999998,-44.021644699999996,+55 31 3331-1525,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:30; terça-feira: 08:00–17:30; quarta-feira: 08:00–17:30; quinta-feira: 08:00–17:30; sexta-feira: 08:00–17:30; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LLmB6Osz52FvA35MT8vkOA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=191.4338&pitch=0&thumbfov=100,https://serpapi.com/images/url/d-Z7vHicHc3NDcIgGADQbbjJT2tNa0KaevBU04t3QynCF2khBUFdxrncRuMC733eJkYf9oSEuCoVE6js4aFs2HiBtXPaKuEhYOlmkhiJ5j6PiwDberE4mHjfz4fdEF5VcUxdWZ3OdboNHZLjRVpQS-RBiVUarPNPXN2EtQ8o85oiw5sCPUXmrGF4W5Y18hCl4RT9k6tLnFH6BQdqOKM,https://serpapi.com/search.json?data_id=0xa695dfa51edaed%3A0x3ebe7b0946275370&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa695dfa51edaed%3A0x3ebe7b0946275370&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7doepd-VpgARcFMnRgl7vj4,"Camargos, MG",lojas_presentes,2025-07-28T17:59:32.022638,COMPLETA
3,"LA MANU - Café da manhã, Presentes Personalizados, Brindes Corporativos - Belo Horizonte -",ChIJD3pwc-GVpgARFv_s_25G7HU,0xa695e173707a0f:0x75ec466effecff16,8497244039495352086,/g/11m5ht_njt,5,12,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. José de Assis, 490 - Camargos, Belo Horizonte - MG, 30520-410, Brasil",-19.9430898,-44.021039599999995,+55 31 97248-1022,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–11:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipMjSPHzUiPAUe8qD9xxyjCCvK5WSGsAsIvBw37p=w80-h106-k-no,https://serpapi.com/images/url/Jm505nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngmxUc4FEVmhngGJpqUehiWVFRmeXsXOZtGh7sXuxY7FnmVG5sXmBbbmGgm2FoYKabrZuXDwCzLCF6,https://serpapi.com/search.json?data_id=0xa695e173707a0f%3A0x75ec466effecff16&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa695e173707a0f%3A0x75ec466effecff16&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJD3pwc-GVpgARFv_s_25G7HU,"Camargos, MG",lojas_presentes,2025-07-28T17:59:32.022638,COMPLETA
4,Papelaria Art Mania,ChIJq4q_VReXpgARBQCVBsar6KU,0xa6971755bf8aab:0xa5e8abc606950005,11954994077857284101,/g/11j7vd9mkb,4.3,49,Papelaria,"Papelaria, Loja de presentes, Loja de Brinquedos",stationery_store,"Rua Luiza Efigênia Silva, 234 - Loja 3 - Camargos, Belo Horizonte - MG, 30520-460, Brasil",-19.9384953,-44.0189642,+55 31 3388-6968,,Aberto ⋅ Fecha às 19:00,Aberto ⋅ Fecha às 19:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 09:00–17:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Loja possui uma boa e vasta variedade de produtos, e são de qualidade.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gxZaOUEXOVztS3XiIMTBww&cb_client=search.gws-prod.gps&w=80&h=92&yaw=232.2106&pitch=0&thumbfov=100,https://serpapi.com/images/url/GrT1Y3icHc3dCsIgGADQt_EudQ6iAgmCLrqIXfTD6Cacc_qBmzK_5upleq7epugFzvm8HWJMG8YSjsbgBCZHmI1Pi6ioDcF6oyIkqkPPpoKhe_TNoMBvoxoCtNLON1Vd9nV1feGprOFwPO9yJrq5aw9mQJmMGrWjNv_EMbTUxkSyXHHi5FqQp8pSlIKKgi9JBNROcvJPujDJgvMvXAQ5lg,https://serpapi.com/search.json?data_id=0xa6971755bf8aab%3A0xa5e8abc606950005&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6971755bf8aab%3A0xa5e8abc606950005&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJq4q_VReXpgARBQCVBsar6KU,"Camargos, MG",lojas_presentes,2025-07-28T17:59:32.022638,COMPLETA
5,Papelaria Papel e Arte,ChIJCXNvWXOWpgARSirdOa3xi08,0xa69673596f7309:0x4f8bf1ad39dd2a4a,5731940677061519946,/g/11cmk3b5g0,4.6,66,Papelaria,"Papelaria, Loja de eletrônicos",stationery_store,"Rua Sócrates Alvim, 151 - Camargos, Belo Horizonte - MG, 30520-140, Brasil",-19.9428129,-44.0149295,+55 31 98254-2640,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrUTTap4C6o1fj0T7pz5nMUhGFtLENoQ57Kjr-82z0jlx_OaR_Np49tr8eobraCM_rYVoSHf0NraFfR0wz0o7ggOETMousfjo_iP97hVNBb_TxsAb34KII8uR-q6AR9RIhd1JTM=w80-h142-k-no,https://serpapi.com/images/url/rUDvY3icBcFRboIwGADgE1WKFgGTPTCCyhR0XTXZUwMMWpH1r22Jhvt5CG_j972e0jltV543yMVMAIihHW1rGlCuVW7WwL8ntEWNRdZL0lgSZU6MVZqkS_C7HrNQT4EqTnKzdvushO8g3PUGRfMJ98ODHyrKS01iZ6IWalOlBTe_Z_jZdrg01bqj-D5hCIU4ZKyA0XY98MsxDuW5_Kw5e9ikXpBdnkcjRbdlQmOayz__ixUf9wgj6ZM5uiIFb7sGRAA,https://serpapi.com/search.json?data_id=0xa69673596f7309%3A0x4f8bf1ad39dd2a4a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69673596f7309%3A0x4f8bf1ad39dd2a4a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJCXNvWXOWpgARSirdOa3xi08,"Camargos, MG",lojas_presentes,2025-07-28T17:59:32.022638,COMPLETA
6,Cíntia Modas,ChIJCa--rt-VpgARGNDMTo-wDWU,0xa695dfaebeaf09:0x650db08f4eccd018,7281670302076817432,/g/1tfbjzdd,4.6,17,Papelaria,Papelaria,stationery_store,"R. Prof. Silveira Neto, 8 - Camargos, Belo Horizonte - MG, 30520-500, Brasil",-19.9396794,-44.0218766,,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–17:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Muita variedade""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_VLh2FyLBLwR-8TBZC5LBw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=94.667274&pitch=0&thumbfov=100,https://serpapi.com/images/url/72rPmHicHc1fDoIgHADg2_AmoDP_tDE323riqbUeenGIv4ANhQlJ3qZrdZtaF_i-z1vH6MORkBBXgLgZSN68wIbMC6ycUxaENwFLN5MtJ1E_53ERxnZeLM5MbLhxXZx33vN0yZprfz8deJ-QHAdpDSyRBRCr1Filn7i6CSsfUGINRZq1BdpFYm2Jq6ou6hJ5E6VmFP2Xh9tYTukXQNU45A,https://serpapi.com/search.json?data_id=0xa695dfaebeaf09%3A0x650db08f4eccd018&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa695dfaebeaf09%3A0x650db08f4eccd018&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJCa--rt-VpgARGNDMTo-wDWU,"Camargos, MG",lojas_presentes,2025-07-28T17:59:32.022638,COMPLETA
7,Inforcel Shop Camargos,ChIJgxc0p8mVpgARh34yr1ewhJA,0xa695c9a7341783:0x9084b057af327e87,10413642129035394695,/g/11sryyf0xc,4.4,34,Serviço de informática,"Serviço de informática, Loja de celulares, Assistência Técnica de Informática, Loja de Informática, Serviço de impressão digital, Impressões, Papelaria, Loja de computadores usados",computer_service,"Rua Jose Motta Costa, 325 - Camargos, Belo Horizonte - MG, 30525-390, Brasil",-19.9351913,-44.0207301,+55 31 97362-2722,http://www.inforcelshop.com/,Aberto ⋅ Fecha às 20:00,Aberto ⋅ Fecha às 20:00,segunda-feira: 09:00–20:00; terça-feira: 09:00–20:00; quarta-feira: 09:00–20:00; quinta-feira: 09:00–20:00; sexta-feira: 09:00–20:00; sábado: 09:00–15:00; domingo: 10:00–14:00,,,,,Serviços no local,,,https://lh3.googleusercontent.com/p/AF1QipNoma77PALY2QB5leUpl6ge1NnBbncg5zEjiDda=w80-h106-k-no,https://serpapi.com/images/url/UFIRf3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl5-baG4e4OgTaRToZJqTGlqQY5aeauiX55SUl5xuWuWalemSkmhbbmGgm2FoYKabrZuXDwCiASE8,https://serpapi.com/search.json?data_id=0xa695c9a7341783%3A0x9084b057af327e87&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa695c9a7341783%3A0x9084b057af327e87&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJgxc0p8mVpgARh34yr1ewhJA,"Camargos, MG",lojas_presentes,2025-07-28T17:59:32.022638,COMPLETA
8,Inovar Papelaria e Acessórios,ChIJb7DYLW-VpgAR4ZT1xK4v0mc,0xa6956f2dd8b06f:0x67d22faec4f594e1,7481094358691058913,/g/11t_ky3znp,4.8,5,Papelaria,Papelaria,stationery_store,"R. Prof. Silveira Neto, 8 - Camargos, Belo Horizonte - MG, 30520-500, Brasil",-19.9397114,-44.021830699999995,+55 31 99380-3079,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–17:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótimo atendimento, muita variedade de produtos e serviços.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_VLh2FyLBLwR-8TBZC5LBw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=103.20546&pitch=0&thumbfov=100,https://serpapi.com/images/url/lC43DnicHc3BCsIgGMDxt_E2davFCiRY0MlTRIcuw9mXfuCmTJvtbXqt3qbR-Q-___djUwrxwFhME0CaEXLAN7hYBEWN98aBChip9gObS5bsa-hHhe4Y1OjxIbqbtNV5ka3Ml6K5tvdTLdtMdN9phzAmEUFN2lKTV3HyD2pCJFk0nFixr8iisij5hla83u5IwKSt4OR_efp5TfwHPj04zA,https://serpapi.com/search.json?data_id=0xa6956f2dd8b06f%3A0x67d22faec4f594e1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6956f2dd8b06f%3A0x67d22faec4f594e1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJb7DYLW-VpgAR4ZT1xK4v0mc,"Camargos, MG",lojas_presentes,2025-07-28T17:59:32.022638,COMPLETA
9,Ravi Presentes,ChIJG-qxKyCVpgARj_1BR7QnypE,0xa695202bb1ea1b:0x91ca27b44741fd8f,10505252736038206863,/g/11w3kr0c2z,5,3,Serviço de locação de artigos de festa,"Serviço de locação de artigos de festa, Loja de presentes",party_equipment_rental_service,"R. Padre Tiago de Almeida, 311 - loja B - Vila Magnesita, Belo Horizonte - MG, 30520-440, Brasil",-19.9394658,-44.0230724,+55 31 98886-5533,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,Cartão de débito,,,"""Lugar de fácil acesso""",https://lh3.googleusercontent.com/p/AF1QipOUYQM5zUMzWZwAd1c-phMS3z4_8XzxBTfrDd2V=w80-h106-k-no,https://serpapi.com/images/url/Wg-lrHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngHxoZ6GtaFepbFR5V7phimKxbkOEbbFxlEm8RUVXhFJJW5JJiFGZbbmGgm2FoYKabrZuXDwCp_yFC,https://serpapi.com/search.json?data_id=0xa695202bb1ea1b%3A0x91ca27b44741fd8f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa695202bb1ea1b%3A0x91ca27b44741fd8f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJG-qxKyCVpgARj_1BR7QnypE,"Camargos, MG",lojas_presentes,2025-07-28T17:59:32.022638,COMPLETA
10,Numismática BH,ChIJPx7rAY69pgARHB-2Ih2l_Ts,0xa6bd8e01eb1e3f:0x3bfda51d22b61f1c,4322792761900539676,/g/11s7htr308,5,62,Loja de artigos colecionáveis,"Loja de artigos colecionáveis, Loja de hobbies",collectibles_store,"Galeria camargos, Rua Luiza Efigênia Silva, 234 - Loja 5 - Camargos, Belo Horizonte - MG, 30520-460, Brasil",-19.9385163,-44.0189533,+55 31 98329-9624,https://linktr.ee/numismaticabh,Aberto ⋅ Fecha às 19:00,Aberto ⋅ Fecha às 19:00,segunda-feira: 14:00–19:00; terça-feira: 14:00–19:00; quarta-feira: 14:00–19:00; quinta-feira: 14:00–19:00; sexta-feira: 14:00–19:00; sábado: Fechado; domingo: Fechado,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito","Entrega, Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipMzUl5KpTBLwkQgDh_BrOFs5DTNO0_WNMV4f5fi=w91-h92-k-no,https://serpapi.com/images/url/W8YSbnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngWxWaY-pdEOLkU54dmO6SEe9U5O9WbOoS4udvEB_u5xtmkmaalmlbbmmom2FppJutm5cPAIkqIOU,https://serpapi.com/search.json?data_id=0xa6bd8e01eb1e3f%3A0x3bfda51d22b61f1c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bd8e01eb1e3f%3A0x3bfda51d22b61f1c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJPx7rAY69pgARHB-2Ih2l_Ts,"Camargos, MG",lojas_presentes,2025-07-28T17:59:32.022638,COMPLETA
