position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Central Presentes,ChIJRwkilR4gy5QRK72hctzQIRY,0x94cb201e95220947:0x1621d0dc72a1bd2b,1594785388300451115,/g/11bwq63hzq,4.6,27,Loja de Presentes,"Loja de Presentes, Loja",gift_shop,"Avenida Julio Calil,n°361, Centro, Cambuquira - MG, 37420-000, Brasil",-21.8552657,-45.2937387,+55 35 3251-2975,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Excelente atendimento e variedade de itens.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nhcnv8Lt1f3P_hkcSzEpdg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=354.22058&pitch=0&thumbfov=100,https://serpapi.com/images/url/ckD7r3icHc3BDcIgFADQbbgJtLVJNSGevHkwcYCG0i8QKfyUL6jTuJbbaFzgvc_bEWHeC5FpBaDioaJ_QMgb1NymZANo9JmbtIjSCHL3ZYrahwPqmPysojOxDCdqrt15dDdzeR1xtsxMowkeIqkMejWO2_oT1zRzi5lVNUjm1K5lT11V129528p-YOjJOCXZf7mmohopv6oHOhY,https://serpapi.com/search.json?data_id=0x94cb201e95220947%3A0x1621d0dc72a1bd2b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb201e95220947%3A0x1621d0dc72a1bd2b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRwkilR4gy5QRK72hctzQIRY,"Cambuquira, MG",lojas_presentes,2025-07-28T17:52:46.976503,COMPLETA
2,Antiquário Passado Presente,ChIJnca6lOQfy5QRfX9nC3LTa8k,0x94cb1fe494bac69d:0xc96bd3720b677f7d,14513926710902620029,/g/11gf8ggwwb,4.6,85,Antiquário,Antiquário,antique_store,"Av. da Paz, 104 - Marimbeiro, Cambuquira - MG, 37420-000, Brasil",-21.8568334,-45.3156039,+55 35 99989-1001,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: Fechado; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no-XzIbOK9Zu3HwHBEAm3DaRJY-3YCdml5fGUp1QV9ReFJRkr9ADyfncE_b-DwhuCt-GUMZSRXBAW3cl69trbnf5pO_LG85DQxQ6UVul09m3cvvW86jX54VovySneFVJTMTxGytuA=w163-h92-k-no,https://serpapi.com/images/url/fbqFGXicBcFRboIwGADgE_0yVyF2yR4qIA41BhREX4jUQjNLS2gLsgt6Bm-z73u_uDGd_nIcwdGsUaoRzGrWUyUNk2ZGVes0nQaqQTvEx3whFRR_P9Vhi68WbcbNKiQtCm5pfAF08e-tcOso6-ZJjlO2jtNHj0kw1ZKGZQXByK1vIMr212NarMgZUeFh01eydrtDuYuWbpA8Ey_LrfjALaLDcF56v4W7yNUwHSVb5_Fpf3pGk7Hke5x7CDj-hAdI9Q_Q-UQ7,https://serpapi.com/search.json?data_id=0x94cb1fe494bac69d%3A0xc96bd3720b677f7d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb1fe494bac69d%3A0xc96bd3720b677f7d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJnca6lOQfy5QRfX9nC3LTa8k,"Cambuquira, MG",lojas_presentes,2025-07-28T17:52:46.976503,COMPLETA
3,Opções Presentes,ChIJsVnr3Bwgy5QRylaVNtgySVY,0x94cb201cdceb59b1:0x564932d8369556ca,6217556664771761866,/g/11bwydf3cd,4.8,9,Loja,Loja,store,"Av. Virgílio de Franco, 355, Cambuquira - MG, 37420-000, Brasil",-21.8503242,-45.2964559,+55 35 99941-2811,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: Fechado; domingo: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Muito bom o atendimento é ótimo recomendo muito!!!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noB43iyskoJNBf2YpIXW5S7gzkBlAnzhBeBbcWYSmQFmroV_5e0jdmJhbugemTJ8SwlMt_0Cnn6Mb1Q7u5blo7POsZTTkzHPFUbhKU5Q1_h2Bbiyqyl6sRf6cSIhfxVwBh0_vA=w80-h142-k-no,https://serpapi.com/images/url/efHTxXicBcFbcoIwFADQFUUe8rDO9IM44yiOrQhq7Q8ziSFXSXKpCaWwvm6iu-k5f7_gXGeXnqdgPpOIUoneiidH44RxM47ak50l3BLrZasXiAzSaH4fbYv5G23Ca7f9uMRlKqeWqsxMQAVl_HItdbHWTzzXsfAfN50D66XQVb4oB7V3tb8yJtmzoEj7mClMD-_2s6raaXNYnxjsTnER1BBSdh-_RpXYY5PwcgvNz3mg4Nff2euw8AkEUUhaYvAf7NFFcw,https://serpapi.com/search.json?data_id=0x94cb201cdceb59b1%3A0x564932d8369556ca&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb201cdceb59b1%3A0x564932d8369556ca&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJsVnr3Bwgy5QRylaVNtgySVY,"Cambuquira, MG",lojas_presentes,2025-07-28T17:52:46.976503,COMPLETA
4,Raio de Sol-Presentes e Variedades,ChIJgQkU-v8hy5QRWEFcmFA5fGs,0x94cb21fffa140981:0x6b7c3950985c4158,7745128477486760280,/g/11qq08cfs6,5,2,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Paulino José Soares, 150, Cambuquira - MG, 37420-000, Brasil",-21.8565051,-45.292586199999995,+55 35 98471-9146,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:30,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqHzwo7XlZdhVOrpaK5UG7dY4hw_cwAKfOnH2MAdZ2fHTdEwSp3DnTpyCJqRgJzAbO9HEy-So0xWYJrhOoO9iEA3J2bkS6myMErhvoC1XkaAMaBb1XwnKfQYXs6EjC7fJuKBOQP=w91-h92-k-no,https://serpapi.com/images/url/_9yaNnicBcFbjoIwFADQFVUEVFITPyrTDCkhVfEB_kx4dwR7K0Urrs9NuBvP-bzFMCi9tKxOuJMGoOmqu676AuRQyWFSwNVqlEaFRtoiPhYzeQteBrykO5fiyHuVhfPDr1emM2H-CkPCmsvAiUh5dupgX1ITK_dH7tXos9uuYS-ScxzQEcUwfZ5S1gsOHP9T4jInb-PFdYxoLx7g20mbkShb53ZiZFhv00Qv6MX3anYP13y7WRlsI4Ed1CIJX8P4RIg,https://serpapi.com/search.json?data_id=0x94cb21fffa140981%3A0x6b7c3950985c4158&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb21fffa140981%3A0x6b7c3950985c4158&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJgQkU-v8hy5QRWEFcmFA5fGs,"Cambuquira, MG",lojas_presentes,2025-07-28T17:52:46.976503,COMPLETA
5,Artminas,ChIJ7T3X3Bwgy5QRWTnmvutF4bM,0x94cb201cdcd73ded:0xb3e145ebbee63959,12961718081371388249,/g/11c3vgvygb,4.8,18,Papelaria,Papelaria,stationery_store,"Av. Virgílio de Franco, 347 - Centro, Cambuquira - MG, 37420-000, Brasil",-21.850301599999998,-45.2965181,+55 35 3251-2196,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqpPBdOJ2wSQ_QiZuwIx_0an8V-dzyrdW4GtA7QasM_l1xjoXMOghw8Og1IT6nlwNynsQ93Bc7GzUzrupjvNzpcJOV8_VL9YarPI_SiASD9zYtvzlzbo9cUyIo3pkKpvRaTvO2esg=w80-h142-k-no,https://serpapi.com/images/url/MgMxuXicBcFdboIwAADgE1XkJ4Oa-AAzIbhpRRSnLw0rpFW7ttJCpRfcGbyN3_f6Z8YovfA8zsIZlZLybtBdT6QwnTAzIv88qjQgGmgv_YQsEg-1y1q0DmxV4vJ6GWzxxPNGJDVo3dS3pyg3aVw2eoO5_7zJnw2izCaI-sXhQ3C7nYQuYZiROHdH1w_qNm6dImtUJ7j-huem3xW4uqbVCrqzGR13vxKS41TIUN2_1LhvDiMKOk2XNpkD5kcBuAMh3xQdR98,https://serpapi.com/search.json?data_id=0x94cb201cdcd73ded%3A0xb3e145ebbee63959&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb201cdcd73ded%3A0xb3e145ebbee63959&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7T3X3Bwgy5QRWTnmvutF4bM,"Cambuquira, MG",lojas_presentes,2025-07-28T17:52:46.976503,COMPLETA
6,Versátil - presentes e papelaria,ChIJ8_qI04Mhy5QROpI7ZHeFGEs,0x94cb2183d388faf3:0x4b188577643b923a,5411221700114879034,/g/11vk_fl_7t,5,1,Papelaria,Papelaria,stationery_store,"R. Virgílio de Melo Franco, Cambuquira - MG, 37420-000, Brasil",-21.8511873,-45.2952887,,,Fecha em breve ⋅ 18:30 ⋅ Abre ter. às 08:01,Fecha em breve ⋅ 18:30 ⋅ Abre ter. às 08:01,segunda-feira: 08:01–18:30; terça-feira: 08:01–18:30; quarta-feira: 08:01–18:30; quinta-feira: 08:01–18:30; sexta-feira: 08:01–18:30; sábado: 08:01–18:30; domingo: 08:01–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Sempre muito bem atendido!""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MwGaQnhamTWWMdHDewkxOw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=184.68661&pitch=0&thumbfov=100,https://serpapi.com/images/url/NdIhP3icHc1LCsIwFADA22RnPiKlCsGNoJsigtClvKbPJJgfTWzqbbyWt1G8wMznbUpJecdYLhNimS3WZBd0eZWA6hi1Q0g2UxU9mwUr5umHANbtE4RoR9nVI1yCAX_t-248HbA-lnMlargpZzEUmREmZaiuP3GKI9UpkypbTozcrskLqhTthjZt0wiSbFFGcvJf7nGWgvMvsGs6NQ,https://serpapi.com/search.json?data_id=0x94cb2183d388faf3%3A0x4b188577643b923a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb2183d388faf3%3A0x4b188577643b923a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ8_qI04Mhy5QROpI7ZHeFGEs,"Cambuquira, MG",lojas_presentes,2025-07-28T17:52:46.976503,COMPLETA
7,Cachaça Paraíso,ChIJR_93Khggy5QRNc0VmHLCz1A,0x94cb20182a77ff47:0x50cfc2729815cd35,5823086640646966581,/g/11b6hlhw9z,4.2,2249,Loja de presentes,"Loja de presentes, Loja de queijos, Loja de frios, Loja de doces japoneses, Loja de bebidas alcoólicas, Restaurante",novelty_store,"BR 267 - KM 345 - Nº 111, Marimbeiro, Cambuquira - MG, 37420-000, Brasil",-21.8741436,-45.314456899999996,+55 35 3467-0963,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: 08:00–18:00,$$,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nprn7PekccWMnQ-4GB4FFo-IG73pf9f-KMmIJiu_kqRKzJn1PjYY-8wnhDtALCqfxuKRi76e70b5UaMBJHwRZbW8tBQ50rgCKp2NBdraUunSR1j5BVrqEKkU-wEDqe9O-kcLTYi=w163-h92-k-no,https://serpapi.com/images/url/INMaK3icBcFbcoIwFADQFV0RARFn-mHwScQqLXXoT0djIBi9CUkYOt1fF9Hd9Jy_X-GctnPPe4hg1CjVPHhvuWEKHUc3YurpNdoCs2C9RZqIELXB-MglY-ccTxBuSLheK9ht4kDXSQ00f-6ytv-SXUF_MvSP96qC2YBi6Rb7tKu_e1q08ZTH42tUXnKSbYfi83qeOXKKxqZJqZ4cyM1cyh7fCv8ekQ_TragsYVgtO568gmT796p9GfxpACKZgARU_2y3Q28,https://serpapi.com/search.json?data_id=0x94cb20182a77ff47%3A0x50cfc2729815cd35&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb20182a77ff47%3A0x50cfc2729815cd35&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJR_93Khggy5QRNc0VmHLCz1A,"Cambuquira, MG",lojas_presentes,2025-07-28T17:52:46.977506,COMPLETA
8,Relíquia Mineira,ChIJix9hhhwgy5QRJqFV-GyI2GM,0x94cb201c86611f8b:0x63d8886cf855a126,7194650406328574246,/g/11bzwms45q,4.6,161,Doceria,"Doceria, Loja de queijos, Cafeteria, Loja de produtos naturais, Loja de bebidas alcoólicas, Supermercado, Loja de chás, Loja de vitaminas e suplementos",dessert_shop,"Av. Virgílio de Franco, 515, Cambuquira - MG, 37420-000, Brasil",-21.851119699999998,-45.2951383,+55 35 99817-8776,,Aberto ⋅ Fecha às 19:00,Aberto ⋅ Fecha às 19:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: Fechado,$$,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega sem contato, Entrega, Retirada na loja, Para viagem, Refeição no local",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqiakJbcwXePRnYnrsNo-1LOZc-GxajmdOuWDGjkM3S_8SK-x0Ps4DfBnGlGxWwgxRjBYmD1b7GK7gDnbSSY6Ozc1MV5BLyYWbOv_QtRrB7cjpnVQ_RNJr5CPTvoWnBls3Hs2BN=w163-h92-k-no,https://serpapi.com/images/url/BUNEaHicBcHdEoFAGADQJ1pJFGZcWM2sCZUykptGK5t-vk3fUryfh_A2zvl9c6UanGtalRsDIaWosidmLZegMlADLmtNNEg4EtSWq1k-hsf9Ujop706ZH0AMLbqS6FvvzAnrL0V99Z6RzYpyZ4TJNNyQfujj2L5RYBXro070QUHj2tZTi20sYUMahrHpfbi-O07o9h1HqfdK9ipoqcWLBo77JHCddrLyDy8ZAa3QWOOIuotONw2Sz0akJCD_HS1FEA,https://serpapi.com/search.json?data_id=0x94cb201c86611f8b%3A0x63d8886cf855a126&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb201c86611f8b%3A0x63d8886cf855a126&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJix9hhhwgy5QRJqFV-GyI2GM,"Cambuquira, MG",lojas_presentes,2025-07-28T17:52:46.977506,COMPLETA
9,Utlidades e Presentes,ChIJGUZNihggy5QRYhMiv8L0uzs,0x94cb20188a4d4619:0x3bbbf4c2bf221362,4304302986150155106,/g/11c6ps8yxv,,0,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Paulino José Soares, 92, Cambuquira - MG, 37420-000, Brasil",-21.8563615,-45.292845899999996,+55 35 99724-4582,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PzRoV3aNux6qP2wJ0DK-TQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=227.0493&pitch=0&thumbfov=100,https://serpapi.com/images/url/4r75t3icHc1RCsIgGADg2_g2dS6qBT-99FQQK6LXcM5UcGrTzdVlOle3KbrA933eOqUQN4TENEiZJiNzMLO0sQgcK--VlTyYiIXvyVSSpMe-ddzYbeDOmw6a19lfK34c5-WjYXlPd4fickKivQlrpEsQJR-Exir_xMF3WIWIMqwp0lAz9OQZGFthuqgrFEwSGij6J3c_QUnpFyqNOP0,https://serpapi.com/search.json?data_id=0x94cb20188a4d4619%3A0x3bbbf4c2bf221362&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb20188a4d4619%3A0x3bbbf4c2bf221362&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJGUZNihggy5QRYhMiv8L0uzs,"Cambuquira, MG",lojas_presentes,2025-07-28T17:52:46.977506,COMPLETA
10,Loja Zema - Cambuquira,ChIJraWYNB0gy5QRhd0yFSdJi9E,0x94cb201d3498a5ad:0xd18b49271532dd85,15099242607897927045,/g/11bx2l471l,4.7,10,Loja de departamento,"Loja de departamento, Loja de eletrodomésticos, Loja de móveis",department_store,"R. Virgílio de Melo Franco, 200/206 - Centro, Cambuquira - MG, 37420-000, Brasil",-21.851681799999998,-45.294446699999995,+55 35 3251-3556,http://www.zema.com.br/,Fecha em breve ⋅ 18:30 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:30 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–15:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no_R2dmKswv-wkvnBL1PudoJ56EO3tjRzjff065Y7qUGYfnSxFY8VJhIiE7VopcJJV_Ej0x_2GOq-isizdmxqrULYnim4xJuUr7Z2fqJmrWtw3ACc86IZg7zcIOW2h3_igTzJNy=w80-h142-k-no,https://serpapi.com/images/url/GMgPT3icBcFdDoIgAADgE5GGv7X1YM6a1LJV2uzFB1TAAlQwzft1iG7T9_2-VOtWrQ3jRa0FkZK8qkFVPZZCV0IvsOQGaRXACigjCFfUFrK4wJIf1PgG4_MttsfleSglctwosXRzmZu6Nl0n97p0n9fiOu1yP0M0ZpGXyRYjlBVRY04F3CcdYIrNJZ-6Pj3mgnF7QkPaew9Yd4j3dz1aQYh9N34Qb8ZxcofUKhi5zej02Yy-CejShuAJhPwDMANFvQ,https://serpapi.com/search.json?data_id=0x94cb201d3498a5ad%3A0xd18b49271532dd85&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb201d3498a5ad%3A0xd18b49271532dd85&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJraWYNB0gy5QRhd0yFSdJi9E,"Cambuquira, MG",lojas_presentes,2025-07-28T17:52:46.977506,COMPLETA
