position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Artesanato Biazzi - Loja 1,ChIJXaRMQ7bjypQRj1PLHXR7r7g,0x94cae3b6434ca45d:0xb8af7b741dcb538f,13307991162549392271,/g/11c0xwz8yp,4.5,414,Loja,"Loja, Centro de jardinagem, Decorador de interiores, Viveiro de plantas, Artesanato",store,"Rod. Vital Brasil, 64 - Centro, Campanha - MG, 37400-000, Brasil",-21.83031,-45.3951589,+55 35 3261-1344,http://www.artesanatobiazzi.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:30; terça-feira: 09:00–17:30; quarta-feira: 09:00–17:30; quinta-feira: 09:00–17:30; sexta-feira: 09:00–17:30; sábado: 09:00–17:30; domingo: Fechado,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito",Serviços no local,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrnQRqtSPxCxDKc8EKFKNhOYiccOLSX4WLoEnKfT8j6bu1749bhm9JkgM-BJd9yjJqxIXSbXYOSjbccpbUVgzUoRgrb-DqFejDgpJITqcSrT7yfMTTKxypHcDT4OSfIgkTizw1_9A=w122-h92-k-no,https://serpapi.com/images/url/iAbt5HicBcFhDsEwGADQE9WyWVCJHxixFUOL-SXpZ2tttN1asbmgM7iN935f6ZyxY897yH5PaC0e-cvmDWjlcuV6oJ-eMBaBRdabzrEMVaP2h9rRXTtvIwKjBVmSrUwvd4B0TbPwvNYLRQo2Kgf85Q9DzOUTJ5XYoFlyw12Z1G2cUZ5dUlpyAMOPJ_E56oNoOIrqZV5GwiQxq4E2bNgVG8ZI25kVRCxMaRGLit0_b_-Kp5O3HwRI4gBVSOk_ledGPg,https://serpapi.com/search.json?data_id=0x94cae3b6434ca45d%3A0xb8af7b741dcb538f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cae3b6434ca45d%3A0xb8af7b741dcb538f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJXaRMQ7bjypQRj1PLHXR7r7g,"Campanha, MG",lojas_presentes,2025-07-28T17:56:21.556512,COMPLETA
2,Loja Ousadia,ChIJbda6zLPjypQRIijTP1dzH_A,0x94cae3b3ccbad66d:0xf01f73573fd32822,17302675111950886946,/g/11dfj50mb9,4.6,5,Loja de Presentes,Loja de Presentes,gift_shop,"R. Dr. Brandão, 109 - Centro, Campanha - MG, 37400-000, Brasil",-21.834142,-45.400343299999996,+55 35 98821-8626,https://www.facebook.com/LojaOusadiaaa/,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipMMp86qtZ2tjsvNb-1xv-gh_EBWspAEvbO4oA7S=w80-h142-k-no,https://serpapi.com/images/url/QpLb3XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng61tgYVZYEmVUklVc5peka1hRppueEe_qFF5c4OhaluRvku9oHmxbbmGgm2FoYqSbrZuXDwCxKCFZ,https://serpapi.com/search.json?data_id=0x94cae3b3ccbad66d%3A0xf01f73573fd32822&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cae3b3ccbad66d%3A0xf01f73573fd32822&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJbda6zLPjypQRIijTP1dzH_A,"Campanha, MG",lojas_presentes,2025-07-28T17:56:21.556512,COMPLETA
3,Criativa Gráfica & Papelaria,ChIJ0XQlSbLjypQR2rfD0h2LRyM,0x94cae3b2492574d1:0x23478b1dd2c3b7da,2542153474880288730,/g/11b6j7kyz5,5,126,Papelaria,"Papelaria, Gráfica",stationery_store,"Praça Dom Ferrão, 96 - loja 2A - Centro, Campanha - MG, 37400-000, Brasil",-21.8348191,-45.3995566,+55 35 3261-4213,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:30,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipONdEd1fj7SN6VMDEpuVV93W9g-ctIibjM6jd_f=w80-h142-k-no,https://serpapi.com/images/url/A6oLX3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng75fimmKYlmUe7GcW5uviWlAaFmZpHG6Zrptc4pmZlOVrlpUSn2ZbbmGgm2FoYqSbrZuXDwCXzCDn,https://serpapi.com/search.json?data_id=0x94cae3b2492574d1%3A0x23478b1dd2c3b7da&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cae3b2492574d1%3A0x23478b1dd2c3b7da&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ0XQlSbLjypQR2rfD0h2LRyM,"Campanha, MG",lojas_presentes,2025-07-28T17:56:21.556512,COMPLETA
4,Achei Utilidades,ChIJFVZFap7jypQRchyRaws2-ik,0x94cae39e6a455615:0x29fa360b6b911c72,3024789522409921650,/g/11ghn2s588,4.8,13,Loja de ferramentas,"Loja de ferramentas, Serviço de distribuição",hardware_store,"R. Vital Brasil, 113 - loja 5 - Centro, Campanha - MG, 37400-000, Brasil",-21.8333546,-45.4007529,+55 35 3261-1696,http://www.acheiutilidades.com.br/,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrXL8OLafkL6e8LpyYDPvaO2Jw8qAyamTbEHULQbXuzoZkqiQ2OF4byabJdUSr9poeb2s-HiSRkyUOAV-5tv0CCC3Hz519HlOvK0M2zgSugJ3_4qD1fYIAJYmLRv40d-4rRrD1I=w122-h92-k-no,https://serpapi.com/images/url/aWDA9HicBcFtDoIgAADQE5GK1LStH05rZjRKs2V_mhhh8wMFtOn9OkS36b3ft9S6U2vDqEt7wYXgNRsUk4VoNWv1ohCNwTsFCgWU4fluiVp5ww7B-avCK-bgbsqC05gTGH2c3pvy5kK3YYrP9DbM4l717zMkO0SnnEbPNJFuJxiFCoTvJK6mlHhXsNSj6fu-Hc5Lyw1rMh7MI5x5MvDIfqA-sF7Z3ouyBscjMp8AyVgG1n7zsSAEpQtBBVrxB8pFQ4Y,https://serpapi.com/search.json?data_id=0x94cae39e6a455615%3A0x29fa360b6b911c72&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cae39e6a455615%3A0x29fa360b6b911c72&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJFVZFap7jypQRchyRaws2-ik,"Campanha, MG",lojas_presentes,2025-07-28T17:56:21.556512,COMPLETA
5,Artesanato Gaguinho,ChIJreyq-7DjypQRZQJRCFsgLkY,0x94cae3b0fbaaecad:0x462e205b08510265,5057015006937285221,/g/11bw5yqq8b,4.4,16,Loja de materiais para artesanato,Loja de materiais para artesanato,craft_store,"R. Toledo Pizza - Centro, Campanha - MG, 37400-000, Brasil",-21.8328153,-45.4047828,+55 35 3261-2307,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npg-RVBqw7pEI-Vf-Sl8dXeBjSQZvej3PzGkk7MwO-09VoK-4pr2iazw5IpdN3Fvv79rfGMSmrWERsRIBHWLJ1ZL8hNVmaqr5Oesp_t1pI94-ADrGe6sZuWa2025NZKJdJRDlA=w163-h92-k-no,https://serpapi.com/images/url/6ZPC3nicBcFJDoIwFADQE32QSayJC3BAEFAhAcPGEChUGVrbConn8xLexvd-XyIlE2tV7YmhtJS2PX4LzCs6SjxKpaKD2jIBlQChOltEzJG1kGTua7bZ3oesgbRf1TfsPtNrMeGncfl4XWdH8xkWKKMnMBnXH-VntnxWx8ZhmmzEGy9KB57vE5H47jEPA60IVyTOhvLFrTMW7C415iMTnB338FIU77zUF7oVF6egDpJd72xmbWkAQTp0MNI_P6xC5Q,https://serpapi.com/search.json?data_id=0x94cae3b0fbaaecad%3A0x462e205b08510265&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cae3b0fbaaecad%3A0x462e205b08510265&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJreyq-7DjypQRZQJRCFsgLkY,"Campanha, MG",lojas_presentes,2025-07-28T17:56:21.556512,COMPLETA
6,Artesanato Girassol,ChIJS9HlrajjypQRFrAkDvUcsgE,0x94cae3a8ade5d14b:0x1b21cf50e24b016,122191978722275350,/g/1tf76mld,4.4,20,Loja de materiais para artesanato,"Loja de materiais para artesanato, Artesanato",craft_store,"br 267, km 364, Campanha - MG, 37400-000, Brasil",-21.8347029,-45.3910243,+55 35 99900-1020,https://www.facebook.com/profile.php?id=100009770702090,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:00; terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–17:00; domingo: 09:30–14:30,,,,"Cartão de crédito, Cartão de débito",Compras na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nokuVDPKLeAF5iD9i66DLW-yzCquiJ-OUV6ec1XVvlyRtBYV_mlwyhBeEdDEAtKd5rs4zXQt9sM7OxZO4J6GzTQ2T7jUyJlMzkyec4iAGvsIlcFSUd5n6lbN9f1sRE89DonV7c=w164-h92-k-no,https://serpapi.com/images/url/KXBPZnicBcFbcoIwFADQFUUGG4LpjB9o0BEf1Afx8eNMQ0qQmFhvUMP63ER303P-3sq5G3wGgVYfvcraSssW5F1Y46RxPWGvQXUDJABBkIypwsY2LWdf84VMJlHNaE0IW-yR78a_bZ2hvOBEivDAH9pv3OjIz1f99Gok05KliZuX0R1wd1g7Css4f51ynJFpt1v3d_Gl8Jledo2XAtfJ9AEzLSbboowM0d8r-hPCJh1QZg2PxfAZEowU7aMGGfsPjClEPQ,https://serpapi.com/search.json?data_id=0x94cae3a8ade5d14b%3A0x1b21cf50e24b016&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cae3a8ade5d14b%3A0x1b21cf50e24b016&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJS9HlrajjypQRFrAkDvUcsgE,"Campanha, MG",lojas_presentes,2025-07-28T17:56:21.556512,COMPLETA
7,Ueslen Marcelo Design e Personalizados,ChIJv3_GDy_jypQRvUB80kgtRyQ,0x94cae32f0fc67fbf:0x24472d48d27c40bd,2614107899504115901,/g/11tfkykykt,5,1,Loja de presentes,"Loja de presentes, Fornecedor de Brindes, Loja de camisetas personalizadas, Loja de souvenires",novelty_store,"Av. José Veiga de Almeida, 94, Campanha - MG, 37400-000, Brasil",-21.8415853,-45.398404799999994,+55 35 99841-5766,,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,Cartão de débito,Serviços no local,,,https://lh3.googleusercontent.com/p/AF1QipMqcLu7wfd4b89he3V8zdGgDogwZbZlsVs7ZGma=w80-h142-k-no,https://serpapi.com/images/url/ePqKIXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW5jsU2penpZikmRhmZFqHGZRleKe7pKfXh6VFJVTHFZsHuWem2hbbmGgm2FoYqSbrZuXDwC8EyHm,https://serpapi.com/search.json?data_id=0x94cae32f0fc67fbf%3A0x24472d48d27c40bd&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cae32f0fc67fbf%3A0x24472d48d27c40bd&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJv3_GDy_jypQRvUB80kgtRyQ,"Campanha, MG",lojas_presentes,2025-07-28T17:56:21.556512,COMPLETA
8,Encanto Presentes,ChIJnwEoZtrjypQRNt2ESgXOXH8,0x94cae3da6628019f:0x7f5cce054a84dd36,9177436662794607926,/g/11sq1qlmvx,,0,Loja de presentes,Loja de presentes,novelty_store,"R. Bárbara Heliodora, 64 - Centro, Campanha - MG, 37400-000, Brasil",-21.833931,-45.400958499999994,+55 35 99951-8186,https://www.instagram.com/encanto_presentes_/,Fecha em breve ⋅ 18:30 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:30 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipPXEtSVTb7CaAi-yYqYUwaHOcImnUKbJTzFqaec=w80-h106-k-no,https://serpapi.com/images/url/1W2rnXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEOFaEhwWkmTunOiYqVsZWRgZWp7o4Z_smZsX6p3kFVLlVpiYmmxbbmGgm2FoYKabrZuXDwC1KyHJ,https://serpapi.com/search.json?data_id=0x94cae3da6628019f%3A0x7f5cce054a84dd36&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cae3da6628019f%3A0x7f5cce054a84dd36&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJnwEoZtrjypQRNt2ESgXOXH8,"Campanha, MG",lojas_presentes,2025-07-28T17:56:21.556512,COMPLETA
9,EMBOX,ChIJS9HlrajjypQRNMpAtD_xwbk,0x94cae3a8ade5d14b:0xb9c1f13fb440ca34,13385244823431203380,/g/1tflbs1t,4,4,Loja de embalagens para presente,"Loja de embalagens para presente, Loja de Presentes",gift_wrap_store,"R. Célso Silveira Dias, 224 - Cohab, Campanha - MG, 37400-000, Brasil",-21.8124112,-45.421116999999995,+55 35 3261-3786,https://www.embox.com.br/,Aberto ⋅ Fecha ter. às 06:00,Aberto ⋅ Fecha ter. às 06:00,"segunda-feira: 08:00–00:00; terça-feira: 00:00–06:00, 08:00–00:00; quarta-feira: 00:00–06:00, 08:00–00:00; quinta-feira: 00:00–06:00, 08:00–00:00; sexta-feira: 00:00–06:00, 08:00–00:00; sábado: 00:00–06:00; domingo: Fechado",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=X-LIc5vRST0FIoXV2oWfoQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=249.40825&pitch=0&thumbfov=100,https://serpapi.com/images/url/Jpy8XXicHc1fCoMgHADg2_iWmhTUQPY2CHrZH7behpmpYP0knW632bV2m41d4Ps-bxOjDztCQtyUismq7O1TuVB4gTWAdkp4G7CEhaSSRPNYxlVYt_diBTvxoeg7WafT-UIPHQxXBrcZjkiOd-msWiMPSmzSYJ1_4gYT1j6gzBuKDG8ZeonMWdXiijasRt5GaThF_2WGxEtKv1RROSU,https://serpapi.com/search.json?data_id=0x94cae3a8ade5d14b%3A0xb9c1f13fb440ca34&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cae3a8ade5d14b%3A0xb9c1f13fb440ca34&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJS9HlrajjypQRNMpAtD_xwbk,"Campanha, MG",lojas_presentes,2025-07-28T17:56:21.556512,COMPLETA
2,Artesanato Biazzi - Loja 2,ChIJxeO1_GrjypQR4hWA39leZF8,0x94cae36afcb5e3c5:0x5f645ed9df8015e2,6873723221124847074,/g/11rgbtvv00,4.7,18,Loja,Loja,store,"R. Ventura Vilamarim, 87, Campanha - MG, 37400-000, Brasil",-21.8321565,-45.403057499999996,+55 35 3261-1549,http://www.artesanatobiazzi.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:30; terça-feira: 09:00–17:30; quarta-feira: 09:00–17:30; quinta-feira: 09:00–17:30; sexta-feira: 09:00–17:30; sábado: 09:00–17:30; domingo: Fechado,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito","Entrega, Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npojRGE4T-l39jKXUNGXxk3TBIKDMxRGdav0eclzIw4kYuLaPrmMGA7vgPVWquiPl7ln2z5ezKqfoH2QLYWSs1DgC8nABnQnP2mrDNopczFApltDP3AdYh2XfOAjj9IowatoJlP=w80-h142-k-no,https://serpapi.com/images/url/3M1kwnicBcFbcoIwFADQFUU04CCd8SOKpRQf0doKn0yIiRByIwnisD8X4W56zvslnTP2w_OU9CcCQCjeW94x0I5rN2HQesJYxCyyHllHMtAG6lOyCc5I-VGd5b_7JH82_nmVZvHueUqq8jHlTI3pEDRFvy1p1-4SEj4E_bvc-xtVodJ4nPMxu1_hCx-3xeXHzmKxXmiy0kdNcdvFezBs_CRGuZj6pCokzq8HUtdRCkPp4FvR5bCYIjkLMGqQhn_sW0VU,https://serpapi.com/search.json?data_id=0x94cae36afcb5e3c5%3A0x5f645ed9df8015e2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cae36afcb5e3c5%3A0x5f645ed9df8015e2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJxeO1_GrjypQR4hWA39leZF8,"Campanha, MG",lojas_artesanato,2025-07-28T17:56:24.630164,COMPLETA
