position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Loja Lasie: Presentes Personalizados,ChIJcYyd_IjLzJQRcH8CQgpEXVM,0x94cccb88fc9d8c71:0x535d440a42027f70,6007032288829931376,/g/11lky44n2j,5,4,Loja de presentes,Loja de presentes,novelty_store,"R. Nossa Sra. Auxiliadora, 18 - Centro, Canas - SP, 12615-000, Brasil",-22.7032265,-45.0555458,+55 12 98807-9455,https://www.instagram.com/loja.lasie/,Fechado ⋅ Abre ter. às 13:00,Fechado ⋅ Abre ter. às 13:00,segunda-feira: 13:00–17:00; terça-feira: 13:00–17:00; quarta-feira: 13:00–17:00; quinta-feira: 13:00–17:00; sexta-feira: 13:00–17:00; sábado: 09:00–12:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNrJWf9aer2wZsD-MJH1Y2svkhnnH4WHyhU-WpF=w163-h92-k-no,https://serpapi.com/images/url/73Yhb3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngV-QVnmaZmFpkVB5V7KLr6-VhGGlUXJadkZfnYRLuUZkRqhte4GZbbmhmrJthaaSbrZuXDwCs7SFZ,https://serpapi.com/search.json?data_id=0x94cccb88fc9d8c71%3A0x535d440a42027f70&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cccb88fc9d8c71%3A0x535d440a42027f70&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJcYyd_IjLzJQRcH8CQgpEXVM,"Canas, MG",lojas_presentes,2025-07-28T18:03:41.319197,COMPLETA
2,Lolla Presentes,ChIJE8-80lPLzJQR8amnGb6O7dA,0x94cccb53d2bccf13:0xd0ed8ebe19a7a9f1,15054846076494785009,/g/11ld5ckljk,5,1,Perfumaria,Perfumaria,perfume_store,"rua joão mendes de almeida, 221 - santa terezinha, Canas - SP, 12615-000, Brasil",-22.7056923,-45.0584631,+55 12 99226-2153,https://www.instagram.com/lollapresentes2?igsh=ejV0eHk1cHNveDFr,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,"segunda-feira: Fechado; terça-feira: 09:00–11:30, 13:30–18:00; quarta-feira: 09:00–11:30, 13:30–18:00; quinta-feira: 09:00–11:30, 13:30–18:00; sexta-feira: 09:00–11:30, 13:30–18:00; sábado: 09:00–11:30, 13:30–18:00; domingo: Fechado",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipMTsZP0NmSmM876MKhtyZjyu1aNY7TF547TYrhU=w92-h92-k-no,https://serpapi.com/images/url/oPkiFHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG1IcFWDglxuc62thbubrnVFSGZVVWWqY6BdpHuJmamIeElmUEWpbbmmkmwHE2bp5-QCA_iDM,https://serpapi.com/search.json?data_id=0x94cccb53d2bccf13%3A0xd0ed8ebe19a7a9f1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cccb53d2bccf13%3A0xd0ed8ebe19a7a9f1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJE8-80lPLzJQR8amnGb6O7dA,"Canas, MG",lojas_presentes,2025-07-28T18:03:41.319197,COMPLETA
3,Andarela presentes e utilidades,ChIJ-x1LqWuIpgAREA33-G7k2xY,0xa6886ba94b1dfb:0x16dbe46ef8f70d10,1647161254008524048,/g/11cncbw1xx,4.6,27,Loja de Presentes,Loja de Presentes,gift_shop,"R. Cel. Virgílio Machado, 18 - Centro, São José da Lapa - MG, 33350-000, Brasil",-19.6998097,-43.959985499999995,+55 31 3623-1165,https://business.google.com/b/108877652692004928271/edit/l/04875540716576803294/13?pageId=108877652692004928271&hl=pt-BR,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–17:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Encontrei calça para ir a academia com um preço justo.""",https://lh3.googleusercontent.com/p/AF1QipNJ8saW1egfoBl_bLm1URF3Sv66zM9w5S9YEhaE=w122-h92-k-no,https://serpapi.com/images/url/GwYbh3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng52VRnBhumJqelu-UE5_kk2sYGuRmHFxmZlbla1luGmwZ6ZqR6GpbbmhkpJthaaSbrZuXDwCf4yDW,https://serpapi.com/search.json?data_id=0xa6886ba94b1dfb%3A0x16dbe46ef8f70d10&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6886ba94b1dfb%3A0x16dbe46ef8f70d10&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ-x1LqWuIpgAREA33-G7k2xY,"Canas, MG",lojas_presentes,2025-07-28T18:03:41.319197,COMPLETA
4,"LOJA CASA DAS CESTAS, PRESENTES E DECORAÇÃO",ChIJwxtU2TwfVQcRB3mPokY6A4k,0x7551f3cd9541bc3:0x89033a46a28f7907,9872798883175692551,/g/11ghp1j6c8,5,5,Loja de artigos domésticos,"Loja de artigos domésticos, Loja de cestas de presente, Loja de Presentes, Papelaria",home_goods_store,"R. Júlia Veloso, 37 - centro, Brasília de Minas - MG, 39330-000, Brasil",-16.2100982,-44.430468999999995,+55 38 99976-8304,http://www.facebook.com/DiskEmocaoDecoracaoPresentes/?ref=bookmarks,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:00; terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noJHoAwbP3s5N1TLPTAahMqCECfs-DBFXEgX9PnK_FXV0K2GU2AN_fW0KWOqfkUKBGD2u-gLHXJFoTLUxg4x0AJCZzGdKrp7ngDVPgl4o9bIXnh1sBOTpzi38rkxtSycXqy2kpi=w122-h92-k-no,https://serpapi.com/images/url/-rEXiXicBcFBroIwFADAE1WgYJSf_EUBQSkqiaCNG6MIrQH7Cq0RvZ-H8DbOfD_CGKX_LKsT7oQD8K5-6HqoQJpamkkFd4srjSqNtEVCX3gS0iWQ5yV39XTjFFlekLNY9-EibDSKgpgtOPNzSU8x29sUJyUmm1NzsOlh2zdtSYMkwg_EsyVLYyiycuTeaJM0PL6TKx3UTPJon_POA_-yYlI4OtgW6n1z50M7mt2rYv0Lt-r2_3QwRsLHqEUSfisTQ8k,https://serpapi.com/search.json?data_id=0x7551f3cd9541bc3%3A0x89033a46a28f7907&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x7551f3cd9541bc3%3A0x89033a46a28f7907&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJwxtU2TwfVQcRB3mPokY6A4k,"Canas, MG",lojas_presentes,2025-07-28T18:03:41.319197,COMPLETA
5,Loja De Presentes e Acessórios Da Janaína,ChIJfbPdjPEHpAARZoWog0NPF_A,0xa407f18cddb37d:0xf0174f4383a88566,17300383644957312358,/g/11s90rxy1c,4.2,5,Loja de Presentes,Loja de Presentes,gift_shop,"R. Sete, 33 - Cachoeira do Campo, Ouro Preto - MG, 35410-000, Brasil",-20.360944999999997,-43.6730392,+55 31 98800-4520,,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: 08:00–12:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrDJCotR20J-9fXD8pVsar_tRfJmzzaAROvG23DY9i_HD5RJUzB_p7buyK4GJliFY4fTIkmJky1T7y7m0LI7SI-5Xi-9wRiVuntnZB7YvN_1J8GSCd2n1OAWsne72qqlvIjp97Q=w80-h106-k-no,https://serpapi.com/images/url/5k7QrnicBcFJDoIwAADAF1UWwVITDwgRqUZjRQUvRJFNoC20YOB_PsLfOPP7FlJysVSUupjPcsbyOu1F2iWMypTKWcIaJecCJAIIxXZQYdDOxQ6TRFcxQFnoWvwqHl0sSYabaXrY5Dh4-tyNUBlvXZPgy7SOOXz2487wcF1uIiML_KrB1agFcISNuvfh2QdmWAL0IeW1p5Le1zAaDrGGLe_svHSqHe2boCnU27Ye_DdH8LT6WCooNHUBKkDZH3c1Q2Y,https://serpapi.com/search.json?data_id=0xa407f18cddb37d%3A0xf0174f4383a88566&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa407f18cddb37d%3A0xf0174f4383a88566&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJfbPdjPEHpAARZoWog0NPF_A,"Canas, MG",lojas_presentes,2025-07-28T18:03:41.319197,COMPLETA
6,Rafaela Presentes,ChIJYVX9wjPLzJQR-_LmhgTiFQw,0x94cccb33c2fd5561:0xc15e20486e6f2fb,870850612037087995,/g/11fmf3jhrp,,0,Papelaria,Papelaria,stationery_store,"R. Nossa Sra. Auxiliadora - São João, Canas - SP, 12615-000, Brasil",-22.7050526,-45.052104899999996,+55 12 3151-1594,https://www.facebook.com/Rafaela-Presentes-2085224551515284/?__tn__=kC-R&eid=ARAHJexnCDGewT2yEZVTChrvq4wiEb_O4OvF564qk9vLjfCd0ft3sKbhNiBitLGcCfjaclPjVjK33KdI&hc_ref=ARQdivMvYJl6Z2Y3OZqwuqNilpdhJrZwKCJwXdZ9fNPq0WQ2FwOGHI81HBpqxGNcGzs&fref=nf&__xts__[0]=68.ARBJh4pin5fckM0BWx6062gXYmkys7UbvWJGmNcZHhhB7l4DLuZ5627vFISkte8gxycnq3uXqibBIX2oqSO1gHaxVAzaBB8VADpOVBXo3lTHc5t_jTQWqaDL-b7SJ84BqcgdzoHivHwI0YzhAyuXKDW9BmaddWi5LOiR-YWXCVtzEIKdkVIJXPzSHMrHOwkUGCScVYz7UMu_stG6uF6hdC8t3jmTP3_bv1mApTGWqq3Y1WEDF1ERgqxAqaZQDt_BrxkLCgx_61BzoI3zzzGaqwm2wX7ehxYDVbQc3GUPYi-bcR0-eoxcJFiV9SwWkmV4fRKaX1lrg6IFWDCyRXRGvA2tugKMk7WJiu8Yh9kNeCT2VVDjK6dR4E8bOIQ,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,"segunda-feira: 09:00–12:00, 14:00–18:00; terça-feira: 09:00–12:00, 14:00–18:00; quarta-feira: 09:00–12:00, 14:00–18:00; quinta-feira: 09:00–12:00, 14:00–18:00; sexta-feira: 09:00–12:00, 14:00–18:00; sábado: 09:00–12:00, 14:00–18:00; domingo: Fechado",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipPJ47gwAIj3c_8pYdWOViCxag1EXii_nLDrtorl=w80-h145-k-no,https://serpapi.com/images/url/XByPEHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4GVinl7u6JllnBxvURCZEu4flulckZhu6BqRmRmf5-NSVJJflGNbbmGgm2FoYqqbrZuXDwCtYiHC,https://serpapi.com/search.json?data_id=0x94cccb33c2fd5561%3A0xc15e20486e6f2fb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cccb33c2fd5561%3A0xc15e20486e6f2fb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJYVX9wjPLzJQR-_LmhgTiFQw,"Canas, MG",lojas_presentes,2025-07-28T18:03:41.319197,COMPLETA
7,Ké Presentes Criativos e Personalizados,ChIJAdxXeSL_rwARWEqUBYMmHXE,0xafff227957dc01:0x711d268305944a58,8150713244786641496,/g/11fmm15dmz,4.9,15,Loja de Presentes,Loja de Presentes,gift_shop,"R. Siquem, 169 - Canaã, Ipatinga - MG, 35164-218, Brasil",-19.4536677,-42.5537371,+55 31 98635-9954,http://wa.me/5531986359954,Fecha em breve ⋅ 18:30 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:30 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipM_lrbye-1Kq0GtFZMdOKMkDcm3kkaYxLtgxh7E=w80-h106-k-no,https://serpapi.com/images/url/62ZfYXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG59TlFSZqmvoXWjgXuIW5Zvi7-2b7ZKca5ydnRhZ4VOSXpFh7mpbbmGgm2FoYKabrZuXDwC3ZiG6,https://serpapi.com/search.json?data_id=0xafff227957dc01%3A0x711d268305944a58&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xafff227957dc01%3A0x711d268305944a58&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJAdxXeSL_rwARWEqUBYMmHXE,"Canas, MG",lojas_presentes,2025-07-28T18:03:41.319197,COMPLETA
8,Arte em Comemorar | Cestas e Presentes Personalizados em BH,ChIJkb72lt6XpgAR7mNnvlTaBg8,0xa697de96f6be91:0xf06da54be6763ee,1082792817935737838,/g/11nmlv7bzw,4.9,150,Loja de cestas de presente,"Loja de cestas de presente, Chocolateria, Loja de chocolates, Doceria, Loja de presentes, Confeitaria",gift_basket_store,"R. Pedra Bonita, 695 - Prado, Belo Horizonte - MG, 30411-216, Brasil",-19.929520999999998,-43.965076599999996,+55 31 3653-3109,https://arteemcomemorar.com.br/,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–17:00; terça-feira: 07:00–17:00; quarta-feira: 07:00–17:00; quinta-feira: 07:00–17:00; sexta-feira: 07:00–17:00; sábado: 07:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no9ssOEmoSHPlitUJwfcYqbjdABdmpIDH4fkyPr4ro-IKgdlIgUAu_fIW08IQMlZOFvFllkTDX30FNp5W5_gg2Pn0zxX_hwNJB98kqkjSIhwSuX8jX0xWFm08q-2PbMfTaGKS_O=w80-h142-k-no,https://serpapi.com/images/url/Nln8CnicBcFtDoIgAADQE5FktmFbPywzsZU2a1p_XPkBCYIKZnW_DtFteu_3pVq3amEYnM4mRErCy0GVfS6FLoWe5LIxSKtAroAynLVNLSFtpcJNI2M_4g99DsYqv3T3unBWRdNi17cq9o56q5cA70jBMTk7Q1bhBCJ83PNr6D09ztnJTWfQO7TzZJ4RYkYCfl5pRsdDsLIR61gdYzrGQ4rqFL4Sr4GoA2Z031en23YXZ-FyRBDQqWUCBoT8AzmSRQ4,https://serpapi.com/search.json?data_id=0xa697de96f6be91%3A0xf06da54be6763ee&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa697de96f6be91%3A0xf06da54be6763ee&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkb72lt6XpgAR7mNnvlTaBg8,"Canas, MG",lojas_presentes,2025-07-28T18:03:41.319197,COMPLETA
9,Marena Presentes,ChIJ0ZLGWKVTrpQRdhRZKpbhMNY,0x94ae53a558c692d1:0xd630e1962a591476,15434083958070514806,/g/11m_frq9fx,4.8,4,Loja de presentes,Loja de presentes,novelty_store,"R. Tamôios, 273 - Centro, Guimarânia - MG, 38730-000, Brasil",-18.8446292,-46.7938967,+55 34 99813-5893,,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–17:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nouG7Xm06glBiytJgxmbuirTWpWLSVxdBrEufk5Y5MKr0HqJ_e3_Zy8C4ForBxKOS0pU8cK-MW3X88jOBoL0bsjuA07TwhEV16WD3MSTTBaMzb9sfgfH3OQlKB4Z0T2eXUFgPDG=w122-h92-k-no,https://serpapi.com/images/url/uMyAsnicBcFJDoIwAADAF1UqBQUTD9Y1IkFDEeRiBEurAsUuEf2fj_A3zvy-XOtOTSyr5mjAhGA1NYrKUrSatnpQisZinQKlAsqazX3utMKsx1kDR6zGt7fesr4pzE2StEt38bG_Yrk01cM9uWEg4ea5PVN0zt_e3FkJifsgimGXeGUAwhRlnnePsNjBQt3NDI7Jiy-Pw1G6QGFMCL6En8JXFas2KDrUAXZySGyaJSu2X6ynr6FtA-7b4AFa8Qfa0UN5,https://serpapi.com/search.json?data_id=0x94ae53a558c692d1%3A0xd630e1962a591476&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ae53a558c692d1%3A0xd630e1962a591476&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ0ZLGWKVTrpQRdhRZKpbhMNY,"Canas, MG",lojas_presentes,2025-07-28T18:03:41.319197,COMPLETA
10,Dê Presentes,ChIJW-SOHhmOpgARHhDgkMWzDM8,0xa68e191e8ee45b:0xcf0cb3c590e0101e,14919497326692143134,/g/1pty39_fk,4.8,9,Loja de presentes,"Loja de presentes, Loja de Presentes",novelty_store,"R. Josué Martins de Souza, 447 - Lagoa, Belo Horizonte - MG, 31578-000, Brasil",-19.8074233,-44.0025358,+55 31 99330-9873,https://www.magazineluiza.com.br/lojista/depresentes/,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–12:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqZ2xWsrsa7q51ZQGuXY4e9a8sqtCe-63lN19MWAIKhydMtnSmAGFHOslle-uOKCVVNN4avIbdn9BS2noc4ETz3mya91vOwx0-V436_1hxrgDbctFMnDgAK1pPQUC1MiZGxzrWItQ=w163-h92-k-no,https://serpapi.com/images/url/5yBrAnicBcFRboIwGADgE1Us7ZhdsgeGioQAIzrYeFmwNq1ZaYG_KHpBz7Db-H3_D-VcD2-epxVZSGulFhOIkVvjhHELbjtP9oA4IPDCiClqhsafaxihfR1ecFPG0_cPFaxdweAigQKic8yyOkxSdTtlzuy7MN7uCtBaoKlIo6rKc9pekuPJsI-9byynm8OddLeW4UtxnZeooiT4xWoe5frI3TYzaxmmuP8svyKcnZt4vo914sr3Kw4IUsxHf8jYJy-vRMA,https://serpapi.com/search.json?data_id=0xa68e191e8ee45b%3A0xcf0cb3c590e0101e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa68e191e8ee45b%3A0xcf0cb3c590e0101e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJW-SOHhmOpgARHhDgkMWzDM8,"Canas, MG",lojas_presentes,2025-07-28T18:03:41.319197,COMPLETA
