position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Meninas do Rio,ChIJQ_IOCTXNowARZOU8DlgvCx0,0xa3cd35090ef243:0x1d0b2f580e3ce564,2092818507086226788,/g/11fmp7c59z,,0,Artesanato,Artesanato,handicraft,"R. Avelina Damasceno, 193, Capela Nova - MG, 36290-000, Brasil",-20.929254699999998,-43.6250825,+55 31 98312-5760,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:00; terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–11:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipPm1FxxG9XWOOH5R_vSiA60-_XYuNQmtu6A5oKb=w122-h92-k-no,https://serpapi.com/images/url/LkH9oXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkGvoVlHhbhkR7u_vYRoUXxac6WhmoBsfEVnqF5hbUmrmaJrvnWRbbmhkpJthaaSbrZuXDwCbHiDe,https://serpapi.com/search.json?data_id=0xa3cd35090ef243%3A0x1d0b2f580e3ce564&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3cd35090ef243%3A0x1d0b2f580e3ce564&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJQ_IOCTXNowARZOU8DlgvCx0,"Capela Nova, MG",lojas_artesanato,2025-07-28T18:09:34.687059,COMPLETA
2,Papelaria Arte e Cia,ChIJoSS1L0PNowAReBgSosOxSKQ,0xa3cd432fb524a1:0xa448b1c3a2121878,11837907074339182712,/g/11n83hmt0v,5,3,Papelaria,Papelaria,stationery_store,"R. Cônego José A. Henriques, 391-221, Capela Nova - MG, 36290-000, Brasil",-20.9251018,-43.619923,+55 31 98120-0308,https://instagram.com/papelariaartecia?utm_medium=copy_link,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrJtUWdFsH_7DJewpqeamtzDUXjZTW1vwGL16T7Q10luRS0wfqM2nDGRhysil30KT923bBgQe7JGgmQv01YQQLNFEBXDIPXJRjmzMJmsdzwRMsuDpBq4UsQjctT4osMMVAUDzQJ=w92-h92-k-no,https://serpapi.com/images/url/U-Z39HicDcPdboIwGADQJ0J-M8ISL8QqW2cXiyDojdmwa8doC37FRp7Pl9jb6EnO_10Y08Or63YinHGtecdGYJdGK8OUmTVaurwHpwEH3MUyEZG6YFNW5zW8nWKEme0H9iXNhMq6PRaVf7XZxn8pYup73ZjvPPszkEChLBc3-O1C76NIgvA75ZTFOOOSXj3_QOnmc71Ka_S-rXHeyolgCefJ5gRG1KdDVAJtG1NEGgjZL0o0UTy3SeCI5z9H6Qed60SW,https://serpapi.com/search.json?data_id=0xa3cd432fb524a1%3A0xa448b1c3a2121878&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3cd432fb524a1%3A0xa448b1c3a2121878&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJoSS1L0PNowAReBgSosOxSKQ,"Capela Nova, MG",lojas_artesanato,2025-07-28T18:09:34.687059,COMPLETA
1,Cristal Móveis,ChIJdWL7r0XNowARVQeUk1a3-0Y,0xa3cd45affb6275:0x46fbb75693940755,5114883384280352597,/g/11h6db2yqh,5,5,Loja de móveis,Loja de móveis,furniture_store,"R. Taquaral, 304, Capela Nova - MG, 36290-000, Brasil",-20.9271532,-43.6232915,+55 31 98304-0340,,Fecha em breve ⋅ 18:30 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:30 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:30; terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–16:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrRfhEegqCmqDIg4RfSzsdJyn8z6qkJE0XyCuiyYfoW_9x-MVfnsccj0a14PTq2lytwsxcmqgofEP1lossT8FfFnnaviMPFSpI8awT5QRdXV_4YUrBETVNX_9TCaiz6qi234__v=w80-h106-k-no,https://serpapi.com/images/url/zCYvQ3icDc1hDoIgGADQE5Fa1LStH2W61VYzI7NfzJGApSB-lNn9OkS3qXeB9_1Ia1uYO04tJyOhtajLB5Qd08qWyo6YbhzRAmKAwFmGgcSqS7mMSmHCxqw3Aqf8-IbrdlD-e2bu28jNh_BRDReuzzR4oV3GFTB2cwsPJ8SM68H28GKNEZpHiVdrAOLHPFaqeFa7JD62G7_oyfSQXvOM4supW0Uk2-c0IGFR_YtqPMGUPhe97yLpuTN0R0r_ALanRqA,https://serpapi.com/search.json?data_id=0xa3cd45affb6275%3A0x46fbb75693940755&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3cd45affb6275%3A0x46fbb75693940755&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJdWL7r0XNowARVQeUk1a3-0Y,"Capela Nova, MG",lojas_decoracao,2025-07-28T18:09:37.767411,COMPLETA
2,Maxx Gráfica,ChIJHXPgBzbNowARWoDKwBNSgJU,0xa3cd3607e0731d:0x95805213c0ca805a,10772700553462579290,/g/11hz31b338,5,43,Gráfica,"Gráfica, Gráfica de etiquetas personalizadas, Designer Gráfico, Loja de comunicação visual em vinil",commercial_printer,"R. Dias Machado, 12 - Centro, Capela Nova - MG, 36290-000, Brasil",-20.927588099999998,-43.6243763,+55 31 98249-4088,https://www.instagram.com/maxxgrafica,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: Fechado; domingo: Fechado,,,,,,,"""Ótimo atendimento e os produtos são de excelente qualidade.""",https://lh3.googleusercontent.com/p/AF1QipMCcBtDdyZurGX2nBFSgMxSojwHWHhqHgvYdpVj=w80-h142-k-no,https://serpapi.com/images/url/oLR2DHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng65zsVOKSUhlVWuQeYZTn5Bac7lsRnJ9V7hHukVHokV4WmVIQlmVbbmGgm2FoYqSbrZuXDwDESCI8,https://serpapi.com/search.json?data_id=0xa3cd3607e0731d%3A0x95805213c0ca805a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3cd3607e0731d%3A0x95805213c0ca805a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJHXPgBzbNowARWoDKwBNSgJU,"Capela Nova, MG",lojas_decoracao,2025-07-28T18:09:37.767411,COMPLETA
3,JM CASA & MODA,ChIJs9KlVIrNowARciOVJ90jjvw,0xa3cd8a54a5d2b3:0xfc8e23dd27952372,18198522577009582962,/g/11xgpc2zh8,,0,Loja de Roupa,"Loja de Roupa, Loja de artigos para cama, mesa e banho",clothing_store,"R. Cônego José A. Henriques, 36 - Centro, Capela Nova - MG, 36290-000, Brasil",-20.9243469,-43.6190189,+55 31 98362-6552,https://www.instagram.com/jm_casa_moda/,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–17:30; terça-feira: 08:30–17:30; quarta-feira: 08:30–17:30; quinta-feira: 08:30–17:30; sexta-feira: 08:30–17:30; sábado: 08:30–13:00; domingo: Fechado,,,,"Aceita somente dinheiro, Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=y_F7uD-okYd-H5KhWOABlw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=320.88223&pitch=0&thumbfov=100,https://serpapi.com/images/url/WP5QQ3icHc1RCsIgGADg2_g2dY5oBRJFRNBDj9HTcM5Ucvt_ppvtNl2r2xRd4Ps-b5cSxi1jMY3GpNmbjP5lQixQUQtgg1HoI9XQs7lkyU19OygfdqgG8J1cmtN6OhbwvHfFeXVxt-v-EDLRbaODN0OS0ahRO2rzTxyhoxYjybLmxMmNIIvKshKc1rUQFUGftJOc_JcHzLLk_AtiHzk_,https://serpapi.com/search.json?data_id=0xa3cd8a54a5d2b3%3A0xfc8e23dd27952372&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3cd8a54a5d2b3%3A0xfc8e23dd27952372&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJs9KlVIrNowARciOVJ90jjvw,"Capela Nova, MG",lojas_decoracao,2025-07-28T18:09:37.767411,COMPLETA
4,Estofados Auxiliadora,ChIJ6aCWjHfOowARsyNx3Bjer5I,0xa3ce778c96a0e9:0x92afde18dc7123b3,10569911048820827059,/g/11y750s2x1,,0,Loja de móveis,Loja de móveis,furniture_store,"MG-275, Capela Nova - MG, 36290-000, Brasil",-20.918463499999998,-43.609103399999995,,,,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NwEoPaUIwY4TMtn7hIZJMA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=344.68063&pitch=0&thumbfov=100,https://serpapi.com/images/url/eDGlSnicHc0xDsIgFADQ27AJaJtaTX6Mg0NNahx00MVQikBCgZRv0dt4LW-j8QLvfd4GMaY1YwlHpXCyKkf7VC7NoqA6BO2UiDZRGQY2zRmax9B5Yd0mCh9sD4e8C0dxbvKlPLXol6a57tstkd1NOqs8QlJilIbq_BPH0FMdE8lQc2JgtSAvkaEoS1rVvCpItCgNcPJf7mGCOedfdL05cw,https://serpapi.com/search.json?data_id=0xa3ce778c96a0e9%3A0x92afde18dc7123b3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3ce778c96a0e9%3A0x92afde18dc7123b3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6aCWjHfOowARsyNx3Bjer5I,"Capela Nova, MG",lojas_decoracao,2025-07-28T18:09:37.767411,COMPLETA
5,São Jorge Supermercado Smart,ChIJQ0cB0-fNowARlmkeVkCzulc,0xa3cde7d3014743:0x57bab340561e6996,6321562115872024982,/g/11byl8fp5_,4.3,233,Supermercado,Supermercado,supermarket,"R. Cônego José A. Henriques, 218, Capela Nova - MG, 36290-000, Brasil",-20.925089099999997,-43.6205253,+55 31 3727-1355,http://www.facebook.com/saojorgesupermercado,Aberto ⋅ Fecha às 20:00,Aberto ⋅ Fecha às 20:00,segunda-feira: 08:00–20:00; terça-feira: 08:00–20:00; quarta-feira: 08:00–20:00; quinta-feira: 08:00–20:00; sexta-feira: 08:00–20:00; sábado: 08:00–20:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC, Pluxee","Entrega sem contato, Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrV7yhF7M9j9XCbQZlkdjBhocG-fdb1mSsNXRy7wTng3lDdI74A9sA_pkk57s_XKXRH6DwEov-LcF9VBRYhtGXMKzAK7pdQGpCglExP_z0AQ6clx0WdLmAi1DR53CRNwgLQ2QI=w80-h106-k-no,https://serpapi.com/images/url/34rNY3icBcFRbsIgAADQE2Fbq2WY-IGtdqbVCC6O7aeJUEFLgQiu6vl2CW_je69_FYLzsyjSKh1Ja6Vub769cmtCa8KI2z6SzgPugY9wjtTEXA_woVZwgy6I5UfyqztxWSjLS3ASx6Tf-y2jDzh8GZnqQqzhBCOPG9d1U-gbVjH6mRXD0v6Bmq_QYUF_VCjZpnriCjpBSpdLvbzvmmeMScb1Pf4WdY_PSUGnaU63g6zJmKznw0cMVBJnoAPGvgFmhENB,https://serpapi.com/search.json?data_id=0xa3cde7d3014743%3A0x57bab340561e6996&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3cde7d3014743%3A0x57bab340561e6996&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJQ0cB0-fNowARlmkeVkCzulc,"Capela Nova, MG",lojas_decoracao,2025-07-28T18:09:37.767411,COMPLETA
2,Igreja Nossa Senhora das Dores,ChIJ4XxQf-fNowAR43XI6amg8L4,0xa3cde77f507ce1:0xbef0a0a9e9c875e3,13758673513249011171,/g/11bbrh8j4h,4.7,70,Igreja católica,Igreja católica,catholic_church,"Capela Nova - MG, 36290-000, Brasil",-20.923842699999998,-43.6184831,+55 31 3727-1172,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–16:00; terça-feira: 08:00–16:00; quarta-feira: 08:00–16:00; quinta-feira: 08:00–16:00; sexta-feira: 08:00–16:00; sábado: 08:00–16:00; domingo: 08:00–16:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Bem conservada e pintada.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrnfFYnTjmM8n708RKPB69tPXnZGytbxQS8Hx2FalzuqfjSfyTXPgE25X0Epw4sgSk8bl0-MSv7CKSLjYrW2mGWy1RqZckEN_ni-lTG6cyN0GQisBDGUGw1diqc88w1tUXEQ3ywQQ=w80-h142-k-no,https://serpapi.com/images/url/4jiC6nicBcHdboIwGADQJ6oUZFqX7GIqdonTUIsRvVm0g_JTvgKtq90L-gx7m53z96ys7c1rEKhqOpFaS1XcTTEKDbYAOxG6C2RvkDDIBO-rRRXDCOXmDFnT7QjMMTls0-VsYdMcLtTb24Nx8vGINlf1ex_Khpc-y1OZRC85TnoXG8lbclMY7fjPfLXln815PEUdPfnwMFxEm-y_oEYqozPh95iy2izX9Ehd-F0PghAX2mOesKl3jL05glEVxhFqEeh_bgFFNQ,https://serpapi.com/search.json?data_id=0xa3cde77f507ce1%3A0xbef0a0a9e9c875e3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3cde77f507ce1%3A0xbef0a0a9e9c875e3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ4XxQf-fNowAR43XI6amg8L4,"Capela Nova, MG",galerias_arte,2025-07-28T18:09:40.838411,COMPLETA
3,EMATER MG,ChIJyZ-zceHNowARoefPPv77mVw,0xa3cde171b39fc9:0x5c99fbfe3ecfe7a1,6672641392320178081,/g/1ptyg4_06,5,2,Organização agrícola,Organização agrícola,agricultural_organization,"Rua Vigário Vigário Ferreira Paiva, 409, Capela Nova - MG, 36290-000, Brasil",-20.9209724,-43.6216261,+55 31 3727-1102,https://www.emater.mg.gov.br/,,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VwQW1WGoOmreqTfB7oxhNA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=290.28717&pitch=0&thumbfov=100,https://serpapi.com/images/url/7u8oNXicHc1LDsIgFADA27CTTzdtTYjRjTuNibFLQ-krkNA-BCz1Nl7L22i8wMznbXMOactYyhEgLw5KcCv4tAmKGkTjQQWXqMaJLYJl-5z6WTm_C2pGN8hbuXSiO-J5ivC4jocaV3vaE93ftXcwZ5lARW2pKT8x4kBNSKTIhhMr24q8VJFVy2nV1KImwWVtJSf_ZcRFCs6_kkw51A,https://serpapi.com/search.json?data_id=0xa3cde171b39fc9%3A0x5c99fbfe3ecfe7a1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3cde171b39fc9%3A0x5c99fbfe3ecfe7a1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJyZ-zceHNowARoefPPv77mVw,"Capela Nova, MG",galerias_arte,2025-07-28T18:09:40.838411,COMPLETA
4,Dayano Danyel Fotografias | Ensaio - Book Gestante | Fotógrafo de Casamento,ChIJOVAXPlvNowARXor3kJTSQS8,0xa3cd5b3e175039:0x2f41d29490f78a5e,3405234328797940318,/g/11hfgd52xz,5,2,Fotógrafo,"Fotógrafo, Serviço de fotografia, Estúdio de fotografia, Fotógrafo de casamento",photographer,"R. Otávio Rodrigues, 148 - Centro, Capela Nova - MG, 36290-000, Brasil",-20.9220492,-43.6147639,+55 31 98306-3109,https://instagram.com/dayanodanyel/,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:00; terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 07:00–18:00; domingo: Fechado,,,,,,,,https://lh3.googleusercontent.com/p/AF1QipNOLCARdD_X9dHq88uwRhbCSjQLzvHMNrs3wF94=w163-h92-k-no,https://serpapi.com/images/url/D-jGcHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng5-_j7BiU4hIfYZniUWhhUVoelJHkHJwV6FNV5uHrV1RsXO5maWJbbmhmrJthaaSbrZuXDwChZSEa,https://serpapi.com/search.json?data_id=0xa3cd5b3e175039%3A0x2f41d29490f78a5e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3cd5b3e175039%3A0x2f41d29490f78a5e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJOVAXPlvNowARXor3kJTSQS8,"Capela Nova, MG",galerias_arte,2025-07-28T18:09:40.838411,COMPLETA
