position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Capela do Saco,ChIJS8HpsjuGnwARLoKWawFM5oU,0x9f863bb2e9c14b:0x85e64c016b96822e,9648482820671570478,/g/1ymy6tjt6,,0,,,,"Carrancas - MG, 37245-000, Brasil",-21.3413976,-44.542559,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noo5hi9uRP9NXbfZyrVnBvN0gPyKBELBCwTrSj-BAmoqFqLZVoqpeNHpEjeZTLzIDp2RuRgoislByR_mK1PGVD-kFyiYwatHg6X3YRgTmZc3m5uH93_eIMBhi5FnFAQOANAB1va=w204-h92-k-no,https://serpapi.com/images/url/VGYXzXicBcFBjoIwFADQE1UUxKQmLloVMSJihxBlY5TUFqX9hRYJc785xNzG9_7_pHPGLj2vkcFEAIiG95Z3FWjHtZtUoDxhLKossh5ZYznXAKGscc8ynF4ez3LsCk0_6VRk44FuE7oe8u7nhShR0EZtUhbQGp7GZvviZZ787jfGZz0TUNuGjuymDrNsV2zQOxrr63B3sVhcgisTuSqrQIV9jIMb3x-prMNIR-R8Iimhs899NfjTOZLYR2-k4Qs1wUUB,https://serpapi.com/search.json?data_id=0x9f863bb2e9c14b%3A0x85e64c016b96822e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f863bb2e9c14b%3A0x85e64c016b96822e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJS8HpsjuGnwARLoKWawFM5oU,"Capela do Saco, MG",lojas_presentes,2025-07-28T18:07:02.179117,COMPLETA
2,Balsa Capela do Saco - Caquende,ChIJx6vnoS-GnwARWf1S8FGbhaU,0x9f862fa1e7abc7:0xa5859b51f052fd59,11927109964387253593,/g/11c1nd0hz1,4.3,101,Serviço de barcas,Serviço de barcas,ferry_service,"Unnamed Road 37245-000, Carrancas - MG, Brasil",-21.3401186,-44.542822099999995,+55 35 3327-1081,,,,,,,,,,,"""No mais é legal fazer esse passeio!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq8bknUqcvtWNwXLc7KWeNxkRVkn_oBAn6lQmDmeK-p3xac_VZfwHkHDCfw_Oyk3lBM7WJPe6iyxVtH8ORSXlt2SurMOhBOd5TkeNSDtBmpxvmci5vTJXUtvdYFgdLApI-GspjK=w163-h92-k-no,https://serpapi.com/images/url/j531XHicBcHdEoFAGADQJ1oNkZ8ZF6UhohAVNw3batlf9lN5QA_hbZzz-1IAbSaWxandqZSqOHkb8sJKApHQwUpYlTYIG2QsdzamffkcXZk8PnENWdTkazwMMxK1bJ8yWSjPlQ7fCV-QEGm7veAiPd-agAX-7NYU8YfZ3NsMs9WWOPdPm0IwivdJzqGXvF-bmHpxOTgwEiU-eEK3tcD3QX1Y5Ueoy9O8KteuXqKF0Y9w2nQdG9FxDzEk1R-aR0bW,https://serpapi.com/search.json?data_id=0x9f862fa1e7abc7%3A0xa5859b51f052fd59&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f862fa1e7abc7%3A0xa5859b51f052fd59&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJx6vnoS-GnwARWf1S8FGbhaU,"Capela do Saco, MG",lojas_presentes,2025-07-28T18:07:02.179117,COMPLETA
1,Atelie Quintal das Artes,ChIJW-aiNhyVnwARGUiDAERH38s,0x9f951c36a2e65b:0xcbdf474400834819,14690538866897799193,/g/11kj6ql38r,5,4,Loja,Loja,store,"Praça Manoel Moreira, 356, Carrancas - MG, 37245-000, Brasil",-21.4875167,-44.642702799999995,+55 21 97917-6699,https://www.instagram.com/ateliequintaldasartes/?igshid=xftnma4ui4bn,Fechado ⋅ Abre qui. às 10:00,Fechado ⋅ Abre qui. às 10:00,segunda-feira: Fechado; terça-feira: Fechado; quarta-feira: Fechado; quinta-feira: 10:00–19:00; sexta-feira: 10:00–19:00; sábado: 09:00–19:00; domingo: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""O capricho e os detalhes de cada canto do Ateliê.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npptmg6OwivItRzsrHPfY01ShndUmsSpuN-2NQThMvtMkI3v_Ny871b9QAlDSpoF5GFuh6oG2nF4YeLuZ3hEi2H4hpxwNvwVsmBGUOdWotCCQtndK92Xu3hSNJlBvbgQMiFZ3qZ=w80-h106-k-no,https://serpapi.com/images/url/R4PxlnicBcFbcoIwFADQFUUeQZTO9ENRUFtikdoqP84ImMsISWpugnV_XYS76TnPP0BU-sVxOqAjLiXvGqObWyUFNgJHlewdrjSpNNHOLI4gEEphz8Pt0No17h76tvq4HF2vAFHve10ow4jP8k_ILGbXNbUn9judeOcon3WLQslknCYGQpn6IgmOzbspKSxbfxWAug_MDl-6n6f7bf0tMY5zFPVb5B8MhYJturk98zxrk5L-lK_D1CXguSG5EiH_AU7jRZY,https://serpapi.com/search.json?data_id=0x9f951c36a2e65b%3A0xcbdf474400834819&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f951c36a2e65b%3A0xcbdf474400834819&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJW-aiNhyVnwARGUiDAERH38s,"Capela do Saco, MG",lojas_artesanato,2025-07-28T18:07:05.229265,COMPLETA
2,Casa Maia,ChIJZ3HCsW-XpgARXyIrGCm8auI,0xa6976fb1c27167:0xe26abc29182b225f,16315059484788204127,/g/1tfsp6vs,4.9,53,Loja de artigos domésticos,"Loja de artigos domésticos, Loja de artigos natalinos, Decorador de interiores",home_goods_store,"Av. do Contorno, 8590 - Santo Agostinho, Belo Horizonte - MG, 33851-878, Brasil",-19.930783899999998,-43.9561014,+55 31 99964-1255,http://www.casamaia.com.br/,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Entrega no mesmo dia",,"""Lindos objetos de decoração e equipe atendimento atenciosa""",https://lh3.googleusercontent.com/p/AF1QipP6rfWO0QIoqXQxnS6U9J1df8aIpEpZ834E5l6f=w138-h92-k-no,https://serpapi.com/images/url/LTE1x3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYFaUFu5vEOiZXxgRWJEXbBZq6WWYkmaR6FngWhBlYWziappjlmZbbmhsoZthaaSbrZuXDwCZiCCZ,https://serpapi.com/search.json?data_id=0xa6976fb1c27167%3A0xe26abc29182b225f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6976fb1c27167%3A0xe26abc29182b225f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJZ3HCsW-XpgARXyIrGCm8auI,"Capela do Saco, MG",lojas_decoracao,2025-07-28T18:07:08.308395,COMPLETA
3,La Veni Decor,ChIJgVnUzCOVpgARXw-ShnWT5PQ,0xa69523ccd45981:0xf4e4937586920f5f,17646391372922621791,/g/11f7ndvhxb,4.9,34,Loja de artigos domésticos,"Loja de artigos domésticos, Loja de flores secas, Loja de móveis, Designer de interiores, Loja de Iluminação, Loja de presentes, Loja de plantas artificiais",home_goods_store,"R. Antônio Bernardino Muniz, 115 - loja 3 - Centro, Contagem - MG, 32040-630, Brasil",-19.9191368,-44.078742899999995,+55 31 2568-0555,https://lavenidecor.com.br/,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–14:00; domingo: Fechado,,,Assento com acessibilidade para pessoas em cadeira de rodas,"Aceita somente dinheiro, Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local, Entrega no mesmo dia",,"""Excelente atendimento, peças sempre lindas e muita variedade de produtos.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npQEcHN9DP6v0Xjzuk2aSNpOcedmwMeGrRDwUPcLSeDRiypmDi7njj6E2W5mek_7ZrQmLxFRXm7Uhj3RTJEXwgnGTX_0IrJAK_31I4-r5HawJdPrWuCOAmkZyxlwKh0nHcpj0dQziBN_daR=w122-h92-k-no,https://serpapi.com/images/url/i2Pf43icBcFLjoIwAADQE1WwqAQTF4wwIjoIVSNxQ0hpKIV-0oJV7-gBvM289_3QcVRm7TgD9WatlO1AJkM0lmIkYpxhyZ1WGYANME64DehCqCLGSRZE-erhluw99bA-Z-qEScPtH9lpFNlrjo9nEqHupXjU-YKxVQxvS076yr_rgh-fv6jk_pUyD13SuLSt2F3Kyt3rNDxU3ny_AHqZ1DZtcn2btqeQ9_fXc7AH6ooEK-Y2xbv7yaqmRhs7hxDQAIIeCPkPUwtILw,https://serpapi.com/search.json?data_id=0xa69523ccd45981%3A0xf4e4937586920f5f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69523ccd45981%3A0xf4e4937586920f5f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJgVnUzCOVpgARXw-ShnWT5PQ,"Capela do Saco, MG",lojas_decoracao,2025-07-28T18:07:08.308395,COMPLETA
4,Decora Online,ChIJYchhPyO_pgARaNxWRnGs9MA,0xa6bf233f61c861:0xc0f4ac714656dc68,13903927552110943336,/g/11fjmdz072,4.9,12,Designer de interiores,"Designer de interiores, Loja de móveis, Decorador de interiores, Loja de papel de parede",interior_designer,"Av. Sinfrônio Brochado, 1410 - Barreiro, Belo Horizonte - MG, 30640-000, Brasil",-19.978071,-44.025873399999995,+55 31 3384-5000,https://www.decoraonline.com.br/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:00; terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–16:00; sábado: Fechado; domingo: Fechado,,,,,"Estimativas on-line, Serviços no local",,"""Melhor loja de quadros!""",https://lh3.googleusercontent.com/p/AF1QipPbo1-8GM6pvJzln0gJQlD7N_68OCqhWZl2gwI9=w122-h92-k-no,https://serpapi.com/images/url/hfBOAnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkJRvqGvh7mtWUOZVlZNnkO4VmONi7hdvZuHvXJgRHpVjlF7uaWlbbmhkpJthaaSbrZuXDwCYCyDK,https://serpapi.com/search.json?data_id=0xa6bf233f61c861%3A0xc0f4ac714656dc68&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bf233f61c861%3A0xc0f4ac714656dc68&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJYchhPyO_pgARaNxWRnGs9MA,"Capela do Saco, MG",lojas_decoracao,2025-07-28T18:07:08.308395,COMPLETA
5,Blessed Decor,ChIJs3abVcm_pgARLGSfXdpA8wA,0xa6bfc9559b76b3:0xf340da5d9f642c,68469725958464556,/g/11thlm_g3s,5,50,Loja de cortinas e persianas,"Loja de cortinas e persianas, Loja de persianas, Loja de Cortina",window_treatment_store,"R. Coroa de Frade, 625 - Mangueiras, Belo Horizonte - MG, 30666-230, Brasil",-20.0118388,-44.034064199999996,+55 31 99749-2709,https://blessedcortinas.com.br/?utm_source=ficha_do_google&utm_medium=rede_de_pesquisa&utm_campaign=organic&utm_content=link_na_ficha,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Estimativas on-line, Entrega",,"""Ótimos preços, produtos de qualidade e um ótimo atendimento.""",https://lh3.googleusercontent.com/p/AF1QipNx8hBH1kygAn5U5EXzgNDpFv_y1_tIY-B3zTxc=w122-h92-k-no,https://serpapi.com/images/url/hyA_DHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngV2GR4eRhmF2Z7phnGmrqGlGV7udS4FYWX2kYX-IZqetkXBVSkWxbbmhkpJthaaSbrZuXDwCppiFW,https://serpapi.com/search.json?data_id=0xa6bfc9559b76b3%3A0xf340da5d9f642c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bfc9559b76b3%3A0xf340da5d9f642c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJs3abVcm_pgARLGSfXdpA8wA,"Capela do Saco, MG",lojas_decoracao,2025-07-28T18:07:08.308395,COMPLETA
6,"Conquista Decora - Cortinas Contagem, BH e Região",ChIJqduVYO2_pgARgD1yxNgIxSg,0xa6bfed6095dba9:0x28c508d8c4723d80,2937764059030896000,/g/11frkctyzg,5,15,Loja de cortinas e persianas,"Loja de cortinas e persianas, Loja de persianas, Loja de papel de parede",window_treatment_store,"R. Dr. Olegário Ribeiro - Industrial, Contagem - MG, 32230-540, Brasil",-19.9733734,-44.0333845,+55 31 98294-4614,"https://api.whatsapp.com/send?phone=5531982944614&text=Ol%C3%A1,%20te%20achei%20no%20Google%20e%20gostaria%20de%20solicitar%20um%20or%C3%A7amento.%20Pode%20me%20ajudar?",Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Estimativas on-line,,"""O resultado final é excelente e o preço é justo.""",https://lh3.googleusercontent.com/p/AF1QipMN6x-Hr7ZXPU-DKopxO8sXAYHeKxjvcrk8JGED=w80-h142-k-no,https://serpapi.com/images/url/0koUx3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng62dWoetRZB4VERCq6-KdX1Dhb1Ec4RjpkepdkVWWXJRt4eXu6mJbbmGgm2FoYqSbrZuXDwCfUCEV,https://serpapi.com/search.json?data_id=0xa6bfed6095dba9%3A0x28c508d8c4723d80&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bfed6095dba9%3A0x28c508d8c4723d80&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJqduVYO2_pgARgD1yxNgIxSg,"Capela do Saco, MG",lojas_decoracao,2025-07-28T18:07:08.308395,COMPLETA
7,Goulart Decorações - Cortinas e Persianas,ChIJPcAQx8G_pgARtdc6sl_O7lI,0xa6bfc1c710c03d:0x52eece5fb23ad7b5,5975940665974642613,/g/11vwdpg2_n,5,15,Loja de cortinas e persianas,Loja de cortinas e persianas,window_treatment_store,"n° 1847, Av. Senador Levindo Coelho, loja 02 - Vale do Jatoba, Belo Horizonte - MG, 30668-230, Brasil",-20.0036474,-44.0351815,+55 31 3157-4135,https://www.instagram.com/goulartdecoracoes?igsh=MW8zOTVrOXhudDZxZA==,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,"segunda-feira: 08:30–12:00, 13:00–18:00; terça-feira: 08:30–12:00, 13:00–18:00; quarta-feira: 08:30–12:00, 13:00–18:00; quinta-feira: 08:30–12:00, 13:00–18:00; sexta-feira: 08:30–12:00, 13:00–18:00; sábado: Fechado; domingo: Fechado",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,"""Ótimo atendimento, preço excelente!""",https://lh3.googleusercontent.com/p/AF1QipOE_1PTNTVZrZ59jNBsEobek7TgMrM9eLaUyR6D=w122-h92-k-no,https://serpapi.com/images/url/hAVY7HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng7xpvGBDiFxIWVRRlapnl51Tsmp-Umm0eku5b5GuZ6pMYWhlk5mJbbmhkpJthaaSbrZuXDwCegCEB,https://serpapi.com/search.json?data_id=0xa6bfc1c710c03d%3A0x52eece5fb23ad7b5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bfc1c710c03d%3A0x52eece5fb23ad7b5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJPcAQx8G_pgARtdc6sl_O7lI,"Capela do Saco, MG",lojas_decoracao,2025-07-28T18:07:08.308395,COMPLETA
1,Galeria do Século XVIII - Boa Vista,ChIJNarPU6lZoQARxJf0yOYeYFQ,0xa159a953cfaa35:0x54601ee6c8f497c4,6079893473512953796,/g/11h46pygv_,5,2,Museu ao ar livre,Museu ao ar livre,open_air_museum,"Terreno entre o Boa Vista e a, Av. Bias Fortes, Congonhas - MG, 36415-000, Brasil",-20.5108455,-43.855751999999995,,,,,,,,,,,,,,,https://serpapi.com/search.json?data_id=0xa159a953cfaa35%3A0x54601ee6c8f497c4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa159a953cfaa35%3A0x54601ee6c8f497c4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJNarPU6lZoQARxJf0yOYeYFQ,"Capela do Saco, MG",galerias_arte,2025-07-28T18:07:11.430611,COMPLETA
