position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Total Utilidades,ChIJ-2vxnAvXowARz2zWAX7gm6g,0xa3d70b9cf16bfb:0xa89be07e01d66ccf,12149551251563375823,/g/11sb332d4h,5,1,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"Praça, R. Célso Resende - Centro, Caranaíba - MG, 36428-000, Brasil",-20.8763759,-43.74142,+55 31 98110-3583,https://instagram.com/totalutilidadess?igshid=YmMyMTA2M2Y=,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–13:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nra7vy3lH8oxTV0d1qxfAc9uwlAutD3rURFLTWMHriZ1ZA7R5PGt0GsPoKd4lFHMNvfuo8P_cCqQxK6gBmzMyKOEq--DH4LDix_hNIF3VPSqKvr_owm3_BGlJIuUWyo7emJPxyN=w122-h92-k-no,https://serpapi.com/images/url/9Uk2B3icBcFbcoIwFADQFUWEYJHO9ANBQBGa-mLGH8aJSJwGruQBwf11Ed2N5_z_MaWe8tOyOMOzBqDhtZa1oNCpulMzCq3VPCWiEkkrCH3mduLqDRPm6RLM8Ty_2b25B9TXIw-0irA47ePdscxT8bjYl8DbL0ii5okkkN1cHqd5Mdw1LElFw_7HZB_Nqn3lU_a97hGKUncXPUzFik2Mz-TQZ4OoYGxxtUr4dqNP5QRe3W6JmYqv0XYcxHwH_aIO3ufZRQ0,https://serpapi.com/search.json?data_id=0xa3d70b9cf16bfb%3A0xa89be07e01d66ccf&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3d70b9cf16bfb%3A0xa89be07e01d66ccf&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ-2vxnAvXowARz2zWAX7gm6g,"Caranaíba, MG",lojas_presentes,2025-07-28T18:12:29.932031,COMPLETA
2,Comercial Caranaíba,ChIJA619vc3XowAR9wktQ9X5A9s,0xa3d7cdbd7dad03:0xdb03f9d5432d09f7,15781732213586725367,/g/11g3gbt9vr,4.6,32,Supermercado,Supermercado,supermarket,"R. José Augusto de Resende, 37, Caranaíba - MG, 36428-000, Brasil",-20.8761834,-43.7413355,+55 31 98243-3107,,Fecha em breve ⋅ 18:30 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 18:30 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:30; terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–18:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC, Pluxee",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipNyuBiYDMU94PHRsVwfuv6pRsbNNiTkxk0TeTRz=w92-h92-k-no,https://serpapi.com/images/url/nKHtUXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngV1nqlBnp4htqaRLgEVQcVp5WWmZWEFSc5OeXGZJdkW0QkhoSVGVbbmmkmwHE2bp5-QCdPiHX,https://serpapi.com/search.json?data_id=0xa3d7cdbd7dad03%3A0xdb03f9d5432d09f7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3d7cdbd7dad03%3A0xdb03f9d5432d09f7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJA619vc3XowAR9wktQ9X5A9s,"Caranaíba, MG",lojas_presentes,2025-07-28T18:12:29.932031,COMPLETA
3,Casa Nossa Senhora da Glória,ChIJm311oJ7WowAR-zhnKaV3ExI,0xa3d69ea0757d9b:0x121377a5296738fb,1302516268488145147,/g/11c6v8xkjz,4.7,26,Supermercado,Supermercado,supermarket,"R. Maj. José Henriques, 34, Caranaíba - MG, 36428-000, Brasil",-20.8749268,-43.7378101,+55 31 3725-1105,,Fechado ⋅ Abre ter. às 06:30,Fechado ⋅ Abre ter. às 06:30,segunda-feira: 06:30–18:00; terça-feira: 06:30–18:00; quarta-feira: 06:30–18:00; quinta-feira: 06:30–18:00; sexta-feira: 06:30–18:00; sábado: 06:30–18:00; domingo: 08:00–11:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito",,,"""Ótimo atendimento e preços acessíveis.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4no_3y9r-Ed5DRXEt26gvPTsEfYn-5hsU0YJFlHKV7tSwje2vsNN71ELsIWwK1JZjIiQBOZJYYyyJKCLwwVQzGiU_QU2Zbtzu3AJiWR_64hjGU1awt0I4vI4xcE1eZgGfNqbE1RK=w80-h106-k-no,https://serpapi.com/images/url/95GkAnicBcFbcoIwFADQFUUIIFZn_PCRIsGhgqLCD1MxJlCaWG8k4v66CHfjOa9_ofUVJpbVCnfAleItuwO7VUpqJvWgUr8WvwKqAIE1W4yFJ1Xp9uMbIufhMj0S7fi82-yAXHKJhgIyO6ef7Sraj_TWNMzpII5HmKwhPJgI06IJ62T-VdA873saLdbG7JNnUGdlkjnFST_v7ozWh7T0PdEEGf422g69LvQeFcGs4MEl_jsRnEZT82EjgW0f_SCp3o4FQ9I,https://serpapi.com/search.json?data_id=0xa3d69ea0757d9b%3A0x121377a5296738fb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3d69ea0757d9b%3A0x121377a5296738fb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJm311oJ7WowAR-zhnKaV3ExI,"Caranaíba, MG",lojas_presentes,2025-07-28T18:12:29.932031,COMPLETA
4,Mercado da Cláudia,ChIJqTUgdnvXowAREo_RWT6tEnk,0xa3d77b762035a9:0x7912ad3e59d18f12,8724225911476555538,/g/11g1fq29mc,4.7,27,Mercado,Mercado,market,"R. Jacobe Henrique, 12-86, Caranaíba - MG, 36428-000, Brasil",-20.8752224,-43.738531699999996,,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: 08:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Supermercado ótimo tem de tudo""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npExFA3BX2i1ioTopx7Lc1be6Z1bEscOkzk2q_NEACZaD9P5cARmoed8yy9imWOhHKAbPCMbqdRihA0F9DQ0w5nmwo_0gHnkk0a9gf0prPgOIGLCdU1gDlVJSFpiIJipOyqBHCC=w163-h92-k-no,https://serpapi.com/images/url/v4c7JHicBcFbcoMgFADQFRFBmwed6QdBrUnTapO-Jj-ZiBQYlIvBjrH76yKym55z-9PD4MN9FLU6mSkA1cqfIC8C3CDdMBPQRcoHJAIKEeNU3zmfXXOWrL9iQwy8gb8ud4LUcnEkdRZEaX9t3J9eMsaP55RWc8H2HchmNU3UdJ-lLp5YXfHnum_2RjOc0_QVj3PXjXDCqnDW4jNV39hfKlVuHne8eScqbT-2h9ybzdb4curXBecPI1kkSNMYWeTgH6mYRDI,https://serpapi.com/search.json?data_id=0xa3d77b762035a9%3A0x7912ad3e59d18f12&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3d77b762035a9%3A0x7912ad3e59d18f12&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJqTUgdnvXowAREo_RWT6tEnk,"Caranaíba, MG",lojas_presentes,2025-07-28T18:12:29.932031,COMPLETA
5,Babalu Decoart,ChIJpRaX257WowARy6rity8XDLQ,0xa3d69edb9716a5:0xb40c172fb7e2aacb,12973770120263543499,/g/11c2k6glcw,4.3,3,Loja de artigos para festas,Loja de artigos para festas,party_store,"R. Elías Fernandes - Centro, Caranaíba - MG, 36428-000, Brasil",-20.875437599999998,-43.736296599999996,+55 31 3725-1351,http://babaludecoart.wixsite.com/babaludecoart,Aberto ⋅ Fecha às 20:00,Aberto ⋅ Fecha às 20:00,segunda-feira: 08:30–20:00; terça-feira: 08:30–20:00; quarta-feira: 08:30–20:00; quinta-feira: 08:30–20:00; sexta-feira: 08:30–20:00; sábado: 08:30–20:00; domingo: Fechado,,,,Cartão de crédito,"Entrega, Entrega no mesmo dia",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=LPiAu5Tz98cgMb-EtAO2Cg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=217.89543&pitch=0&thumbfov=100,https://serpapi.com/images/url/zi7v1XicHc3BDcIgFADQbbgVaLWxNSGmMd40evBuKEX4CS2k_II6jWu5jcYF3vu8LWKIW8YizlpjAp0DPLSLRZDUeG-clgEiVX5kqWRol7GfJLhdkJOHQRwv0C319dU2ypz64oDdudobovqbcqAnFFHLWVlq8k-c_UBNiCSLhhMr2oo8ZRZVuaFNW69XJAAqKzj5L3efRMn5F06cOQk,https://serpapi.com/search.json?data_id=0xa3d69edb9716a5%3A0xb40c172fb7e2aacb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3d69edb9716a5%3A0xb40c172fb7e2aacb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJpRaX257WowARy6rity8XDLQ,"Caranaíba, MG",lojas_presentes,2025-07-28T18:12:29.932031,COMPLETA
6,Rise,ChIJiynGRZ3WowARdpFPWPhswfc,0xa3d69d45c6298b:0xf7c16cf8584f9176,17852670211762655606,/g/11rgtz9bwt,5,1,Loja de Roupa,Loja de Roupa,clothing_store,"R. Antônio Francisco Amorim, 77 - Caranaiba, Caranaíba - MG, 36428-000, Brasil",-20.876551,-43.742275899999996,+55 31 98489-0567,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=VmjXDioohzjrehDzEqXiDQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=19.271217&pitch=0&thumbfov=100,https://serpapi.com/images/url/TLyVmXicHc1LDoIwEADQ23RnP2wQk8YNHsCNYWdKGdshham0UuU0XsvbaLzAe5-3zzmmgxApLwB5RSgRnxDSLhruiFwAEzFxS5NYlcj-MfWzwXCMZiYc9GUauxaJ_DYu4NvtdO-wPTPbX21AmLNOYBbruSs_caGBu5hY0XvJvG4q9jJFq4ZXtapUzSJm67Vk_-VGq1ZSfgHIwDpr,https://serpapi.com/search.json?data_id=0xa3d69d45c6298b%3A0xf7c16cf8584f9176&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3d69d45c6298b%3A0xf7c16cf8584f9176&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJiynGRZ3WowARdpFPWPhswfc,"Caranaíba, MG",lojas_presentes,2025-07-28T18:12:29.932031,COMPLETA
7,Sacolão da Sônia,ChIJiYs_AZnWowARQ_s3Ogs5d3Q,0xa3d699013f8b89:0x7477390b3a37fb43,8392239151012379459,/g/11g6bq6bvc,4.7,18,Mercado de frutas e vegetais,Mercado de frutas e vegetais,fruit_and_vegetable_store,"R. Januário Pereira Barbosa, 98, Caranaíba - MG, 36428-000, Brasil",-20.8723727,-43.7360342,+55 31 98349-1892,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Tudo muito fresco, pessoas muito simpáticas bom atendimento.""",https://lh3.googleusercontent.com/p/AF1QipNGabOGvm5eSZzQa9yUSlKdC4eWdLko2GokqiXZ=w92-h92-k-no,https://serpapi.com/images/url/KOisVnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng556Y5O9elmuaGhxVFZhoWRkanOOd4mySGp7ik51v5J6fXZgZEWVbbmmkmwHE2bp5-QCXiiGh,https://serpapi.com/search.json?data_id=0xa3d699013f8b89%3A0x7477390b3a37fb43&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3d699013f8b89%3A0x7477390b3a37fb43&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJiYs_AZnWowARQ_s3Ogs5d3Q,"Caranaíba, MG",lojas_presentes,2025-07-28T18:12:29.932031,COMPLETA
8,Point da Moda,ChIJDWLwei7XowARsnwh-uPaUoY,0xa3d72e7af0620d:0x8652dae3fa217cb2,9679039221861547186,/g/11f8jk887q,5,1,Loja de Roupa,Loja de Roupa,clothing_store,"Caranaíba - MG, 36428-000, Brasil",-20.8745792,-43.7373793,+55 31 3725-1281,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–15:00; terça-feira: 09:00–15:00; quarta-feira: 09:00–15:00; quinta-feira: 09:00–15:00; sexta-feira: 09:00–15:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no5cPoIrhUoQI9648T-vbVlT91wfbVpzYAvFklMrIcSFh7Rq04e3jWhGMM46he0mUVKKfnZghvsnjGBIggjBoa2vJvUUxxpkAm9l7TddWZGYHny-0Z3ZCVIfrprinWky_aJT2D7ZA=w163-h92-k-no,https://serpapi.com/images/url/YApBZnicBcHdboIwGADQJ6ogINglu0CNrBoS3fiJvVm0ln6D0taWVd0L7hn2Njvn7xemybiXIJAQz4TWQvJvxy3TauJqmjE9BsI4xBxyQb7GkCi9YAdNLNT6SHCaLCvkL42s8PzeXRrzc8r9dpClJexjC9n7LUx43LdQlGWSAg_HutnvO0UFeKf6YkWE6Ff6HPmdr-vHwwz5iGVWXa8tLU5v6olCGtN1Qzpr7Jdqh-fneVdFm4zmr_d5GiPAERqQ0v-AIkXk,https://serpapi.com/search.json?data_id=0xa3d72e7af0620d%3A0x8652dae3fa217cb2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3d72e7af0620d%3A0x8652dae3fa217cb2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJDWLwei7XowARsnwh-uPaUoY,"Caranaíba, MG",lojas_presentes,2025-07-28T18:12:29.932031,COMPLETA
9,Nossa Senhora da Glória,ChIJKXrNtZ3WowARRH5bqYVJMgY,0xa3d69db5cd7a29:0x6324985a95b7e44,446500151483924036,/g/11c5469124,4.7,46,Igreja católica,Igreja católica,catholic_church,"R. Célso Resende, 117-119, Caranaíba - MG, 36428-000, Brasil",-20.876167799999997,-43.7395521,+55 31 3725-1143,https://www.facebook.com/paroquiadogloria/,,,,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Excelente cidade!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npoKrRMs80FZ7CzsCnZ0oiqL5s_gzC7gBb9ETjOpnZMB7ns6xWQ74M8rB7t_Knrc7BQRAqUkOC0SOxf-t-44oApl3XF85Q6AVO7sqIHuYt-UecvHpu9SzBuHLtTZdihioymNbz8rdDI-G8=w163-h92-k-no,https://serpapi.com/images/url/nw3E3HicBcFbcoIwFADQFV3BgiR0ph8krcVRyuCjD36cMdIExSTkhtayxm7A3XjO7V95b_ExCDoVTaQxsmsGbJww2jfaT4S5BNIiCAQMMp6qWFuzdOsCaTivCR-R6zo0bb-a4V6OnEh2SF-2p9LqumBEY3L9qEhcUMeI3y-1E4RV66zfnUsebsrrN3iIY5PZLvqc01mVZO8lwX6RD18edo34ye2QbkY25Cu_rY-tas3f5e0wUnd8XsArffqdJhGo9AHOoM0dlRlGkQ,https://serpapi.com/search.json?data_id=0xa3d69db5cd7a29%3A0x6324985a95b7e44&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3d69db5cd7a29%3A0x6324985a95b7e44&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJKXrNtZ3WowARRH5bqYVJMgY,"Caranaíba, MG",lojas_presentes,2025-07-28T18:12:29.932031,COMPLETA
10,Moderninha Shoes,ChIJ_VYBPDbXowARWM8LgOc6n4E,0xa3d7363c0156fd:0x819f3ae7800bcf58,9340248918149812056,/g/11h4vv8hkq,5,1,Loja de calçado,Loja de calçado,shoe_store,"R. Randolfo Teixeira, 282 - centro, Caranaíba - MG, 36428-000, Brasil",-20.872425399999997,-43.7393214,+55 31 99851-9463,,Fechado ⋅ Abre ter. às 07:30,Fechado ⋅ Abre ter. às 07:30,segunda-feira: 07:30–17:30; terça-feira: 07:30–17:30; quarta-feira: 07:30–17:30; quinta-feira: 07:30–17:30; sexta-feira: 07:30–17:30; sábado: 09:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipP9vmtQVk3eSa7B7CjzklB4fvPUcRunxnQnb5Oh=w82-h92-k-no,https://serpapi.com/images/url/zcDHpHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYFmWWxIYlm2cGpxo7mTunFWVneNkklYWEJocVJpXkReYl2Tqn2FbbmGkm2FppJutm5cPAJmTIbk,https://serpapi.com/search.json?data_id=0xa3d7363c0156fd%3A0x819f3ae7800bcf58&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3d7363c0156fd%3A0x819f3ae7800bcf58&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_VYBPDbXowARWM8LgOc6n4E,"Caranaíba, MG",lojas_presentes,2025-07-28T18:12:29.932031,COMPLETA
