position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Mania Presentes e Utilidades,ChIJ5cCWguPxo5QRoySbMIgKuY0,0x94a3f1e38296c0e5:0x8db90a88309b24a3,10212205210086614179,/g/11g8bbkx58,4.8,168,Loja,Loja,store,"R. Tupaciguara, 101 - Flamengo, Monte Alegre de Minas - MG, 38475-000, Brasil",-18.8771556,-48.8754363,+55 34 3283-0075,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""Lá você encontra de tudo por um ótimo preço e um excelente atendimento""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npzJKHy65cAokEIBRxEcmFSBmRpGKwYe8LlxruS7fUVFSxpuv5QIipN1oHBrnjaZCrpd90VQ4q0cDQkrBhFbseMFYtzQbGwLe6pP1Qerg51Yhb5qAxzY-gbESufeacpy8xySySAYw=w80-h92-k-no-pi-0-ya240-ro0-fo100,https://serpapi.com/images/url/YLdYznicBcHdToMwGADQJ_pGmTDBxAuYsM1NY9e4pN5BLe0E2q4t8vOmZi_jOX936b1xT0HQyYeV0Fp0fHDcMq08V37FdB8I44A5cEG2TWWkzPJ63M-bmGW6LQ75eSpYX5K8P5vdcaQ8OXWTHchj83kpyWSG3xgfruY91Pvcqp_qa2vNd4ouOLoh9oJbm8uydvytpH7B9W488Y35CDG3Ig6prONbNi0URF2QoeEVM3MyzWQmGR2fxwSBTNfQgtJgroBgrtYRAqsRNDpE6B-wEkzM,https://serpapi.com/search.json?data_id=0x94a3f1e38296c0e5%3A0x8db90a88309b24a3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94a3f1e38296c0e5%3A0x8db90a88309b24a3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5cCWguPxo5QRoySbMIgKuY0,"Carmésia, MG",lojas_presentes,2025-07-28T18:19:36.130292,COMPLETA
2,Gio acessório,ChIJed2G9CmfrwARVQvRoycd9Nw,0xaf9f29f486dd79:0xdcf41d27a3d10b55,15921382638750862165,/g/11w9g4frwl,5,1,Loja de acessórios de moda,"Loja de acessórios de moda, Joalheria, Relojoaria",fashion_accessories_store,"R. Padre Antônio Carlos Vargas, 150, Carmésia - MG, 35878-000, Brasil",-19.0879868,-43.140717599999995,+55 31 98365-4728,https://www.instagram.com/bygio.acessorios?igsh=eGRkZ3R2Z3hwd3A3&utm_source=qr,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 09:00–19:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local",,"""Atendimento exelente!""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QHpL8W6G7yy1mfnEZ4KaAw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=251.55608&pitch=0&thumbfov=100,https://serpapi.com/images/url/E6c36nicHc1LCsIwFADA22RnPsXWKgRxIQq6cSW4kTSmyYM0eTSxsbfxWt5G8QIzn7fLGdOGsZRHY_IEpiC8jE8LVNTGaL1RCInqOLBJsOyeQxcU-C2qEOEhL0c8t9fmsJpnMfRhf1ue1K4Q3d21BxOyTEaN2lFbfuIYH9RiIkW2nDi5rsisiqxqQeu64S1ByNpJTv5LHycpOP8CXdA5Ow,https://serpapi.com/search.json?data_id=0xaf9f29f486dd79%3A0xdcf41d27a3d10b55&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf9f29f486dd79%3A0xdcf41d27a3d10b55&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJed2G9CmfrwARVQvRoycd9Nw,"Carmésia, MG",lojas_presentes,2025-07-28T18:19:36.130292,COMPLETA
3,"LOJA CASA DAS CESTAS, PRESENTES E DECORAÇÃO",ChIJwxtU2TwfVQcRB3mPokY6A4k,0x7551f3cd9541bc3:0x89033a46a28f7907,9872798883175692551,/g/11ghp1j6c8,5,5,Loja de artigos domésticos,"Loja de artigos domésticos, Loja de cestas de presente, Loja de Presentes, Papelaria",home_goods_store,"R. Júlia Veloso, 37 - centro, Brasília de Minas - MG, 39330-000, Brasil",-16.2100982,-44.430468999999995,+55 38 99976-8304,http://www.facebook.com/DiskEmocaoDecoracaoPresentes/?ref=bookmarks,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:00; terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noJHoAwbP3s5N1TLPTAahMqCECfs-DBFXEgX9PnK_FXV0K2GU2AN_fW0KWOqfkUKBGD2u-gLHXJFoTLUxg4x0AJCZzGdKrp7ngDVPgl4o9bIXnh1sBOTpzi38rkxtSycXqy2kpi=w122-h92-k-no,https://serpapi.com/images/url/-rEXiXicBcFBroIwFADAE1WgYJSf_EUBQSkqiaCNG6MIrQH7Cq0RvZ-H8DbOfD_CGKX_LKsT7oQD8K5-6HqoQJpamkkFd4srjSqNtEVCX3gS0iWQ5yV39XTjFFlekLNY9-EibDSKgpgtOPNzSU8x29sUJyUmm1NzsOlh2zdtSYMkwg_EsyVLYyiycuTeaJM0PL6TKx3UTPJon_POA_-yYlI4OtgW6n1z50M7mt2rYv0Lt-r2_3QwRsLHqEUSfisTQ8k,https://serpapi.com/search.json?data_id=0x7551f3cd9541bc3%3A0x89033a46a28f7907&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x7551f3cd9541bc3%3A0x89033a46a28f7907&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJwxtU2TwfVQcRB3mPokY6A4k,"Carmésia, MG",lojas_presentes,2025-07-28T18:19:36.130292,COMPLETA
4,Presente e Cia,ChIJ0d537h5Zr5QRs5ISNnpIqR8,0x94af591eee77ded1:0x1fa9487a361292b3,2281434375970263731,/g/11ff30yxk1,4.5,12,Loja de presentes,Loja de presentes,novelty_store,"R. Tiradentes, 265 - Centro, Abadia dos Dourados - MG, 38540-000, Brasil",-18.4822623,-47.4045548,+55 34 98835-6861,http://www.instagram.com/presente_ciaa,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Bom atendimento""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xgbFVQ8QxBa1JssRteUZ-g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=247.28012&pitch=0&thumbfov=100,https://serpapi.com/images/url/8fEswnicHc1LCsIwEADQ22TX_BCsQhBcuHBXQRduJI1jEkib0Bmbehuv5W0UL_De5x2ICm6FQJoAaI5QS1wgYVMs9zn7BLZE5C4PYlaCwnPoRxvTrtgxx7tZfH-4dG237K06Ip4IztfGM9ffXIowkkGwkwvc15845Tv3BVk1rWTBbDR72Wr0as11K5VmJZILRrL_8sizUVJ-AYUFOaM,https://serpapi.com/search.json?data_id=0x94af591eee77ded1%3A0x1fa9487a361292b3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94af591eee77ded1%3A0x1fa9487a361292b3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ0d537h5Zr5QRs5ISNnpIqR8,"Carmésia, MG",lojas_presentes,2025-07-28T18:19:36.130292,COMPLETA
5,Alquimia Presentes,ChIJIZlIO82KrpQRVx6-ZvsguL0,0x94ae8acd3b489921:0xbdb820fb66be1e57,13670712933015756375,/g/11bw7dc6yt,4.6,150,Loja de presentes,"Loja de presentes, Loja de cristais, Loja de produtos esotéricos, Loja de artigos religiosos",novelty_store,"Praça Santana, 375 - Centro, Patos de Minas - MG, 38700-048, Brasil",-18.587388,-46.511612299999996,+55 34 99103-2567,https://alquimiapresentes.com.br/,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 07:30,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 07:30,segunda-feira: 07:30–19:00; terça-feira: 07:30–19:00; quarta-feira: 07:30–19:00; quinta-feira: 07:30–19:00; sexta-feira: 07:30–19:00; sábado: 08:00–13:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Excelente atendimento e muitas opções para presentes!""",https://lh3.googleusercontent.com/p/AF1QipPiUNPJGHkXE0FUNtIE6PFdzvqWmV9WTIqpPHg=w80-h106-k-no,https://serpapi.com/images/url/9usoa3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkBnqF-Dl7pEd4WrgFupX4ulqFuCWUlVWGJ4bZhke4llYEOCRbltuYaCbYWhgpputm5cPAH6IINU,https://serpapi.com/search.json?data_id=0x94ae8acd3b489921%3A0xbdb820fb66be1e57&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ae8acd3b489921%3A0xbdb820fb66be1e57&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJIZlIO82KrpQRVx6-ZvsguL0,"Carmésia, MG",lojas_presentes,2025-07-28T18:19:36.130292,COMPLETA
6,D Tudo Presentes,ChIJW7cFoK_BsZQRDmo7Ljr8RHs,0x94b1c1afa005b75b:0x7b44fc3a2e3b6a0e,8882501691895409166,/g/1tf6hr8b,4.5,83,Loja de Presentes,Loja de Presentes,gift_shop,"Av. José Cambraia, 82 - Ibiá, MG, 38950-000, Brasil",-19.4848718,-46.543230099999995,+55 34 3631-1661,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento exelente""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noCaxtqQhT7izLN44OleL0Rz-0yXtN0_pfQha_e6cwVEy6nTxNB-dkYTMlEbHtgorVNhkzayekNPzBTntTAaAy6DM_0gD_hyB3d_D58uuTqvPCYSaldQFTvviiYGhccre4oru59Jg=w163-h92-k-no,https://serpapi.com/images/url/M8t0KHicBcHdboIwGADQJ6qwgWws2QU_umXRTmZj5KqppfYjdC3SgpYX9Bl8G8953MG53n4EgYJoIY2RSoxWDNxoJ7RbcPMfyN4ibpENsiKFWJuC3dylAvLWzhscx79KbMK_GYX-6HBI-3MFjIqEXw8rn2hywzlqupps1er07aQZDhi6mXnR4d2cE-1IxjKflFsaypKCz6OGlsv3cSSXaVfUe6aaak2mqW3rL-B8ELEZxmX6Iz-vL0mEIH1FHdLmCfLhRz0,https://serpapi.com/search.json?data_id=0x94b1c1afa005b75b%3A0x7b44fc3a2e3b6a0e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b1c1afa005b75b%3A0x7b44fc3a2e3b6a0e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJW7cFoK_BsZQRDmo7Ljr8RHs,"Carmésia, MG",lojas_presentes,2025-07-28T18:19:36.130292,COMPLETA
7,Carícia Presentes,ChIJb8qqOQDrpAAR3SpQHLP0aK4,0xa4eb0039aaca6f:0xae68f4b31c502add,12567563810288708317,/g/11y3q8pmxg,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"R. Antônio da Conceição Saraiva, 28, Rio Doce - MG, 35442-000, Brasil",-20.2453133,-42.894930599999995,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kp9fl7Wc28B7dfsNz5cf_w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=353.64777&pitch=0&thumbfov=100,https://serpapi.com/images/url/_oD5D3icHc3bDcIgFADQbfgTaGulNbkxcQB__Wwo5RVpuSlY1Glcy200LnDO5-1yxnRkLOVV67x5XdA_dEg7lNTGaIOW6BNVcWZbxbK7z-MifTihXKKf4Ia9CeKq6u4sJpMur1aZoRA1Dip4vWRIWq7KUVt-4honajGRAh0nDvqaPGWBpm3oYS-EIOizcsDJfzFxg4rzL37kOaU,https://serpapi.com/search.json?data_id=0xa4eb0039aaca6f%3A0xae68f4b31c502add&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4eb0039aaca6f%3A0xae68f4b31c502add&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJb8qqOQDrpAAR3SpQHLP0aK4,"Carmésia, MG",lojas_presentes,2025-07-28T18:19:36.130292,COMPLETA
8,Lukat Presentes,ChIJG404ufaHpwARqPnylQ4bEJE,0xa787f6b9388d1b:0x91101b0e95f2f9a8,10452884484586142120,/g/1ptzwr3j3,4.4,151,Loja de Brinquedos,Loja de Brinquedos,toy_store,"R. Padre João Porto, 709 - Centro, Pompéu - MG, 35640-000, Brasil",-19.218072199999998,-44.9983966,+55 37 99998-1099,http://lukat.com.br/,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–18:00; domingo: 08:30–12:30,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""atendimento excelente e várias opções de produtos""",https://lh3.googleusercontent.com/p/AF1QipPBAIRCnEhSDpHNPOOMk7uVBgKgVZgUYB2AB2G2=w80-h142-k-no,https://serpapi.com/images/url/blKZg3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4OToGeSc55oR7FLg4Rfg7--bbV4a5pTunR4WlR4a6WTk6GTkbmRbbmGgm2FoYqSbrZuXDwCPBSBJ,https://serpapi.com/search.json?data_id=0xa787f6b9388d1b%3A0x91101b0e95f2f9a8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa787f6b9388d1b%3A0x91101b0e95f2f9a8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJG404ufaHpwARqPnylQ4bEJE,"Carmésia, MG",lojas_presentes,2025-07-28T18:19:36.130292,COMPLETA
9,Detalhes Presentes,ChIJx9QxZe4BmZQRC5hm7r9PX4w,0x949901ee6531d4c7:0x8c5f4fbfee66980b,10114890973854472203,/g/11rwr1stkt,4.3,9,Loja de Presentes,Loja de Presentes,gift_shop,"R. Dr. Ulisses Guimarães, 1520 - Carneirinho, MG, 38290-000, Brasil",-19.6983909,-50.682133199999996,+55 34 3454-1092,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Loja muito linda com grande variedade em presentes""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqvAz7C6okFC9f_XceAKPcKbJ1owjXQNrldePh8TBFpQl0LCGA18DmREH5Lx35HJoTUSa__DBeYKwm_ttG60AYqXGGPaIHJhYHNz3zUnXKHC0lFRqxcGh5mIwzQRLRYv6_YyRyR=w80-h93-k-no,https://serpapi.com/images/url/p-rM7XicBcFRboIwAADQE1UwCMKSfdQ6WoEYqJrQr0a7SjNLC7YT5Xy7xG7je_9_yvvBfQSBVtGis7bT8tfJu7DGS-MXwvZBNzggHHABRJlamfEB5zVK7C1H2ZW3QsKyFuWlWNrpp232d_0ta5UeN_nQ6LBCGC7TbU-_SFw9o5gU9ng6nDnfbiQrp557j5MQsrHFuD7vSKEY2c_RfDJtSVCoczo-BVZxv5vmhlaUPRLOXvRFP6c0BCqLwA0Y-wZFN0Pj,https://serpapi.com/search.json?data_id=0x949901ee6531d4c7%3A0x8c5f4fbfee66980b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x949901ee6531d4c7%3A0x8c5f4fbfee66980b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJx9QxZe4BmZQRC5hm7r9PX4w,"Carmésia, MG",lojas_presentes,2025-07-28T18:19:36.130292,COMPLETA
10,Eliane Presentes,ChIJmYfAbwA9pwARWcuJq4PHiro,0xa73d006fc08799:0xba8ac783ab89cb59,13441775406173244249,/g/11grc89qzc,4,6,Loja de Conveniência,Loja de Conveniência,convenience_store,"R. Montes Claros, 372 - Santos Dumont, Pará de Minas - MG, 35660-332, Brasil",-19.8392762,-44.604142599999996,+55 37 3236-8116,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–12:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,"""Loja completa e com preço acessível.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrFL6D_HSKHWrVj84-4Xe1kw0BXU0c_p1-aWdyUn_Uphb_P4PdAT1hWz3aJHGXMwR5wfCSltn1bUS_3SOHRd9m0yNmfuvl-lxU3Nx_pc6k3MUVrMHAyNsuSsTJZtRHMekZ_zN6s=w163-h92-k-no,https://serpapi.com/images/url/ef3FH3icBcHhjoIgAADgJyLlMJe33Q-rFau0JpGuP6yQZInABM_s_e4h7m36vv8_6b1130GgJJo1xjRKDE703GgvtJ9x0wWNdYA74IJ0lchI95tDvGaY7HHZX56LCESVgO0YLisacmYhuJX1RDWjVt7ZKTrV6RnK8o1uO7ytsrGYj48VUV7DOyUMkSMu6qQLp7x7DL8KqBdF-YtZHrcoo5c-w-mUu4G48-7qC5yJ9sreeex-RhgjIJMv0AJtPoKQRJ0,https://serpapi.com/search.json?data_id=0xa73d006fc08799%3A0xba8ac783ab89cb59&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa73d006fc08799%3A0xba8ac783ab89cb59&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJmYfAbwA9pwARWcuJq4PHiro,"Carmésia, MG",lojas_presentes,2025-07-28T18:19:36.130292,COMPLETA
