position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Adega e Mercado Casa Grande,ChIJa7pQr457oQARFa0wrjWYCOk,0xa17b8eaf50ba6b:0xe9089835ae30ad15,16791838566974008597,/g/11h6qqncgj,4.8,25,Supermercado,"Supermercado, Fornecedor de bebidas",supermarket,"R. dos Andradas, 222, Casa Grande - MG, 36422-000, Brasil",-20.7933283,-43.9250324,+55 31 98115-6534,https://www.instagram.com/diskmercadocasagrande,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 06:30,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 06:30,segunda-feira: 06:30–19:00; terça-feira: 06:30–19:00; quarta-feira: 06:30–19:00; quinta-feira: 06:30–19:00; sexta-feira: 06:30–20:00; sábado: 06:30–20:00; domingo: 07:00–12:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC, Pluxee","Entrega sem contato, Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nocx8SXpMP1sLA9TPe8u5nuYXlOFpibTnzdRCZHyscsv7edTJzSxzAk4GQWxSrlLx8rzvXCKb76XqnfQjAtpotjnBpjdX9DvxGV_sc0w1dqXl-VqO6ym_J4g9ehKliyVv6cCw-h=w80-h106-k-no,https://serpapi.com/images/url/MgOkuHicBcFLDoIwFADAE1UgIoKJC8So8RM_EKxuSCyVirUtvAKF-3kIb-PM78u0VjCzLM7Go0LKgtMGaE2k0FToEZEfq1CACCCwwihgrpDE-DFWh5MD-zBITtRvJqK5YX5cqdcjEUN-ie6bHgi0U5on2yE2Q_h21-eriWu-N349tDjaPaYersTzXIZaSV2KhSpzHCxbs04zIHbn5BXmKK2OXv_Jtm4RULbjrz5tPRJ1iM0730bMsT30RkL-Aa4MR0k,https://serpapi.com/search.json?data_id=0xa17b8eaf50ba6b%3A0xe9089835ae30ad15&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa17b8eaf50ba6b%3A0xe9089835ae30ad15&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJa7pQr457oQARFa0wrjWYCOk,"Casa Grande, MG",lojas_presentes,2025-07-28T18:29:20.246555,COMPLETA
2,JACK Acessórios,ChIJNUoLm256oQARh814oozstc4,0xa17a6e9b0b4a35:0xceb5ec8ca278cd87,14895071431363186055,/g/11f3nb416q,,0,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"Av. Nico B Carvalho, 21, Casa Grande - MG, 36422-000, Brasil",-20.793193499999997,-43.9310063,,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=v50WDPL-FxH8Q4NpYr9YuA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=163.29073&pitch=0&thumbfov=100,https://serpapi.com/images/url/7uE1RXicHc1fCsIgHADg2_g2da0_WyARRPQQUU-xp3DOVHDzhzpdt-la3aboAt_3eesYIWwJCdFLGZORGcwsbSiAY-WcspKDCVi4gaSSRD0N3ciN3QEfnelZWtH74XoujvOpvi0v0PqmnfZIdA9hjRwjC5J7obHKP9G7HisIKLOaIs2aBXrxzMp1hRcN3VQITBSaUfRfni6xktIvPGY42g,https://serpapi.com/search.json?data_id=0xa17a6e9b0b4a35%3A0xceb5ec8ca278cd87&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa17a6e9b0b4a35%3A0xceb5ec8ca278cd87&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJNUoLm256oQARh814oozstc4,"Casa Grande, MG",lojas_presentes,2025-07-28T18:29:20.246555,COMPLETA
3,Múltipla Escolha,ChIJXWghPWl6oQARP4D_SIiCqhc,0xa17a693d21685d:0x17aa828848ff803f,1705318930765021247,/g/11fxcg0d6z,,0,Loja de Roupa,Loja de Roupa,clothing_store,"R. Getúlio Vargas, 274, Casa Grande - MG, 36422-000, Brasil",-20.792618599999997,-43.928387,,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ajBfSLqjCCzoZrhf42c-AQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=242.52344&pitch=0&thumbfov=100,https://serpapi.com/images/url/xpyj_XicHc3BDcIgFADQbbgVKGKiJj-m9urFePNiKKVAQwsCFnUa13IbjQu893mbnEPaEZJyVCovVpVgH8qlKgisvddOiWATln4iS02yuU_dLKzbBzF724MYD8P5eBvb9uUv0Qycyao5IdldpbNqzpCUiNJgXX5i9D3WIaECG4oMbBl6igKMM7xmK85RsFkaoOi_DH6BmtIvfFY5gA,https://serpapi.com/search.json?data_id=0xa17a693d21685d%3A0x17aa828848ff803f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa17a693d21685d%3A0x17aa828848ff803f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJXWghPWl6oQARP4D_SIiCqhc,"Casa Grande, MG",lojas_presentes,2025-07-28T18:29:20.246555,COMPLETA
1,Centro de Artesanato Mineiro Ceart,ChIJJ_d8r-iZpgARJxDuUOki2TI,0xa699e8af7cf727:0x32d922e950ee1027,3663998157323112487,/g/1tjtkhz8,4.7,142,Artesanato,Artesanato,handicraft,"Av. Afonso Pena, 1537 - Centro, Belo Horizonte - MG, 30130-004, Brasil",-19.925758,-43.934177999999996,+55 31 3272-9513,http://www.ceartmg.com.br/,Aberto ⋅ Fecha às 20:00,Aberto ⋅ Fecha às 20:00,segunda-feira: 09:00–20:00; terça-feira: 09:00–20:00; quarta-feira: 09:00–20:00; quinta-feira: 09:00–20:00; sexta-feira: 09:00–20:00; sábado: 09:00–14:00; domingo: 08:00–13:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Peças lindas, atendimento espetacular, é de admirar tanta criatividade.""",https://lh3.googleusercontent.com/p/AF1QipPZwM_rcERiYKOGMCw-0kwzf9bFtRAXEiiI7Wpz=w247-h92-k-no,https://serpapi.com/images/url/MQoOfnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEFXuG1-U7BqUGent7-7rXK5rkF1elWaZ5FYS5BjhmpnpaR5eUGVbbmRirpthaaSbrZuXDwC0ICGZ,https://serpapi.com/search.json?data_id=0xa699e8af7cf727%3A0x32d922e950ee1027&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa699e8af7cf727%3A0x32d922e950ee1027&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJ_d8r-iZpgARJxDuUOki2TI,"Casa Grande, MG",lojas_artesanato,2025-07-28T18:29:23.361767,COMPLETA
2,Loja Das Meninas,ChIJicvwuxa-pgARyft4nYoAnEw,0xa6be16bbf0cb89:0x4c9c008a9d78fbc9,5520287838596824009,/g/11bzwnglhc,4.8,111,Armarinho,"Armarinho, Loja de aviamentos, Papelaria, Serviço de impressão 3D, Loja de Brinquedos",yarn_store,"R. Tiradentes, 2353 - Cidade Industrial, Contagem - MG, 32230-020, Brasil",-19.9690711,-44.035063699999995,+55 31 98393-7491,,Fecha em breve ⋅ 18:50 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:50 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:50; terça-feira: 09:00–18:50; quarta-feira: 09:00–18:50; quinta-feira: 09:00–18:50; sexta-feira: 09:00–18:50; sábado: 08:30–15:50; domingo: Fechado,,,,"Aceita somente dinheiro, Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,"""Loja com grande variedade de produtos de papelaria e armarinho.""",https://lh3.googleusercontent.com/p/AF1QipOwgPfBagQNTZtHdH4E7OOzdPZEr-FCgn9H6iBA=w197-h92-k-no,https://serpapi.com/images/url/UNQdRHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX54ekOaUmB7oFxJV4pHiYeJq7u9flRIQ5Vqk6-acnmfpYZbp5GhbbmhprpthaaSbrZuXDwClIiDg,https://serpapi.com/search.json?data_id=0xa6be16bbf0cb89%3A0x4c9c008a9d78fbc9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6be16bbf0cb89%3A0x4c9c008a9d78fbc9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJicvwuxa-pgARyft4nYoAnEw,"Casa Grande, MG",lojas_artesanato,2025-07-28T18:29:23.361767,COMPLETA
3,Le Biscuit,ChIJn--b0US_pgARSsKv7ah6VYQ,0xa6bf44d19bef9f:0x84557aa8edafc24a,9535662651987706442,/g/11h0yt2806,4.3,198,Loja de departamento,"Loja de departamento, Loja de variedades",department_store,"Av. Afonso Vaz de Melo, 640 - Barreiro, Belo Horizonte - MG, 30640-070, Brasil",-19.9743165,-44.021623399999996,+55 71 3276-8000,https://www.lebiscuit.com.br/,Aberto ⋅ Fecha às 20:00,Aberto ⋅ Fecha às 20:00,segunda-feira: 12:00–20:00; terça-feira: 10:00–22:00; quarta-feira: 10:00–22:00; quinta-feira: 10:00–22:00; sexta-feira: 10:00–22:00; sábado: 10:00–22:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrevlgGo8KjcrZXdyjLi8__ohMwwmDxJjqYh2Qkexhn9BTQiIcaGAihxpTrulxXqTkB5d5TEAvILOxTibrGOMq4kEtHQofwVRzJMx6S95GeXMDyWnv6kYcUoj-4dfFaplZ9fA8cvA=w194-h92-k-no,https://serpapi.com/images/url/cH8JBnicBcFRboIwGADgE1WiA0OX7KFORJ3EsHUb-kK0FAqt_aGtUHfBnWG32ff9_QrnevscBEo8zRqARvG75YaBdly7GYNb0PQWMYtsQF6xCLXho2pSiN86Zs5F9egObVyWILJpuq39vhtOYpFL7oXGK5q3O3ZJSSt8T81d-WKgchVVEU3IuDscPW2vJj1mQygTt82hnr7ef_aZX37gKOVFtn5863EpT-wTOhRW9ebSqzOuScxG8jLNcYgEXiCJNPwDgLVH2w,https://serpapi.com/search.json?data_id=0xa6bf44d19bef9f%3A0x84557aa8edafc24a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bf44d19bef9f%3A0x84557aa8edafc24a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJn--b0US_pgARSsKv7ah6VYQ,"Casa Grande, MG",lojas_artesanato,2025-07-28T18:29:23.361767,COMPLETA
4,Arte Fácil Artesanato,ChIJt2kK0_yZpgARAPMTv3E2kn0,0xa699fcd30a69b7:0x7d923671bf13f300,9048354463505707776,/g/1tm89p2l,4.5,2480,Loja de materiais para artesanato,Loja de materiais para artesanato,craft_store,"3, R. São Paulo, 656 - Centro, Belo Horizonte - MG, 30170-130, Brasil",-19.919212299999998,-43.9405784,+55 31 3201-9184,http://www.artefacilartesanato.com.br/,Fecha em breve ⋅ 18:30 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 18:30 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq2PosCA4yOpfq5SUZPYupmacrWDX4B4VDoJkOmPMb-5MsrD9UCRVvtpKJ_lh4pOM-Z918QxM8c82m7qhROJCljDM-kZfE7xPdjfJC9LJ4gJBEZbZS2hJPS1_3ccB8kVkgzY5hK=w122-h92-k-no,https://serpapi.com/images/url/clyLqHicBcFdkoIgAADgE5Ej4SjN7EOiLxQj5eRuvDRFChMqKLT93K9D7G32-_4-OgTnV1HU6-VCWav69u7bWdoxtGNYSDtEynkgPfDRmmCNxgly68kavSrXTUl9EPx4d8NZzt_FD8pRU1hqqoGzC0iYnwt8IPvmN7gNPfUauYoBgeNs92SZzOCQTnpfUdLfCgaM6Mr0ya-3jhK8pUjRvBQXUUNNeR2fllLmmWmMeh8Tvfl6xBACjSEwYLT_i3VDPA,https://serpapi.com/search.json?data_id=0xa699fcd30a69b7%3A0x7d923671bf13f300&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa699fcd30a69b7%3A0x7d923671bf13f300&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJt2kK0_yZpgARAPMTv3E2kn0,"Casa Grande, MG",lojas_artesanato,2025-07-28T18:29:23.361767,COMPLETA
5,"BOLHAS DE AROMAS- Lembrancinhas em bh, lembrança de aniversário, lembrança de batizado, lembrancinha chá de bebê .",ChIJf0tB63WrpgARYHqzOqVhvI4,0xa6ab75eb414b7f:0x8ebc61a53ab37a60,10285203011289709152,/g/11ffh2lbh_,5,297,Artesanato,Artesanato,handicraft,"R. Boqueirão, 215A - Betânia, Belo Horizonte - MG, 30580-460, Brasil",-19.9570705,-43.9892439,+55 31 98523-8305,https://www.essenciascardoso.com.br/,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""muito atenciosos, comprei pelo site e o envio e produção foram rápidos.""",https://lh3.googleusercontent.com/p/AF1QipPMw0_sJZQLOQK8I0W91V7glz2Ezg9kf66H0kJu=w94-h92-k-no,https://serpapi.com/images/url/mER3_XicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4FtuEF_sFRXo4x_obeFpEG5pGGaenlNl5FqVbpmdZmbmYZDtVWpbbmmim2FppJutm5cPAG7lIEw,https://serpapi.com/search.json?data_id=0xa6ab75eb414b7f%3A0x8ebc61a53ab37a60&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6ab75eb414b7f%3A0x8ebc61a53ab37a60&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJf0tB63WrpgARYHqzOqVhvI4,"Casa Grande, MG",lojas_artesanato,2025-07-28T18:29:23.361767,COMPLETA
6,Queiroz Plásticos e Tecidos • Couros Sintéticos • Forros • Barreiro • BH,ChIJfWc2k269pgARUFgQXvp7ako,0xa6bd6e9336677d:0x4a6a7bfa5e105850,5362234621588166736,/g/11mbrc82hm,5,235,Loja de tecidos,Loja de tecidos,fabric_store,"Rua Barão de Coromandel, 325 - Barreiro, Belo Horizonte - MG, 30640-060, Brasil",-19.9750951,-44.0161397,+55 31 3386-6168,http://linktr.ee/queirozplasticosetecidos,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/p/AF1QipMm8Pndw3JHG1pdZU41CWD9o63i3fbH6aCOBedW=w80-h106-k-no,https://serpapi.com/images/url/rfLOcXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm2sRkJdSbuzl4W5YkBIVamLoHO5imW9mnGmcluRhlujs75SaEm5bbmGgm2FoYKabrZuXDwCLxCBM,https://serpapi.com/search.json?data_id=0xa6bd6e9336677d%3A0x4a6a7bfa5e105850&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bd6e9336677d%3A0x4a6a7bfa5e105850&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJfWc2k269pgARUFgQXvp7ako,"Casa Grande, MG",lojas_artesanato,2025-07-28T18:29:23.361767,COMPLETA
7,Studio Flama,ChIJmcpbS329pgARXYmuo1ONx5Q,0xa6bd7d4b5bca99:0x94c78d53a3ae895d,10720692828346681693,/g/1tltnlxg,4.6,93,Artesanato,"Artesanato, Loja de porcelanas, Loja de artigos em cerâmica",handicraft,"Rua Tereza Mota Valadares, 869 - segundo andar - Buritis, Belo Horizonte - MG, 30575-160, Brasil",-19.9750263,-43.969733399999996,+55 31 3656-1798,http://www.studioflama.com/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:00; terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: Fechado; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,"""A variedade de produtos é muito boa mesmo!""",https://lh3.googleusercontent.com/p/AF1QipPqpumrN386PrVeZc1xUxdURyWRGe_La4B5A0xS=w92-h92-k-no,https://serpapi.com/images/url/v39OTnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUFhQmlvkZ2xhFlAUlhqVbFgRWpESGlQZHuSeGu-TaOJk6mhQEWxbbmmkmwHE2bp5-QCXvyE8,https://serpapi.com/search.json?data_id=0xa6bd7d4b5bca99%3A0x94c78d53a3ae895d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bd7d4b5bca99%3A0x94c78d53a3ae895d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJmcpbS329pgARXYmuo1ONx5Q,"Casa Grande, MG",lojas_artesanato,2025-07-28T18:29:23.361767,COMPLETA
