position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,L&V Presentes,ChIJ6Sx3swdEpAARHdPT8bOLDpM,0xa44407b3772ce9:0x930e8bb3f1d3d31d,10596560578221953821,/g/1tjfj225,4.9,10,Loja de Presentes,Loja de Presentes,gift_shop,"R. São Miguel, 57 - Catas Altas, MG, 35969-000, Brasil",-20.0737655,-43.408070099999996,+55 31 3832-7410,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótimo atendimento""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eGRhxetMrZoZI1cTrfxjbg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=294.23996&pitch=0&thumbfov=100,https://serpapi.com/images/url/K8C8JnicHc0xDsIgFADQ27AJtBojJj-OxsHFOHUxlH4BQwuBb6m38VreRuMF3vu8HVEqeyEKZUSaPdbkFwxllTS3MdqAOvnCTRzF3Ahyz7GftA-HpKfoB8DjxS1I59zF7tSYa74vj94y099M8DgRFNTZOG7rT8xx4DYVVmEnmQPVspeu0KoNb9dKbVnyZBxI9l_ucYZGyi--8Tph,https://serpapi.com/search.json?data_id=0xa44407b3772ce9%3A0x930e8bb3f1d3d31d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa44407b3772ce9%3A0x930e8bb3f1d3d31d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6Sx3swdEpAARHdPT8bOLDpM,"Catas Altas, MG",lojas_presentes,2025-07-28T18:32:14.089282,COMPLETA
2,VaVá Presentes,ChIJ6Sx3swdEpAARJ7IJdYrx0h4,0xa44407b3772ce9:0x1ed2f18a7509b227,2221103143218426407,/g/1vxw9hbd,4.6,16,Loja de Presentes,Loja de Presentes,gift_shop,"B, R. José Bernardo Magalhães, 138 - Vista Alegre, Catas Altas - MG, 35965-000, Brasil",-20.0721676,-43.4124765,+55 31 3832-7361,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:00; terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PxVrBzy57BHAdEbdfgwZug&cb_client=search.gws-prod.gps&w=80&h=92&yaw=133.79686&pitch=0&thumbfov=100,https://serpapi.com/images/url/gG-WpHicHc3NDcIgGADQbbgJ1Mb-mHwxNjHx6MmDF0OBAgktBGhpnca13EbjAu993jolH4-ExBSkTIuR2ZtV2rjzDCvnlJXMm4i5G8lSkKTnsZ-YsSfPJmcE3NZ76F7boe6uZ3HpxaDyY1aI909ujZwSRMkC11jlnxicwMpHlKGhSEO7RxvLUJQlrtuqqZA3iWug6L8MboGC0i-akDn4,https://serpapi.com/search.json?data_id=0xa44407b3772ce9%3A0x1ed2f18a7509b227&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa44407b3772ce9%3A0x1ed2f18a7509b227&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6Sx3swdEpAARJ7IJdYrx0h4,"Catas Altas, MG",lojas_presentes,2025-07-28T18:32:14.089282,COMPLETA
3,Mundo Dinâmico | Presentes e Utilidades em Catas Altas e região,ChIJdZtXH1VBpAARGxl0t3Ct1tI,0xa441551f579b75:0xd2d6ad70b774191b,15192521092606728475,/g/11gfdct8s0,5,6,Loja de presentes,"Loja de presentes, Loja de acessórios para dispositivos móveis, Loja de produtos de papelaria, Loja de eletrônicos, Loja de acessórios de moda, Serviço de cópia de chaves, Loja de Brinquedos",novelty_store,"R. José Tomé, 2 - 100, Catas Altas - MG, 35969-000, Brasil",-20.0742789,-43.408805699999995,+55 31 99402-5306,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipMvAO0UKBAMF2aEXAHGJcDRxWQQR3hTbaBDleDh=w80-h142-k-no,https://serpapi.com/images/url/iGgZYXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW-bobxDq7eTo62aU6Brh6OHulewSVBEeGBhknBGSlOjkkpPqkmFbbmGgm2FoYqSbrZuXDwCGCiBq,https://serpapi.com/search.json?data_id=0xa441551f579b75%3A0xd2d6ad70b774191b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa441551f579b75%3A0xd2d6ad70b774191b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJdZtXH1VBpAARGxl0t3Ct1tI,"Catas Altas, MG",lojas_presentes,2025-07-28T18:32:14.089282,COMPLETA
4,3A PAPELARIA CRIATIVA,ChIJRWqMh4pFpAAR6FoyH4bcC5s,0xa4458a878c6a45:0x9b0bdc861f325ae8,11172265769229769448,/g/11xfhnsl3d,5,10,Papelaria,"Papelaria, Loja de materiais artísticos, Loja de materiais para artesanato, Loja de materiais educacionais, Loja de materiais para escritório, Loja de materiais para empacotamento",stationery_store,"R. Felício Benevenuto, 39 - SOL NASCENTE, Catas Altas - MG, 35969-000, Brasil",-20.0710516,-43.4054454,+55 31 98218-1883,,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–13:00; domingo: Fechado,,,,Aceita somente dinheiro,"Entrega, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipNsU5WRQvtpLFQdY3GLWtG3J-8fDXve3VO19Zgf=w163-h92-k-no,https://serpapi.com/images/url/y3E2SHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngVxxqGh4UWFZS4OMWmBJp7O4TXuJu7KVrkeYSUZZqHOZvaBmVnmZbbmhmrJthaaSbrZuXDwCciyC7,https://serpapi.com/search.json?data_id=0xa4458a878c6a45%3A0x9b0bdc861f325ae8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4458a878c6a45%3A0x9b0bdc861f325ae8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRWqMh4pFpAAR6FoyH4bcC5s,"Catas Altas, MG",lojas_presentes,2025-07-28T18:32:14.089282,COMPLETA
5,L&V Presentes,ChIJuwJEXQBEpAARNpO594cWUlg,0xa444005d4402bb:0x58521687f7b99336,6364173996660462390,/g/11c72pvf63,,0,Loja de presentes,Loja de presentes,novelty_store,"R. Felício Alves, 240 - Catas Altas, MG, 35969-000, Brasil",-20.0731348,-43.4047543,+55 31 98875-7596,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PooydFaUfVLGITnaXkQLZA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=129.84862&pitch=0&thumbfov=100,https://serpapi.com/images/url/VqQDrXicHc1RCsIgGADg2_iWuhGxBRK9FMEeCiqil_hzTiXnL9Nmu03X6jZFF_i-z9ukFOKSsZgGpdJoVQ72pVycBaAaUTsFwUYqsWdjwZJ59ncP1q0CeLSt2CNO7QZO3bnZ7o4eLo9Dc10Teb9JZ5VPIioYpKE6_8QBW6pDJFlUnBhRl2SCLIqyptW8WpQk2CSN4OS_dDiKgvMvkiQ5zQ,https://serpapi.com/search.json?data_id=0xa444005d4402bb%3A0x58521687f7b99336&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa444005d4402bb%3A0x58521687f7b99336&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJuwJEXQBEpAARNpO594cWUlg,"Catas Altas, MG",lojas_presentes,2025-07-28T18:32:14.089282,COMPLETA
1,Azaléia Artesanatos,ChIJMWlkx5BBpAARB4mtozCGX-M,0xa44190c7646931:0xe35f8630a3ad8907,16383961512859764999,/g/11g083j3sd,4.9,40,Artesanato,"Artesanato, Café, Sorveteria, Lanchonete",handicraft,"Praça Monsenhor Mendes, 44 - Centro, Catas Altas - MG, 35969-000, Brasil",-20.0755105,-43.4082374,+55 31 98498-8040,,Fechado ⋅ Abre ter. às 12:00,Fechado ⋅ Abre ter. às 12:00,segunda-feira: Fechado; terça-feira: 12:00–18:30; quarta-feira: 12:00–18:30; quinta-feira: 12:00–18:30; sexta-feira: 12:00–18:30; sábado: 11:30–18:30; domingo: 11:30–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""A loja vende desde sorvete à artesanato mineiro.""",https://lh3.googleusercontent.com/p/AF1QipP2imAp7Ol9k4z034a5aBAFPyeSjoQjkEoErekm=w80-h106-k-no,https://serpapi.com/images/url/AfyqBnicBcHdCkAwGADQJ5oN81suprhF7pX0ZeznW0ziTb2Nc75Jeu_OklIt42BFXDVcJxwLWg_WBwsa6qhow2FzfbQZ4bJOF4q_LOZzMtei7R8Ydxx21WBzgDLVnTMiQ5YSRSz-nikhQg,https://serpapi.com/search.json?data_id=0xa44190c7646931%3A0xe35f8630a3ad8907&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa44190c7646931%3A0xe35f8630a3ad8907&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJMWlkx5BBpAARB4mtozCGX-M,"Catas Altas, MG",lojas_artesanato,2025-07-28T18:32:17.168681,COMPLETA
2,Associação dos Artesãos Reunidos de Catas Altas - Casa do Artesão,ChIJ7-vvhbtBpAARyUyLTLPKszg,0xa441bb85efebef:0x38b3cab34c8b4cc9,4085832158387326153,/g/11h_5_rhbd,5,21,Feira de artesanato,Feira de artesanato,handicraft_fair,"Praça Monsenhor Mendes, s/n - Catas Altas, MG, 35969-000, Brasil",-20.0745283,-43.4083446,,https://www.facebook.com/Casa-do-Artes%C3%A3o-Catas-Altas-112797476770613/,Fechado ⋅ Abre sáb. às 09:00,Fechado ⋅ Abre sáb. às 09:00,segunda-feira: Fechado; terça-feira: Fechado; quarta-feira: Fechado; quinta-feira: Fechado; sexta-feira: Fechado; sábado: 09:00–16:00; domingo: 09:00–16:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,,,,"""E fazer compras e levar aquela famosa lembrança da cidade!""",https://lh3.googleusercontent.com/p/AF1QipPQOxsoVHkVb2svPefnqIvARF2eMtbOP-alXDzy=w163-h92-k-no,https://serpapi.com/images/url/zzvH5nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEOhfUZwf5pEdlmRUXBaQmpZX6FnmGORmlOpbkuQfoJuYE-FSVWlbbmhmrJthaaSbrZuXDwDG4SIW,https://serpapi.com/search.json?data_id=0xa441bb85efebef%3A0x38b3cab34c8b4cc9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa441bb85efebef%3A0x38b3cab34c8b4cc9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7-vvhbtBpAARyUyLTLPKszg,"Catas Altas, MG",lojas_artesanato,2025-07-28T18:32:17.168681,COMPLETA
4,ATELIÊ COSTURANDO SONHOS | Cheila Bitencourt,ChIJ0ReKfetDpAARArE4tJy08r8,0xa443eb7d8a17d1:0xbff2b49cb438b102,13831315990739726594,/g/11h859188w,4.8,5,Artesanato,Artesanato,handicraft,"R. Augusto Franklin Pereira - Catas Altas, MG, 35969-000, Brasil",-20.0761122,-43.405294999999995,+55 31 98777-3291,https://www.instagram.com/cheilabitencourt/,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–12:00; sábado: 08:30–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento especial,lindos presentes!""",https://lh3.googleusercontent.com/p/AF1QipP5d1tbO6eu4H0rM2imqLzoa_V6EqypbbF8z7oI=w163-h92-k-no,https://serpapi.com/images/url/7qV0RnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYJpiWJLkb5ZaauJhUORrlJlb6FOVnxgfZuZaWFmQlORmUWWe72lbbmhmrJthaaSbrZuXDwCquyF6,https://serpapi.com/search.json?data_id=0xa443eb7d8a17d1%3A0xbff2b49cb438b102&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa443eb7d8a17d1%3A0xbff2b49cb438b102&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ0ReKfetDpAARArE4tJy08r8,"Catas Altas, MG",lojas_artesanato,2025-07-28T18:32:17.168681,COMPLETA
5,Artesanato Puro Encanto | por Wanilza Lopes | Catas Altas,ChIJQwoYEaJBpAARI7CIwBPUxHI,0xa441a211180a43:0x72c4d413c088b023,8269967997058723875,/g/11xg55_xm3,,0,Artesanato,Artesanato,handicraft,"Rua José Augusto de Souza, R. Santa Quitéria, 149, Catas Altas - MG, 35969-000, Brasil",-20.0798874,-43.4089197,+55 31 98507-6429,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Serviços no local,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=l7HvO9UjKOHsWU3SStQs-w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=151.73291&pitch=0&thumbfov=100,https://serpapi.com/images/url/VX9GenicHc3dCoIwGADQt9md-1HCDEa3QhcSIl3GnMstpht-X1u9Ta_V2xS9wDmft0WMcGAMcDMGkzM5uqfxUERF5xBmb1R0QHVYWBIM7WMZV-X8Mao1uEn6uk1dM9xPXQuXoep7PEORiR6v2juzogSjNm3pnH_iFiY6RyBZ7jmxsinJS2UpdoLWVdkIEh1qKzn5L7eQpOD8C2x7OWM,https://serpapi.com/search.json?data_id=0xa441a211180a43%3A0x72c4d413c088b023&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa441a211180a43%3A0x72c4d413c088b023&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJQwoYEaJBpAARI7CIwBPUxHI,"Catas Altas, MG",lojas_artesanato,2025-07-28T18:32:17.168681,COMPLETA
1,Catas Altas - MG,ChIJuaTWQWxHpAARwAzymLLWoHg,0xa4476c41d6a4b9:0x78a0d6b298f20cc0,8692183343383579840,/g/11p14vbjcs,4.6,31,Loja de bebidas alcoólicas,Loja de bebidas alcoólicas,state_liquor_store,"R. José Bernardo Magalhães - Vista alegre, Catas Altas - MG, 35969-000, Brasil",-20.0713777,-43.4117846,,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: Fechado; terça-feira: 09:00–23:00; quarta-feira: 09:00–23:00; quinta-feira: 09:00–23:00; sexta-feira: 09:00–23:00; sábado: 09:00–23:00; domingo: 09:00–21:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Cidade histórica incrível!""",https://lh3.googleusercontent.com/p/AF1QipM-398V-4KWEDxRPBr97sv6O-AsP54NYWupIkt0=w122-h92-k-no,https://serpapi.com/images/url/_j8uBnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngq2tsaRGma-Id7upSERTgVGRpXlxm5q_rWBxgauIXGV5a4JldYmBbbmhkpJthaaSbrZuXDwBxUh_4,https://serpapi.com/search.json?data_id=0xa4476c41d6a4b9%3A0x78a0d6b298f20cc0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4476c41d6a4b9%3A0x78a0d6b298f20cc0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJuaTWQWxHpAARwAzymLLWoHg,"Catas Altas, MG",lojas_decoracao,2025-07-28T18:32:20.264659,COMPLETA
