position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,L&V Presentes,ChIJ6Sx3swdEpAARHdPT8bOLDpM,0xa44407b3772ce9:0x930e8bb3f1d3d31d,10596560578221953821,/g/1tjfj225,4.9,10,Loja de Presentes,Loja de Presentes,gift_shop,"R. São Miguel, 57 - Catas Altas, MG, 35969-000, Brasil",-20.0737655,-43.408070099999996,+55 31 3832-7410,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótimo atendimento""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eGRhxetMrZoZI1cTrfxjbg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=294.23996&pitch=0&thumbfov=100,https://serpapi.com/images/url/K8C8JnicHc0xDsIgFADQ27AJtBojJj-OxsHFOHUxlH4BQwuBb6m38VreRuMF3vu8HVEqeyEKZUSaPdbkFwxllTS3MdqAOvnCTRzF3Ahyz7GftA-HpKfoB8DjxS1I59zF7tSYa74vj94y099M8DgRFNTZOG7rT8xx4DYVVmEnmQPVspeu0KoNb9dKbVnyZBxI9l_ucYZGyi--8Tph,https://serpapi.com/search.json?data_id=0xa44407b3772ce9%3A0x930e8bb3f1d3d31d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa44407b3772ce9%3A0x930e8bb3f1d3d31d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6Sx3swdEpAARHdPT8bOLDpM,"Catas Altas da Noruega, MG",lojas_presentes,2025-07-28T18:34:37.497800,COMPLETA
2,Ave Maria Store,ChIJi_gN-IrrowARSk3RjSK4vew,0xa3eb8af80df88b:0xecbdb8228dd14d4a,17058993422097009994,/g/11ghp5696n,5,3,Loja de Roupa,Loja de Roupa,clothing_store,"Av. Nossa Senhora das Graças, 87, Catas Altas da Noruega - MG, 36450-000, Brasil",-20.6896089,-43.4992081,+55 31 99935-5719,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noWKugUc2oSY2G6A9BLRmSFEJUy_0YIOsH1KLwTPCfv0CsxB_DAfPc3cYIKA_RzUbCB4GGL0h6ReoJrkHqdoDtgJBXgAw-BaaWcLgpYhUNDNmauMZFEVX3oYDS1gvDrAujYug=w92-h92-k-no,https://serpapi.com/images/url/AKh1e3icDcPRboIwFADQL6ogGBOW-NBSRYGpAZl2L4RVvI0KF2krm5_nX_g37iTn9VTGdPrDca7KHwEiXGur615ia-rWjCQ2DnSaSE20Q8NATVrcJxYK6WEuvGhKA5ZmTb6Yx8Vf6YrVRi_HSTrstuHp7ob6l5WcnrbSl2KV0DJ7FD8hm0RR6qppVmPcX5a3I3IDMTsAHQirqr1MoROqWPN1U9nP78X86-Cj4PkY7ryn9iwszIbAI-r_hbT4BpiGQx8,https://serpapi.com/search.json?data_id=0xa3eb8af80df88b%3A0xecbdb8228dd14d4a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3eb8af80df88b%3A0xecbdb8228dd14d4a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJi_gN-IrrowARSk3RjSK4vew,"Catas Altas da Noruega, MG",lojas_presentes,2025-07-28T18:34:37.497800,COMPLETA
3,VaVá Presentes,ChIJ6Sx3swdEpAARJ7IJdYrx0h4,0xa44407b3772ce9:0x1ed2f18a7509b227,2221103143218426407,/g/1vxw9hbd,4.6,16,Loja de Presentes,Loja de Presentes,gift_shop,"B, R. José Bernardo Magalhães, 138 - Vista Alegre, Catas Altas - MG, 35965-000, Brasil",-20.0721676,-43.4124765,+55 31 3832-7361,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:00; terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,"""Muito  bom  obrigado""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PxVrBzy57BHAdEbdfgwZug&cb_client=search.gws-prod.gps&w=80&h=92&yaw=133.79686&pitch=0&thumbfov=100,https://serpapi.com/images/url/gG-WpHicHc3NDcIgGADQbbgJ1Mb-mHwxNjHx6MmDF0OBAgktBGhpnca13EbjAu993jolH4-ExBSkTIuR2ZtV2rjzDCvnlJXMm4i5G8lSkKTnsZ-YsSfPJmcE3NZ76F7boe6uZ3HpxaDyY1aI909ujZwSRMkC11jlnxicwMpHlKGhSEO7RxvLUJQlrtuqqZA3iWug6L8MboGC0i-akDn4,https://serpapi.com/search.json?data_id=0xa44407b3772ce9%3A0x1ed2f18a7509b227&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa44407b3772ce9%3A0x1ed2f18a7509b227&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6Sx3swdEpAARJ7IJdYrx0h4,"Catas Altas da Noruega, MG",lojas_presentes,2025-07-28T18:34:37.497800,COMPLETA
4,Sapatu´s Avenida,ChIJxd7oZ9_qowARc-JexhLFzl8,0xa3eadf67e8dec5:0x5fcec512c65ee273,6903671963233739379,/g/11xp37st27,,0,Loja de Roupa,Loja de Roupa,clothing_store,"Av. Nossa Senhora das Graças, 88, Catas Altas da Noruega - MG, 36450-000, Brasil",-20.6896716,-43.499439599999995,,,,,,,,,,,,,,,https://serpapi.com/search.json?data_id=0xa3eadf67e8dec5%3A0x5fcec512c65ee273&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3eadf67e8dec5%3A0x5fcec512c65ee273&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJxd7oZ9_qowARc-JexhLFzl8,"Catas Altas da Noruega, MG",lojas_presentes,2025-07-28T18:34:37.497800,COMPLETA
5,JL Imports,ChIJXz8ok-frowAR8w9QEurJbik,0xa3ebe793283f5f:0x296ec9ea12500ff3,2985545610159984627,/g/11xmm5frd4,,0,Loja de moda masculina,Loja de moda masculina,mens_clothing_store,"R. São Gonçalo, Catas Altas da Noruega - MG, 36450-000, Brasil",-20.6897602,-43.5001441,+55 31 98200-9443,,,,,,,,,,,,,,https://serpapi.com/search.json?data_id=0xa3ebe793283f5f%3A0x296ec9ea12500ff3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3ebe793283f5f%3A0x296ec9ea12500ff3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJXz8ok-frowAR8w9QEurJbik,"Catas Altas da Noruega, MG",lojas_presentes,2025-07-28T18:34:37.497800,COMPLETA
6,Prefeitura Municipal de Catas Altas da Noruega,ChIJEZQCXCfrowARMx8hbQVc8II,0xa3eb275c029411:0x82f05c056d211f33,9435142397716668211,/g/11dynqklbr,4,4,Repartição pública municipal,Repartição pública municipal,county_government_office,"R. das Goiabeiras, 129 - Centro, Catas Altas da Noruega - MG, 36450-000, Brasil",-20.6895286,-43.497387599999996,+55 31 3752-1260,http://www.catasaltasdanoruega.mg.gov.br/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:00; terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: Fechado; domingo: Fechado,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr-TfNVuit0ILNZCxvRNYyUSiXo6PFdjgwClStz5EdK18E56-W7xsD7VbU_Rqu1Fo_vtlNc52xaiMVPA3iqmSuuPBMrAHKDHbY2P8vHh0D__cyABHoHrZNdYhHMp9C6DbiNoLsV=w122-h92-k-no,https://serpapi.com/images/url/ONUibnicBcHxEoEwHADgJ5o0itz5I8XN0a4TkX86rbSRfmlb4v08hLfxfb8vV6qRM8Oo-GhQApRVoWXRMqhVUasBg4dRNhIxiaTheg4f1y3aX2mshRqut_Ts9d2OJu9DJE5gh6v8Vr68KlIfa5lvzOnSstFx0kt_EmeHdPfU5grSTlWUWbi_iCAO3ZF4PiKtw0XQumTjkyzB4bQjfOinKXu7CwKkPdM84SRoHM_2M0FhK-P5y8QYcQejO6rhD9sYRHk,https://serpapi.com/search.json?data_id=0xa3eb275c029411%3A0x82f05c056d211f33&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3eb275c029411%3A0x82f05c056d211f33&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJEZQCXCfrowARMx8hbQVc8II,"Catas Altas da Noruega, MG",lojas_presentes,2025-07-28T18:34:37.497800,COMPLETA
7,Catas Altas da Noruega,ChIJkYBTzyProwARWmsPdOXYaHM,0xa3eb23cf538091:0x7368d8e5740f6b5a,8316135191945898842,/g/1ywtx2trm,,0,,,,"MG, 36450-000, Brasil",-20.6902239,-43.499094199999995,,http://www.catasaltasdanoruega.mg.gov.br/,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrtUoNcCx5ygmkiPk71CNa1gvNGf0A0pJ625_PA5Gl697B43kfkioSv9M6xfysQv1UHBOjo10ik4g8ffW5YUhYcy-DKtIb6IEdPdSbo0ygUzM0PhY-sLX9xfuuHYIUlpNQB1WDN=w189-h92-k-no,https://serpapi.com/images/url/Xrxar3icBcFRboIwGADgE1VaBaRLfABclG1WjGmUJzMrbVmBn9iCsPt5CG_j972e2rnOfnherRczBaDqsrflXUDrytbNBDSe6iwSFlkvTqn227vjwEQ6BpNqTJWbJUnZL1ED20gc4-4rnAeXPA42dUiXib8w0lRwHOguHOVkDwPh22T_BwRXxleRlKeg4LoQE1p_u-waZp-3_Ha8Ap4U_9_hXBfI_pzpKPt-W2S87tghIac1Wz1IRJGmc2RQC297v0Om,https://serpapi.com/search.json?data_id=0xa3eb23cf538091%3A0x7368d8e5740f6b5a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3eb23cf538091%3A0x7368d8e5740f6b5a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkYBTzyProwARWmsPdOXYaHM,"Catas Altas da Noruega, MG",lojas_presentes,2025-07-28T18:34:37.497800,COMPLETA
8,CASA DO PADRÃO,ChIJVZzj2anrowARYDjZxSOhmC0,0xa3eba9d9e39c55:0x2d98a123c5d93860,3285553103182051424,/g/11fmdxqypc,5,4,Supermercado,Supermercado,supermarket,"R. Quinze de Novembro, 133, Catas Altas da Noruega - MG, 36450-000, Brasil",-20.688295,-43.498343999999996,+55 31 99653-7018,https://www.facebook.com/Casa-do-Padr%C3%A3o-342434026679196/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npeibBRBEiFGFBWnI0jWlVziQeEcfedH5McRvJWIfSITQGRtGhW-vIcfxv0LhB4p8uRc4vyzcdMOlmQlwBlxE2KkoybK9h6rCQGQEWa7tUwRfM4sx17IKyAnZXTQ3rwPImTsUQ=w80-h106-k-no,https://serpapi.com/images/url/Nh1nIXicBcFbEoIgAADAE5FW9pzpIxo1Mqcgi6a_QhQLwRHy0fm6RLdp9_cV1lZm6ThSjAe51rnkb8NrppXlyg6YLp28MoAZYJz1ZiE8VfHiAQn0iyAMIFXIfVJ5-RSY-yzj6XYSM9LsKMpOKMEhsaGgoEEs6xp3L6BXzd-EeU3_YWl8kCWWLZSdP4peun9ECzGtNzjEPr3P7LklWeyZbjhDUb9Wt2uCx3V7RGViznjVzl0ghu4UvIDSf80NRRw,https://serpapi.com/search.json?data_id=0xa3eba9d9e39c55%3A0x2d98a123c5d93860&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3eba9d9e39c55%3A0x2d98a123c5d93860&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJVZzj2anrowARYDjZxSOhmC0,"Catas Altas da Noruega, MG",lojas_presentes,2025-07-28T18:34:37.497800,COMPLETA
9,FABRICIO Móveis e Eletro,ChIJuTtYQ9_qowARhQQ5x6ylElA,0xa3eadf43583bb9:0x5012a5acc7390485,5769856234110387333,/g/11xkvtzb7y,,0,Loja de móveis,Loja de móveis,furniture_store,"Av. Nossa Senhora das Graças, 110 - Catas Altas Da Noruega, Catas Altas da Noruega - MG, 36450-000, Brasil",-20.6899335,-43.4991233,,,,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=McDTqNNIwu3OPfxzNwTGFQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=236.17842&pitch=0&thumbfov=100,https://serpapi.com/images/url/_4qqxnicHc1fDoIgHADg2_AWf7SVtbFeWq2HrDbfG-JPYEMhQbFO07W6Ta0LfN_nrWP0YUtIiANAnAwkb2awYeEFVs4pC8KbgKXryMRI1GNX98LYnRe9Mw0_y331KMtTGvPLtZ1fZaqOhxuS9V1aA33kAcQgNVbpJw6uwcoHlHhBkeabDD1F4lm-wmxdLDPkTZSaU_RfWjdxRukXh9o5tA,https://serpapi.com/search.json?data_id=0xa3eadf43583bb9%3A0x5012a5acc7390485&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3eadf43583bb9%3A0x5012a5acc7390485&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJuTtYQ9_qowARhQQ5x6ylElA,"Catas Altas da Noruega, MG",lojas_presentes,2025-07-28T18:34:37.497800,COMPLETA
10,Requinte do sabor,ChIJuwuA8l7rowARCXqSkKriJSI,0xa3eb5ef2800bbb:0x2225e2aa90927a09,2460621993625680393,/g/11nxvgmh7f,5,1,Confeitaria,Confeitaria,pastry_shop,"R 5 n⁰155, Catas Altas da Noruega - MG, 36450-000, Brasil",-20.690179999999998,-43.4990737,,,Aberto ⋅ Fecha às 22:00,Aberto ⋅ Fecha às 22:00,segunda-feira: 09:00–22:00; terça-feira: 09:00–22:00; quarta-feira: 09:00–22:00; quinta-feira: 09:00–22:00; sexta-feira: 09:00–22:00; sábado: 09:00–22:00; domingo: Fechado,,,,Cartão de débito,,,"""Salgados feito com muito carinho para nossos clientes""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nreIY9OcJ7HEEqGIZ39gCSvCkHx-1ZA0BDZsgVBaVg0OxJVqGcS1IEwjbEuqfQGf5f3kWPUSfcSUxSxMH_X68MYPb7eFAN95sunRahneEJ9WaPVpqmr9HIFc8L1C0L2oM_YCk-VvA=w80-h106-k-no,https://serpapi.com/images/url/fi7f-XicBcFdkoIgAADgE6GYWbIz-2BE_kxubkyUvjTGIEwWqGh5wz3D3qbv-_9T49jZL9d9KN-RxsiHmKwYuNGj0KPDzdOVnQXcAutGGKmlHkRaogPP1gkhfZxWPpKYvnCbzMCrIrjZVlayTc0kPMwZ62NOvZS87zcy9c1v3ASN356LE204Pc10zpPrZRXmZXFbi130gwI76WOttCAZOtcF6_rngJJ0x8O9h-F-YfJriVvAXtH3O4RAeXAFWqDNB9IRQ5s,https://serpapi.com/search.json?data_id=0xa3eb5ef2800bbb%3A0x2225e2aa90927a09&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3eb5ef2800bbb%3A0x2225e2aa90927a09&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJuwuA8l7rowARCXqSkKriJSI,"Catas Altas da Noruega, MG",lojas_presentes,2025-07-28T18:34:37.497800,COMPLETA
