position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Loja Gomes Presentes,ChIJD_oxeYBnowARwoD_xmb3JvI,0xa367807931fa0f:0xf226f766c6ff80c2,17448905827090923714,/g/11f3xjfy1g,5,11,Loja de Presentes,Loja de Presentes,gift_shop,"R. Pedro Álvares Cabral - Silvestre, Viçosa - MG, 36570-000, Brasil",-20.7325385,-42.863923299999996,+55 31 99678-8358,https://www.instagram.com/gomes_presentes/,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 09:00–13:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipOAzIJ3-rfnY4uSrVXpGiLv9HEoCW7yvj5YR8M=w163-h92-k-no,https://serpapi.com/images/url/mLPV63icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng71jl6WWsW5SWF2lSGlwUFlHgnulTZunhmu8cbl5ZlmUaGWTha1tuaGasm2FppJutm5cPAIVxINk,https://serpapi.com/search.json?data_id=0xa367807931fa0f%3A0xf226f766c6ff80c2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa367807931fa0f%3A0xf226f766c6ff80c2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJD_oxeYBnowARwoD_xmb3JvI,"Chiador, MG",lojas_presentes,2025-07-28T18:47:43.261515,COMPLETA
2,Presentes e Cia,ChIJl4bix7VUvQARW050xBgC3nI,0xbd54b5c7e28697:0x72de0218c4744e5b,8277055470551977563,/g/1th6g2fv,5,7,Loja de Presentes,Loja de Presentes,gift_shop,"R. Cônego Gonçalves, 16 - Progresso, Carmo - RJ, 28640-000, Brasil",-21.9328208,-42.6090301,+55 22 2537-1644,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""ficou ainda melhor após a reforma de 2021. EXCELENTE!""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=lvKil2h_WxinQc9mIMCgeA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=39.687405&pitch=0&thumbfov=100,https://serpapi.com/images/url/oUDmwXicHc1LDsIgFADA27ATaP21JqQxroxx4cplQ-kTXkKBFIR6G6_lbTReYObzNimFeGAsphkgZYQScAEbV0FS7b22IANGqvzEcsWSeU6Dk2i7IJ3HUdh8QVub_r6gu6l2Ol9PGo5EDb2yCC6JCHJWhuryE2c_Uh0iKaLhxIi2Ji9ZxLqlu2a_4VsSMCkjOPkvD59FxfkXnu458w,https://serpapi.com/search.json?data_id=0xbd54b5c7e28697%3A0x72de0218c4744e5b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xbd54b5c7e28697%3A0x72de0218c4744e5b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJl4bix7VUvQARW050xBgC3nI,"Chiador, MG",lojas_presentes,2025-07-28T18:47:43.261515,COMPLETA
3,Lojão Dos Presentes,ChIJ9T7fPX65ypQR1p6RszEghEA,0x94cab97e3ddf3ef5:0x40842031b3919ed6,4648876113191345878,/g/11p5d1_r0q,5,1,Loja,Loja,store,"R. Dr. Veiga Lima, 702 - Centro, Carmo da Cachoeira - MG, 37225-000, Brasil",-21.4594558,-45.2213633,+55 35 3225-2410,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eiWM4tE9lLZLQdL0mq7ADA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=217.68533&pitch=0&thumbfov=100,https://serpapi.com/images/url/bqKOpHicHc1BDoIwEADA3_RmW0QFTBpDojc8eDLxYkpZ200KrXQF_Y3f8jcaPzDzeTuimLZCJBoBaEKYIz7Bp0XU3IZgPeiIiZvQiykT5B59O2j0u6iHgJ0CPB9XdKh8c2lOXSP7e1Hva2baq_EIA6kEejSO2_knjqHjNiY2q1Iyp6ole-lZLbOCb8p1nrOIZJyS7L_cwqQyKb9SZDkN,https://serpapi.com/search.json?data_id=0x94cab97e3ddf3ef5%3A0x40842031b3919ed6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cab97e3ddf3ef5%3A0x40842031b3919ed6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ9T7fPX65ypQR1p6RszEghEA,"Chiador, MG",lojas_presentes,2025-07-28T18:47:43.261515,COMPLETA
4,Didico Presentes,ChIJJdBw7pDDpgARJpIcmxEeGso,0xa6c390ee70d025:0xca1a1e119b1c9226,14562985406021538342,/g/11kn6yk659,4.3,3,Loja de Presentes,Loja de Presentes,gift_shop,"Centro, Betim - MG, 32600-110, Brasil",-19.967575999999998,-44.1989911,,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:30; terça-feira: 08:00–17:30; quarta-feira: 08:00–17:30; quinta-feira: 08:00–17:30; sexta-feira: 08:00–17:30; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Interessante""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KlbWX2Bh050CErPgNhB_2A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=163.32666&pitch=0&thumbfov=100,https://serpapi.com/images/url/bv6_aXicHc1BCgIhFADQ27hLHYekAokmWgXRrnaDYz_94IyiNtZtula3KbrAe5-3KyXmDWO5JIAyI9SIT_B5ETW1IVgPOmKmJoxsblhxj3GYNPpt1FPAmzr64XIVneNLvj-ksz25rhc7YobeeISpqAw6GUdt_Ykp3KiNmVS14sSptSAvXVUjW9oKKSWJWIxTnPyXe5hVw_kXNfA4vQ,https://serpapi.com/search.json?data_id=0xa6c390ee70d025%3A0xca1a1e119b1c9226&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6c390ee70d025%3A0xca1a1e119b1c9226&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJdBw7pDDpgARJpIcmxEeGso,"Chiador, MG",lojas_presentes,2025-07-28T18:47:43.261515,COMPLETA
5,Central Presentes,ChIJZQ-zfpB1pwARQwTKKlhxBoU,0xa775907eb30f65:0x850671582aca0443,9585473480393622595,/g/11c5383vt8,4.9,20,Papelaria,Papelaria,stationery_store,"R. Manoel Pinto, 185 - Centro, Papagaios - MG, 35669-000, Brasil",-19.4469668,-44.7466949,+55 37 3274-2324,http://bit.ly/centralpresentes,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–13:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrhARZIjhm_fZ_aQA36O94v1ZpLAqNG-9LwTN8eoEGl4xCDX6slrvcCAVPA85fFabYmTNzJ_JlzrsokEmfrrm_juX5_HNb4ccVF_pQuu263K99qv1to6WMqcjR5Tat0AyWhR2oflA=w122-h92-k-no,https://serpapi.com/images/url/NVtFIHicBcHdboIwGADQJ6pI-Yk12UXDQOcUlRB03DTYAA22fNAWnL6gz7C32Tl_b2HtYNaOI4W3aAFaWU-m1hx6W_d2wUE57WAQN8g4NCLC77WgWfnVCcWaklVn6oVH4s9uOezpmG4Q2T_ydFVDvJH-b_R5DY3UM49ocaKroEmq24_K09eO7eRLG7jHqtFasW66Bmyb3nzOi4QN52nCofdNyDi7FsLLYeRdFuSVXdLnRWQYGkk_Hi7GSBCM7qiHf2CMRZs,https://serpapi.com/search.json?data_id=0xa775907eb30f65%3A0x850671582aca0443&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa775907eb30f65%3A0x850671582aca0443&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJZQ-zfpB1pwARQwTKKlhxBoU,"Chiador, MG",lojas_presentes,2025-07-28T18:47:43.261515,COMPLETA
6,Crisny Artigos Para Presentes,ChIJt4aNnyRAogARAi3T5sU9ksY,0xa240249f8d86b7:0xc6923dc5e6d32d02,14308566886299938050,/g/11h1mdqz97,5,1,Loja de variedades,Loja de variedades,variety_store,"R. Cel. Francisco F Carvalho, Oliveira Fortes - MG, 36250-000, Brasil",-21.3383884,-43.4595048,+55 32 98426-8800,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq-1SZZ1fQqIIa58cIUxDYkORrKcCiWe02-XC6AC-Up-9JZTaJovKU5jguiA97t3-FhZ4EfiORJb77Tox3WFmKLcAilc04UvTzE6HZ1vJq9hLN0IgLTE8HJH33Neq1V9TV0Gj4d=w80-h116-k-no,https://serpapi.com/images/url/FYehDHicBcFRboIwGADgE_3SWgS6ZA-EoVCIZq7o1jettUWRgq3M7H47xG6z7_v7Nd4P7iUIOkNm2lrdqYdTd2l7r3o_k_YW6MGBdOCCNKMm7EfAH0Lg8_tYlodFIsvm-fZ13WzvlczavUJz-MyiNINmAMoEPzA7Vc3ioh9tSmNPYGlEmJ_bzZYd45jbJ9kvb1Ut07aTKGwm_pNHhcATG6mp16jUNc-TghWErNWId5Tv0OoSnl6_EwQG4wiu0Nt_04ZBNw,https://serpapi.com/search.json?data_id=0xa240249f8d86b7%3A0xc6923dc5e6d32d02&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa240249f8d86b7%3A0xc6923dc5e6d32d02&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJt4aNnyRAogARAi3T5sU9ksY,"Chiador, MG",lojas_presentes,2025-07-28T18:47:43.261515,COMPLETA
7,Degustarte Cestas e Presentes,ChIJNSg5YduPpgARHSHAWHtXBYg,0xa68fdb61392835:0x8805577b58c0211d,9801336351323332893,/g/11p3f6jbdc,5,618,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. Clárice Lispector, 81 - São João Batista, Belo Horizonte - MG, 31520-180, Brasil",-19.820282799999998,-43.971239399999995,+55 31 99332-1520,https://degustartebh.com.br/,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 07:00,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 07:00,segunda-feira: 07:00–19:00; terça-feira: 07:00–19:00; quarta-feira: 07:00–19:00; quinta-feira: 07:00–19:00; sexta-feira: 07:00–19:00; sábado: 08:00–14:00; domingo: 09:00–12:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPxrhwvBJrD5DzB_n0VskxGQ5lpnCxY2wqcpQwm=w92-h92-k-no,https://serpapi.com/images/url/paGnZXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUFGUUV7m5FXkYupS5RSfZxBWnF3hHmiaU5DnXBFpVF6YXBBYnmtbbmmkmwHE2bp5-QCtQiJI,https://serpapi.com/search.json?data_id=0xa68fdb61392835%3A0x8805577b58c0211d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa68fdb61392835%3A0x8805577b58c0211d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJNSg5YduPpgARHSHAWHtXBYg,"Chiador, MG",lojas_presentes,2025-07-28T18:47:43.261515,COMPLETA
8,Loja Presente & Arte,ChIJtyLpmBUrogARf8pFwy-Rg6w,0xa22b1598e922b7:0xac83912fc345ca7f,12430939030798322303,/g/11vwq75791,,0,Loja,Loja,store,"Av. Francisco do Carmo - Carandaí, MG, 36282-421, Brasil",-20.9531836,-43.7850642,+55 32 99871-1140,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KRhNbGByJfit-G3RKDhnoQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=124.17064&pitch=0&thumbfov=100,https://serpapi.com/images/url/xRbAeHicHc1tCsIgGADg2_hv6tboCySIYNAgaBcI55y-4FTm22y36VrdpugCz_N5W8SYjowlnLXGBXSO8NIuFVFSE4JxWkZIVIWJLSVD-5x6L8GdovQBBtF29tY35_U6AhbNpmsv1oc7Uf1DOdAeRdJyVpaa_BPnMFATE8liz4kVh4qsMouyqmm549uaREBlBSf_ZQyLKDn_Am4tOWM,https://serpapi.com/search.json?data_id=0xa22b1598e922b7%3A0xac83912fc345ca7f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa22b1598e922b7%3A0xac83912fc345ca7f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJtyLpmBUrogARf8pFwy-Rg6w,"Chiador, MG",lojas_presentes,2025-07-28T18:47:43.261515,COMPLETA
9,Cia do Presente,ChIJAQDwh9CZpgARXeR420Rnhng,0xa699d087f00001:0x78866744db78e45d,8684742476868150365,/g/11d_x4ms3b,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"Av. do Contorno, 6166 - loja 3 - Funcionários, Belo Horizonte - MG, 30110-042, Brasil",-19.939966,-43.936562699999996,+55 31 3566-7526,,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–16:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3ltrOUHY8VU2KE9mc-qjlg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=357.31818&pitch=0&thumbfov=100,https://serpapi.com/images/url/wrS8ZnicHc3NDcIgGADQbbiVnzZGakI8mZh48FQTT4ZSBAwtCJ-g27iW22hc4L3P2wLEvCEkQ9IaitM1uqf2uYkSmxCM1zK6jFWYSWEE7GMeF-n8NsoluEl0HtJx2J_5aWgPu35Wzf3mDVLjRXmnFxBZy6QsNvUnpjBhEzOqglNkRd-il6yiW61xxzjjKDpQVlD0X66hCEbpF2lyOV8,https://serpapi.com/search.json?data_id=0xa699d087f00001%3A0x78866744db78e45d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa699d087f00001%3A0x78866744db78e45d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJAQDwh9CZpgARXeR420Rnhng,"Chiador, MG",lojas_presentes,2025-07-28T18:47:43.261515,COMPLETA
10,Casa Presentes,ChIJh2EhWACzTgcRi0ceyosZvQI,0x74eb30058216187:0x2bd198bca1e478b,197342046856300427,/g/11ld7vnlrq,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Antero de Lucena Ruas, 66B - Centro, Pedra Azul - MG, 39970-000, Brasil",-16.003529999999998,-41.2815651,+55 33 99863-6085,,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipOdQ87ovuWjObNbhoKQJqDcLYVoPvYNRTvtwiYl=w80-h106-k-no,https://serpapi.com/images/url/kK-i8HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngnxJoYZ5fVhqe5Z_kl5SR7x3oVeiS7BMZlh9QFukXFFJWUp4ZmWNbbmGgm2FoYKabrZuXDwDFOyJG,https://serpapi.com/search.json?data_id=0x74eb30058216187%3A0x2bd198bca1e478b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x74eb30058216187%3A0x2bd198bca1e478b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJh2EhWACzTgcRi0ceyosZvQI,"Chiador, MG",lojas_presentes,2025-07-28T18:47:43.261515,COMPLETA
