position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Loja Sapekinha,ChIJX-FVOr5_ogARdExXvUl_Gw8,0xa27fbe3a55e15f:0xf1b7f49bd574c74,1088603689626061940,/g/11js0sbktd,5,2,Loja de presentes,Loja de presentes,novelty_store,"R. Sinhô Candinho, 30 - Centro, Chácara - MG, 36110-000, Brasil",-21.671796,-43.2214022,,https://instagram.com/loja.sapekinha?utm_medium=copy_link,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipPJQaDXNlb9ytL3YQ5Wv9-mnJWmM_Ynoene5OdS=w163-h92-k-no,https://serpapi.com/images/url/nELzxHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4BWY6BLhl5NkWVniYxwZaBpeZqmbm-cVnusbH5mXn5qXauqfEmxbbmhmrJthaaSbrZuXDwCrGyF1,https://serpapi.com/search.json?data_id=0xa27fbe3a55e15f%3A0xf1b7f49bd574c74&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa27fbe3a55e15f%3A0xf1b7f49bd574c74&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJX-FVOr5_ogARdExXvUl_Gw8,"Chácara, MG",lojas_presentes,2025-07-28T18:44:16.108790,COMPLETA
2,Bendita Cesta BH,ChIJvW61k-yTpgARAOY5i0MPp-M,0xa693ec93b56ebd:0xe3a70f438b39e600,16404096950493373952,/g/11xp0dzkxb,5,32,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. Maria da Matta Castro, 1044 - Chácara Confisco, Contagem - MG, 32113-585, Brasil",-19.8656151,-44.0217758,+55 31 98733-2160,https://www.instagram.com/benditacesta_bh?igsh=MTh4c3lwbHMzMG13NA==,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: 08:00–18:00,,,,,,,,https://lh3.googleusercontent.com/p/AF1QipMrZXWYPqEbiOk7h3h3dCYuqgTsX4_N4wciLsdY=w80-h104-k-no,https://serpapi.com/images/url/8lMuKXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngWxQVER4ZUOialOmfbZ5hnGGc4hxZWpgeUhxhEu9nUp6c6VOcEmlbbmGgm2FoYKKbrZuXDwC6iiHN,https://serpapi.com/search.json?data_id=0xa693ec93b56ebd%3A0xe3a70f438b39e600&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa693ec93b56ebd%3A0xe3a70f438b39e600&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJvW61k-yTpgARAOY5i0MPp-M,"Chácara, MG",lojas_presentes,2025-07-28T18:44:16.108790,COMPLETA
3,RCN CESTAS COM AMOR,ChIJhTVRDXgAcoARRP7jI6F1GLY,0x807200780d513585:0xb61875a123e3fe44,13121366849296268868,/g/11krpk2w87,5,10,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. Albert Schwaitzer, 136 - Chácaras Califórnia, Contagem - MG, 32042-325, Brasil",-19.896628099999997,-44.075191499999995,+55 31 99106-3394,,Aberto ⋅ Fecha às 21:30,Aberto ⋅ Fecha às 21:30,segunda-feira: 08:00–21:30; terça-feira: 08:00–21:30; quarta-feira: 08:00–21:30; quinta-feira: 08:00–21:30; sexta-feira: 08:00–21:30; sábado: 08:00–22:00; domingo: 10:00–16:00,,,,"Cartão de crédito, Cartão de débito",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipPySrn4uWwfnFVjcj35HpttsdyeLay1SXvM_6qG=w92-h92-k-no,https://serpapi.com/images/url/aLFIYHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUBlclGdSGl6elucWlpWcZWzqUVBSUpxSmeqTWGkYHFHmG29W6G5bbmmkmwHE2bp5-QCykCI1,https://serpapi.com/search.json?data_id=0x807200780d513585%3A0xb61875a123e3fe44&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x807200780d513585%3A0xb61875a123e3fe44&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJhTVRDXgAcoARRP7jI6F1GLY,"Chácara, MG",lojas_presentes,2025-07-28T18:44:16.108790,COMPLETA
4,Love Gifts BH Grajaú,ChIJQTlgtVWXpgARkPT-CycGm-o,0xa69755b5603941:0xea9b06270bfef490,16905112391040038032,/g/11fm354gh0,5,3,Loja de presentes,Loja de presentes,novelty_store,"R. Vegas, R. Fronteira, 45, Contagem - MG, 32183-818, Brasil",-19.866565899999998,-44.0370778,+55 31 99060-4111,https://wa.me/c/553190604111,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,Estacionamento com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipMF6h-NurQmPVqtlMXXzFtpi1oY-ULFk0b2-ePd=w92-h92-k-no,https://serpapi.com/images/url/L67q_HicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng62aWoetXWhSYGxBWWJLjGxFR5VZSkGmYH6kb6uOWbZBkpJsakGJbbmmkmwHE2bp5-QCPByEg,https://serpapi.com/search.json?data_id=0xa69755b5603941%3A0xea9b06270bfef490&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69755b5603941%3A0xea9b06270bfef490&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJQTlgtVWXpgARkPT-CycGm-o,"Chácara, MG",lojas_presentes,2025-07-28T18:44:16.108790,COMPLETA
5,Lud Moraes Store,ChIJGQDCa8KVpgARnVeghWaUXnI,0xa695c26bc20019:0x725e946685a0579d,8241187536184039325,/g/11nl8x0q8d,5,14,Loja,Loja,store,"R. Três, 177 - Chácara São Geraldo, Contagem - MG, 32046-220, Brasil",-19.8724994,-44.0822904,+55 31 99692-5596,,,,,,,Estacionamento com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPM0ZhlezR_J8oUpMxcJ9X8b1SnaYq4Jsx1dIU4=w163-h92-k-no,https://serpapi.com/images/url/TpFaSnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4GsQlZGTWhUU72WRH1rgW5HsZRlhkWQYnJcYWWjiVVxhmOIZamJbbmhmrJthaaSbrZuXDwCt3SFH,https://serpapi.com/search.json?data_id=0xa695c26bc20019%3A0x725e946685a0579d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa695c26bc20019%3A0x725e946685a0579d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJGQDCa8KVpgARnVeghWaUXnI,"Chácara, MG",lojas_presentes,2025-07-28T18:44:16.108790,COMPLETA
6,Paiol Queimado Com de Presentes,ChIJBa4H8dqZpgARuqbsIHwTTww,0xa699daf107ae05:0xc4f137c20eca6ba,886949075464529594,/g/1tfpl1bm,,0,Loja de Presentes,Loja de Presentes,gift_shop,"R. Antônio de Albuquerque, 610 - Funcionários, Belo Horizonte - MG, 30112-010, Brasil",-19.9378969,-43.936088399999996,+55 31 3221-4568,,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Hli_gzQVy6fWlVkjg6H9ZA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=359.21323&pitch=0&thumbfov=100,https://serpapi.com/images/url/p7OGkHicHc1RDoIgGADg2_AWoC6Xbf9ab772YlsvDhHhNxQmJNlpula3qXWB7_u8TYw-HBkLcVEqrqiSx6eyYecF1c5pq4THQKWb2JqxaB5TNwu0Jy9mhz3UFlv9ujRbOVxtcx91WVe3M5FdKy2qOUJQYpGG6vQTF9dT7QNJcODEQJWTTSQo9hXNsyIviMcoDXDyXwa3Qsb5F5M0OcQ,https://serpapi.com/search.json?data_id=0xa699daf107ae05%3A0xc4f137c20eca6ba&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa699daf107ae05%3A0xc4f137c20eca6ba&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBa4H8dqZpgARuqbsIHwTTww,"Chácara, MG",lojas_presentes,2025-07-28T18:44:16.108790,COMPLETA
7,Granja Presente de Deus,ChIJHSavzCZ_ogARFcaR6lLU9-E,0xa27f26ccaf261d:0xe1f7d452ea91c615,16282716430369146389,/g/11nx3rqybr,5,2,Granja,Granja,ranch,"Rua 5, 726, Chácara - MG, 36110-000, Brasil",-21.6519534,-43.251300799999996,+55 32 99977-6849,,,,,,,,,,,,,,https://serpapi.com/search.json?data_id=0xa27f26ccaf261d%3A0xe1f7d452ea91c615&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa27f26ccaf261d%3A0xe1f7d452ea91c615&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJHSavzCZ_ogARFcaR6lLU9-E,"Chácara, MG",lojas_presentes,2025-07-28T18:44:16.108790,COMPLETA
8,BOMBONIERE NOSSA SENHORA APARECIDA,ChIJYVD4pPJ-ogARxjP0WlJ8_gE,0xa27ef2a4f85061:0x1fe7c525af433c6,143688931277550534,/g/11ggs997zw,4.7,30,Lanchonete,Lanchonete,snack_bar,"R. Cel. Onófre Augusto de Paula, 653, Chácara - MG, 36110-000, Brasil",-21.6711685,-43.222659799999995,+55 32 99936-1585,,Aberto ⋅ Fecha às 22:00,Aberto ⋅ Fecha às 22:00,segunda-feira: 08:00–22:00; terça-feira: 08:00–22:00; quarta-feira: 08:00–22:00; quinta-feira: 08:00–22:00; sexta-feira: 08:00–22:00; sábado: 09:30–22:00; domingo: 08:00–22:00,,,,Cartão de débito,Para viagem,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noc1F5MDq8XgkaRpTxFsgoGebp3bZr_Tvr8jWw6LAHb3d-h-LnB3mMxbRrx0IMmCzVA2kXX2fIT2CBag7RUpqyDWMboCWI22qzhN036_qI2ARG_Z-C28VP1_BFq6AIh_rTrQmS4sA=w163-h92-k-no,https://serpapi.com/images/url/263CW3icBcFdboIwAADgE1WkdQxNfCglaBMxjqEQXxrKsM2Q_jJlXtAzeBu_7_WU42j8KgiuEs2E1uLa_fnOtVqNnRpnrR4CYTxoPfABJku5ULoNs488tXEt-qYw5ZR5oTcdN4ifHStvLv6t7tEObzn6ARLsVIKGfOKFm-Y0H8jjhGFf1_BCS0iSRnwWR2P_0yrnmlQUQvuQ-zmKmKUQFxt2BgTGp0PIksxGmErmSvc1fC88Xt_DCAG5hKAHSr8BM0lD7w,https://serpapi.com/search.json?data_id=0xa27ef2a4f85061%3A0x1fe7c525af433c6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa27ef2a4f85061%3A0x1fe7c525af433c6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJYVD4pPJ-ogARxjP0WlJ8_gE,"Chácara, MG",lojas_presentes,2025-07-28T18:44:16.108790,COMPLETA
9,Magazine Luiza,ChIJvb0C5eO9pgARLhsWwYKrdwE,0xa6bde3e502bdbd:0x177ab82c1161b2e,105741694340045614,/g/1tf0rvvp,4.2,1177,Loja de departamento,Loja de departamento,department_store,"Av. Visc. de Ibituruna, 95 - Barreiro, Belo Horizonte - MG, 30640-080, Brasil",-19.9732631,-44.016085,+55 31 3389-3500,https://lojas.magazineluiza.com.br/buscar-filiais?utm_source=google&utm_medium=maps&utm_campaign=gbp,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–16:00; domingo: 08:00–13:00,,,"Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqTn5fiihpUECgM2E2QmnH8yickTH384tqLB7k2R2OcEIpySHc472ICP7l2kMtPa85JNgL-fEw27LdWToqBvOXw4feQybR4H96Q-SH-74rNv6OBOc3w6AZu4JSux9Yi3Kg7ZV0=w163-h92-k-no,https://serpapi.com/images/url/amdBZHicBcFtDoIgAADQE5EFKNrWj3RuWJaZ9vmvSMFpoIGZ9-sS3ab3fl9hTKvnltUINOFK8abodfFiSppCmglTT4u3GjANtLUMPIFll0u7rCrRHsKAb2AI06ek7lixOqfIxaaLfVLDPUxYGLVjRhkmMAp2pIH1xuxurr3a8hiU4QBJ_DjlqvPfyXnAZZGO9z2mnpOCjAKCX9u3k_gJQ4OzvPZ4lfUf71KhNSfX43QxzBwEhAdBDaT6A90GQZg,https://serpapi.com/search.json?data_id=0xa6bde3e502bdbd%3A0x177ab82c1161b2e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bde3e502bdbd%3A0x177ab82c1161b2e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJvb0C5eO9pgARLhsWwYKrdwE,"Chácara, MG",lojas_presentes,2025-07-28T18:44:16.108790,COMPLETA
10,Magazine Luiza,ChIJAXI8TuG9pgAR_1E7LRPR6n4,0xa6bde14e3c7201:0x7eead1132d3b51ff,9145351873622659583,/g/1w9y2b04,4.2,2625,Loja de departamento,Loja de departamento,department_store,"Av. Visc. de Ibituruna, 318 - Barreiro, Belo Horizonte - MG, 30640-080, Brasil",-19.9754047,-44.0160103,+55 31 92008-0498,https://lojas.magazineluiza.com.br/buscar-filiais?utm_source=google&utm_medium=maps&utm_campaign=gbp,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–16:00; domingo: 09:00–19:00,,,"Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npuIek7pLxQmOoDljuRjYW1Nhx8gxlRVdRUzV4LEBcqcnd_wL6ALX_4sLKUXL2FBLlTNzG-6IoHFjF0-Eya7VJ8hayQQnppUKuI79qRiNluSvhmqT9mw8Y8LQK1MMaLr2SOucHR=w163-h92-k-no,https://serpapi.com/images/url/8xz6V3icBcHdEoFAGADQJ1opTT9mXAiRPpmWwpVpVtPKtrvZVvF-HsLbOOf3pV0n1dQwGJ2MKiEqVmpVPongXcm7ERGNUUmFiELKmC98anOpo_LhShjSZi-WrNa4vpzMhA5eNTCc33D2yW1YBaQl_HbtwZnD-WoriLMzWGEA7Jh81siJxCaswzFavQs333q0eKcplzKLdeT6Lb4nTB9etGmPftN7Fw_S2NztCnhah70mGzzrTWeCqG-hB-LiDxw0ROI,https://serpapi.com/search.json?data_id=0xa6bde14e3c7201%3A0x7eead1132d3b51ff&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bde14e3c7201%3A0x7eead1132d3b51ff&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJAXI8TuG9pgAR_1E7LRPR6n4,"Chácara, MG",lojas_presentes,2025-07-28T18:44:16.108790,COMPLETA
