position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Loja do Valdeci,ChIJ121HR2q7owAR7Fdv-kUbFRA,0xa3bb6a47476dd7:0x10151b45fa6f57ec,1158862466486065132,/g/11j4j4pnd2,5,8,Shopping center,Shopping center,shopping_center,"R. Cap. José Laureano, 91 - Cipotanea, Cipotânea - MG, 36265-000, Brasil",-20.905737,-43.364703899999995,+55 32 98425-0046,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: 09:00–12:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""O verdadeiro Shopping de Cipotânea, local onde você encontra de tudo.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zpOU0T1pKyDAin_sY0vSlA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=203.48053&pitch=0&thumbfov=100,https://serpapi.com/images/url/KAGWAnicHc0xDsIgFADQ27AJtNWkmhDTxM3BQR2cGkoRfkLhpyBYT-O1vI3GC7z3eduUMO4Yi2nWOmXQBeGpXVyhpCYE47REiFSFieWKJfuYBi_B7VH6AKN44enKLxUel0MHvo83ns-uI2rolQPtk4hazspSU37iHEZqMJIiWk6s2NZkkUXUvKHrlm8agpCUFZz8l3vIouL8C4UvOaU,https://serpapi.com/search.json?data_id=0xa3bb6a47476dd7%3A0x10151b45fa6f57ec&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3bb6a47476dd7%3A0x10151b45fa6f57ec&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ121HR2q7owAR7Fdv-kUbFRA,"Cipotânea, MG",lojas_presentes,2025-07-28T18:51:17.958022,COMPLETA
2,Arte na Palha,ChIJh3u1qI26owAR1QURZcuXdUM,0xa3ba8da8b57b87:0x437597cb651105d5,4860958272646088149,/g/1tr7f0b7,4.5,18,Artesanato,"Artesanato, Atacadista",handicraft,"R. Cel. Moreira, 555 - Centro, Cipotânea - MG, 36265-000, Brasil",-20.9081959,-43.3586092,+55 32 98478-4993,http://www.artenapalha.com.br/,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–16:00; terça-feira: 07:00–16:00; quarta-feira: 07:00–16:00; quinta-feira: 07:00–16:00; sexta-feira: 07:00–16:00; sábado: 07:00–12:00; domingo: Fechado,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Estou pensando em trazer artesanato de palha para vender no meu ateliê.""",https://lh3.googleusercontent.com/p/AF1QipNlUieEMJ1JgGwSr6lFZUC1Cb9PDEYi4Prc7jEd=w189-h92-k-no,https://serpapi.com/images/url/spzLEXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnglxOamerq62Xole5eHlxkluMWFeps6JxkGeDiGplpElCUbJ7lmmJbbmhhqZthaaSbrZuXDwCa6SDJ,https://serpapi.com/search.json?data_id=0xa3ba8da8b57b87%3A0x437597cb651105d5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3ba8da8b57b87%3A0x437597cb651105d5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJh3u1qI26owAR1QURZcuXdUM,"Cipotânea, MG",lojas_presentes,2025-07-28T18:51:17.958022,COMPLETA
3,"CESTAS, PRESENTES, Café da manhã e cestas de presentes em PARÁ DE MINAS / Luciana Cestas",ChIJMz-p6gY9pwARej0bJF9MSSE,0xa73d06eaa93f33:0x21494c5f241b3d7a,2398532248062868858,/g/11x95ctxkz,5,12,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. Antônio de Souza Peixoto, 160 - Santos Dumont, Pará de Minas - MG, 35660-336, Brasil",-19.840006499999998,-44.6008278,+55 37 99107-7101,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:00; terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 08:00–12:00; domingo: 08:00–10:00,,,,,Entrega,,,https://lh3.googleusercontent.com/p/AF1QipN4cH8_0Jz91YAaQIXaKHlyKbX02rQWzX6nA4t9=w91-h92-k-no,https://serpapi.com/images/url/xelJNnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngZ5LsYRFv4FVlaRjpmBjoGZHo7ZFT6Z0UYWBUFBheFWGW52hSYmlbbmmom2FppJutm5cPAGrpIEw,https://serpapi.com/search.json?data_id=0xa73d06eaa93f33%3A0x21494c5f241b3d7a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa73d06eaa93f33%3A0x21494c5f241b3d7a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJMz-p6gY9pwARej0bJF9MSSE,"Cipotânea, MG",lojas_presentes,2025-07-28T18:51:17.958022,COMPLETA
4,D'PRESENTES GABI,ChIJ27__hx8epAARUE9X8zJiROc,0xa41e1f87ffbfdb:0xe7446232f3574f50,16664552492148150096,/g/11f1039027,4.7,13,Loja de presentes,Loja de presentes,novelty_store,"Praça Paulo Teixeira, 25 - Centro, Rio Acima - MG, 34300-000, Brasil",-20.088582799999998,-43.7890616,+55 31 98884-5215,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: 09:30–12:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr5Dm_kChHDEmNicqf9cxAFv-fqbiUGOxbtf4yUv1-lABMvC0itxJ3dAxgWltWScDIzuqKcqM6_hvPpEyPhkAEL6llulQwyTKB3TYNLPBis2BL1x3Jn1kQoGcDz2F1beMTwAR4dxg=w169-h92-k-no,https://serpapi.com/images/url/5YATL3icBcHbDoIgAADQLyJDzc22HvCSXbSsbK2nNlHBiaCBiv1g39DfdM7vS5Xq5NowGLUWRAjCykGWbyy4KrlaYNEapJMASyAN5LvU5u9V0L4an-6CsD3VuK9crNF2BFWf1_forHNV2fN9hIAhLxn9Za30wSqQJg-mHjcc7D9Df8R94rzomHbhnNIGhbHD2MAu05wdPSt7nuLUq6XpxVBbBw6bi4hw8DG3MC-TbEJXu9BkM0HHBdQ1QQO4-APTM0Y_,https://serpapi.com/search.json?data_id=0xa41e1f87ffbfdb%3A0xe7446232f3574f50&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa41e1f87ffbfdb%3A0xe7446232f3574f50&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ27__hx8epAARUE9X8zJiROc,"Cipotânea, MG",lojas_presentes,2025-07-28T18:51:17.958022,COMPLETA
5,Encanto Presentes e Decorações,ChIJa_B3KyYzpAARMOgMpUKNtaM,0xa433262b77f06b:0xa3b58d42a50ce830,11796490116343326768,/g/11glyd5scs,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"Avenida Doutor João Pinheiro, R. Tv. do Morgan, 4745 - Loja 2, Caeté - MG, 34800-000, Brasil",-19.873473,-43.661157499999995,+55 31 99482-5811,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,"Banheiro com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipMofGYxO1-WmozGMrKGz9KrOrUpWz1K64wYXQyz=w80-h106-k-no,https://serpapi.com/images/url/fXw-pHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm5_mHlnhb6gbnptf5e5b5O1eZeld5F8UWhBeZehtZlIeGRFYWWVbbmGgm2FoYKabrZuXDwC3qyG7,https://serpapi.com/search.json?data_id=0xa433262b77f06b%3A0xa3b58d42a50ce830&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa433262b77f06b%3A0xa3b58d42a50ce830&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJa_B3KyYzpAARMOgMpUKNtaM,"Cipotânea, MG",lojas_presentes,2025-07-28T18:51:17.958022,COMPLETA
6,Jm Papelaria e Variedades | Serra do Cipó,ChIJD9oflxjvpQARLxlKEKo3nJA,0xa5ef18971fda0f:0x909c37aa104a192f,10420264841385744687,/g/11vycb7_ly,4.9,46,Papelaria,"Papelaria, Gráfica, Fornecedor de produtos descartáveis, Loja de presentes, Impressões, Loja de artigos religiosos",stationery_store,"MG-010, 1222 - Serra do Cipó, Santana do Riacho - MG, 35847-000, Brasil",-19.3332174,-43.6219301,+55 31 97139-1530,https://www.instagram.com/jm_papelariaevariedades/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:00; terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPK8GAf4zJSjlBj_ix7e2FGGciI9HHnU3x2peyy=w80-h98-k-no,https://serpapi.com/images/url/-1-PGnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4G3h7phmUuUVnJXjlBWfWWGeauTm7p6c6Wnp4ZEXalxhVJBaWWlbbmGgm2FpoZutm5cPAH8wIQQ,https://serpapi.com/search.json?data_id=0xa5ef18971fda0f%3A0x909c37aa104a192f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5ef18971fda0f%3A0x909c37aa104a192f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJD9oflxjvpQARLxlKEKo3nJA,"Cipotânea, MG",lojas_presentes,2025-07-28T18:51:17.958022,COMPLETA
7,ARTESANATO BOM PREÇO,ChIJ3fYBsGK6owAR1-26ugI3neA,0xa3ba62b001f6dd:0xe09d3702babaedd7,16185153120701705687,/g/11t9p86p29,5,1,Loja,Loja,store,"Cipotânea - MG, 36265-000, Brasil",-20.9098756,-43.368685,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3N_9bgH76Z7fuE8QM9ZVqg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=113.29318&pitch=0&thumbfov=100,https://serpapi.com/images/url/H2lBr3icHc09DsIgGADQ27DJT0lsMSFOJi6auDh0aSil8CW0YKFFb-O1vI3GC7z3ebucYzoQkvJiTN7AlAhP49MuKmxDsN6oCAnrMJGNkezWqZ8V-GNUc4BB8msnenuu9209rqfmdhHt_WGR7jvtwcxZJqMW7bAtP3EJA7YxoSIbipwUFXqpIhnjuBKcNShC1k5S9F_GsElG6Rc_rzjj,https://serpapi.com/search.json?data_id=0xa3ba62b001f6dd%3A0xe09d3702babaedd7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3ba62b001f6dd%3A0xe09d3702babaedd7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ3fYBsGK6owAR1-26ugI3neA,"Cipotânea, MG",lojas_presentes,2025-07-28T18:51:17.958022,COMPLETA
8,Miranda Presentes e Utilidades,ChIJcS9Df7MvpAARg3i7un9kKIE,0xa42fb37f432f71:0x8128647fbabb7883,9306799129717602435,/g/1ptw8b5j4,4.6,10,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Dr. João Pinheiro, 3283 - Caeté, MG, 34800-000, Brasil",-19.8848168,-43.6617512,+55 31 3651-3038,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Esvo1ZU7qDVBMuZ07WMFlg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=317.8546&pitch=0&thumbfov=100,https://serpapi.com/images/url/JjjeJHicHc1LDsIgFADA27CTj79WE2Ji1F2XatKNoRSBhAL2UdDTeC5vo_ECM5-3SSnClhBIo1IpW1WifSoHsyiwDkE7JaIFLMNAMiPJTEPnhXW7KHywPT9CDqw9V4_DZd9MLa2uzclpJLubdFb5xEGJURqsy08cQ491BFR4TZHhmzl6icIXrML1arlG0SZpOEX_5B4yZ5R-AS8oORo,https://serpapi.com/search.json?data_id=0xa42fb37f432f71%3A0x8128647fbabb7883&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa42fb37f432f71%3A0x8128647fbabb7883&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJcS9Df7MvpAARg3i7un9kKIE,"Cipotânea, MG",lojas_presentes,2025-07-28T18:51:17.958022,COMPLETA
9,Cíntia Presentes,ChIJo_5MusbvppQRxDvbCVunDMY,0x94a6efc6ba4cfea3:0xc60ca75b09db3bc4,14270965328679484356,/g/11bzwp1lrd,4.9,14,Loja de Presentes,Loja de Presentes,gift_shop,"Nova Aurora - GO, 75750-000, Brasil",-18.057269899999998,-48.2551102,+55 36981338,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:30; terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:30–19:30; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq0cP2NNIAp7lfIPQW8GNOkTFMBszeq3tb42LygFogjrC09W6GDrlumYJ02CYau0bw9WJLdZr8u85da9ktW191y2zmHgKIMD1dYGLX-_UzDZGjm6N_q4DWE1FNpS1d2fQ5IcWb9=w80-h106-k-no,https://serpapi.com/images/url/sOzue3icBcFtDoIgAADQE5FAZtLWj9I0y6hWjfSPSzRcfqCCa3m_DtFteu_3LbRu1cIwqmI6EVKKKh9U3nPZ6LzREy5rQ7QKcAWUsXJIYTYd5CdMabBq59UzOJ2Z7dNjefUOazXm3VSnJg4_wpPi1TuQMMt3-2qoox3ETvQYYPombBdmcW8P9ix7kFIzRNAHj_VW7IODi7LID-8guY1u7L9qiyad6bIN8mh7QRl-nmcBZylZvm0ICgQtUIJG_gFGwUKF,https://serpapi.com/search.json?data_id=0x94a6efc6ba4cfea3%3A0xc60ca75b09db3bc4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94a6efc6ba4cfea3%3A0xc60ca75b09db3bc4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJo_5MusbvppQRxDvbCVunDMY,"Cipotânea, MG",lojas_presentes,2025-07-28T18:51:17.958022,COMPLETA
10,Via Presentes Ltda,ChIJ3ypwhXo-s5QRfpL31BMF1hs,0x94b33e7a85702adf:0x1bd60513d4f7927e,2005796266775646846,/g/1tkl4dv0,4.7,30,Loja de Presentes,Loja de Presentes,gift_shop,"Praça da Matriz, 482 - Bom Despacho, MG, 35600-000, Brasil",-19.7367649,-45.251839,+55 37 98825-2297,http://www.instagram.com/viapresentes,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:30; terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–13:00; domingo: Fechado,,,"Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nranNwEfYWN1s2HT3KSyXBHjdocJfXbGSMZsNTdxowKy-cyJzfb3dBvkcg_vkI25_d5USNXq5fbTx2Vt0pc1DgxJ4tI0OxqxBXfuaxHvAaKOFgtlv4khKLaUHtyx-mxkj1Su0ii2A=w92-h92-k-no,https://serpapi.com/images/url/4mOEnHicDcNLEoIgAADQE5GKuqiZFtrPtGyhlbVxFAUKAwtU7IDdodvUm3nfD1WqlTPDaKg9IUKQpu5k_UKCq5qrCRIPg7QSIAmk4S2m1OGvgsfDCl_OsSVhkNpRMmZ-cK8ECnFWbpL9VcZppcUQjQCN4RuXduX3DJG8Z1vo5pV7TOLs6eIy1fCkzBZZS6JDR23Ng35qP8NdoYPeK6LDmqimdxiNdsUxUKMGD83uVtKZtxv05sMUAvrPABc_pe9G4g,https://serpapi.com/search.json?data_id=0x94b33e7a85702adf%3A0x1bd60513d4f7927e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b33e7a85702adf%3A0x1bd60513d4f7927e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ3ypwhXo-s5QRfpL31BMF1hs,"Cipotânea, MG",lojas_presentes,2025-07-28T18:51:17.958022,COMPLETA
