position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Loja do Felipe,ChIJ6yEQJ3JJpAARwUb3iCo0neg,0xa44972271021eb:0xe89d342a88f746c1,16761610745434031809,/g/11j3s00x57,4.5,12,Loja de presentes,Loja de presentes,novelty_store,"Av. Getúlio Vargas, 961 - Centro, Barão de Cocais - MG, 35970-000, Brasil",-19.940310099999998,-43.480134299999996,+55 31 3837-2222,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=N6FOM1k52y9Te0JW01ajaA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=341.97318&pitch=0&thumbfov=100,https://serpapi.com/images/url/TSCzhXicHc1LDsIgFADA27CTT-unNSHGjQsTdWPi0rzSJ6C0kILF3sZreRuNF5j5vE1KIa4Zi2lATKPFHOwLXZwFoNp77RCCjVT5jo2CJfPsmh6s2wTovW3lcbk7HcRjUUz1Gfn-wgXcYUtUc1XOYp9kRBiUoTr_xMG3VIdIsqw4MbIuyARZlnNB61UpKhJsUkZy8l9ufpSC8y8dOjh_,https://serpapi.com/search.json?data_id=0xa44972271021eb%3A0xe89d342a88f746c1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa44972271021eb%3A0xe89d342a88f746c1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6yEQJ3JJpAARwUb3iCo0neg,"Cocais, MG",lojas_presentes,2025-07-28T18:54:49.067576,COMPLETA
2,Lúcia Confecção Artigos e Presentes,ChIJI-1Bp5BJpAAR_g_mHWqYXxo,0xa44990a741ed23:0x1a5f986a1de60ffe,1900405149309210622,/g/11h3bh0byk,4.8,13,Papelaria,Papelaria,stationery_store,"R. Conceição Caldeira - Progresso, Barão de Cocais - MG, 35970-000, Brasil",-19.933006499999998,-43.473700799999996,+55 31 3837-6571,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótimo atendimento.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=thZUhuQs_NG8IsnQZH5Ebw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=161.72913&pitch=0&thumbfov=100,https://serpapi.com/images/url/BuPk83icHc09DsIgGADQ27DJj0ZtTYiTUReTDi5dGkoRSCiQfl-L3sZreRuNF3jv83aIGQ6MAU7G4OJNyf5pAqyyojYlG4zKHqhOI1sEQzePfVQ-HLOKyQ8SXXt3cwPd7VxdITbtZXvqC9F9p4M3ESUYNWlHbfmJUxqozUCKrDhxsl6TlypS7ATdr2uxIdmjdpKT__JIixScfwGU2DnO,https://serpapi.com/search.json?data_id=0xa44990a741ed23%3A0x1a5f986a1de60ffe&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa44990a741ed23%3A0x1a5f986a1de60ffe&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJI-1Bp5BJpAAR_g_mHWqYXxo,"Cocais, MG",lojas_presentes,2025-07-28T18:54:49.067576,COMPLETA
3,Kasulo Store,ChIJY4KOnXJLpAARV8cS2g0UdpQ,0xa44b729d8e8263:0x9476140dda12c757,10697760014590986071,/g/11ll8j0dm_,5,177,Loja de Roupa,Loja de Roupa,clothing_store,"R. Roderick Jorge, 115 - Cocais, Barão de Cocais - MG, 35975-000, Brasil",-19.8636856,-43.4522273,+55 31 97190-3300,http://g.page/kasulostore/review,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipN_7xEtOI9veXDwob2VSR31b0xChHSf8o-HpjGw=w80-h106-k-no,https://serpapi.com/images/url/v6-ewXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngF29e4Vri72lZlhrhUp6fZBQWHGRsmGRQ4ZzhEZxmka_rUZDlXm5bbmGgm2FoYKabrZuXDwCkgyEW,https://serpapi.com/search.json?data_id=0xa44b729d8e8263%3A0x9476140dda12c757&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa44b729d8e8263%3A0x9476140dda12c757&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJY4KOnXJLpAARV8cS2g0UdpQ,"Cocais, MG",lojas_presentes,2025-07-28T18:54:49.067576,COMPLETA
4,Cocais Aviamentos,ChIJu-sZdC1IpAARKSRiji4ruvM,0xa4482d7419ebbb:0xf3ba2b2e8e622429,17562397175841956905,/g/1tj7xm7w,4.8,12,Loja de aviamentos,"Loja de aviamentos, Loja de materiais para artesanato, Loja de artigos para bordado, Loja de tecidos, Artesanato, Loja de costura",haberdashery,"R. Dr. Antônio Soeiro, 19 - Centro, Barão de Cocais - MG, 35970-000, Brasil",-19.940286399999998,-43.4787752,+55 31 99652-7928,https://linktr.ee/cocaisaviamentos,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipOd7wm368FxlS_KI4b_499vAxW4CP8lVf754seI=w80-h106-k-no,https://serpapi.com/images/url/ZtGl23icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn2JenmtsZuFWkRMc7-1pkhRvYmlZ5lgRbuIcYJETlmZualKc6mlbbmGgm2FoYKabrZuXDwCOZSBe,https://serpapi.com/search.json?data_id=0xa4482d7419ebbb%3A0xf3ba2b2e8e622429&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4482d7419ebbb%3A0xf3ba2b2e8e622429&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJu-sZdC1IpAARKSRiji4ruvM,"Cocais, MG",lojas_presentes,2025-07-28T18:54:49.067576,COMPLETA
5,Facillyta Presentes,ChIJTxg8PylhoQAR4kHeKjyHifA,0xa161293f3c184f:0xf089873c2ade41e2,17332533333399060962,/g/11nn7bdh8p,5,1,Loja de presentes,Loja de presentes,novelty_store,"R. Raimundo Teodoro - Cidade Nova, Barão de Cocais - MG, 35970-000, Brasil",-19.938321,-43.4673302,+55 31 99858-0558,https://shopee.com.br/facillytapresentes,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipNrXBcfwo5klGNSrQ9-8DEO0iCnS8aSEFto7ot8=w163-h92-k-no,https://serpapi.com/images/url/r1b3bnicBcFLDkAwFADAE1V9gpJY-O-IdGMlkaZUVF9TT5zVbcx8i0K0d06pVpG3A-xaPrd0AgxKg56Ai1padsF02MHNldheiE_dD9xNGWFNO_pHbThbedshpICseIMkIioLyUkM_KQBIPs,https://serpapi.com/search.json?data_id=0xa161293f3c184f%3A0xf089873c2ade41e2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa161293f3c184f%3A0xf089873c2ade41e2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJTxg8PylhoQAR4kHeKjyHifA,"Cocais, MG",lojas_presentes,2025-07-28T18:54:49.067576,COMPLETA
6,Colorset Papelaria e Brinquedos,ChIJu-sZdC1IpAARb2Qm9ZjpoHY,0xa4482d7419ebbb:0x76a0e998f526646f,8548088935906436207,/g/1tt1txzf,4.3,52,Papelaria,Papelaria,stationery_store,"Av. Getúlio Vargas, 884 - Barão de Cocais, MG, 35970-000, Brasil",-19.9407829,-43.480736799999995,+55 31 3837-3142,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DSwTDooqGIUHx1akg0Ee6g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=171.7058&pitch=0&thumbfov=100,https://serpapi.com/images/url/nEWTL3icHc1LDsIgEADQ27CTj4m2mhA3NepaXRukI0ykHSxY6mk8l7fReIH3Pm-fc0xrIVIeAPKIUCJOENIsGu6IXAATMXFLnRiVyP7ZXXuDYRNNT9jq5lhODdFjdzjvJ2XuTm5h6Zi9XmxA6LNOYAbruSs_caCWu5hY0bVkXq_m7GWKVpXilVzULGK2Xkv2T240aiXlF0BEOUk,https://serpapi.com/search.json?data_id=0xa4482d7419ebbb%3A0x76a0e998f526646f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4482d7419ebbb%3A0x76a0e998f526646f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJu-sZdC1IpAARb2Qm9ZjpoHY,"Cocais, MG",lojas_presentes,2025-07-28T18:54:49.067576,COMPLETA
7,Nacional PRESENTES,ChIJnU8dMSpIpAARs5c34_P9AgA,0xa4482a311d4f9d:0x2fdf3e33797b3,842173884372915,/g/11tdqz30dx,,0,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Getúlio Vargas, 757 - Barão de Cocais, MG, 35970-000, Brasil",-19.9412831,-43.481785599999995,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DrkU3hZllr46DX6W_7AUIA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=11.969798&pitch=0&thumbfov=100,https://serpapi.com/images/url/g_aIvnicHc3NDcIgGADQbbjJj5q2mHwxTXpxgEbjpaEUgUgLASy6jWu5jcYF3vu8Tc4hHQhJOSqVV6tKsE_l0iYIrL3XTolgE5Z-Jisj2TzmcRHWHYNYvJ2gi_d-Z67OxX3VXarzULf9qUVyHKSzasmQlIjSYF1-YvQT1iGhAg1FBvgWvUQBxjCveM0bFGyWBij6Lze_AqP0C1OlORg,https://serpapi.com/search.json?data_id=0xa4482a311d4f9d%3A0x2fdf3e33797b3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4482a311d4f9d%3A0x2fdf3e33797b3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJnU8dMSpIpAARs5c34_P9AgA,"Cocais, MG",lojas_presentes,2025-07-28T18:54:49.067576,COMPLETA
8,Ateliê de Sonhos,ChIJm-ooAkc3pAARLw_Fq1Mnqko,0xa437470228ea9b:0x4aaa2753abc50f2f,5380155945165066031,/g/11v5c2dk_p,5,1,Papelaria,Papelaria,stationery_store,"R. Ernestino Da Silveira, 174 - Lagoa, Barão de Cocais - MG, 35970-000, Brasil",-19.941658399999998,-43.4877147,+55 31 97144-3502,https://instagram.com/daianaateliedesonhos,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",Retirada na loja,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NmGSR2UnDMGW2CyUj4pbbA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=293.50818&pitch=0&thumbfov=100,https://serpapi.com/images/url/b0_3gnicHc1RCsIgGADg2_iWOivYAoko2FM9FKPHUGdqOP2ZNtttula3KbrA933eNmdIG0JSHrXOk9MF3Ev7tACBTYzGawEuYRUHMlUk2-cgg3B-CyJE1_PT0F7OrAuHY3tl-7l7rEDKHVLyprzTIfOkxagsNuUnjrHHBhIqvKbI8oahWRTOmiVe07qqEbisLKfov9zjxCtKv1i2OS0,https://serpapi.com/search.json?data_id=0xa437470228ea9b%3A0x4aaa2753abc50f2f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa437470228ea9b%3A0x4aaa2753abc50f2f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJm-ooAkc3pAARLw_Fq1Mnqko,"Cocais, MG",lojas_presentes,2025-07-28T18:54:49.067576,COMPLETA
9,Personalizados Barão de Cocais,ChIJ-4s0ylZJpAARCW6XRS119HQ,0xa44956ca348bfb:0x74f4752d45976e09,8427489640018570761,/g/11wqmz09hh,5,4,Loja de presentes,"Loja de presentes, Fornecedor de Brindes, Loja de camisetas personalizadas, Loja de variedades",novelty_store,"R. Afonso Pena, 1235 - Capim Cheiroso, Barão de Cocais - MG, 35970-000, Brasil",-19.9535672,-43.4812817,+55 31 97121-5006,https://www.instagram.com/personalizadosbaraodecocais/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:30; terça-feira: 09:00–17:30; quarta-feira: 09:00–17:30; quinta-feira: 09:00–17:30; sexta-feira: 09:00–16:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipON1l3nf9ry5kpNNouPxOCB-HGSMLhQWw9ndzmG=w192-h92-k-no,https://serpapi.com/images/url/xPDhKHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng72eYY5yXZllUaZpd4OeXXxpQ4e_spOvhHuzrkxEYXm6Zl1KV625bbmhppJsBxNm6efkArHIhdw,https://serpapi.com/search.json?data_id=0xa44956ca348bfb%3A0x74f4752d45976e09&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa44956ca348bfb%3A0x74f4752d45976e09&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ-4s0ylZJpAARCW6XRS119HQ,"Cocais, MG",lojas_presentes,2025-07-28T18:54:49.067576,COMPLETA
10,Chocomimos Cestas e Presentes,ChIJDURegeg3pAARt7T0g24n-UI,0xa437e8815e440d:0x42f9276e83f4b4b7,4825931831317935287,/g/11w3lpldsp,,0,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. Terezinha Peres Caldeira, 305 - São João Batista, Barão de Cocais - MG, 35970-000, Brasil",-19.9338663,-43.4901692,+55 31 99902-6909,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipN4TGKiFfGFXBa0hDofNIZOoY0r5CnRQC-Z4iN0=w80-h142-k-no,https://serpapi.com/images/url/MPJF1XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngZxLi7p3plubuFuGUaJDhkp_m5xnlnx9pUGTqnBcU6KwbZZLpZ2BbbmGgm2FoYqSbrZuXDwCLfiBE,https://serpapi.com/search.json?data_id=0xa437e8815e440d%3A0x42f9276e83f4b4b7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa437e8815e440d%3A0x42f9276e83f4b4b7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJDURegeg3pAARt7T0g24n-UI,"Cocais, MG",lojas_presentes,2025-07-28T18:54:49.067576,COMPLETA
