position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Lojas Megazine,ChIJaR_padCKmAARdZlUNqg8Zec,0x988ad069e91f69:0xe7653ca836549975,16673799888572815733,/g/11k52bwf_d,5,34,Loja de Roupa,Loja de Roupa,clothing_store,"Praça Antônio Pôrto, 176 - Centro, Comendador Levy Gasparian - RJ, 25870-000, Brasil",-22.0298604,-43.2053979,+55 24 99204-3858,,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–14:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipPAJpnZY-MmUdQgcqkCcYYEOyp8Kh6g-a6msYzj=w92-h92-k-no,https://serpapi.com/images/url/1i3hRXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4OhVkBcVqeubG5oSmJ5cmO2cHBnp6l9ZYOGdYZaum2iWWxxZlWVbbmmkmwHE2bp5-QCVCSGN,https://serpapi.com/search.json?data_id=0x988ad069e91f69%3A0xe7653ca836549975&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988ad069e91f69%3A0xe7653ca836549975&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJaR_padCKmAARdZlUNqg8Zec,"Comendador Levy Gasparian, MG",lojas_presentes,2025-07-28T18:57:52.102503,COMPLETA
2,Mimos Mania,ChIJRxAUjw2JV60RcZR8ijWhx1s,0xad57890d8f141047:0x5bc7a1358a7c9471,6613431829145621617,/g/11lnjhq848,5,15,Loja de cestas de presente,"Loja de cestas de presente, Service establishment",gift_basket_store,,-22.120040799999998,-43.1486741,+55 24 98835-7603,,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 09:00,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: Fechado,,,,Cartão de crédito,,,"""A Lara faz toda a diferença com a simpatia e boa vontade.""",https://lh3.googleusercontent.com/p/AF1QipP1xO0-OZHPeQhyMnuFVJHjAMi3cJUTmNilMTHo=w130-h92-k-no,https://serpapi.com/images/url/VqyWjHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYFjhb6DrH-URkBqYUembV-oW5uWR5eibaZzsFRqS65eZ4xvikW9bbmhsoJthaaSbrZuXDwCfYSEj,https://serpapi.com/search.json?data_id=0xad57890d8f141047%3A0x5bc7a1358a7c9471&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xad57890d8f141047%3A0x5bc7a1358a7c9471&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRxAUjw2JV60RcZR8ijWhx1s,"Comendador Levy Gasparian, MG",lojas_presentes,2025-07-28T18:57:52.102503,COMPLETA
3,"LC - Loja do Chaveiro - Vagner , Levy Gasparian e Três Rios",ChIJVVVVVcWKmAARJFCsWsrCbi0,0x988ac555555555:0x2d6ec2ca5aac5024,3273768153505353764,/g/1jkvgcj6z,4.9,15,Chaveiro(a),"Chaveiro(a), Loja de Presentes, Armarinho",locksmith,"Josefina, Av. Comendador Levi Gasparian, 61 - loja 15 - Centro, Comendador Levy Gasparian - RJ, 25870-000, Brasil",-22.0300217,-43.204378299999995,+55 24 98848-8625,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,,,,"""O melhor lugar para fazer a sua chave em Levy Gasparian.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrw5Vy49dQNTvoolHbk4gAj9BIyj6dPXICrhE4GjcZrm7w3IUrpsza3BUMo0Pm8SvNAUkCHXslQBZ4CjYxijE1y3DlmEdS4I6LSnLvM1OGWznpi9fzXRLOYOReFSZXlGlpMLZxu8g=w122-h92-k-no,https://serpapi.com/images/url/w2bVBXicBcFRkoIgAADQE5GrshXN9KGumTOaldmaf6UGIQIDpukFO0O36b3Pm3Sd1CvDYMSeYSEwq5-6VqXgXc27WSlaA0sNSg204XiIQK6G3_MIUXXYnXoh2PbWQOxQ5IYjnVf7PPQU8WFAy0K1i8EOMyX1dLXdLBY_-3aZ9jsna7xtrtnBLaBHL68H9c3R_mOtX6UwnEcpj_rYTIL_icsHuk_5MUouybHepEXOAibjqHg9l3g9mJYFCLJAA7j4AoX9Rcg,https://serpapi.com/search.json?data_id=0x988ac555555555%3A0x2d6ec2ca5aac5024&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988ac555555555%3A0x2d6ec2ca5aac5024&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJVVVVVcWKmAARJFCsWsrCbi0,"Comendador Levy Gasparian, MG",lojas_presentes,2025-07-28T18:57:52.102503,COMPLETA
4,Armarinho e Papelaria Papelar,ChIJlaTduyb1mAARxugtOae_br8,0x98f526bbdda495:0xbf6ebfa7392de8c6,13794173433622161606,/g/11bz08d311,4,20,Papelaria,Papelaria,stationery_store,"Av. Fonseca Almeida - Conj Habt Fonseca Almeida, Comendador Levy Gasparian - RJ, 25870-000, Brasil",-22.0504246,-43.2094966,+55 24 2254-2801,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–16:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipOyGxeG_e4EJQ2Ks9RKUlGHd4Xvhger7XcATKlr=w80-h106-k-no,https://serpapi.com/images/url/uF0uzHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX-lekeoen2ri6hVo5F1sGeQdmuPukWISUZaRnlpkHpHsGOKdU2RbbmGgm2FoYKabrZuXDwCpCyFT,https://serpapi.com/search.json?data_id=0x98f526bbdda495%3A0xbf6ebfa7392de8c6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98f526bbdda495%3A0xbf6ebfa7392de8c6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJlaTduyb1mAARxugtOae_br8,"Comendador Levy Gasparian, MG",lojas_presentes,2025-07-28T18:57:52.102503,COMPLETA
5,MAGAZINETECNOMAR,ChIJN8_8Y9CKmAARAhYME-jpZA4,0x988ad063fccf37:0xe64e9e8130c1602,1037210997163300354,/g/11dxnqhqpr,4.5,2,Loja de eletrônicos,Loja de eletrônicos,electronics_store,"R. Pedreira São Sebastião - Centro, Comendador Levy Gasparian - RJ, 25870-000, Brasil",-22.029421199999998,-43.2058403,,http://www.magazinevoce.com.br/magazinetecnomar,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqt8fUSawJST9Nskkl_2Q4uRt6wwQ74lK9z0F_k2gSvcSi8OomC2WjDIGno9XRO4P_wzkiaPyVmorI-sTZr-XKRkFjiTLpqZv-ziWcMobenN7ONw8_6ckhlfXGk7yciPwhP4FIE=w92-h92-k-no,https://serpapi.com/images/url/UmIBKnicDcPdDoIgGADQJyKbsZS2Llplsx81tXLduGImBPKZUCyfr5fobeps5_thxrR64jiSjQY1QC2rp646CspUygwoNE7dakQ10s5sThhWD-PfDtnFrrOcRFoIWbp7_EzN2Nq9h-WG9MOgFG6dvWjG_RiauXu6L8KVAlKkMU5K2wt-Sd7HBroQ6fzcoWKTiuDO8237OL9Qz090B9dKRV4cWb8cU8HkrVgJ7015YlmCg3A5tcRF7F8gBT_xxUXJ,https://serpapi.com/search.json?data_id=0x988ad063fccf37%3A0xe64e9e8130c1602&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988ad063fccf37%3A0xe64e9e8130c1602&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJN8_8Y9CKmAARAhYME-jpZA4,"Comendador Levy Gasparian, MG",lojas_presentes,2025-07-28T18:57:52.102503,COMPLETA
6,Jujular casa e acessórios,ChIJV3CiEev1mAARdnDouo2Zzko,0x98f5eb11a27057:0x4ace998dbae87076,5390414638014296182,/g/11h5mq1kpt,4.5,2,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"Av. Fonseca Almeida - Conj Habt Fonseca Almeida, Comendador Levy Gasparian - RJ, 25870-000, Brasil",-22.0492408,-43.205923999999996,+55 24 98849-3941,,Fechado ⋅ Abre ter. às 09:30,Fechado ⋅ Abre ter. às 09:30,segunda-feira: 09:30–18:30; terça-feira: 09:30–18:30; quarta-feira: 09:30–17:30; quinta-feira: 09:30–18:30; sexta-feira: 09:30–18:30; sábado: 09:30–18:30; domingo: 09:30–12:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqAGvfgEdv9KoQpuSQQOSCYvIBXtmqImHwOOc6kiRiF4uN8H1R5qhFUmi-61qRKQwreBvuEwgxffALv7MfeA3zqt_ETK4SA_D4PeV_IxlTAD5VAqCsYO8Q-yLOQXaUPxCvB8kKZtA=w80-h142-k-no,https://serpapi.com/images/url/nWBRW3icBcH_EoEwAADgJ5rEEHf-WAldmBUO_3Qua-v6sWZrxQt6Bm_j-35frnWjFpZV8vGACcFK2ir6SkWtaa0Hqags1iiQKqAs5M05rCXamIz5TzMPBWnamBAcezcTuFddyaDadhin0yKP8jVsD87WjiaSr89VDqa2jELSvahrWr9jfZahnZntM4rGH6kT_xTCGCUreKSXJOjLE1pNLkh66oYdAt47TK6P87H3jOsU4V2jZecMAbfhCBSgFn-Yj0Vt,https://serpapi.com/search.json?data_id=0x98f5eb11a27057%3A0x4ace998dbae87076&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98f5eb11a27057%3A0x4ace998dbae87076&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJV3CiEev1mAARdnDouo2Zzko,"Comendador Levy Gasparian, MG",lojas_presentes,2025-07-28T18:57:52.102503,COMPLETA
7,Lojas Marias,ChIJbZAOUR_1mAARrjFtxSATSPU,0x98f51f510e906d:0xf5481320c56d31ae,17674397769087660462,/g/11m6m4l63p,5,1,Loja de Roupa,Loja de Roupa,clothing_store,"Av. Fonseca Almeida, 322 - Conj. Hab. Fonseca Almeida, Comendador Levy Gasparian - RJ, 25870-000, Brasil",-22.0498411,-43.208013,+55 24 99859-8530,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Maravilhoso atendimento""",https://lh3.googleusercontent.com/p/AF1QipOZAL6yeGZlLzwD0lTuW5FHsU6eZGF-kPWsTlB7=w163-h92-k-no,https://serpapi.com/images/url/mnat43icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH-XoY1aZ6h6V41NV7mKQE1IaburmURxqlhrl7qabHRBeHJLjZG5bbmhmrJthaaSbrZuXDwCkoCEI,https://serpapi.com/search.json?data_id=0x98f51f510e906d%3A0xf5481320c56d31ae&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98f51f510e906d%3A0xf5481320c56d31ae&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJbZAOUR_1mAARrjFtxSATSPU,"Comendador Levy Gasparian, MG",lojas_presentes,2025-07-28T18:57:52.102503,COMPLETA
8,Confecções Levy Gasparian,ChIJY5wLFtCKmAARpPInlr4H8_Q,0x988ad0160b9c63:0xf4f307be9627f2a4,17650459879739486884,/g/1pv6pt32p,3.7,6,Loja de roupas de designer,Loja de roupas de designer,designer_clothing_store,"R. Josefina Gasparian, 61 - lj 4 - Centro, Comendador Levy Gasparian - RJ, 25870-000, Brasil",-22.029536999999998,-43.2043799,+55 24 2254-1319,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 09:30–11:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=26TYME3f1_x-7ZXGEKFgCQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=332.2234&pitch=0&thumbfov=100,https://serpapi.com/images/url/64y_63icHc09DsIgGADQ27AVKBj_ki8OpjoYBxMHdWkopUBCCylY6mk8l7fReIH3Pm-TUohbQmIalUqTVTnYWblYBIG199opEWzE0vdkKkkyz74ZhHW7IAZvW2DL6_1c8a6s52L1uB2r00HvL0g2tXRWDQmiEqM0WOefOPoW6xBRhjVFBjYMvUQGzhlmjC9QsEkaoOifdH6CktIv5os4QA,https://serpapi.com/search.json?data_id=0x988ad0160b9c63%3A0xf4f307be9627f2a4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988ad0160b9c63%3A0xf4f307be9627f2a4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJY5wLFtCKmAARpPInlr4H8_Q,"Comendador Levy Gasparian, MG",lojas_presentes,2025-07-28T18:57:52.102503,COMPLETA
9,Rosana Gomes Festas,ChIJOYZ6WNJUKW8R1344KsVCC0U,0x6f2954d2587a8639:0x450b42c52a387ed7,4975143627945180887,/g/11w9yv84pw,5,35,Loja de artigos para festas,"Loja de artigos para festas, Service establishment",party_store,,-22.120040799999998,-43.1486741,+55 24 99319-4561,https://www.youtube.com/channel/UCTRgoUx9DnH4_7YDciDWn_w,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:00; terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–16:30; sábado: Fechado; domingo: Fechado,,,,,,,"""Recomendo de olhos fechados!""",https://lh3.googleusercontent.com/p/AF1QipP7FWTSmTwQpT2LHzaANwQFszy6o5JoQ8p8U0R5=w156-h92-k-no,https://serpapi.com/images/url/UeXt13icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYO4WHhKcG1IeWBBi5ONRlejoVx7oVlxVaZZv6pUfaFFgEWoQZGpbbmhqppthaaSbrZuXDwCmbCEK,https://serpapi.com/search.json?data_id=0x6f2954d2587a8639%3A0x450b42c52a387ed7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x6f2954d2587a8639%3A0x450b42c52a387ed7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJOYZ6WNJUKW8R1344KsVCC0U,"Comendador Levy Gasparian, MG",lojas_presentes,2025-07-28T18:57:52.102503,COMPLETA
10,Bramil,ChIJ7aZewVaLmAARH1EKTRfSs20,0x988b56c15ea6ed:0x6db3d2174d0a511f,7904892768483954975,/g/11gw21y_x0,4.2,393,Supermercado,Supermercado,supermarket,"Praça Antônio Pôrto, 212 - Centro, Comendador Levy Gasparian - RJ, 25870-000, Brasil",-22.029747999999998,-43.2056641,+55 24 2254-4250,http://www.bramil.com.br/,Aberto ⋅ Fecha às 20:00,Aberto ⋅ Fecha às 20:00,segunda-feira: 08:00–20:00; terça-feira: 08:00–20:00; quarta-feira: 08:00–20:00; quinta-feira: 08:00–20:00; sexta-feira: 08:00–20:00; sábado: 08:00–20:00; domingo: 08:00–13:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC, Pluxee","Entrega sem contato, Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nozAnhmfsdGfO5tT89BAbn59WUlhMxpb5NsGHXVBwW_lo3mN2Uq0aHb4fXAH0soIea4stLukTCEnB7JdQmCsV2dkOaM8yl6MpQ6xllwaQER1r3nZjGQPcn48Un6Ns5YHNziRz70eA=w163-h92-k-no,https://serpapi.com/images/url/WIuzRHicBcFZroIwFADQFVWQSTDxoxADGkEx4vRjGApVyi16a1A2-NbwduM5_39cqR7nmia4OWmkbAR7I3uVEhQDNSllpzU9khIJajTwuAVypMC7Gquw3trq4Ho-LcD2Tpng8acv7ATD6Hz0h9NNSLNLjOyp51Fh1Wca6ShXLLdQbd7tIViCP1tXaRfg0ajabR67X-HEfep8hBjydLmfvky4PsJ0V4LlZuAkaF-iZLzvx5nO6GKYOibhnkFaAvIHhdNFWw,https://serpapi.com/search.json?data_id=0x988b56c15ea6ed%3A0x6db3d2174d0a511f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988b56c15ea6ed%3A0x6db3d2174d0a511f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7aZewVaLmAARH1EKTRfSs20,"Comendador Levy Gasparian, MG",lojas_presentes,2025-07-28T18:57:52.102503,COMPLETA
