position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Vila Ibitipoca,ChIJtwf2xJRPnwARjZqhHwTqVdc,0x9f4f94c4f607b7:0xd755ea041fa19a8d,15516565394606365325,/g/11rsf5lrvk,5,68,Loja de Presentes,Loja de Presentes,gift_shop,"Rua Olga da Silva de Oliveira - Loja 13 - Shopping Portal da Serra, Conceição da Ibitipoca, Lima Duarte - MG, 36144-000, Brasil",-21.721171899999998,-43.924531599999995,+55 32 98433-9922,https://www.instagram.com/vilaibitipoca/,Fechado ⋅ Abre sex. às 12:00,Fechado ⋅ Abre sex. às 12:00,segunda-feira: Fechado; terça-feira: Fechado; quarta-feira: Fechado; quinta-feira: Fechado; sexta-feira: 12:00–00:00; sábado: 12:00–00:00; domingo: 12:00–00:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""E a Patricia, atendente da loja, é muito antenciosa e simpaticíssima.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npVyVkLzrgK4P1f7AkTdhWealTmdtQmhgj83uhEi8KqsF5LTs49cLVUbjsc_ZeB6SJord-dDRJ_kBeXjxuOOMWrlCjfGQHjy_Nb4SISavwvwh6gZtPZXn-TpMbQEtMiq1l7l89l=w142-h92-k-no,https://serpapi.com/images/url/MF_GUnicBcFbEoIgAADAE5FjUWkzffSwp1ammeOPk0gQIphgZvfrEN2m3d-Xal2piWFwOugRKQnHjcI1kkJjoXtIlgapFEAKKGO2sCkUVdRFhfupyR6ezPt4VoQ5veIbD8tc-yUlzBo01HlY-6daDd1QQRu50SVjCqUJno-CnaxzkC_Pu7SY45i9m-PRu9Z8we5rf8O69JDBYBvcXu2rpSOS6FMSCxBWXuY72ns8TT7mls2nrQn7gNp9UAAh_23WRlQ,https://serpapi.com/search.json?data_id=0x9f4f94c4f607b7%3A0xd755ea041fa19a8d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4f94c4f607b7%3A0xd755ea041fa19a8d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJtwf2xJRPnwARjZqhHwTqVdc,"Conceição de Ibitipoca, MG",lojas_presentes,2025-07-28T19:03:36.734531,COMPLETA
2,Casamarela,ChIJaUog9jVPnwARk0XDEbnzGIg,0x9f4f35f6204a69:0x8818f3b911c34593,9806856164791764371,/g/11gd4r4q3k,4.5,6,Loja de Presentes,Loja de Presentes,gift_shop,"Conceição da Ibitipoca, Lima Duarte - MG, 36140-000, Brasil",-21.721817899999998,-43.924592399999995,,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,"segunda-feira: 09:00–12:00, 14:00–18:00; terça-feira: 09:00–12:00, 14:00–18:00; quarta-feira: 09:00–12:00, 14:00–18:00; quinta-feira: 09:00–12:00, 14:00–18:00; sexta-feira: 09:00–12:00, 14:00–18:00; sábado: 09:00–12:00, 14:00–19:00; domingo: 09:00–18:00",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Cores, design, tecido.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrLgr0UeqMqODF5pNOzOt76t3_OjnljZGSncTagX8f0GY0HyGD-ZSynqBpOavHkwdnKwLm9NxXTOlmb96r5-B7zS4kKAoVVc3gU4BXzoTPCc-vnZxQ7R89jbg_qRzNnlUuQ3YM=w122-h92-k-no,https://serpapi.com/images/url/T6uZ4XicBcHdEoFAGADQJ1qlX2vGhTQygxaVSTdGK9vU9m21S_R8XsLbOOf3LZVq5VzTeGlOmBCMF09Z9FSAKkBNqGg01kpEJZLacoVLC_od6_Wk6PYd8dd2G5KRKNdR5pVUwKssiIDGN5bOHnpw0TefwEdZ9IHOa8nttamHO2yHXYPDdxoT3uTY6W3kuWNk1dulOJ-pyRLLS0cRH1YUvSB7H93TDFc5u3anMQSePI_mZb8YpoaBSmygGoH4A78PRMs,https://serpapi.com/search.json?data_id=0x9f4f35f6204a69%3A0x8818f3b911c34593&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4f35f6204a69%3A0x8818f3b911c34593&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJaUog9jVPnwARk0XDEbnzGIg,"Conceição de Ibitipoca, MG",lojas_presentes,2025-07-28T19:03:36.734531,COMPLETA
3,Pedacinho de Minas,ChIJ53VDCFNPnwARbuTDDFud-gw,0x9f4f53084375e7:0xcfa9d5b0cc3e46e,935232887014548590,/g/11p0__3lz5,5,4,Loja,Loja,store,"R. Olga Silva Oliveira, 48 - Conceição da Ibitipoca, Lima Duarte - MG, 36140-000, Brasil",-21.7206471,-43.9243856,+55 32 98498-9876,,Aberto ⋅ Fecha às 22:00,Aberto ⋅ Fecha às 22:00,segunda-feira: 09:00–22:00; terça-feira: 09:00–22:00; quarta-feira: 09:00–22:00; quinta-feira: 09:00–22:00; sexta-feira: 09:00–22:00; sábado: 09:00–22:00; domingo: 09:00–22:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Boas opções de lembrancinha e presentes de Ibitipoca.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npnw8wkSnIhWQFCRUJmf86g1b0ueczktyTmTeDzaUsLjjPeCkMuHFi0YYqcQWbkfcDOv0edw5Cpkr-Jb1TiLZAjIQSCrIU1ng3q7ZhEji9wwIL7YhHMRB-uuGsRqTLdqrdymqA7xQ=w122-h92-k-no,https://serpapi.com/images/url/jvHmJHicBcFLcoIwAADQE0V-tUhnXNBYFQfH8hsGdxJiApGEkKRRL9gzeBvfe_1TrSf15Tg3GiyIEOSGjcIzElxjrhdIjA6ZFEAKKCeGEf3gE7crywqe0Drbwrw6jNfVJ_Fa12D0ZPpRjiXePC-VSofhF0N2NPtt7zaNRFndsivanP5c3NklnNgMDq1X9uk5HpKsgHNSeZwEMjzTn6GPrE3SsKH7Y_4NjNmpXJZpJ-fuMco4vGdr6_k-oJEPGODiDf4-RvU,https://serpapi.com/search.json?data_id=0x9f4f53084375e7%3A0xcfa9d5b0cc3e46e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4f53084375e7%3A0xcfa9d5b0cc3e46e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ53VDCFNPnwARbuTDDFud-gw,"Conceição de Ibitipoca, MG",lojas_presentes,2025-07-28T19:03:36.734531,COMPLETA
4,Bambu Arte,ChIJ73uP4LdPnwARqelgdlBMny8,0x9f4fb7e08f7bef:0x2f9f4c507660e9a9,3431545349546764713,/g/11sdq42xd0,3.7,3,Loja,Loja,store,"R. Cônego Carlos Dias - Conceição da Ibitipoca, Lima Duarte - MG, 36140-000, Brasil",-21.7199748,-43.9249204,+55 32 99987-1074,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np4Ds9VSCqmF8meHOOXgVocCY-qRQ1Yer3yRlwcds6Sn3XIxuVuz-oRgQE0_3ZL310bsfp78m1Rk_En_FRAf496HQkz-_qazjBDzuivmhaA66_kWAMHIRXG36UYxadsRF20yqDZYw=w80-h106-k-no,https://serpapi.com/images/url/YznPj3icBcFRboIwGADgE1XKSjpYsgcEGSYuhpoh-NKwWtsJbcEfhnLBnWG38fv-__Q49vDmeZ0mK-Wc6uQE8iacHaUdV8IZT_WABCDw4iTSge2DFKLykAwmC43M9_tKlU4kNRpY4dfyRh6sm8UZ6MGSanufymlBjqligzk57YiPv-HSv4bGZy3fWJ6x-BJENC_aBfGhWa7rdJl-fo1uYkp5e4w_8y2rPgj9qu_NGVj2gh9Deqrn9znESPuYohZZ9wRObkUC,https://serpapi.com/search.json?data_id=0x9f4fb7e08f7bef%3A0x2f9f4c507660e9a9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4fb7e08f7bef%3A0x2f9f4c507660e9a9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ73uP4LdPnwARqelgdlBMny8,"Conceição de Ibitipoca, MG",lojas_presentes,2025-07-28T19:03:36.734531,COMPLETA
3,Mantiqueira Ateliê,ChIJzc3KxEhPnwARRS3Bu9QLylg,0x9f4f48c4cacdcd:0x58ca0bd4bbc12d45,6397939228944182597,/g/11f545tlkf,5,1,Artesanato,Artesanato,handicraft,"R. do Curro, s/n - Conceição da Ibitipoca, Lima Duarte - MG, 36140-000, Brasil",-21.7165713,-43.9284378,+55 32 99832-1343,,Fecha em breve ⋅ 19:30 ⋅ Abre ter. às 08:00,Fecha em breve ⋅ 19:30 ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:30; terça-feira: 08:00–20:00; quarta-feira: 08:00–20:00; quinta-feira: 08:00–19:30; sexta-feira: 08:00–19:30; sábado: 08:00–19:30; domingo: 08:00–19:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipPgHnkCZNcdiUdgyhdY8MEvXQZSUr54TW64l0vc=w92-h92-k-no,https://serpapi.com/images/url/q3rDWnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkO6Rl-0c5Zeckhmakl6ZkRJp4etaFhEYFRxaZGoSEm5mkmNQlmxbbmmkmwHE2bp5-QCYRCFN,https://serpapi.com/search.json?data_id=0x9f4f48c4cacdcd%3A0x58ca0bd4bbc12d45&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4f48c4cacdcd%3A0x58ca0bd4bbc12d45&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJzc3KxEhPnwARRS3Bu9QLylg,"Conceição de Ibitipoca, MG",lojas_artesanato,2025-07-28T19:03:39.800041,COMPLETA
4,Arte Mineira,ChIJiQvsLJtPnwARDt9yRpwSi4s,0x9f4f9b2cec0b89:0x8b8b129c4672df0e,10055151055440895758,/g/11krs52wkj,5,1,Loja,Loja,store,"Conceição da Ibitipoca, Lima Duarte - MG, 36140-000, Brasil",-21.7199189,-43.9246595,+55 32 98446-6138,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,"""Adorei os produtos regionais e de lembrancinhas!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq1UJ4thSyz8VwbdkVq45Vc_k4S2fuPnuUGLYQE9_pHDwOZlYIIbyS_DNbsXM1eWjlji2AfGEzhXr1Xe7sHrHJ8Hex9VsOnVExZE1MgOpbanWIe3VWqD1sCIKyFOSGOhbl3Qedf=w80-h106-k-no,https://serpapi.com/images/url/ux3tPHicBcFRboIwGADgE1WssA2W-GAEAaerhlDQF2Kx0Eltgb8E8X4ewtvs-94vYUwL35YlhT2rta4lH4D3pVaGKzMr9d2qW0AlILBWa084qsPp1jEimZ4uHdm1oZ3zQcuicZJFNRzUkIa70zHwijbyR3KWpzhmU1L4vwzyPebZTd7-FqsqDJ4i73HOvyDqo60b8YdHgSgaPM4B3tekZReVxdymWedjWMc_04YkIRFM2kd-rZajO0cCzz9Rg5T-BxExRSQ,https://serpapi.com/search.json?data_id=0x9f4f9b2cec0b89%3A0x8b8b129c4672df0e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4f9b2cec0b89%3A0x8b8b129c4672df0e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJiQvsLJtPnwARDt9yRpwSi4s,"Conceição de Ibitipoca, MG",lojas_artesanato,2025-07-28T19:03:39.800041,COMPLETA
6,Serra Do Artesanato,ChIJp78ibwBPnwARuNJWJMEYjRE,0x9f4f006f22bfa7:0x118d18c12456d2b8,1264694288178401976,/g/11wqvlvhz_,,0,Loja,Loja,store,"R. Dep. Lourival Br Filho, 10 - loja 3 - Conceição da Ibitipoca, Lima Duarte - MG, 36140-000, Brasil",-21.7198699,-43.9247985,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrZKCkVapM4TjrYZGhsCWZkX6NF0rznwMt2UgJjo6aB6XyH818jrr3ttkVUIOCB-flhrgbMd3j3TwKzi2mOxF0qY0l5ngj4qjydWetf5dwHBvQtaZFoRf5-bRcpdbT6ANDi8E60=w80-h106-k-no,https://serpapi.com/images/url/IiQElHicBcFLDoIwFADAE1WKQIMmLgRF1KDR4I8d35YCLbZPUe_nIbyNM78vA-j11DBaZo2olLQtH7pUuRRQChjlsjNor1GukTbm_oTZQiVbvzmnfWTHXN2SFdP-JWmuZBdg9RFDBOMT3XBJUo9c36FrulwpC6A5n9Z730NVyxTNosLiVjxsP_W4278CfL_h1hGU23f-Li4lVE4xhN7zAGkSyGPloOyY90UWk_luUbtLgmeDixEzMUENEvIPHTVFEw,https://serpapi.com/search.json?data_id=0x9f4f006f22bfa7%3A0x118d18c12456d2b8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4f006f22bfa7%3A0x118d18c12456d2b8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJp78ibwBPnwARuNJWJMEYjRE,"Conceição de Ibitipoca, MG",lojas_artesanato,2025-07-28T19:03:39.800041,COMPLETA
7,Ibitipoca Store,ChIJUQqwLo1PnwARXudyHfDTFZ4,0x9f4f8d2eb00a51:0x9e15d3f01d72e75e,11391243860743219038,/g/11rxmhvj_v,5,4,Cafeteria,Cafeteria,coffee_shop,"R. Cônego Carlos Dias - Centro, Lima Duarte - MG, 36144-000, Brasil",-21.719725699999998,-43.9243678,+55 32 98483-0807,https://instagram.com/ibitipocastore?utm_medium=copy_link,Fechado ⋅ Abre ter. às 13:00,Fechado ⋅ Abre ter. às 13:00,segunda-feira: 13:00–18:00; terça-feira: 13:00–18:00; quarta-feira: 13:00–18:00; quinta-feira: 10:00–19:00; sexta-feira: 10:00–22:00; sábado: 10:00–22:00; domingo: 10:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Mesas externas, Refeição no local",,,https://lh3.googleusercontent.com/p/AF1QipNnkk_jIzRND2n-ESw0820vjqEIBVLHGRAPEciw=w80-h120-k-no,https://serpapi.com/images/url/MNpTlXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl5edHZ_lWRXk52KUp-saXG5gYWRQllXo6ukU5uPhHuQY4JqcWW5bbmGgm2FoZKCbrZuXDwCgnSDX,https://serpapi.com/search.json?data_id=0x9f4f8d2eb00a51%3A0x9e15d3f01d72e75e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4f8d2eb00a51%3A0x9e15d3f01d72e75e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJUQqwLo1PnwARXudyHfDTFZ4,"Conceição de Ibitipoca, MG",lojas_artesanato,2025-07-28T19:03:39.800041,COMPLETA
8,"Portal da Serra - Cultura, Gastronomia & Arte",ChIJARt1AEpPnwARhEdaeheaFPg,0x9f4f4a00751b01:0xf8149a177a5a4784,17876082246568003460,/g/11c5zmt6jm,4.6,111,Restaurante,Restaurante,restaurant,"R. Olga Silva Oliveira, 42 - Conceição da Ibitipoca, Lima Duarte - MG, 36140-000, Brasil",-21.7210853,-43.9246085,,,,,,$$,,Assento com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Mesas externas, Refeição no local",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr0pR3fA9iT3xutSe2N0iK136s_eIy0rhgMgEKhTXwuLCNkj3ZTDFrMLDpS3Sql5cnh3v50g1uOnTjY63hF0YxgFUaQJqHxwX_7loBE5DsUGgHAS0QKM9u8f2mrczZPwpZ-hJmUtQ=w163-h92-k-no,https://serpapi.com/images/url/dShZzXicBcFbUoMwFADQFaUErqA44weWYi2lisBMy0_HyaS5bSFJ8xB0g67B3XjO3y86p-1jEAwIC6GUGLi33DAlHZduwdQYCG0Js8QG2TLFO2mo_oBTlp5bmL1reLSj5zKExB756zc1KCqxKrHdT3673F0v0Ld5YaptrhtobkPMJMJXTEXo32R7OSSABT3Moug-681tPU_74_2gnldxbrsXsc4aWpdV6h9O0WjYT_8-6Z7gZuxc_TSFCRBMI3IlUv0DJj1E3w,https://serpapi.com/search.json?data_id=0x9f4f4a00751b01%3A0xf8149a177a5a4784&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4f4a00751b01%3A0xf8149a177a5a4784&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJARt1AEpPnwARhEdaeheaFPg,"Conceição de Ibitipoca, MG",lojas_artesanato,2025-07-28T19:03:39.800041,COMPLETA
9,"Gabriel Gavioli, espaço de arte",ChIJi_pWHDZPnwARet0uxZKDmg0,0x9f4f361c56fa8b:0xd9a8392c52edd7a,980240535303150970,/g/11b76c244h,4.9,14,Galeria de Arte,Galeria de Arte,art_gallery,"Praça do Rosário, s/n 7 Distrito de, Lima Duarte - MG, 36144-000, Brasil",-21.720385999999998,-43.924746899999995,+55 32 98413-8014,http://gabrielgavioli.blogspot.com/,Fecha em breve ⋅ 20:00 ⋅ Abre ter. às 10:00,Fecha em breve ⋅ 20:00 ⋅ Abre ter. às 10:00,segunda-feira: 10:00–20:00; terça-feira: 10:00–20:00; quarta-feira: 10:00–20:00; quinta-feira: 10:00–21:00; sexta-feira: 10:00–22:00; sábado: 10:00–22:00; domingo: 09:00–20:00,,,Estacionamento com acessibilidade para pessoas em cadeira de rodas,,,,"""Fantástico mundo de cores e imaginação!!!!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nphtUBR10G_J9ryceCfW9nWw0apXlTsv2IbEBMSgoWnKz69Ip_X9CccxJ8ycs5j1KTSJhX1cVHb4ln3EcFgCbQO7LhcK5zK7IIYwr16mXT3h3YsuL2fsKqBgQRz4CHcquV5jAwJEA=w80-h106-k-no,https://serpapi.com/images/url/WDR_-XicBcHdboIwGADQJ6pQ-dEu8QIaNqEuRmWCV2Z8wTYO28pXZPKCPsPeZuf8vZRzFt88r1PBTBoju3bAtgejXavdDMzNkxYJIEEv4UyF2ir3le6p_3EuWP-Ell8qpqvR_7Z1V-JjnjdZ-nmQptJiilluzzXjAL_F8gkYXakoD4WqKRzXTdjpIIN3yZvddrFRIKJJLPL8NPY0vtVloIITDpv5BcU9lbv9FPI13IdjdE3GIktW49Inivox-SHa_ANMe0S-,https://serpapi.com/search.json?data_id=0x9f4f361c56fa8b%3A0xd9a8392c52edd7a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4f361c56fa8b%3A0xd9a8392c52edd7a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJi_pWHDZPnwARet0uxZKDmg0,"Conceição de Ibitipoca, MG",lojas_artesanato,2025-07-28T19:03:39.800041,COMPLETA
