position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Lú Presentes,ChIJjx9aFCVprwARmxolPIto_Kk,0xaf6925145a1f8f:0xa9fc688b3c251a9b,12248780033759713947,/g/1tdr4kcy,4.7,63,Loja de variedades,Loja de variedades,variety_store,"Av. Juscelino Kubitscheck, 167 - Conceição do Mato Dentro, MG, 35860-000, Brasil",-19.0361048,-43.4248401,+55 31 3868-1995,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–19:00; sábado: 08:30–12:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento EXCEPCIONAL, a equipe super cordial e ótimos preços.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npDFVujOpr5I9EkE5doqmKhTkq2BZnq-4KXXnK-HjUnrWawGA8ke7MdMXmsrrngwzq1nI-bBt_XxHUV0bxgEAqUm7vp-ZztIWZ8zeypbe49ce0TP_R1onYWttVXWQJXJv2mb-FS=w122-h92-k-no,https://serpapi.com/images/url/HAKlUHicBcFbjoIwFADQFV2RDkaZZD5QUZGYeQlUfoxg00bs7VNx2N8swt14zvNfeK_dexBcxduIK8Wv7OaYbRV6hn7UKhlw7aB14IJkEYsI9XJV3i6f2k6yOO3SyVkZmYt9Z8i8RgNRTinmsLkUaKtTv05mHZvuzjsqnbXI-8GEmEEz90f62BTluHnwNDGFnN411IPPqno2sD_dsChu2Xj_dfwJFR4q70tafW_p9k5kA6vfjz4kBERMoANULz3pRd0,https://serpapi.com/search.json?data_id=0xaf6925145a1f8f%3A0xa9fc688b3c251a9b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf6925145a1f8f%3A0xa9fc688b3c251a9b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJjx9aFCVprwARmxolPIto_Kk,"Conceição do Mato Dentro, MG",lojas_presentes,2025-07-28T19:07:14.488039,COMPLETA
2,Dillus Utilidades,ChIJjx9aFCVprwARXWN2neIZ1CI,0xaf6925145a1f8f:0x22d419e29d76635d,2509659353447293789,/g/1tdymfzg,4.3,42,Armarinho,Armarinho,notions_store,"Praça Ubaldina Ferreira, 13 - Conceição do Mato Dentro, MG, 35860-000, Brasil",-19.037621299999998,-43.425174999999996,+55 31 3868-2066,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:30; terça-feira: 08:00–17:30; quarta-feira: 08:00–17:30; quinta-feira: 08:00–17:30; sexta-feira: 08:00–17:30; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Loja ampla e variedades de produtos.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4no_xsTmGShz49ej2-OGXrIowiV6di_YmjUvaJ1w3nmgyeVtQaePXPUfBhnQtE1xhzSp9LONoJu8FBfIWmPst174DMuvAbpMHMDyhiDyKS6bBpHnjNE-n4NXpVPCloyKGypDWgQf=w122-h92-k-no,https://serpapi.com/images/url/Gvzy1HicBcFLDoIwFADAE1UCEhUTFwKKPxCCIq4IYmlB2tfYItb7eQhv48zvS5UScm4YHR2PCADpcC_xswKuMFejCphBhESVRNJYeg61ORRveWJBSj-2g1sLHYP8uYWhySb3priy9vwqd-Yw5oxonKmkxHEen2uX8kStzDf9pMI5HCPY9bO1W28vLJbKnNp-2L-WNxFuQl_Txtf7dHJzxYa30QpxO8pFFnsd6H2ghX8hSb0YTMtC1LHQA3H4A3EJRik,https://serpapi.com/search.json?data_id=0xaf6925145a1f8f%3A0x22d419e29d76635d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf6925145a1f8f%3A0x22d419e29d76635d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJjx9aFCVprwARXWN2neIZ1CI,"Conceição do Mato Dentro, MG",lojas_presentes,2025-07-28T19:07:14.488039,COMPLETA
3,Mato Dentro,ChIJfxvvqkZprwARt-B1UgA0jG8,0xaf6946aaef1b7f:0x6f8c34005275e0b7,8037856610937594039,/g/11xmt7d3f8,5,2,Loja de presentes,"Loja de presentes, Loja de Roupa, Loja de variedades",novelty_store,"R. Luís Maria, 60A - Brejo, Conceição do Mato Dentro - MG, 35860-000, Brasil",-19.035287099999998,-43.4232502,,https://www.matodentroloja.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipNnrsnXhBZOZsf5vxehEp9UgWbfAmSweTfOB-41=w80-h120-k-no,https://serpapi.com/images/url/0byDSHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl1dUnBeR4RTlH1WcZlpWkZrhWmAZmh6elOaYG1yeGpLm76RrYmhbbmGgm2FoZKCbrZuXDwDLLSHS,https://serpapi.com/search.json?data_id=0xaf6946aaef1b7f%3A0x6f8c34005275e0b7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf6946aaef1b7f%3A0x6f8c34005275e0b7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJfxvvqkZprwARt-B1UgA0jG8,"Conceição do Mato Dentro, MG",lojas_presentes,2025-07-28T19:07:14.488039,COMPLETA
4,LeveArt Artesanatos e Decorações,ChIJ_RmENQVprwARN_05zardYK0,0xaf6905358419fd:0xad60ddaacd39fd37,12493229091983064375,/g/11j959v62b,5,3,Artesanato,Artesanato,handicraft,"Rua Antônio Geraldo Filho Bandeirinha, Conceição do Mato Dentro - MG, 35860-000, Brasil",-19.022733,-43.432576499999996,+55 31 98707-8755,https://leveart-artesanatos-e-decoracoes.negocio.site/?utm_source=gmb&utm_medium=referral,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento excelente.""",https://lh3.googleusercontent.com/p/AF1QipPgVP3AavhTSFNzA5AE3aujZ36xPbbepyyCEkZt=w108-h92-k-no,https://serpapi.com/images/url/5ELDtHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkB4WYOyYWJYREuzmV-Vo6uhqnFiaFWVsVhGQlJRaUFnp7JodVWJbbmhgoZthaaSbrZuXDwCpgCGG,https://serpapi.com/search.json?data_id=0xaf6905358419fd%3A0xad60ddaacd39fd37&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf6905358419fd%3A0xad60ddaacd39fd37&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_RmENQVprwARN_05zardYK0,"Conceição do Mato Dentro, MG",lojas_presentes,2025-07-28T19:07:14.488039,COMPLETA
5,Loja Do Teiado,ChIJjx9aFCVprwARgd0gck13kbI,0xaf6925145a1f8f:0xb291774d7220dd81,12867196784885161345,/g/1tkc3br9,4,43,Relojoaria,Relojoaria,watch_store,"R. Bias Fortes, 55 - B, Conceição do Mato Dentro - MG, 35860-000, Brasil",-19.037418799999998,-43.4249954,+55 31 3868-1574,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Tradição das Minas Gerais.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrLyU06sm9iq7BWgo_WwzCSIqzWgz8oLaNP2NG_31fnGhaQMY7sDb1TGiaau3E5BzuCPwijMmiasjU7NYB9pmCbM0DpG6jqRhNEPsZbpaIS3l1geqF2pG1v2NFen_VAffwj8gFg7A=w163-h92-k-no,https://serpapi.com/images/url/wdwekXicBcFRboIwGADgE1Us3UBM9gAojYk0OOeIeyGFlBaEtvjDiFzQM3gbv-_1VONoYes4nSIraYzsxATiXhk9Cj2uKtM70gKqAIETxoH60Pfj47L2oA-awY9yaYp8XuLzYVhyuWzMkbPMZbQguNZU8VN69WFX4h_acD6R_We0THE2N23aNxzai8-uUWD7uEzXO0u9dvhWbJ_BX2n54Uw6LMWQuJbif5clQhe_YV3P7UYm0g-_ZuwRpAIX3ZA2b4xwRX8,https://serpapi.com/search.json?data_id=0xaf6925145a1f8f%3A0xb291774d7220dd81&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf6925145a1f8f%3A0xb291774d7220dd81&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJjx9aFCVprwARgd0gck13kbI,"Conceição do Mato Dentro, MG",lojas_presentes,2025-07-28T19:07:14.488039,COMPLETA
6,LA PLATA CMD,ChIJkUxbLfFprwARHI2QLO_96dA,0xaf69f12d5b4c91:0xd0e9fdef2c908d1c,15053842433149275420,/g/11k9t03qq_,4.9,35,Loja de acessórios de moda,Loja de acessórios de moda,fashion_accessories_store,"R. Cônego Firmiano, 570 - CA B - Cruzeiro, Conceição do Mato Dentro - MG, 35860-000, Brasil",-19.0379975,-43.4205696,+55 31 98348-3207,http://www.laplatacmd.com/,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–19:00; terça-feira: 07:00–19:00; quarta-feira: 07:00–19:00; quinta-feira: 07:00–19:00; sexta-feira: 07:00–19:00; sábado: 07:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipO6-6AkpqVZ6P6yNLYJuugklrprUS6EijK5FmYH=w80-h142-k-no,https://serpapi.com/images/url/1fGelXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb6Zr5phdUBgWZRZgVunnE-lVWpqenVNUUBQabOaameVt6pYb6WFbbmGgm2FoYqSbrZuXDwCmzSFT,https://serpapi.com/search.json?data_id=0xaf69f12d5b4c91%3A0xd0e9fdef2c908d1c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf69f12d5b4c91%3A0xd0e9fdef2c908d1c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkUxbLfFprwARHI2QLO_96dA,"Conceição do Mato Dentro, MG",lojas_presentes,2025-07-28T19:07:14.488039,COMPLETA
7,Mercado Municipal,ChIJvbneExZprwAR7IvpcfvCn1A,0xaf691613deb9bd:0x509fc2fb71e98bec,5809576429534940140,/g/1yfjky99y,4.4,275,Loja,Loja,store,"Conceição do Mato Dentro, MG, 35860-000, Brasil",-19.033763999999998,-43.42657,,,Fechado ⋅ Abre sex. às 06:00,Fechado ⋅ Abre sex. às 06:00,segunda-feira: Fechado; terça-feira: Fechado; quarta-feira: Fechado; quinta-feira: Fechado; sexta-feira: 06:00–12:00; sábado: 06:00–12:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito",,,"""Produtos rurais fresquinhos , preços acessíveis.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npTD4tbR0dxUIebLCUaW13st5ijWUk83ttSavdA0WB9Zq7MhfWwv8xZ2EnW5IH1WuqvA1lpDFrdJxjodsDQE8uM2uUts8Z0PjHtKAkV1xYtHnZziLhqquDfwV0RPc7212xnxI7u2w=w163-h92-k-no,https://serpapi.com/images/url/faN9c3icBcFLDoIwFADAE1VoEQETFyga8JP4g0Z2CEgFbMG-QuMFPYO3ceb3ZQCdnBtGy6xJJUTVlkqW71xwKDlMcvEyqk6iXCJp-CuPTXl3DaZwP5uFjqPyvl_FGcWWBPtZ07hxLYBLNhS-SZde2jsH9qDj4OqUrDm1oxBT1Q8-brtg8y62uhaFDE5rVx2IikG6qXmsQ9j5TYL1DUKefp571vcqeIyJeT7mDsFEcx05ioyLEc8sxDyCGsTFH3v1Rds,https://serpapi.com/search.json?data_id=0xaf691613deb9bd%3A0x509fc2fb71e98bec&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf691613deb9bd%3A0x509fc2fb71e98bec&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJvbneExZprwAR7IvpcfvCn1A,"Conceição do Mato Dentro, MG",lojas_presentes,2025-07-28T19:07:14.488039,COMPLETA
8,By Ousadas Presentes,ChIJddNnvS5DrwARKwrAoPypD9k,0xaf432ebd67d375:0xd90fa9fca0c00a2b,15640906933374814763,/g/11nnnjtbgx,3.7,3,Loja de Presentes,Loja de Presentes,gift_shop,"R. São José, 293 - Itacolomi, Conceição do Mato Dentro - MG, 35861-000, Brasil",-19.0003883,-43.5193278,+55 31 98248-9597,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:30; terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–18:30; domingo: Fechado,,,,Cartão de débito,Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noBjQ3xt3VO8KeipQvDkP5bl6M-LEnARUn7bZ3a9djFBqwDwz6aSZA0pME7FatAsXpg-ICMXQ_90E-FeKhBnzzWOWBQ5IPKflF83NnmolnBoziksaBn1NxF9OWRK-uOAv4axSJ4qw=w122-h92-k-no,https://serpapi.com/images/url/3NkbnnicBcHdboIwGADQJ_pEKf50yS5apYljiGg2jDdLZR1V6te6ViG84J7Bt9k5zz8dgvMvUWQ0GTXWNkbdvfqtLQaFYVTba9Q4D7UHH7El1QlafilJH8hnscjU2ZWPVbudnswsh_cU2e4D56cjkfT7IvitW3XDTO6PbOzydC5kYP7gGlgv80P5RccpCJVpjsNQFRUvp-tt9mPEgmzwag1yO5xbLzlONr2gRbXL4F6wRyL7_Vty6167SRyDpjG0gPYfDO5Ehg,https://serpapi.com/search.json?data_id=0xaf432ebd67d375%3A0xd90fa9fca0c00a2b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf432ebd67d375%3A0xd90fa9fca0c00a2b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJddNnvS5DrwARKwrAoPypD9k,"Conceição do Mato Dentro, MG",lojas_presentes,2025-07-28T19:07:14.488039,COMPLETA
9,Art&Cia Papelaria Criativa,ChIJd-nR4zpprwAR3Pvjju4H-T8,0xaf693ae3d1e977:0x3ff907ee8ee3fbdc,4609724414771330012,/g/11fj3dv18l,4.2,5,Loja de artigos para festas,"Loja de artigos para festas, Escritório da empresa",party_store,"Rua Junior Tiago da Silva Costa, 144A - Maranhão, Conceição do Mato Dentro - MG, 35860-000, Brasil",-19.0422623,-43.4279267,+55 31 98417-8134,,Fechado ⋅ Abre ter. às 13:00,Fechado ⋅ Abre ter. às 13:00,segunda-feira: 13:00–17:00; terça-feira: 13:00–17:00; quarta-feira: 13:00–17:00; quinta-feira: 13:00–17:00; sexta-feira: 13:00–17:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMc56Vk7KmZpQo52HzMc9KLF2MuG1vT04I6XV-Z=w163-h92-k-no,https://serpapi.com/images/url/sG_gmHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm2xqFpZt7p0bVRCYb2rkUeWbbOnt42bkW-puWBZiYOJpFhGmG2VbbmhmrJthaaSbrZuXDwCHBSAO,https://serpapi.com/search.json?data_id=0xaf693ae3d1e977%3A0x3ff907ee8ee3fbdc&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf693ae3d1e977%3A0x3ff907ee8ee3fbdc&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJd-nR4zpprwAR3Pvjju4H-T8,"Conceição do Mato Dentro, MG",lojas_presentes,2025-07-28T19:07:14.488039,COMPLETA
10,Coisas D'aqui,ChIJQ6bNIzxprwARa2DJzDQdmak,0xaf693c23cda643:0xa9991d34ccc9606b,12220831176457805931,/g/11fxw7c4b3,4.7,53,Loja de queijos,"Loja de queijos, Loja de bebidas",cheese_shop,"Av. Juscelino Kubitscheck, 170 - Centro, Conceição do Mato Dentro - MG, 35860-000, Brasil",-19.0360574,-43.4246774,+55 31 3868-1633,,Fecha em breve ⋅ 20:00 ⋅ Abre ter. às 07:00,Fecha em breve ⋅ 20:00 ⋅ Abre ter. às 07:00,segunda-feira: 07:00–20:00; terça-feira: 07:00–20:00; quarta-feira: 07:00–20:00; quinta-feira: 07:00–20:00; sexta-feira: 07:00–20:00; sábado: 07:00–20:00; domingo: 07:00–20:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Excelente Loja de produtos,  queijos, doces cachaça,  ovos caipira, etc""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npuQ6rrOf2ka-vezHt3Ea6UAgUH0En9vLiHXi0yqcQl71z-6c9-DIEPG40CPwrmFtRGLplaPeetpL_tdsX9nWCd7-49oJrJzq4n-7onLg9WssgKJAEAtl1pPpmVXfBWZ7ItPpsB=w80-h102-k-no,https://serpapi.com/images/url/rB585HicBcHRboIwFADQL7pSlMC6xAdkTGQkq0sU4oshtRZjaWvvVSP_t4_Y3-ycv9-ByON7FJlhMdPOaaPuqIJ0lpSlmXRjpD2CRMAoL_iQWH_fpiF8n-fXHh5qqmhR9uku17uKlZY_mkvVXdjrJrcmiydIJYePTSnWCSvEM4yf9LNuvOmFUuSbI52w47YtThkk3NWhnm6JhczZRvMWUX_VeZmTib3w4747r9pDtiHhcbV8vjEYYjaHK1j3D7E5RF4,https://serpapi.com/search.json?data_id=0xaf693c23cda643%3A0xa9991d34ccc9606b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf693c23cda643%3A0xa9991d34ccc9606b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJQ6bNIzxprwARa2DJzDQdmak,"Conceição do Mato Dentro, MG",lojas_presentes,2025-07-28T19:07:14.488039,COMPLETA
