position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Dai's Casa e Presentes,ChIJw5qscwAvy5QRYHxl0gpGSCU,0x94cb2f0073ac9ac3:0x2548460ad2657c60,2686474190019984480,/g/11vrvhl5tl,5,12,Loja de presentes,"Loja de presentes, Loja de Presentes",novelty_store,"Avenida Prefeito Dilermando de Oliveira, 16 - Conceição do Rio Verde, MG, 37430-000, Brasil",-21.8810047,-45.0865666,+55 35 99768-5977,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–17:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Uma empresa com excelência em produtos e atendimento impecável.""",https://lh3.googleusercontent.com/p/AF1QipM7zbE90C28I6tYknhFCuRwGsdlhVjjmEu6vhop=w122-h92-k-no,https://serpapi.com/images/url/yHgTzHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga16V5Gpp4Gxk4WlWEpmdl-HmXBpU7l6ckpMRlpWV61pqVpaRX2BbbmhkpJthaaSbrZuXDwCoSiG8,https://serpapi.com/search.json?data_id=0x94cb2f0073ac9ac3%3A0x2548460ad2657c60&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb2f0073ac9ac3%3A0x2548460ad2657c60&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJw5qscwAvy5QRYHxl0gpGSCU,"Conceição do Rio Verde, MG",lojas_presentes,2025-07-28T19:10:37.808487,COMPLETA
2,A Modelar,ChIJ4_o9HYouy5QRFXXXysmHjRE,0x94cb2e8a1d3dfae3:0x118d87c9cad77515,1264816371122271509,/g/1xn_phjm,4.9,22,Loja de presentes,"Loja de presentes, Decorador de interiores, Loja de utensílios de cozinha, Loja de Brinquedos",novelty_store,"Av. Pref. Dilermando de Oliveira, 497 - Centro, Conceição do Rio Verde - MG, 37430-000, Brasil",-21.8803449,-45.0912365,+55 35 99776-9493,https://amodelarpresentes.com/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNkrMqErcfHu8wsE0izp5NCmITl8bnSfnU8wiNg=w80-h106-k-no,https://serpapi.com/images/url/X6ozLnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl13kW-halJzmUWpRXuxqkFlVYOrnnOsZkmORlBeclhdqUZ7pl25bbmGgm2FoYKabrZuXDwDHIyIT,https://serpapi.com/search.json?data_id=0x94cb2e8a1d3dfae3%3A0x118d87c9cad77515&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb2e8a1d3dfae3%3A0x118d87c9cad77515&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ4_o9HYouy5QRFXXXysmHjRE,"Conceição do Rio Verde, MG",lojas_presentes,2025-07-28T19:10:37.808487,COMPLETA
3,Priante store,ChIJAbOyy4ovy5QRf3vFWSOa_N0,0x94cb2f8acbb2b301:0xddfc9a2359c57b7f,15995829453133806463,/g/11h1dcqx4p,5,1,Loja de presentes,Loja de presentes,novelty_store,"R. José L. Junqueira - Conceição do Rio Verde, MG, 37430-000, Brasil",-21.8823325,-45.083298,+55 35 99987-6001,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqBKe5HY-aSkBRd-aJB7FB_gygQeNie8QdDc8ONAAb5dk8bk-MVwrDE_iZXM3Qd3AoCsOhO_pBtAxrF_koUNJ_p-lK7GBg2Qr6gHoJCOZvsNjzJaMyj0-G1zeBFXB9J15PPl-Q=w80-h106-k-no,https://serpapi.com/images/url/-h1VqnicBcHdDoIgGADQJ_pSM8vaugDLGk2NWs26YaYMChMT-n2-XqK36ZzfV1rbmonj1NLvCa1Fze-Gd6VuLG9sr9RXR7QGSgPGQdFYDpobXvFgeYBiq_CmgoLgUYyZeAvK0zMPaTUrwyxF6BRUKjwpSPbPbjZn52Oe-LTykY5MJjPWYoteXcyU3qWEtVCvRgss-rQbiqUmUXZ8mPTyIUXyvriw8D4cxzkeEy9Yr2ug02fogvTcISho9B8VfUKm,https://serpapi.com/search.json?data_id=0x94cb2f8acbb2b301%3A0xddfc9a2359c57b7f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb2f8acbb2b301%3A0xddfc9a2359c57b7f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJAbOyy4ovy5QRf3vFWSOa_N0,"Conceição do Rio Verde, MG",lojas_presentes,2025-07-28T19:10:37.808487,COMPLETA
4,Karol cestas e presentes,ChIJ_UEPaQAvy5QRDsVyxSsdJnI,0x94cb2f00690f41fd:0x72261d2bc572c50e,8225293843272221966,/g/11lzfc9r5c,,0,Loja de Presentes,Loja de Presentes,gift_shop,"R. Joaquim Antônio Dias de Castro, 504 - Conceicao Do Rio Verde, Conceição do Rio Verde - MG, 37430-000, Brasil",-21.886443999999997,-45.085730999999996,,,,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IAZAl08lYZrzCGfylJEhPA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=255.83951&pitch=0&thumbfov=100,https://serpapi.com/images/url/q8N1wXicHc1RCsIgGADg2_iWusVgCyRGRNRTr-0lnPungpuif7N1mq7VbYou8H2ft0EMacdYwgiAi4Uc7BNc2gRJtffagQw2UeUnthQMzWPqZ2ndPsjZ20Gc2651vHa3Lr4Op3F1l6O5tkT1d-UszCgSyKgM1fknRj9QHRLJoubEiKYkq8yirCpab5uqIMGiMoKT_zL6RRScfwFtzzlv,https://serpapi.com/search.json?data_id=0x94cb2f00690f41fd%3A0x72261d2bc572c50e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb2f00690f41fd%3A0x72261d2bc572c50e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_UEPaQAvy5QRDsVyxSsdJnI,"Conceição do Rio Verde, MG",lojas_presentes,2025-07-28T19:10:37.808487,COMPLETA
5,"MIX da Economia a loja da Ana, artigos para festas",ChIJwQX_aSQvy5QRycOggx0ll0U,0x94cb2f2469ff05c1:0x4597251d83a0c3c9,5014517518792967113,/g/11td01717j,5,1,Loja de artigos para festas,Loja de artigos para festas,party_store,"Em frente a clínica Corpus, R. Maria José Ribeiro - Conceição do Rio Verde, MG, 37430-000, Brasil",-21.8816052,-45.091991199999995,+55 35 99733-7869,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:00; terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–17:00; domingo: 09:00–17:00,,,,Cartão de débito,,,,https://lh3.googleusercontent.com/p/AF1QipOWIZdKJNQJbJAmuzcbkkZ4eBJ_WCBq8Gb-pn-o=w105-h92-k-no,https://serpapi.com/images/url/V8ulj3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH-4ZleLt5RfoleTlmFtalZyUnR1lkurkFR_u7FRo4Z6kW5Cnm29bbmhgqpthaaSbrZuXDwCqAiE6,https://serpapi.com/search.json?data_id=0x94cb2f2469ff05c1%3A0x4597251d83a0c3c9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb2f2469ff05c1%3A0x4597251d83a0c3c9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJwQX_aSQvy5QRycOggx0ll0U,"Conceição do Rio Verde, MG",lojas_presentes,2025-07-28T19:10:37.808487,COMPLETA
6,"Super 1,99 Akikitem",ChIJT3sTrBEvy5QRCWv2L3MElkA,0x94cb2f11ac137b4f:0x409604732ff66b09,4653912157706414857,/g/11ltrxcj4v,5,5,Loja de presentes,"Loja de presentes, Loja de utensílios de cozinha, Papelaria, Loja de ferramentas, Loja de Brinquedos",novelty_store,"Avenida Prefeito Dilermando de Oliveira, 631 - 631 - Centro, Conceição do Rio Verde - MG, 37430-000, Brasil",-21.8804549,-45.0925288,+55 35 99191-0536,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–12:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Parabéns pelo excelente atendimento e pela qualidade dos produtos!""",https://lh3.googleusercontent.com/p/AF1QipOVllB3Df1PwOk59JDUdEk42YWcAKNeP8nQkIuK=w80-h106-k-no,https://serpapi.com/images/url/Kn21V3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH5aT42TskmYYUO6fbWrp5RKa4pptYhQZnuzo7ZcaYJEXmO1Z6m1bbmGgm2FoYKabrZuXDwCR3CCc,https://serpapi.com/search.json?data_id=0x94cb2f11ac137b4f%3A0x409604732ff66b09&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb2f11ac137b4f%3A0x409604732ff66b09&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJT3sTrBEvy5QRCWv2L3MElkA,"Conceição do Rio Verde, MG",lojas_presentes,2025-07-28T19:10:37.808487,COMPLETA
1,Ateliê Dany Arteira,ChIJ_5GuIfYvy5QRy53uf0O_rFI,0x94cb2ff621ae91ff:0x52acbf437fee9dcb,5957346703734382027,/g/11tcrfv4sp,,0,Artesanato,Artesanato,handicraft,"R. Antônio Rodrigues da Silva, 330 - Vale do Sol, Conceição do Rio Verde - MG, 37430-000, Brasil",-21.883791199999997,-45.0953355,+55 35 99194-2672,https://www.instagram.com/reel/CjfcvrzAciJ/?igshid=ZDZjYjU5YmM=,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1DDvl0HF3T6rHotkgvj1gQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=359.98053&pitch=0&thumbfov=100,https://serpapi.com/images/url/6As9t3icHc1LDsIgFADA27CTj01Na0LcNKZbE_eGUoSntBB4gt7Ga3kbjReY-bwdYsx7xjImY7CAqRGexudNVNSGYL1RETLVYWFFMHSPZVoV-ENUa4BZimEono_H5rxLY8C7LTdhT0RPF-3BrCizUUk7autPTGGmNmZSZceJk_2WvFSVTdvTvuNtQyKgdpKT_3INRQrOv2TsOWA,https://serpapi.com/search.json?data_id=0x94cb2ff621ae91ff%3A0x52acbf437fee9dcb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb2ff621ae91ff%3A0x52acbf437fee9dcb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_5GuIfYvy5QRy53uf0O_rFI,"Conceição do Rio Verde, MG",lojas_artesanato,2025-07-28T19:10:40.922664,COMPLETA
5,Lojão da Fábrica,ChIJOea8aK8vy5QR7bG_0gqibsY,0x94cb2faf68bce639:0xc66ea20ad2bfb1ed,14298544034317054445,/g/11h81fj0qc,5,1,Loja de Roupa,"Loja de Roupa, Loja de roupas para bebês, Loja para Bebê, Loja de calçado",clothing_store,"Avenida Prefeito Dilermando de Oliveira, 370 - Centro, Conceição do Rio Verde - MG, 37430-000, Brasil",-21.880259799999997,-45.0899201,+55 35 99156-1920,https://lojaodafabricacrv.lojavirtualnuvem.com.br/,Fechado ⋅ Abre ter. às 09:30,Fechado ⋅ Abre ter. às 09:30,"segunda-feira: 09:30–11:30, 13:30–19:00; terça-feira: 09:30–11:30, 13:30–19:00; quarta-feira: 09:30–11:30, 13:30–19:00; quinta-feira: 09:30–11:30, 13:30–19:00; sexta-feira: 09:30–11:30, 13:30–19:00; sábado: 09:30–11:30, 13:30–19:00; domingo: Fechado",,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipM3ED17gjo_XSDUJSmN_SFu9uDb59Cm33ElS1Qv=w163-h92-k-no,https://serpapi.com/images/url/4pYCo3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga-zqYmienpUfHxHsEuoVnOsXH-xWalnqkmRq6ZxrbOyaE2wYWGZbbmhmrJthaaSbrZuXDwCLpSBp,https://serpapi.com/search.json?data_id=0x94cb2faf68bce639%3A0xc66ea20ad2bfb1ed&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb2faf68bce639%3A0xc66ea20ad2bfb1ed&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJOea8aK8vy5QR7bG_0gqibsY,"Conceição do Rio Verde, MG",lojas_artesanato,2025-07-28T19:10:40.922664,COMPLETA
6,Rede Construir - Vale do Sol Materiais de Construção,ChIJ4_o9HYouy5QR-NBUQh-mOkk,0x94cb2e8a1d3dfae3:0x493aa61f4254d0f8,5276712566605009144,/g/1td2j059,4.7,97,Fornecedor de materiais de construção,Fornecedor de materiais de construção,building_materials_supplier,"R. Papa João XXIII, 35 - Vale do Sol, Conceição do Rio Verde - MG, 37430-000, Brasil",-21.884715399999997,-45.096243799999996,+55 35 3335-1311,https://instagram.com/valedosol.redeconstruir?igshid=MzRlODBiNWFlZA==,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:30; terça-feira: 07:00–18:30; quarta-feira: 07:00–18:30; quinta-feira: 07:00–18:30; sexta-feira: 07:00–18:30; sábado: 07:00–16:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito",,,"""Boa facilidade em escolher produtos""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrahTUDoOykhFPBnp5UbZ95DG7Lgv3zhDznNbHP3-tPw9CdeOdDKckO2irFWrbE7Gqc-AXwk1m3-AHtOC5OwHdLBzzP0Q7ILY2c8qqz5LbBGiFKqlvjjlPak_evFk2sYek1jAINlA=w122-h92-k-no,https://serpapi.com/images/url/NsJKuHicBcHbboMgAADQL6JOnLE26QPqvKSm0GRNLy9LRSIKBRWqKT-4b9jf7Jy_X27taHaeJ3mw6bTuJHsZNlOtLFN2Q_XT60YDqAHGQ2nMP9X84N_nTOO34DlJ1Biem3scZkVUd0vgeObUsSlJACxZ47RluM0OVGDYz_llbr6iYqIAXVfhPwOASovTEK9lWyfOkY9TVNU3SLfT5MK6SYo-P0xyGQZJHuKHLbmA5saEP6DqKNF-9SEEPIZAAKX_AUcCRRE,https://serpapi.com/search.json?data_id=0x94cb2e8a1d3dfae3%3A0x493aa61f4254d0f8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb2e8a1d3dfae3%3A0x493aa61f4254d0f8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ4_o9HYouy5QR-NBUQh-mOkk,"Conceição do Rio Verde, MG",lojas_artesanato,2025-07-28T19:10:40.922664,COMPLETA
7,Camile Priante,ChIJswWqCwAvy5QRAhifVHeRCnM,0x94cb2f000baa05b3:0x730a9177549f1802,8289598005835667458,/g/11xm_yt2v4,5,1,Esteticista,Esteticista,beautician,"R. José de Matos Junqueira - Conceição do Rio Verde, MG, 37430-000, Brasil",-21.8818049,-45.087362899999995,+55 35 99894-2863,,Fechado ⋅ Abre sáb. às 08:00,Fechado ⋅ Abre sáb. às 08:00,segunda-feira: Fechado; terça-feira: Fechado; quarta-feira: Fechado; quinta-feira: Fechado; sexta-feira: Fechado; sábado: 08:00–19:00; domingo: Fechado,,,,,,,"""Ótima profissional!""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oWPPXysjJ-Hc0O2pkLluJQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=273.25143&pitch=0&thumbfov=100,https://serpapi.com/images/url/bz-b3HicHc1LDsIgFADA27ArUKrxkxC3pjGxrnRnKD4BpeWl0GJv47W8jcYLzHzeNiWMW8ZiGgDS5CCje4GPBSpqQjAeFLpIdejYVLJkx67tlfM7VH1wNxnOTXOZ46Mu9pofBT4PfqxPRLdX7R30SUZQg7bU5J84hBs1GEmWa06s3AgyqyzFqqJiWS4qgi5pKzn5L_cwyZLzL32POY0,https://serpapi.com/search.json?data_id=0x94cb2f000baa05b3%3A0x730a9177549f1802&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb2f000baa05b3%3A0x730a9177549f1802&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJswWqCwAvy5QRAhifVHeRCnM,"Conceição do Rio Verde, MG",lojas_artesanato,2025-07-28T19:10:40.922664,COMPLETA
