position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Mundo dos Presentes,ChIJSSI7S3OdmAARjEk9ZG15gso,0x989d734b3b2249:0xca82796d643d498c,14592359253373962636,/g/11tfhjlr5n,5,4,Loja de presentes,Loja de presentes,novelty_store,"R. Eugênio Fontainha, 270 - Manoel Honório, Juiz de Fora - MG, 36051-000, Brasil",-21.7424496,-43.349837,+55 32 99183-3482,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Loja bonita e bem sortida""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqQ1n7aqLNcWln93NqG0QZpT70FrkyRPuvNWFAZcBrkgXuCiQVGJXmccWDboIqSheZP_kGzL2fwvziz6YVIlH_u5liDH-CVT1ieSC1Nb6d-9K-f82NOhOfkXjoHUrmxwz8OOdw=w87-h92-k-no,https://serpapi.com/images/url/5FqaOXicBcFZEoIgAADQE5FLi9pMH2aTtgxmi5o_ThGKgaCiWV6vU3Sb3vt9SdtWcq4ojIxHuRA5w53EDRK8xbwdIVEqeSUBkkAqtmORCa8DjRu3eg9RxLg1hrWrBkl1NtR1Qz_HQ_eC0dpO0LKhedw5RRC627hEKFrdxaY-EZwcUuoOez3rX0MxzK7hhnlpN2XFygNOeNYKfHI0eJ89gLUDmalDn_gZjZ_CuzTlux9M33_0i940ALF0QAEXf3hbRLU,https://serpapi.com/search.json?data_id=0x989d734b3b2249%3A0xca82796d643d498c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x989d734b3b2249%3A0xca82796d643d498c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJSSI7S3OdmAARjEk9ZG15gso,"Coronel Pacheco, MG",lojas_presentes,2025-07-28T19:25:52.505234,COMPLETA
2,Bella Papelaria Presentes,ChIJJ85rdTebmAARewpYlfD1AcM,0x989b37756bce27:0xc301f5f095580a7b,14051782726019189371,/g/11p03nwmly,5,4,Loja de Presentes,Loja de Presentes,gift_shop,"R. Carlos Rocha, 58 - Progresso, Juiz de Fora - MG, 36050-340, Brasil",-21.731777899999997,-43.3480091,+55 32 98725-0178,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–00:00; sexta-feira: 00:00–18:00; sábado: 08:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótimo atendimento!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqRivmLpB3GEv7yF4X68N5AucXXxSzvzVttK6PrMbWO4HltYyl2KxV6SDC2sLYaQqMcwuDmQ7o5QdJk6IKLit0kca0IxLiUGZcW-edQrIRLI7t3diNm9G36ogGmfJwycdVZZhq8=w163-h92-k-no,https://serpapi.com/images/url/xUeiDXicBcFJkoIwFADQE0WUYBCrXNjaIhIHtBqRnR2QUBAC5DPez0N4G9_7vDlAqZaalnM8SaRM8rhRcc1kAXEBEyaFlpQKMYWUtt5Y3Ciqa9oKWv5g-7c1h50RkMVpvm5YEPS3sR19AJdc6uP__Wzsc3gMue72PrltN7qij6dXHVnXbIVnyrkXHTLiuDSFacaeU6en6Z8dsjuKI692rtQxAUfpSVg2JjKxxevQDSzyw5BXi1U3IxhxS0cZKuQX8vRE_w,https://serpapi.com/search.json?data_id=0x989b37756bce27%3A0xc301f5f095580a7b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x989b37756bce27%3A0xc301f5f095580a7b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJ85rdTebmAARewpYlfD1AcM,"Coronel Pacheco, MG",lojas_presentes,2025-07-28T19:25:52.505234,COMPLETA
3,Casa Estrela,ChIJaQL997ucmAARh3ZhNgAfP_s,0x989cbbf7fd0269:0xfb3f1f0036617687,18104223112825501319,/g/1wk7s219,5,10,Loja de Presentes,Loja de Presentes,gift_shop,"R. Vitorino Braga, 442 - Vitorino Braga, Juiz de Fora - MG, 36060-000, Brasil",-21.750857699999997,-43.3439093,+55 32 3217-6804,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:30; terça-feira: 07:00–18:30; quarta-feira: 07:00–18:30; quinta-feira: 07:00–18:30; sexta-feira: 07:00–18:30; sábado: 08:00–16:00; domingo: 08:00–12:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Bom o atendimento tb foi bom""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqwV7ehmGU0rff-61QBRDRpNA710OQzLgyL_XOad7vc39NmvIaeOuaVMEwxEDerkGKAJyRAWWTNCy2OfA2PQ1_PKm7zcRyu7ql1tRUUGs1B6zyrMOxbDaAdTMyP8VDdHrKfxQMz=w80-h106-k-no,https://serpapi.com/images/url/MLiySHicBcFRkoIgAADQE5FSjdTO7AdlY7umKJPWX2OIMpOKAaZ4vw7RbXrv8xbG9PrHcRqxWtRS1g0fNFdMdoZ3ZsFk69S9BkwD7eD9Vqy755gjLtogc1VVAQ-mO-rTPsYIuiSdT7U93a6kKNGLrbZx-_orOBmKPDqM08Hn6hGE-N9SfLmc471dkgovkxTekrBFM6N2QM8GGpplgYY7b7YqItPdL3B5jmyyyf3yqMJqSqP5d9y4QEDXAw_QyS-geURy,https://serpapi.com/search.json?data_id=0x989cbbf7fd0269%3A0xfb3f1f0036617687&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x989cbbf7fd0269%3A0xfb3f1f0036617687&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJaQL997ucmAARh3ZhNgAfP_s,"Coronel Pacheco, MG",lojas_presentes,2025-07-28T19:25:52.505234,COMPLETA
4,Loja Sapekinha,ChIJX-FVOr5_ogARdExXvUl_Gw8,0xa27fbe3a55e15f:0xf1b7f49bd574c74,1088603689626061940,/g/11js0sbktd,5,2,Loja de presentes,Loja de presentes,novelty_store,"R. Sinhô Candinho, 30 - Centro, Chácara - MG, 36110-000, Brasil",-21.671796,-43.2214022,,https://instagram.com/loja.sapekinha?utm_medium=copy_link,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipPJQaDXNlb9ytL3YQ5Wv9-mnJWmM_Ynoene5OdS=w163-h92-k-no,https://serpapi.com/images/url/nELzxHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4BWY6BLhl5NkWVniYxwZaBpeZqmbm-cVnusbH5mXn5qXauqfEmxbbmhmrJthaaSbrZuXDwCrGyF1,https://serpapi.com/search.json?data_id=0xa27fbe3a55e15f%3A0xf1b7f49bd574c74&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa27fbe3a55e15f%3A0xf1b7f49bd574c74&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJX-FVOr5_ogARdExXvUl_Gw8,"Coronel Pacheco, MG",lojas_presentes,2025-07-28T19:25:52.505234,COMPLETA
5,OPÇÕES PRESENTES,ChIJIzRhrOKdmAARbodZJqMOBGU,0x989de2ac613423:0x65040ea32659876e,7278958991623423854,/g/11k5tp3kc9,3,1,Loja de Presentes,Loja de Presentes,gift_shop,"R. Cosette de Alencar, 10 - Morro da Glória, Juiz de Fora - MG, 36036-070, Brasil",-21.750586,-43.3530242,+55 32 3211-8014,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npIr0dFqJGGwC6053Yz1IszQoHmANoC2FhFMfzCrxl9v9vV1bpuQ11_DDw5nZI2CKFzbLGqT5xA8vN9S8QOlASI8Kbn3Apx78PTczBSTUopuht51VCfbk2-SuXG_7eVfo_KvKu69w=w80-h142-k-no,https://serpapi.com/images/url/SbfM7HicBcFRboIwGADgE1UoiLYmPnQ1MMamIzCy7YUEBjQR-1faAukFdwZv4_c9_oUxSh88bxThZgAYxs7qbmpBmk6aTQs3b1AatRppj3EqtlKlk_8X39-SZOE7Pwp_HE61y-H1xs7Ag1jEH73j0zrSmc4VbpTNMa5PpyWSv2nAs9g178m9jFZG5jMtSH4ZWZGSrJEhU-uefJateynKL1BWmAhXvG-uASrsd1Lvu6qHOpszu6PLcSE-EngboCuS8ATy-0Q4,https://serpapi.com/search.json?data_id=0x989de2ac613423%3A0x65040ea32659876e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x989de2ac613423%3A0x65040ea32659876e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJIzRhrOKdmAARbodZJqMOBGU,"Coronel Pacheco, MG",lojas_presentes,2025-07-28T19:25:52.505234,COMPLETA
6,"Duducha papelaria, presentes e bombonieri",ChIJASshJ2-dmAARzbN2GiwM82U,0x989d6f27212b01:0x65f30c2c1a76b3cd,7346228800733492173,/g/11fqy79lp6,5,2,Loja de presentes,"Loja de presentes, Loja de produtos de papelaria",novelty_store,"Rua Denver Corni Dias n° 6, loja 2 - Bom Jardim, Juiz de Fora - MG, 36060-380, Brasil",-21.7343244,-43.3348878,+55 32 98808-8421,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:00; terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Muita variedade de produtos.""",https://lh3.googleusercontent.com/p/AF1QipNxDu1fQGaWdjgJUufuDwZtV7RwgBuqBee9SPvJ=w80-h106-k-no,https://serpapi.com/images/url/f8Kw5XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngV-FSapgW6J4YnpKV7hVamlbqUh5VEmYeVJ7uVFrolJpqGRxQ5mVbbmGgm2FoYKabrZuXDwDGYyIW,https://serpapi.com/search.json?data_id=0x989d6f27212b01%3A0x65f30c2c1a76b3cd&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x989d6f27212b01%3A0x65f30c2c1a76b3cd&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJASshJ2-dmAARzbN2GiwM82U,"Coronel Pacheco, MG",lojas_presentes,2025-07-28T19:25:52.506234,COMPLETA
7,Valeria Presentes e Utilidades,ChIJc0mS-W-fmAARIC3U9gwwNxI,0x989f6ff9924973:0x1237300cf6d42d20,1312570648640630048,/g/11k01f3l4x,5,15,Loja de presentes,"Loja de presentes, Loja de artigos domésticos, Loja de utensílios de cozinha",novelty_store,"R. Martins Barbosa, 439 - Benfica, Juiz de Fora - MG, 36090-300, Brasil",-21.689301399999998,-43.4375656,+55 32 98859-5073,https://valeria-presentes-e-utilidades.negocio.site/?utm_source=gmb&utm_medium=referral,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–19:00; terça-feira: 08:30–19:00; quarta-feira: 08:30–19:00; quinta-feira: 08:30–19:00; sexta-feira: 08:30–19:00; sábado: 08:30–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMMVnEhgC9xlYIrlyt367Iu8M1p8JvnsvmNVqgl=w204-h92-k-no,https://serpapi.com/images/url/1sf6P3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng6xuW55qR7mxZkRPpWZRTWWJsZu5ZauFrWGDhVZZXXJbrF1aYnmNbbmRgopthaaSbrZuXDwC4JSHf,https://serpapi.com/search.json?data_id=0x989f6ff9924973%3A0x1237300cf6d42d20&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x989f6ff9924973%3A0x1237300cf6d42d20&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJc0mS-W-fmAARIC3U9gwwNxI,"Coronel Pacheco, MG",lojas_presentes,2025-07-28T19:25:52.506234,COMPLETA
8,"Caçula Juiz de Fora II - Papelaria, Bazar, Artesanato e Tecidos",ChIJ22afiDydmAARx9eV0d7V8Ng,0x989d3c889f66db:0xd8f0d5ded195d7c7,15632229459578705863,/g/11f624bf4l,4.5,799,Loja de variedades,"Loja de variedades, Loja de materiais artísticos, Bazar, Loja de Informática, Loja de materiais para artesanato, Loja de materiais para escritório, Pintura, Loja de artigos para festas, Loja de materiais escolares, Papelaria",variety_store,"Av. Brasil, 6345 - Mariano Procópio, Juiz de Fora - MG, 36080-060, Brasil",-21.740040099999998,-43.371581,+55 21 4020-0220,https://www.lojascacula.com.br/,Aberto ⋅ Fecha às 22:00,Aberto ⋅ Fecha às 22:00,segunda-feira: 10:00–22:00; terça-feira: 10:00–22:00; quarta-feira: 10:00–22:00; quinta-feira: 10:00–22:00; sexta-feira: 10:00–22:00; sábado: 10:00–22:00; domingo: 13:00–21:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr83djmJZJ6r4DiRrOwWOYsATQoVl2NIxt9Cb3wXcNYLVeL-A9WQZt4DFyUVQ4eTti-n5LmDaABVAGHy4OYStZKI_Znu-gmGvivqiSthmsDjf9XBs1HzuCB3TAwCaH0aH1EOy9g=w122-h92-k-no,https://serpapi.com/images/url/dWwcK3icBcFRboIwGADgE1UEqllNfCjgREckKAPhxTDsWhxtlf6IeD8P4W32fe-XALiahWW1wp1wrXnLesO6WitgCia1lha_GlQbZCzqE4FV9-GeL3JbbucdDpp9Fw95XBiaJjprnd3mAcT_cYdjvSuijEWIkjwpAQef43eWYJZCg9QskkFFvYyuwxHHxQHKr82pVD3icn1v7rfmAEKa4PJLjp6xw2fve25KB78Kp1Vor-KR8OVgOw4SxEF_SOl_qfBEGg,https://serpapi.com/search.json?data_id=0x989d3c889f66db%3A0xd8f0d5ded195d7c7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x989d3c889f66db%3A0xd8f0d5ded195d7c7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ22afiDydmAARx9eV0d7V8Ng,"Coronel Pacheco, MG",lojas_presentes,2025-07-28T19:25:52.506234,COMPLETA
9,Poderosa Presentes Juiz de Fora,ChIJZVLrc4mcmAARicbYc9aOI4Y,0x989c8973eb5265:0x86238ed673d8c689,9665726276984948361,/g/1td9fzs4,5,2,Loja de Presentes,Loja de Presentes,gift_shop,"Dentro do terminal, Avenida Brasil, Rodoviária - Ônibus Embarque, 9501 - São Dimas, Juiz de Fora - MG, 36080-060, Brasil",-21.7386393,-43.375032499999996,+55 32 3214-1310,,Fechado ⋅ Abre ter. às 07:30,Fechado ⋅ Abre ter. às 07:30,segunda-feira: 07:30–19:00; terça-feira: 07:30–19:00; quarta-feira: 07:30–19:00; quinta-feira: 07:30–19:00; sexta-feira: 07:30–21:00; sábado: 07:30–15:00; domingo: 09:00–20:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Super recomendo, e o atendimento é excepcional.""",https://lh3.googleusercontent.com/p/AF1QipPxCdEtBmjFwflsg2mTMruIttCSv17G6x4QH2qB=w194-h92-k-no,https://serpapi.com/images/url/bpWUbXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUOGc4lrilJvlVp6WU5xulBviW1TqWVLiHFxmaO5uVmES6GFU6GRbbmhpopthaaSbrZuXDwDAWiGd,https://serpapi.com/search.json?data_id=0x989c8973eb5265%3A0x86238ed673d8c689&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x989c8973eb5265%3A0x86238ed673d8c689&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJZVLrc4mcmAARicbYc9aOI4Y,"Coronel Pacheco, MG",lojas_presentes,2025-07-28T19:25:52.506234,COMPLETA
10,Kalunga - Juiz de Fora,ChIJ23NUGWGcmAARwy1ZPlsqp1A,0x989c61195473db:0x50a72a5b3e592dc3,5811660415521336771,/g/11c0rmm3qp,4.4,2405,Papelaria,"Papelaria, Loja",stationery_store,"Av. Brasil, 6345 Shopping Jardim Norte, Mariano Procópio, Juiz de Fora - MG, 36080-060, Brasil",-21.740657,-43.3702727,+55 11 3346-9966,https://www.kalunga.com.br/,Aberto ⋅ Fecha às 22:00,Aberto ⋅ Fecha às 22:00,segunda-feira: 10:00–22:00; terça-feira: 10:00–22:00; quarta-feira: 10:00–22:00; quinta-feira: 10:00–22:00; sexta-feira: 10:00–22:00; sábado: 10:00–22:00; domingo: 13:00–21:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npAunEMENvRS7iz_XdpxjDC4CI64DvNuJFlALWKLWOkrB1VMS_Dl27785Y5-SMd-o7Jjy4AnoWfxfj8x3EXkqir-njbIB9zPG5lOxitexWz8s-xI7_KNuJvRvqQvY2IEH_sHHRJgw=w163-h92-k-no,https://serpapi.com/images/url/1MK-BXicDcxJDoIwFADQE32JDBZMXCCggOIAieiKRESm2iIttXJBz-Bt9B3gfT8V5x2bKwqutElJaYmLgRV9TgkvCJ_k9KGUHYOcAVNsx6p00tkD8SJvJ-IE1WN2vnWycR3dCWa6K3ZDuML2Nt1s033bL6enKMlcrCJkGhcDkugGFIXNW7cJTe_y3phS887ts-6BNNdgaY2HtYH3suaFTEeTgQxQtvmnIhbPo7iogednzPfjsHwtXtOZBpWlQguE_gAdQkUF,https://serpapi.com/search.json?data_id=0x989c61195473db%3A0x50a72a5b3e592dc3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x989c61195473db%3A0x50a72a5b3e592dc3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ23NUGWGcmAARwy1ZPlsqp1A,"Coronel Pacheco, MG",lojas_presentes,2025-07-28T19:25:52.506234,COMPLETA
