position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Alternativa Presentes,ChIJwZWHRQZDy5QRdLSGZ8-K7LQ,0x94cb4306458795c1:0xb4ec8acf6786b474,13036947644730487924,/g/11ft3nkynp,3.7,7,Papelaria,Papelaria,stationery_store,"R. Olegário Maciel, Cristina - MG, 37476-000, Brasil",-22.206949599999998,-45.2636361,+55 35 3281-1565,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 09:00–17:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqFhz6ZMpMDydqC6Bo28Bt7eOH-HI9Tio69Aqpw6dZwWBOJWCXnDnMyaCrYO9Ydh8PtklP9PxqAuxQzmIYnedQ_4p02ANnKxnKpms5Ifc1IMLE_LyRim-kQ-2CkuhQKN2bHypXz=w122-h92-k-no,https://serpapi.com/images/url/p2UrNXicBcFLDoIwFADAE1WkKloTF1A0ICJgTBQ3RqFSA7wWW8Lnfh7C2zjz-3KtpVobRsVnk0KIomKtYp9MgGagJ5mojUIqlCmkDJsSPodmx0frFsrQHfKGWo7AK0cvWeQhzyfnt7CI3cjOym_dxYn2F3oFF8LhQT9pRNKcr2JdVjGJ-8Zu-2Ss_RRYntzncortIwQ9BLJWC_-VmX542N4Pw-ldozJBmJYtT4IjfnqDvI6bzsQYcYJRiUD8Acv1RNA,https://serpapi.com/search.json?data_id=0x94cb4306458795c1%3A0xb4ec8acf6786b474&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4306458795c1%3A0xb4ec8acf6786b474&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJwZWHRQZDy5QRdLSGZ8-K7LQ,"Cristina, MG",lojas_presentes,2025-07-28T19:33:22.368909,COMPLETA
2,Loja RN,ChIJTc8tRuVDy5QRyM_nzkpvhrY,0x94cb43e5462dcf4d:0xb6866f4acee7cfc8,13152322128871673800,/g/11mmhjshtl,4.9,13,Loja de Roupa,"Loja de Roupa, Loja de moda infantil, Loja de jeans, Loja de vestidos, Loja de moda masculina, Loja de calçado, Loja de camisetas, Loja de Brinquedos, Loja de moda feminina",clothing_store,"R. Com. João Carneiro, Cristina - MG, 37476-000, Brasil",-22.2150978,-45.265863599999996,+55 35 99137-5612,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,"segunda-feira: 09:00–12:00, 13:30–19:00; terça-feira: 09:00–12:00, 13:30–19:00; quarta-feira: 09:00–12:00, 13:30–19:00; quinta-feira: 09:00–12:00, 13:30–19:00; sexta-feira: 09:00–12:00, 13:30–19:00; sábado: 09:00–19:00; domingo: Fechado",,,"Assento com acessibilidade para pessoas em cadeira de rodas, Banheiro com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqS_ww5iNbrnqPjkdFkLpfLv-vKzFh1g2DNC4ujf_4AykafiOs2pa-qaW9AKaum8zjI8sWLi4AJ2eMW_tPfmYL-okxTDlbVlrnDpB5h7ZuhtTPH6fRoSsE0r6xnYm6k1zV7-lvY=w80-h106-k-no,https://serpapi.com/images/url/_M6DAHicBcFLDoIwFADAEz35iIgmLlA0flCJGgluCCKl0NIWWkC5n4fwNs78vlgpIeeaRvF4lHOe06yVWZNypjKmRimvtFxISCVIzV3NsMXqa9z3k-L0bFgdlOS1Ib5AfgfdYdhgIze908pqSxRb7ockqDhLUyRQJ-HMPSRt5QzlzpGhX1ju3syOYawCVEU-cPK-efR5pw3zxHKCp48Wq1uwtdGFX-Vab-w3iyqbGMN9CrSLFr2jAzZ0Gwgw_gdtskYM,https://serpapi.com/search.json?data_id=0x94cb43e5462dcf4d%3A0xb6866f4acee7cfc8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb43e5462dcf4d%3A0xb6866f4acee7cfc8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJTc8tRuVDy5QRyM_nzkpvhrY,"Cristina, MG",lojas_presentes,2025-07-28T19:33:22.368909,COMPLETA
3,Albado Doces & Mimos,ChIJoy8whrtDy5QRaeLxlsZHeD0,0x94cb43bb86302fa3:0x3d7847c696f1e269,4429369151780414057,/g/11thn9lnsn,5,3,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. Condé Deu, 21, Cristina - MG, 37476-000, Brasil",-22.2020405,-45.2585525,,,,,,,,,,Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nor2TjxWqPCXeZfRCPPoS_FNbj9TpzG8UUqBZyhwU5eaFcWG2wejQ1RtP2p1kvRCiIrYxu9CofP9JWO5hRGiqnHliVtBWbNkvrcDOzW0c2T2HSsf-Y8s81b0T9QCfSNQpnt4Do=w80-h106-k-no,https://serpapi.com/images/url/cre2WHicBcFbcoIwFADQFUUgVYd0ph81jqgfGF6m-tORTCA8mhtIFOv63IS78ZzXUzln7Kfn9epjVgPUvbxaOQrQTmo3E_Dn1cYiYZH1vilRcw0jzts7Hxj9kecqpYxB9ruJy5bk5hGFRTGszv9qKhbyshE8wpNskyB1DJugu6W02Y2n-5VQqBjZ88NCpVEz6G3fHN2Kl3F3G8X68OC-wDneZrZCp9CGQennJKFVFidGu_kavqbQRyrwl6hDGt7dr0Sj,https://serpapi.com/search.json?data_id=0x94cb43bb86302fa3%3A0x3d7847c696f1e269&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb43bb86302fa3%3A0x3d7847c696f1e269&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJoy8whrtDy5QRaeLxlsZHeD0,"Cristina, MG",lojas_presentes,2025-07-28T19:33:22.368909,COMPLETA
4,Flor Com Arte,ChIJDWZ9lCtCy5QRC8wDVTMFqh4,0x94cb422b947d660d:0x1eaa05335503cc0b,2209584285206432779,/g/11pzf2yxz9,5,1,Floricultura,Floricultura,florist,"Av. Cornélio Alves Ribeiro, 18, Cristina - MG, 37476-000, Brasil",-22.2079678,-45.2652097,+55 35 99211-8461,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BUyPyXIEPdp1va6wYNc26g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=143.29356&pitch=0&thumbfov=100,https://serpapi.com/images/url/TBJQU3icHc1LCsIwFADA22RnPq0WKwRBcOFGuhF0JWkakwdp82hiYm_jtbyN4gVmPm-XEsYdYzHNxqQMpiC8jI8rVNSGYL1RCJHqMLIsWHLPsZ8U-D2qKcAgD5elW66nYzegyKopt7OuGkt0f9cezJRkNGrWjtryE-cwUIuRFLnlxMm2IosqUqxrWrX1piEISTvJyX95hCwF5192XTl6,https://serpapi.com/search.json?data_id=0x94cb422b947d660d%3A0x1eaa05335503cc0b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb422b947d660d%3A0x1eaa05335503cc0b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJDWZ9lCtCy5QRC8wDVTMFqh4,"Cristina, MG",lojas_presentes,2025-07-28T19:33:22.368909,COMPLETA
5,Cristina MG,ChIJ3Vk0QV9By5QRu6LCFPEWVHA,0x94cb415f413459dd:0x705416f114c2a2bb,8094119654982853307,/g/11fnxplzvs,4.8,160,Cidade-fantasma,Cidade-fantasma,ghost_town,"RPHJ+FW, Cristina - MG, 37476-000, Brasil",-22.2103258,-45.263069699999996,,https://www.facebook.com/share/g/pzShPufe2sZj4aku/?mibextid=A7sQZp,,,,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Foi ótima, cidade pequena, mas aconchegante.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqaXEMu18x79R8DP8e5RmSc_uTChnvhNFkFvwnk62qSmANZ_HkCZK_l7O54mM3SKKw2jtthKcLUHiyAQ4I_WNBGoaiULOvpFQj9Ocnnc0YYq9Hf77MmzoIdAmT9epfMB_p1UtZG6TaimGpA=w122-h92-k-no,https://serpapi.com/images/url/X0Y9BXicBcFdToMwAADgE3VIxwY18aFDgYUBbkB0vDSkdpRBf7AF1Dt6AG_j9_39cmu1eXSckW83nVLdyGbDPqmSlkm7oUo4nTaAGmAcHCLuyal9f8lmN_jy0SV4fg3Y7iJKSuYq5HLheTREyyqHPZxKgfOGJEPYpGT0i50nsm2Zpiu8W8tTeqqT_hufvSN5yw-xavv6VCw6Ot9RQaWkD9frhJKb72fiRx0_sKgQ07fsQLRb2ybeV20vYo2fVhdCwBEEA5DqH_ITRzc,https://serpapi.com/search.json?data_id=0x94cb415f413459dd%3A0x705416f114c2a2bb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb415f413459dd%3A0x705416f114c2a2bb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ3Vk0QV9By5QRu6LCFPEWVHA,"Cristina, MG",lojas_presentes,2025-07-28T19:33:22.368909,COMPLETA
6,Loja Aki Ki Tem,ChIJ_ZtjbStCy5QRsZfVPa2qGck,0x94cb422b6d639bfd:0xc919aaad3dd597b1,14490800937084753841,/g/11s595g_jq,4,1,Loja,Loja,store,"R. Olegário Maciel, 24 - Cristina, MG, 37476-000, Brasil",-22.207348,-45.263678999999996,,,,,,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=K-mrLdD_4-S2x6Mg5QIfSg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=208.25882&pitch=0&thumbfov=100,https://serpapi.com/images/url/4u_40HicHc3BDcIgFADQbbgVKLEGTYgXL0Y9mA7QUErhJ1AIYKnbuJbbaFzgvc_blhLzkZBcktZlBV0jbNrlJkpsQjBOywgZq-DJ2pJin35cJLhTlEuASVwbn27Tedg1Pdv2d9M9LnNvkBoH5UAvRWQtk7LY1J-YwoRNzKgKTpEVB4ZesgpGOWYd5wxFKMoKiv7LHFbRUvoFQyo47A,https://serpapi.com/search.json?data_id=0x94cb422b6d639bfd%3A0xc919aaad3dd597b1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb422b6d639bfd%3A0xc919aaad3dd597b1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_ZtjbStCy5QRsZfVPa2qGck,"Cristina, MG",lojas_presentes,2025-07-28T19:33:22.368909,COMPLETA
7,Mundo Livre Presentes,ChIJHSVk6SxCy5QRHo4550SY0jI,0x94cb422ce964251d:0x32d29844e7398e1e,3662156868710141470,/g/11pzrzps_q,,0,Loja de presentes,Loja de presentes,novelty_store,"Praça Santo Antônio, 19 - A Definir, Cristina - MG, 37476-000, Brasil",-22.2096602,-45.263276,,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ePfkamSiU0N2eNkoUHieXA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=277.94983&pitch=0&thumbfov=100,https://serpapi.com/images/url/YqaLn3icHc1BCsIwEADA3-RmklahrRDEm6ciSMGbpOmaLE27oYmN_sZv-RvFD8x83i6lEPdCxLQApBUhB3yCj5uguSWyHnTAyA1NYi1Eco-pnzX6Q9Az4aDgfB_1dMFOtiW0I3UnhOuRmf5mPMKcVAS9GMdt_okLDdyGyLKqJXOqKdlLZ1VWFW92Tb1lAZNxSrL_cqdVFVJ-AYntOb8,https://serpapi.com/search.json?data_id=0x94cb422ce964251d%3A0x32d29844e7398e1e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb422ce964251d%3A0x32d29844e7398e1e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJHSVk6SxCy5QRHo4550SY0jI,"Cristina, MG",lojas_presentes,2025-07-28T19:33:22.368909,COMPLETA
1,Ateliê KaDi Bernardes,ChIJIxmvFzRCy5QRX13NeFBfdTM,0x94cb423417af1923:0x33755f5078cd5d5f,3707974667438218591,/g/11g6976y6f,4.2,15,Artesanato,"Artesanato, Loja de moda feminina",handicraft,"Cristina - MG, 37476-000, Brasil",-22.2194953,-45.2658425,+55 35 99153-9271,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Produtos de excelente qualidade com atendimento sensacional!!!""",https://lh3.googleusercontent.com/p/AF1QipMDH5mCsBQdsrOODABvFPG2c0l5ln4ChSRee8wv=w80-h177-k-no,https://serpapi.com/images/url/6pfvtHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng6-Jhmutc7BSYUlzk7-_i6FTmFuBulGyQY5qTZ-KcERyUmmpRXmZbbmGgm2Fobq6brZuXDwCZyyD2,https://serpapi.com/search.json?data_id=0x94cb423417af1923%3A0x33755f5078cd5d5f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb423417af1923%3A0x33755f5078cd5d5f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJIxmvFzRCy5QRX13NeFBfdTM,"Cristina, MG",lojas_artesanato,2025-07-28T19:33:25.431042,COMPLETA
2,Bella Arte,ChIJKUuX94DBpgAR0Ysnw61WQrc,0xa6c180f7974b29:0xb74256adc3278bd1,13205212361707195345,/g/11gtftgj1m,5,41,Artesanato,Artesanato,handicraft,"R. Pirapora, 118 - Vila Cristina, Betim - MG, 32675-402, Brasil",-19.9412737,-44.1379957,+55 31 99731-4492,https://bellaartebetim.lojaintegrada.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Produtos de excelente qualidade, lindos e atendimento perfeito...""",https://lh3.googleusercontent.com/p/AF1QipMCJVg21lBJDoyzkSgMDe8nhY5EnpbXR8DoJV0s=w80-h100-k-no,https://serpapi.com/images/url/hztYCHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng6-wVlm5kmOPk5ZJfWZUdnO7rkmqRlxFp6ppXkBQRZOGS7xVmUGxbbmGgm2FoYKCbrZuXDwCjiyEc,https://serpapi.com/search.json?data_id=0xa6c180f7974b29%3A0xb74256adc3278bd1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6c180f7974b29%3A0xb74256adc3278bd1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJKUuX94DBpgAR0Ysnw61WQrc,"Cristina, MG",lojas_artesanato,2025-07-28T19:33:25.431042,COMPLETA
3,Ana Cristina Artesanato,ChIJG_rdN9AZt5QRxcK52dNEvqs,0x94b719d037ddfa1b:0xabbe44d3d9b9c2c5,12375404502742319813,/g/11hz1nwl3q,4.8,5,Loja de materiais para artesanato,Loja de materiais para artesanato,craft_store,"Av. Wenceslau Braz, 1673 - Vila Formosa, São Sebastião do Paraíso - MG, 37950-000, Brasil",-20.920083299999998,-46.97204,+55 35 99827-0161,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 09:00–11:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipNLtxMfW9xZVBz6QuzwHoaJSqyDrMDbKyBMt_oE=w163-h92-k-no,https://serpapi.com/images/url/TwvOY3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng51NS4ZsWblkRFeZUZRZYWlXukZ_oFVxY6VLk65LkXenkWxKf72pbbmhmrJthaaSbrZuXDwDJ9iI4,https://serpapi.com/search.json?data_id=0x94b719d037ddfa1b%3A0xabbe44d3d9b9c2c5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b719d037ddfa1b%3A0xabbe44d3d9b9c2c5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJG_rdN9AZt5QRxcK52dNEvqs,"Cristina, MG",lojas_artesanato,2025-07-28T19:33:25.431042,COMPLETA
