position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Loja Capricho Presentes,ChIJ98S06rj1nQARN2VysutzhhE,0x9df5b8eab4c4f7:0x118673ebb2726537,1262824201672353079,/g/11g4j3bm3p,4.8,62,Loja de Roupa,Loja de Roupa,clothing_store,"R. José Gióia, 240 - Vila Ana Rosa Novaes, Cruzeiro - SP, 12705-360, Brasil",-22.57324,-44.972486499999995,+55 12 3144-2521,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npCgB5D9WbBYHX7oMSRPwZQysGRCfjTXQeVSNBRYciIcEFUkXxqk79r1Bwp3o2yNMxxKeolVpOTw2WRRKpGKZfN0ptRa4ZcXjJfc99KEgGRx8pHrbDAbgSTqUCxppusCPmoEeBz=w101-h92-k-no,https://serpapi.com/images/url/xzdpP3icBcFBcoIwFADQE0UE7dh0xoWJiJaRakBFdpIJQUH-l8Qher8eorfpe3-_tbVovjyvrScjDaBb9TSql9BZ1dmRhLun0RBpiPEWnNbTDrlmH0t6Ktl5nc9gm4rdUOxfJhK8umX5Xh3ThImzvG5kuDo0uXs0M9r7bMAJBK9k61ysoD3iTzYEJyFijOKiSsZoxWVayPz2XUlK41BHwn3iui-Xi1Kn2ePAHeLT8N0dQsXe88Ef-6SmAWlIB__otkV7,https://serpapi.com/search.json?data_id=0x9df5b8eab4c4f7%3A0x118673ebb2726537&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9df5b8eab4c4f7%3A0x118673ebb2726537&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ98S06rj1nQARN2VysutzhhE,"Cruzeiro, MG",lojas_presentes,2025-07-28T19:43:16.494670,COMPLETA
2,Francis Presentes,ChIJIyD1DNX1nQAR0OYZTNt1C8s,0x9df5d50cf52023:0xcb0b75db4c19e6d0,14630917399178241744,/g/11gfp1yxtj,4,1,Loja de Presentes,Loja de Presentes,gift_shop,"R. Cel. Joaquim do Prado, 72 - Centro, Cruzeiro - SP, 12701-370, Brasil",-22.5743443,-44.9646524,+55 12 3144-2907,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uJI9enx9VIgznO-KeDoofw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=128.1419&pitch=0&thumbfov=100,https://serpapi.com/images/url/aP4E-nicHc09DsIgGADQ27CVn8ahmBAXl-rg5moo_QoklI8UWqqX8VzeRuMF3vu8XSkpHxnLZQEom4ea_A4hN0lTi2gD6OQzNTizTbDi1nmI2odT0hH9qNZLLyHu8t7bV7w1VzgjTpWY4WGCh1hUBr0YR239iQuO1KZMquo4cUq25KmrEm1HxUFIknwxTnHyTybclOD8C19EOa8,https://serpapi.com/search.json?data_id=0x9df5d50cf52023%3A0xcb0b75db4c19e6d0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9df5d50cf52023%3A0xcb0b75db4c19e6d0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJIyD1DNX1nQAR0OYZTNt1C8s,"Cruzeiro, MG",lojas_presentes,2025-07-28T19:43:16.494670,COMPLETA
3,Lojas Teddy Artigos Para Presentes,ChIJtRuRziv0nQARblzVS_x_sUU,0x9df42bce911bb5:0x45b17ffc4bd55c6e,5021935781075573870,/g/11f5dcg200,4.5,121,Loja de Presentes,"Loja de Presentes, Loja de R$ 1,99",gift_shop,"Av. Jorge Tibiriçá, 659 - Centro, Cruzeiro - SP, 12701-310, Brasil",-22.577192999999998,-44.9586974,+55 12 3132-1777,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–14:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npPnPMPVSq8Wo1q7HGZr5UAegzjkOQtXAXj4ullfH76ddz2NMomA-oXL-UxsQsByl1MzOyBF8YEepnVU89ecP7ZcuA9sMynjY410v1J4jftsk7tP9RiXlCJoax--M4hnH3h9FDw=w122-h92-k-no,https://serpapi.com/images/url/qmTyvXicBcFRUsIwEADQEy01JdrGGT8Cih3GSJApFv6cEBrbkC1sKrT38xDexvf-fl2MHT0miXfTSY1Ye9uTvRgM0YY4MXhK6o7AEFAi58Lx0Omgld5uzvknsnNWvO4v96W09di0q3WsZNXw3vtjkT0cDmP6rvAkAas3KG-0ptngmRpXw2yR715sF7ZlLqzR2d70UpAaQrPj7O6HLXlzjNRmUYuP78rPl_h1A1DchWLqxOL5-nRlaQpOpNBCwH_n_kRw,https://serpapi.com/search.json?data_id=0x9df42bce911bb5%3A0x45b17ffc4bd55c6e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9df42bce911bb5%3A0x45b17ffc4bd55c6e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJtRuRziv0nQARblzVS_x_sUU,"Cruzeiro, MG",lojas_presentes,2025-07-28T19:43:16.494670,COMPLETA
4,Loja Primos,ChIJi2OP89T1nQARtRavycG8cIo,0x9df5d4f38f638b:0x8a70bcc1c9af16b5,9975680715124053685,/g/11gyytjdmt,4.8,9,Loja de presentes,Loja de presentes,novelty_store,"R. Cel. José de Castro, 633 - Centro, Cruzeiro - SP, 12701-450, Brasil",-22.576895999999998,-44.9603652,+55 12 3143-6354,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipOjMyjs-uqcDDWfPufFBKPBzFR1RNiAIl_wln1Y=w163-h92-k-no,https://serpapi.com/images/url/liRB1XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn-VbmVWsW1qY7OISnhZQmubm5B3gVOUWZBjkl-nomRNfnpNnGGlbbmhmrJthaaSbrZuXDwC5hiGf,https://serpapi.com/search.json?data_id=0x9df5d4f38f638b%3A0x8a70bcc1c9af16b5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9df5d4f38f638b%3A0x8a70bcc1c9af16b5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJi2OP89T1nQARtRavycG8cIo,"Cruzeiro, MG",lojas_presentes,2025-07-28T19:43:16.494670,COMPLETA
5,Água Viva Presentes,ChIJu-gediz0nQARhmJBO6RpsPE,0x9df42c761ee8bb:0xf1b069a43b416286,17415535913131401862,/g/11hbtsw02j,4.9,16,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Jorge Tibiriçá, 397 - Centro, Cruzeiro - SP, 12701-020, Brasil",-22.579491299999997,-44.959536899999996,+55 12 99239-1031,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqcYU8MRjuVei513en6ycbXYYJbDeEy9RlcjOFQDT1DacZVgGU_EZ8tSZL5xPptyIH_CPaGb27wgy-WgagUD3x3Ynq7EAJkpQarGdBoCYXuBZvxfWg8sDaCxs77cRZ0-E51506YCA8qAM4C=w80-h177-k-no,https://serpapi.com/images/url/syIJKHicBcFRkoIgAADQE5GaGdTMfiiYW1NTuWsFPw0S4ZaBBm56yD3A3qb3_v8q5xo797y6CkfKGFXLzsqnMNpJ7UbCPDzVWCAssF6MZ9VEt4IWaJPfuoP8iYJQ6ukgyhOlq5LIdJjltbhtF3vyHRAu2EFlxTllyH2xddTvGjcsP894x7NyDF9qAEfFVUHCPqS6hWm8ujd7_swuicH01CXst78eFbKE495CKHLmgzQKIn9KcYzaeDPBHy_kgyqAENyBNm_-8EYk,https://serpapi.com/search.json?data_id=0x9df42c761ee8bb%3A0xf1b069a43b416286&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9df42c761ee8bb%3A0xf1b069a43b416286&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJu-gediz0nQARhmJBO6RpsPE,"Cruzeiro, MG",lojas_presentes,2025-07-28T19:43:16.494670,COMPLETA
6,Loja a Preferida,ChIJfW4VFy30nQARWzFEumZ81Cw,0x9df42d17156e7d:0x2cd47c66ba44315b,3230343613385027931,/g/11fy4dnc4y,4.7,9,Loja de variedades,Loja de variedades,variety_store,"Av. Nesralla Rubez, 155 - Centro, Cruzeiro - SP, 12701-000, Brasil",-22.5812571,-44.961064,+55 12 98898-2413,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipNghrsVZS-4_leF2gEY2ZLW5kCpoJIzo1l12lpt=w136-h92-k-no,https://serpapi.com/images/url/jAUKRnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl55RVBwWFaxrEp-T6maU7hppFOUTbprtXJDv5VmVb5hjaJRTUGJbbmhsppthaaSbrZuXDwCqWyFM,https://serpapi.com/search.json?data_id=0x9df42d17156e7d%3A0x2cd47c66ba44315b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9df42d17156e7d%3A0x2cd47c66ba44315b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJfW4VFy30nQARWzFEumZ81Cw,"Cruzeiro, MG",lojas_presentes,2025-07-28T19:43:16.494670,COMPLETA
7,Decor e Arte Presente Decorações e Corte Laser Cruzeiro,ChIJiXbJNMn1nQAR2YP3RMnwuIY,0x9df5c934c97689:0x86b8f0c944f783d9,9707773744033268697,/g/11wpp4lfg7,5,4,Loja de presentes,"Loja de presentes, Artesanato, Decorador de interiores, Serviço de corte a laser",novelty_store,"R. Cap. Neco, 36 - Centro, Cruzeiro - SP, 12701-350, Brasil",-22.575976999999998,-44.957611,+55 12 93085-4400,"/url?q=https://wa.me/5512930854400%3Ftext%3DOla,%2BSeja%2Bbem%2Bvindo%2Ba%2BDecor%2BArtee.Em%2Bque%2Bposso%2Bte%2Bajudar%3F&opi=79508299&sa=U&ved=0ahUKEwiG3o3qz-COAxX3lokEHVPFMyEQ61gIgwIoEQ&usg=AOvVaw1cOJKU1in-WYpw7C1XxYXg",Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipPE7GRCcrIqvf8lo2aNHEZ38LXUbXzk05RPGW8j=w80-h106-k-no,https://serpapi.com/images/url/NrQXVHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4GruHuScXORZWJZmkZNvlOjn4RplbOETEZoUUZVtYBoU4B5ukWVbbmGgm2FoYKabrZuXDwCYdCCu,https://serpapi.com/search.json?data_id=0x9df5c934c97689%3A0x86b8f0c944f783d9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9df5c934c97689%3A0x86b8f0c944f783d9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJiXbJNMn1nQAR2YP3RMnwuIY,"Cruzeiro, MG",lojas_presentes,2025-07-28T19:43:16.494670,COMPLETA
8,Lu presentes,ChIJU_rzOgD1nQARQwz8mMGKrf8,0x9df5003af3fa53:0xffad8ac198fc0c43,18423534214742543427,/g/11wpq56ynn,,0,Loja,Loja,store,"Av. Nesralla Rubez, 656 - Centro, Cruzeiro - SP, 12701-330, Brasil",-22.5769762,-44.959262599999995,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npZLwAlm3mH0y_EWMEQA284DyqPqv2tq46y5UdSV589dkKZbNkkRlr6dm2FKn8-ZNz1ryu-M023HMyvdEURDBZSigRdwfWfkbFf-hCzrcyBwPukauK5FDaAyBv4kERdoFFt2f1M=w122-h92-k-no,https://serpapi.com/images/url/0lIuUXicBcHbCoIwAADQL1rqvKBBD96GYEYZJfgS6tTFdFM3lfV_fUR_0zm_L5FyEkdNG4h56Dnvh3YV7dJwJlsmDw0ftX4SoBFAaH7oEYtN5Xn3h9EcE1294iKLbz50rUjN13mDcrYcZT_w_Wm7HqZpWV8ozYfFwSNEKXNBefkYi1pBpkMzydSG40ceBeX93ed474qO1qgDJPwsjQr260qrNbVRVPkq2Cwa55gjJGFnZKfdgBAQDwIKGP8DpC9EVQ,https://serpapi.com/search.json?data_id=0x9df5003af3fa53%3A0xffad8ac198fc0c43&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9df5003af3fa53%3A0xffad8ac198fc0c43&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJU_rzOgD1nQARQwz8mMGKrf8,"Cruzeiro, MG",lojas_presentes,2025-07-28T19:43:16.494670,COMPLETA
9,Na LOJINHA MODA E PRESENTES,ChIJJyeqniT3nQARRV1owQdZXB0,0x9df7249eaa2727:0x1d5c5907c1685d45,2115663814801775941,/g/11gxvv6j6x,4,8,Loja de Roupa,Loja de Roupa,clothing_store,"R. José Benedito Marcos, 87 - Lagoa Dourada, Cruzeiro - SP, 12711-510, Brasil",-22.5632238,-44.969994799999995,+55 12 98247-2997,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/p/AF1QipPviJ-FEs_ha_OR3cvghcFFZ1AqoZsiGRvEZJgB=w122-h92-k-no,https://serpapi.com/images/url/sJBaQ3icBcFLCoAgFADAE5loq4IWBRm06bN0UYSITyqfpdlZu00z3wIx-lBSekCeGURz6CfoW6GL2sVM4Uk9rQWbrB-T7YlowwrbOsy5SgaUEJLVF8pguzm1sjdN9TLOCRSc7MThD7P3IZA,https://serpapi.com/search.json?data_id=0x9df7249eaa2727%3A0x1d5c5907c1685d45&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9df7249eaa2727%3A0x1d5c5907c1685d45&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJyeqniT3nQARRV1owQdZXB0,"Cruzeiro, MG",lojas_presentes,2025-07-28T19:43:16.494670,COMPLETA
10,Check In Presentes,ChIJc_jVwnH1nQARD1t66FDG1p0,0x9df571c2d5f873:0x9dd6c650e87a5b0f,11373495959770782479,/g/11ghlv1g43,5,3,Loja de cosmético,Loja de cosmético,cosmetics_store,"Av. Jorge Tibiriçá, 182 - Centro, Cruzeiro - SP, 12701-020, Brasil",-22.5813375,-44.9600857,+55 12 98854-6515,/url?q=http://www.natura.com.br/consultoria/solcristina&opi=79508299&sa=U&ved=0ahUKEwiG3o3qz-COAxX3lokEHVPFMyEQ61gI6AIoEQ&usg=AOvVaw3qD-BdcY_IRVvwMVLIYgRx,Fechado ⋅ Abre ter. às 09:30,Fechado ⋅ Abre ter. às 09:30,segunda-feira: 09:30–18:30; terça-feira: 09:30–18:30; quarta-feira: 09:30–18:30; quinta-feira: 09:30–18:30; sexta-feira: 09:30–18:30; sábado: 09:30–18:00; domingo: 09:00–13:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqlZV0aaoMZj2o2g16JN9GpDQq5LKWHzu4_AqiY01TnS2SE79-fuI11rF3jgDLkMraeb4DVcCEviiaR1cey6O5u76lyC68FZlFmga9fm9vXbU32tq8KBL24vVFe5EufdpxQzT4=w163-h92-k-no,https://serpapi.com/images/url/NSVCBXicBcHdVsIgAADgJ8IJYyid04XtR81Zx7RVu-kgMjZlsA1Y6vP1Er1N3_f3WzvX2YcgUHU4kcZIJbwVAzfaCe0m3LSB7CzgFthgEdMa616VxZQxsy3PyCAJyfMLXXbJro_yzcfq7vH3om--pvCg92ifziio_BrCIQvPMskv24GJI04KHqdj07A3yMWNvEZ-RtQtJvOsVFkrGa1aOn4e30Pk-vnmKUd4LDIRpb46ddfd_YAffyAJQU0RuABt_gHxuEKp,https://serpapi.com/search.json?data_id=0x9df571c2d5f873%3A0x9dd6c650e87a5b0f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9df571c2d5f873%3A0x9dd6c650e87a5b0f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJc_jVwnH1nQARD1t66FDG1p0,"Cruzeiro, MG",lojas_presentes,2025-07-28T19:43:16.494670,COMPLETA
