position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Presentes Cruzília,ChIJEYFyPAQzngARHefJDUO6rLs,0x9e33043c728111:0xbbacba430dc9e71d,13523388578243667741,/g/11f2dt2lwq,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"R. Prof. Pedro Ferreira de Souza, 45 - Centro, Cruzília - MG, 37445-000, Brasil",-21.8366567,-44.8070017,+55 35 99717-3204,https://m.facebook.com/leninha.lena.798278?tsid=0.4491280390091945&source=result,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8t16b3jXofEsCrf8-uWFhA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=341.22723&pitch=0&thumbfov=100,https://serpapi.com/images/url/qWTEeXicHc3bDcIgFADQbfgrrxqtJsQYoyvon6F4CxhaCNwW3ca13EbjAud83g4xlR1jBTMALh5q8k8IpUma2hhtAJ18oSaObBEM3Tz2k_Zhn_QU_V11KNZ9-7jG4VSOeeia-XJ2B2L6mwkeJlQFdDaO2voTc7xTmwqpquPEqa0kL11VuxJUyo1sSfJonOLkvwxxUYLzL11WOTI,https://serpapi.com/search.json?data_id=0x9e33043c728111%3A0xbbacba430dc9e71d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e33043c728111%3A0xbbacba430dc9e71d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJEYFyPAQzngARHefJDUO6rLs,"Cruzília, MG",lojas_presentes,2025-07-28T19:39:45.498250,COMPLETA
2,KC Presentes/Moda/Acessórios,ChIJ_f8PHAEzngARUM-3a1qDRtQ,0x9e33011c0ffffd:0xd446835a6bb7cf50,15296057608787971920,/g/11c2pn4300,4.3,4,Loja de Presentes,Loja de Presentes,gift_shop,"R. Cap. Pinto, 70, Cruzília - MG, 37445-000, Brasil",-21.8386626,-44.809971499999996,+55 35 3346-2827,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:30–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nruFhB85SV5Sg8PBGTrVpAGPmZz6EOAuTjVqvIbScIE2qx5WlhdgM3vqSQtbaHxJpiqIUbNcf3gYSrj0H4Ewp4nBbYIhhKOHDHPxeHUvy8PfAojN_lG7A87UU-ma7sPj0gFG4cXGA=w80-h106-k-no,https://serpapi.com/images/url/yKVpjHicBcHddoIgAADgJyLd1GQ7pwtsBtZZ0SHt52YnmcGcAgqa7QX3DHubfd_fr3TO2FfPa2QwE1qLphps1XOtXKXcjOvWE8YCboH10PJFhqofVjKBESsiJiBN8KEvDMK0vfzM0x0aDnXRjVnJeJY-d1N0bOSneA_Gju1deSXT2nx1WV5u-S0QZ9bXPgnTuwlVUp4zKTc78kboVJF8fEB6Q7refjQ4RjDOc9BeY0trX6xwyE8YLe7QB_LJn4NvoPQ_anRE_A,https://serpapi.com/search.json?data_id=0x9e33011c0ffffd%3A0xd446835a6bb7cf50&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e33011c0ffffd%3A0xd446835a6bb7cf50&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_f8PHAEzngARUM-3a1qDRtQ,"Cruzília, MG",lojas_presentes,2025-07-28T19:39:45.498250,COMPLETA
1,Artes obras do Silvio,ChIJzbmqzxTVnwARpyJhlvLt-Y8,0x9fd514cfaab9cd:0x8ff9edf2966122a7,10374584842785464999,/g/11h3ngg9lk,,0,Artesanato,Artesanato,handicraft,"Rua José, R. Olímpio C Pereira - olaria, Cruzília - MG, 37445-000, Brasil",-21.833487899999998,-44.798913899999995,+55 35 99888-4542,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:00; terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–14:30; domingo: Fechado,,,,Cartão de débito,,,,https://lh3.googleusercontent.com/p/AF1QipMNhyizSRWSJjvZZc46T8xWfuI7VtedFdeX-DUL=w80-h100-k-no,https://serpapi.com/images/url/qqiCYHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng65dRmVkVHBQe7JVVFhWVbGIWYlERnlbqaR5WkprilpIaoesS6mNbbmGgm2FoYKCbrZuXDwC7miGL,https://serpapi.com/search.json?data_id=0x9fd514cfaab9cd%3A0x8ff9edf2966122a7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fd514cfaab9cd%3A0x8ff9edf2966122a7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJzbmqzxTVnwARpyJhlvLt-Y8,"Cruzília, MG",lojas_artesanato,2025-07-28T19:39:48.555039,COMPLETA
2,Lacorte Laser,ChIJ0yTbZBIzngARbl5u2U_eTCI,0x9e331264db24d3:0x224cde4fd96e5e6e,2471594730051231342,/g/11s2y9pn62,5,6,Loja de materiais para artesanato,Loja de materiais para artesanato,craft_store,"Av. José Mário dos Reis Meirelles, 640 - Jardim Imperial, Cruzília - MG, 37445-000, Brasil",-21.850675799999998,-44.805704999999996,+55 35 99102-2141,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:00; terça-feira: 07:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipMkRDfJfFUTJZGG2a6kn-K800xSMNn9WJQwJ_w5=w80-h142-k-no,https://serpapi.com/images/url/fSSbpHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngmx3kkuaV5hYa4hXl7m6UaJadp-ttYWBQEezrl2cZ7hVY7hVfbmpbbmGgm2FoYqSbrZuXDwCO_CB4,https://serpapi.com/search.json?data_id=0x9e331264db24d3%3A0x224cde4fd96e5e6e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e331264db24d3%3A0x224cde4fd96e5e6e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ0yTbZBIzngARbl5u2U_eTCI,"Cruzília, MG",lojas_artesanato,2025-07-28T19:39:48.555039,COMPLETA
3,Art Arantes,ChIJawpnXsAzngARMekcVlYe_Nk,0x9e33c05e670a6b:0xd9fc1e56561ce931,15707462956522203441,/g/11h0_hrmlr,5,6,Escritório da empresa,Escritório da empresa,corporate_office,"Unnamed Road, Cruzília - MG, 37445-000, Brasil",-21.838849699999997,-44.8277685,+55 35 99869-0770,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noYVjQoEAAvuduhl9OYmTH4EAWDaKSjMPcSxmOEILw-SRh86UbjSeOy4ZVOCZIPt_EAJyKLD_nkHTuSig6nGDGi1EFMujYgM13mkQfsi-Cq8vODcjYCo08MrXsBBmgrdWjJ5UGo3g=w80-h106-k-no,https://serpapi.com/images/url/f1W4X3icBcFbcoIwFADQFUVgoAx2ph8RUnwxUeOj-OO0kSYEkmtJ4mOFrsHd9JzXUzp3se9B0Mt4JABE33jbDByMa4wbcdCBuFjELbIBzscyMVDv1RoIxld_9rIf01pvpwnBh-J7wVS14uyuKZktb4htZJbufhRr6CM57ml-nK3cieD5Y7EsTqabbj1rRWrKomwj8ll5VYsqinW3_rUtyv-yKy24qnMIs2r4spOJFsP5oOZvuxJi8XHLQiSjMEUdMvAPYJJFHw,https://serpapi.com/search.json?data_id=0x9e33c05e670a6b%3A0xd9fc1e56561ce931&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e33c05e670a6b%3A0xd9fc1e56561ce931&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJawpnXsAzngARMekcVlYe_Nk,"Cruzília, MG",lojas_artesanato,2025-07-28T19:39:48.555039,COMPLETA
4,Art Viva Ambientes,ChIJEQxFq1MyngAR4hs2uT5nAks,0x9e3253ab450c11:0x4b02673eb9361be2,5404996021890980834,/g/1hdz5ttvk,5,56,Designer de interiores,Designer de interiores,interior_designer,"Av. José Pinto Ribeiro Sobrinho, 113 - Kennedy, Cruzília - MG, 37445-000, Brasil",-21.846059999999998,-44.815798099999995,+55 35 99922-1037,http://www.artvivaambientes.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: Fechado; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,,,,"""A Art Viva é uma loja de decoração que eu amo!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nooqlWrLEr8xN4zUJNSHb63qmQ7iDxsG6DFOqFXk6Hy_UJ_BvcRq6aLkoLIthy-SdRNPpNH5KFRdC2puiD2LJaA2hRkwsOnOxdzzJstVPaakKdpowmJeAx1BriCeG29Zk1WWnx3=w80-h106-k-no,https://serpapi.com/images/url/6_KmT3icBcFRboIwGADgE1UEtFOTPSAMWSXgIA7ji0FoKCn0L7RK5X47hLfZ973_mNZS7SyrY-6iAWg6-lB0rEBoKvSigt5qpEKVQsry_C1bCYChK8b4a9yYZDWfSZJHd-wO_c9HGxh1wEGYDuGF4-h1O5Pb_lllAy5jDvG3Zi-U11lykkm0PoZZ7Tvy0QZOTErPYRmfVCpSU88zUfr3VJb8WEuYekI9Y-_H1qcHZ3vldlEI435OmyVi9hIjjgT8Axi4RZM,https://serpapi.com/search.json?data_id=0x9e3253ab450c11%3A0x4b02673eb9361be2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e3253ab450c11%3A0x4b02673eb9361be2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJEQxFq1MyngAR4hs2uT5nAks,"Cruzília, MG",lojas_artesanato,2025-07-28T19:39:48.555039,COMPLETA
6,OBRA E ARTE MARCENARIA,ChIJLZpor1MyngARRPVS4X-KKI8,0x9e3253af689a2d:0x8f288a7fe152f544,10315647228337911108,/g/1yglpdm15,5,1,Moveleiro,"Moveleiro, Carpintaria",furniture_maker,"Farmaceutico Afonsinho, 86 - Kennedy, Cruzília - MG, 37445-000, Brasil",-21.845574,-44.81583,+55 35 3346-1443,,,,,,,Estacionamento com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=a49wmW1ef0XAOo6hYP0E-w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=263.2377&pitch=0&thumbfov=100,https://serpapi.com/images/url/3JY3JnicHc1BDsIgEADA33Ar0Na01mRjPHjWm3oylG5hE1pIwaKv8V3-RuMHZj5vm1KIOyFiWhDTSpgDPdHFIihuvDcOVaDItZ_EWopkH1M_K3L7oGZPA6hNl6dLiaO8Hk6-sbezPBaZ6f6uHeGcIKJatOUm_8TFD9yEyDJsJbPQVeylMlRNzau6bVmgpC1I9k9Gv0Ip5RcSLzjB,https://serpapi.com/search.json?data_id=0x9e3253af689a2d%3A0x8f288a7fe152f544&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e3253af689a2d%3A0x8f288a7fe152f544&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJLZpor1MyngARRPVS4X-KKI8,"Cruzília, MG",lojas_artesanato,2025-07-28T19:39:48.555039,COMPLETA
7,Jaqueline Arantes Tattoo Studio,ChIJRTBzXo8zngARt3wJjtelIDc,0x9e338f5e733045:0x3720a5d78e097cb7,3972357216560315575,/g/11fl791369,5,14,Estúdio de tatuagem,Estúdio de tatuagem,tattoo_shop,"Av. José Mário dos Reis Meirelles, 177 - Ipiranga, Cruzília - MG, 37445-000, Brasil",-21.8450778,-44.8121036,+55 35 99849-3259,,Fecha em breve ⋅ 20:00 ⋅ Abre ter. às 12:00,Fecha em breve ⋅ 20:00 ⋅ Abre ter. às 12:00,segunda-feira: 12:00–20:00; terça-feira: 12:00–20:00; quarta-feira: 12:00–20:00; quinta-feira: 12:00–20:00; sexta-feira: 12:00–20:00; sábado: 14:00–20:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Compras na loja,,,https://lh3.googleusercontent.com/p/AF1QipM4M79I5H1wjbIBvxhcRXBqNrho-VALbMu82LVO=w80-h106-k-no,https://serpapi.com/images/url/ApdiDXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga-Jrbulp6mFYnpXk6VRWkZEcFOFU6FeUka8b5uiT5FtqYeQT5m9bbmGgm2FoYKabrZuXDwCTQiC1,https://serpapi.com/search.json?data_id=0x9e338f5e733045%3A0x3720a5d78e097cb7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e338f5e733045%3A0x3720a5d78e097cb7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRTBzXo8zngARt3wJjtelIDc,"Cruzília, MG",lojas_artesanato,2025-07-28T19:39:48.555039,COMPLETA
8,Fabri Quadros Cruzilia Artigos Religiosos,ChIJlbYYpKozngARxgN8rEOBhWI,0x9e33aaa418b695:0x62858143ac7c03c6,7099222515276055494,/g/11tnnqlycc,,0,Loja de artigos religiosos,Loja de artigos religiosos,religious_goods_store,"R. Juscelino Kubitscheck de Oliveira, Cruzília - MG, 37445-000, Brasil",-21.8364826,-44.8105933,+55 35 99931-5165,https://www.facebook.com/profile.php?id=100083359253550&mibextid=ZbWKwL,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nryo22RKN7A1A1yUH8Ob8K59jDyj8DQbDPtSvhD-U82fUUPR9L2WAPfgE8T0naNpw5Q4fNSaTHPLDxFrhX8qScNkTBDX3_pN9uXwX6OdsDUgSQTt_9dab_t3W1GcYxrBQnpyj5T_w=w80-h106-k-no,https://serpapi.com/images/url/iOapRHicBcHbkoIgAADQLyJvadDMPlh0makhTZjcJ0dRYayAFVrzC_uG_Zs95-8jnTN27XkPGS2E1uLRvWw3cq1cp9yC66cnjAXcAuulWySXapx1GF5PZJUGaTCzI7w08BSjAc8DxHmDM1f8SgwYDHvGsis6h7c068UOUl_VxExxvuxJUdNjdsbv_ShL-FNwcqcbXEaVIehVTmVyaS1mosipq1BbN5WLbsGBf7_HTa7MPMS0mr4m6AMZ-Am4A6X_AYprQ_M,https://serpapi.com/search.json?data_id=0x9e33aaa418b695%3A0x62858143ac7c03c6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e33aaa418b695%3A0x62858143ac7c03c6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJlbYYpKozngARxgN8rEOBhWI,"Cruzília, MG",lojas_artesanato,2025-07-28T19:39:48.555039,COMPLETA
9,CRUZIMAC,ChIJ1f8v6KozngARxNsJJ5UM2V8,0x9e33aae82fffd5:0x5fd90c952709dbc4,6906565338293984196,/g/11clssclzt,4.7,64,Loja de móveis,"Loja de móveis, Loja de eletrodomésticos, Loja de Brinquedos",furniture_store,"R. Cap. Pinto, 345 - CENTRO, Cruzília - MG, 37445-000, Brasil",-21.842094,-44.811904,+55 35 99732-1210,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–12:30; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noCmbsdH6R4u2s-HhdH9Tq9sq6igLjK4iUP0alR8i6QVeZpxu1E-oxHPAU9fu39ULwnz1npt12nXvBMcuQpkkmE-0olwo3TSLWCZ-pzzwgJ14ZiJ_gum6sSwbY05B5Sw64gvz-aUA=w138-h92-k-no,https://serpapi.com/images/url/4j0o0nicBcHRboIwFADQL7pCoTZ2yR6QmBDHEhXZHC-LImsZ0Ft3W2v4wX3D_mbn_P1q5yw9RdGo04VCVGPnqftp0bjOuEWLU6QsQUtAUZZLzQ3m04WuhThwnxAU-lrI403STfSq_H7hfb2Lz-Nh1Yv9W9fYh2cbwEexy2r55VNZl8HMzFjHEnO6r19bv7fDMG0gxjFgeqzK97wBO89BbRlv-u2n8pOgKlw-4uV6WQXB1X2Gc509B5auQMsEBjD4D2MwRWM,https://serpapi.com/search.json?data_id=0x9e33aae82fffd5%3A0x5fd90c952709dbc4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e33aae82fffd5%3A0x5fd90c952709dbc4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ1f8v6KozngARxNsJJ5UM2V8,"Cruzília, MG",lojas_artesanato,2025-07-28T19:39:48.555039,COMPLETA
