position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Cunha presentes,ChIJxTqiV7zlhpQRv51xo6sVsYE,0x9486e5bc57a23ac5:0x81b115aba3719dbf,9345274528696212927,/g/11bzwndpv8,4.5,107,Loja de Presentes,Loja de Presentes,gift_shop,"Aero Rancho, Campo Grande - MS, 79081-650, Brasil",-20.5182367,-54.634766899999995,+55 67 3385-5598,,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 07:30,Fecha em breve ⋅ 19:00 ⋅ Abre ter. às 07:30,segunda-feira: 07:30–19:00; terça-feira: 07:30–19:00; quarta-feira: 07:30–19:00; quinta-feira: 07:30–19:00; sexta-feira: 07:30–19:00; sábado: 07:30–19:00; domingo: 07:30–12:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npNm0qG4GCjzE0x9VKwYPA3g0b675KUR6GEBgXYZltA6qFFYH-KB0n9f0o13ecOxA7mspEGyxn7hHkYJcIeiJTwxM1PfkECAw-06cSEXwuMtqtIENZrc6IWRC9uz7jmKJt0vrEs=w80-h92-k-no-pi0-ya320-ro0-fo100,https://serpapi.com/images/url/TCVs0nicBcFbcoIwFADQFV25iA1NZ_oRmYjAaB37Ev_aTAAFkkBCg6603U3P-fttnDP2KQi6JlrUWtednKwchVZOKrcQug9qY0FYsAFLaLNSZt_jkK7S5HrnONOPwpcHFtX4TeKH4v1IUr6uT-W5c4wMm025hWKNilaow0iKl5nFvTU8vc0qbrZtmYtMXvI3P-_CQ9XyhHlAIl75yU87N7iM78-jINnnMaHTPb72Re7wZ-T22T8iNHQJLSgN5oJw-4qWCKNGqHSI-A9uTUjl,https://serpapi.com/search.json?data_id=0x9486e5bc57a23ac5%3A0x81b115aba3719dbf&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9486e5bc57a23ac5%3A0x81b115aba3719dbf&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJxTqiV7zlhpQRv51xo6sVsYE,"Cunha, MG",lojas_presentes,2025-07-28T19:47:24.532122,COMPLETA
2,Alternativa Presentes e Brinquedos,ChIJd8i-9aFapgARrEuQB9McbUs,0xa65aa1f5bec877:0x4b6d1cd307904bac,5435032017996630956,/g/1vlzcltd,4.5,96,Loja de Brinquedos,Loja de Brinquedos,toy_store,"R. Lassance Cunha, 173 - Centro, Sete Lagoas - MG, 35700-006, Brasil",-19.459627599999997,-44.2432583,+55 31 3771-5667,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhE1IuYJu9KZim7VyRShpKoWcBnx_9viDX3hfvxLp3FhPRi1I3DyzN2VgqiOHLnOtXVCAKdcewXLoUzccWhuY3Oy7CBputoCgQC7H-QUdcP6u9nqaMWIq4VqNvNZYjjF9IDiWaeY6cbnqqfh03OTLUSrrBhWRJ8lbDwlW5PmT0OO2JG5IyBd46iB3XGd8ETbeAz3_ZI=w80-h142-k-no,https://serpapi.com/images/url/zZmhwHicBcHJcoIwAADQ6aGfg6DBhc70wOISpOICBLg4EpDEYkIwQfFT-zV97-_jk0jZPr50vSFgVHNeN5V6VB3mTFZMjjC_63X70NqOvwbdDkrTI8sxVJmvrG1O7_NkOJ5Iu-UIO-x1tnrqpYBc-1fQghXZH-kYAm947yZJLWi4CVgo08S1tyWunmnA4zfGiKgMhMPcdVoluVsf3PlGO8Ql3s-UxcTlB0FhJmLX7_LsdltZ0KPoUmUzXDAhrsQAYRTEp65zCDr6i6bwng2a7u-REYYTfz2Fg1OaM-qAdF0ullFR2W9wzuH3c2FoZGxOtF-N8X8WMloK,https://serpapi.com/search.json?data_id=0xa65aa1f5bec877%3A0x4b6d1cd307904bac&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa65aa1f5bec877%3A0x4b6d1cd307904bac&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJd8i-9aFapgARrEuQB9McbUs,"Cunha, MG",lojas_presentes,2025-07-28T19:47:24.532122,COMPLETA
3,Etc e Tal Papelaria e Presentes - Edmar Cunha,ChIJyQoyFe83sJQRmQVW_ODvwLo,0x94b037ef15320ac9:0xbac0efe0fc560599,13457019436168250777,/g/11l_8py0ft,5,16,Loja de produtos de papelaria,Loja de produtos de papelaria,copying_supply_store,"R. Dr. Edmar Cunha, 75 - A - Vila Santa Terezinha, Araxá - MG, 38183-296, Brasil",-19.604926,-46.9391967,+55 34 98804-0830,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:30; terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipO2ujjhSiYaKQmpkpyXP1uJieS2UJOwXNhKaqwk=w80-h106-k-no,https://serpapi.com/images/url/6DJQ33icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb1SalZURnBmZ6B2YW5BdUBkRYFjqlZkabBTq5V8e4ZfhnVhYnm1bbmGgm2FoYKabrZuXDwDLeyJI,https://serpapi.com/search.json?data_id=0x94b037ef15320ac9%3A0xbac0efe0fc560599&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b037ef15320ac9%3A0xbac0efe0fc560599&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJyQoyFe83sJQRmQVW_ODvwLo,"Cunha, MG",lojas_presentes,2025-07-28T19:47:24.532122,COMPLETA
4,Casa Ema Presentes,ChIJA--dKAJ9nQARGROAZc7s0Zw,0x9d7d02289def03:0x9cd1ecce65801319,11300073311259595545,/g/11flvzrl94,4,8,Loja de Presentes,Loja de Presentes,gift_shop,"R. João Manoel Rodrigues, 117 - centro, Cunha - SP, 12530-000, Brasil",-23.074167799999998,-44.9592512,+55 12 3111-2400,https://wa.me/551231112400,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npbwXhA6q3HjKU95_cgtAalMNw65epen25_RJF3R-feCp6zq41P0CSA_vcQBdnkOmdIrZI2XLUQK2aiJRHQqCgCr8JjhlGqZHbZW1L3r0txbxm70rUApeFldgT5kIeULwXeD9I=w80-h106-k-no,https://serpapi.com/images/url/UJQ6q3icBcFdboMgAADgE1FRq61L9sBoOrXuRztT44upyKAVAYHNZufrJXabft__nTun7ZPnCR6umFJM0B9LDVHSUelWRE0e0xYQC6yHcMLXUvdLw1E8h-n1UCdRR5hDZ_H2vsQR1VQGUVfl-7AC3xTr-G9e-58QH1H3S8qXQY4f05CZNguaoi4PwfmSV2k5Y4bNNr9y8Tq3ad-e_CI00N3627SBpkaa7sXAvqIxo3WxNHSXZM_LFgLuwxiMQKoHTGxDpQ,https://serpapi.com/search.json?data_id=0x9d7d02289def03%3A0x9cd1ecce65801319&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9d7d02289def03%3A0x9cd1ecce65801319&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJA--dKAJ9nQARGROAZc7s0Zw,"Cunha, MG",lojas_presentes,2025-07-28T19:47:24.532122,COMPLETA
5,Papelaria Aquarela e Arte,ChIJJ9yzFm1FpJQRA7T1r5EejNE,0x94a4456d16b3dc27:0xd18c1e91aff5b403,15099477261737636867,/g/11y2b_dmk9,4.9,96,Papelaria,"Papelaria, Loja de Informática, Loja de produtos de papelaria, Loja de embalagens para presente, Loja de presentes, Fornecedor de material para escritório, Loja de Brinquedos",stationery_store,"Av. Afrânio Rodrigues Da Cunha, 177 - Tabajaras, Uberlândia - MG, 38400-262, Brasil",-18.9252073,-48.2870214,+55 34 3212-3090,"https://wa.me/553432123090?text=Ol%C3%A1,+vim+pelo+Google!",Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–13:00; domingo: Fechado,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""Excelente, produtos de qualidade incrível com ótimo preço.""",https://lh3.googleusercontent.com/p/AF1QipPx-tpgwl7bOT9YJx3umT4S7PUatIrNYIRGlG24=w80-h106-k-no,https://serpapi.com/images/url/wdZuxXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUKFbUpBenmOe5B9iGelVYVyaG2ISbB4QmljiWeQX6RnknuNuZGJbbmGgm2FoYKabrZuXDwCwpyEn,https://serpapi.com/search.json?data_id=0x94a4456d16b3dc27%3A0xd18c1e91aff5b403&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94a4456d16b3dc27%3A0xd18c1e91aff5b403&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJ9yzFm1FpJQRA7T1r5EejNE,"Cunha, MG",lojas_presentes,2025-07-28T19:47:24.532122,COMPLETA
6,Decorart Presentes,ChIJv7E2YA9QpJQRqQnLVDy5ImM,0x94a4500f6036b1bf:0x6322b93c54cb09a9,7143475627734796713,/g/11b6sk70cx,4.9,11,Loja de presentes,"Loja de presentes, Loja de utensílios de cozinha, Loja de Brinquedos",novelty_store,"R. Ângelo Cunha, 189 - São Jorge, Uberlândia - MG, 38410-206, Brasil",-18.9561287,-48.232978599999996,+55 34 3223-5593,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 09:00–18:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/p/AF1QipPgVAT3XNfhjrp_gCCe3J5RgKK3_Bpf3vPvH6sB=w147-h92-k-no,https://serpapi.com/images/url/aacoeHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkB7mGGIc4ZeWkVVUEJ_u7Jxq7GUalO7tbRzvVJBmXBZQ5mFW7GRbbmhirpthaaSbrZuXDwCksiER,https://serpapi.com/search.json?data_id=0x94a4500f6036b1bf%3A0x6322b93c54cb09a9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94a4500f6036b1bf%3A0x6322b93c54cb09a9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJv7E2YA9QpJQRqQnLVDy5ImM,"Cunha, MG",lojas_presentes,2025-07-28T19:47:24.532122,COMPLETA
7,Auditek Presentes,ChIJMaNMvRASogARZ8SUv5nOWqQ,0xa21210bd4ca331:0xa45ace99bf94c467,11843005329863656551,/g/1tdmr8ns,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"R. Luís Cunha, 165 - Santos Dumont, MG, 36240-000, Brasil",-21.4573407,-43.5502742,+55 32 3251-3918,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npBnGO1ia8z5x9tJjtryPn6cITlYyVXxqMsvOmZ932kiQOioud_XqGW3nSKCleQ9ipzwUjzLsXTMmYf-vTvCYrPfyQQMBV3PyNcOm7n6hlS3m6f3HJ6L_d6MmK-ZfnkH9citjDVXg=w80-h96-k-no,https://serpapi.com/images/url/zrJo9nicBcFRboIwGADgExV01WqX7EExUVEGRIbgizEVaKH9i7SicMDdYbfZ9_39cmtb8-m6kmOn0rqSxdMUHdNgC7AO08qtWoOYQcZdeZTPoF3DNpyK23Kcv6n1a9sNERC2T2Q-pNn7EZg-VBeKPxoRh0I_79fssT1jOB08WcRUtOPrpx6PJksClZeoT3ov76JyiONgneJo-GahWgDh8oQVKfHOJ8frnQTqgC4lNDvKhK03aVZ9vZYTxClBDQL9D802RrE,https://serpapi.com/search.json?data_id=0xa21210bd4ca331%3A0xa45ace99bf94c467&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa21210bd4ca331%3A0xa45ace99bf94c467&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJMaNMvRASogARZ8SUv5nOWqQ,"Cunha, MG",lojas_presentes,2025-07-28T19:47:24.532122,COMPLETA
8,Papelaria Cunha,ChIJexiWqZ1SsQARoAgTV5Zkwf4,0xb1529da996187b:0xfec16496571308a0,18357064153007589536,/g/11fxdyhkxp,4.5,2,Papelaria,Papelaria,stationery_store,"R. Bom Jesus, 48 - Central de Minas, MG, 35260-000, Brasil",-18.760807,-41.3083455,+55 33 3243-1577,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=B0VZPqKz7UrfH1X-6qEBUA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=41.79355&pitch=0&thumbfov=100,https://serpapi.com/images/url/sAqFhHicHc1dCsIgAADg2_g2f6q1FshoEAS99LKIXsI5p4KbTm1Wl-lc3aboAt_3easYXdgiFKIXIs5aJKcfwoTMMSitlUYwpwPkdkAzQVHdh3Zk2lSOjVZ3tMbn62k6vorG9wdyydbTvm52gLc3brQYIw2Cea6gTD_R2w5KF0CiGwwULRfgyRJdEViUyzwHTkeuKAb_pLczJRh_AQjoOKc,https://serpapi.com/search.json?data_id=0xb1529da996187b%3A0xfec16496571308a0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xb1529da996187b%3A0xfec16496571308a0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJexiWqZ1SsQARoAgTV5Zkwf4,"Cunha, MG",lojas_presentes,2025-07-28T19:47:24.532122,COMPLETA
9,Lucath Presentes,ChIJbU2h4lGiy5QRyiEhNnLUHDU,0x94cba251e2a14d6d:0x351cd472362121ca,3827167370357580234,/g/11cm9m6bw0,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"520, Av. Frederico de Paula Cunha, 334 - Centro, Santa Rita do Sapucaí - MG, 37540-000, Brasil",-22.2479755,-45.7049646,,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–04:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jbuvU_xMEOsZujuqFAveaw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=239.96368&pitch=0&thumbfov=100,https://serpapi.com/images/url/_zG37HicHc09DsIgGADQ27AJtE2a1oQYB92Mk4tLQ-kn0FDA8ldv47W8jcYLvPd5qxh92BMS4goQs4bi9QYm7DzH0jlpgHsdsHALyRWJKi2j5docPLdOT2weU74N2-V0Dfc0p-f5mIEXJMZBGA02sgB8FQrL8hNXN2HpAyqso0ixvkYvXljd9Lhvm7ZDXkehGEX_5eEyqyj9AtcMOqY,https://serpapi.com/search.json?data_id=0x94cba251e2a14d6d%3A0x351cd472362121ca&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cba251e2a14d6d%3A0x351cd472362121ca&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJbU2h4lGiy5QRyiEhNnLUHDU,"Cunha, MG",lojas_presentes,2025-07-28T19:47:24.532122,COMPLETA
10,Bazar Arco-Íris,ChIJx9VIZw9QpJQRsd2TLT7cd_E,0x94a4500f6748d5c7:0xf177dc3e2d93ddb1,17399617844979948977,/g/11b6qjn8ms,4.6,91,Papelaria,"Papelaria, Bazar",stationery_store,"R. Ângelo Cunha, 178 - São Jorge, Uberlândia - MG, 38410-206, Brasil",-18.9563944,-48.2330547,+55 34 3213-7116,,Fecha em breve ⋅ 20:00 ⋅ Abre ter. às 09:30,Fecha em breve ⋅ 20:00 ⋅ Abre ter. às 09:30,segunda-feira: 09:30–20:00; terça-feira: 09:30–20:00; quarta-feira: 09:30–20:00; quinta-feira: 09:30–20:00; sexta-feira: 09:30–20:00; sábado: 09:30–20:00; domingo: 09:00–13:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Variedade enorme de produtos com boa qualidade e preço bom!""",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGroI6tOf8t4A0KlyZwkJV7YQjlZOYnlWrl7nEYMr_KliB5WU6Rkis0wFGPT3QJhhgBk1itxKc92oR-v2p2yV2gh6DM7ydE6uarZrViuNjn3IebO_hIC3MFVHDSaktP08Bmjx47ia5AE9V1uYIMd_zoEaaGH1B6UX7UUDL1lLhik-CYbeEosyTk_bEABkpcCCY4N5Q=w122-h92-k-no,https://serpapi.com/images/url/MO_5-3icBcHbckNAAADQ6UM_R7Bu0Zk-uEUESaQh5cW41bIba9YK-qn9mp7z9_YOGRunD57HUNq1hLS4maeGVmRgzcB2FXny7ThxIyXrxhtBLdvQpcRT2eVnz2RD8PGWLeiUaGnU4-ySDvhBsTY4aUhzH3em8ojVG-omYTm417sUnSBsTSR2bPUrHZAb9wIj2BLQQtUOta121LmgGU26-dwPkteUlxx6lhQekqP9VSB2Ffbms19lrSsUw9ETcU69sM5_iVMU7lE01fhbi2M7EHEAO8RZadk4ZNruKC8dw0RjZVmpfFaiz0UEgIM64BA3kH951Vj9,https://serpapi.com/search.json?data_id=0x94a4500f6748d5c7%3A0xf177dc3e2d93ddb1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94a4500f6748d5c7%3A0xf177dc3e2d93ddb1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJx9VIZw9QpJQRsd2TLT7cd_E,"Cunha, MG",lojas_presentes,2025-07-28T19:47:24.532122,COMPLETA
