position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Lú Presentes,ChIJjx9aFCVprwARmxolPIto_Kk,0xaf6925145a1f8f:0xa9fc688b3c251a9b,12248780033759713947,/g/1tdr4kcy,4.7,63,Loja de variedades,Loja de variedades,variety_store,"Av. Juscelino Kubitscheck, 167 - Conceição do Mato Dentro, MG, 35860-000, Brasil",-19.0361048,-43.4248401,+55 31 3868-1995,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–19:00; sábado: 08:30–12:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento EXCEPCIONAL, a equipe super cordial e ótimos preços.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npDFVujOpr5I9EkE5doqmKhTkq2BZnq-4KXXnK-HjUnrWawGA8ke7MdMXmsrrngwzq1nI-bBt_XxHUV0bxgEAqUm7vp-ZztIWZ8zeypbe49ce0TP_R1onYWttVXWQJXJv2mb-FS=w122-h92-k-no,https://serpapi.com/images/url/HAKlUHicBcFbjoIwFADQFV2RDkaZZD5QUZGYeQlUfoxg00bs7VNx2N8swt14zvNfeK_dexBcxduIK8Wv7OaYbRV6hn7UKhlw7aB14IJkEYsI9XJV3i6f2k6yOO3SyVkZmYt9Z8i8RgNRTinmsLkUaKtTv05mHZvuzjsqnbXI-8GEmEEz90f62BTluHnwNDGFnN411IPPqno2sD_dsChu2Xj_dfwJFR4q70tafW_p9k5kA6vfjz4kBERMoANULz3pRd0,https://serpapi.com/search.json?data_id=0xaf6925145a1f8f%3A0xa9fc688b3c251a9b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf6925145a1f8f%3A0xa9fc688b3c251a9b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJjx9aFCVprwARmxolPIto_Kk,"Córregos, MG",lojas_presentes,2025-07-28T19:30:53.742392,COMPLETA
2,Lojas do Aendes,ChIJ1XFxeXv0tJQRuKz4v6K7-tg,0x94b4f47b797171d5:0xd8fabba2bff8acb8,15635015364049939640,/g/1vnrrq8l,3.8,10,Papelaria,Papelaria,stationery_store,"R. Joaquim Gonçalves da Fonseca, 38, Córrego Fundo - MG, 35578-000, Brasil",-20.4494838,-45.554848899999996,+55 37 99828-5955,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:30; terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–12:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mqXpUuTC7--o9d3iaQp7Ow&cb_client=search.gws-prod.gps&w=80&h=92&yaw=216.18929&pitch=0&thumbfov=100,https://serpapi.com/images/url/pVBqQ3icHc3bDcIgFADQbfgrj5rYYkL8cABjool_hlKEm9ByLRR0G9dyG40LnPN5-5wx7RhLebE2F7AV4WlDalBTF6MLViMkauLEimDZr9Mwawh71HOEUU2PK17W86FrmijHDegTdsdKzHAzAeycVbJ6MZ66-hOXOFKHiVTVc-KVbMlLV9WKLRW9bCVByMYrTv7LPRYlOP8CcK05bQ,https://serpapi.com/search.json?data_id=0x94b4f47b797171d5%3A0xd8fabba2bff8acb8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b4f47b797171d5%3A0xd8fabba2bff8acb8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ1XFxeXv0tJQRuKz4v6K7-tg,"Córregos, MG",lojas_presentes,2025-07-28T19:30:53.742392,COMPLETA
3,By Ousadas Presentes,ChIJddNnvS5DrwARKwrAoPypD9k,0xaf432ebd67d375:0xd90fa9fca0c00a2b,15640906933374814763,/g/11nnnjtbgx,3.7,3,Loja de Presentes,Loja de Presentes,gift_shop,"R. São José, 293 - Itacolomi, Conceição do Mato Dentro - MG, 35861-000, Brasil",-19.0003883,-43.5193278,+55 31 98248-9597,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:30; terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–18:30; domingo: Fechado,,,,Cartão de débito,Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noBjQ3xt3VO8KeipQvDkP5bl6M-LEnARUn7bZ3a9djFBqwDwz6aSZA0pME7FatAsXpg-ICMXQ_90E-FeKhBnzzWOWBQ5IPKflF83NnmolnBoziksaBn1NxF9OWRK-uOAv4axSJ4qw=w122-h92-k-no,https://serpapi.com/images/url/3NkbnnicBcHdboIwGADQJ_pEKf50yS5apYljiGg2jDdLZR1V6te6ViG84J7Bt9k5zz8dgvMvUWQ0GTXWNkbdvfqtLQaFYVTba9Q4D7UHH7El1QlafilJH8hnscjU2ZWPVbudnswsh_cU2e4D56cjkfT7IvitW3XDTO6PbOzydC5kYP7gGlgv80P5RccpCJVpjsNQFRUvp-tt9mPEgmzwag1yO5xbLzlONr2gRbXL4F6wRyL7_Vty6167SRyDpjG0gPYfDO5Ehg,https://serpapi.com/search.json?data_id=0xaf432ebd67d375%3A0xd90fa9fca0c00a2b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf432ebd67d375%3A0xd90fa9fca0c00a2b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJddNnvS5DrwARKwrAoPypD9k,"Córregos, MG",lojas_presentes,2025-07-28T19:30:53.742392,COMPLETA
4,Frizzo Papelaria e Mimos,ChIJ6XljXEFhpgARNMekY60EOTE,0xa661415c6379e9:0x313904ad63a4c734,3546871324278572852,/g/11xf4qh72t,5,41,Loja de presentes,"Loja de presentes, Copiadora, Loja de embalagens para presente, Loja de produtos de papelaria, Loja de materiais escolares",novelty_store,"R. Otoni Alves, 69 - Centro, Pedro Leopoldo - MG, 33250-048, Brasil",-19.620697399999997,-44.0438245,+55 31 97255-6636,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 09:00–17:00; domingo: Fechado,,,,,,,"""Minha experiência  foi bacana de mais achei e comprei tudo que precisava""",https://lh3.googleusercontent.com/p/AF1QipPGg4TNW9xckRmAdrQHHIZZsbi0-I9vKD77LGFZ=w80-h142-k-no,https://serpapi.com/images/url/wFGQZ3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4J5uEuIXblmRnB2U65hSFOjh4RkVVZyUaaDraVnm7WJu7uPuFmVbbmGgm2FoYqSbrZuXDwCbSCCX,https://serpapi.com/search.json?data_id=0xa661415c6379e9%3A0x313904ad63a4c734&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa661415c6379e9%3A0x313904ad63a4c734&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6XljXEFhpgARNMekY60EOTE,"Córregos, MG",lojas_presentes,2025-07-28T19:30:53.742392,COMPLETA
5,Mato Dentro,ChIJfxvvqkZprwARt-B1UgA0jG8,0xaf6946aaef1b7f:0x6f8c34005275e0b7,8037856610937594039,/g/11xmt7d3f8,5,2,Loja de presentes,"Loja de presentes, Loja de Roupa, Loja de variedades",novelty_store,"R. Luís Maria, 60A - Brejo, Conceição do Mato Dentro - MG, 35860-000, Brasil",-19.035287099999998,-43.4232502,,https://www.matodentroloja.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipNnrsnXhBZOZsf5vxehEp9UgWbfAmSweTfOB-41=w80-h120-k-no,https://serpapi.com/images/url/0byDSHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl1dUnBeR4RTlH1WcZlpWkZrhWmAZmh6elOaYG1yeGpLm76RrYmhbbmGgm2FoZKCbrZuXDwDLLSHS,https://serpapi.com/search.json?data_id=0xaf6946aaef1b7f%3A0x6f8c34005275e0b7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf6946aaef1b7f%3A0x6f8c34005275e0b7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJfxvvqkZprwARt-B1UgA0jG8,"Córregos, MG",lojas_presentes,2025-07-28T19:30:53.742392,COMPLETA
6,Luxor Papelaria,ChIJXYaNllh8pgARqEmtjI18oHk,0xa67c58968d865d:0x79a07c8d8cad49a8,8764141822255385000,/g/1ptvvzms1,4.5,84,Papelaria,Papelaria,stationery_store,"Av. Acdo. Nilo Figueiredo, 2500 - Bela Vista, Lagoa Santa - MG, 33400-000, Brasil",-19.645028699999997,-43.9046841,+55 31 3681-6700,http://www.instagram.com/loja_luxor,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""Papelaria com grande variedade de produtos, e itens diferenciados.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4no8I8e2YrF3-1N240p-iu1Ai7HTF4ODwmJ7JX3O7-Wkow4faMzla9rjVeJVYoRK2FYyqW-7J3OYW_sKwgK_bsfAEIrouqgMS9rN0F-znT60gY-e0E4IVsHMc4QoHoQb8uRfDRKj=w133-h92-k-no,https://serpapi.com/images/url/x0sdMXicBcFZDoIwEADQEw1bGwETP4hKWIJEJGC_jJJSVOxgCyFyPw_hbXzv9-3GcdBr0-w7YghE0fNJc9WgHLkcjQZfphg0NBq0GWz9jkr0Yo87TIUE7INDrQHukx3c3agMab6bX4mbnEnuQv3EmbbXbOmvvnpUPKkYFqkTss-7BjchOasvOp1FernpNtjHCqe3yE6-OlghLLJcWYIBt_Y0rnSUNfSIER5v3lS0uyJ9bGabEOh8B54g8Q_kZkJ2,https://serpapi.com/search.json?data_id=0xa67c58968d865d%3A0x79a07c8d8cad49a8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa67c58968d865d%3A0x79a07c8d8cad49a8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJXYaNllh8pgARqEmtjI18oHk,"Córregos, MG",lojas_presentes,2025-07-28T19:30:53.742392,COMPLETA
7,Dai's Casa e Presentes,ChIJw5qscwAvy5QRYHxl0gpGSCU,0x94cb2f0073ac9ac3:0x2548460ad2657c60,2686474190019984480,/g/11vrvhl5tl,5,12,Loja de presentes,"Loja de presentes, Loja de Presentes",novelty_store,"Avenida Prefeito Dilermando de Oliveira, 16 - Conceição do Rio Verde, MG, 37430-000, Brasil",-21.8810047,-45.0865666,+55 35 99768-5977,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–17:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Uma empresa com excelência em produtos e atendimento impecável.""",https://lh3.googleusercontent.com/p/AF1QipM7zbE90C28I6tYknhFCuRwGsdlhVjjmEu6vhop=w122-h92-k-no,https://serpapi.com/images/url/yHgTzHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga16V5Gpp4Gxk4WlWEpmdl-HmXBpU7l6ckpMRlpWV61pqVpaRX2BbbmhkpJthaaSbrZuXDwCoSiG8,https://serpapi.com/search.json?data_id=0x94cb2f0073ac9ac3%3A0x2548460ad2657c60&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb2f0073ac9ac3%3A0x2548460ad2657c60&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJw5qscwAvy5QRYHxl0gpGSCU,"Córregos, MG",lojas_presentes,2025-07-28T19:30:53.742392,COMPLETA
8,Serralheria imperial toque magico,ChIJTbv2Q5RprwARwdkkaTIjLxQ,0xaf699443f6bb4d:0x142f23326924d9c1,1454419904083319233,/g/11j496z_mn,4.8,4,Loja de materiais para artesanato,Loja de materiais para artesanato,craft_store,"R. José Pinto Fernandes - Rosário, Conceição do Mato Dentro - MG, 35860-000, Brasil",-19.0339411,-43.430422799999995,+55 31 98105-5357,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–19:00; terça-feira: 07:00–19:00; quarta-feira: 07:00–19:00; quinta-feira: 07:00–19:00; sexta-feira: 07:00–19:00; sábado: 07:00–12:45; domingo: Fechado,,,,Cartão de débito,,,"""Recomendo um ótimo profissional""",https://lh3.googleusercontent.com/p/AF1QipN-oVuIqm3xoWEevPbN56mCBNE9Zc_ciOBfGvrI=w163-h92-k-no,https://serpapi.com/images/url/vvJ_oXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngp5sfVupZmGtckR_umloWkORnapbr7OTnahmVHJ-c6e-U5l5W5GlbbmhmrJthaaSbrZuXDwCvDyFp,https://serpapi.com/search.json?data_id=0xaf699443f6bb4d%3A0x142f23326924d9c1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf699443f6bb4d%3A0x142f23326924d9c1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJTbv2Q5RprwARwdkkaTIjLxQ,"Córregos, MG",lojas_presentes,2025-07-28T19:30:53.742392,COMPLETA
9,Portal do vale artesanatos regionais e nacionais,ChIJDUr0NB2frgARAhGTXr6Rb-0,0xae9f1d34f44a0d:0xed6f91be5e931102,17109053756220313858,/g/11j239b_nk,5,6,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Diamantina, 1671, Couto de Magalhães de Minas - MG, 39188-000, Brasil",-18.087859299999998,-43.4768993,+55 38 99974-4017,http://www.facebook.com/portaldovaleartesanatos/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: 08:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Compras na loja,,"""É o melhor e mais acolhedor comércio de artesanato da região.""",https://lh3.googleusercontent.com/p/AF1QipMJXRRPYUlgY6BLeDQcjFY5_FSemi-pwl4p72px=w122-h92-k-no,https://serpapi.com/images/url/SGdSAXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng6xURFBQQGZqTHmnm5JPqEpic5RZpGu8WnJqbqVtQnmNSYG5UUGFbbmhkpJthaaSbrZuXDwCkIiE7,https://serpapi.com/search.json?data_id=0xae9f1d34f44a0d%3A0xed6f91be5e931102&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xae9f1d34f44a0d%3A0xed6f91be5e931102&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJDUr0NB2frgARAhGTXr6Rb-0,"Córregos, MG",lojas_presentes,2025-07-28T19:30:53.742392,COMPLETA
10,Loja DoisBox,ChIJiafDSZEDz5QRlCZFMsLpvtY,0x94cf039149c3a789:0xd6bee9c232452694,15474062389967922836,/g/11rvjp7ylt,5,2,Loja de presentes,"Loja de presentes, Loja de acessórios para banheiros, Loja infantil, Árvores de Natal, Service establishment, Loja de acessórios de moda, Importadora, Ciclismo de estrada, Loja, Loja de moda feminina",novelty_store,,-23.9921364,-48.752654199999995,+55 11 91463-3849,,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas,,,,Cartão de crédito,,,,https://lh3.googleusercontent.com/p/AF1QipNaL91-ZxJS6bPj4HMQaCd6_zPKFyHPLjvuP5jC=w92-h92-k-no,https://serpapi.com/images/url/BYpesHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl-hjaagbVeEVbJYUkGXi4RuY6JxiFl8V4O1W6RHgk1VWGmCa5WxbbmmkmwHE2bp5-QBw4yCV,https://serpapi.com/search.json?data_id=0x94cf039149c3a789%3A0xd6bee9c232452694&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cf039149c3a789%3A0xd6bee9c232452694&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJiafDSZEDz5QRlCZFMsLpvtY,"Córregos, MG",lojas_presentes,2025-07-28T19:30:53.742392,COMPLETA
