position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Lojas Tudão,ChIJlwgqQYqhzJQRVRsWfHPuDSU,0x94cca18a412a0897:0x250dee737c161b55,2670052333871045461,/g/11g6980yy_,4.1,25,Loja,Loja,store,"Av. Jk de Oliveira, 56 - centro, Delfim Moreira - MG, 37514-000, Brasil",-22.507117899999997,-45.2774248,+55 35 99773-5569,https://wa.me/553597735569,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:30–18:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,"""Boa  , várias opções de produtos""",https://lh3.googleusercontent.com/p/AF1QipNNTEtJorNLJ23ADLckqSp5NFT8geqgEQZVVZV8=w122-h92-k-no,https://serpapi.com/images/url/rHBR13icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng5xfiWuKVX-Tn42Vk7Ojik5xdGFxg6ucWYpGeWpjuGhgVFhYVZmFbbmhkpJthaaSbrZuXDwCcqiDk,https://serpapi.com/search.json?data_id=0x94cca18a412a0897%3A0x250dee737c161b55&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cca18a412a0897%3A0x250dee737c161b55&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJlwgqQYqhzJQRVRsWfHPuDSU,"Delfim Moreira, MG",lojas_presentes,2025-07-28T19:53:23.401518,COMPLETA
2,Alquimia Rural Artesanato,ChIJZ0r8QPWhzJQRfOEJkszSObU,0x94cca1f540fc4a67:0xb539d2cc9209e17c,13058700370602746236,/g/11f1tgpd4n,4.5,2,Loja de Presentes,Loja de Presentes,gift_shop,"R. Pres. Tancredo Neves, 135, Delfim Moreira - MG, 37514-000, Brasil",-22.508825599999998,-45.2816389,+55 35 3624-1391,http://alquimiaruralartesanato.blogspot.com.br//,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np5ujF96IzI7-z4KTBhQOvmb42uu8vkQ5KG91itCVKkTsAfvKayc0vgmffOftgjKRQs_KNQ22DiTl61R1wOaoSvHXv6-M2iFa4C1s6nK3GEJCGXGJdZtBa_J3kRg2KuG3A_4mjH2A=w163-h92-k-no,https://serpapi.com/images/url/0EmfTXicBcHbboIwAADQL6rYi91YsgdErdI4AiOL8YUgQsutJfZi9Af9hv2N5_y_pLWz-QqCUeKF0FqMjTPNrdbKNsouaj0FYjagNsAEURxKouaV63chPTwPH-BJeLGWWeqnC0HOffohW3EWws7Gf3woTNR6Xj3qpRdT26atFT3PM1PynwyhTVeMFObwnlb61-9PnoIj6nYViaGhimO2TWJ2Ysn1bNdVmeAhF4g7hqOSTP0eRd93SDGQIQIDUPoNA-RDiA,https://serpapi.com/search.json?data_id=0x94cca1f540fc4a67%3A0xb539d2cc9209e17c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cca1f540fc4a67%3A0xb539d2cc9209e17c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJZ0r8QPWhzJQRfOEJkszSObU,"Delfim Moreira, MG",lojas_presentes,2025-07-28T19:53:23.401518,COMPLETA
3,Loja BeeJu,ChIJJWni9IqhzJQR2UCeKRbijcs,0x94cca18af4e26925:0xcb8de216299e40d9,14667628146230968537,/g/11gfhqt0n7,5,36,Loja de celulares,Loja de celulares,cell_phone_store,"Praca Sagrados Coração, nº50 - nº50 - Centro, Delfim Moreira - MG, 37514-000, Brasil",-22.507369,-45.277932199999995,+55 35 99905-7242,https://www.instagram.com/beejucel?igsh=MTlmOW9uOTRpemtqbg==,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,"""Excelente atendimento, diversidade de produtos e preço justíssimo.""",https://lh3.googleusercontent.com/p/AF1QipNGTeZ9C7BanLBRPEmmf4yhpflTJf4cbUwCfmeO=w163-h92-k-no,https://serpapi.com/images/url/nBB3CHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng5x6SGmXpbO6UmOfjFBTgmpubZlKZUZCWE-KVZpKcFFrunJab6m9bbmhmrJthaaSbrZuXDwCotCGH,https://serpapi.com/search.json?data_id=0x94cca18af4e26925%3A0xcb8de216299e40d9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cca18af4e26925%3A0xcb8de216299e40d9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJWni9IqhzJQR2UCeKRbijcs,"Delfim Moreira, MG",lojas_presentes,2025-07-28T19:53:23.401518,COMPLETA
4,Loja Santo Antônio - Materiais para construção,ChIJA1GFrouhzJQRGj2unq_ylsk,0x94cca18bae855103:0xc996f2af9eae3d1a,14526064484225531162,/g/11c60j45qv,4.8,61,Loja de materiais de construção,Loja de materiais de construção,building_materials_store,"Tv. Luís da Ponte, 140, Delfim Moreira - MG, 37514-000, Brasil",-22.506058799999998,-45.277897499999995,+55 35 99977-1427,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:00; terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 07:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,"""Atendimento é tudo de bom.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npjPdwiuDawwljQcwcXjA6YQluIepLgzk4REpRZ2bVh37efz559WOyhyQuC0I0ru_6iN_J11DR_J8VrUUKkhpEAsn5r3HGuRSwsA7GSq-NNAeLEOOrxwt8TgPSphhS5GUK4BaM6=w80-h177-k-no,https://serpapi.com/images/url/waY8jXicBcFZcoIwGADgE0WgrHamD6kyuBUEil1eGBtjfgGTNMuker8eorfp9_39gjFSP3reBOGMCcEmajVVRHBDuZkRcfWY1IhopD28mEPE5bA_uYtdHp2bhpo48j7g5KOe7JrKHbuPUZPL5vPh6wBhSs_3OJ6_VTe41Xbhr31l--RS9psgWDb9JjuortuOIHOseazCVWGb1mmcFu03KktMd3lVqR9nsle2byVAGxfdNno-viRPLvMRBGmKRsTFP0uwRPY,https://serpapi.com/search.json?data_id=0x94cca18bae855103%3A0xc996f2af9eae3d1a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cca18bae855103%3A0xc996f2af9eae3d1a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJA1GFrouhzJQRGj2unq_ylsk,"Delfim Moreira, MG",lojas_presentes,2025-07-28T19:53:23.401518,COMPLETA
5,LOJA MARQUES,ChIJQWBzpTahzJQRPVpxUF5UzTM,0x94cca136a5736041:0x33cd545e50715a3d,3732732430213274173,/g/11m_l07638,5,19,Loja de moda feminina,Loja de moda feminina,womens_clothing_store,"R. Dr. Albino Alves Filho, 89 - Centro, Delfim Moreira - MG, 37514-000, Brasil",-22.5082532,-45.2789297,+55 12 99661-9989,,Fechado ⋅ Abre ter. às 13:15,Fechado ⋅ Abre ter. às 13:15,segunda-feira: 13:15–18:30; terça-feira: 13:15–18:30; quarta-feira: 13:15–18:30; quinta-feira: 13:15–18:30; sexta-feira: 13:15–18:30; sábado: 09:00–17:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Melhor loja da cidade, além do melhor atendimento.""",https://lh3.googleusercontent.com/p/AF1QipOpMU8rRuBQ_8hXa4_fBohWUM6m1E2Rw3mHlz2p=w163-h92-k-no,https://serpapi.com/images/url/G_Chr3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX-AbalEUVOoUGG-REZFoEp_mlJ8RHuprlmvoahRUbpzrkVNlVGBbbmhmrJthaaSbrZuXDwCmgSEo,https://serpapi.com/search.json?data_id=0x94cca136a5736041%3A0x33cd545e50715a3d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cca136a5736041%3A0x33cd545e50715a3d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJQWBzpTahzJQRPVpxUF5UzTM,"Delfim Moreira, MG",lojas_presentes,2025-07-28T19:53:23.401518,COMPLETA
6,Fronteira 459,ChIJs8h-6TahzJQRjq8rHOdj3yk,0x94cca136e97ec8b3:0x29df63e71c2baf8e,3017240119622741902,/g/11pb9nddk5,5,17,Loja de calçado,"Loja de calçado, Loja de Roupa, Loja de malas e bolsas, Loja de óculos de sol",shoe_store,"Rua Clementino Batista da Cunha, 40 - Centro, Delfim Moreira - MG, 37514-000, Brasil",-22.504894999999998,-45.273323999999995,+55 35 99891-2578,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–18:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNCNp6bAAW5IsTRtdHNOL-AzQcLfPbllU-Jq-kl=w100-h92-k-no,https://serpapi.com/images/url/mG87unicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng5-xXYJbk6Bhu6lkcElSS4uHn76PrWBWY7JMWkJSTE6rrVaibnWNbbmhgoJthaaSbrZuXDwCZBiDs,https://serpapi.com/search.json?data_id=0x94cca136e97ec8b3%3A0x29df63e71c2baf8e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cca136e97ec8b3%3A0x29df63e71c2baf8e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJs8h-6TahzJQRjq8rHOdj3yk,"Delfim Moreira, MG",lojas_presentes,2025-07-28T19:53:23.401518,COMPLETA
7,LOJA MARIELLE ASSIS - Antiga fábrica colombo,ChIJm4fRqOehzJQRpemIgL2E7Dc,0x94cca1e7a8d1879b:0x37ec84bd8088e9a5,4029741716029893029,/g/11sycdj7mn,5,7,Loja,Loja,store,"R. Paulino Faria, 579, Delfim Moreira - MG, 37514-000, Brasil",-22.5062116,-45.2793673,,https://www.instagram.com/lojamarielleassis?igsh=MjRjejJ5eXVxdGEx,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: Fechado; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,"""Café super agradável, atendimento excelente e produtos de qualidade.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq3gsCPl8U4d60vI37klZutS9wo8g_jIXlYpqsWgUVcvP8PkpL30GvIScCohI3goZhmSMhfQ5qV8Ygy6w7A2NEWjjLNafGq0oeYrR7iKe1PqNs2k5Z85qVcW8tFcAqoPvqFAXsZ=w138-h92-k-no,https://serpapi.com/images/url/a_adA3icDcrdboIwGADQJ6ogFSlLvCBkGqIjnUT5uVmWrrRC5aN-FeID7iF8Gz3X5_mvnRvxw_OMpgsFoIy8o7wJGJwc3ELA1VMjEoEEvSSN9WqwVGHKDTut_tb-lNGoN83dFfEMTP10WWXq0WKpTmcxccb78UD93ZQVIgWdUQWNvhZfuv0O7ZnV6rGeoyTIP8uuO-S_7c76IOvbMbrs5ZLbHIM-bNi7ipK5rUgs8MlukwqbzbykjOg4ID0Z4AX4uEUS,https://serpapi.com/search.json?data_id=0x94cca1e7a8d1879b%3A0x37ec84bd8088e9a5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cca1e7a8d1879b%3A0x37ec84bd8088e9a5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJm4fRqOehzJQRpemIgL2E7Dc,"Delfim Moreira, MG",lojas_presentes,2025-07-28T19:53:23.401518,COMPLETA
8,Empório e Queijaria Mantiqueira,ChIJ9QTEBduhzJQRideEHatiSww,0x94cca1db05c404f5:0xc4b62ab1d84d789,885910238782609289,/g/11j1xk0r9_,4.8,60,Loja de queijos,Loja de queijos,cheese_shop,"R. Dr. Albino Alves Filho, 429, Delfim Moreira - MG, 37514-000, Brasil",-22.505229699999997,-45.2744146,+55 35 99220-2330,https://instagram.com/eqmantiqueira?igshid=MzRlODBiNWFlZA==,Aberto ⋅ Fecha às 23:00,Aberto ⋅ Fecha às 23:00,segunda-feira: 09:00–23:00; terça-feira: 09:00–23:00; quarta-feira: 09:00–23:00; quinta-feira: 09:00–22:30; sexta-feira: 09:00–23:00; sábado: 09:00–23:00; domingo: 09:00–23:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,"""Ótimos produtos.""",https://lh3.googleusercontent.com/p/AF1QipONI0Saj-RMJkXx_ql64soByEtyn7af2C9VEj7G=w92-h92-k-no,https://serpapi.com/images/url/uuEhCHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng7-dpEJyYpRvk65UdURFfmGNmUpzvVOlaUplnnphm5GwZ5ppl7m5bbmmkmwHE2bp5-QCD2yDj,https://serpapi.com/search.json?data_id=0x94cca1db05c404f5%3A0xc4b62ab1d84d789&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cca1db05c404f5%3A0xc4b62ab1d84d789&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ9QTEBduhzJQRideEHatiSww,"Delfim Moreira, MG",lojas_presentes,2025-07-28T19:53:23.401518,COMPLETA
9,ARMAZÉM DO DÉ,ChIJ3YcaW8ChzJQRh1zTHoxlf1Y,0x94cca1c05b1a87dd:0x567f658c1ed35c87,6232812061791050887,/g/11t16z3yzb,5,10,Mercado de produtos agrícolas,Mercado de produtos agrícolas,produce_market,"MG-350, 800, Delfim Moreira - MG, 37514-000, Brasil",-22.506404399999997,-45.291909499999996,+55 27 99868-0039,,,,,,,,,,,"""Retorno ao passado...""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4np29HvsgJ1j949ZrPAWDWnA0-zD2BjUPI130LWgUMhhB0HWDWbq64SyLRNAQD53px3RmZDLH-lb6Psh9Dn0pmoA5xaXTnyKHn-rv639PtLP0DTpqa8HeRQzXPs_eywdxO9mxiuJdw=w80-h142-k-no,https://serpapi.com/images/url/ltHVVHicDcnBDsEwAADQL6p16ywqcSg9FEMNmbgI07TY2lrLNj_oG_wN7_q-H-W9dcMgKBXqSWNkKZ5O1IXRXmjfK0wVSOtA4YALyASrWNsIs5eTs_CGY3yoOclprgkEbxqNbzs-DRFMc7lbKDWG7H_nRxJvujRbkjXtI9uirDrQlIHynHCnMNXQVob029N-q7s506B-JQhzn3JIt_ZxGjCRrd977o6iay7tClft9Tm7NKNmAIEK4wjcgTY_eAJEAw,https://serpapi.com/search.json?data_id=0x94cca1c05b1a87dd%3A0x567f658c1ed35c87&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cca1c05b1a87dd%3A0x567f658c1ed35c87&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ3YcaW8ChzJQRh1zTHoxlf1Y,"Delfim Moreira, MG",lojas_presentes,2025-07-28T19:53:23.401518,COMPLETA
10,EMCEL - Materiais Elétricos,ChIJEQ0z6fWhzJQRA5fu2VIKths,0x94cca1f5e9330d11:0x1bb60a52d9ee9703,1996794835745281795,/g/11b7xl4_w5,4.5,10,Loja de materiais elétricos,Loja de materiais elétricos,electrical_supply_store,"R. Pres. Tancredo Neves, 76 - Centro, Delfim Moreira - MG, 37514-000, Brasil",-22.509036599999998,-45.2826934,+55 35 3624-1383,https://instagram.com/emcel_materias_eletricos?igshid=MzRlODBiNWFlZA==,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:00; terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 07:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Compras na loja,,"""Muito boa, e muito bom atendimento""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npxQ6XvWjOL3uuWpd7yjjfupYfdEV3CyI0wWUoHSdFWtkMzK3cm5V4s79ez3-_CiL0oQoMMXFxM1cZV2dUaIDt0qvZCiVHmdhoNqW-fDbiN5yLv_Pan-wbx7yjC9yW9j8tVwFjk=w139-h92-k-no,https://serpapi.com/images/url/AODUy3icDc1tbsIgGADgE2Gr6Bwm_jC4RrPWzRhB_WMU2lJqeVHol_fzELuNey7w_L2U99bNguCm8CAHyG9p7dKHAONT4wcCqiC3DgmHXLCgRI2N7bYfh4brnxjXNbdy2mud1faYyS-Gab8OW76H1U5G3JfJ8xuLasLGbkrSJ0ZnWsQhbCFJDlGXDMWJjeT-sl768N6caMFWlVSwuXOULa_FZtLHzfn3YlB77f4XSnpO9KdnbaTLeTvEBCkyQiUy8AY8W0XX,https://serpapi.com/search.json?data_id=0x94cca1f5e9330d11%3A0x1bb60a52d9ee9703&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cca1f5e9330d11%3A0x1bb60a52d9ee9703&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJEQ0z6fWhzJQRA5fu2VIKths,"Delfim Moreira, MG",lojas_presentes,2025-07-28T19:53:23.401518,COMPLETA
