position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Loja sonho meu,ChIJqeD2D_oDoQARbmFG-SxuWpc,0xa103fa0ff6e0a9:0x975a6e2cf946616e,10906150587070833006,/g/11kqk_rf_g,5,1,Loja de produtos de papelaria,"Loja de produtos de papelaria, Loja de Roupa",copying_supply_store,"Rua Teófilo Andrade, 107 - Desterro de Entre Rios, MG, 35494-000, Brasil",-20.6599142,-44.335130799999995,+55 31 98224-1922,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq97wQelJNDdQKL-U1zGF-GPI63ZMO4xs4sKubXrf0UOeK-ofgKail8r2zfOLjlASd1qlrAVpZa8o-V5sS-6xwKjC-aAqz5acCxe61QwLzE3VLPQ5qlhIC0UflyfVCXlsbo3emb=w204-h92-k-no,https://serpapi.com/images/url/RtIj0nicBcFbjoIwFADQFV15M2LiB6mPOEWRGAjxD7Cl41wpcDEg-3MR7sZzPm81DC2tDAOVs6i1rlE8SfSVbgbRDItKP4y6JagIyAhZoNymC37GRODvaXNLeASpNe93sD8ffOd6jN2JXOLPMu-lmcaCg5Y1L_5w2duzjKM7hpeb1WEfZu21WGrIPLqAP438zqAIu9krKjYJ30rGaN46WXROvA7VgZmpxJfMWI5Uakc8yvVomy6owIZ_aPQXeMxELA,https://serpapi.com/search.json?data_id=0xa103fa0ff6e0a9%3A0x975a6e2cf946616e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa103fa0ff6e0a9%3A0x975a6e2cf946616e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJqeD2D_oDoQARbmFG-SxuWpc,"Desterro de Entre Rios, MG",lojas_presentes,2025-07-28T19:56:27.958734,COMPLETA
2,DW Eletrônicos e Variedades,ChIJO1YktPEDoQARbg3dGclj8Mo,0xa103f1b424563b:0xcaf063c919dd0d6e,14623297705445494126,/g/11lckp2d3t,,0,Loja de eletrônicos,Loja de eletrônicos,electronics_store,"Rua Ataliba Neves, 20 - Desterro de Entre Rios, MG, 35494-000, Brasil",-20.6612159,-44.3315305,+55 31 99759-5353,https://www.americanas.com.br/lojista/52-945-454-dw-eletronicos-52945454000139?source=blancalojista,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNZVYRrxqjOFhHyeRV7iYmb6jczJn5Knlq3Vc6B=w92-h92-k-no,https://serpapi.com/images/url/1g8JRHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngFxUWGVRUUZjl75bhUZkaFGaeGZmbZJaVXOWVZ-qdl1NoHJZs5mRbbmmkmwHE2bp5-QCjMSGx,https://serpapi.com/search.json?data_id=0xa103f1b424563b%3A0xcaf063c919dd0d6e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa103f1b424563b%3A0xcaf063c919dd0d6e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJO1YktPEDoQARbg3dGclj8Mo,"Desterro de Entre Rios, MG",lojas_presentes,2025-07-28T19:56:27.958734,COMPLETA
3,Loja da Claudia,ChIJIUBs6HEDoQARwYxYxN9rdrc,0xa10371e86c4021:0xb7766bdfc4588cc1,13219872365008686273,/g/11v5c7cnlt,5,3,Loja de Roupa,"Loja de Roupa, Loja de calçado",clothing_store,"Rua Teófilo Andrade - Desterro de Entre Rios, MG, 35494-000, Brasil",-20.659922299999998,-44.3353019,+55 31 3736-1333,https://linktr.ee/lojadaclaudia,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 09:00–15:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqfoOLE3s6w4M5u8fZfCBJzzB748xc5nj-urLEsBvDCPhE9w5s2YZr6nqGavGkX_ByYxSsBDZjyg6qBvT6XlELzykp4nG8PgmZ4z5p4DJbPiVDuQip7FVtT65m9aeP9dD3Lg5r7ig=w93-h92-k-no,https://serpapi.com/images/url/J9SDGHicBcFRboIwGADgE1USaQtd4sNKkcRgZNEY5WVxCC0CbeEvIBxwd9ht9n1_v8o5Cx-e1yp_I42RbTlCORRGu1K7TWE6T1pABSDwPiOmsO4rc0pjH-iMj2QMq7yK-GFdeYDDd0H0C41DGgOfRJSpmM0Etvd8oLpPHlPS3L75cn-fgYv8tUja8-lCb22crktjsU7CTHY5XonF4vCT1VcxftU22F_dhZKOPcqMPYWfSjIEtdzNzEeKbVGDtPkHH9FFEA,https://serpapi.com/search.json?data_id=0xa10371e86c4021%3A0xb7766bdfc4588cc1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa10371e86c4021%3A0xb7766bdfc4588cc1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJIUBs6HEDoQARwYxYxN9rdrc,"Desterro de Entre Rios, MG",lojas_presentes,2025-07-28T19:56:27.958734,COMPLETA
4,Loja Gigi Modas e Artesanatos,ChIJa0HQPSQDoQARHLrdEMLm-bQ,0xa103243dd0416b:0xb4f9e6c210ddba1c,13040707917208992284,/g/11vx7kqk6n,,0,Loja de Roupa,Loja de Roupa,clothing_store,"Praça Aarão Lima, 73 - Centro, Desterro de Entre Rios - MG, 35494-000, Brasil",-20.660130499999998,-44.3334294,+55 31 98357-3597,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–17:30; terça-feira: 08:30–17:30; quarta-feira: 08:30–17:30; quinta-feira: 08:30–17:30; sexta-feira: 08:30–17:30; sábado: 08:30–15:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wT5_Th3HMWDDVT3CZVoHXw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=335.3747&pitch=0&thumbfov=100,https://serpapi.com/images/url/ys70IXicHc0xDsIgFADQ27AJVGyqJsTBDl3cmmpcGooIP6GFlG_R03gub6PxAu993g4xpj1jCWdjcAGTIzyNT6uoqA3BeqMiJKrDyJaCoXuMw6TAH6KaAtxkbsu-daI5neu6a8Xx2oXmkokeeu3BTCiTUbN21OafOIcbtTGRLLecOLlbk5fKUoiSimpTkQioneTkn9zDIgvOvx7XOO8,https://serpapi.com/search.json?data_id=0xa103243dd0416b%3A0xb4f9e6c210ddba1c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa103243dd0416b%3A0xb4f9e6c210ddba1c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJa0HQPSQDoQARHLrdEMLm-bQ,"Desterro de Entre Rios, MG",lojas_presentes,2025-07-28T19:56:27.958734,COMPLETA
5,Loja do neva,ChIJ2V25se4DoQAR0pUv7j_18c8,0xa103eeb1b95dd9:0xcff1f53fee2f95d2,14984027090166191570,/g/11v0gv8vlb,,0,Loja,Loja,store,"Desterro de Entre Rios, MG, 35494-000, Brasil",-20.6592397,-44.336793899999996,,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:00; terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: 08:00–17:00; domingo: 08:00–17:00,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np9mHGCgysqJNM3TTan6dYlcZ8M4RW3K8dD0EwdIeQBbNNzQ6-kdnwLlavqMy-blg24meWbG8AK5oo6jpY_8w2ZKret4P-kC7vm_OSchoIX4PELwfaYeTX4Vl5c85p2W-79EuS8=w204-h92-k-no,https://serpapi.com/images/url/Tje8qHicBcFRboIwGADgE_1iSsGyxAdlxDkEdZIhvhgoXZtR2mqrjbvfDuFt_L7nv3DO2LcgkCKccK25ZDfLrlQrx5SbUD0G3FigFmywSBOBlUnGj1XKH_byWRZhVbUq7htJT6TAX3WYk_59mvl-zfbLriz_9jEMvfIb2d4vxQM6yREeWd2tyCKPtI5_TXMmHp3yK3N4B0M6u4_n7YEKvT7iXbbxP23DqiP-lhElkUE1zJLsdiBzj6YYRIJgAKVfnnNDgQ,https://serpapi.com/search.json?data_id=0xa103eeb1b95dd9%3A0xcff1f53fee2f95d2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa103eeb1b95dd9%3A0xcff1f53fee2f95d2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ2V25se4DoQAR0pUv7j_18c8,"Desterro de Entre Rios, MG",lojas_presentes,2025-07-28T19:56:27.958734,COMPLETA
6,Morena Flor - Desterro de Entre Rios,ChIJBVOGuX0DoQARHjrOyVzKZj8,0xa1037db9865305:0x3f66ca5cc9ce3a1e,4568561371885484574,/g/11l2p26l38,5,2,Loja de moda feminina,"Loja de moda feminina, Loja de roupas de praia, Loja de Roupa, Loja de acessórios de moda, Loja de moda masculina, Loja de roupas de banho, Loja de roupas de trabalho",womens_clothing_store,"Rua Teófilo Andrade, 241 - Loja 02 - Centro, Desterro de Entre Rios - MG, 35494-000, Brasil",-20.6592447,-44.3373452,+55 31 98413-5553,https://www.instagram.com/morena_flordesterro/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–16:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipPk5X80OTjFxlp9hwPLNwdXB90WQ-PdY1iqWvzr=w80-h95-k-no,https://serpapi.com/images/url/wiI87nicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkG0aYWHgH5LlVpFTYJlRHuDjV54S4WRpEB6oG5ASaZhZGF5WVWRbbmGgm2Fpqputm5cPAIRsISk,https://serpapi.com/search.json?data_id=0xa1037db9865305%3A0x3f66ca5cc9ce3a1e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1037db9865305%3A0x3f66ca5cc9ce3a1e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBVOGuX0DoQARHjrOyVzKZj8,"Desterro de Entre Rios, MG",lojas_presentes,2025-07-28T19:56:27.958734,COMPLETA
7,Tidicell,ChIJJ0tthvQDoQARUA4h3eJahAY,0xa103f4866d4b27:0x6845ae2dd210e50,469600191572414032,/g/11mvp8vf8z,4.7,6,Loja de eletrônicos,Loja de eletrônicos,electronics_store,"R. Cel Joaquim Resende, 32 - Desterro de Entre Rios, MG, 35494-000, Brasil",-20.660517799999997,-44.3317134,+55 31 99532-8100,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:00; terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nooZW2FyrZCdpAMikiB14GV7f0_CQGQmap-Id_yIjG6UPds3YufPAcxzCuPD4R8O5XeBy-MoLceHbKOjKPdUNFxxQbas05fPEwJxSvNeOgKcY5k9rt52ssROGGZGqLkmtetthGZ6Q=w93-h92-k-no,https://serpapi.com/images/url/IFt0rnicBcFdFoFAGADQFY3oj5zjIdEgNHH89eLUNDWkJn0TZYH2YDfu_X25lBWMFeXBtV4mRPZgDbCailKyUvaoKJSsAkQBgWI7FtdLIcKT6nZ16CSVvbnlt-lAx8dh2r86AQ6KqELL5Not79g8kAS0S5MSm7YfpyEzfTfyjTObdmgj1pQtYs-_eyQ5bN22DeII-kZK5u9Vu39tmZ959GLkVi0NFWDnYxzi5zovJJOS49AMJm9LQ9xSUY5K8QcTY0Vv,https://serpapi.com/search.json?data_id=0xa103f4866d4b27%3A0x6845ae2dd210e50&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa103f4866d4b27%3A0x6845ae2dd210e50&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJ0tthvQDoQARUA4h3eJahAY,"Desterro de Entre Rios, MG",lojas_presentes,2025-07-28T19:56:27.958734,COMPLETA
8,Papelaria da Célia,ChIJP19rHH8DoQARJaqEvnjOuvA,0xa1037f1c6b5f3f:0xf0bace78be84aa25,17346403932758649381,/g/11j8wywnv3,,0,Papelaria,Papelaria,stationery_store,"R. José Brasilino de Andrade, 26 - CENTRO, Desterro de Entre Rios - MG, 35494-000, Brasil",-20.6596771,-44.3351323,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PzhcKUw3_bFoTMFVscQIxg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=305.97916&pitch=0&thumbfov=100,https://serpapi.com/images/url/tPik33icHc1LCsIwEADQ22Rnklr8VAjuCiKCgrotaRyTgbQJndhUT-O1vI3iBd77vF1KkTZCUBoA0oiQI07gaRY1tyFYDzoicRM6MRYiuUfX9hr9Nuo-4E0dX87sL7ls2jqcD_WVzGk3WWbaxniEPikCPRjHbf6JQ7hxG4lltZbMqWrOnjqrUi54taqKJYuYjFOS_Zd7GFUh5RebGznx,https://serpapi.com/search.json?data_id=0xa1037f1c6b5f3f%3A0xf0bace78be84aa25&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1037f1c6b5f3f%3A0xf0bace78be84aa25&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJP19rHH8DoQARJaqEvnjOuvA,"Desterro de Entre Rios, MG",lojas_presentes,2025-07-28T19:56:27.958734,COMPLETA
9,1001 Utilidades,ChIJA1oaDmoDoQAR7aqJHOJ0Jzw,0xa1036a0e1a5a03:0x3c2774e21c89aaed,4334561680857606893,/g/11xd4q4m1h,5,1,Atacadista de utilidades domésticas,Atacadista de utilidades domésticas,household_goods_wholesaler,"Praça Aarão Lima - centro, Desterro de Entre Rios - MG, 35494-000, Brasil",-20.6606886,-44.332581499999996,,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–17:30; terça-feira: 08:30–17:30; quarta-feira: 08:30–17:30; quinta-feira: 08:30–17:30; sexta-feira: 08:30–17:30; sábado: 08:00–12:30; domingo: Fechado,,,,,,,"""Loja completa e com melhores preços da região""",https://lh3.googleusercontent.com/p/AF1QipOjWX2Jobf_s6UZj1NrZeqStqFGvqCC7fUdmwYk=w80-h106-k-no,https://serpapi.com/images/url/CZ1Bh3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngnxUeYeSVn5QWX2wWGpVl6FcUlVoYXFLo5l5W6OxsnhaaklsemW1bbmGgm2FoYKabrZuXDwC-tiID,https://serpapi.com/search.json?data_id=0xa1036a0e1a5a03%3A0x3c2774e21c89aaed&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1036a0e1a5a03%3A0x3c2774e21c89aaed&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJA1oaDmoDoQAR7aqJHOJ0Jzw,"Desterro de Entre Rios, MG",lojas_presentes,2025-07-28T19:56:27.958734,COMPLETA
10,Desterro Shop,ChIJmWRyUSMDoQAR7hcOZYPPvJE,0xa1032351726499:0x91bccf83650e17ee,10501496594364241902,/g/11m5jwmgvk,,0,Restaurante,"Restaurante, Salão de Beleza, Loja de Roupa, Pet Shop, Supermercado",restaurant,"Rua Teófilo Andrade, 361 - Desterro de Entre Rios, MG, 35494-000, Brasil",-20.659157099999998,-44.3367335,,http://desterro.shop/,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Refeição no local,,,https://lh3.googleusercontent.com/p/AF1QipMouhQLtCxwgx5tVI0SmJPwnIUvZEbrZCMtXEEV=w92-h92-k-no,https://serpapi.com/images/url/cR4rwnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm1-aEehT4lxRnl5hWhLmaRCc6xVQnucZWhblmlQU5exbEuHqGmZbbmmkmwHE2bp5-QCpNiHb,https://serpapi.com/search.json?data_id=0xa1032351726499%3A0x91bccf83650e17ee&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1032351726499%3A0x91bccf83650e17ee&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJmWRyUSMDoQAR7hcOZYPPvJE,"Desterro de Entre Rios, MG",lojas_presentes,2025-07-28T19:56:27.958734,COMPLETA
