position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Mercado Nossa Senhora do Rosário,ChIJp9WCLq83ogARKGtZRQ1A09Q,0xa237af2e82d5a7:0xd4d3400d45596b28,15335671581868911400,/g/11c6cq4s25,4.7,79,Supermercado,Supermercado,supermarket,"Rua José Rodrigues de Carvalho, 38, Desterro do Melo - MG, 36210-000, Brasil",-21.1477073,-43.5181634,+55 32 3336-1186,,Fecha em breve ⋅ 20:00 ⋅ Abre ter. às 07:00,Fecha em breve ⋅ 20:00 ⋅ Abre ter. às 07:00,segunda-feira: 07:00–20:00; terça-feira: 07:00–20:00; quarta-feira: 07:00–20:00; quinta-feira: 07:00–20:00; sexta-feira: 07:00–20:00; sábado: 07:00–20:00; domingo: 07:00–13:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC, Pluxee",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrVBd-1gCW5j0Xb7M2RhQbCFHx8lVQqXAtV4n6LxeLnIZfB8qij79sYawrmHfSBar9w3WZrkDOtlmeK7YEvCKa_4GbbBDNw3vU_Mo1C5aysa3P0yQipffY20Gc56LLW8pAn_1e1XA=w122-h92-k-no,https://serpapi.com/images/url/fgE-HnicBcFbsoIgAADQFZGCmtrM_VB6TlbX2-Trx0FDqRQMKGuFreHupnP-P0zrQc0Mo2PWpBWi7ehDUVkLrinXk1r0RjsoUCugjAD7zOYyCc8Atjh1rmZWuTv0x-IKL9cvr0viexboxObT6EUjvima0Ltfrq6vcjLKft0cQyL90UoLeZsfdNfTrZsvnnhLSntVVeF8P1rPU7kTEDvkrYj1a77jy9A0OTJXtTONotQbAl5CCrPgZ4QIAeYjcANcfAEWF0Q5,https://serpapi.com/search.json?data_id=0xa237af2e82d5a7%3A0xd4d3400d45596b28&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa237af2e82d5a7%3A0xd4d3400d45596b28&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJp9WCLq83ogARKGtZRQ1A09Q,"Desterro do Melo, MG",lojas_presentes,2025-07-28T19:59:03.671800,COMPLETA
2,Tião Materiais de Construção,ChIJKxyc0qc3ogARYDaZCEVM-bs,0xa237a7d29c1c2b:0xbbf94c4508993660,13544941213674190432,/g/11tw_t7wjx,5,67,Loja de materiais de construção,Loja de materiais de construção,building_materials_store,"R. Antônio Carvalho de Oliveira, 128, Desterro do Melo - MG, 36210-000, Brasil",-21.1445164,-43.5184356,+55 32 98429-7507,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:00; terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 07:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipOmlv2K4hHmQH34dMrgWnRTc_2Z2iLg3iOLKqzI=w80-h106-k-no,https://serpapi.com/images/url/tjX4aHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn5tTZuRtkuGRG-hhbJLiW5QenhcUkhxvFGWU6ZNunOnv411Y5WlbbmGgm2FoYKabrZuXDwCmBSEp,https://serpapi.com/search.json?data_id=0xa237a7d29c1c2b%3A0xbbf94c4508993660&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa237a7d29c1c2b%3A0xbbf94c4508993660&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJKxyc0qc3ogARYDaZCEVM-bs,"Desterro do Melo, MG",lojas_presentes,2025-07-28T19:59:03.671800,COMPLETA
3,Fina Estampa - Loja da Salete,ChIJSWK2OW03ogARNRPm1r-phxs,0xa2376d39b66249:0x1b87a9bfd6e61335,1983740802289242933,/g/11gk7jpm1s,4.6,5,Loja de Roupa,Loja de Roupa,clothing_store,"Av. Miguel Tafuri, 04 - Centro, Desterro do Melo - MG, 36210-000, Brasil",-21.1481542,-43.5191392,,http://www.facebook.com.br/finaestampadm,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–16:00; domingo: Fechado,,,Estacionamento com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipOFE2k872TlCD92mukXRLjiJfVcEXly2qVp3cBE=w92-h92-k-no,https://serpapi.com/images/url/AfyG9nicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng7-ZqlG1hbhSS4-xiaZRbmh0R5JOV6ZUWluwakVNpVBhWYJzs5GpbbmmkmwHE2bp5-QBw7SCd,https://serpapi.com/search.json?data_id=0xa2376d39b66249%3A0x1b87a9bfd6e61335&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2376d39b66249%3A0x1b87a9bfd6e61335&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJSWK2OW03ogARNRPm1r-phxs,"Desterro do Melo, MG",lojas_presentes,2025-07-28T19:59:03.671800,COMPLETA
4,Império Food,ChIJY5e3u_M3ogARBteaLI0NIug,0xa237f3bbb79763:0xe8220d8d2c9ad706,16726946865997338374,/g/11l5jdh6ks,4.9,54,Fornecedor de produtos alimentícios,Fornecedor de produtos alimentícios,food_products_supplier,"R. Antônio Carvalho de Oliveira - Centro, Desterro do Melo - MG, 36210-000, Brasil",-21.1460544,-43.5183976,+55 32 99154-9370,,Fechado ⋅ Abre ter. às 18:00,Fechado ⋅ Abre ter. às 18:00,segunda-feira: Fechado; terça-feira: 18:00–22:30; quarta-feira: 18:00–22:30; quinta-feira: 18:00–22:30; sexta-feira: 18:00–22:30; sábado: 18:00–22:30; domingo: 18:00–22:30,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,"""Lanches e pizzas de ótima qualidade, e um atendimento top.""",https://lh3.googleusercontent.com/p/AF1QipMntTQOyZwXtiDlHbz4wHLAQEO23NOuXYYHE0hq=w80-h106-k-no,https://serpapi.com/images/url/3bBRaHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm1cSEuhfGVUeUZLpkuORVGVS7uHjGOjqb2Ts518aERnp4WqQUWhbbmGgm2FoYKabrZuXDwC5LyFo,https://serpapi.com/search.json?data_id=0xa237f3bbb79763%3A0xe8220d8d2c9ad706&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa237f3bbb79763%3A0xe8220d8d2c9ad706&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJY5e3u_M3ogARBteaLI0NIug,"Desterro do Melo, MG",lojas_presentes,2025-07-28T19:59:03.671800,COMPLETA
5,Demac Lar e Construção,ChIJTzjgrjk3ogARbnQkwQIxamg,0xa23739aee0384f:0x686a3102c124746e,7523880015375922286,/g/11h7hqk83l,4.5,27,Loja de materiais de construção,Loja de materiais de construção,building_materials_store,"R. Padre Ernesto, 87 - Centro, Desterro do Melo - MG, 36210-000, Brasil",-21.148176199999998,-43.5188777,+55 32 98477-1587,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:00; terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 07:00–12:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1FMEZ-DJ2dgRX08uHtKiLA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=174.48798&pitch=0&thumbfov=100,https://serpapi.com/images/url/KsVHdXicHc1LCsIwFADA22TXfKTQVAgiqIifjStxI2kakwdtE5rXRm_jtbyN4gVmPm-PGNOSsYSjtTiDzRGetktF1NSF4DqrIyRqQs9mwdBPfTNo6FZRDwFaJXbn7a3YHBatu1y5nPZ4hNOamOZuOrADqmT1aDx1-SeOoaUuJpKV5MSrekFeOitRlbSUVS1JBDRecfJfHmFWgvMvK2g4tw,https://serpapi.com/search.json?data_id=0xa23739aee0384f%3A0x686a3102c124746e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa23739aee0384f%3A0x686a3102c124746e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJTzjgrjk3ogARbnQkwQIxamg,"Desterro do Melo, MG",lojas_presentes,2025-07-28T19:59:03.671800,COMPLETA
6,Parque de Exposições de Desterro do Melo,ChIJ5Zx8ELA3ogAROCqqJ6DOP6Q,0xa237b0107c9ce5:0xa43fcea027aa2a38,11835405533008505400,/g/11hd1mmg_8,4.6,132,Local para eventos,Local para eventos,event_venue,"Desterro do Melo - MG, 36210-000, Brasil",-21.149006999999997,-43.5119785,+55 32 3336-1123,,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""E o espaço é muito grande ,falta mais opções de loja .""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrALAOrRlMJID9Z8XqCmYz070JzU05FPKKygrWhsz42u3SY2ykcIg-_BIXupAbdz16fN-64qt_hcHVB2cAPnumT5ei4uQApLhPmvLRt9Y479seh_h26T_VLYIIuPErd_bR2No4=w122-h92-k-no,https://serpapi.com/images/url/zYY4h3icBcHdTsIwGADQJyobpQxr4kUZGgsD5kTcuGlCqf0MWzv6I2HPx0vwNp7zuEMIvX9OkhYmI22tblX0yklrgjJhJG2X6N4j6ZFPWE6BGMcKtnVVu17yBT081Ze8a4Z0li6Hr3T6Vq5WN-2-wQ8Ex8lng29nyTUSc17Hnh1Pwzj72aCMXIIA-b6fY8lKE7vdVP2S-MH6Asrur6gCbciMegUCcLYT-6LhPJav7iSOFd5Y8nIdY4yAYnRGxv4DKbJDPQ,https://serpapi.com/search.json?data_id=0xa237b0107c9ce5%3A0xa43fcea027aa2a38&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa237b0107c9ce5%3A0xa43fcea027aa2a38&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5Zx8ELA3ogAROCqqJ6DOP6Q,"Desterro do Melo, MG",lojas_presentes,2025-07-28T19:59:03.671800,COMPLETA
7,Cadiquim Biscoitos Caseiros,ChIJB8gOiqs3ogAREX2GRnNhbdo,0xa237ab8a0ec807:0xda6d617346867d11,15739343420462103825,/g/11f_r3x4_c,4.6,25,Loja de biscoitos,Loja de biscoitos,cookie_shop,"Rua José Homem da Costa Amaral, 13 - Centro, Desterro do Melo - MG, 36210-000, Brasil",-21.1419064,-43.5174911,,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–17:00; terça-feira: 07:00–17:00; quarta-feira: 07:00–17:00; quinta-feira: 07:00–17:00; sexta-feira: 07:00–17:00; sábado: 07:00–17:00; domingo: Fechado,,,,Cartão de débito,,,"""Biscoitos maravilhosos""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qJuHcRNqhjIY54sdmhVMlQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=137.27351&pitch=0&thumbfov=100,https://serpapi.com/images/url/eBbepnicHc1LDsIgFADA27CTj7Wpmry4VRNNdGHiylCKPAwttNCit_Fa3kbjBWY-b0wpxDVjMQ1ap8nqHOxTuzgLkhrvjdMy2EiVb9kkWMKxrTtp3SbIztsG-v24Vedjj4_dtVzEpsXLwZ2Iqm_KWd0liFoOCqnJP3HwDTUhkgxLThBWc_KSGURR0XlVlIIEmxQCJ__l7icQnH8Blrw52g,https://serpapi.com/search.json?data_id=0xa237ab8a0ec807%3A0xda6d617346867d11&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa237ab8a0ec807%3A0xda6d617346867d11&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJB8gOiqs3ogAREX2GRnNhbdo,"Desterro do Melo, MG",lojas_presentes,2025-07-28T19:59:03.671800,COMPLETA
8,Paróquia Nossa Sra. do Desterro,ChIJoSz3uqg3ogAR8S-FGWZrtP8,0xa237a8baf72ca1:0xffb46b6619852ff1,18425470061738536945,/g/11cry0q6k1,4.8,40,Igreja católica,Igreja católica,catholic_church,"Desterro do Melo - MG, 36210-000, Brasil",-21.147043099999998,-43.5181271,+55 32 3336-1119,,,,,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Uma estrutura bonita .""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npQe6JHbjSPZiPXZTKr27bJeI7XQojGm1EnWJD2HU-GWm7-n-bE7vvtkv2NuEhe8fjmbDllSy7YlzY1nPro8YqEk3kZc3O6MUv0cndC5wgO0AOty6DwQjFUUbRYrNHbnX-f6ErN=w80-h106-k-no,https://serpapi.com/images/url/cxRq43icBcFbUoMwFADQFaW8NEFn_OiUWEqnPKxMgc_ElBTCDSYpTN2fi3A3nvP3K52b7avnKRlteq17Je5WGK7BCXAbrievny3iFllvu3uRTzBXAmcpG85ldyub7vNoQsIycSBNpYf9FFC4ZEmY1mh_mQgCxChZFjcuYX6nUsTXYWKJUucHadVPG0BpdNx-0zEaOx4V-FQvPoev3fPaF_62cA-crNXwXtfsozV5yqBBV0xN_rbGPpKBj9GIQP8DoDFEMA,https://serpapi.com/search.json?data_id=0xa237a8baf72ca1%3A0xffb46b6619852ff1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa237a8baf72ca1%3A0xffb46b6619852ff1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJoSz3uqg3ogAR8S-FGWZrtP8,"Desterro do Melo, MG",lojas_presentes,2025-07-28T19:59:03.671800,COMPLETA
9,Mercado Castora,ChIJBZC5HqY3ogARTlyEAIeGy8w,0xa237a61eb99005:0xcccb868700845c4e,14757036518396943438,/g/11g8yj2zct,4,41,Mercado,Mercado,market,"R. Padre Ernesto - Centro, Desterro do Melo - MG, 36210-000, Brasil",-21.147937,-43.518381999999995,+55 32 3336-1156,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: 08:00–16:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqjlnoupBqXFvhKyEMI4rVrO2rDaqIdF4hCDxiO-VtL4AaTy1v-Qn4v5Dmupvrczr_eNRwqAaAa7XsSo32ii3eFZSMfBp5umUr_2xCzQ2uhzDFz7r65iaCB0ZPqpWT9roKq96hV3w=w80-h106-k-no,https://serpapi.com/images/url/VCa0qXicBcHbboIwGADgJyogFJQlXnAYiVHnPDHjDWlYR1Ho4W8LygvuGXwbv-_1z4yR-sN1OxY4jRBNR62mUAtuKDdOLXq3kRrVGmk3yWKGubp1XFiZqksxsPXzc7vCUMLOh5yo1W-BWZY_2h0qzQYn5PScDWjP8RDmvZUD1BNU9OswqoQkZH7RRxH4bRvQ4nrc_qUytP0ZKv-RTXvfsikvpjlEYUuy1Lt-K_lzikGsVRyxMhiX48JDbOZF6I64eAPuLUZt,https://serpapi.com/search.json?data_id=0xa237a61eb99005%3A0xcccb868700845c4e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa237a61eb99005%3A0xcccb868700845c4e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBZC5HqY3ogARTlyEAIeGy8w,"Desterro do Melo, MG",lojas_presentes,2025-07-28T19:59:03.671800,COMPLETA
10,Desterro do melo mg,ChIJ4_LNPwA3ogARpoJenNAqV3Q,0xa237003fcdf2e3:0x74572ad09c5e82a6,8383216306838471334,/g/11w7c1lvkg,3.8,4,Sociedade de serviços habitacionais,Sociedade de serviços habitacionais,housing_society,"Desterro do Melo - MG, Brasil",-21.1477167,-43.5183228,,,,,,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Essa é minha cidade ,nossa cidade !""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqxxZRy6IcNzjmMlp9uSPxqBMKvLbdoMJ3BughgkYLfxTG54NzlVNJOvzfovSHLBhXYD5tBptug0U9iB39WG8B9wcGSUfeR6D-BfHCpdHSlygN9HgNYt6Lsgy3tBPiI_2knVZA=w122-h92-k-no,https://serpapi.com/images/url/xvz7PnicBcHxEoEwHADgJ5ooOnPnD-OuUONE5B93pn6j2cZWqufzEt7G9_2-3FptJo4juNcDpUDklcnfTEmbS9tj6umANogZZJzZHPOhfDXNedf6S0a7xzMWGlfJtnmReF1H15uKVx6pgEOZRUWzD0ZD2omUrjZ1V6g6CSPCT9liZIm2FfQP-E48fAzGBH9YkByKfOcvECnCub6FiWiB4hBoZv3IQOtZsr0vL24p0_Ns-hm4LuLYRSWS6g8V7EUN,https://serpapi.com/search.json?data_id=0xa237003fcdf2e3%3A0x74572ad09c5e82a6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa237003fcdf2e3%3A0x74572ad09c5e82a6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ4_LNPwA3ogARpoJenNAqV3Q,"Desterro do Melo, MG",lojas_presentes,2025-07-28T19:59:03.671800,COMPLETA
