position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Diras Presente,ChIJP44Cdl9_pAAR3_6-tfFH-mA,0xa47f5f76028e3f:0x60fa47f1b5befedf,6987976875280629471,/g/11j4pvn9hf,3,1,Loja de Roupa,Loja de Roupa,clothing_store,"BR-356, Diogo de Vasconcelos - MG, 35437-000, Brasil",-20.471909099999998,-43.2393195,,,,,,,,,Cartão de débito,,,,,,https://serpapi.com/search.json?data_id=0xa47f5f76028e3f%3A0x60fa47f1b5befedf&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa47f5f76028e3f%3A0x60fa47f1b5befedf&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJP44Cdl9_pAAR3_6-tfFH-mA,"Diogo de Vasconcelos, MG",lojas_presentes,2025-07-28T20:01:51.548637,COMPLETA
2,Ana Lú Presentes,ChIJY7dX8pR_pAARIcTMC4btJSk,0xa47f94f257b763:0x2925ed860bccc421,2965037089672709153,/g/11snlwk20g,,0,Loja,Loja,store,"BR-356, 201, Diogo de Vasconcelos - MG, 35437-000, Brasil",-20.4877489,-43.1991315,,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NPD7Iy60MsImyrcGE-1IIw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=35.217205&pitch=0&thumbfov=100,https://serpapi.com/images/url/60v3lHicHc3bDcIgFADQbfgrj5paNSH-aAwfGjcwFBFIaLnhYrHbuJbbaFzgnM_blwK4YwxLtrbMwVYILxuxAU1dSi5aDQGpSSObBSv-OQ6TDnEPekrhLi_XQ6-WNT-jGpdsTsdGKFWJGW4mBjsViVZn46mrPzGnO3WApMoNJ15uW7LoKlcdbUXf8o5AKMZLTv7LI81ScP4FSfo4-Q,https://serpapi.com/search.json?data_id=0xa47f94f257b763%3A0x2925ed860bccc421&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa47f94f257b763%3A0x2925ed860bccc421&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJY7dX8pR_pAARIcTMC4btJSk,"Diogo de Vasconcelos, MG",lojas_presentes,2025-07-28T20:01:51.548637,COMPLETA
1,Praça da Savassi,ChIJM1pU6NqZpgARqxa6CQ5epqA,0xa699dae8545a33:0xa0a65e0e09ba16ab,11576043306588182187,/m/0gy1w29,4.5,12300,Atração turística,Atração turística,tourist_attraction,"R. Antônio de Albuquerque, 619 - Funcionários, Belo Horizonte - MG, 30112-011, Brasil",-19.9382985,-43.9358086,,,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de débito, Pagamentos por dispositivo móvel via NFC",Serviços no local,,"""Ambiente repleto de restaurantes, chocolaterias,  lojas, etc.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqrhxpbkOZpM6Y-eZLjsKNW9_eZJjWgAHiVpkcQRgiy4KrPRplqeG5YHBkj9i_4MG9M8E-2feZbL5yZlMbMPr1LNemvI6H_UsruAPM7HckCI9LdC8kMHsBANHiZYgDCahsKUxUO=w122-h92-k-no,https://serpapi.com/images/url/vSX5GXicBcFRboIwGADgE1UCorMmewBmqEKRmaChL2TUroUirf3R6QF3CG_j973-1TRZWHveoOYzaYwcxA2E42acxDjNuLl40gLigMCLEqzC8erUw7Z6zyxd1kiwvIesOOFGsF1_khHpjlbz74PsnmHmyoMdriJd1CTWPe6akKaYrjYo-BWszRdPNtCWls7PC3G5b5ekqcDdopJ-EK6TLc7PyUpTAnFUkI7V8iv5UZBVj2r_-ecHAVI4QBqN5g0RTkSv,https://serpapi.com/search.json?data_id=0xa699dae8545a33%3A0xa0a65e0e09ba16ab&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa699dae8545a33%3A0xa0a65e0e09ba16ab&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJM1pU6NqZpgARqxa6CQ5epqA,"Diogo de Vasconcelos, MG",lojas_artesanato,2025-07-28T20:01:54.595778,COMPLETA
2,Loja de artesanato,ChIJj4CUauS9pgARBFxY3XvxEsY,0xa6bde46a94808f:0xc612f17bdd585c04,14272735683387350020,/g/11gcmp_3rt,,0,Artesanato,Artesanato,handicraft,"R. José Brandão - Barreiro, Belo Horizonte - MG, 30640-020, Brasil",-19.975241699999998,-44.0139654,,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MBsH6R6WiotpzJM6-TdygA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=60.497852&pitch=0&thumbfov=100,https://serpapi.com/images/url/5noNSXicHc1RCsIgGADg2_g2daNsCyTqKYK9RNBjOGf6g5s_02brNF2r2xRd4Ps-b5cSxi1jMU3GpBlMRngaHwtU1IZgvVEIkeowsLlkyT2GblTgd6jGAL1sD_EozuIKIeHr1Iri0i92T3R30x7MmGQ0atKO2vwTp9BTi5FkWXPiZFORRWUpOF01m3pdEYSkneTkv9zDLEvOv3DyOXk,https://serpapi.com/search.json?data_id=0xa6bde46a94808f%3A0xc612f17bdd585c04&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bde46a94808f%3A0xc612f17bdd585c04&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJj4CUauS9pgARBFxY3XvxEsY,"Diogo de Vasconcelos, MG",lojas_artesanato,2025-07-28T20:01:54.595778,COMPLETA
1,Blessed Decor,ChIJs3abVcm_pgARLGSfXdpA8wA,0xa6bfc9559b76b3:0xf340da5d9f642c,68469725958464556,/g/11thlm_g3s,5,50,Loja de cortinas e persianas,"Loja de cortinas e persianas, Loja de persianas, Loja de Cortina",window_treatment_store,"R. Coroa de Frade, 625 - Mangueiras, Belo Horizonte - MG, 30666-230, Brasil",-20.0118388,-44.034064199999996,+55 31 99749-2709,https://blessedcortinas.com.br/?utm_source=ficha_do_google&utm_medium=rede_de_pesquisa&utm_campaign=organic&utm_content=link_na_ficha,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Estimativas on-line, Entrega",,"""Ótimos preços, produtos de qualidade e um ótimo atendimento.""",https://lh3.googleusercontent.com/p/AF1QipNx8hBH1kygAn5U5EXzgNDpFv_y1_tIY-B3zTxc=w122-h92-k-no,https://serpapi.com/images/url/hyA_DHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngV2GR4eRhmF2Z7phnGmrqGlGV7udS4FYWX2kYX-IZqetkXBVSkWxbbmhkpJthaaSbrZuXDwCppiFW,https://serpapi.com/search.json?data_id=0xa6bfc9559b76b3%3A0xf340da5d9f642c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bfc9559b76b3%3A0xf340da5d9f642c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJs3abVcm_pgARLGSfXdpA8wA,"Diogo de Vasconcelos, MG",lojas_decoracao,2025-07-28T20:01:57.686911,COMPLETA
2,Goulart Decorações - Cortinas e Persianas,ChIJPcAQx8G_pgARtdc6sl_O7lI,0xa6bfc1c710c03d:0x52eece5fb23ad7b5,5975940665974642613,/g/11vwdpg2_n,5,15,Loja de cortinas e persianas,Loja de cortinas e persianas,window_treatment_store,"n° 1847, Av. Senador Levindo Coelho, loja 02 - Vale do Jatoba, Belo Horizonte - MG, 30668-230, Brasil",-20.0036474,-44.0351815,+55 31 3157-4135,https://www.instagram.com/goulartdecoracoes?igsh=MW8zOTVrOXhudDZxZA==,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,"segunda-feira: 08:30–12:00, 13:00–18:00; terça-feira: 08:30–12:00, 13:00–18:00; quarta-feira: 08:30–12:00, 13:00–18:00; quinta-feira: 08:30–12:00, 13:00–18:00; sexta-feira: 08:30–12:00, 13:00–18:00; sábado: Fechado; domingo: Fechado",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,"""Ótimo atendimento, preço excelente!""",https://lh3.googleusercontent.com/p/AF1QipOE_1PTNTVZrZ59jNBsEobek7TgMrM9eLaUyR6D=w122-h92-k-no,https://serpapi.com/images/url/hAVY7HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng7xpvGBDiFxIWVRRlapnl51Tsmp-Umm0eku5b5GuZ6pMYWhlk5mJbbmhkpJthaaSbrZuXDwCegCEB,https://serpapi.com/search.json?data_id=0xa6bfc1c710c03d%3A0x52eece5fb23ad7b5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bfc1c710c03d%3A0x52eece5fb23ad7b5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJPcAQx8G_pgARtdc6sl_O7lI,"Diogo de Vasconcelos, MG",lojas_decoracao,2025-07-28T20:01:57.686911,COMPLETA
3,Comemorar Festas,ChIJZ4lWqtWXpgARGyoQt3g8Hh0,0xa697d5aa568967:0x1d1e3c78b7102a1b,2098180965566261787,/g/1q5bmp75_,4.3,44,Loja de artigos domésticos,"Loja de artigos domésticos, Serviço de locação de artigos de festa",home_goods_store,"Av. Dom João VI, 1701 - Palmeiras, Belo Horizonte - MG, 30575-460, Brasil",-19.9708851,-43.9793179,+55 31 2515-1790,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:00; terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–12:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Entrega no mesmo dia",,"""Lugar ótimo para comprar  maquiagem  com preços  acessíveis""",https://lh3.googleusercontent.com/p/AF1QipNK3SaKyL8jEYAkEITDzCDptMh5H_eMHOD5oXUN=w138-h92-k-no,https://serpapi.com/images/url/wOqb2XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng520cnOhd6WOR5RrpmO3qGeJS5exSUOKbYeoRn-rr4e9imh8R6mdbbmhsoZthaaSbrZuXDwCXViDC,https://serpapi.com/search.json?data_id=0xa697d5aa568967%3A0x1d1e3c78b7102a1b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa697d5aa568967%3A0x1d1e3c78b7102a1b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJZ4lWqtWXpgARGyoQt3g8Hh0,"Diogo de Vasconcelos, MG",lojas_decoracao,2025-07-28T20:01:57.686911,COMPLETA
4,Realizze Festas,ChIJJ4VnzFGXpgARU2Sfiei0PXI,0xa69751cc678527:0x723db4e8899f6453,8231934604737471571,/g/11g1kn5q1b,4.8,37,Loja de artigos para festas,"Loja de artigos para festas, Loja de balões, Serviço de locação de artigos de festa",party_store,"Av. Aggeo Pio Sobrinho, 20 - Lojas 3 e 4 - Buritis, Belo Horizonte - MG, 30575-834, Brasil",-19.973865099999998,-43.977531,+55 31 99244-9800,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Exatamente atendimento… acervo maravilhoso 🥰""",https://lh3.googleusercontent.com/p/AF1QipN9K99xukGSJFel1ynPVrvJvk1ml6aI6vXgQ8Q=w80-h100-k-no,https://serpapi.com/images/url/Iey5AHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngZ-ltaVlRmu0e7OWWmmNYmRcQVlTmVZZtmJtjluhpVhaRHmgRaFtuYaCbYWhgoJutm5cPAIoOIQY,https://serpapi.com/search.json?data_id=0xa69751cc678527%3A0x723db4e8899f6453&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69751cc678527%3A0x723db4e8899f6453&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJ4VnzFGXpgARU2Sfiei0PXI,"Diogo de Vasconcelos, MG",lojas_decoracao,2025-07-28T20:01:57.687910,COMPLETA
5,Acanthus decor Ltda,ChIJ5ZV2_h2_pgARzSrKhiOwU-o,0xa6bf1dfe7695e5:0xea53b02386ca2acd,16885033094573861581,/g/11q1h_kxhd,5,1,Serviço de locação de artigos de festa,"Serviço de locação de artigos de festa, Decorador de interiores",party_equipment_rental_service,"Av. Nélio Cerqueira, 740 - Tirol, Belo Horizonte - MG, 30626-060, Brasil",-19.9909851,-44.0386192,+55 31 97522-3215,,Fechado ⋅ Abre ter. às 10:00,Fechado ⋅ Abre ter. às 10:00,segunda-feira: 10:00–17:00; terça-feira: 10:00–17:00; quarta-feira: 10:00–17:00; quinta-feira: 10:00–17:00; sexta-feira: 10:00–17:00; sábado: 10:00–12:00; domingo: Fechado,,,,Cartão de débito,,,"""Muito cuidado e carinho, deixou a cerimônia imensamente especial ❤️""",https://lh3.googleusercontent.com/p/AF1QipPlgh87ABRnzwSXuJzTrjVyLCEHOnGFc4MbxFZf=w163-h92-k-no,https://serpapi.com/images/url/7c916XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkJOeYWHu6BSUV1UeHFHqVRVSlBVW6ePs6uGf5-6WbOKbVOEWlWZbbmhmrJthaaSbrZuXDwC6TiG3,https://serpapi.com/search.json?data_id=0xa6bf1dfe7695e5%3A0xea53b02386ca2acd&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bf1dfe7695e5%3A0xea53b02386ca2acd&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5ZV2_h2_pgARzSrKhiOwU-o,"Diogo de Vasconcelos, MG",lojas_decoracao,2025-07-28T20:01:57.687910,COMPLETA
6,Renascer Decorações,ChIJ_3Vf7eO9pgARFN-nvLzFNMs,0xa6bde3ed5f75ff:0xcb34c5bcbca7df14,14642545702897966868,/g/1td54ny5,4.5,15,Serviço de locação de artigos de festa,"Serviço de locação de artigos de festa, Loja de artigos para festas",party_equipment_rental_service,"Rua Barão de Coromandel, 285 - Barreiro, Belo Horizonte - MG, 30640-060, Brasil",-19.974894,-44.0157526,+55 31 3384-3022,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhE40EuLAEmUivYVU-_WX9Y81LngMiF0rFkkYTiJwOh6pOzTlxqNU9VVZX0CA2pPo_vvnRUMXM2BsRXZ3j1bQOzDegq3LVl5BpU4z7EN0owytMbIK0hF9oVA0b_fgHeQxJzSaGJTa7VnzysLexndhem0rAKxJY99_bg-Wveh7XMkf_aJytkhtKWb8k9NzfttwJCRrA=w122-h92-k-no,https://serpapi.com/images/url/rfEfUXicBcFZUoMwAADQccbrUMKiNM74QVtQWS2y9oeBNiQIJBRStqN6Gt_7e3omnPfjmyi2RNlhxnCLHiMaroxyRPnuyjoR96PQD2xZRd25qSdiqMB4OLrRRfWUxZGQJynM9pJDsVubYDCbJgtra_bJa-9vYbvcvQjG8SUFR13uv1k-TTSI3NSVD2OQXpRfqTz72wnhu-LE7cuhj9RNMzzA5pW75ZcNiAlZrIMyr_AnOi_W9lN8WGGhxXRbRwct9EZQBwbdXqwMwrzEQjIhoqVuU-WFtfKGcDsp9w30torz2ToGg_4-S7IsECgLjUDZPykOWrM,https://serpapi.com/search.json?data_id=0xa6bde3ed5f75ff%3A0xcb34c5bcbca7df14&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bde3ed5f75ff%3A0xcb34c5bcbca7df14&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_3Vf7eO9pgARFN-nvLzFNMs,"Diogo de Vasconcelos, MG",lojas_decoracao,2025-07-28T20:01:57.687910,COMPLETA
