position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Arte Magia,ChIJ_1qJEpqVpgAR6MGSURE9r8A,0xa6959a12895aff:0xc0af3d115192c1e8,13884383320798839272,/g/1ts1nwn4,4.2,228,Loja de materiais para artesanato,Loja de materiais para artesanato,craft_store,"Av. João César de Oliveira, 2660 - loja 101 - Eldorado, Contagem - MG, 32310-000",-19.938632,-44.0474505,(31) 3351-2735,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:50; terça-feira: 09:00–17:50; quarta-feira: 09:00–17:50; quinta-feira: 09:00–17:50; sexta-feira: 09:00–17:50; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,"""Loja expetacular , um mix amplo de artigos para artesanato .""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqXISZreEpBAZHkvSYyfouzmUZ8iYU-3eHcvfSu0g3ZJTL2XXZeqGqmAIarQ_K24X5mkuqnATk4-FFavP5Y_hphY580Nq5bjF_eu8nBZ8Ro9fE77pb3Tj1nGF3T0gE1B3iVXBlYow=w204-h92-k-no,https://serpapi.com/images/url/AS5miHicBcHbDoIgAADQLyJNdGlbD9q061qlNeDFlUMolYuIrX6wb-hvOuf35cOgzNxxWg4nTErWUmtoX0kxUDFMKtk5TBlQGWCceBlxX2i0yUlPU5XEZN2MOX7X0n66Cwkf-AIgXVdjnVuXQbIt9h5ChOqV7uLNrT-VO89HQddYLeKi8UGW3cZjgEuuOA5C96CD-zMrqQ1FQsKzjOp0NlN3WDynYpXBwmXpNIGPK0paLF-Ll-f6gEceaICQf3-URLc,https://serpapi.com/search.json?data_id=0xa6959a12895aff%3A0xc0af3d115192c1e8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6959a12895aff%3A0xc0af3d115192c1e8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_1qJEpqVpgAR6MGSURE9r8A,"Dom Joaquim, MG",lojas_artesanato,2025-07-28T20:10:25.525519,COMPLETA
2,Arte Fácil Artesanato,ChIJt2kK0_yZpgARAPMTv3E2kn0,0xa699fcd30a69b7:0x7d923671bf13f300,9048354463505707776,/g/1tm89p2l,4.5,2480,Loja de materiais para artesanato,Loja de materiais para artesanato,craft_store,"3, R. São Paulo, 656 - Centro, Belo Horizonte - MG, 30170-130",-19.919212299999998,-43.9405784,(31) 3201-9184,http://www.artefacilartesanato.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,"""Fui muito bem atendida e amei todas as formas de artesanato que vi.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq2PosCA4yOpfq5SUZPYupmacrWDX4B4VDoJkOmPMb-5MsrD9UCRVvtpKJ_lh4pOM-Z918QxM8c82m7qhROJCljDM-kZfE7xPdjfJC9LJ4gJBEZbZS2hJPS1_3ccB8kVkgzY5hK=w122-h92-k-no,https://serpapi.com/images/url/clyLqHicBcFdkoIgAADgE5Ej4SjN7EOiLxQj5eRuvDRFChMqKLT93K9D7G32-_4-OgTnV1HU6-VCWav69u7bWdoxtGNYSDtEynkgPfDRmmCNxgly68kavSrXTUl9EPx4d8NZzt_FD8pRU1hqqoGzC0iYnwt8IPvmN7gNPfUauYoBgeNs92SZzOCQTnpfUdLfCgaM6Mr0ya-3jhK8pUjRvBQXUUNNeR2fllLmmWmMeh8Tvfl6xBACjSEwYLT_i3VDPA,https://serpapi.com/search.json?data_id=0xa699fcd30a69b7%3A0x7d923671bf13f300&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa699fcd30a69b7%3A0x7d923671bf13f300&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJt2kK0_yZpgARAPMTv3E2kn0,"Dom Joaquim, MG",lojas_artesanato,2025-07-28T20:10:25.525519,COMPLETA
3,Artesanato Arte De Minas,ChIJE4dj5BbQpgARllm9VcVLfnY,0xa6d016e4638713:0x767e4bc555bd5996,8538345254460152214,/g/11s0z936jl,,0,Loja,Loja,store,"R. José Gabriel de Rezende, 1101 - Campo do Além, São Joaquim de Bicas - MG, 32920-000",-20.0515071,-44.260049099999996,(31) 97111-7088,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipM79c8e-8WIakAfoKWsKT0w2uyMfqti6XTd9w52=w80-h106-k-no,https://serpapi.com/images/url/HWpaInicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga26ZbJGqaxHumZjtmJbvHV7sHWJQblRa6ZtWWJJpFhGSYlluamRbbmGgm2FoYKabrZuXDwCZ5yDz,https://serpapi.com/search.json?data_id=0xa6d016e4638713%3A0x767e4bc555bd5996&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6d016e4638713%3A0x767e4bc555bd5996&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJE4dj5BbQpgARllm9VcVLfnY,"Dom Joaquim, MG",lojas_artesanato,2025-07-28T20:10:25.525519,COMPLETA
4,Rêver Decor,ChIJkfXvLg-9pgARd-WA3SLWmNA,0xa6bd0f2eeff591:0xd098d622dd80e577,15030999201582474615,/g/11fd6kd34z,,0,Artesanato,Artesanato,handicraft,"R. Dom Joaquim, 85 - Araguaia, Belo Horizonte - MG, 30620-130",-19.988601199999998,-44.006583899999995,(31) 97514-8826,,Permanently closed,Permanently closed,,,,,,,,,https://lh3.googleusercontent.com/p/AF1QipMqYM3IEDfSNoeLTUWbQXOQSK_V1e7Yh5gMJhaK=w80-h106-k-no,https://serpapi.com/images/url/oW5y9XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngWxjpa-zp6pIW7Jef6hMSGp4UGOEfGOwdH2aYah6ZYZru65WR6G1bbmGgm2FoYKabrZuXDwCcGyDZ,https://serpapi.com/search.json?data_id=0xa6bd0f2eeff591%3A0xd098d622dd80e577&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bd0f2eeff591%3A0xd098d622dd80e577&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkfXvLg-9pgARd-WA3SLWmNA,"Dom Joaquim, MG",lojas_artesanato,2025-07-28T20:10:25.525519,COMPLETA
1,Diamante Decor,ChIJt66gDvmTpgARil9Lhzzsz4o,0xa693f90ea0aeb7:0x8acfec3c874b5f8a,10002473042125217674,/g/11j4t6j1g_,4.6,100,Tapeçaria,Tapeçaria,upholstery_shop,"R. Diamante, 596 - São Joaquim, Contagem - MG, 32113-000, Brasil",-19.880126399999998,-44.0267189,+55 31 3357-2780,http://www.diamantedecor.com.br/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipOsxu3HB6xJQI2KcUZIFL7FmkbZ0gEhYcJF4Slf=w80-h100-k-no,https://serpapi.com/images/url/Ia3PpXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX1xRauzhZFbhFehp5J0cGuXp5mPulpudFGWQ7poRmezlZhKck2ZbbmGgm2FoYKCbrZuXDwCcQiDS,https://serpapi.com/search.json?data_id=0xa693f90ea0aeb7%3A0x8acfec3c874b5f8a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa693f90ea0aeb7%3A0x8acfec3c874b5f8a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJt66gDvmTpgARil9Lhzzsz4o,"Dom Joaquim, MG",lojas_decoracao,2025-07-28T20:10:28.582698,COMPLETA
2,Esther Magazine,ChIJu4UTOH8NrwARN7RDQeQgbds,0xaf0d7f381385bb:0xdb6d20e44143b437,15811330031487267895,/g/11p130lvbb,,0,Loja de eletrodomésticos,Loja de eletrodomésticos,appliance_store,"R. Cristiano Guimarães, 38 - Dom Joaquim, MG, 35865-000, Brasil",-18.9671634,-43.2531901,+55 31 98292-5665,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",Entrega,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jcUbQNqd7ECR4JOpZrn-Kg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=176.88304&pitch=0&thumbfov=100,https://serpapi.com/images/url/H5VYt3icHc3BDcIgFADQbbgVqDa2mhAPxosmGk28eDGUImAofAFBt3Ett9G4wHuft04J4oKQmIKUKRtZwDyljRVwrLxXVnIwEQs_klyTpB9j77ixS-DOm4HdxKk_7O5Du14dm80ezsFVW4VEfxHWSJdYlDwIjVX5icEPWEFEhXUUaTafoBcvrG5nuOumtEFgktCMov9y9ZnVlH4BcCw5bA,https://serpapi.com/search.json?data_id=0xaf0d7f381385bb%3A0xdb6d20e44143b437&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf0d7f381385bb%3A0xdb6d20e44143b437&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJu4UTOH8NrwARN7RDQeQgbds,"Dom Joaquim, MG",lojas_decoracao,2025-07-28T20:10:28.582698,COMPLETA
1,QA Savassi,ChIJA0WeMsWZpgARrMdJiFFOJOM,0xa699c5329e4503:0xe3244e518849c7ac,16367293057857079212,/g/11bwfk0sfd,4.7,104,Galeria de Arte,Galeria de Arte,art_gallery,"R. Antônio de Albuquerque, 384 - Savassi, Belo Horizonte - MG, 30112-010",-19.9384329,-43.9340541,(31) 2526-9931,http://www.quartoamado.com/,,,,,,Banheiro com acessibilidade para pessoas em cadeira de rodas,,,,"""Acessibilidade e fácil acesso""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrqpLHWdL7BbcgdqgXAZCZaWMyNALhFhR8WTZ8aSfW4WtcKYPTKsAm0T6XAmi_wA01xzbp-m0fjB01K-jUOReqX1KwggE6sivU6ogb_2_w_kdEPEw0TmSImSeOOcCuDasSoZcO1=w138-h92-k-no,https://serpapi.com/images/url/rguSB3icBcFtDoIgAADQE5FQzaytH2i2mpYtbZh_nCJBH4gGRXW_DtFteu_3FcZ0euY4NzEacKX4jT00u1PVGtaaAVXS4Z0GVAPt4GAqxu297-IVaeKJX1Pe9DzHRVBUZPPe4lgsxd4jWeFV6YmMiaHRcZdFGkuYuTmW59JiiF6fugMSni4-RBG4HJI963MUWc5DV5-fB1fxuhyWtrw24S60MJPpWqYsSWjwWFQ6VQVN0NyikQfEdAiuoFV_2NtExA,https://serpapi.com/search.json?data_id=0xa699c5329e4503%3A0xe3244e518849c7ac&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa699c5329e4503%3A0xe3244e518849c7ac&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJA0WeMsWZpgARrMdJiFFOJOM,"Dom Joaquim, MG",galerias_arte,2025-07-28T20:10:31.636844,COMPLETA
2,Galeria Don Penas,ChIJs_p_KAuTpgARHjpphkTse0k,0xa6930b287ffab3:0x497bec4486693a1e,5295085565961124382,/g/11hj9t0zv6,5,1,Galeria de Arte,Galeria de Arte,art_gallery,"Jardim Alvorada (Justinopolis), Ribeirão das Neves - MG, 30150-340",-19.8277642,-44.046332899999996,(31) 99654-7338,,,,,,,,,,,"""Quadros lindos""",https://lh3.googleusercontent.com/p/AF1QipPeB6Ds-dWrJEpYaH2i6ajaiUgAiAPJcG4gdTMJ=w163-h92-k-no,https://serpapi.com/images/url/yJ3P43icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkOpk5lKsmxJe5OVaEJnoYZRplpiVmBma7pjpGOCV7G6SnhLi62VbbmhmrJthaaSbrZuXDwCe9iD2,https://serpapi.com/search.json?data_id=0xa6930b287ffab3%3A0x497bec4486693a1e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6930b287ffab3%3A0x497bec4486693a1e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJs_p_KAuTpgARHjpphkTse0k,"Dom Joaquim, MG",galerias_arte,2025-07-28T20:10:31.636844,COMPLETA
3,Joaquim Artes e Ofícios,ChIJyU7AZwaXpgARGc7KDa2h7MU,0xa6970667c04ec9:0xc5eca1ad0dcace19,14261951884608327193,/g/11wq6nksqz,5,1,Organização artística,Organização artística,arts_organization,"R. Araguari, 358 - Loja 03 - L 10 - Barro Preto, Belo Horizonte - MG, 30190-110",-19.9211375,-43.9490617,(31) 99246-2000,https://www.joaquim.org.br/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=4560785797888677112,Aberto ⋅ Fecha às 22:00,Aberto ⋅ Fecha às 22:00,segunda-feira: 08:00–22:00; terça-feira: 08:00–22:00; quarta-feira: 08:00–22:00; quinta-feira: 08:00–22:00; sexta-feira: 08:00–22:00; sábado: 09:00–17:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,,,,"""Seriedade e compromisso!""",https://lh3.googleusercontent.com/p/AF1QipM1CN_z_usXmuuNQcmB8g0DNhR7znr2ZbEu0iMO=w138-h92-k-no,https://serpapi.com/images/url/pk16WnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga-jsF18VX1ockVta6heYnOtkkW7g4pcRZF6VV2QUleRaapDp629bbmhsoZthaaSbrZuXDwC3jCGW,https://serpapi.com/search.json?data_id=0xa6970667c04ec9%3A0xc5eca1ad0dcace19&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6970667c04ec9%3A0xc5eca1ad0dcace19&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJyU7AZwaXpgARGc7KDa2h7MU,"Dom Joaquim, MG",galerias_arte,2025-07-28T20:10:31.636844,COMPLETA
4,Quadrum Galeria de Arte,ChIJQ9SezHyXpgAR3lFWu18qBo8,0xa6977ccc9ed443:0x8f062a5fbb5651de,10305971387937214942,/g/1yh5tr4yx,5,6,Galeria de Arte,Galeria de Arte,art_gallery,"Av. Prudente de Morais, 78 - Cidade Jardim, Belo Horizonte - MG, 30380-002",-19.9362711,-43.9469765,(31) 3296-4866,http://www.quadrumgaleria.com.br/,Fechado ⋅ Abre ter. às 12:00,Fechado ⋅ Abre ter. às 12:00,segunda-feira: Fechado; terça-feira: 12:00–19:00; quarta-feira: Fechado; quinta-feira: 12:00–19:00; sexta-feira: 12:00–19:00; sábado: Fechado; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,,,,"""Recomendamos a visita!""",https://lh3.googleusercontent.com/gps-proxy/ALd4DhFHr3ytOmPyuTTUtAlaXKSV_X2tniXt1Bzizngr_z4Tk_1haxAtt7HVzZ0pey5GVtx-E5_yOXvtqujSPcCR43xmRCFw8BP3DtHgqVIeBOZhGab9LtgvyILqr31GQpk4h1OFjMP1zpB9vu_ZvCqPSFKLekoQhrfmPp_TmDFCm5Sn1fHj2pP6iYmlKYJfix0dszXHQQ=w122-h92-k-no,https://serpapi.com/images/url/bExmy3icBcHbckNAGADg6UxfR2Qd2qYzvXAo0uhYoUbcGBWsw9rFT_CofZp-39_TMwHg07sodkQ-VIxVXTFPxZizHooeDjmjYsUngY9s3UTNvSsmsZxR3sCjeJvD8Ae0LosvQZTGEvR1DEjf672vxnRXwjZFJFs1gFcn2pMjLzbVjmAVPtV08-IFhrkJcG5cFXmlV8N6vOlYNsGphuhc6F5C7Oz35EK1bGd3GGVk-7xVCPKs5hujneunZU6TxRhwYF3comU-GUuKeRpS0zKoGvSodBqJ45f6RrvL7aus1-N92mPH9z8eSJIEcpKEVujZP4HCXAk,https://serpapi.com/search.json?data_id=0xa6977ccc9ed443%3A0x8f062a5fbb5651de&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6977ccc9ed443%3A0x8f062a5fbb5651de&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJQ9SezHyXpgAR3lFWu18qBo8,"Dom Joaquim, MG",galerias_arte,2025-07-28T20:10:31.636844,COMPLETA
