position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Dom Viçoso MG,ChIJF17RhpFPy5QR0eIbg_2JGv0,0x94cb4f9186d15e17:0xfd1a89fd831be2d1,18238041362909618897,/g/11f15fg500,4.6,49,Desenvolvimento de moradias,Desenvolvimento de moradias,housing_development,"Estr. Viçoso Velho, Dom Viçoso - MG, 37474-000, Brasil",-22.2099357,-45.1399982,,,,,,,,,,,,"""Lugar lindo para relaxar e aproveitar as férias, amo demais ❤️❤️""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npmkzNEG8veeXj2fwltDxDdy5LIuUMctZ5Qsh9VPrDfNlfqNYXEygagOCgMKEGsZekqUlINNUaFku-qe0ylSRN8vwun7RO72Ha6lH0nKHpgWFlvOqjT2NHWlQ9lz0yfBCQ2xHMT=w122-h92-k-no,https://serpapi.com/images/url/m7eG83icBcFbEoIgFADQFZFGT5vpo9SiKTFLe_05hjB5Aw3UbH8tot10zu8rjCn1zLJADHpcKQ6s1uyVKWmYNL1MPS1eapRppK2F64ihLJ_Fh_rracPY5YHzFoz39u7daLepkyAzt1GkhXPav7ycQl7R68XveMpDlwdbf61vrKgS2FCapKuiRhWzOzge6LRpazk5hBNM0jEQW25Jyc8raMLqEWNKzhA58LG7fOlG-E2CeN72MUbCwahAUv0BeKNF2Q,https://serpapi.com/search.json?data_id=0x94cb4f9186d15e17%3A0xfd1a89fd831be2d1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4f9186d15e17%3A0xfd1a89fd831be2d1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJF17RhpFPy5QR0eIbg_2JGv0,"Dom Viçoso, MG",lojas_presentes,2025-07-28T20:13:14.278769,COMPLETA
2,Paloma Presentes,ChIJ8YD__5VLy5QR3_epMW6m-eM,0x94cb4b95ffff80f1:0xe3f9a66e31a9f7df,16427344108020430815,/g/1v6l8l_5,5,59,Loja de Brinquedos,Loja de Brinquedos,toy_store,"R. Dr. Olávo Gomes Pinto, 160 - ljs 14 e 16 - Centro, São Lourenço - MG, 37470-000, Brasil",-22.1161231,-45.053543499999996,+55 35 3331-8675,https://app.jotform.com/243607648656670,Fechado ⋅ Abre ter. às 09:30,Fechado ⋅ Abre ter. às 09:30,segunda-feira: 09:30–18:30; terça-feira: 09:30–18:30; quarta-feira: 09:30–18:30; quinta-feira: 09:30–18:30; sexta-feira: 09:30–18:30; sábado: 09:30–18:30; domingo: Fechado,,,,"Aceita somente dinheiro, Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,"""Loja com grande variedade de produtos, bom atendimento e preço justo!""",https://lh3.googleusercontent.com/p/AF1QipNgDK7PlxccU3bTnAjuRfb_Euu9fYKUyWrY4H9S=w122-h92-k-no,https://serpapi.com/images/url/RoPJwXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl-7ibR6QU5GcHGqcFJLnmFUalJYU71paapkW6R1aGV4UaeJhGWxbbmhkpJthaaSbrZuXDwC29iGb,https://serpapi.com/search.json?data_id=0x94cb4b95ffff80f1%3A0xe3f9a66e31a9f7df&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b95ffff80f1%3A0xe3f9a66e31a9f7df&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ8YD__5VLy5QR3_epMW6m-eM,"Dom Viçoso, MG",lojas_presentes,2025-07-28T20:13:14.278769,COMPLETA
3,ID Presentes Loja da Diana,ChIJ7xd5ST1Jy5QRFgC-NX1rQGw,0x94cb493d497917ef:0x6c406b7d35be0016,7800352740122427414,/g/11h11kmx0v,4.8,5,Loja de Presentes,Loja de Presentes,gift_shop,"R. Gorgulho, 562 - Centro, Carmo de Minas - MG, 37472-000, Brasil",-22.1204722,-45.1265523,,,Fechado ⋅ Abre ter. às 09:30,Fechado ⋅ Abre ter. às 09:30,segunda-feira: 09:30–18:30; terça-feira: 09:30–18:30; quarta-feira: 09:30–18:30; quinta-feira: 09:30–18:30; sexta-feira: 09:30–18:30; sábado: Fechado; domingo: Fechado,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMto50HyAxKPm2kbzM_PoPRfaSVvc2Xf4YRHxZT=w122-h92-k-no,https://serpapi.com/images/url/MggRTXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW5JvauBR6VjhHZBrlJ1U5RsfkB8QlJYYHFaWbBSRZhIZ5FERFWJbbmhkpJthaaSbrZuXDwC1HyGa,https://serpapi.com/search.json?data_id=0x94cb493d497917ef%3A0x6c406b7d35be0016&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb493d497917ef%3A0x6c406b7d35be0016&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7xd5ST1Jy5QRFgC-NX1rQGw,"Dom Viçoso, MG",lojas_presentes,2025-07-28T20:13:14.278769,COMPLETA
4,Bijoux Presentes,ChIJN8j9zetLy5QR_xg1vecqyc0,0x94cb4bebcdfdc837:0xcdc92ae7bd3518ff,14828430422894254335,/g/11sfdkbbmb,4.8,4,Loja de Presentes,Loja de Presentes,gift_shop,"Av Dom Pedro II, Nº204, São Lourenço - MG, 37470-000, Brasil",-22.116155199999998,-45.0569511,+55 35 3332-6466,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Bom atendimento.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EqL2_LjgBzihbiG09Mj4hw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=181.73964&pitch=0&thumbfov=100,https://serpapi.com/images/url/Wu6NSXicHc3bDYIwFADQbfpnH0gUTBoSE-MPzkBKqe0lhVZ6peo0ruU2Ghc45_N2iDEdGEu4GIMrmBzhYXzaREVtCNYbFSFRHSa2CobuPvWzAt9ENQcY5OnWFl072uMLXA9nXl_G0mWi-057MDPKZNSiHbX5Jy5hoDYmkmXFiZN1QZ4qS1EJut_Wu5JEQO0kJ__lGlYpOP8CeoQ5kQ,https://serpapi.com/search.json?data_id=0x94cb4bebcdfdc837%3A0xcdc92ae7bd3518ff&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4bebcdfdc837%3A0xcdc92ae7bd3518ff&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJN8j9zetLy5QR_xg1vecqyc0,"Dom Viçoso, MG",lojas_presentes,2025-07-28T20:13:14.278769,COMPLETA
5,Aladdin Presentes,ChIJrzziEpRLy5QR751NMzaMZ0w,0x94cb4b9412e23caf:0x4c678c36334d9def,5505523233900568047,/g/11csq5cx49,4.5,167,Loja de presentes,"Loja de presentes, Loja de artigos natalinos, Loja de utensílios de cozinha, Loja de artigos para festas, Papelaria, Loja de Brinquedos",novelty_store,"Av Dom Pedro II, 140 - Centro, São Lourenço - MG, 37470-000, Brasil",-22.115373599999998,-45.0520913,+55 35 3332-6084,http://www.lojasaladdin.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–18:30; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,"""excelente loja um ótimo atendimento estão de parabéns 👏👏""",https://lh3.googleusercontent.com/p/AF1QipOSOOiUGeRC2O6DQ5FWIM2UYIh_oaAVwMZUEdJk=w92-h92-k-no,https://serpapi.com/images/url/4HV9WnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH-zvnxnqnhrkbORv5hJo6hbu6WsUGumZEZ-f6BhW7hsV6prilW1bbmmkmwHE2bp5-QBsIiBn,https://serpapi.com/search.json?data_id=0x94cb4b9412e23caf%3A0x4c678c36334d9def&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b9412e23caf%3A0x4c678c36334d9def&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJrzziEpRLy5QR751NMzaMZ0w,"Dom Viçoso, MG",lojas_presentes,2025-07-28T20:13:14.278769,COMPLETA
6,Cantinho Dos Presentes,ChIJxRmO0Rz_nQARJ8Obh1aR9dQ,0x9dff1cd18e19c5:0xd4f59156879bc327,15345331106163180327,/g/11j2ypyk36,4.8,10,Loja de presentes,Loja de presentes,novelty_store,"R. Venceslau Braz, 47 - Passa Quatro, MG, 37460-000, Brasil",-22.3951854,-44.965679099999996,+55 35 3371-3863,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Ahsvh4RKyZpU-IuohBmtUA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=7.9171796&pitch=0&thumbfov=100,https://serpapi.com/images/url/Qwzty3icHc1LCsIwEADQ22TXfESsFYLUnbgTunEjaYydQNoMzTSxt_Fa3kbxAu993kCE6SBEotk5yt4V9C8XUoWGDzEOwRn0ids4iqwEwTL2k_HhiGaK_qFbSBm218t6w646LxFOI3Uts_3dBu8m0smZ2QIfyk-c44MPmFjRe8lANxu2mqJr3qha1c2OoScLWrL_8oxZKym_m2I59Q,https://serpapi.com/search.json?data_id=0x9dff1cd18e19c5%3A0xd4f59156879bc327&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9dff1cd18e19c5%3A0xd4f59156879bc327&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJxRmO0Rz_nQARJ8Obh1aR9dQ,"Dom Viçoso, MG",lojas_presentes,2025-07-28T20:13:14.278769,COMPLETA
7,SV Presentes,ChIJL58MV2BWy5QRuXvcZUUq_6s,0x94cb5660570c9f2f:0xabff2a4565dc7bb9,12393671177096952761,/g/11bw20zz79,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"R. Monsenhor Dalísio Batista Dini, 101 - Centro, Virgínia - MG, 37465-000, Brasil",-22.3330974,-45.0914491,+55 35 3373-1853,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KX9XQ3Fe0_oDLN4zdkRu_A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=299.16583&pitch=0&thumbfov=100,https://serpapi.com/images/url/MGFQz3icHc1RCsIgGADg2_iWuq1iBhJB9FIE9bS34dyfSk5lulmdpmt1m6ILfN_nrVMKcUNITCNAmg3kYB5g4yIIrLxXFkQwEUs_kLkgSU9D54Sx2yCcNz0_Nqy5VAegrd-fzstXf79O7Q7JrpXWgEs8ghilxir_xNH3WIWIMq8p0pyV6CkyLxnDxXpVVyiYJDWn6L_c_MwLSr9Xrjk2,https://serpapi.com/search.json?data_id=0x94cb5660570c9f2f%3A0xabff2a4565dc7bb9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb5660570c9f2f%3A0xabff2a4565dc7bb9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJL58MV2BWy5QRuXvcZUUq_6s,"Dom Viçoso, MG",lojas_presentes,2025-07-28T20:13:14.278769,COMPLETA
8,Mundo dos Presentes,ChIJESoqdZNLy5QRd_jT04BoYpk,0x94cb4b93752a2a11:0x99626880d3d3f877,11052511338039605367,/g/1tj1nmvc,4.7,7,Loja de presentes,"Loja de presentes, Serviço de informática, Papelaria",novelty_store,"Av. Antônio Junqueira de Souza, 254, São Lourenço - MG, 37470-000, Brasil",-22.1176548,-45.0522449,+55 35 3331-1305,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,"segunda-feira: 09:00–12:00, 13:30–18:00; terça-feira: 09:00–12:00, 13:30–18:00; quarta-feira: 09:00–12:00, 13:30–18:00; quinta-feira: 09:00–12:00, 13:30–18:00; sexta-feira: 09:00–12:00, 13:30–18:00; sábado: 09:00–12:00, 13:30–18:00; domingo: Fechado",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npmQaEogb-a1L6j8gY_SvAt3mNXLDbKTNmre_c6FIwaATf28nS2ezjdwleXnu9Kwtk13V-x1vHVdlnaEUdj-CguGELj_KTn5q4Bx9XZ5Qmedf8_-5uvQUMkKifGy6sk4H8QO8sZcQ=w80-h101-k-no,https://serpapi.com/images/url/Tmr4U3icBcFbjoIwFADQFV2x8kgx8QMdRiegphEN-kOwlDJAW7QF1A26BnfjOZ93ZUyn55bVVvaEK8Vb1mt2p0oaJs2EKmHxTgPVoK1g5VeO7ATJQ8WvkKPYqzE_Z4chMLbYpfHPNUp24s4y6v3-jXmQlDMsDzP2qouxZans_Wg0DbJP8EDD5lS0Mg-PRQ0r3q_DuM6iRLo3Z_nw04tLBCtKnIHbD-S4baL_cv30dONsMNljfaFkMeIpVGiKoAGpvoQoRXU,https://serpapi.com/search.json?data_id=0x94cb4b93752a2a11%3A0x99626880d3d3f877&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b93752a2a11%3A0x99626880d3d3f877&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJESoqdZNLy5QRd_jT04BoYpk,"Dom Viçoso, MG",lojas_presentes,2025-07-28T20:13:14.278769,COMPLETA
9,Top Presentes e Utilidades Viçosa,ChIJMwjGHmFnowARcn86BsGPKqw,0xa367611ec60833:0xac2a8fc1063a7f72,12405886182741409650,/g/11r_q1sd2m,5,16,Loja de Brinquedos,Loja de Brinquedos,toy_store,"R. José da Cruz Reis, 94 - loja - Centro, Viçosa - MG, 36570-071, Brasil",-20.7558768,-42.8787996,+55 31 99534-5910,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:30; terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–13:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,"""Excelente atendimento e variedade de produtos.""",https://lh3.googleusercontent.com/p/AF1QipM20xKEi-vkocgmLCYWLk_gUk958T1tlMfi8_du=w122-h92-k-no,https://serpapi.com/images/url/Pi8zSXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga2RQ4e2aqVuWnZ-cnuvjHBnukx2fHpptaWoRYliS45uWaRGfUmpbbmhkpJthaaSbrZuXDwCpASFe,https://serpapi.com/search.json?data_id=0xa367611ec60833%3A0xac2a8fc1063a7f72&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa367611ec60833%3A0xac2a8fc1063a7f72&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJMwjGHmFnowARcn86BsGPKqw,"Dom Viçoso, MG",lojas_presentes,2025-07-28T20:13:14.278769,COMPLETA
10,Bodega Dom,ChIJ2RptIxhLy5QR0dCw4gdbdtc,0x94cb4b18236d1ad9:0xd7765b07e2b0d0d1,15525696854832500945,/g/11nm_wtktv,5,9,Loja de Presentes,"Loja de Presentes, Importador e atacadista de vinhos",gift_shop,"R. Pref. Bráulio Vasconcelos - Federal, São Lourenço - MG, 37470-000, Brasil",-22.122346,-45.0486363,+55 35 99149-3961,https://www.bodegadom.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: Fechado; terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: Fechado; domingo: Fechado,,,,Cartão de crédito,"Entrega, Retirada na loja",,"""Loja maravilhosa, produtos de qualidade e
o atendimento é impecável!""",https://lh3.googleusercontent.com/p/AF1QipPhfkJ6IXqprV3rMZuFOjGgbyaq4sbVDqokciWi=w138-h92-k-no,https://serpapi.com/images/url/kWdaBXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkJGW7WXmGVFYUBRmXOQbVermn-WenlSZWGhSnBTmUpifnZwZnmlbbmhsoZthaaSbrZuXDwDJ1CJm,https://serpapi.com/search.json?data_id=0x94cb4b18236d1ad9%3A0xd7765b07e2b0d0d1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b18236d1ad9%3A0xd7765b07e2b0d0d1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ2RptIxhLy5QR0dCw4gdbdtc,"Dom Viçoso, MG",lojas_presentes,2025-07-28T20:13:14.278769,COMPLETA
