position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Eng. Correia,ChIJq1JjrAcApAARxe0wnQ455ww,0xa40007ac6352ab:0xce7390e9d30edc5,929774583004851653,/g/1ymxglgbg,,0,,,,"Ouro Preto - MG, 35400-000, Brasil",-20.3498525,-43.7703609,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noV4-PnLDuw3eqd0nJpD4_FlLQlJZQo7qdf_Z3WPDQ0Ksu3WNlF8OUg4JXfAqp3O49ME9iC4Btl_LTAG-QVtegJvQdXYWvHZ9SH-Cyam4ZOd9QTfXiMwJalYY8akJWKWdHsuW8E=w80-h145-k-no,https://serpapi.com/images/url/WsdiXHicBcHRroIgAADQLyK9g5bcrQfTuo7sGqtEfXFOEFsEGpjrA_uI_qZzPu_eucH-ep7q4UIaI5WYrHi0Rjuh3aI1d08OFrQWWC-McI-0yRE46jSeZihG7msyxKjeqZQqUlGzGnlXV5AdY-rv7QTZv9oF2UUiUnThOMAM4cMWXyO0capOz-EfoLkTkjwpL0r2TCp8SkD0au6oyjim5664HmbSqLIMmhthe8YTO7Fgu54DH_Q_aAluQJsvaFJDfg,https://serpapi.com/search.json?data_id=0xa40007ac6352ab%3A0xce7390e9d30edc5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa40007ac6352ab%3A0xce7390e9d30edc5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJq1JjrAcApAARxe0wnQ455ww,"Engenheiro Corrêa, MG",lojas_presentes,2025-07-28T20:24:27.379807,COMPLETA
2,Colé Presentes,ChIJV5RD0OEKpAAR63nyGmtgl8Y,0xa40ae1d0439457:0xc697606b1af279eb,14310012354122906091,/g/1tfqmlxc,4.7,12,Loja de moda feminina,"Loja de moda feminina, Loja de Roupa, Loja de fantasias, Loja de acessórios de moda, Loja de lingerie, Loja de roupas com tamanhos especiais",womens_clothing_store,"R. São José, 3 - Centro, Ouro Preto - MG, 35400-066, Brasil",-20.3845728,-43.5061828,+55 31 98372-7979,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipOS0U8T1t2WkjndxG2jM7KIeuFvAZst0DYtpP_c=w92-h92-k-no,https://serpapi.com/images/url/qxzU43icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH2wQahFiWGIUnp2Vl1LhbpTla-7tmVrqVuYYVVxi4BJZUhAQn2xbbmmkmwHE2bp5-QCBjyEi,https://serpapi.com/search.json?data_id=0xa40ae1d0439457%3A0xc697606b1af279eb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa40ae1d0439457%3A0xc697606b1af279eb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJV5RD0OEKpAAR63nyGmtgl8Y,"Engenheiro Corrêa, MG",lojas_presentes,2025-07-28T20:24:27.379807,COMPLETA
3,Presentear,ChIJn47Yb4xTsAAR-HpyaNBV6GM,0xb0538c6fd88e9f:0x63e855d068727af8,7199098357945629432,/g/11j38jk72x,5,1,Loja de variedades,"Loja de variedades, Loja de artigos domésticos",variety_store,"Rua Rafael cecato n° 83a, São José do Acácio, Eng. Caldas - MG, 35133-000, Brasil",-19.0534139,-42.0207112,+55 33 99820-6468,http://presentear.sualojaonline.app/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMCnzWDqgmM36psD8OuTnp8o3wlM21vFioewjha=w122-h92-k-no,https://serpapi.com/images/url/ZcGmjXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng65xXFe5SmJ7ra2xWUOxi4V8akldgkW9cnuNrZFjmlpmfWp6VkWhbbmhkpJthaaSbrZuXDwC7BSHq,https://serpapi.com/search.json?data_id=0xb0538c6fd88e9f%3A0x63e855d068727af8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xb0538c6fd88e9f%3A0x63e855d068727af8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJn47Yb4xTsAAR-HpyaNBV6GM,"Engenheiro Corrêa, MG",lojas_presentes,2025-07-28T20:24:27.379807,COMPLETA
4,Unidade de Saúde de Engenheiro Correia,ChIJod0l3xf_owARkU0IR6UPKeo,0xa3ff17df25dda1:0xea290fa547084d91,16873034681456020881,/g/11jv43grjs,,0,Posto de saúde comunitário,Posto de saúde comunitário,community_health_center,"R. Ver. Hélio Ferreira - Eng. Correia, Ouro Preto - MG, 35400-000, Brasil",-20.349577399999998,-43.7705049,,,,,,,,"Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Kp0KbbqJpAqTR6uTul2pmg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=38.872635&pitch=0&thumbfov=100,https://serpapi.com/images/url/QLGMgHicHc3BDcIgFADQbbgJtI21mhDj1d5M7wboF0ig_BZadBvXchuNC7z3educMZ0YS3kByJuDgu4JPu1QUhOj8SDRJapjYFvFsl2DmqTzZ5RTdKPokfdKzVe8zMOtXYfV1xgM0equvYMpiwRy0Zaa8hOXOFKDiRTRcWLFsSYvWUTT0e5Qt82eoMvaCk7-yyNuouL8C5QdOeU,https://serpapi.com/search.json?data_id=0xa3ff17df25dda1%3A0xea290fa547084d91&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3ff17df25dda1%3A0xea290fa547084d91&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJod0l3xf_owARkU0IR6UPKeo,"Engenheiro Corrêa, MG",lojas_presentes,2025-07-28T20:24:27.379807,COMPLETA
5,Yanni Presentes,ChIJMUxDCoQLpAARexuBfKS977E,0xa40b840a434c31:0xb1efbda47c811b7b,12821675178308213627,/g/11h5n7f5zw,4,4,Loja de presentes,Loja de presentes,novelty_store,"R. São José, 139 - Centro, Ouro Preto - MG, 35400-066, Brasil",-20.3846475,-43.5071162,+55 31 99999-7946,https://instagram.com/yannipresentes,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Aceita somente dinheiro, Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqm9WTNOpzTRDlAD4ky4h0kWnJtnp6519AuQc5CVe7cIWHbfZzXQuP9Ns8pRHsDUVUmqhNgELnzlrgmbPtMUviGYbmIM3_fnmBsZ8LaR89ALYwwz5mPtf7sWvD1tRjgQUnj-Eec=w124-h92-k-no,https://serpapi.com/images/url/UvqiunicBcFbjoIwFADQFVVEQekk84FifAQZICLqj5GmtAq9rd4iGfbnImY3c87fR1pr8MtxWjkdCa1FyzvkL6bBcrAjppUjDBKGBJ1wSaUHT0XLQ_JjhkMetWHkNb-eHDcl7CyYme_SsMuYvzzyOduWm6q-DKesS2mCgck3GBXHQj1lIlYxDO1LqCq1--J9X58rtd1PrzWoBV6C-JYHNIzPfT_4KrX1HMt35Nr8IbICHmTF2XfvTjwi6YQ0BPQ_D2VFuA,https://serpapi.com/search.json?data_id=0xa40b840a434c31%3A0xb1efbda47c811b7b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa40b840a434c31%3A0xb1efbda47c811b7b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJMUxDCoQLpAARexuBfKS977E,"Engenheiro Corrêa, MG",lojas_presentes,2025-07-28T20:24:27.379807,COMPLETA
6,Rancho do wertere Leroy,ChIJQ14MNAD_owARTdOLWDgzM8U,0xa3ff00340c5e43:0xc5333338588bd34d,14209757566380790605,/g/11w23pmq1q,,0,Fazenda,Fazenda,farm,"Eng. Correia, Ouro Preto - MG, 35400-000, Brasil",-20.3498525,-43.7703609,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noSR0Np_ae09y2DVj9LAcpMV9yBB0BDz5Jq5MWp6zRc4y9rhDwajM1jbgs7EPEU7SFTPgdDfbOghVS0oinm0CBU3sJfY8dqhMm49RF_VEj5cM7BEsFVTw84ZSRlJ_1XK4sMoWbC=w80-h142-k-no,https://serpapi.com/images/url/QBWfanicBcFNcoIwGADQE0WCBiGdcWH4WWDTOqCxdcNIxEQKSfSjw-D9PIS38b3XUw-Dgw_P6_RipqxVXfMPzV1aMzRmmEnbe8oBkoDAW8dUE2PLAn-56tRgOs0T0dLPtXRc0IkxzJJHkN8CfnDLRyHJRO86GU8t99taQZhu031YZrutOieX-ltpUWJ7NT2O2X4B-eU3Ot807wktskqkbSB5yFLIxG6MyLEsurzyfzYEuD3U8WqMMNI-maM_ZOwbVuVDBA,https://serpapi.com/search.json?data_id=0xa3ff00340c5e43%3A0xc5333338588bd34d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3ff00340c5e43%3A0xc5333338588bd34d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJQ14MNAD_owARTdOLWDgzM8U,"Engenheiro Corrêa, MG",lojas_presentes,2025-07-28T20:24:27.379807,COMPLETA
7,D Tudo Presentes,ChIJW7cFoK_BsZQRDmo7Ljr8RHs,0x94b1c1afa005b75b:0x7b44fc3a2e3b6a0e,8882501691895409166,/g/1tf6hr8b,4.5,83,Loja de Presentes,Loja de Presentes,gift_shop,"Av. José Cambraia, 82 - Ibiá, MG, 38950-000, Brasil",-19.4848718,-46.543230099999995,+55 34 3631-1661,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento exelente""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noCaxtqQhT7izLN44OleL0Rz-0yXtN0_pfQha_e6cwVEy6nTxNB-dkYTMlEbHtgorVNhkzayekNPzBTntTAaAy6DM_0gD_hyB3d_D58uuTqvPCYSaldQFTvviiYGhccre4oru59Jg=w163-h92-k-no,https://serpapi.com/images/url/M8t0KHicBcHdboIwGADQJ6qwgWws2QU_umXRTmZj5KqppfYjdC3SgpYX9Bl8G8953MG53n4EgYJoIY2RSoxWDNxoJ7RbcPMfyN4ibpENsiKFWJuC3dylAvLWzhscx79KbMK_GYX-6HBI-3MFjIqEXw8rn2hywzlqupps1er07aQZDhi6mXnR4d2cE-1IxjKflFsaypKCz6OGlsv3cSSXaVfUe6aaak2mqW3rL-B8ELEZxmX6Iz-vL0mEIH1FHdLmCfLhRz0,https://serpapi.com/search.json?data_id=0x94b1c1afa005b75b%3A0x7b44fc3a2e3b6a0e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b1c1afa005b75b%3A0x7b44fc3a2e3b6a0e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJW7cFoK_BsZQRDmo7Ljr8RHs,"Engenheiro Corrêa, MG",lojas_presentes,2025-07-28T20:24:27.379807,COMPLETA
8,Coração De Mãe Utilidades Domésticas e Presentes,ChIJH5ZkXv4LpAARDcEGgzn0EN0,0xa40bfe5e64961f:0xdd10f4398306c10d,15929500409858015501,/g/11s9psgmk4,5,3,Loja,Loja,store,"R. Padre Rolim, 1381 - Ouro Preto, MG, 35400-000, Brasil",-20.377988,-43.5142332,+55 31 99117-9396,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nC-GwYdinIaMX1MnaRQetg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=163.0286&pitch=0&thumbfov=100,https://serpapi.com/images/url/2CH0UnicHc09DsIgFADg27CVH02aakIcHIxDB510Mq_0CS-hQAoWPY3n8jYaL_B9n7crJeWtELnMiGUhrIme6HOTgNsYrUdIlLmJk1iUKO4xDQHI7xKESKMO--ZQryOFI_QX1Qc4n7BYZoab8YSh6IwwG8dt_YlzHLlNmVXdSeb0ZsVeULVq11yuupYlKsZpyf7JPS5aSfkFT5E5gA,https://serpapi.com/search.json?data_id=0xa40bfe5e64961f%3A0xdd10f4398306c10d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa40bfe5e64961f%3A0xdd10f4398306c10d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJH5ZkXv4LpAARDcEGgzn0EN0,"Engenheiro Corrêa, MG",lojas_presentes,2025-07-28T20:24:27.379807,COMPLETA
9,DTudo Variedades,ChIJwfyZt-MKpAARd9Qy6IhihHE,0xa40ae3b799fcc1:0x71846288e832d477,8179771163362382967,/g/11c38j0b0b,5,4,Loja de artigos domésticos,"Loja de artigos domésticos, Loja de embalagens para presente",home_goods_store,"R. Benedito Valadares, 84 - Pilar, Ouro Preto - MG, 35400-000, Brasil",-20.385980099999998,-43.509169799999995,+55 31 3551-0480,https://www.facebook.com/dtudo.op,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/p/AF1QipOeKKwt3DTw4mFWgaEDoTnNIuZ2SO_NA_E4Goej=w163-h92-k-no,https://serpapi.com/images/url/fivR93icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn-rtXV5i7BJSbpLrFp6e6OqSH5Ln51kaZRTsH-_nGO9q4p6fmmVbbmhmrJthaaSbrZuXDwCpsCE4,https://serpapi.com/search.json?data_id=0xa40ae3b799fcc1%3A0x71846288e832d477&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa40ae3b799fcc1%3A0x71846288e832d477&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJwfyZt-MKpAARd9Qy6IhihHE,"Engenheiro Corrêa, MG",lojas_presentes,2025-07-28T20:24:27.379807,COMPLETA
10,Tropical Presentes,ChIJqXi80HmOpgARGz39v6MU1qw,0xa68e79d0bc78a9:0xacd614a3bffd3d1b,12454164513072954651,/g/1v44rnc5,4.8,36,Loja de Presentes,Loja de Presentes,gift_shop,"R. Tancredo de Almeida Neves, 451 - Esperança (Justinópolis), Ribeirão das Neves - MG, 33913-110, Brasil",-19.7817878,-44.0210461,+55 31 3638-3539,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: 08:00–12:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento excelente, sempre encontro tudo o que  preciso.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqdeUeTJBszInQzATCBciewFWkPB2yyOyeOQuq1BPlDQVoUx5BADNyrCRuo0ow2hBavzUX0kJfjfJ9xMMShTl_ImMD3DnfVoW_sJOw-uGY3ipfx9pvLL3aQ0qkpGlo7Yq48rwRe=w80-h142-k-no,https://serpapi.com/images/url/l8NIE3icBcFhEkJAGADQE22EpjTTD8vUZJIUql_GaNmy7bcsLe7XIbpN7_2-tOuEXGsao-asAqgY6SVpC-Ad4d2sgLdWCYkKiaTmuDa1ePMgCYl9LKc9jyYndnHxJGp7rU_YGMdwJGHUN3N8Yl6UQjIssOMdx9Y996CDMijOP1Ny02u_fJW-PQTBhcYs278Dz_R4mcI1k36oUL-7m09RDrb4HA5mHulNLXYMlvfGWrXqTDZqpSM6twxUIw5_ZRVGNg,https://serpapi.com/search.json?data_id=0xa68e79d0bc78a9%3A0xacd614a3bffd3d1b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa68e79d0bc78a9%3A0xacd614a3bffd3d1b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJqXi80HmOpgARGz39v6MU1qw,"Engenheiro Corrêa, MG",lojas_presentes,2025-07-28T20:24:27.379807,COMPLETA
