position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Mercearia Avenida,ChIJHwCdS5cMogARl1ZTIojRYb4,0xa20c974b9d001f:0xbe61d18822535697,13718476322568885911,/g/1tj92sdc,4,82,Mercado,Mercado,market,"Av. Santo Antônio, 309, Ewbank da Câmara - MG, 36108-000, Brasil",-21.5499138,-43.5091469,+55 32 3255-1255,,Aberto ⋅ Fecha às 23:00,Aberto ⋅ Fecha às 23:00,segunda-feira: 08:00–23:00; terça-feira: 08:00–23:00; quarta-feira: 08:00–23:00; quinta-feira: 08:00–23:00; sexta-feira: 08:00–23:00; sábado: 08:00–23:00; domingo: 08:00–23:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Várias possibilidades e excelente horário de atendimento!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqLmvqpeW3JFhDgF6nrNJk97JRFguzWwzv1M1jk4Qirrzwg-I_1xGbYvtdmFTeWXQTfLZrO6IDsFWVon-rZvVwhWcz3yqcYAgNwhE8-MFGkwlgG6jFUgK1j-MyEwrdz44ESb3Za=w80-h133-k-no,https://serpapi.com/images/url/PrJ003icBcHdTsIwGADQJ_qYTZcJJl4QWRcmw6BIZTdGSv3qftqtLav0_XwI3sZzbn_K-8E9JEmn6AyNwU5enLTCaC-1nwnTJzg4EA5csnxaqFSPm34aB8lpydQKWabttmwX9-Urw0vkIU6kIk2b7n6sjQFh_Ul-i9Nx8uee7SX_2O2_N7V9ydYrx_jBaLD1dAiKi0ivozgucRtUPoeKFW3osMga9o7PpIHqmgd7jmmav51o_fUY5negCKXQgjb_bd5GAw,https://serpapi.com/search.json?data_id=0xa20c974b9d001f%3A0xbe61d18822535697&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa20c974b9d001f%3A0xbe61d18822535697&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJHwCdS5cMogARl1ZTIojRYb4,"Ewbank da Câmara, MG",lojas_presentes,2025-07-28T20:31:19.736959,COMPLETA
2,Festão do Povo de Ewbank da Câmara,ChIJDzQQCN8NogARwGxFwRhlICU,0xa20ddf0810340f:0x25206518c1456cc0,2675249335654247616,/g/11s333flz2,4.5,4,Atração turística,Atração turística,tourist_attraction,"R. Antônio D de Oliveira, 102, Ewbank da Câmara - MG, 36108-000, Brasil",-21.5541721,-43.500761499999996,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npsEvILBCdH3qCzPpMShw5H7w7eoq5lfIC5GjpsRc62o8CAChCBMauw-IFMgCU3_soVbgT9elToPZNPohA8LZQ92_eVQYQnw3PJjgx2xgBdJVbTyVyQp0iCQtmYRthHh4hMiUA=w163-h92-k-no,https://serpapi.com/images/url/vY7o8HicBcHRboIwFADQL6o4KipL9gA3OjCyUAck-mIUa6-KvdXWVfd9_oR_4zmvJzpn7GcQdMh7ikh18mbltSXtpHa9ls6BMpa1ltkggRgH2tjJXz5PYZfxC_yXpvhFH2UjP5J0ibp9DtH30dhFOwxpDAkgpMXm5lk-LRTUfG2p2aoqll1F5eqnJEzG85WIw7VsxFJoz8vZUd3Du0p3s2ZbPZqHMP0DCHdeLhxmOMDiUCdf_mPIGcYhOzFNb3o6RGY,https://serpapi.com/search.json?data_id=0xa20ddf0810340f%3A0x25206518c1456cc0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa20ddf0810340f%3A0x25206518c1456cc0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJDzQQCN8NogARwGxFwRhlICU,"Ewbank da Câmara, MG",lojas_presentes,2025-07-28T20:31:19.736959,COMPLETA
3,Prefeitura Municipal de Ewbank da Câmara,ChIJHwCdS5cMogAR9Kkw1EZq3L4,0xa20c974b9d001f:0xbedc6a46d430a9f4,13752984214522866164,/g/1tgfflpm,4.4,54,Escola,"Escola, Prefeitura",school,"Av. Santo Antônio, 441 - Centro, Ewbank da Câmara - MG, 36108-000, Brasil",-21.5501395,-43.5091854,+55 32 3255-1198,http://ewbankdacamara.mg.gov.br/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:00; terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: Fechado; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""E muito bom ver a cidade bem cuidada.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqL9rZcu6oCMMQP0l-I3evkUbYxydnmS1Mk7dakH2e3zyrbO9Kr-YQPtdNN91e3Ea91siFJ-wc4wq-Bdd3wJgPlLnhztkHdMooHFXKY8BbHLZCU7XJ7uJyDPpoXs52P6H3fH2-f=w163-h92-k-no,https://serpapi.com/images/url/Fti5fnicBcHRboIwFADQL7oiVGFd4sNETYfgahYT8E3aSpdiL9Iyhv-3j_BvPOf5r73v3HsQtJrMGsSmVYNTvUDrlfUzgbeg6RwIBy74SKle2HtO-7MYYkyL4sjnLXwS9WtOdfU3SXv7DguTyIthkSKPqa-_6L6H6si9PBxoqMj2QkP3s8tgFIvxDmspyZg1vM2tfnjDZIHIduW-elvXLD-np6TMkiGbNrzD0i0jHjNyZRFcV2MYE9A0AgMWX733Q7c,https://serpapi.com/search.json?data_id=0xa20c974b9d001f%3A0xbedc6a46d430a9f4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa20c974b9d001f%3A0xbedc6a46d430a9f4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJHwCdS5cMogAR9Kkw1EZq3L4,"Ewbank da Câmara, MG",lojas_presentes,2025-07-28T20:31:19.736959,COMPLETA
1,Fonseca Artesanato,ChIJBzMuuTDHoQARqiKmpgbDr3s,0xa1c730b92e3307:0x7bafc306a6a622aa,8912556620922626730,/g/11m_fds8fn,5,2,Artesanato,Artesanato,handicraft,"Av. Min. Gabriel Passos, 682 - loja 1 e 2 - COHAB, Santa Cruz de Minas - MG, 36328-000, Brasil",-21.1222565,-44.2275643,+55 32 99831-5983,https://www.instagram.com/fonsecaartesanato/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: 09:00–13:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Móveis lindos ,alta qualidade e o atendimento da Renata impecável.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noIY8Eg0REJiQkZw82Bkxr139NuVbTa4-vKk__JsR4q4BNxW6dRW73yb6IVhhynOFdKz4NFImBBwuHfdEKg0FlsqotGA_cMCr4qBH1LO-vunVWCSnfoawEIt0oFlTvRVLi6Qw5w=w80-h142-k-no,https://serpapi.com/images/url/y0OjjHicBcFLDoIwFADAE5WPVEQTF5SAIooRDUQ3RPm0BuwTWqh6Pw_hbZz5fZmUT7HQ9ZZZGgWgbTWIqi-Ay4pLrYCHTp8CFQIJ3fXmDHMIz45PjcTf3A_NRTkT0rx605rHQ3o7XTEaoybPNyLBHSbxK7PLJJtZ75sdpoy9-T4oow-Og_BBiBrWdelH1Aha0YFcuXmx83rckbW53aNx4GnmHXkNV-WH0oCgPY1Jur3bBzVVS-UYiJl4ghrE4Q-PEERc,https://serpapi.com/search.json?data_id=0xa1c730b92e3307%3A0x7bafc306a6a622aa&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c730b92e3307%3A0x7bafc306a6a622aa&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBzMuuTDHoQARqiKmpgbDr3s,"Ewbank da Câmara, MG",lojas_artesanato,2025-07-28T20:31:22.821739,COMPLETA
2,Darlene Artesanatos - Uberlândia,ChIJb6ksmq5FpJQR4Ag0gFVZnag,0x94a445ae9a2ca96f:0xa89d5955803408e0,12149965593473452256,/g/11b6g88tw5,4.5,3406,Loja de materiais para artesanato,"Loja de materiais para artesanato, Loja de aviamentos",craft_store,"Av. Afonso Pena, 1180 - Centro, Uberlândia - MG, 38400-706, Brasil",-18.9129388,-48.2736793,+55 34 3210-5438,http://www.darlene.com.br/,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–13:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrXuwG_5Q4fP8ZWqCY-tVP-8lt53YFP8-1ZyJzHYtuxb_HoEE5lk1SQWL7Pf6oQCx7QbIt80il5b_RezsGvpcIhXoeZOw5jWn-DZFiFQfU58-ce0iFadC_3II8xsX4qepWWtGU=w163-h92-k-no,https://serpapi.com/images/url/3uC3FHicBcHRboIwFADQL7oig2pd4sPCBFlMRl20wAsZXaHM2qK9CPp9-4n9jef8_ynE3r16nlbBrLW21XJw8iqsQWlwJuzZa3sHwoHz3qKVCs01H8akIixsMlryS1QAHjOgGklQxBkFv7x_PLYFDlNdbe1mQ_TJ_2J8t8yahWXRtGR1inTeaVJXe_lwya0XqcqtLD9H8ssNvJdxF7PmQCgIOe_i75-oCtKUTi4PL7LnHJPDevQXAajVC5zA2CdCrEOX,https://serpapi.com/search.json?data_id=0x94a445ae9a2ca96f%3A0xa89d5955803408e0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94a445ae9a2ca96f%3A0xa89d5955803408e0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJb6ksmq5FpJQR4Ag0gFVZnag,"Ewbank da Câmara, MG",lojas_artesanato,2025-07-28T20:31:22.821739,COMPLETA
3,Fazendo Arte,ChIJI72uLo7IoQARSdIh7CCa2jk,0xa1c88e2eaebd23:0x39da9a20ec21d249,4168813871276085833,/g/1ptylknt6,4.2,51,Loja de materiais para artesanato,"Loja de materiais para artesanato, Armarinho",craft_store,"R. Mal. Deodoro, 259 - Centro, São João del Rei - MG, 36300-074, Brasil",-21.1339944,-44.2600451,+55 32 99847-1567,http://www.alojafazendoarte.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:30; terça-feira: 09:00–17:30; quarta-feira: 09:00–17:30; quinta-feira: 09:00–17:30; sexta-feira: 09:00–17:30; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMfTEXlZXy7uk2_HftIoauR9cAECXXUCU6fJt1I=w138-h92-k-no,https://serpapi.com/images/url/C3Q9M3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngmxbiGpETFVFpXpptFO-RVuKZn1gaZJns6OocERHqHGqW5lVi6GlbbmhsoZthaaSbrZuXDwCvuiE5,https://serpapi.com/search.json?data_id=0xa1c88e2eaebd23%3A0x39da9a20ec21d249&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c88e2eaebd23%3A0x39da9a20ec21d249&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJI72uLo7IoQARSdIh7CCa2jk,"Ewbank da Câmara, MG",lojas_artesanato,2025-07-28T20:31:22.821739,COMPLETA
4,Ewbank da Câmara,ChIJPxGX7NULogARk_pkWPTH1J4,0xa20bd5ec97113f:0x9ed4c7f45864fa93,11444992405324233363,/m/09rt78j,,0,,,,"Minas Gerais, Brasil",-21.550805,-43.5092597,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noD3RLHBNboA1zvzV1K9tB5D8fNzdqZmctiUnBCFnrQLtnnNSrS1qInr6PFjXbNFme_UU5S-dwyMz3qPI12H4CEMjFi6lrzchcyPwHsqgBA6wwf3lyrDGJwYB7ElSmPoAr6tvga=w199-h92-k-no,https://serpapi.com/images/url/LDIthXicBcHdboIwGADQJ6qkIswu2QUFGf4RlGDUm2VWbNXyVdrOhr7fHsK38ZzXv7D2YT6DQIpwxJXisv0zrWYKbAt2xFQX8IdBzCATJCkRE1BZuF0VtDypBPun3-ElsTTKppfSn_tjx-y1AZrmoDcrC1DWusb9HHRc5bf9qcy79qdpohqd3bD2YV_N8biYpLP1Lb_GUnsm2FC5wvScJrFzl1AOOvteuAP9mMm6q1SiY_vkv18OE4IEGaM7AvUG_LNFpw,https://serpapi.com/search.json?data_id=0xa20bd5ec97113f%3A0x9ed4c7f45864fa93&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa20bd5ec97113f%3A0x9ed4c7f45864fa93&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJPxGX7NULogARk_pkWPTH1J4,"Ewbank da Câmara, MG",lojas_artesanato,2025-07-28T20:31:22.821739,COMPLETA
1,Material De Construcao Uniao,ChIJvdBXwpAMogARtPmzTmch6lw,0xa20c90c257d0bd:0x5cea21674eb3f9b4,6695200523625429428,/g/11hbk9vf29,4.7,15,Loja de materiais de construção,Loja de materiais de construção,building_materials_store,"Av. Santo Antônio, 551, Ewbank da Câmara - MG, 36108-000, Brasil",-21.547619899999997,-43.508972199999995,+55 32 3255-1685,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–17:00; terça-feira: 07:00–17:00; quarta-feira: 07:00–17:00; quinta-feira: 07:00–17:00; sexta-feira: 07:00–17:00; sábado: 07:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,"""Ótimo atendimento, preços acessíveis para a região.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xxXSzoWJMM5s13cL3uFf2g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=244.01079&pitch=0&thumbfov=100,https://serpapi.com/images/url/RWZbrnicHc09DoIwGADQ23SzP4BRTBo3ByOTg26mlI_2SwptaKHoabyWt9F4gfc-b5tSiAfGYpoA0oKQA67g4iYoarw3DlTASLUf2CJYsvPQjgrdMajRYyfX9X59-du5abZRlPpSzqe-MES3D-0QxiQjqElbavJPnHxHTYgkyz0nVtYFeaosi6qiXPBdTQImbSUn_6X3ixScfwF1aDlq,https://serpapi.com/search.json?data_id=0xa20c90c257d0bd%3A0x5cea21674eb3f9b4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa20c90c257d0bd%3A0x5cea21674eb3f9b4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJvdBXwpAMogARtPmzTmch6lw,"Ewbank da Câmara, MG",lojas_decoracao,2025-07-28T20:31:25.891387,COMPLETA
4,Parque De Exposições Vereador Samir Jorge Venâncio,ChIJXRiVvKIMogARGYMXvhuaXgw,0xa20ca2bc95185d:0xc5e9a1bbe178319,891319220209943321,/g/11dfgw5z_y,4,78,Centro de exposições,Centro de exposições,exhibition_and_trade_center,"R. Antônio D de Oliveira, Ewbank da Câmara - MG, 36108-000, Brasil",-21.551612799999997,-43.5027553,,,,,,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Gostei lugar tem espaço acomoda bem as pessoas""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrNFMkJm4fOyBYlM8Qk_-PeKc_a1QHK8TBuGKksjdvTozCqXFHhVijHwcmbWXH1oWXq0MEsk9uoIKDnvDYp0gclPgQI7gxS-WCitlCMeYn0VW3IqZFmW1Kx9CpbjXsZV1ry5tg=w122-h92-k-no,https://serpapi.com/images/url/wqQAdHicBcFdboIwAADgE1UoaiYme5hVBBucZIaCL2TUrpWWFmjx73xewtvs-94v4Vxnl56nxHTCjeGKjZYN1GjHtJtQ03q8s4BaYL0vFIqZHvZRKnft7O_7sSpVushkBQ4M0-oXZjFeHFfjFkvbnK9H80R9EcUivzTxjbY1KWJoSNH76cbKcDQJXuvruux8TtWBZ8kHv_8Agi5OoZSV2s_JNOlPUUsgvoeoq5vCnnI4POaOf95gEAARBkACbf4BxohFHA,https://serpapi.com/search.json?data_id=0xa20ca2bc95185d%3A0xc5e9a1bbe178319&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa20ca2bc95185d%3A0xc5e9a1bbe178319&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJXRiVvKIMogARGYMXvhuaXgw,"Ewbank da Câmara, MG",lojas_decoracao,2025-07-28T20:31:25.891387,COMPLETA
5,Loja Maconica Triplice Alianca,ChIJQfMeHZEMogARBOukpC-WoHY,0xa20c911d1ef341:0x76a0962fa4a4eb04,8547997224119102212,/g/11fmjyv8sw,,0,Instituição religiosa,Instituição religiosa,religious_institution,"Av. Santo Antônio, 679, Ewbank da Câmara - MG, 36108-000, Brasil",-21.546578,-43.509559599999996,,,,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IZSF7od7V7Fcq9f5blzRCg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=217.98457&pitch=0&thumbfov=100,https://serpapi.com/images/url/n6VVw3icHc1RCsIgGADg2_iWutFwC6SHwaDXgh56Cef-6Q9u2rRZnaZrdZuiC3zf521TCnHHWEwLQFoRcsAHuLgJihrvjQMVMFLtJ7YWLNn71M8K3T6o2eMgD5dTJ_wgzqLTt2asevc6tobo_qodwpxkBLVoS03-iYsfqAmRZFlzYmVTkqfKsiwEbeptJUjApK3k5L-MfpUF519g2TlP,https://serpapi.com/search.json?data_id=0xa20c911d1ef341%3A0x76a0962fa4a4eb04&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa20c911d1ef341%3A0x76a0962fa4a4eb04&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJQfMeHZEMogARBOukpC-WoHY,"Ewbank da Câmara, MG",lojas_decoracao,2025-07-28T20:31:25.891387,COMPLETA
