position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Doidão utilidades,ChIJac2p_gMqrAAR9owNzQAB1qs,0xac2a03fea9cd69:0xabd60100cd0d8cf6,12382085328453602550,/g/11cm0x08d4,5,2,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"R. Francisco Canúto, 1, Felício dos Santos - MG, 39180-000, Brasil",-18.0768229,-43.2476947,+55 31 3674-3325,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq0TkuBk1Iguapqq1IV5aIcmtwAq2uoOUrMOGUSEyUSWzdHbtSlPLp2w4Lc27A3Nuvnlz2P2wYCRKWFk9SrkSqQu28kv_UP6qGr42tvGj2U7lVoG5AiUqznu2J4821lK4h1n4mG=w122-h92-k-no,https://serpapi.com/images/url/6WzPu3icBcFRbsIgGADgE2HlF6ddsofOOKy62cnQ-GQca4pCoRRoY--3Q3gbv-_xL0No_GuSaDkZVdZWuoy-bIU1oTRhJGydVI1HwiOfZItUEuPGPyq-K5xX8dI4h_PD9JKLOvSZg2h3vP3cUc6Wd86Ow9_qNzBdbBvoyVbALJt8xc7oAQroT4v95vihUtYq5r4jzFV35sWLoy2B0NEb8Jk-WDrNrtwNJsKazAHrDZHYkJq-9RgAyRSQQsY-ARL3RIQ,https://serpapi.com/search.json?data_id=0xac2a03fea9cd69%3A0xabd60100cd0d8cf6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xac2a03fea9cd69%3A0xabd60100cd0d8cf6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJac2p_gMqrAAR9owNzQAB1qs,"Felício dos Santos, MG",lojas_presentes,2025-07-28T20:33:54.734834,COMPLETA
2,Mundo Gráfico,ChIJFV8liRsrrAARq58AtbbxzEk,0xac2b1b89255f15:0x49ccf1b6b5009fab,5317891027040772011,/g/11h3tjllxq,5,1,Papelaria,"Papelaria, Gráfica",stationery_store,"Praca Sagrado Coracao, 57, Felício dos Santos - MG, 39180-000, Brasil",-18.078209299999997,-43.2469604,+55 38 99810-2666,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,"""Muito bom atendimento""",https://lh3.googleusercontent.com/p/AF1QipPZ8UL3HJO6aDbhinKBeVgPgodDUQ1gyASlpsHa=w80-h120-k-no,https://serpapi.com/images/url/NXr5nnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEGUR6mPs4eVvluiSlJGZ5-2UGpYekJ6f4hIaaJhe6RicU1DskWhbbmGgm2FoZKCbrZuXDwCgTiFF,https://serpapi.com/search.json?data_id=0xac2b1b89255f15%3A0x49ccf1b6b5009fab&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xac2b1b89255f15%3A0x49ccf1b6b5009fab&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJFV8liRsrrAARq58AtbbxzEk,"Felício dos Santos, MG",lojas_presentes,2025-07-28T20:33:54.734834,COMPLETA
3,Clinica do Celular Felicio Dos Santos,ChIJr0paJQEqrAAR5K7ewsu9hOY,0xac2a01255a4aaf:0xe684bdcbc2deaee4,16610610008494616292,/g/11ckkw_trh,4.6,13,Loja,Loja,store,"R. Augusto Neves, 02 - Centro, Felício dos Santos - MG, 39180-000, Brasil",-18.0788317,-43.2478708,+55 38 99935-4205,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento muito bom, produtos de qualidade.""",https://lh3.googleusercontent.com/p/AF1QipP5-T29W9V_S5rMZ6kU5a5X0u2FjbOiXivVJ5YM=w80-h142-k-no,https://serpapi.com/images/url/asszgXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYKobYmQZbhkWH2xa5Btllh1qmmgaYVBq5JaV5J8ZkVkW5mUa6WtbbmGgm2FoYqSbrZuXDwB9WyA5,https://serpapi.com/search.json?data_id=0xac2a01255a4aaf%3A0xe684bdcbc2deaee4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xac2a01255a4aaf%3A0xe684bdcbc2deaee4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJr0paJQEqrAAR5K7ewsu9hOY,"Felício dos Santos, MG",lojas_presentes,2025-07-28T20:33:54.734834,COMPLETA
4,A.Cassia Presentes,ChIJOcPTVOWDrgARazwajLkIJYA,0xae83e554d3c339:0x802508b98c1a3c6b,9233796204005571691,/g/11j94z5spq,,0,Loja de cosmético,Loja de cosmético,cosmetics_store,"Sítio Bento Leite, Olivença, MG, Brasil",-18.0824244,-43.2592225,+55 82 98145-0167,,,,,,,,"Cartão de crédito, Cartão de débito",Entrega,,,,,https://serpapi.com/search.json?data_id=0xae83e554d3c339%3A0x802508b98c1a3c6b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xae83e554d3c339%3A0x802508b98c1a3c6b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJOcPTVOWDrgARazwajLkIJYA,"Felício dos Santos, MG",lojas_presentes,2025-07-28T20:33:54.734834,COMPLETA
5,JM DELIVERY,ChIJP_TNcgArrAARfXp4ju1SwZI,0xac2b0072cdf43f:0x92c152ed8e787a7d,10574824580293622397,/g/11ybf78_rm,5,3,Loja,Loja,store,"R. Tamboril, 81, Felício dos Santos - MG, 39180-000, Brasil",-18.0754053,-43.2436047,+55 11 97300-7685,https://www.instagram.com/jmdelivery_01/profilecard/?igsh=MTJtZWgyN3ZldmFxeg==,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: Fechado; terça-feira: 08:30–22:30; quarta-feira: 08:30–22:30; quinta-feira: 08:30–22:30; sexta-feira: 08:30–22:30; sábado: 10:00–22:30; domingo: 10:00–17:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nom6EFD4T6jYi2OD14Pz5JSRtc-mTu6uE4NbR3P3WRFdesu09PbkFsoM4froi-5r5Ehhs0d6LnuoT0sEfZaChcDRTVV9YOXN1udn9TuZ-QresDBE7K51j2M06Ee5kCwe2Tg9GBC=w80-h142-k-no,https://serpapi.com/images/url/ovGtUHicBcHdboIwGADQJ6oUaLt1yS4Uisk2lWGDP3daKlWkn-FrY7L320PsbXbO368L4YFvSXJ3-awH6O82op0M-GB9mBkYk_6BxCDBZF5IxzyMQlUl0-J2uGabMmX1D__YNsGQUUcRFVufm7zOd03VWYxU1uehQlixywRXwieunEPaiS8fQVNUl-OpcKZsdNvKw2a_TmPnpY5H8j1ZLBfq5ZOnt2xFhbJ8KJ42071cLor35yslLmUZGYiHfx8mQjE,https://serpapi.com/search.json?data_id=0xac2b0072cdf43f%3A0x92c152ed8e787a7d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xac2b0072cdf43f%3A0x92c152ed8e787a7d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJP_TNcgArrAARfXp4ju1SwZI,"Felício dos Santos, MG",lojas_presentes,2025-07-28T20:33:54.734834,COMPLETA
6,Central móveis e eletrodomésticos eletrônicos em geral,ChIJ81OYH7IrrAARXho6AwtNEws,0xac2bb21f9853f3:0xb134d0b033a1a5e,798066268668828254,/g/11p078zfl_,5,1,Loja de móveis,Loja de móveis,furniture_store,"Praça sagrado coração, 56 - Centro, Felício dos Santos - MG, 39180-000, Brasil",-18.0769362,-43.2467216,,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/p/AF1QipMaDYT0Y1xA8QWUzGChM8zh6bj3eEQp31A_PDDt=w119-h92-k-no,https://serpapi.com/images/url/wHe4f3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm-gSGWIQaVjhaBEYHlrl7pzha1GVYZaUZZzqGlhgbOgYH-DiUmJbbmhoqZthaaSbrZuXDwCQZiCH,https://serpapi.com/search.json?data_id=0xac2bb21f9853f3%3A0xb134d0b033a1a5e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xac2bb21f9853f3%3A0xb134d0b033a1a5e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ81OYH7IrrAARXho6AwtNEws,"Felício dos Santos, MG",lojas_presentes,2025-07-28T20:33:54.734834,COMPLETA
7,Virtual Lan House,ChIJh-5SJQEqrAAR3jWdX3aJTSU,0xac2a012552ee87:0x254d89765f9d35de,2687955694113338846,/g/11bxc7wmk4,5,1,Loja,Loja,store,"132,, R. Augusto Neves, 2, Felício dos Santos - MG, 39180-000, Brasil",-18.0788619,-43.247923799999995,,,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrHTVtISAXhiAUunX0zuKhxsbKVJkjnBXDvBAaD38-pHxD_v83N-13hNXq1nemxSclTdbT0eIsh0-Sam4IoU8or9gtbEHXovjsED3tBBg6MyhwXMcTHf1DgFr_WxKuUP2K8MkXlDA=w122-h92-k-no,https://serpapi.com/images/url/8qI5OnicBcHdDoIgGADQJyJ_aE3busCoac7WphZ3LYn4SgUTNOsFe4bepnN-X7C2M0vHaQDPpNayEYMRPdfKCmVnXLeO7AziBhmHrEOYqz4ujjbJCYM7KQfF3M-QwmSq9LirHypidIzIheIAdfFEz2OA98jDsGdPT4l2ynlTXKvCFYkBF-WXdp7oMtB9KG21iZkeH2ZDsY0iucje8GIZL-KbR-W2P5-mdCgPfhpkNWsoWb0830cQ-qhGSv8BgW9FaA,https://serpapi.com/search.json?data_id=0xac2a012552ee87%3A0x254d89765f9d35de&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xac2a012552ee87%3A0x254d89765f9d35de&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJh-5SJQEqrAAR3jWdX3aJTSU,"Felício dos Santos, MG",lojas_presentes,2025-07-28T20:33:54.734834,COMPLETA
8,Vitrine fashion,ChIJY2zMnMorrAAR1EvOwVnnEMA,0xac2bca9ccc6c63:0xc010e759c1ce4bd4,13839816027599162324,/g/11gpfqwx_6,4.7,3,Loja de Roupa,Loja de Roupa,clothing_store,"R. Santos Pena, 35 - Centro, Felício dos Santos - MG, 39180-000, Brasil",-18.075189899999998,-43.2483542,+55 38 99996-0513,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nphqUOU-srT4zMs99hagqwIwlpBY0_K3v_uhb-uPKDRgDLEtX_c464hVrObP4W7Oec47_xpDPw9z75dyQrBXYXwY_d2NdxomFTbHQ3OWIuSKLkQazlrZqtAIh6mAiVBTbZNEjlrxQ=w122-h92-k-no,https://serpapi.com/images/url/XbXV3XicBcFRToMwGADgE3Uo1JGa-AAyI2EOULbBXppRSH9doaUtFrmgZ_A2ft_fL1irzKPnCQg2XEou-tn0msnR9qPdMDl4XBnEDDJe9EwAjwqmY35ERld4fTOEwJVPLnVCxc0dzYJvOkOL5iJL3nmy39maMrzFcNJ5W-BzmPcMh3RRSeHIGj50P6WO66Z2De38Q7fI4aVqX8sgP6fzR7a_lddV6MtkoxS2Q_R5iqv2cth9Cb2UT-7e9xEQH93QKP8BsXtGZg,https://serpapi.com/search.json?data_id=0xac2bca9ccc6c63%3A0xc010e759c1ce4bd4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xac2bca9ccc6c63%3A0xc010e759c1ce4bd4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJY2zMnMorrAAR1EvOwVnnEMA,"Felício dos Santos, MG",lojas_presentes,2025-07-28T20:33:54.734834,COMPLETA
9,Eletro Mania,ChIJE-IK7QMqrAARiBUfoecpFLk,0xac2a03ed0ae213:0xb91429e7a11f1588,13336330471368234376,/g/11bxg2t8y0,5,3,Loja,Loja,store,"69,, R. Sinval Durães, 1, Felício dos Santos - MG, 39180-000, Brasil",-18.0760017,-43.2480452,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqrdvPlL2Ol4fmUx6ic0aGHSJldYgXfUM7ruHGm57m--3nMNTnKTyNmx_WKaAtjjFtxF5x9VgHASjvFZsJ6GbLEAiEbIdjsPp0eSqRK8l9fZ-xl9TW1iHohNFsGDJvXmpFwvtL4=w122-h92-k-no,https://serpapi.com/images/url/6yhahXicBcHbEoFAAADQL1pRuawZDw22VGIU4cXQZbfsJe2q9YE-wt845_clSjVybhiUWAMsBKbFWxZtJrgquBpkghm4kSCTQBrOEhKbv9q829PQ3FG7ZEc9qbLh3fVin-YXfC6P22n79lw2njIALL6NEh4kn4jpWxrcHVXXSGk01vCEPSeuO3SV_sR9hGunWj82eS33zbCIX4dgRmF5BZrCJB1VniARku7K786sQX2nQnvRj0wTEGiCJ-DiDwHGRSQ,https://serpapi.com/search.json?data_id=0xac2a03ed0ae213%3A0xb91429e7a11f1588&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xac2a03ed0ae213%3A0xb91429e7a11f1588&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJE-IK7QMqrAARiBUfoecpFLk,"Felício dos Santos, MG",lojas_presentes,2025-07-28T20:33:54.734834,COMPLETA
10,Mercearia Primos,ChIJo3GqDQQqrAARr3YOnyanpqY,0xac2a040daa71a3:0xa6a6a7269f0e76af,12008469240749127343,/g/11bx64dk9f,4.5,98,Supermercado,Supermercado,supermarket,"Praça Sagrado Coração, 220 - Centro, Felício dos Santos - MG, 39180-000, Brasil",-18.0762537,-43.246760099999996,+55 38 99986-1272,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:00; terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 07:00–18:00; domingo: 07:00–12:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega sem contato, Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrSDjgBhFljJpGmnIL2I-PKku4iEGY8AJC3QQgVbabb5wPJqsykRUrxICkSGxyYwjuf2joQTo1bm-AiIGcOz1IqlDRQnVu7dVKx48OvciY6EK3a3CCpbdKboe9smdNGOdHxP8LD_w=w122-h92-k-no,https://serpapi.com/images/url/Ct7j7HicBcHbboIwAADQL6qEwhyY7AGL1oKRi0rC02ILa7m1SGHAftBv8G92zvslxrHXO8NohbXhSvG2nHQ5MCXHUo4bpjqD9xowDbThIVfYcrj6Nd-LY1sHPe4kOUMC4rCZ7OqAc8cLkJUkPKMPSj_mOHjqtUnvw0JQc8XLms_19ANrldyUSTvgVQSz6M8kz9ZPE5lNn0UWLrYT_bIq3x5C62Eh1NMipKp0dVdccFScltg5-9_z12xCCIQLQQOk-geJ4UW9,https://serpapi.com/search.json?data_id=0xac2a040daa71a3%3A0xa6a6a7269f0e76af&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xac2a040daa71a3%3A0xa6a6a7269f0e76af&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJo3GqDQQqrAARr3YOnyanpqY,"Felício dos Santos, MG",lojas_presentes,2025-07-28T20:33:54.734834,COMPLETA
