position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Loja Adhonay,ChIJn-ScG32FrwARbspjo7y8l74,0xaf857d1b9ce49f:0xbe97bcbca363ca6e,13733653107070716526,/g/11rkj2dpw_,5,16,Loja de Roupa,Loja de Roupa,clothing_store,"R. Santana, 35 - Ferros, MG, 35800-000, Brasil",-19.233209799999997,-43.0216673,+55 31 99817-0347,https://instagram.com/loja.adhonay,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Ótima loja super recomendo!!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrVEWdn03jXF9_ekNg5YBHeMFxmfioTnpTFaCVwtBJN7ZhbIk0uDc_JdgOZBmWcS-GtIEA4qBLYcCYAzVPLNuzsjaP1mm7hwxhVQFQyiMM-5-MO5GjBgZz8WPmzG-ho5nFhi3wq=w122-h92-k-no,https://serpapi.com/images/url/AtcmW3icBcHRboIwFADQL7qiIFGW7IEyyzSCmBkQXoyrXS9gW7QlOP7Pj_BvPOf1RGs78-E4V_QmQmtx5b3hd6aV5cpOmJaO6AwwA8YJowDn6p6viouaes2RBifepsIvyTdP6EP-1fqgugM9R_lgySZdVPi7bqf9FzttLmJXEVmwH4jtehXOb2RbsqgMxzzbpv1omnM2k3KBwwPzPd3_10kCPiQ7P26IqMZlkckxBtS-olh7w-1zmLkuYOBCC0q_AejeRNk,https://serpapi.com/search.json?data_id=0xaf857d1b9ce49f%3A0xbe97bcbca363ca6e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf857d1b9ce49f%3A0xbe97bcbca363ca6e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJn-ScG32FrwARbspjo7y8l74,"Ferros, MG",lojas_presentes,2025-07-28T20:36:59.531506,COMPLETA
2,Loja da ARACI,ChIJ8_tSR0uFrwARmW_K3g_ZQW0,0xaf854b4752fbf3:0x6d41d90fdeca6f99,7872812285805883289,/g/11q1vcmkxk,5,1,Loja,Loja,store,"R. Dr. Júlio Drumond, 178 - Ferros, MG, 35800-000, Brasil",-19.2303626,-43.022001599999996,+55 31 3863-1265,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–17:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipPZDjrxawV_78tC8omUidOX3Ixq7LyW5F1qxUrc=w91-h92-k-no,https://serpapi.com/images/url/9DW4vHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEOWSVVSRWB4Wb25R4myRnxuameIfYexZUWjuUxlu6mZYWBFalGxbbmmom2FppJutm5cPAJqtIZQ,https://serpapi.com/search.json?data_id=0xaf854b4752fbf3%3A0x6d41d90fdeca6f99&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf854b4752fbf3%3A0x6d41d90fdeca6f99&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ8_tSR0uFrwARmW_K3g_ZQW0,"Ferros, MG",lojas_presentes,2025-07-28T20:36:59.531506,COMPLETA
3,Sofia Laços,ChIJ6zP3zT2FrwARqlV_2UtbNc8,0xaf853dcdf733eb:0xcf355b4bd97f55aa,14930940520946423210,/g/11kk8njx1y,5,21,Loja de acessórios de moda,Loja de acessórios de moda,fashion_accessories_store,"Av. Amir Soares de Carvalho, 143 - São Cristóvão, Ferros - MG, 35800-000, Brasil",-19.229786,-43.0199924,+55 31 99637-8695,https://www.instagram.com/sofiaa_lacos/?igshid=NTc4MTIwNjQ2YQ%3D%3D,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:30; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 10:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,"""Excelente eu amo os produtos da loja e o atendimento e excelente.""",https://lh3.googleusercontent.com/p/AF1QipM-B7POSabBY6WeFXB0O4YQ8CRU3n5f_q_RgNIq=w80-h106-k-no,https://serpapi.com/images/url/qRFIyXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngq-tkHuAfnJjkFGkWnuoW4WTgbxIZaOEcFGqcZ5oWXxgflO7nWWhbbmGgm2FoYKabrZuXDwB9EiA2,https://serpapi.com/search.json?data_id=0xaf853dcdf733eb%3A0xcf355b4bd97f55aa&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf853dcdf733eb%3A0xcf355b4bd97f55aa&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6zP3zT2FrwARqlV_2UtbNc8,"Ferros, MG",lojas_presentes,2025-07-28T20:36:59.531506,COMPLETA
4,VEGA MODA BRINQUEDOS ACESSÓRIOS,ChIJA2iZZG6FrwARbzyKmelhju0,0xaf856e64996803:0xed8e61e9998a3c6f,17117726889613081711,/g/11h12j08z6,5,1,Loja de Roupa,Loja de Roupa,clothing_store,"R. do Rosário, 32-92 - Ferros, MG, 35800-000, Brasil",-19.231344,-43.0201174,+55 31 99509-1961,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np4ONYJiyjA6me87aAfUi3WEFT-D9zBF23St6W-Lo6U_QP4f0rKmWca-AZn7muc439qWaiyINNbGZx4oCxP3llTTFLQ8dqrogWgD4RTwYPu-tT5pTo69IHVBSGTKFSMcuwo1_hZ=w80-h113-k-no,https://serpapi.com/images/url/k-GGsHicBcFBcoIwFADQE30BkyJ0xgVisVaLWGIzsnFoigkV8pGEQXs_D9Hb9L2_h7K2M8-O0ygykYiyqQZT9QK1rbSdCGwd2RkQBowTxaGiuqO79PhW338iv62CWRmdDzXhLwmDZfi7SKYktz6HLfqH0z6jZ7fftFyUEBV61g6CkvDKy_q-TtOvVXGjGN8y0jSMJdt98H3tUXK5pB9sPGYDWPbUMfTD9evnIl-xTZK_i2FE76SK-Ri4oDyPwAU0_gMsZ0Mm,https://serpapi.com/search.json?data_id=0xaf856e64996803%3A0xed8e61e9998a3c6f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf856e64996803%3A0xed8e61e9998a3c6f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJA2iZZG6FrwARbzyKmelhju0,"Ferros, MG",lojas_presentes,2025-07-28T20:36:59.531506,COMPLETA
5,Floricultura Metamorfose,ChIJTWC_qs-PrwAR0zK2ivPspR8,0xaf8fcfaabf604d:0x1fa5ecf38ab632d3,2280489317081428691,/g/11vdx3kkw3,4.5,2,Floricultura,Floricultura,florist,"R. Arthur Couto, 301 - Ferros, MG, 35800-000, Brasil",-19.237021,-43.017663999999996,,,,,,,,,"Cartão de crédito, Cartão de débito",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npxuRMwTeoqiii9YgE0ufC1cSDm6OBBvfLKwQZZOT1D4-h-VMAIgD52RNFjrpONw8igiFx9UuC9bRvEJGEOXW62WLuE1H4eCv3_KM_nE16qY6ivv9oTbLNawsl9rVFd2K9kLqA=w189-h92-k-no,https://serpapi.com/images/url/VgZdd3icBcFbcoIwFADQFUUMUsbbmX4ghGp5TSlq9cdRGpNUTICQxAV2E92N5_z_8Wnq9avndXwxY0qxjhpNx1bJicpp1qq7x3qNWo20F8XAA9k_TF24hqpBCAEHRubmGuP2K7mH1Wplr3nmPo_HqsFJgDjaFdGGJS9-Xaa_Y1-VbimYSB-wNTFcaks-3kn1vQ_9fW4IXgc0totTVpwkweFwCIW1oJpLXp6d7mDcpT9-Brd8iN4cXgLi4KMbkuoJUbFDNA,https://serpapi.com/search.json?data_id=0xaf8fcfaabf604d%3A0x1fa5ecf38ab632d3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf8fcfaabf604d%3A0x1fa5ecf38ab632d3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJTWC_qs-PrwAR0zK2ivPspR8,"Ferros, MG",lojas_presentes,2025-07-28T20:36:59.531506,COMPLETA
6,Loja novidades,ChIJa-HzOQCFrwARHu_YcWqtafA,0xaf850039f3e16b:0xf069ad6a71d8ef1e,17323568114345504542,/g/11vpqx9tcr,,0,Loja,Loja,store,"R. Amir Soares de Carvalho - Ferros, MG, 35800-000, Brasil",-19.2297934,-43.0201229,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_ABb6iWJmu2n3CTaYShzug&cb_client=search.gws-prod.gps&w=80&h=92&yaw=198.82646&pitch=0&thumbfov=100,https://serpapi.com/images/url/duTCr3icHc1RCsIgGADg2_iWuhVjCySqt14Loqfh3J_-4FSm0-o0XavbFF3g-z5vk1KIW8ZimgFSRigBH2DjKkiqvdcWZMBIlZ9YrlgyyzQ4iXYXpPM4in5_GBq8nqalduvjRd7O5rVoooZeWQSXRAQ5K0N1-YmzH6kOkRTRcmJEV5OnLKLqWtrWzaYhAZMygpP_cvdZVJx_AX-3Oa8,https://serpapi.com/search.json?data_id=0xaf850039f3e16b%3A0xf069ad6a71d8ef1e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf850039f3e16b%3A0xf069ad6a71d8ef1e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJa-HzOQCFrwARHu_YcWqtafA,"Ferros, MG",lojas_presentes,2025-07-28T20:36:59.531506,COMPLETA
7,Casa Moacir Lage,ChIJC5GAHjyFrwARiyG5I1xJlRg,0xaf853c1e80910b:0x1895495c23b9218b,1771402688525312395,/g/11fwj695v9,5,1,Loja de móveis,Loja de móveis,furniture_store,"R. Fernando Dias de Carvalho - Centro, Ferros - MG, 35800-000, Brasil",-19.2318182,-43.021774,+55 31 3863-1279,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–16:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipMWJWgEnkgNvtYXwjo7RGwpQ4YaNmalQjjLwxs=w80-h379-k-no,https://serpapi.com/images/url/nzOBH3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG-4Vnu6al53uV1YSGVGelW8e5F5eEGgSmeiXm5gTmJXlU15RbFtuYaCbYWxuqZutm5cPAKxsIjw,https://serpapi.com/search.json?data_id=0xaf853c1e80910b%3A0x1895495c23b9218b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf853c1e80910b%3A0x1895495c23b9218b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJC5GAHjyFrwARiyG5I1xJlRg,"Ferros, MG",lojas_presentes,2025-07-28T20:36:59.531506,COMPLETA
8,MG CESTAS E FLORES,ChIJn4pCUWKFrwARMIEmFfqlpI0,0xaf856251428a9f:0x8da4a5fa15268130,10206465149043638576,/g/11md79vjb8,,0,Floricultura,Floricultura,florist,"R. Dr. Júlio Drumond, 203 - Ferros, MG, 35800-000, Brasil",-19.2288265,-43.0215677,,,,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=qE6cdI3QZ194ZQOI0oJvqQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=262.48715&pitch=0&thumbfov=100,https://serpapi.com/images/url/ouuNJHicHc1NEoIgGADQ27CLHzPTZhhXLWzTuHXTIBJ8MygoBHWbrtVtarrAe5-3idGHEyEhbkrFBCp7eCobdl5g7Zy2SngIWLqZJEaieczjIsC2XiwOJr6eKzl1-35gTTn01466S1p7JMebtKCWyIMSmzRY55-4uQlrH1DmNUWGNwV6icyLqsBlfWQH5CFKwyn6L3eXOKP0C0CUOOc,https://serpapi.com/search.json?data_id=0xaf856251428a9f%3A0x8da4a5fa15268130&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf856251428a9f%3A0x8da4a5fa15268130&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJn4pCUWKFrwARMIEmFfqlpI0,"Ferros, MG",lojas_presentes,2025-07-28T20:36:59.531506,COMPLETA
9,Comercial PP,ChIJV7cUBX2FrwARU3F-oAwgJO4,0xaf857d0514b757:0xee24200ca07e7153,17159875718792769875,/g/11f2wlrxtd,4.6,118,Supermercado,Supermercado,supermarket,"R. Santana, 59 - Ferros, MG, 35800-000, Brasil",-19.233477999999998,-43.0214514,+55 31 3863-1440,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–20:00; terça-feira: 07:00–20:00; quarta-feira: 07:00–20:00; quinta-feira: 07:00–20:00; sexta-feira: 07:00–20:00; sábado: 08:00–18:00; domingo: 08:00–12:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC, Pluxee","Entrega sem contato, Entrega, Retirada na loja",,"""Excelente para fazer compras, açougue, bebidas e etc...""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqzicbrimg_048u2Wm91w-3RpUZOHcvgjveUUkJNXQ_KJuZ16NObAbIMKYoKn_dIk3M5M44lTzLYJ-GPa6Pps19BTbdt3rphkEVg1h-nDwjTYDEqhef2pMM2cnzu09uSkl4r6gX=w199-h92-k-no,https://serpapi.com/images/url/j4yoLHicBcFRkoIgAADQE5Gh5CzN7EetTaVLtZtu2Y-TRFAokEDOeL8Osbfpvf-XcM7YaRA0IhpxrXnDvGUd1cox5UZUtwE3FlALbDD7wgKpx3CjdXdreTVGHz48tBj2IPo1xWm7ok9-f7KikOnm-FNlqT_BeLOtZ_WaZKXOVHVZy4hMCEJNPnyXKVjuzvHOWIjneX1xUWeEXPxxKIBK-nteJouHYNfQEBJSNfgx9nvZoC7mx88eYgwEDoEESr8B0hREjg,https://serpapi.com/search.json?data_id=0xaf857d0514b757%3A0xee24200ca07e7153&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf857d0514b757%3A0xee24200ca07e7153&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJV7cUBX2FrwARU3F-oAwgJO4,"Ferros, MG",lojas_presentes,2025-07-28T20:36:59.531506,COMPLETA
10,Ana Eletromóveis,ChIJT7GTKWOFrwARST0SGu3HSS4,0xaf85632993b14f:0x2e49c7ed1a123d49,3335416820203142473,/g/11gfbbd25r,4.9,9,Loja de móveis,Loja de móveis,furniture_store,"R. Fernando Dias de Carvalho, 328 - Centro, Ferros - MG, 35800-000, Brasil",-19.230912099999998,-43.0221659,+55 31 3863-1498,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Entrega no mesmo dia",,"""Excelente atendimento e qualidade nos produtos!!!""",https://lh3.googleusercontent.com/p/AF1QipOcgnVi00Oe5sX18Rq9nRr6uGhrc80E1ocy0ZDU=w94-h92-k-no,https://serpapi.com/images/url/_O3E4XicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn5yeF5ZpYOCfalocYWgRVGiZF1RkVuqeUZRsYeBqmJ9caRDlEmpbbmmim2FppJutm5cPAH-GILo,https://serpapi.com/search.json?data_id=0xaf85632993b14f%3A0x2e49c7ed1a123d49&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf85632993b14f%3A0x2e49c7ed1a123d49&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJT7GTKWOFrwARST0SGu3HSS4,"Ferros, MG",lojas_presentes,2025-07-28T20:36:59.531506,COMPLETA
