position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,"Casa Das Latas - Ouro Preto, MG",ChIJSVoBjcULpAARwJymhTg6RkA,0xa40bc58d015a49:0x40463a3885a69cc0,4631453281232002240,/g/11q1tqxvv2,4.7,49,Loja de Presentes,Loja de Presentes,gift_shop,"Praça Tiradentes, 4 - Ouro Preto, MG, 35400-000, Brasil",-20.385536899999998,-43.503326699999995,+55 31 99923-1019,http://instagram.com/casadaslatasouropreto,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Os doces são gostosos, mas considere comer plástico em alguns.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrQS4dkg_Ys-PYpByCcwYmBgoztl1IuNV_xB7tQ-0dturiA5X9sniWusX38UvbMVbdn2wAbxP9YGNqRmIaienTCj3BptH4KOGtBr8MuiDmCvu_2PjcbyGwJoDCvRQolbBq2_A1c=w134-h92-k-no,https://serpapi.com/images/url/Uo2XtnicBcFJDoIwFADQE1VkMIqJC1oSRKOCMytiCylji_QX1Pt5CG_je79vAdCppWE0hT3hUvIm1yrvmRSQC5gw2Rq8U4gppAyPuIUj-vjkZDVPE4WipMNvwsakxVx-oDFDvb-mLzyHGE0z0H3pze6uEuVNq7u9uAx0d6WZsEaPviI3CfbPYxs-ylycSWXjDtbO9hAA7hc7XfotGXRqRRWj72DcSJ8Mx1g2FD-t1DPZajRtBxWuhWok5B9utEYw,https://serpapi.com/search.json?data_id=0xa40bc58d015a49%3A0x40463a3885a69cc0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa40bc58d015a49%3A0x40463a3885a69cc0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJSVoBjcULpAARwJymhTg6RkA,"Glaura, MG",lojas_presentes,2025-07-28T20:39:45.299284,COMPLETA
2,Com Afeto Presentes,ChIJ8bP5ZXkLpAARMj6iayMPq5M,0xa40b7965f9b3f1:0x93ab0f236ba23e32,10640615189396995634,/g/11jr9mzfhh,5,10,Artesanato,Artesanato,handicraft,"R. Heli Coelho Neto, 330 - Novo Horizonte, Ouro Preto - MG, 35402-309, Brasil",-20.4039695,-43.5037601,+55 31 98468-8666,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 09:00–17:00; sábado: 10:00–16:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótimos produtos, tudo muito bem feito que transmite  o amor colocado.""",https://lh3.googleusercontent.com/p/AF1QipMv_7cPQzpfsT0PZn8gM-HOA2bylg0N7pLsD0uN=w80-h94-k-no,https://serpapi.com/images/url/T0q_5nicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngWxZvnhwQWFWQVhxiEBCVZ5Huq-vh72iUVJmTbuBnXuBT7GJQ6mdbbmGgm2Fpoputm5cPAIpFIPM,https://serpapi.com/search.json?data_id=0xa40b7965f9b3f1%3A0x93ab0f236ba23e32&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa40b7965f9b3f1%3A0x93ab0f236ba23e32&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ8bP5ZXkLpAARMj6iayMPq5M,"Glaura, MG",lojas_presentes,2025-07-28T20:39:45.299284,COMPLETA
3,Colé Presentes,ChIJV5RD0OEKpAAR63nyGmtgl8Y,0xa40ae1d0439457:0xc697606b1af279eb,14310012354122906091,/g/1tfqmlxc,4.7,12,Loja de moda feminina,"Loja de moda feminina, Loja de Roupa, Loja de fantasias, Loja de acessórios de moda, Loja de lingerie, Loja de roupas com tamanhos especiais",womens_clothing_store,"R. São José, 3 - Centro, Ouro Preto - MG, 35400-066, Brasil",-20.3845728,-43.5061828,+55 31 98372-7979,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipOS0U8T1t2WkjndxG2jM7KIeuFvAZst0DYtpP_c=w92-h92-k-no,https://serpapi.com/images/url/qxzU43icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH2wQahFiWGIUnp2Vl1LhbpTla-7tmVrqVuYYVVxi4BJZUhAQn2xbbmmkmwHE2bp5-QCBjyEi,https://serpapi.com/search.json?data_id=0xa40ae1d0439457%3A0xc697606b1af279eb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa40ae1d0439457%3A0xc697606b1af279eb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJV5RD0OEKpAAR63nyGmtgl8Y,"Glaura, MG",lojas_presentes,2025-07-28T20:39:45.299284,COMPLETA
4,Vila Glaura,ChIJHz8G9_kFpAAReBL3DtUaWlY,0xa405f9f7063f1f:0x565a1ad50ef71278,6222315337547190904,/g/11ft01m0nd,4.8,43,Cama e café,Cama e café,bed_and_breakfast,"R. Pio XII, 28 - Glaura, Ouro Preto - MG, 35408-000, Brasil",-20.2951983,-43.6421649,+55 31 99347-5919,https://www.vilaglaura.com.br/,,,,,,,,,,"""Que lugar lindo, aconchegante, cheio detalhes e amor por todos os lados.""",https://lh3.googleusercontent.com/gps-proxy/ALd4DhF9uUv2K3cDo6F9g8Q0D4cjqsUPCOsdGPsAwZOAyBLqLSMAhc6OMU3zgEASOawvfTh65RPgwHt9bvOT5xStm5z-vEzLUUuVweoh7vI3LQVlWUMd-Lr8zcU9S3g-lo7WlRGZUvTcYZ06xlSgaRNzFRw3gJieDTic8fnQa6UMn2e3GOS4MBE_B_s4=w124-h92-k-no,https://serpapi.com/images/url/0MCJOXicBcFLUoMwAADQE6VUAhSccQHy8QOmENKObDoYaFJNCSXhU27qRVz73u8f17pXj4YhONwwKZloR9UOVHa67fSGyqvBegX6QS53w08bK-SxN5LJfIc0lE7sMTffhhb9vimyf0aqSfbKnyvk34P0luLM59RBGYEri3yM6nk6l9yxiz2bX7T3NaHSXrC-2iuYojUlZDzMreS76RWm-UEcSdaAdHBXSjwMGRBydxRFUpGppJ_V1lkEZnXxscbFDNnbpQ3LC3XPXV47JOvMFiYIW1kQnYKTsp7mB9MC3DPBD-jkP_48VR4,https://serpapi.com/search.json?data_id=0xa405f9f7063f1f%3A0x565a1ad50ef71278&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa405f9f7063f1f%3A0x565a1ad50ef71278&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJHz8G9_kFpAAReBL3DtUaWlY,"Glaura, MG",lojas_presentes,2025-07-28T20:39:45.299284,COMPLETA
5,ARMAZEM DAS COISAS PAPELARIA E PRESENTES,ChIJAxHi7gkLpAARKvWdG5kYXMk,0xa40b09eee21103:0xc95c18991b9df52a,14509499145353295146,/g/11k314vc1s,4.3,3,Loja de presentes,"Loja de presentes, Copiadora, Loja de produtos de papelaria",novelty_store,"R. Padre Tobias, 50A - Ouro Preto, MG, 35400-000, Brasil",-20.3891056,-43.500482399999996,+55 31 98573-6484,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPIDEDOaYxTjM3DNxgnfDPaKFMjwwyGADIodUrP=w80-h106-k-no,https://serpapi.com/images/url/HsDZI3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4Oni6uKfGFkRkuVr7OJXkZ6X5hKQ6O3mm1VeXunu6OKZnxJaFGBbbmGgm2FoYKabrZuXDwCr5CGD,https://serpapi.com/search.json?data_id=0xa40b09eee21103%3A0xc95c18991b9df52a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa40b09eee21103%3A0xc95c18991b9df52a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJAxHi7gkLpAARKvWdG5kYXMk,"Glaura, MG",lojas_presentes,2025-07-28T20:39:45.300289,COMPLETA
6,Emporio Origem,ChIJLc_m8fELpAARHBRchU1jcPc,0xa40bf1f1e6cf2d:0xf770634d855c141c,17829860109360829468,/g/11ft_dk6yp,5,73,Loja de presentes,"Loja de presentes, Loja de artigos de aromaterapia, Fornecedor de produtos de beleza, Loja de queijos, Loja de alimentos congelados, Loja de cestas de presente, Empório gourmet, Loja de especiarias, Loja de chás, Importador e atacadista de vinhos",novelty_store,"Av. Juscelino Kubitscheck, 776 - Vila Itacolomy, Ouro Preto - MG, 35400-000, Brasil",-20.4005598,-43.5053361,+55 31 3551-3626,https://www.instagram.com/emporio.origem/,Fechado ⋅ Abre ter. às 09:30,Fechado ⋅ Abre ter. às 09:30,"segunda-feira: 09:30–12:30, 13:45–18:30; terça-feira: 09:30–12:30, 13:45–18:30; quarta-feira: 09:30–12:30, 13:45–18:30; quinta-feira: 09:30–12:30, 13:45–18:30; sexta-feira: 09:30–12:30, 13:45–18:30; sábado: 09:00–13:00; domingo: Fechado",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega sem contato, Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNEHdTTeMXsZit_jKV-N2KBj1pe3tB-PjZkZi1B=w80-h106-k-no,https://serpapi.com/images/url/1e-NtnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng5-qREhKS6htRHJVZEp_lHabrZ-TtlGVYkGpc4qQbkBWVHZVp6GRbbmGgm2FoYKabrZuXDwCjTCDw,https://serpapi.com/search.json?data_id=0xa40bf1f1e6cf2d%3A0xf770634d855c141c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa40bf1f1e6cf2d%3A0xf770634d855c141c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJLc_m8fELpAARHBRchU1jcPc,"Glaura, MG",lojas_presentes,2025-07-28T20:39:45.300289,COMPLETA
7,Delicia Mineira de Glaura,ChIJMyQdPE0FpAAR552wZUCia30,0xa4054d3c1d2433:0x7d6ba24065b09de7,9037495474716712423,/g/11lljffgz7,4.7,12,Fornecedor de produtos alimentícios,Fornecedor de produtos alimentícios,food_products_supplier,"Centro de, R. Padre Manuel Maria, 22 - Glaura, Ouro Preto - MG, 35408-000, Brasil",-20.298857899999998,-43.6425567,+55 31 99747-5147,https://instagram.com/de.glaura,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,"""Produtos feitos com muito carinho e de forma artesanal.""",https://lh3.googleusercontent.com/p/AF1QipOsLAMWUBCRXsFhpVp7CccoQPumpHYM1XgY3qzr=w80-h105-k-no,https://serpapi.com/images/url/98LZ23icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX-zj6Bse6uQcFFHsllEQVmDunJycHxhQmlvgEelrGJEeaVxYVWRbbmGgm2FoYKqbrZuXDwCx3yGs,https://serpapi.com/search.json?data_id=0xa4054d3c1d2433%3A0x7d6ba24065b09de7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4054d3c1d2433%3A0x7d6ba24065b09de7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJMyQdPE0FpAAR552wZUCia30,"Glaura, MG",lojas_presentes,2025-07-28T20:39:45.300289,COMPLETA
8,Natália Vitória Cesta e Presentes,ChIJFQhfuL1EjkARouRWspNxfwA,0x408e44bdb85f0815:0x7f7193b256e4a2,35872201208423586,/g/11kpk9xg69,5,81,Loja de cestas de presente,"Loja de cestas de presente, Perfumaria",gift_basket_store,"R. Centenário, 15 - Bonsucesso, Belo Horizonte - MG, 30622-620, Brasil",-19.9923353,-43.983173,+55 31 99111-2137,https://www.ifood.com.br/delivery/belo-horizonte-mg/natalia-vitoria-cestas-e-presentes-bonsucesso-barreiro/d2592dfa-fd78-4d8e-972f-17fab2058990,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNbpKETfowFBNvV0YNN-uufdHc73WxtCZ46RucY=w80-h111-k-no,https://serpapi.com/images/url/YpOZRHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl1Tg7RqSll_u5uRXFmYQ6eenW1qaluKRbG4cXlHiHGViFlSaHGlbbmGgm2FoaKibrZuXDwCuFSFM,https://serpapi.com/search.json?data_id=0x408e44bdb85f0815%3A0x7f7193b256e4a2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x408e44bdb85f0815%3A0x7f7193b256e4a2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJFQhfuL1EjkARouRWspNxfwA,"Glaura, MG",lojas_presentes,2025-07-28T20:39:45.300289,COMPLETA
9,Cesta & Afeto,ChIJdT3LgW8LpAARaa1CO2_Hy20,0xa40b6f81cb3d75:0x6dcbc76f3b42ad69,7911636450955930985,/g/11x8ptxfl9,,0,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. José Mendes - Saramenha, Ouro Preto - MG, 35402-531, Brasil",-20.4079309,-43.5292483,+55 31 99730-9240,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:00; terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: 08:00–17:00; domingo: 09:00–12:00,,,,,,,,https://lh3.googleusercontent.com/p/AF1QipP0UoGHU781bMk4Ag1VGJuVzxCXQ_mV8vvsByqI=w163-h92-k-no,https://serpapi.com/images/url/13MU5XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYBCa7-4Ram5hmOSbbeKYbhjm7lUaVlXhHBEYnxtmUVZW7FRZ6GlbbmhmrJthaaSbrZuXDwCXDSEp,https://serpapi.com/search.json?data_id=0xa40b6f81cb3d75%3A0x6dcbc76f3b42ad69&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa40b6f81cb3d75%3A0x6dcbc76f3b42ad69&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJdT3LgW8LpAARaa1CO2_Hy20,"Glaura, MG",lojas_presentes,2025-07-28T20:39:45.300289,COMPLETA
10,Fratelli Presentes,ChIJtzFkQ5a9pgARrwEKROLenR8,0xa6bd96436431b7:0x1f9ddee2440a01af,2278222049904820655,/g/11kq8_pb4g,5,1,Loja de presentes,Loja de presentes,novelty_store,"R. José Paulo Souza, 88 - Santa Helena, Belo Horizonte - MG, 30642-630, Brasil",-19.9886262,-44.0139974,+55 31 98570-7595,http://www.instagram.com/fratelli.presentes,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–16:00; terça-feira: 09:00–16:00; quarta-feira: 09:00–16:00; quinta-feira: 09:00–16:00; sexta-feira: 09:00–16:00; sábado: 09:00–15:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npT7BURMcEjOKrfIzrmv1GB_anyymeuRX6COIeY78bo-eCD4ZXBt9qQxqz18OuDndi5PwS-mAsQ1gVGMHZI0hZooenLg0GLE24et2yN5cq6fXag6eQK6L2E2s3qeqXUxxVQ0aqY=w163-h92-k-no,https://serpapi.com/images/url/GuI82nicBcFRboIwGADgE1WgYJUlPggSRkQZOgzysmD9bafSUloUvJ-H2G32fX9vbkyrPyzrzt0Jk5LdodfQUSkMCDOhsrFYqxHVSFvL0OeeaL9nQbHb0OiarbtL8uqahxMHP7UYxwb6XUnCLIHjbH6SCMKVV5WB8VU-qJczz_qVOP9Ov5571Cx17rBDvPmsEptXUoJImR2nEfbA4HE7pYpcypoRyNckxRHWrgJVFsNwyO1aHRdPh7iI-xjdkJD_1ElETw,https://serpapi.com/search.json?data_id=0xa6bd96436431b7%3A0x1f9ddee2440a01af&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bd96436431b7%3A0x1f9ddee2440a01af&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJtzFkQ5a9pgARrwEKROLenR8,"Glaura, MG",lojas_presentes,2025-07-28T20:39:45.300289,COMPLETA
