position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,PAPELARIA RABISCO,ChIJ1fWTIeXTrgARUlBMZfXf67w,0xaed3e52193f5d5:0xbcebdff5654c5052,13613220543716937810,/g/11q8gpqnrp,5,4,Papelaria,Papelaria,stationery_store,"Praça Vereador Franscico Xavier de Oliveira Centro, Gouveia - MG, 39120-000, Brasil",-18.4568472,-43.7422964,+55 38 99969-5686,https://www.instagram.com/pape_rabisco/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–16:00; sábado: Fechado; domingo: 08:30–11:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,"""Sempre que estiver em Gouveia e precisar é na Rabisco que vou.""",https://lh3.googleusercontent.com/p/AF1QipM8agL7qggSJoeov4C-DOwWjr8aePjcgq-FTvZ9=w92-h92-k-no,https://serpapi.com/images/url/N_u1P3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga5GY7mNemJ4e7JWfml9m4qzr4l8enlVkkZgakJWcXqjrFlIWZWlbbmmkmwHE2bp5-QCQlSFV,https://serpapi.com/search.json?data_id=0xaed3e52193f5d5%3A0xbcebdff5654c5052&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed3e52193f5d5%3A0xbcebdff5654c5052&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ1fWTIeXTrgARUlBMZfXf67w,"Gouveia, MG",lojas_presentes,2025-07-28T20:42:47.267149,COMPLETA
2,Link Presentes e Utilidades,ChIJoTQ1y-jTrgARHGA-TBMNnVw,0xaed3e8cb3534a1:0x5c9d0d134c3e601c,6673504599367639068,/g/11v9z8hv_2,,0,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Juscelino Kubitschek, 913, Gouveia - MG, 39120-000, Brasil",-18.457093699999998,-43.741953099999996,+55 38 99935-2629,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_CTaQahEPNIBBNYJ4KnDsQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=101.925224&pitch=0&thumbfov=100,https://serpapi.com/images/url/xpWwz3icHc3BCsIgHIDxt_GWOlnQAglWHSoYDbp0Gv85U8GpTJv1OD1Wb9Po_MHv-350SiFuCYlpkjLNRuZgXtLGVQCsvFdWQjARCz-SuSBJP8fegbG7AM6bgXf7G7Sgj9fmVNfN_Vxe3CG2SPSdsEa6xKOESWis8iJOfsAqRJT5hiLNK4bekHlBC1yxNWMlCiYJzSn6bx5-Xhr9AYc6OTo,https://serpapi.com/search.json?data_id=0xaed3e8cb3534a1%3A0x5c9d0d134c3e601c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed3e8cb3534a1%3A0x5c9d0d134c3e601c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJoTQ1y-jTrgARHGA-TBMNnVw,"Gouveia, MG",lojas_presentes,2025-07-28T20:42:47.267149,COMPLETA
3,Casa Shalon,ChIJTX9fcQHTrgARS2YFwXE-5QQ,0xaed301715f7f4d:0x4e53e71c105664b,352756804109035083,/g/11nt0pmdpp,5,7,Loja de variedades,Loja de variedades,variety_store,"Av. Dr. Alexandre Mascarenhas, Gouveia - MG, 39120-000, Brasil",-18.4574747,-43.7419266,+55 38 99952-0403,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipN4u5ytl8Nm0h8l2fDB7rxuf7b0ei2WASBvZj7B=w80-h106-k-no,https://serpapi.com/images/url/QxCNinicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngZ1JqWlmSY-GXa5BhkWOU5uJkXlRRmmaeZJCaaRTuGOxUFpVl7mRbbmGgm2FoYKabrZuXDwChaSDt,https://serpapi.com/search.json?data_id=0xaed301715f7f4d%3A0x4e53e71c105664b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed301715f7f4d%3A0x4e53e71c105664b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJTX9fcQHTrgARS2YFwXE-5QQ,"Gouveia, MG",lojas_presentes,2025-07-28T20:42:47.267149,COMPLETA
4,Planet Biju,ChIJISRLtVnTrgARdU_YSVdHi2A,0xaed359b54b2421:0x608b475749d84f75,6956732489630502773,/g/11r98fghth,,0,Loja de Presentes,Loja de Presentes,gift_shop,"Praca Ver. Francisco Xavier Oliveira, 30, Gouveia - MG, 39120-000, Brasil",-18.4566354,-43.7423685,+55 38 99886-2550,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/p/AF1QipMnXMIR_heacRvCLwHFVWga-4cvyjMDfyq-Pog=w80-h142-k-no,https://serpapi.com/images/url/ZVCSDHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngmxfh6xkUn5GamBxU5uxT7uEWFp6eqGuSXFaZ5euSVlmoG5CfbltuYaCbYWhipJutm5cPAJkUIYI,https://serpapi.com/search.json?data_id=0xaed359b54b2421%3A0x608b475749d84f75&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed359b54b2421%3A0x608b475749d84f75&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJISRLtVnTrgARdU_YSVdHi2A,"Gouveia, MG",lojas_presentes,2025-07-28T20:42:47.267149,COMPLETA
5,Afetiva,ChIJu7Z1NwDTrgARtdakwNbumtw,0xaed3003775b6bb:0xdc9aeed6c0a4d6b5,15896280440880027317,/g/11x192pwnd,,0,Papelaria,Papelaria,stationery_store,"Av. Juscelino Kubitschek, 941 - Centro, Gouveia - MG, 39120-000, Brasil",-18.457527199999998,-43.7421171,+55 38 99956-5459,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/p/AF1QipOfkcf322iAh37e0FjCjZt1TgnXy9oOVjKchkFr=w80-h142-k-no,https://serpapi.com/images/url/Uf5EXXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn5adnGZsZJTpmGFsnmrgluWcFVViGJKeF1Fpme8fluWdnJHtVmRbbmGgm2FoYqSbrZuXDwCisCFN,https://serpapi.com/search.json?data_id=0xaed3003775b6bb%3A0xdc9aeed6c0a4d6b5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed3003775b6bb%3A0xdc9aeed6c0a4d6b5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJu7Z1NwDTrgARtdakwNbumtw,"Gouveia, MG",lojas_presentes,2025-07-28T20:42:47.267149,COMPLETA
6,Império da Festa,ChIJ-4-AxZXTrgAR7sGozmntlGI,0xaed395c5808ffb:0x6294ed69cea8c1ee,7103563550964629998,/g/11t_jybqqy,4.8,4,Loja de artigos para festas,Loja de artigos para festas,party_store,"R. Nossa Sra. das Dores, 1005, Gouveia - MG, 39120-000, Brasil",-18.457725,-43.7413057,+55 38 99813-8706,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:30; terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,"""Atendimento excelente""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uu-8AJ4LVqdiHUZsCs364w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=65.60912&pitch=0&thumbfov=100,https://serpapi.com/images/url/bWl2-nicHc3BDcIgFADQbbgVaK1Na0KM8WKMVz14MZQi_IQW7Iei0ziX22hc4L3P28YYcMMYxlnruIDOAZ7aYREkNd4bp2UApMqPbClZtGnsJwluG-TkYRApFe3uWJ8ujwEO5yvucdXUmaj-phzoKQrUclaWmvwTZz9QE5Bk0XJiRVeRl8yiWdOGd2VFAkRlBSf_5O4XUXL-BSMQOPY,https://serpapi.com/search.json?data_id=0xaed395c5808ffb%3A0x6294ed69cea8c1ee&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed395c5808ffb%3A0x6294ed69cea8c1ee&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ-4-AxZXTrgAR7sGozmntlGI,"Gouveia, MG",lojas_presentes,2025-07-28T20:42:47.267149,COMPLETA
7,Art Brown Company,ChIJI90TV2XTrgARTM1BO4rcMp0,0xaed3655713dd23:0x9d32dc8a3b41cd4c,11327358499047984460,/g/11k265g2cy,5,2,Floricultura,Floricultura,florist,"Praça Padre José Machado, 750 - Centro, Gouveia - MG, 39120-000, Brasil",-18.4556727,-43.7416789,+55 38 99939-3671,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–17:00; terça-feira: 08:30–17:00; quarta-feira: 08:30–17:00; quinta-feira: 08:30–17:00; sexta-feira: 08:30–17:00; sábado: 08:30–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Melhor lugar para encontrar presentes, cestas e lembranças!!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqE9VAqWhnr5v7V2sy4aOOfheuJiitsIV31f88GhiCirWO-gQWsFpEX8wjce9Pg2lMLSoJ_4XcuzrDCW51LyM9QQ3BQ3I1HrnD665sSRSRIwnIBbKIFFyeOYpIYkGp6K1HqGrHv=w94-h92-k-no,https://serpapi.com/images/url/I5C_lnicBcHbboIwGADgJ6qEo3TJLhQ51EMYkoBeLbMpLYpt6V8k7Pn2Ensbv-__T1ir4cNxBuGvuFJ8YBMwQ5W0TNoVVU-Ha0AUEDibBItAjiluNmMrpAlf68aDJfgpy06wad_3Fkjju10c56JPetOWiFctZDq9xPOdMvzFveF0rNX-O7jQ6dfskjZ0j8sJV5W_rXziFkbuoiiE-lyfySzJ9nYgWbaw8qrJ9ZHr6OAWY26K1-eMAySwhx5Iqjd0zEOg,https://serpapi.com/search.json?data_id=0xaed3655713dd23%3A0x9d32dc8a3b41cd4c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed3655713dd23%3A0x9d32dc8a3b41cd4c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJI90TV2XTrgARTM1BO4rcMp0,"Gouveia, MG",lojas_presentes,2025-07-28T20:42:47.267149,COMPLETA
8,Drika Papelaria Personalizados e Presentes,ChIJt6itU4HTrgAR702NjqqXl28,0xaed38153ada8b7:0x6f9797aa8e8d4def,8041062418485169647,/g/11h1mj57pz,,0,Papelaria,Papelaria,stationery_store,"Av. Juscelino Kubitschek, 966 - Centro, Gouveia - MG, 39120-000, Brasil",-18.4576677,-43.7423782,+55 38 99995-5238,https://pt-br.facebook.com/drikapersonalizadosmg/,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oUbGr38QefF2bq3CcdTNow&cb_client=search.gws-prod.gps&w=80&h=92&yaw=310.74222&pitch=0&thumbfov=100,https://serpapi.com/images/url/8v1Cg3icHc1RCsIgGADg2_iWOhe0AulhUG9BUM-h7p8Kbr-pzbpN1-o2RRf4vs_blRLzjrFcEkBZPNTonxDyKipqEW0AFX2mBie2NKy4x6Rn5cM-qhn9IPGqj6ntzjAehL63vRkuJ6zE6JsJHuYiM6hkHLX1JyYcqI2ZVNlx4uRWkJeqsm043ayFECT6Ypzk5L-MuMiG8y9zqDlz,https://serpapi.com/search.json?data_id=0xaed38153ada8b7%3A0x6f9797aa8e8d4def&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed38153ada8b7%3A0x6f9797aa8e8d4def&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJt6itU4HTrgAR702NjqqXl28,"Gouveia, MG",lojas_presentes,2025-07-28T20:42:47.267149,COMPLETA
1,Ateliê CriArte,ChIJj8yES5LTrgARpHeSLJxyqFQ,0xaed3924b84cc8f:0x54a8729c2c9277a4,6100251710361597860,/g/11q8vysq85,5,1,Artesanato,Artesanato,handicraft,"R. Zulma Miranda, 65 - Bela Vista, Gouveia - MG, 39120-000, Brasil",-18.4584084,-43.744516999999995,+55 38 99835-2072,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–19:00; terça-feira: 07:00–19:00; quarta-feira: 07:00–19:00; quinta-feira: 07:00–19:00; sexta-feira: 07:00–19:00; sábado: 07:00–19:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Produtos maravilhosos e de qualidade ímpar!""",https://lh3.googleusercontent.com/p/AF1QipMMj65loxzQc1vVljr1UpyltCl4RiDKxd7dQzNG=w122-h92-k-no,https://serpapi.com/images/url/KkaNAnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng65tlZpqTX1EVmGxYFpaTVWQYWlCZU-KcYxKU6eJdkWKeEljl525bbmhkpJthaaSbrZuXDwDDriH_,https://serpapi.com/search.json?data_id=0xaed3924b84cc8f%3A0x54a8729c2c9277a4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed3924b84cc8f%3A0x54a8729c2c9277a4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJj8yES5LTrgARpHeSLJxyqFQ,"Gouveia, MG",lojas_artesanato,2025-07-28T20:42:50.325548,COMPLETA
2,Sabrina Sibila,ChIJmfEPHYXTrgARO93mSbeoan0,0xaed3851d0ff199:0x7d6aa8b749e6dd3b,9037221107444669755,/g/11kxdhr1b4,5,3,Artista,Artista,artist,"R. Dr. Rômulo Franchini, 228 - Bairro Bela Vista, Gouveia - MG, 39120-000, Brasil",-18.458878,-43.74527,+55 38 99910-4052,,,,,,,,,,,"""Ela faz pinturas maravilhosas!""",,,https://serpapi.com/search.json?data_id=0xaed3851d0ff199%3A0x7d6aa8b749e6dd3b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed3851d0ff199%3A0x7d6aa8b749e6dd3b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJmfEPHYXTrgARO93mSbeoan0,"Gouveia, MG",lojas_artesanato,2025-07-28T20:42:50.325548,COMPLETA
