position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Mais Variedades,ChIJl6GDB620rwARrPwZvho1A2w,0xafb4ad0783a197:0x6c03351abe19fcac,7783122970001145004,/g/11bz0shj2w,4.5,6,Loja de presentes,Loja de presentes,novelty_store,"R. Cônego Davino, 36 - Centro, Guanhães - MG, 39740-000, Brasil",-18.7746849,-42.9340346,+55 33 3421-0465,https://www.facebook.com/pages/Mais-Variedades/1594776807433073,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:30; terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–18:30; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npiyOVNi97sIPQFimFxE824dxIR4qeIYnO_FGsukjlwaj3xyeMC8jDz0MM3SNs5GfEQv8IIkyQu88goIkzqWKdDhvCBgua3eim1xbdKJYPMuASM8Yqt_IcRN7plQo9qnJxajsvXVA=w80-h92-k-no-pi0.12535018-ya13.543166-ro0.15504521-fo100,https://serpapi.com/images/url/JEa-jnicDcldboIwAADgExVaSrUs2QNDMdWAookbT4ZB5b8FS7F4011jJ9i-1-_nt5qmQb3Zdldhq5Sy7LhW_JFLMXExWbns7XJQIFdA2X7gVa4Y6uV4jWtvrdgpCes-NFvquIVhZ3fkLBXHW7hTum26Z9Zgs_AooM3mBaMIX2JFdvdtMlPG2iXRlJaSta_x81Bsqjn4KHWGed0j810c9ukp0v4louk43Vh-jtdDl0hvFHuTNWr-uvrvTwpB5TmgBUKCoYYWcggmEFGwZAhbxMVotQIP-R-EQJc4CNwlgvAPmOFQ_g,https://serpapi.com/search.json?data_id=0xafb4ad0783a197%3A0x6c03351abe19fcac&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xafb4ad0783a197%3A0x6c03351abe19fcac&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJl6GDB620rwARrPwZvho1A2w,"Guanhães, MG",lojas_presentes,2025-07-28T20:45:48.125587,COMPLETA
2,Império Utilidades Decoração e Presentes,ChIJUz70XO21rwARBRwGMIp0H0g,0xafb5ed5cf43e53:0x481f748a30061c05,5197000631868857349,/g/11t42g2x68,5,3,Loja de artigos domésticos,"Loja de artigos domésticos, Loja de Presentes",home_goods_store,"R. Cônego Davino, 48 - Centro, Guanhães - MG, 39740-000, Brasil",-18.774512299999998,-42.9340735,+55 33 98839-5023,https://www.instagram.com/imperio_utilidadesdomesticas/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:20; terça-feira: 08:00–18:20; quarta-feira: 08:00–18:20; quinta-feira: 08:00–18:20; sexta-feira: 08:00–18:20; sábado: 08:00–12:00; domingo: Fechado,,,"Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/p/AF1QipMuc7hAFpabA7BlGKH1yaD1qgiixvASkPfICjQS=w204-h92-k-no,https://serpapi.com/images/url/1eSF8nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW5psnuHoVpCY5GjulOPu7WFYmehiWJiemVlR5hicHZDm6ZwVGGxbbmRgopthaaSbrZuXDwCqFSFd,https://serpapi.com/search.json?data_id=0xafb5ed5cf43e53%3A0x481f748a30061c05&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xafb5ed5cf43e53%3A0x481f748a30061c05&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJUz70XO21rwARBRwGMIp0H0g,"Guanhães, MG",lojas_presentes,2025-07-28T20:45:48.125587,COMPLETA
3,Lírios Bijuterias,ChIJs6_WCqW1rwARqldIqIXBajM,0xafb5a50ad6afb3:0x336ac185a84857aa,3704986423263778730,/g/11gxhqh_r4,4.2,35,Fornecedor de produtos de beleza,"Fornecedor de produtos de beleza, Loja de acessórios de moda, Loja de Presentes, Loja de moda masculina, Loja, Loja de moda feminina",beauty_product_supplier,"R. Dr. Brito, 92 - Centro, Guanhães - MG, 39740-000, Brasil",-18.7752832,-42.9349461,+55 33 3421-2826,https://instagram.com/lirios_guanhaes?utm_medium=copy_link,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,,,,"""Preco razoável""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nouUVDDvHxfvimJFv0tnmAS6ZEOEke9LPWKYVEClT6-uHuNQozr5SpgoOfIYUzMdxiTfKknIrIcnFq98-GakwE04pcxqN8n45_NzuiVhvVMbFH6eRRnW2ZYC0HleJJwE_phNvUi=w134-h92-k-no,https://serpapi.com/images/url/1yT1VnicBcFbjoIwFADQFVVQkYiJHwbLACo-weCP0U6hBLit9AFhfy5idjPn_H2ZUkKuLKth80nJedlQLWlHOCgKakJ4a5VCIiKRtDa-xxzgOs22WxMOhanaODC2gnZzdR_4iGvq7U_3XZ5hv7m5SIc6OfOxW1xFyY9FlKfj4XeobsWuhqiLCAQfb4l-XnWPbUeQ4ZMswVk8k1FXGTPZ4R2ELr1c4D575L4dNjSOe_wULDFpte6ncwcxb4ZqBPwfOipFtQ,https://serpapi.com/search.json?data_id=0xafb5a50ad6afb3%3A0x336ac185a84857aa&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xafb5a50ad6afb3%3A0x336ac185a84857aa&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJs6_WCqW1rwARqldIqIXBajM,"Guanhães, MG",lojas_presentes,2025-07-28T20:45:48.125587,COMPLETA
4,Aquarela Papelaria e presente,ChIJgZaddNGzrwARavE9Q__fCRw,0xafb3d1749d9681:0x1c09dfff433df16a,2020392195290165610,/g/11k4z5lf7j,5,5,Papelaria,Papelaria,stationery_store,"Av. Ciro Nunes, 484 - Amazonas, Guanhães - MG, 39740-000, Brasil",-18.7831191,-42.944368399999995,+55 33 98866-8153,http://instagram.com/aquarela_papelaria_e_presente,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipMnDdgafNNC0I5KdsHWdMTbKEWHXV1mpS8BqTHV=w80-h140-k-no,https://serpapi.com/images/url/q1977nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm-eSkp6Y5ufnbOBp6p1S7BGe4huS5O0a7hERZphbEGzhVBjiEWZbbmGgm2FoYqCbrZuXDwCd9CDV,https://serpapi.com/search.json?data_id=0xafb3d1749d9681%3A0x1c09dfff433df16a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xafb3d1749d9681%3A0x1c09dfff433df16a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJgZaddNGzrwARavE9Q__fCRw,"Guanhães, MG",lojas_presentes,2025-07-28T20:45:48.125587,COMPLETA
5,Central de Utilidades,ChIJpbfB-xK1rwARnVp_f9KGjIs,0xafb512fbc1b7a5:0x8b8c86d27f7f5a9d,10055560306651781789,/g/11swrv_khr,4.4,17,Loja de artigos domésticos,"Loja de artigos domésticos, Loja de malas e bolsas, Loja de utensílios de cozinha, Loja de Brinquedos",home_goods_store,"R. Amável Nunes, 166 - Centro, Guanhães - MG, 39740-000, Brasil",-18.7777489,-42.937193199999996,+55 33 98831-3269,https://wa.me/5533988313269,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:30; terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–12:30; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPJM-39aAnlKWvaQYSDynMJvQwzQFlj75zpJ5_Q=w204-h92-k-no,https://serpapi.com/images/url/Tj6fQHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4OWra2yZ6JiX4x1elhgYGexSmefrVRZYXhXolpNlblpV4GUaH2hbbmRgopthaaSbrZuXDwCmFCFW,https://serpapi.com/search.json?data_id=0xafb512fbc1b7a5%3A0x8b8c86d27f7f5a9d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xafb512fbc1b7a5%3A0x8b8c86d27f7f5a9d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJpbfB-xK1rwARnVp_f9KGjIs,"Guanhães, MG",lojas_presentes,2025-07-28T20:45:48.125587,COMPLETA
6,LOJA DO IVAN,ChIJwQVA8iy1rwARgdbuUOgzdSw,0xafb52cf24005c1:0x2c7533e850eed681,3203523782827234945,/g/11ry_rv_2v,5,13,Loja de variedades,Loja de variedades,variety_store,"Av. Milton Campos, 2506 - centro, Guanhães - MG, 39740-000, Brasil",-18.7742698,-42.9352672,+55 33 99811-6766,https://instagram.com/loja_do_ivan_?igshid=NjY2NjE5MzQ=,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipOXCu3khic62Tj-tUSCvGAFwy1cmNEAb__On2HI=w163-h92-k-no,https://serpapi.com/images/url/-awOBHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH-FcapydkZlsZhSSpVsSGuxc5u7oVl5pmJzr5-qYFB_vn2fk4WlbbmhmrJthaaSbrZuXDwCjuSEI,https://serpapi.com/search.json?data_id=0xafb52cf24005c1%3A0x2c7533e850eed681&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xafb52cf24005c1%3A0x2c7533e850eed681&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJwQVA8iy1rwARgdbuUOgzdSw,"Guanhães, MG",lojas_presentes,2025-07-28T20:45:48.125587,COMPLETA
7,Papelaria Arco íris,ChIJgQzG-qu0rwARV5eKmNaA3KU,0xafb4abfac60c81:0xa5dc80d6988a9757,11951569170305029975,/g/11g8nhqbln,4.6,38,Papelaria,Papelaria,stationery_store,"R. Odilon Behrens, 300 - Guanhães, MG, 39740-000, Brasil",-18.7766445,-42.9373313,+55 33 3421-3250,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: 12:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Bem completa e bem ampla em referência a produtos, tem de tudo um pouco""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nodkoTiqP848dmxRML46VJjA5vV-QBlwKiDzrfZbdINa9yRZZdjOVTiXoH2b1EG9a5HRzPOlKdT7n73zF5ekN2fgf6e9cODiYLAuCq2cHQBcZG1HkmO99C0NvdLynNkMuFTeWI9=w84-h92-k-no,https://serpapi.com/images/url/SAr0_nicBcHtFoEwAADQJ5pIX3OOHykKKTqd0L_a1ofVVlao5_MS3sa9v2_Z961YSVJdLmcF50VNBkGeiLOesH6GeCMVrQBIACGZFiwVxjHlUdWdDcXAzSc8eYoWHx6m-orBZVO_j5U9PfMkw3s_hWOYJPgRxFF1466cLbYOTFU3nM5BfcSRzvTltFMJ9eW8yDUCUWBXd88crE5G7mWDEmfh0iaA0Jr7L-yNzKenYReR6x6u34YCSigDChj_A2TGQ30,https://serpapi.com/search.json?data_id=0xafb4abfac60c81%3A0xa5dc80d6988a9757&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xafb4abfac60c81%3A0xa5dc80d6988a9757&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJgQzG-qu0rwARV5eKmNaA3KU,"Guanhães, MG",lojas_presentes,2025-07-28T20:45:48.125587,COMPLETA
8,O Boticário,ChIJdf1tv_dJrgARULH3XSZF1Ss,0xae49f7bf6dfd75:0x2bd545265df7b150,3158506744757858640,/g/1yfh_klyv,4.7,154,Loja de produtos de beleza,"Loja de produtos de beleza, Loja de Presentes, Perfumaria",beauty_supply_store,"R. Doutor, R. Odilon Behrens, 5 - Centro, Guanhães - MG, 39740-000, Brasil",-18.7756991,-42.9346672,+55 33 3421-2816,https://www.boticario.com.br/?utm_source=google&utm_medium=maps&utm_campaign=mirum5049,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrCMHlb1oiWx4Btzc1K5uArLatE8SXGa0Hw-wdpz2mHteFG0BCpCMlxTAkYCWqxwbO_MM-gI37xTABb9QEElNybelWMx6V2ubBWgS11qv7q5mJh8IdIrOHkktJV-zMcGbp9u4FA=w163-h92-k-no,https://serpapi.com/images/url/R78q73icDchdDoIgAADgE5Gh9mNbD8pMrai1WtZTC2LQREHBNO_XIbpNfY_f9yOs1WbhOFJ4I64Ul6w1rKGqsqyyI6pKh2sDqAHGCVEg_KpBOJUEqmfe-5EdKNxM2rDZ3m08P16S-zjtQPfQg1umlq2ScYQ0wrI_hcUV5XXfkf0NY8Azb_a_iASHOJa7N2Eyx_307LYkyvkRwvo1qyflWsyzR9bs06Kw6zMYME2IDlp_FS47OPWACFxQgEr9AMViRD8,https://serpapi.com/search.json?data_id=0xae49f7bf6dfd75%3A0x2bd545265df7b150&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xae49f7bf6dfd75%3A0x2bd545265df7b150&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJdf1tv_dJrgARULH3XSZF1Ss,"Guanhães, MG",lojas_presentes,2025-07-28T20:45:48.125587,COMPLETA
9,MF Presentes,ChIJ3VDh7oFLrgARxYwqmjaiWAA,0xae4b81eee150dd:0x58a2369a2a8cc5,24948153348951237,/g/11kqqnj45c,,0,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Milton Campos, 2188 - Guanhães, MG, 39740-000, Brasil",-18.773707299999998,-42.9328143,+55 33 99993-1606,https://www.instagram.com/mf_presente/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,Assento com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipOTQaMgPvfTVntOznWWP1xUWZXGWG_z0upZ4F0=w88-h92-k-no,https://serpapi.com/images/url/YcGpSnicuxmTUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngHxKY6JseUJYWEpZX4l-VFx4eYFgRGh4V4R7uHl9lUFoQZeJmYFtuYaGbYWmkm62blw8AeoshJA,https://serpapi.com/search.json?data_id=0xae4b81eee150dd%3A0x58a2369a2a8cc5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xae4b81eee150dd%3A0x58a2369a2a8cc5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ3VDh7oFLrgARxYwqmjaiWAA,"Guanhães, MG",lojas_presentes,2025-07-28T20:45:48.125587,COMPLETA
10,Art Papéis Papelaria,ChIJS2G_iU1LrgAR3GEvZScotXg,0xae4b4d89bf614b:0x78b52827652f61dc,8697902405002420700,/g/1tfbv3j0,4.7,11,Papelaria,Papelaria,stationery_store,"R. Claudionor Nunes, 15 - Centro, Guanhães - MG, 39740-000, Brasil",-18.7770416,-42.935245699999996,+55 33 3421-0264,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento especial trata o cliente com amor e respeito""",https://lh3.googleusercontent.com/p/AF1QipME18YR07LJM3eFjgZHoOI8Ls1MZPbXurvvobOT=w122-h92-k-no,https://serpapi.com/images/url/nl9FeHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng62poERlkYO7j5Wuc6paVHuWR7-9p4VNs6BsVkBRRWlRWlp_kH2JbbmhkpJthaaSbrZuXDwCK0SDf,https://serpapi.com/search.json?data_id=0xae4b4d89bf614b%3A0x78b52827652f61dc&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xae4b4d89bf614b%3A0x78b52827652f61dc&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJS2G_iU1LrgAR3GEvZScotXg,"Guanhães, MG",lojas_presentes,2025-07-28T20:45:48.125587,COMPLETA
