position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Armarinho Dabel,ChIJgyOPtVOhpgARmpeuLsvjxMU,0xa6a153b58f2383:0xc5c4e3cb2eae979a,14250765582708152218,/g/11gyyb_ctt,5,2,Loja de variedades,Loja de variedades,variety_store,"Av. Natalício Jesus Carsalade, 163 - Honório Bicalho, Nova Lima - MG, 34012-656, Brasil",-20.0218326,-43.8256084,+55 31 3541-1538,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–16:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipOPntsWPcUwkEd-7Vvi_YbmIe-t1aPPJBhJ9fMI=w81-h92-k-no,https://serpapi.com/images/url/0xspSnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH5BXUhwekBxanu2aomseVpYZH5mU65mqW2KYGBDg5ZThZZnm62lbbmGom2FppJutm5cPAJgPITw,https://serpapi.com/search.json?data_id=0xa6a153b58f2383%3A0xc5c4e3cb2eae979a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a153b58f2383%3A0xc5c4e3cb2eae979a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJgyOPtVOhpgARmpeuLsvjxMU,"Honório Bicalho, MG",lojas_presentes,2025-07-28T20:56:20.228196,COMPLETA
2,Royal Style - Honório Bicalho,ChIJI2vbpimgpgAR7qx7tlprwdM,0xa6a029a6db6b23:0xd3c16b5ab67bacee,15258595049860738286,/g/11j13470sj,4.7,7,Loja de Roupa,Loja de Roupa,clothing_store,"Distrito De, R. Liberato Augusto, 128 - Honório Bicalho, Nova Lima - MG, 34012-690, Brasil",-20.023746,-43.8227488,+55 31 98858-1549,https://www.instagram.com/royalstyle_nl/reels/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Marcas renomadas.""",https://lh3.googleusercontent.com/p/AF1QipOGFmFLJKwzU6uZL_nmNmhyn3fu_R39oYd2dNpD=w93-h92-k-no,https://serpapi.com/images/url/e3OalXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng7-6W6-bj5V1eFWpWGuUTn5frl5tRmWecVhofZGyZH5lilOJX4GJbbmmsm2FppJutm5cPAJckIYc,https://serpapi.com/search.json?data_id=0xa6a029a6db6b23%3A0xd3c16b5ab67bacee&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a029a6db6b23%3A0xd3c16b5ab67bacee&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJI2vbpimgpgAR7qx7tlprwdM,"Honório Bicalho, MG",lojas_presentes,2025-07-28T20:56:20.228196,COMPLETA
3,Lgs decoraçoes,ChIJsZKPW4ehpgARXb4iFp5fD5Q,0xa6a1875b8f92b1:0x940f5f9e1622be5d,10668851174844841565,/g/11fmxq61k7,5,2,Loja de molduras,"Loja de molduras, Loja de espelhos",picture_frame_shop,"R. Liberato Augusto, 114 - Honório Bicalho, Nova Lima - MG, 34000-000, Brasil",-20.0235517,-43.8228745,+55 31 3541-1613,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,"segunda-feira: 07:00–12:00, 13:00–16:00; terça-feira: 07:00–12:00, 13:00–16:00; quarta-feira: 07:00–12:00, 13:00–16:00; quinta-feira: 07:00–12:00, 13:00–16:00; sexta-feira: 07:00–12:00, 13:00–16:00; sábado: 08:00–13:00; domingo: Fechado",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,"""com certeza iremos torna-se cliente fiel.""",https://lh3.googleusercontent.com/p/AF1QipNhPyqRRer1hZ8W3L14CXZlitAVq40fCG0Ba1bY=w80-h177-k-no,https://serpapi.com/images/url/c7lNe3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnglxFQWRgUlFpkmBFlEW7sY2jiHBGVk1niGFZoYpDm7G7glGiYFGlbbmGgm2Fobq6brZuXDwCd3CCo,https://serpapi.com/search.json?data_id=0xa6a1875b8f92b1%3A0x940f5f9e1622be5d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a1875b8f92b1%3A0x940f5f9e1622be5d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJsZKPW4ehpgARXb4iFp5fD5Q,"Honório Bicalho, MG",lojas_presentes,2025-07-28T20:56:20.228196,COMPLETA
4,Centro de Apoio ao Ciclista,ChIJu4Je8ymgpgARfGIiGBb02LM,0xa6a029f35e82bb:0xb3d8f4161822627c,12959376303489966716,/g/11cjj1kdfw,4.7,81,Escritório da empresa,"Escritório da empresa, Loja de bicicleta",corporate_office,"R. Liberato Augusto, 14 - Honório Bicalho, Nova Lima - MG, 34012-690, Brasil",-20.0223431,-43.823887,+55 31 99258-4661,http://www.centrodeapoioaociclista.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: Fechado; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 07:30–15:00; domingo: 07:30–13:00,,,,,,,"""Nota 10 no apoio ao ciclista!""",https://lh3.googleusercontent.com/p/AF1QipOOcJTcvEpK43eBfUrec3G9-fReWMjq54glIZfk=w122-h92-k-no,https://serpapi.com/images/url/kysyGXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng75_sFZJc5lrgbWKc6pQWWpSabOxuqZsWlBrum1VoapKe4xmVlm1bbmhkpJthaaSbrZuXDwCinyEe,https://serpapi.com/search.json?data_id=0xa6a029f35e82bb%3A0xb3d8f4161822627c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a029f35e82bb%3A0xb3d8f4161822627c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJu4Je8ymgpgARfGIiGBb02LM,"Honório Bicalho, MG",lojas_presentes,2025-07-28T20:56:20.228196,COMPLETA
5,Jd Papelaria & Armarinho,ChIJ4ZcDFCqgpgARiZfU9XrXDCs,0xa6a02a140397e1:0x2b0cd77af5d49789,3102091166461761417,/g/11sg99qdrz,,0,Loja de presentes,Loja de presentes,novelty_store,"Av. Natalício Jesus Carsalade, 119 - Honório Bicalho, Nova Lima - MG, 34000-000, Brasil",-20.021762499999998,-43.825209699999995,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=G_4xvI0eRlOXHF6XhVUuzQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=171.69415&pitch=0&thumbfov=100,https://serpapi.com/images/url/WwTg5XicHc1LDsIgFADA27CTj6nVmhB3flZGE013DaVPIKGFFArV03gtb6PxAjOft47Rhy0hIY4AMRnI3sxgw8ILrJxTFoQ3AUvXk8RI1FPfDsLYnReDMx0_NMWcThSu9lwf92Wt77fpdUGybaQ1MEQeQIxSY5V_4ug6rHxAmW8o0rxaoqfInK0ZLquCrZA3UWpO0X95uMQZpV91rjmE,https://serpapi.com/search.json?data_id=0xa6a02a140397e1%3A0x2b0cd77af5d49789&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a02a140397e1%3A0x2b0cd77af5d49789&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ4ZcDFCqgpgARiZfU9XrXDCs,"Honório Bicalho, MG",lojas_presentes,2025-07-28T20:56:20.228196,COMPLETA
6,Praça de Honório Bicalho,ChIJCSa_qJKhpgARSF60es6s1qc,0xa6a192a8bf2609:0xa7d6acce7ab45e48,12094043852171927112,/g/11gjw3598_,4.3,193,Local para eventos,Local para eventos,event_venue,"R. Ernesto Gonzaga - Honório Bicalho, Nova Lima - MG, 34012-684, Brasil",-20.022134899999998,-43.8244174,,,,,,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Também para uma pequena saída de hotéis e pousadas na região""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrD6xhJYZ3DW8gMkAd8S0D7yWr_d6myx9pOGTp-_10plgAynYUPH886Y59GYloxVqGaQOwnnW29612ByUTKJpGoxPXJfIgGHdo_h8c8UuyKmjOCOmq6hNUDkjYzNU9dCMlMpRG-=w163-h92-k-no,https://serpapi.com/images/url/flVT3XicBcHdroIgAADgJyJTOwRtXZhulM3sj4xu3JkaLBFIbMl5v_MQvU3f9_kXw2DswvOkCCdcay6bl236SquhUcOk0p3HjQWVBdaLYixmqk_gKFJ2C5MC8ayNanSaJnNX9GUNOzdik5OzAaU_NZJHTjG6XyME2Q8mTOrx8iS_h_ytVBFg6AcrR8_b1BA97q_pfcPJutalQBWiL7ftHnmcd08odjRpH-xvR3EdZzIzRwKWbx-GQOAAtEDpL45xRBA,https://serpapi.com/search.json?data_id=0xa6a192a8bf2609%3A0xa7d6acce7ab45e48&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a192a8bf2609%3A0xa7d6acce7ab45e48&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJCSa_qJKhpgARSF60es6s1qc,"Honório Bicalho, MG",lojas_presentes,2025-07-28T20:56:20.228196,COMPLETA
7,Adore,ChIJIaqOXwyZpgARQ7be3ZYlaYg,0xa6990c5f8eaa21:0x88692596dddeb643,9829428991610500675,/g/11fqcw7kxm,5,102,Loja de presentes,Loja de presentes,novelty_store,"Alameda Oscar Niemeyer, 1033 - Sala 809 - Vila da Serra, Nova Lima - MG, 34006-065, Brasil",-19.9763871,-43.940238,+55 31 99453-1033,http://www.adoreloja.com.br/,Fechado ⋅ Abre ter. às 09:30,Fechado ⋅ Abre ter. às 09:30,segunda-feira: 09:30–18:00; terça-feira: 09:30–18:00; quarta-feira: 09:30–18:00; quinta-feira: 09:30–18:00; sexta-feira: 09:30–18:00; sábado: 10:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Amei os itens são impecáveis maravilhosos super recomendo""",https://lh3.googleusercontent.com/p/AF1QipPIAI8TquZEhUU2m1d8EuPfRaJL9nxL-JkMDfEI=w163-h92-k-no,https://serpapi.com/images/url/gWqNP3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4OnoaRFSWBrlmhEaapRrmGLhWhqQFpTo5WOZV-Gj65Xt65Lm6mlbbmhmrJthaaSbrZuXDwCXjCC5,https://serpapi.com/search.json?data_id=0xa6990c5f8eaa21%3A0x88692596dddeb643&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6990c5f8eaa21%3A0x88692596dddeb643&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJIaqOXwyZpgARQ7be3ZYlaYg,"Honório Bicalho, MG",lojas_presentes,2025-07-28T20:56:20.228196,COMPLETA
8,Supermercado Abc,ChIJe7ImfyKhpgARnJAHALP_SGo,0xa6a1227f26b27b:0x6a48ffb30007909c,7658652310608253084,/g/11qg5jlsw1,4.6,17,Supermercado,Supermercado,supermarket,"Av. Natalício Jesus Carsalade, 190 - Honório Bicalho, Nova Lima - MG, 34000-000, Brasil",-20.0216893,-43.825945499999996,+55 31 3542-3282,https://www.superabc.com.br/,,,,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC, Pluxee",,,"""Bom local, variedade de produtos.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=F3sIINT3zBH7NK3uWenbsA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=335.89813&pitch=0&thumbfov=100,https://serpapi.com/images/url/gpY1wnicHc1RCsIgGADg2_iWuiTaAol6iEawp6DHcPanglPZ72Z1mq7VbYou8H2ft8054YYxzCNAnh2U5B7gcZEUNTEaDyo5pDoObK5YttPQB-X8NqkQ3U0eBLZtdxav_XHdncR0gdDjjuj-qr2DkCWCGrWlpvzEMd6oSUiKrDmxslmSpypSiBWtm7oSJLmsreTkv9zjLCvOv1CMOR8,https://serpapi.com/search.json?data_id=0xa6a1227f26b27b%3A0x6a48ffb30007909c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a1227f26b27b%3A0x6a48ffb30007909c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJe7ImfyKhpgARnJAHALP_SGo,"Honório Bicalho, MG",lojas_presentes,2025-07-28T20:56:20.228196,COMPLETA
9,Kraft Presentes criativos,ChIJD5DL6EKhpgAR3yLDzUti6os,0xa6a142e8cb900f:0x8bea624bcdc322df,10081978793536463583,/g/11mtrqdmr4,,0,Loja de presentes,Loja de presentes,novelty_store,"R. Andrade, 77 - Honório Bicalho, Nova Lima - MG, 34012-668, Brasil",-20.022736599999998,-43.827534,+55 31 98909-7773,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6i_Y3iytbS9Uq8W_-FTE7w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=97.19539&pitch=0&thumbfov=100,https://serpapi.com/images/url/Cj7r2XicHc1RDoIgGADg2_AmYK6UNuZTXaBa68khEvwbCsmf5Gk6V7epdYHv-7wdYkx7xhLOxuACJkd4GZ-KqKgNwXqjIiSqw8iWkqF7jv2kwLdRTQEGuYPuVsGK_UlcHs21K47nQ52J7jvtwUwok1GzdtTmnziHgdqYSJYNJ06KDVlVlqKmpdhWgkRA7SQn_-QeFlly_gUvHzke,https://serpapi.com/search.json?data_id=0xa6a142e8cb900f%3A0x8bea624bcdc322df&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a142e8cb900f%3A0x8bea624bcdc322df&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJD5DL6EKhpgAR3yLDzUti6os,"Honório Bicalho, MG",lojas_presentes,2025-07-28T20:56:20.228196,COMPLETA
10,Metamorfose Encantada,ChIJAaaL1pKfpgARRnqdehHu1gE,0xa69f92d68ba601:0x1d6ee117a9d7a46,132554997893003846,/g/11k9k6cc74,,0,Papelaria,Papelaria,stationery_store,"R. Levindo Wanderley, 774 - Honório Bicalho, Nova Lima - MG, 34000-000, Brasil",-20.0163606,-43.834666,,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BvnpaK4HIdOliA1isdutJg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=43.877583&pitch=0&thumbfov=100,https://serpapi.com/images/url/7bBernicHc3bDcIgFADQbfgTqK1pNSFGv3x8OIKhgHATCqTcgm7jWm6jcYFzPm-HmPKOsYyzMVjA1ARP4_MqSWpjtN7IBJmqOLHSMHTLNAYJfp9kiKDFsYQkr93prG8eDg1kveDFEjXelQcTUGQjZ-WorT9xjpralEkVAydObNfkJavoWjr0_WZoSQJUTnDyXx6xiIbzL5flOfA,https://serpapi.com/search.json?data_id=0xa69f92d68ba601%3A0x1d6ee117a9d7a46&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69f92d68ba601%3A0x1d6ee117a9d7a46&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJAaaL1pKfpgARRnqdehHu1gE,"Honório Bicalho, MG",lojas_presentes,2025-07-28T20:56:20.228196,COMPLETA
