position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Ateliê Amor & Nós,ChIJK25DoV3joQARgpVfCabxjqo,0xa1e35da1436e2b:0xaa8ef1a6095f9582,12290026128564786562,/g/11s7nywj3g,5,14,Artesanato,Artesanato,handicraft,"91bairro Santana, R. Bahia - Santana, Ibertioga - MG, 36225-000, Brasil",-21.435395699999997,-43.963727899999995,+55 32 98476-8050,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Super recomendo.""",https://lh3.googleusercontent.com/p/AF1QipMERVFPSfKh2S3Zf2vMuf0jQKjUvYMqduVVogMH=w80-h164-k-no,https://serpapi.com/images/url/IWXGanicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng6xoU5hYQnOadYRRsHJVmVOZbmmaQFeidFVoW6VuYUhoWlp_u62FbbmGgm2FoZqKbrZuXDwCmZSFw,https://serpapi.com/search.json?data_id=0xa1e35da1436e2b%3A0xaa8ef1a6095f9582&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1e35da1436e2b%3A0xaa8ef1a6095f9582&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJK25DoV3joQARgpVfCabxjqo,"Ibertioga, MG",lojas_artesanato,2025-07-28T20:59:10.088227,COMPLETA
2,ArttâniA Artesanato,ChIJSV1sxRVfnwARdYebJQodG8Q,0x9f5f15c56c5d49:0xc41b1d0a259b8775,14130920185222891381,/g/11lc9ygz95,,0,Artesanato,Artesanato,handicraft,"Rua atrás do posto de saúde, Ibertioga - MG, 36225-000, Brasil",-21.4952111,-44.0481523,+55 11 99111-2174,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/p/AF1QipNGQMc3y2B-WrSRWX0Avqjp3O4uRepUGVgsYy1z=w80-h141-k-no,https://serpapi.com/images/url/J7Qa1HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng5x7om2xcaeSkG14UHBQeYeBYVphVYOxvUhqUWhDqHpZeHFlpWGVbbmGgm2FoYqibrZuXDwCfYiFC,https://serpapi.com/search.json?data_id=0x9f5f15c56c5d49%3A0xc41b1d0a259b8775&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f5f15c56c5d49%3A0xc41b1d0a259b8775&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJSV1sxRVfnwARdYebJQodG8Q,"Ibertioga, MG",lojas_artesanato,2025-07-28T20:59:10.088227,COMPLETA
1,Bella Presentes,ChIJBXZIalrjoQARKwdIpTBd0xg,0xa1e35a6a487605:0x18d35d30a548072b,1788875940508993323,/g/1td4964k,4.8,4,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Bias Fortes, 40 - Ibertioga, MG, 36225-000, Brasil",-21.4308419,-43.9648301,+55 32 3347-1217,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:30; terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–18:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PQYarqrtJHiqRx-F-yQfog&cb_client=search.gws-prod.gps&w=80&h=92&yaw=171.99559&pitch=0&thumbfov=100,https://serpapi.com/images/url/wWz0XHicHc1LDsIgFADA27ArH5NGa0LcGePKunNlKKXwElooPEt7G6_lbTReYObzdogxHxnLmIzBBUyJsBqfq6ioDcF6oyJkqsPIFsHQvcZuUuBPUU0BenlrHyrNCa8XmO9rda62dgiW6O6pPZgJZTYqaUdt-Ykp9NTGTIo8cOJksyObKlLsBW2aum5IBNROcvJfhrBIwfkXprE6Fg,https://serpapi.com/search.json?data_id=0xa1e35a6a487605%3A0x18d35d30a548072b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1e35a6a487605%3A0x18d35d30a548072b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBXZIalrjoQARKwdIpTBd0xg,"Ibertioga, MG",lojas_decoracao,2025-07-28T20:59:13.150665,COMPLETA
2,Fátima Moveis,ChIJmypfWRTjoQAR5iybZEq2rfU,0xa1e314595f2a9b:0xf5adb64a649b2ce6,17703006140895014118,/g/11fxvbqc_2,5,2,Loja de móveis,Loja de móveis,furniture_store,"Pç. do Rosário, Ibertioga - MG, 36225-000, Brasil",-21.4313084,-43.965924799999996,,,,,,,,,"Cartão de crédito, Cartão de débito","Entrega, Entrega no mesmo dia",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rcZEnNVKRgcaBYuf0ZK4iQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=80.244286&pitch=0&thumbfov=100,https://serpapi.com/images/url/rWrwsHicHc1LCsIwFEDR3WRmkpYiVQiC0FFB0IFgJ5Kmr8mDNAlJ2upu3Ja78TO7o3PfL5NzSHvGUo4AeUFYAz7Apk2QVHuvLciAiSo_saVg2cxT7yTaQ5DO4yCi6hp3urYXreTxNo-8ays8E9XflUVwWSSQURmq168Y_UB1SGQVNSdG7ErylL-mZVWV9ZYEzMoITv6X0S-i4PwDftg5kQ,https://serpapi.com/search.json?data_id=0xa1e314595f2a9b%3A0xf5adb64a649b2ce6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1e314595f2a9b%3A0xf5adb64a649b2ce6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJmypfWRTjoQAR5iybZEq2rfU,"Ibertioga, MG",lojas_decoracao,2025-07-28T20:59:13.150665,COMPLETA
3,Clube da Casa Rive,ChIJ3W9g4z_joQAR-2SKykwQ6JE,0xa1e33fe3606fdd:0x91e8104cca8a64fb,10513671252098049275,/g/11fzff85x8,4.4,26,Fornecedor de materiais de construção,Fornecedor de materiais de construção,building_materials_supplier,"Praça Santo Antônio, 468 - Centro, Ibertioga - MG, 36225-000, Brasil",-21.4305606,-43.9624544,+55 32 3347-1593,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:00; terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 07:00–12:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito",,,"""Excelente atendimento produtos de qualidade""",https://lh3.googleusercontent.com/p/AF1QipPWQzyDAzpXqP1EuDQoA2KKaLdRPK2amhdMebXx=w163-h92-k-no,https://serpapi.com/images/url/aEyldXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEB5YVeniWFUQURhg6FrqEpjvaOTtneiTEhTgbZSYm5Him5oUUWFbbmhmrJthaaSbrZuXDwCzfSGV,https://serpapi.com/search.json?data_id=0xa1e33fe3606fdd%3A0x91e8104cca8a64fb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1e33fe3606fdd%3A0x91e8104cca8a64fb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ3W9g4z_joQAR-2SKykwQ6JE,"Ibertioga, MG",lojas_decoracao,2025-07-28T20:59:13.150665,COMPLETA
4,Chaves Materiais de Construção,ChIJQ0oJwxXjoQARPfo8dfCYlfk,0xa1e315c3094a43:0xf99598f0753cfa3d,17984448845500447293,/g/1ptws1374,4.5,26,Loja de materiais de construção,Loja de materiais de construção,building_materials_store,"R. Espírito Santo, 131, Ibertioga - MG, 36225-000, Brasil",-21.434149599999998,-43.964238699999996,+55 32 3347-1372,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:00; terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 07:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npPMiPH6L-7I3X6Pp080d5JDyNja3vjP9pcmIcxFy9ex4P0tDM1rjP3oWYGd7SECHjz6HEHg26_ignniEVU77bnttrHuyr_rmeAsA-DgTut60u1GQMhgXLW92Z8C4MzQbfwNA=w163-h92-k-no,https://serpapi.com/images/url/aSCt6XicBcHbbsIgAADQL8JeqFSW7KFpa9FYg3He9mImZdDOAgGq1t_bV_g3nvP6l94b9xEEVwknQmtx5YPjlmnlufITpvtAGAeYAy7IciwTZWjdUoJWIF3AI6ImnIXNdFmM6-4H3jqKDesX7DEfMX8kNPRFHdmOQn04VU26LXPSPREpiYjRuRVKteV-l6YX5b0lw2jPtueZy0AhvgaPwiGqNrUUx9UBx9-zPKmfm8vvfZ193iMEgcQx-ANKvwG5GEK4,https://serpapi.com/search.json?data_id=0xa1e315c3094a43%3A0xf99598f0753cfa3d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1e315c3094a43%3A0xf99598f0753cfa3d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJQ0oJwxXjoQARPfo8dfCYlfk,"Ibertioga, MG",lojas_decoracao,2025-07-28T20:59:13.150665,COMPLETA
5,"Loja Santissimo cama, mesa e banho",ChIJW4kHiUDjoQAR9DbADESS3Ug,0xa1e3408907895b:0x48dd92440cc036f4,5250513561553221364,/g/11tfnf4577,,0,Loja,Loja,store,"Av. Bias Fortes, 129 - Centro, Ibertioga - MG, 36225-000, Brasil",-21.4307612,-43.965419399999995,+55 32 98493-1659,https://instagram.com/lojasantissimocmb?igshid=YmMyMTA2M2Y=,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipOOumH0BtzMMS0PKZm9UL9U54C4Sjk_tIjxMhL3=w122-h92-k-no,https://serpapi.com/images/url/2xFwAHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng71-a62HgVFLl6xtsEOAdlWsZ6mMZamribBKclR1f4plV4ZvhY2xbbmhkpJthaaSbrZuXDwCYNSDA,https://serpapi.com/search.json?data_id=0xa1e3408907895b%3A0x48dd92440cc036f4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1e3408907895b%3A0x48dd92440cc036f4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJW4kHiUDjoQAR9DbADESS3Ug,"Ibertioga, MG",lojas_decoracao,2025-07-28T20:59:13.150665,COMPLETA
6,Lan House do Bruno,ChIJ-5KAEhXjoQARxtXHRxJxmbg,0xa1e315128092fb:0xb899711247c7d5c6,13301787297743099334,/g/11c6t715ym,4.6,14,Loja de eletrônicos,Loja de eletrônicos,electronics_store,"R. Tiradentes, 1-123, Ibertioga - MG, 36225-000, Brasil",-21.431117699999998,-43.9642072,,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Excelente atendimento,competência, profissionalismo.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IKc9F8i8lkL1n3eZRp36Ig&cb_client=search.gws-prod.gps&w=80&h=92&yaw=309.38644&pitch=0&thumbfov=100,https://serpapi.com/images/url/M57E6XicHc3BDcIgFADQbbgJVJqGmhBvJo2ePHoxlH6BSOGnYNFtXMttNC7w3uftSsG8YyyXBaCsHir6J4S8QU1tSjaARp-pSTNbG1bcYx6j9mGPOiY_qeFo-oP0MtxPTRRwOaPoBkvMeDXBQywqg16Mo7b-xCVN1GImVUlOnOq35KWrErynQnZtS9AX4xQn_-WWVtVw_gVCiDjr,https://serpapi.com/search.json?data_id=0xa1e315128092fb%3A0xb899711247c7d5c6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1e315128092fb%3A0xb899711247c7d5c6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ-5KAEhXjoQARxtXHRxJxmbg,"Ibertioga, MG",lojas_decoracao,2025-07-28T20:59:13.150665,COMPLETA
7,Albert Decor,ChIJewEi52LjoQAR5DWUnZABGM8,0xa1e362e722017b:0xcf1801909d9435e4,14922679085922792932,/g/11fjz9qmb8,,0,Gráfica,Gráfica,commercial_printer,"Rua Espírito Santo - Santana, Ibertioga - MG, 36225-000, Brasil",-21.442303799999998,-43.9806962,+55 32 98441-5496,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:00; terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–17:00; domingo: Fechado,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WoD2V7F3Pd5mWL_AeMQ-mQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=158.52725&pitch=0&thumbfov=100,https://serpapi.com/images/url/iiy5jHicHc1RCsIgGADg2_g2dYZsBRJB9FTQXtrjcO5PBZ0ybdZtula3KbrA933eJueYdoSkvADk1UKJ9gkuVVFiHYJ2IKNNWAVP1ppk8_DjLK3bRzkHO4k-HNmtOW2uE_f9eTjApat8h9Q4KGdhziKBXJTBuvzEJUxYx4SKaCkyYsvQSxZR8xZz1jCOos3KCIr-yz2soqb0CzsOONQ,https://serpapi.com/search.json?data_id=0xa1e362e722017b%3A0xcf1801909d9435e4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1e362e722017b%3A0xcf1801909d9435e4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJewEi52LjoQAR5DWUnZABGM8,"Ibertioga, MG",lojas_decoracao,2025-07-28T20:59:13.150665,COMPLETA
8,Valeria Confencções,ChIJMebkORTjoQARWVhFNiJaQPY,0xa1e31439e4e631:0xf6405a2236455859,17744281634825656409,/g/11g6jt_8hl,4.5,2,Loja de Roupa,Loja de Roupa,clothing_store,"R. Amazonas, 255, Ibertioga - MG, 36225-000, Brasil",-21.4325944,-43.964768199999995,,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Roupas exclusivas e de qualidade""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yggLjL6MvA5oTiWBJmRb0A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=189.26315&pitch=0&thumbfov=100,https://serpapi.com/images/url/aUFay3icHc1fCsIgHADg2_iWfxYbWyCxHmO9RNBjOGf6C6cyTdttula3KbrA933eJqUQd4TEtCiVMqgS4KVs3ASBtffaKhEgYulnkhlJ5jmPToDdB-E8THzVengMzSn3tb_A9XCczyPtkRxv0oJyiUclFmmwLj9x8RPWIaLCW4oM7yq0isJZ2-Gq2bIaBUjScIr-y91nzij9AnC5OWQ,https://serpapi.com/search.json?data_id=0xa1e31439e4e631%3A0xf6405a2236455859&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1e31439e4e631%3A0xf6405a2236455859&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJMebkORTjoQARWVhFNiJaQPY,"Ibertioga, MG",lojas_decoracao,2025-07-28T20:59:13.150665,COMPLETA
