position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Área Comercial de Ibituruna,ChIJbar0F80eoAARawuqfxpJ51k,0xa01ecd17f4aa6d:0x59e7491a7faa0b6b,6478226967155575659,/g/11c1nyczt3,4.5,28,Centro comercial,Centro comercial,business_center,"Av. Pres. Médici, 510, Ibituruna - MG, 37223-000, Brasil",-21.1518995,-44.7492729,,,Aberto ⋅ Fecha às 23:00,Aberto ⋅ Fecha às 23:00,segunda-feira: 07:00–23:00; terça-feira: 07:00–23:00; quarta-feira: 07:00–23:00; quinta-feira: 07:00–23:00; sexta-feira: 07:00–23:00; sábado: 07:00–23:00; domingo: 07:00–23:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Lugar bonito e pacato!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4np16PqCb05ShKVD-vaYwPPTsXDZ2XE5JOJuiH_USQT3460-Zyv6z1W_CfHgptv8zpTHGqH6AlENl1O0HeDxMq8ISvST_bLeq90lSVKiTo1pv4L-P9arpAuMotnyFKp8foQW-bw=w163-h92-k-no,https://serpapi.com/images/url/f3UzNnicBcHdboIwGADQJ_qECjawxAsCbp3oxLT-3hAhlZp1bbGlqM-3l9jb7Jy_X-GcsW9BIEU06bTuJB8sv7daOa7cpNU_QWcstBZskOWpiJVBuOrzJpxRUe4L8JfTWFXMHovz9LiYLTfL4UbqHd2yKMYhnJ8ev9Chzq-kM84nL8PIR09wJhdfEm1CwovHuk8-qaesbla8T0NJ9-WNaWR8vIIqvdxNNqy1U8_30iRXvT1AM85HhCMQ6RS-Qel__2tDVQ,https://serpapi.com/search.json?data_id=0xa01ecd17f4aa6d%3A0x59e7491a7faa0b6b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa01ecd17f4aa6d%3A0x59e7491a7faa0b6b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJbar0F80eoAARawuqfxpJ51k,"Ibituruna, MG",lojas_presentes,2025-07-28T21:01:43.886622,COMPLETA
2,Ibituruna/MG,ChIJiaWUIgcfoAAROAguqVFwiLs,0xa01f072294a589:0xbb887051a92e0838,13513174177958201400,/g/11vjpc2g0l,4.9,15,Atração turística,Atração turística,tourist_attraction,"Ibituruna - MG, 37223-000, Brasil",-21.1528079,-44.749702,,,,,,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Com a Serra d""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noVevw6b7Fb3h4fr71OafuxFsDuVWHISVcELmm6Iw2UFBD43o4Prx1jAjq9JmfY5HnKHf--QEF7kQlQ8mHkU3bFy9__KAVAoQV0lhtxFJSHppPJ3y7b75QKUaNAEZ-BWVJdOWtjuHeGDxmc=w204-h92-k-no,https://serpapi.com/images/url/Vzq4MnicBcFRboMgAADQE1FbsWUu2QetMqrLWtKIWX-aylCiAk5w2kPuAL3N3nv-Ke8H9xoEvYKrxtqml5OTo7DGS-NXwuqgGRwQDrgAH2IVGcvl77yrEKmgiuoRbU73elqISyZe0uOFi_RD691xDguyTyJoo_O4bFrc_sSZrr-21OS0BoClBHWsZy-adgWsyCO-3XLMsWV83Su_kOxCh-GcwQeq0Jblxf0Tp1ewL3n2fSp9O1H5nixavM3hOgIqDkEHjP0HpT1GBw,https://serpapi.com/search.json?data_id=0xa01f072294a589%3A0xbb887051a92e0838&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa01f072294a589%3A0xbb887051a92e0838&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJiaWUIgcfoAAROAguqVFwiLs,"Ibituruna, MG",lojas_presentes,2025-07-28T21:01:43.886622,COMPLETA
3,Lifecell,ChIJ5XcJDLgfoAARUS5bEC5i41w,0xa01fb80c0977e5:0x5ce3622e105b2e51,6693301421185117777,/g/11kg_ycmqy,5,1,Loja de eletrônicos,Loja de eletrônicos,electronics_store,"Av. Pres. Médici, Ibituruna - MG, 37223-000, Brasil",-21.1550023,-44.756301799999996,+55 35 99884-9761,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–18:30; domingo: Fechado,,,,Cartão de débito,Entrega,,,,,https://serpapi.com/search.json?data_id=0xa01fb80c0977e5%3A0x5ce3622e105b2e51&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa01fb80c0977e5%3A0x5ce3622e105b2e51&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5XcJDLgfoAARUS5bEC5i41w,"Ibituruna, MG",lojas_presentes,2025-07-28T21:01:43.886622,COMPLETA
4,Super Mais,ChIJ-T99mWsfoAARsssT_2PkVhc,0xa01f6b997d3ff9:0x1756e463ff13cbb2,1681782629001841586,/g/11nxps3k9b,4,9,Supermercado,Supermercado,supermarket,"Ibituruna - MG, 37223-000, Brasil",-21.1521345,-44.749046899999996,,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–19:00; terça-feira: 07:00–19:00; quarta-feira: 07:00–19:00; quinta-feira: 07:00–19:00; sexta-feira: 07:00–19:00; sábado: 07:00–19:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC, Pluxee",,,"""Bom lugar p compras""",,,https://serpapi.com/search.json?data_id=0xa01f6b997d3ff9%3A0x1756e463ff13cbb2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa01f6b997d3ff9%3A0x1756e463ff13cbb2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ-T99mWsfoAARsssT_2PkVhc,"Ibituruna, MG",lojas_presentes,2025-07-28T21:01:43.886622,COMPLETA
5,Praça do Relógio de Ibituruna,ChIJe0oGVM0eoAARVaMNlx5b-28,0xa01ecd54064a7b:0x6ffb5b1e970da355,8069143344305775445,/g/11c52qskpg,4.3,47,Parque municipal,Parque municipal,city_park,"Av. Pres. Médici, 510, Ibituruna - MG, 37223-000, Brasil",-21.1514931,-44.747803999999995,,,,,,,,,,,,"""Povo maravilhoso!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npg2BaoeF-aArCODvpqECnH7_Nh5ns9rmLXcENqjEOgD_HcJimLKQlh_yTjs1uds2H5CeY4rIiv3G0ggegPj-EmmCYQpH4SLCkZDv3eOZYLEjerbz_BTDlJ3gAnRUM70yNieT32Jw=w122-h92-k-no,https://serpapi.com/images/url/Z3N-4HicBcHdboIwGADQJ6poizEs2QWWOsYYzI0lwxui3ZevIP2xRYx7wT3D3mbn_P2qaXLhIYpGxRZoLY5wDeClNROYaSGtjtAFIgMJUcoTFRuHdHu0sCPH1PM6m91FcJNvukqtTUi8Lr-kqC6DqDHrcln0unzZj6q7N0NYXb8Dzdcc2tg_9zN7WiICvg1EaM3bvcvjj5KfD9nMoD60pRjAn366bZONBcPUvH--bpb3qoeG0eL2eFtRSlRCyZkY-w9310U6,https://serpapi.com/search.json?data_id=0xa01ecd54064a7b%3A0x6ffb5b1e970da355&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa01ecd54064a7b%3A0x6ffb5b1e970da355&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJe0oGVM0eoAARVaMNlx5b-28,"Ibituruna, MG",lojas_presentes,2025-07-28T21:01:43.886622,COMPLETA
6,Loja e Mercearia Michel,ChIJ-_a8tycZoAARAoa8Dcbmo3M,0xa01927b7bcf6fb:0x73a3e6c60dbc8602,8332757473873921538,/g/1tf_v2gf,3.5,8,Mercado,Mercado,market,"Av. Pres. Médici, Ibituruna - MG, 37223-000, Brasil",-21.152257199999998,-44.750480599999996,+55 35 3844-1193,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: 08:00–12:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npKKfSghHv8xEIgtA8ZtwJDzb4b8hTv2TsBOoWfroTNp5W4AFHN_-yRelXUTKC_7c78XH8NGn14QSxhLDIDfiJCgm7qgW8azAmwAm0eCHtA3nxCQk7IIM7j5oHCsWEJ7T5nBKwo=w163-h92-k-no,https://serpapi.com/images/url/sIQlfXicBcFRboIwGADgE1VUwFYTH2pBC2wYtQbjC1FSWif0Z7YT9H47xG6z7_v71c51duF5jfZHCkA18sfKRwXGSeNGFbSe6iyqLLIeZXMdmC7L6oPS_EmGOFGOkrPr0-h9Da5Ei-dU2NUWivoBIu_CIqBrnpfotZfN6SgyVuIKkxMn-cZMgt1h0B9REtW3lKkWf6uCXN607Wk7low76puB7e44ST7xVwic2SJOsQjNKuth2U9mPtLzKbojA_-tg0Oh,https://serpapi.com/search.json?data_id=0xa01927b7bcf6fb%3A0x73a3e6c60dbc8602&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa01927b7bcf6fb%3A0x73a3e6c60dbc8602&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ-_a8tycZoAARAoa8Dcbmo3M,"Ibituruna, MG",lojas_presentes,2025-07-28T21:01:43.886622,COMPLETA
7,Estátua de Fernão Dias Paes e igreja de São Gonçalo.,ChIJwXbZe80eoAARqjVeShvOrbM,0xa01ecd7bd976c1:0xb3adce1b4a5e35aa,12947231120367170986,/g/11c4wt9hx2,4.3,50,Atração turística,"Atração turística, Monumento",tourist_attraction,"Ibituruna - MG, 37223-000, Brasil",-21.1533576,-44.7479243,,,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Ibituruna/ MG""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqX9dxwspYfahdcxBBQWUo96iMRqu62QiXKAtJuhBdZ3-2Cdq498AtrpyC3by6S3eyJaNi9If43U09JOv65oK-Z9rhUF9QWoWyConbpncjinaJfHi_MFwNgYqz5VCk0r5ALVnfgnQ=w138-h92-k-no,https://serpapi.com/images/url/gZdUsXicBcHRboIwFADQL6o4CsS7ZA_QxGw4XdiCqC8LFmg73b2FliH7wX2Df7Nz7n_ae-seg-Cq-UIRqWs7unaQhL5Fv5D0HSjrmHTMBakAHWF_gOY2OXvsat3IW5YVVUmQmO17PyZhYQ6b1OejzpoTZ6Fo-ghWqR_sLPh5Tj54O-f1zsBLF_FyCfnbTxLThp1g0OUaioqqWRCeLcovg3XePZvP7XraqWP_G-_FZTnE6eseO4XF0_TAV0xDyC4M6R90mEWN,https://serpapi.com/search.json?data_id=0xa01ecd7bd976c1%3A0xb3adce1b4a5e35aa&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa01ecd7bd976c1%3A0xb3adce1b4a5e35aa&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJwXbZe80eoAARqjVeShvOrbM,"Ibituruna, MG",lojas_presentes,2025-07-28T21:01:43.886622,COMPLETA
8,Estrada Real: Marco Ibituruna/MG,ChIJ30MMAywZoAAR-SI87iNF_-c,0xa0192c030c43df:0xe7ff4523ee3c22f9,16717156362445660921,/g/11c52cd4dk,5,3,Marco histórico,Marco histórico,historical_landmark,"Av. Pres. Médici - Centro, Ibituruna - MG, 37223-000, Brasil",-21.148267999999998,-44.743295499999995,,,,,,,,,,,,"""Uma boa alternativa para sair da Fernão Dias""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npbQFYpwXPmjQCPf5N7vX94vrMHDnxP3oFt0h3DIxN-Pw78FwodPYtuEk04ttYBCIVO04AoqhTNmIG-A7DaYdSOLRan411nZgohafTBAaeooquLgMKmPTsmQiQJFy6bBgg0DA4_lQ=w122-h92-k-no,https://serpapi.com/images/url/xWsuSnicBcFbcoIwFADQFUVeaRFn_AhQFB-YWKYj_enwMlFJLpogukLX4G56zvsljOn1zLI64U04AO_aQbe3GpRplZnUIC3ea1RrpC0SBQKrvmJJ0Y8HKs8sosePzL8fAny_bZexelAPEmMLL04fGaKjP01GaGhhhq-LjY0pwij92dmYwFXkmUwXiPhxWTTfu82-VNhx1C8HUR7zkJQtwHXY8O1a0lxLdmKr5PlZhZzbMcF_HZuPjusiEbjoghT8Azl8RMo,https://serpapi.com/search.json?data_id=0xa0192c030c43df%3A0xe7ff4523ee3c22f9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa0192c030c43df%3A0xe7ff4523ee3c22f9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ30MMAywZoAAR-SI87iNF_-c,"Ibituruna, MG",lojas_presentes,2025-07-28T21:01:43.886622,COMPLETA
9,Sublime joias,ChIJPSOGmdwZoAARx4ReJPrIY4E,0xa019dc9986233d:0x8163c8fa245e84c7,9323516630264612039,/g/11k3rrwst6,,0,Loja de acessórios de moda,Loja de acessórios de moda,fashion_accessories_store,"R. Pref. Antônio Bolognani, 117 - Centro, Ibituruna - MG, 37223-000, Brasil",-21.1509239,-44.7483578,+55 35 99885-5410,https://instagram.com/sublimesemi_joias?igshid=YmMyMTA2M2Y=,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:00; terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja",,,,,https://serpapi.com/search.json?data_id=0xa019dc9986233d%3A0x8163c8fa245e84c7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa019dc9986233d%3A0x8163c8fa245e84c7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJPSOGmdwZoAARx4ReJPrIY4E,"Ibituruna, MG",lojas_presentes,2025-07-28T21:01:43.886622,COMPLETA
10,Praça dos Bandeirantes,ChIJ7dJGl80eoAARqxTduARKPaQ,0xa01ecd9746d2ed:0xa43d4a04b8dd14ab,11834696779941352619,/g/11c52cgn5v,,0,Praça,Praça,plaza,"R. Silvestre Machado, Ibituruna - MG, 37223-000, Brasil",-21.1539996,-44.7484544,,,,,,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Lugar histórico e ótimo para fotos!!""",,,https://serpapi.com/search.json?data_id=0xa01ecd9746d2ed%3A0xa43d4a04b8dd14ab&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa01ecd9746d2ed%3A0xa43d4a04b8dd14ab&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7dJGl80eoAARqxTduARKPaQ,"Ibituruna, MG",lojas_presentes,2025-07-28T21:01:43.886622,COMPLETA
