position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Lilian Presentes e Variedades (cestas),ChIJ6W-jAADrpgAR8Q75X5dQHR4,0xa6eb0000a36fe9:0x1e1d50975ff90ef1,2169979206542888689,/g/11ycydvfd3,5,2,Loja de Presentes,Loja de Presentes,gift_shop,"R. das Magnólias, 39 - Sapucaias I, Contagem - MG, 32071-140, Brasil",-19.9202662,-44.1282061,+55 31 99179-7683,https://www.instagram.com/lilianpresentesevariedades?igsh=MWV1bHg3YTFwdTJjbw==,,,,,,,,,,"""Excelente cestas!!Trabalho incrível!!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noo2S12qJnqMBqKG8O3H-HLSxm9k3Rrw9ehvLudRGr9Do1WEOxnN1gpeYPfdDgQnjgMyaj1l7dWIbvKYR0DXYF6Hcsixbc6C3rNEyUf8OPGvdkfgUM_lfVbWiViSP4sNqZoehY=w80-h129-k-no,https://serpapi.com/images/url/djoBhHicBcFbcoIwFADQFUUIMEo6048qFnzwKIxS_HFKCAmCuUAQYX9uwt30nPdLDEOrPjStEeaCA_CGPRTrKciByWFB4a7xViGqkNK-NkRYEsBIsNHtZeevu4Nrh6aHvGMy3Ultxv2TMDEeH0Xs9sQBnG7DSQaYtyyLysLhP_LG_fnvhptVke7y8ZDFuvObfS89qqopp8uN2Qfb-VTaYeSORV3yk39tynOeVucqiSwVdBdgIvt82joS2CCoRhL-AYoiRPg,https://serpapi.com/search.json?data_id=0xa6eb0000a36fe9%3A0x1e1d50975ff90ef1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6eb0000a36fe9%3A0x1e1d50975ff90ef1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6W-jAADrpgAR8Q75X5dQHR4,"Inconfidência (Sebollas), MG",lojas_presentes,2025-07-28T21:04:29.416893,COMPLETA
2,Ângela Kilson Presentes,ChIJrQljgkIgogAR01rP0f-6Xz0,0xa22042826309ad:0x3d5fbaffd1cf5ad3,4422458967000570579,/g/1vnrm7gl,4.3,25,Loja de Presentes,Loja de Presentes,gift_shop,"R. Tiradentes, 140 - Centro, Barbacena - MG, 36200-062, Brasil",-21.2196858,-43.7714457,+55 32 3331-4531,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=S9xkThJQ19n4FqnIeFNffw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=103.59665&pitch=0&thumbfov=100,https://serpapi.com/images/url/qmjmqnicHc3BCsIgHIDxt_GWumojA-k2qEMQdQ_n_lPJqU3T9Ta9Vm_T6PzB7_t-dEoh7gmJaQJI2UAJZgYbV0Fg5b2yIIKJWPqR5Iok_Ro7J4w9BOG86fmVzY-bPl0q5rbt0x2hPQ9DQbK7S2vAJR5BTFJjVRZx8j1WIaLCdxRpztboLQqv6AbXrGlqFEySmlP0vww-L4n-AHY4OYc,https://serpapi.com/search.json?data_id=0xa22042826309ad%3A0x3d5fbaffd1cf5ad3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa22042826309ad%3A0x3d5fbaffd1cf5ad3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJrQljgkIgogAR01rP0f-6Xz0,"Inconfidência (Sebollas), MG",lojas_presentes,2025-07-28T21:04:29.416893,COMPLETA
3,Inconfidência (Sebollas) distrito de Paraíba do Sul - RJ,ChIJo-53RG75mAARe9caiUVNxao,0x98f96e4477eea3:0xaac54d45891ad77b,12305326517908068219,/g/11q1tlyj0w,4.8,25,Marco histórico,Marco histórico,historical_landmark,"Estr. Alberto Tôrres, 260 - Inconfidência, Paraíba do Sul - RJ, 25850-000, Brasil",-22.253151,-43.1911846,+55 21 98317-1703,,,,,,,,,,,"""Um lugar que surpreendeu e apesar de simples, possui muita história!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nod1dN-vJsS6tvLWd7Az-ngmcWzVTpwzdwD4ZYcSVrUC5Q4ANOO4elXaxEhjDMapT6F8c2--5ayQgVb3zzbxREvzieOiqhU-4xoojqGh5apvS8OuBGBJJhTJGVc1IbtJfLBsqn4=w189-h92-k-no,https://serpapi.com/images/url/j_43lnicBcFbjoIwFADQFV0JWhQm8QN8EBtH4oCg_kGprYptsRWw-5tFuBvP-fxzY5T-cZyGT0ZMStbQl6ZPIoWhwoyIfDhMaSAatBMuAo6ErN16Bx3W6dR026KehRYEe5DC5pnqbd0v0flE0vx5WHh7FO6SBNHmWA4rflv-liqbrn0yBvDK957l1cTaavhbdfZKk2vLD4AGKW9tzL1SdamfvKI4wphnOM6Ju6kMvmwj3Qo0710_AB6M4Q5CfgEaCkVm,https://serpapi.com/search.json?data_id=0x98f96e4477eea3%3A0xaac54d45891ad77b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98f96e4477eea3%3A0xaac54d45891ad77b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJo-53RG75mAARe9caiUVNxao,"Inconfidência (Sebollas), MG",lojas_presentes,2025-07-28T21:04:29.416893,COMPLETA
4,Sebollas,ChIJdWTZj0r5mAARRzV1ZMuhKR0,0x98f94a8fd96475:0x1d29a1cb64753547,2101388596080883015,/g/11p4q7yx2p,4.7,323,Atração turística,Atração turística,tourist_attraction,"R. José Tavares dos Reis, 355 - Inconfidência, Paraíba do Sul - RJ, 25850-000, Brasil",-22.2509332,-43.189627,+55 24 2266-0838,https://www.sebollas.com.br/,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""O povoado de Sebollas é pequeno e tranquilo!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqcn03r9wGeYRz1rQP80d2qf7cIhN8gJfIz6ng_PFsezY7-UarEysWmQ7MiEJhvlM5qtHEY_PBhfA9nM07Wgf8KkYpwihKnQiEXuqlUrOsEAGC-ytkx1D9vT0OPiLZxeQTVscUu=w163-h92-k-no,https://serpapi.com/images/url/gqZpiHicBcFbjoIwFADQFVVARqEmfjBa3ygYGQd_jKmlJWALvUWE_bkId-M5n7cwpoKJZZXCHXCleMkaYJoqaZg0A6oeFq8AUUBgBTMsfmRNpe1q3C5ZeuwdHUe-fR_WmUfXYu_zTbbux5JfowWwPvVQctOkg_Mj9sKcbMSzDEe1WZH0Gv2KLMAytL0zz_xtkVZtLrYyzsl_U5eJPgAJljPUmeLlzPHzZB-ifHd5sfj0BzRppq0zdpHAQ1Qgqb75A0V1,https://serpapi.com/search.json?data_id=0x98f94a8fd96475%3A0x1d29a1cb64753547&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98f94a8fd96475%3A0x1d29a1cb64753547&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJdWTZj0r5mAARRzV1ZMuhKR0,"Inconfidência (Sebollas), MG",lojas_presentes,2025-07-28T21:04:29.416893,COMPLETA
5,Lembrei. Presentes Criativos,ChIJdy6AgOiXpgAR5KOJAns4LeU,0xa697e880802e77:0xe52d387b0289a3e4,16513917509612184548,/g/11q1pnlsk2,4.9,10,Loja de presentes,"Loja de presentes, Decorador de interiores",novelty_store,"Av. Professor Mário Werneck, 1360 - Buritis, Belo Horizonte - MG, 30455-610, Brasil",-19.9682434,-43.9652069,+55 31 97148-9266,https://www.instagram.com/lembreibh/,Fecha em breve ⋅ 21:30 ⋅ Abre ter. às 09:30,Fecha em breve ⋅ 21:30 ⋅ Abre ter. às 09:30,segunda-feira: 09:30–21:30; terça-feira: 09:30–21:30; quarta-feira: 09:30–21:30; quinta-feira: 09:30–21:30; sexta-feira: 09:30–21:30; sábado: 09:30–21:30; domingo: 11:00–17:00,,,"Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""Encontra nesta loja muitos presentes temáticos e produtos criativos.""",https://lh3.googleusercontent.com/p/AF1QipN1bZS71f5pZfEWmmTy7V2pneqIEElsOQfB7dhW=w80-h106-k-no,https://serpapi.com/images/url/gzmu_XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngZ5gUFWxumGZaEJXmGp6bG1JpHmZUkJda6OnqmlPsH5jmZJ6SEW5bbmGgm2FoYKabrZuXDwCkkSFB,https://serpapi.com/search.json?data_id=0xa697e880802e77%3A0xe52d387b0289a3e4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa697e880802e77%3A0xe52d387b0289a3e4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJdy6AgOiXpgAR5KOJAns4LeU,"Inconfidência (Sebollas), MG",lojas_presentes,2025-07-28T21:04:29.416893,COMPLETA
6,Especial presentes Ouro Branco,ChIJm2CEdJflowAR7MJNqH-RErI,0xa3e5977484609b:0xb212917fa84dc2ec,12831478265802506988,/g/11rfqzs528,5,1,Loja de presentes,"Loja de presentes, Service establishment",novelty_store,,-20.530506,-43.707130199999995,+55 31 98966-0564,https://instagram.com/especialpresentes_ob?utm_medium=copy_link,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–21:00; terça-feira: 07:00–18:30; quarta-feira: 07:00–21:00; quinta-feira: 07:00–21:00; sexta-feira: 07:00–21:00; sábado: 07:00–21:00; domingo: 07:00–18:30,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipMXr_NO93yD_BLw-i0LxkrbEzr7WMBVmUxCECbW=w92-h92-k-no,https://serpapi.com/images/url/hLpdV3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG1EU7-dvaVzpEu_kU66baeBTkV2U5FpVZB7u6xSWG1rh7OqcFG5bbmmkmwHE2bp5-QCH1CEX,https://serpapi.com/search.json?data_id=0xa3e5977484609b%3A0xb212917fa84dc2ec&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3e5977484609b%3A0xb212917fa84dc2ec&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJm2CEdJflowAR7MJNqH-RErI,"Inconfidência (Sebollas), MG",lojas_presentes,2025-07-28T21:04:29.416893,COMPLETA
7,ABV PRESENTES,ChIJDcZkhyJXowQRuUTttxJCa54,0x4a357228764c60d:0x9e6b4212b7ed44b9,11415290328663278777,/g/11k5553cdk,5,1,Loja de Presentes,"Loja de Presentes, Service establishment",gift_shop,,-18.5779679,-45.4514553,+55 31 98235-5277,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipPrsMSfqRutOoCG2a02kwNLySMomcv9zPKv8Y2o=w92-h92-k-no,https://serpapi.com/images/url/BRHm-HicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUFTsG5xWGFRa4p_v7G6UaGCUXe7nUxnsm5-bXGZZFeBdZhFplG9bbmmkmwHE2bp5-QCgfCGw,https://serpapi.com/search.json?data_id=0x4a357228764c60d%3A0x9e6b4212b7ed44b9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x4a357228764c60d%3A0x9e6b4212b7ed44b9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJDcZkhyJXowQRuUTttxJCa54,"Inconfidência (Sebollas), MG",lojas_presentes,2025-07-28T21:04:29.416893,COMPLETA
2,Solino Artesanato,ChIJs88aCRG_oQARPPojpFXKzjI,0xa1bf11091acfb3:0x32ceca55a423fa3c,3661086016273644092,/g/11c6vyq3c2,4.5,187,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"Unnamed Road, 36325-000, Tiradentes - MG, Brasil",-21.0994304,-44.146104,,,Fechado ⋅ Abre qua. às 09:00,Fechado ⋅ Abre qua. às 09:00,segunda-feira: 09:00–17:00; terça-feira: Fechado; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–17:00; domingo: 09:09–17:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Lugar obrigatório para comprar artesanato em Tiradentes""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqDK59Os8N7s7QTLWjBquC8_a_OvyOMS1K6mihw3sVOQc3J9BJjAdFV_UYyUSqrbVu_I6MJRDXsg3870UpN-wWzDa55TwQeBDoPs_cqTj98WiaI692yrAQHBA44Dnxy6Cp9WIHkAw=w122-h92-k-no,https://serpapi.com/images/url/B58B4nicBcFbcoIwFADQFUUq7zjTj0DGEXwglUf7laGRIaImwIWmuEHX4G485_UU49jByjBuwlo0SjW3eoJ64EqOtRwXXN2NpgPEAYFBQixs2dOtgxPwDx54abYr26CfQp9VLPmbk_1puXXvF6EtKJKUWzEO4pac1wXLf-b81A-_xcQidx9_0W9oLN_7yLsD0uWDVo6T6bQOqDoC433WYr-8VJGLzXkg6SYgtk3l_-yGHS6jzZXoT700TSSwia5IqjfvkUPX,https://serpapi.com/search.json?data_id=0xa1bf11091acfb3%3A0x32ceca55a423fa3c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1bf11091acfb3%3A0x32ceca55a423fa3c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJs88aCRG_oQARPPojpFXKzjI,"Inconfidência (Sebollas), MG",lojas_artesanato,2025-07-28T21:04:32.478159,COMPLETA
3,Entre Minas Loja Colaborativa,ChIJ18cMJ5mPpgARyMgpuU0HbJs,0xa68f99270cc7d7:0x9b6c074db929c8c8,11199334403763980488,/g/11flc01bk1,5,231,Artesanato,"Artesanato, Ateliê de arte, Loja de bordados",handicraft,"R. Direita, 7 - Tiradentes, MG, 36325-000, Brasil",-21.109225,-44.1770413,,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 10:00–17:00; terça-feira: 09:00–16:00; quarta-feira: 10:00–17:00; quinta-feira: 10:00–18:00; sexta-feira: 10:00–19:00; sábado: 10:00–19:00; domingo: 09:00–13:00,,,,"Cartão de crédito, Cartão de débito",,,"""Loja muito bacana melhor loja de artesanato de tiradentes""",https://lh3.googleusercontent.com/p/AF1QipPO84u9hKL7Sq_GC2JKV97ihkR35MeU5qO3jtcI=w80-h141-k-no,https://serpapi.com/images/url/sJqjvnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4G9hUmqZ4e1jHlwY7-5s5OUdZmmemZEdZGzqmxpqWuhvnFWS7GlbbmGgm2FoYqibrZuXDwCEuiBN,https://serpapi.com/search.json?data_id=0xa68f99270cc7d7%3A0x9b6c074db929c8c8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa68f99270cc7d7%3A0x9b6c074db929c8c8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ18cMJ5mPpgARyMgpuU0HbJs,"Inconfidência (Sebollas), MG",lojas_artesanato,2025-07-28T21:04:32.478159,COMPLETA
4,Empório Vó Olívia,ChIJ7UQa9oNPogARGsNTyJHMwX0,0xa24f83f61a44ed:0x7dc1cc91c853c31a,9061748851749405466,/g/11h565t3lh,4.9,2840,Artesanato,"Artesanato, Centro de arte, Ateliê de arte, Central de artesanato, Loja de artigos colecionáveis, Loja de artigos domésticos, Decorador de interiores, Pintura, Loja de artigos religiosos, Loja",handicraft,"R. Cel. Albuquerque, 68 - Centro, Mercês - MG, 36190-000, Brasil",-21.1982479,-43.342451,+55 32 3489-0248,https://www.voolivia.com.br/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:30; domingo: Fechado,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Serviços no local,,"""Adorei os ítens vendidos nessa loja, são originais e de muito bom gosto!""",https://lh3.googleusercontent.com/p/AF1QipOWfGZYR5mVgZmIfnCzNv-k9RHJEuxzO9oxZMeb=w141-h92-k-no,https://serpapi.com/images/url/tR_NP3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH57mHhUZZJoblh6V65mW51zlV6abbRnk4eVaWlHlb5lfEeWbmmRbbmhiqJthaaSbrZuXDwC4XyHS,https://serpapi.com/search.json?data_id=0xa24f83f61a44ed%3A0x7dc1cc91c853c31a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa24f83f61a44ed%3A0x7dc1cc91c853c31a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7UQa9oNPogARGsNTyJHMwX0,"Inconfidência (Sebollas), MG",lojas_artesanato,2025-07-28T21:04:32.478159,COMPLETA
