position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Bem Plena Convites e Gifts Exclusivos,ChIJk9EyFVCppgARmw-XqK7dRt4,0xa6a9501532d193:0xde46ddaea8970f9b,16016732867012267931,/g/11n0bt9kv1,5,23,Loja de presentes,"Loja de presentes, Loja de produtos de papelaria, Fornecedor de Brindes, Designer Gráfico, Serviço de impressão de convites, Fabricante de artigos de papelaria",novelty_store,"R. Belo Horizonte, 696 - Lourdes, Itabirito - MG, 35450-206, Brasil",-20.248908999999998,-43.801285,+55 31 99215-3410,http://www.lojasbemplena.com.br/,Fechado ⋅ Abre ter. às 10:00,Fechado ⋅ Abre ter. às 10:00,segunda-feira: 10:00–19:00; terça-feira: 10:00–19:00; quarta-feira: 10:00–19:00; quinta-feira: 10:00–19:00; sexta-feira: 10:00–19:00; sábado: Fechado; domingo: Fechado,,,Assento com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npF22O27NQLRuCOzGG4HZgnpmgTZykROlvDb-S6uMYU2w4jVjHLlPYWnym9cGZWQN60J_Xa6ewWXzzqRYrmJVSH1oP_r3G_4cXRqCInWZTbZGONCdI6dpUI8ZHILkmSXRRiFDcB=w80-h142-k-no,https://serpapi.com/images/url/z3G5MXicBcFJDoIwAADAF1W0NrgkHhRjwSBoEYFeiFZSFLpIQSL_8xH-xpnft2xbbZaWVZfTEVeK10VnioYp2RayHTElLK4NYAYYa-0sSiT1DsIQzoKTTzonHDBGLuVSC36mn4qE9Xt7A5HdHbIY9uh5ebp-fcwS-RELhmlyCuzxPk-vdtEn6TC8SNaI_SVyJ-qYN1OcI5aSl-PJhJ5vFIeBc_fsu469OXU9vxJRSshjt2WbVT8fg3KCIKiAVH-qGUQf,https://serpapi.com/search.json?data_id=0xa6a9501532d193%3A0xde46ddaea8970f9b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a9501532d193%3A0xde46ddaea8970f9b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJk9EyFVCppgARmw-XqK7dRt4,"Itabirito, MG",lojas_presentes,2025-07-28T21:16:37.996596,COMPLETA
2,D'Presentes,ChIJ--uKmR2qpgARkx9mshJpeNs,0xa6aa1d998aebfb:0xdb786912b2661f93,15814505620534861715,/g/1tfs29bd,4,3,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Queiroz Júnior, 132 - Centro, Itabirito - MG, 35450-000, Brasil",-20.2543135,-43.8030689,+55 31 3561-3086,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=o-jqq3xU20CuyVJdcJVp6Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=57.84194&pitch=0&thumbfov=100,https://serpapi.com/images/url/GH9vTXicHc1BEoIgFADQ27ATsKy0mT8t2rlrkdsGkYAG5SsoeprO1W1qusB7n7eJEcOZsRAnpeJiVUK7KhcyFFR7r50SaAOVvmdLzqKZ-3YQ1l1QDN524LPXOO7X-45f562pO1k3eLwR2T6ks2qIEJSYpKE6_cTJd1RjIAlKTgxUO7KJBIcTLYu8KgjaKA1w8k-efoGc8y9CCDlW,https://serpapi.com/search.json?data_id=0xa6aa1d998aebfb%3A0xdb786912b2661f93&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6aa1d998aebfb%3A0xdb786912b2661f93&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ--uKmR2qpgARkx9mshJpeNs,"Itabirito, MG",lojas_presentes,2025-07-28T21:16:37.996596,COMPLETA
3,Feliz Cesta,ChIJpwx2JjerpgARAhWjOCFDLXA,0xa6ab3726760ca7:0x702d432138a31502,8083190716163101954,/g/11gzs7j0bb,4.6,11,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. Raul Soares, 164 - Centro, Itabirito - MG, 35450-000, Brasil",-20.2563069,-43.7977025,+55 31 98861-9484,,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas,,,,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipOzbVoLQGLksAKclQDL6IQxuzXsIZ0o3s1RsjYb=w80-h149-k-no,https://serpapi.com/images/url/PDtgonicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX5UUlu8T6O6TXezonZwT6OJj5hlYUVoVUewZZZBvXGwYVJwVmWRbbmGgm2FoYqmbrZuXDwC5vyG8,https://serpapi.com/search.json?data_id=0xa6ab3726760ca7%3A0x702d432138a31502&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6ab3726760ca7%3A0x702d432138a31502&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJpwx2JjerpgARAhWjOCFDLXA,"Itabirito, MG",lojas_presentes,2025-07-28T21:16:37.996596,COMPLETA
4,"Formas, Cores & Sabores",ChIJGeS3yvappgARCIPUbYT_X6c,0xa6a9f6cab7e419:0xa75fff846dd48308,12060639271364887304,/g/1pv5_j72m,5,2,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Queiroz Júnior, 732 - Praia, Itabirito - MG, 35450-000, Brasil",-20.248983199999998,-43.8039656,+55 31 3561-6954,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=g_oY2b0Y50WRz2nCvgU46Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=92.04798&pitch=0&thumbfov=100,https://serpapi.com/images/url/TDSDTnicHc1BDsIgEEDR27ATpk3V1oS48ASaGNNVQykCCYVJQVAv47m8jY2rv3v_-zEpYTwwFtOiVMpWFbRP5eIGBdUhaKcE2khlmFmuWDKPefTCuiMKH-zE9RD6eoR-C7fLu_anrK_N7kzkOEhnlU88KrFIQ3VZxSVMVGMkhbdADO9q8hJlDYVm37UEbZKGA_lP7iHzCuAHG0I44Q,https://serpapi.com/search.json?data_id=0xa6a9f6cab7e419%3A0xa75fff846dd48308&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a9f6cab7e419%3A0xa75fff846dd48308&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJGeS3yvappgARCIPUbYT_X6c,"Itabirito, MG",lojas_presentes,2025-07-28T21:16:37.996596,COMPLETA
5,Mini Shop presentes,ChIJd6XfTvGppgARR51HT8wcRUg,0xa6a9f14edfa577:0x48451ccc4f479d47,5207600207952846151,/g/1tdwlrlv,4.3,7,Loja,"Loja, Loja de CDs, Loja de acessórios para dispositivos móveis, Loja de Conveniência, Loja de produtos de papelaria, Loja de eletrônicos, Impressões, Loja de Brinquedos, Loja de variedades",store,"Av. Queiroz Júnior, 795 - Praia, Itabirito - MG, 35450-228, Brasil",-20.2483544,-43.804371599999996,+55 31 3979-1308,,Fechado ⋅ Abre ter. às 09:30,Fechado ⋅ Abre ter. às 09:30,segunda-feira: 09:30–19:30; terça-feira: 09:30–19:30; quarta-feira: 09:30–19:30; quinta-feira: 09:30–19:30; sexta-feira: 09:30–19:30; sábado: 09:30–16:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Compras na loja,,,https://lh3.googleusercontent.com/p/AF1QipNfFpBEDf0g5zdEwFY2xw7gnQQrCcRJ-AxIv_kC=w163-h92-k-no,https://serpapi.com/images/url/im7esXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl-ZW4OTqkmaQblqV4lruFmlUUW6enhcYWOScHOSl61jhWRaf7WxbbmhmrJthaaSbrZuXDwCouSFR,https://serpapi.com/search.json?data_id=0xa6a9f14edfa577%3A0x48451ccc4f479d47&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a9f14edfa577%3A0x48451ccc4f479d47&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJd6XfTvGppgARR51HT8wcRUg,"Itabirito, MG",lojas_presentes,2025-07-28T21:16:37.996596,COMPLETA
6,Papelaria Itabirito,ChIJrQMSYv-ppgARHl37IMpdjZo,0xa6a9ff621203ad:0x9a8d5dca20fb5d1e,11136660576275225886,/g/11bz0f7xb0,4.6,79,Papelaria,Papelaria,stationery_store,"R. João Pinheiro, 405 - Santa Efigênia, Itabirito - MG, 35450-000, Brasil",-20.2554944,-43.7958681,+55 31 3561-7610,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:30; terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 09:00–17:17; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPiYBIz9QUxuchoPgySM7-TFErTiQ18J9_RI_An=w122-h92-k-no,https://serpapi.com/images/url/tZsuT3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkBnp5FllGRhaUZqckR-QXhnsa64b4uZaFJIZaGjhZRkf5BnvmGdbbmhkpJthaaSbrZuXDwCsZyEb,https://serpapi.com/search.json?data_id=0xa6a9ff621203ad%3A0x9a8d5dca20fb5d1e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a9ff621203ad%3A0x9a8d5dca20fb5d1e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJrQMSYv-ppgARHl37IMpdjZo,"Itabirito, MG",lojas_presentes,2025-07-28T21:16:37.996596,COMPLETA
7,Lírios Papelaria e presentes,ChIJzfk4BiyppgAR2ei6TuKRMaA,0xa6a92c0638f9cd:0xa03191e24ebae8d9,11543167721096800473,/g/11shjx33nz,5,20,Papelaria,Papelaria,stationery_store,"R. Estr. Estreita, 139 - Meu sitio, Itabirito - MG, 35454-245, Brasil",-20.2750406,-43.7968045,+55 31 98264-7493,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipOnrKSOoEQw44e9-cIaHW-hHyj0b0xg213PcocN=w80-h106-k-no,https://serpapi.com/images/url/WMOJAHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn1fkHeyf7xpYbmKSaqmb7JnoEa6b4VGZZZBkUJFuZGgckJyf7GdbbmGgm2FoYKabrZuXDwCaZCC3,https://serpapi.com/search.json?data_id=0xa6a92c0638f9cd%3A0xa03191e24ebae8d9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a92c0638f9cd%3A0xa03191e24ebae8d9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJzfk4BiyppgAR2ei6TuKRMaA,"Itabirito, MG",lojas_presentes,2025-07-28T21:16:37.996596,COMPLETA
8,Mania Papelaria e Presentes,ChIJFwrCKfappgARwYq6P_9Rmck,0xa6a9f629c20a17:0xc99951ff3fba8ac1,14526732229787945665,/g/1tfk12dy,4.9,14,Papelaria,Papelaria,stationery_store,"Av. Queiroz Júnior, 74 - Centro, Itabirito - MG, 35450-069, Brasil",-20.254949,-43.8030082,+55 31 3561-3273,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:30; terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento excelente,  com funcionárias atenciosas.""",https://lh3.googleusercontent.com/p/AF1QipMaCoylCRoHi8sFssTgLM1DEOZg4eKZC8ediWtn=w97-h92-k-no,https://serpapi.com/images/url/tfu1OnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm-icX5njHJTvkWlR7FZcHJLu42vo4uoflW6S6h3lbJGakhlekmdbbmmum2FppJutm5cPAJOpIWQ,https://serpapi.com/search.json?data_id=0xa6a9f629c20a17%3A0xc99951ff3fba8ac1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a9f629c20a17%3A0xc99951ff3fba8ac1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJFwrCKfappgARwYq6P_9Rmck,"Itabirito, MG",lojas_presentes,2025-07-28T21:16:37.996596,COMPLETA
9,Papelaria Cacto de Amor,ChIJ09kyc4OppgAR5L62OpDwyfI,0xa6a9837332d9d3:0xf2c9f0903ab6bee4,17494778729748414180,/g/11h_0vlthc,5,4,Loja de produtos de papelaria,Loja de produtos de papelaria,copying_supply_store,"R. João Pessoa, 89 - Centro, Itabirito - MG, 35450-048, Brasil",-20.254284,-43.801221399999996,+55 31 98715-4905,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npbERfZuChBtBHVKGT2ZZz5LF_lCrNPZPwHavZnglFelrJ9Id68TO04FZeFFU_Ou8F-KA91425GeyVPATmKSoW_rnE0KxKpkmlx4DXejTaEqcOV4jQfC-JMb8LipWHl4NDDyRkjQw=w122-h92-k-no,https://serpapi.com/images/url/JQRgHXicBcFRkoIgAADQE5FF1Ggz-2EqWVRa61rDj1NGsorACmbtBTvD3mbf-3tza7VZOI7g01GlVCVYb1hXKmmZtKNStU6lDSgNMI4feBxJfY2Od9oHfGmXcU5WGaT0d7bFhQi6fUrTIb48qKwEZqLbeOvb3M2SMcKUYfxVJL2LAfG9CYKzFXvlqZ-15FOdik5GY_IkumnFE4VnVmeX6KdMclQf7gHY7K7u9lufYoH2Yfg6NvVh-BgmEALuQdAAqf4BDuxEYw,https://serpapi.com/search.json?data_id=0xa6a9837332d9d3%3A0xf2c9f0903ab6bee4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a9837332d9d3%3A0xf2c9f0903ab6bee4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ09kyc4OppgAR5L62OpDwyfI,"Itabirito, MG",lojas_presentes,2025-07-28T21:16:37.996596,COMPLETA
10,Frikote Copiadora,ChIJr_goD2ippgARdK7ryh_ywEE,0xa6a9680f28f8af:0x41c0f21fcaebae74,4738053026356113012,/g/1tdsl085,4.5,92,Copiadora,"Copiadora, Papelaria",copy_shop,"R. Artur Bernardes, 131 A - Centro, Itabirito - MG, 35450-090, Brasil",-20.251932999999998,-43.8032156,+55 31 3561-5960,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:00; terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–12:00; domingo: Fechado,,,,,Serviços no local,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noTtNP9GbZcVtjsal3JN7lOx129Ms8GjSffW5mn8v80akgJJTEJ9qm_ydrzUkGQ0MYbiphBvJu_FZ9R5sZTlwiahmDC9DskNH_RH_qOKYsTgoM9p9JTI_zU8Ot2nMsZcejgxhQ=w163-h92-k-no,https://serpapi.com/images/url/upGsi3icBcFbcoIwFADQFUUUfHA744dPNB1AbdSRnwxGTISQoDc-6vq6ie7Gc_7_lHMNfnmeVkFLWit1ccfiJqxxhXEtYWtPNkgEEvRGE1BdY5lLVhAdM7FzJeY6oMlAp6-ODzGGUflzPu97tQkfYTuvJKVsRuFa89_T7b2tonU7PhwvjRo_6J3PM9j0MGP6eclVPZ3AFKtkwTcLfk2_D8ikjaEBypb8vQ1T55sYM1GU8qXWw2enHxAFPqmIsR_JE0Vp,https://serpapi.com/search.json?data_id=0xa6a9680f28f8af%3A0x41c0f21fcaebae74&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a9680f28f8af%3A0x41c0f21fcaebae74&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJr_goD2ippgARdK7ryh_ywEE,"Itabirito, MG",lojas_presentes,2025-07-28T21:16:37.996596,COMPLETA
