position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Loja do Castelo,ChIJkQX09UlVmAAR_iWEsoxqzfw,0x985549f5f40591:0xfccd6a8cb28425fe,18216333220306494974,/g/11gsbl_f1k,4.8,102,Loja de souvenires,"Loja de souvenires, Loja de Presentes, Loja de moda masculina, Loja de Brinquedos, Loja de moda feminina",souvenir_store,"BR-040, Km 56, Itaipava, Petrópolis - RJ, 25750-226, Brasil",-22.362198499999998,-43.125716999999995,+55 800 799 9925,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–21:00; terça-feira: 09:00–21:00; quarta-feira: 09:00–21:00; quinta-feira: 09:00–21:00; sexta-feira: 09:00–21:00; sábado: 09:00–21:00; domingo: 09:00–21:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMz3jAevPDOYSjeP5OXuOhRAXM6Qo9zcjon1f-G=w139-h92-k-no,https://serpapi.com/images/url/DK8o7nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW2Wc5ZhaFuDiHxmclRpg6h9R6p8R5BjhaxaYb1mVnJWfZ5im625bbmhsqZthaaSbrZuXDwCsVyFL,https://serpapi.com/search.json?data_id=0x985549f5f40591%3A0xfccd6a8cb28425fe&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x985549f5f40591%3A0xfccd6a8cb28425fe&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkQX09UlVmAAR_iWEsoxqzfw,"Itaipava, MG",lojas_presentes,2025-07-28T21:20:16.932451,COMPLETA
2,LOJA DA PAULA,ChIJT-OLH8-rmQARODwpw4-zEpo,0x99abcf1f8be34f:0x9a12b38fc3293c38,11102133461457648696,/g/11s0t868v_,5,5,Loja de presentes,Loja de presentes,novelty_store,"Estrada União e Industria 11590, Itaipava , Shopping 2000, loja 6 - Itaipava, Petrópolis - RJ, 25730-745, Brasil",-22.4086627,-43.1380687,+55 24 98848-4564,https://bit.ly/lojadapaulaitaipava,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado,,,"Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Excelente atendimento, variedade de presentes.""",https://lh3.googleusercontent.com/p/AF1QipM7MSr9TXDmEPZyEuy6TjeKza7eNFSzTsIChFVF=w80-h142-k-no,https://serpapi.com/images/url/8U-MhHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga-4bXGQZEuGS6xoQVelaWmkWkpXqXZVonurnFlwVUuzpnOEW5mZbbmGgm2FoYqSbrZuXDwCqgyFW,https://serpapi.com/search.json?data_id=0x99abcf1f8be34f%3A0x9a12b38fc3293c38&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x99abcf1f8be34f%3A0x9a12b38fc3293c38&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJT-OLH8-rmQARODwpw4-zEpo,"Itaipava, MG",lojas_presentes,2025-07-28T21:20:16.932451,COMPLETA
3,Itaipava Toys,ChIJuy-jGQCrmQARuuj7HdUYPJU,0x99ab0019a32fbb:0x953c18d51dfbe8ba,10753497313864050874,/g/11f0__c8nf,4.5,38,Loja de Brinquedos,Loja de Brinquedos,toy_store,"Shopping Estação Itaipava, Estr. União e Indústria, 11.000 - loja 30 - Itaipava, Petrópolis - RJ, 25730-735, Brasil",-22.3956624,-43.1329214,+55 24 2222-6789,,Fechado ⋅ Abre ter. às 10:00,Fechado ⋅ Abre ter. às 10:00,segunda-feira: 10:00–16:00; terça-feira: 10:00–19:00; quarta-feira: 10:00–19:00; quinta-feira: 10:00–19:00; sexta-feira: 10:00–19:00; sábado: 10:00–19:00; domingo: 10:00–19:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipOnETIVDOEea9VNtS28vmF-4wIl6Gu98sOKD5YN=w122-h92-k-no,https://serpapi.com/images/url/tGz52XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn-ca4hnm4u-ammgZ5lcSbGRRluuma1LumWPmXmppUezv7WIa6WdbbmhkpJthaaSbrZuXDwCPYiBe,https://serpapi.com/search.json?data_id=0x99ab0019a32fbb%3A0x953c18d51dfbe8ba&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x99ab0019a32fbb%3A0x953c18d51dfbe8ba&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJuy-jGQCrmQARuuj7HdUYPJU,"Itaipava, MG",lojas_presentes,2025-07-28T21:20:16.932451,COMPLETA
4,Multicoisas - Itaipava,ChIJn7oMeP-rmQARjNHjjHdjY2Q,0x99abff780cba9f:0x646363778ce3d18c,7233734791603147148,/g/11nx669zn1,4.9,20,Loja de presentes,"Loja de presentes, Loja de utensílios de cozinha, Loja de artigos domésticos, Organizador profissional, Loja de ferragens, Loja de variedades",novelty_store,"Estr. União e Indústria, 11770 - Itaipava, Petrópolis - RJ, 25730-745, Brasil",-22.3884327,-43.1320657,+55 24 2243-5744,https://multicoisas.com.br/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: 10:00–18:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/p/AF1QipP9A2ydsmptG2923lZYjzDJo3-CAi-TPDckU4cG=w80-h106-k-no,https://serpapi.com/images/url/uVeH8XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYOloVJlSnFtQ4m5kaWScExWZVeXilW-s6-yYqRsS4JKcHWqS7G5bbmGgm2FoYKabrZuXDwCV4CCN,https://serpapi.com/search.json?data_id=0x99abff780cba9f%3A0x646363778ce3d18c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x99abff780cba9f%3A0x646363778ce3d18c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJn7oMeP-rmQARjNHjjHdjY2Q,"Itaipava, MG",lojas_presentes,2025-07-28T21:20:16.932451,COMPLETA
5,The Buzz Gifts,ChIJW4fnGQCrmQARV2dbGf4kALQ,0x99ab0019e7875b:0xb40024fe195b6757,12970407600592742231,/g/11fhwywfx0,4.3,15,Loja de presentes,"Loja de presentes, Loja de acessórios de moda, Papelaria",novelty_store,"Estr. União e Indústria, 10.035 - Loja 124 - Itaipava, Petrópolis - RJ, 25730-735, Brasil",-22.4016043,-43.1355463,+55 24 4104-0038,https://www.facebook.com/thebuzzgifts,Fechado ⋅ Abre ter. às 10:00,Fechado ⋅ Abre ter. às 10:00,segunda-feira: Fechado; terça-feira: 10:00–19:00; quarta-feira: 10:00–19:00; quinta-feira: 10:00–19:00; sexta-feira: 10:00–19:00; sábado: 10:00–20:00; domingo: 10:00–18:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq4YhBPHmdwS6Q2VAOV5nT6ugyTARF9n3X69a-z_VUVDVbmno-LOTkoz8-9dQfoLaNGVdynB8ATNYj7qoaVA1WPDVsrJlRd9BDTlFqA6ScBNmAB4c5I_rHSl0gB8bGqUUV439Ck=w163-h92-k-no,https://serpapi.com/images/url/571kCHicBcFbjoIwFADQFVVGwUpN5qOV-IrBB-WqXwYL00ZKr1CM0f25iNmN5_x_TN_f_TQIrAkHGlHb6uGrTqHrK9cPFDaBvnuiPPEBnzETuTY6G7FbNuUzo_sR8C2MnaQP_ZL8MGcuPFFWkPcFckjg2jgkm62s8R0TVu7_cFOkCyhfTsRcpufbpMUC-PC4S8B3a3somUiknbecZkqkDReRGq8u3TKzP1rE10Wb5xCFbFb_Poc0JIaNSE0cfgFbwULJ,https://serpapi.com/search.json?data_id=0x99ab0019e7875b%3A0xb40024fe195b6757&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x99ab0019e7875b%3A0xb40024fe195b6757&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJW4fnGQCrmQARV2dbGf4kALQ,"Itaipava, MG",lojas_presentes,2025-07-28T21:20:16.932451,COMPLETA
6,Galicia Presentes,ChIJc0frGQCrmQAROCDxA2nMtsg,0x99ab0019eb4773:0xc8b6cc6903f12038,14462972004756693048,/g/1q6785hq9,3.3,15,Shopping center,Shopping center,shopping_center,"Estr. União e Indústria, 11000 - Itaipava, Petrópolis - RJ, 25730-735, Brasil",-22.3956481,-43.1328161,+55 24 2222-4142,,Fechado ⋅ Abre ter. às 10:00,Fechado ⋅ Abre ter. às 10:00,segunda-feira: 10:00–17:30; terça-feira: 10:00–18:00; quarta-feira: 10:00–18:00; quinta-feira: 10:00–18:00; sexta-feira: 10:00–18:00; sábado: 10:00–20:00; domingo: 10:00–17:30,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Loja com muita variedade... Muito bom gosto!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4no7EchMtV9xERK4ilDjjL0PR0bxbOH1GjrTwrIkoLCEYKwDxyc3VGNvwdSjPOSSaEUje2H2NJ_wfKWSmQF9nOo2T46a_9AV14FXwEY4pCbIcPyEHE4GDavA3vQ4sddd1fNTmz9PkA=w122-h92-k-no,https://serpapi.com/images/url/Od0k5XicBcFRboIwAADQE1WkNJou2QeBCg4FFGTzy0BBugItoR3FXdAzeBvfez2Z1qP6sKyeOatWyrZv_lQzUSl0I_SKysFqRwWoAspyPcyQkFtC2VEXeCHnCP32PueHdXpeV0uVhHbAp9xM-04ePHKNjL88qFME8WzqjKdJlpXkwhsYwvjrZu7RdzacdlgkEuZoU96wW9ho92PIFY1etafpg4QEBX45u858Qqqua_se58M_Tjv309gQAoYh6ICQbzTERFk,https://serpapi.com/search.json?data_id=0x99ab0019eb4773%3A0xc8b6cc6903f12038&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x99ab0019eb4773%3A0xc8b6cc6903f12038&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJc0frGQCrmQAROCDxA2nMtsg,"Itaipava, MG",lojas_presentes,2025-07-28T21:20:16.932451,COMPLETA
7,Tableware presentes,ChIJzTnpnVermQARBCV8WsME-G0,0x99ab579de939cd:0x6df804c35a7c2504,7924088781441606916,/g/11tt2rjv9m,5,1,Loja de utensílios de cozinha,Loja de utensílios de cozinha,kitchen_supply_store,"Estr. União e Indústria, 10341 - loja 126 - Itaipava, Petrópolis - RJ, 25730-736, Brasil",-22.399185199999998,-43.1344016,+55 24 98802-0013,,Fechado ⋅ Abre ter. às 14:00,Fechado ⋅ Abre ter. às 14:00,segunda-feira: Fechado; terça-feira: 14:00–19:00; quarta-feira: 10:00–19:00; quinta-feira: 10:00–19:00; sexta-feira: 10:00–19:00; sábado: 10:00–19:00; domingo: 10:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Loja maravilhosa!!!""",https://lh3.googleusercontent.com/p/AF1QipN8vCHqqRU_wwk6nQ1AFWqbZToGSp3CyvdG1CIl=w80-h106-k-no,https://serpapi.com/images/url/wBQRJ3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngZ1Hm7FFYGBQaX16ebZYXaOjoFl6YFBWS7x5cYOxcWZbibujsmWNbbmGgm2FoYKabrZuXDwCzsyF1,https://serpapi.com/search.json?data_id=0x99ab579de939cd%3A0x6df804c35a7c2504&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x99ab579de939cd%3A0x6df804c35a7c2504&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJzTnpnVermQARBCV8WsME-G0,"Itaipava, MG",lojas_presentes,2025-07-28T21:20:16.932451,COMPLETA
8,Papelaria Itaipava,ChIJK0GmEx-rmQAR0-IWyRsoQIo,0x99ab1f13a6412b:0x8a40281bc916e2d3,9962006475546485459,/g/11gfhdvx_j,4.5,59,Papelaria,Papelaria,stationery_store,"Estr. União e Indústria, 11833 - Loja 1- 2 - Itaipava, Petrópolis - RJ, 25730-740, Brasil",-22.3879202,-43.1327323,+55 24 2222-1297,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: Fechado,,,,"Aceita somente dinheiro, Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Excelente atendimento, diversidade de produtos, bom preço.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npUyOj0JIcu1BG-ixa1rCubEwTpYhd9fMtw2VeGF2-TGFlvINaFXVS-rAAsOpUbkPOCxrw9JcSu6xVIf-BDJY0PYaG3qwMEm1oW1UGWmrg_dEZg47anFat26lCSvZGe94-2e_Q=w122-h92-k-no,https://serpapi.com/images/url/-n_HOnicBcFRboIwGADgE_1iK3Hpkj0ggwYShwuCwxdTsbYqtF1bLLvfLrHb7Pv-fqX3xr1G0SBXC6G1GPjkuO218lz5Ra_HSBgHvQMXJSmRsTLNT3VflkU_oQ2F28yQTadzFvamkxdy3fqAW05zDHuaD8_ig-VfbQ02SVxlmvNjV6WzDaTs62k9t8UVNu9lt9x1jK6-wzYbkT6ghh5GK06X7CjiF6Zy5vF6SOvnkXISA-anz7eAMAZJMDxA6X9si0Ne,https://serpapi.com/search.json?data_id=0x99ab1f13a6412b%3A0x8a40281bc916e2d3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x99ab1f13a6412b%3A0x8a40281bc916e2d3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJK0GmEx-rmQAR0-IWyRsoQIo,"Itaipava, MG",lojas_presentes,2025-07-28T21:20:16.932451,COMPLETA
9,Le Flores Itaipava,ChIJB8-B1JFVmAARbneBF0Ft9Hw,0x985591d481cf07:0x7cf46d411781776e,9003941681355126638,/g/11lc3f7k3m,4.3,7,Loja de presentes,"Loja de presentes, Entrega de flores, Designer de flores, Mercado de flores, Jardineiro, Loja de cestas de presente, Floricultura, Viveiro de plantas",novelty_store,"Estr. União e Indústria, 14405 - Itaipava, Petrópolis - RJ, 25740-360, Brasil",-22.3671425,-43.1251338,+55 24 2222-4938,https://www.lefloresitaipava.com/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–17:00; domingo: 08:00–15:00,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqJ4PQVUef1eg97pjjM_eB4yPsNZdJ5gWernQRejP3rpGsftFn8JRLpr1eD9w4_MqC3FZs3cjAysh4ZikBqsvO56XLOGGPI1hBAuK2QIrnLEXXK6dnVtZeIA4wP17sUo_Lr-e7D=w80-h106-k-no,https://serpapi.com/images/url/HRzA0nicBcFbjoIwFADQFVXsUEFM_AAfBMSxkKiEHz7w2oralt4qcYGziNmN5_z_SecMLjzvIf2J0Fo84IVgO60cKDfp9NMTBkmHBL14FUmmhpzx8nSEKwURhabv9y0k7MPxt7nkM3EGq8oKeu5bk-LVbdU8rwpjKayjkbX7YeVvG_S7Pv6gZM3tngz4PsyCujikKc-oTOLX7qfMrCo2db0LLurkGshiNnIa4lG3hSUQrpfjfEoknQbkTpT-AtgPRCY,https://serpapi.com/search.json?data_id=0x985591d481cf07%3A0x7cf46d411781776e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x985591d481cf07%3A0x7cf46d411781776e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJB8-B1JFVmAARbneBF0Ft9Hw,"Itaipava, MG",lojas_presentes,2025-07-28T21:20:16.932451,COMPLETA
10,Ita Tudo Utilidades Itaipava,ChIJF8MWQsmrmQARdk2XTPd-Sr4,0x99abc94216c317:0xbe4a7ef74c974d76,13711911616089902454,/g/11h3c1lcfm,4.1,21,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"Estr. União e Indústria, 10671 - Itaipava, Petrópolis - RJ, 25730-740, Brasil",-22.3951195,-43.1333847,+55 24 2232-0064,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 09:00–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Tem bons produtos, recomendo e o atendimento e maravilhoso!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqQZS9w3sFB3Qu8pvai2Y3d3OCMhygiplAqrP6IE8Uc9B0DoyzkPwk6pGvNzolOjMK404nC4kj4TWyZ0TmvhLGhGrmmHoZpSTFwoaDjw2d02zfAYNGKQbinI7f6In8p4d27y6I=w163-h92-k-no,https://serpapi.com/images/url/eJ-dt3icBcFJDoIwFADQE1WwbSqYuEAUJI5EjJGdMpWpv1KkgfN5CW_je78v73uplobRcDIrAIom-6isS0D0mehnCbRGIRVKFFKG49qcincYX21NlLcm4ceSw7PED5KSs3vkY1HKxnl3FxZsrVtir80NjFN90TWT_nCaoDlXxz01qXBpXdHoPsZm1A784HO_a9sdxPIaeRqem0rj1MRT7jxO_j58lSJY5CwQlqQpXowsWOk5I4jbGNVIwB-ZC0Qr,https://serpapi.com/search.json?data_id=0x99abc94216c317%3A0xbe4a7ef74c974d76&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x99abc94216c317%3A0xbe4a7ef74c974d76&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJF8MWQsmrmQARdk2XTPd-Sr4,"Itaipava, MG",lojas_presentes,2025-07-28T21:20:16.932451,COMPLETA
